,2021-12-31,新能源汽车产业还有哪些投资机会？产业投融资面临哪些难点挑战？这场重磅年会给出答案,证券时报网
34,2021-12-27,广汽集团(02238.HK)：“广汽转债”即将到期 并于2022年1月10日停止交易,财华社
35,2021-12-27,BYD inside，丰田失去了灵魂？,ZAKER
36,2021-12-27,汽车产业蜕变在即 岚图/广汽/领悦/华为云共话数字化转型变革,搜狐
37,2021-12-27,广汽集团顶住三重压力年销量预增3.4% “双子星”支撑正增长将挑战243万辆,新浪
38,2021-12-27,“软件定义汽车”加速落地，东软睿驰密集布局相关赛道,盖世汽车
39,2021-12-25,补贴退坡在即，2022年新能源车市能否继续火爆？,Wind
40,2021-12-25,一线 | 不造车的华为在造啥？实探华为智能汽车解决方案创新中心,财联社
41,2021-12-25,华为“造”车，兵分两路,Wind
42,2021-12-24,广汽集团预计2021年销量突破210万辆 明年产销计划增长15%,上证报
43,2021-12-24,车厂、平台、AI公司三方联手，“出行新势力”搅动风云,36氪
44,2021-12-24,广汽集团(02238)：“广汽转债”将于2022年1月10日停止交易,智通财经
45,2021-12-24,广汽集团(02238.HK)“广汽转债”将于2022年1月21日到期,格隆汇
46,2021-12-24,乘联会预计2021年汽车零售量达2009万辆｜第一财经汽车日评,第一财经
47,2021-12-24,大立科技：车载红外辅助驾驶产品已应用于国内车企相关型号产品,Wind
48,2021-12-24,茅台创新高中药股批量涨停，“喝酒吃药”行情再现？,Wind
49,2021-12-24,2021金融界领航中国“金智奖”上市公司价值评选揭晓 双汇发展、广汽集团、华米科技等荣获杰出品牌奖,金融界
50,2021-12-24,双积分大考要来了，合资车企成负积分黑洞？,虎嗅网
51,2021-12-24,宁王罕见崩了，大跌1000亿，爆文成重磅利空？,Wind
52,2021-12-24,Robotaxi“前哨”吹响，谁抢到了自动驾驶的入场券？,投资界
53,2021-12-24,2021中国汽车产业坚守三大关键字,Wind
54,2021-12-24,中国汽车新生态圈扛起创新硬指标,经济参考报
55,2021-12-23,广汽集团明年挑战销量同比增长15%，埃安工厂明年初实现产能翻倍,IT之家
56,2021-12-23,晚间重要公告2021年12月23日星期四,Wind
57,2021-12-23,广汽集团2021年预计销量突破210万辆 明年挑战同比增长15%,金融界
58,2021-12-23,广汽集团：2022年全年汽车产销量挑战同比增长15%的目标,财联社
59,2021-12-23,广汽集团：2022年全年汽车产销量挑战同比增长15%的目标,Wind
60,2021-12-23,广汽埃安联手华为造车？将于明年上线,Ofweek
61,2021-12-23,广汽埃安将启动A轮融资和员工持股,第一电动网
62,2021-12-23,中汽协发布乘用车换电站建设规范发布,第一电动网
63,2021-12-23,打造一批“链主”企业 广州国资混改扩面提质,中证报
64,2021-12-23,2022：车市新旧逻辑并行,广州日报
65,2021-12-23,打造一批“链主”企业 广州国资混改扩面提质,发布易
66,2021-12-23,“双碳”愿景引领长线布局，多行业或迎价值重塑,Wind
67,2021-12-22,全球汽车产业大咖云集广州 共同探讨未来汽车密码,经济日报
68,2021-12-22,2021年汽车板块：新能源汽车政策搅动，“行业棋局”风云变幻,智通财经
69,2021-12-22,广汽集团(02238)第二期股票期权激励计划预留期权第1个行权期累计行权约1779.54万股A股,智通财经
70,2021-12-22,广汽集团12月22日大宗交易成交2279.94万元,证券时报网
71,2021-12-22,标题：辣评11月新能源车企 | 新能源整体大涨 比亚迪持续领跑 MODEL Y下滑,搜狐
72,2021-12-22,广汽集团：推动数字化转型，迎接智能新时代,我的钢铁
73,2021-12-22,广汽集团今日大宗交易成交150万股，成交价15.2元溢价0.0%,Wind
74,2021-12-22,Robotaxi卡位战打响：距离商业化落地还有多远？,21经济网
75,2021-12-22,广汽集团：探索推动总部层面适时引战 广汽埃安将启动A轮融资,上证报
76,2021-12-22,申万宏源：政策护航叠加技术突破，混动车型国企崛起可期,智通财经
77,2021-12-22,心动了吗？自动驾驶的士有望明年上线,羊城晚报
78,2021-12-22,以年轻消费者需求为中心 传祺品牌加速升维,网通社
79,2021-12-22,安信研究|晨会在线20211222,新浪
80,2021-12-21,广汽集团与文远知行及如祺出行达成战略合作 打造自动驾驶技术平台,证券日报网
81,2021-12-21,广汽联合文远知行、如祺出行推行Robotaxi 计划明年上线运营,e公司
82,2021-12-21,乘用车共享换电站建设规范标准发布 换电赛道或再迎新风口,财联社
83,2021-12-21,广汽联手文远知行、如祺出行明年上线自动驾驶出租车｜第一财经汽车日评,第一财经
84,2021-12-21,广汽与文远知行、如祺出行达成三方合作，明年上线Robotaxi运营,盖世汽车
85,2021-12-21,如祺出行获得文远知行战投 明年上线Robotaxi,贝壳财经
86,2021-12-21,文远知行战略投资如祺出行,投中网
87,2021-12-21,广汽集团/文远知行/如祺出行三方宣布达成战略合作,第一电动网
88,2021-12-21,广汽集团、文远知行、如祺出行三方战略合作，明年将上线自动驾驶出租车,e公司
89,2021-12-21,文远知行战略投资如祺出行，创全球首例自动驾驶初创企业投资出行平台,投资界
90,2021-12-21,IPO观察第50期|11月过会率创新低，传统车企竞相分拆上市,时代周报
91,2021-12-21,广汽：未来3年内发布多款基于华为MDC的战略车型,Wind
92,2021-12-21,广汽集团：与华为深入合作多年 首款搭载L2++辅助驾驶功能车型明年发布,快科技
93,2021-12-21,11月交强险数据深度分析：非限购城市新能源渗透率创历史新高【安信汽车】,AX汽车研究
94,2021-12-21,广汽集团等三方合作将上线自动驾驶出租车,中新网
95,2021-12-20,后合资时代来临 丨2.97亿元挂牌转股完成，东风作别悦达起亚,21经济网
96,2021-12-20,天汽模：公司现在没有为比亚迪配套模具产品,Wind
97,2021-12-20,汽车整车板块持续走弱,Wind
98,2021-12-20,2021世界智能汽车大会 指引汽车产业智行未来,Ofweek
99,2021-12-20,【异动股】广汽集团(02238.HK)跌4.31%,财华社
100,2021-12-19,新“合资”时代|“整零关系”改写：供应商从造车幕后走到台前,经济观察报
101,2021-12-19,天风证券：乘用车短期销量回升 坚定看好吉利汽车（00175）等自主崛起车企龙头,智通财经
102,2021-12-18,数据解放生产力——琰究汽车数据系列（2021年11月）【华西汽车 崔琰团队】,汽车琰究
103,2021-12-18,首探华为智能汽车苏州创新中心：不造车的华为到底在“造”什么？,极客网
104,2021-12-18,广汽集团11月产销成绩单出炉 自主品牌拉力强劲,中国经营网
105,2021-12-17,合创汽车携手合作伙伴，引领智慧出行新生态,投资家
106,2021-12-17,【权益变动】广汽集团(02238.HK)获FMR LLC增持961.4万股,财华社
107,2021-12-17,广汽蔚来永远是那么的闪闪发光,钢企网
108,2021-12-16,从基金重仓“揩油债”能借鉴什么？,Wind
109,2021-12-16,广汽集团成为中国最会赚钱的车企，而比亚迪则稳居上市车企市值榜首,Ofweek
110,2021-12-16,智行者与广汽研究院达成战略合作，共同推动高级别自动驾驶商业化落地,砍柴网
111,2021-12-16,磷酸铁锂电池装车量占比过半，新能源车冬季续航难题亟待破解,Wind
112,2021-12-16,新能源车冬季续航难题亟待破解,中证网
113,2021-12-15,借力丰田混动技术 广汽传祺GS8能否重回高光时刻,经济观察报
114,2021-12-15,文远知行WeRide宣布获广汽集团战略投资,DoNews
115,2021-12-15,广汽集团(02238)：“广汽转债”将于 2022 年 1 月 10 日停止交易,智通财经
116,2021-12-15,讲真，这波新造车不新,凤凰网
117,2021-12-15,广汽集团(601238.SH)：减持期过半 监事石磊尚未实施减持,格隆汇
118,2021-12-15,充电桩技术进入超级快充节奏，会给磁性元器件带来哪些改变？,Ofweek
119,2021-12-15,丰田拼了！投入350亿美元，10年内全面纯电，中国路线击败日本,Ofweek
120,2021-12-15,寻找中国新能源汽车产业高地⑩｜杭州：当互联网之城也开始发挥“钞能力”,21世纪经济报道
121,2021-12-15,【行情】港股汽车股多数走低，恒大汽车(00708.HK)跌4.33%，小鹏汽车(09868.HK)跌2.5%，北京汽车(01958.HK)跌1.5%，广汽集团(02238.HK)跌近1%,金十数据
122,2021-12-15,广汽集团3000万美元战略投资文远知行：将建立数万辆规模的Robotaxi车队,21经济网
123,2021-12-15,信测标准：国信证券、鹏华基金等9家机构于12月10日调研我司,证券之星
124,2021-12-14,【晚间公告抢先看】惠云钛业、中核钛白元旦起上调钛白粉销售价格；湖南天雁称短期内收入结构不会发生大变化,金融界
125,2021-12-14,广汽集团将战略投资文远知行，共同推进Robotaxi前装量产车型研发制造,经济观察网
126,2021-12-14,公告精选：网上投资者弃购禾迈股份3.63亿元；中核钛白、惠云钛业上调钛白粉售价,e公司
127,2021-12-14,广汽集团投资文远知行，将建立一支数万辆规模的 Robotaxi 车队,IT之家
128,2021-12-14,广汽集团战略投资文远知行 布局Robotaxi商业化运营,e公司
129,2021-12-14,最前线｜文远知行获广汽集团战略投资，将联手打造数万辆规模Robotaxi车队,36氪
130,2021-12-14,文远知行获广汽战略投资，将打造数万辆Robotaxi车队,澎湃新闻
131,2021-12-14,广汽集团(02238)将注销合计约2.08亿份股票期权,智通财经
132,2021-12-14,广汽集团(601238.SH)：子公司拟投资WeRide Inc. 3000万美元,格隆汇
133,2021-12-14,广汽集团(601238.SH)：董事会批准实施广汽乘用车A09车型项目,格隆汇
134,2021-12-14,电气化转型捉襟见肘 Stellantis集团延期发布“中国战略”,财联社
135,2021-12-14,【异动股】广汽集团(02238.HK)跌4.08%,财华社
136,2021-12-14,首次搭载丰田THS Ⅱ系统：广汽传祺第二代GS8能否成为下一个销量支点？,21经济网
137,2021-12-14,【行情】汽车整车股早盘走低，江淮汽车跌近9%，福田汽车、广汽集团、中集车辆、长安汽车、长城汽车等走低,金十数据
138,2021-12-14,汽车股走弱，江淮汽车领跌,Wind
139,2021-12-13,全新第二代 GS8 上市，又将创造一个什么样的历史？,ZAKER
140,2021-12-13,汽车行业2022年投资策略：自主崛起，电动智能【国信汽车】,微信
141,2021-12-13,汽车股涨跌榜：国机汽车两连冠，宁德时代蒸发千亿,搜狐
142,2021-12-13,【渤海证券 汽车】销量环比持续改善，新能源汽车冲量创新高——汽车行业月报——中性,渤海证券研究
143,2021-12-13,新能源e周报丨11月新能源车销量再创新高 国内个股走势平淡 机构研判：“矛盾的变化”将促使电动化趋势加速完成,每日经济新闻
144,2021-12-13,30家车企11月销量一览：八成以上环比上涨,盖世汽车
145,2021-12-13,自动驾驶渐行渐近，群雄角逐万亿赛道,Wind
146,2021-12-13,新能源车渗透率迈过20% 比亚迪等车企加快生产节奏,证券日报
147,2021-12-12,广汽集团总经理冯兴亚：打造世界级汽车产业集群迎来千载难逢的机遇,钢企网
148,2021-12-11,股比政策全面放开倒计时，汽车市场将迎来大洗牌,Wind
149,2021-12-11,入局不到两年，这家CVC一单就赚26倍，还投了个“隐形独角兽”,投中网
150,2021-12-11,阿图柯下线，加速广汽三菱新能源深化布局,新快报
151,2021-12-11,换电生态圈扩张 看三股势力如何合纵连横？,ZAKER
152,2021-12-11,新势力轻橙时代闯入造车资本圈,中国经营报
153,2021-12-11,合创Z03开启全国交付，自智能网联汽车赛道里脱颖而出,中国电动车网
154,2021-12-10,广汽三菱纯电 SUV 阿图柯 12 月 10 日下线，预售价 21 万元起！,ZAKER
155,2021-12-10,2021 夏季光电测试排行榜 AION S PLUS 问鼎,ZAKER
156,2021-12-10,“内卷”的动力电池,36氪
157,2021-12-10,【深度|均胜电子】安全业务触底，汽车电子打开新空间,东北汽车
158,2021-12-10,【行情】港股汽车股盘初走低，小鹏汽车(09868.HK)跌超4%，理想汽车(02015.HK)跌近3%，比亚迪股份(01211.HK)、吉利汽车(00175.HK)、广汽集团(02238.HK)跌近2,金十数据
159,2021-12-10,寄希望于埃安，开启“涅盘之旅”，广汽集团能重现曾经的辉煌吗？,Ofweek
160,2021-12-10,新能源汽车换电试点加码扶持,Wind
161,2021-12-10,三菱汽车撤资后，东南汽车发布全新品牌 LOGO,ZAKER
162,2021-12-09,广本“失宠”、广丰“上位”，广汽“一哥”谁来继位？,ZAKER
163,2021-12-09,丰田2025年、奔驰2026年 跨国车企欲借固态电池实现“变道超车”？,财联社
164,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
165,2021-12-09,25股今日获机构买入评级,证券时报网
166,2021-12-09,广汽集团(601238)重大事件快评：11月产销创新高 埃安增资重组方案落地,新浪
167,2021-12-09,民生证券维持广汽集团推荐评级：自主销量创新高，两田缺芯渐缓解,每日经济新闻
168,2021-12-09,【港股通】广汽集团(02238)涨3.26% 国泰君安证券(香港)给予买入评级,和讯
169,2021-12-09,【国泰君安国际】个股交易参考：广汽集团(02238.HK)：埃安销量延续强势，快速推进上市进程,国泰君安证券香港
170,2021-12-09,【异动股】广汽集团(02238.HK)涨3.26%,财华社
171,2021-12-09,汽车行业年底冲关：新旧能源两极分化，智能化带动“零部件”价值发现,智通财经
172,2021-12-09,22股获券商买入评级，江苏神通目标涨幅达91.08%,Wind
173,2021-12-09,每经9点|江苏南京：倡导全体市民非必要不离宁；近一个月15家上市公司发生实控人变更；沪深两市融资余额昨日环比增加26.31亿元,每日经济新闻
174,2021-12-09,新能源巨头：锂电池供给极度紧张！官方数据释放重磅信号,Wind
175,2021-12-09,12月8日27只个股获券商关注，广汽集团目标涨幅达65.78%,每经网
176,2021-12-09,11月新能源车零售渗透率达20.8%,Wind
177,2021-12-09,晏会厅18期｜古惠南：资本、世界前三和一千公里续航,搜狐
178,2021-12-08,广汽集团11月产销创历史新高 传祺埃安持续畅销,上证报
179,2021-12-08,汽车行业简评报告：11月比亚迪、造车新势力销量齐创新高 经销商补库进行时,新浪
180,2021-12-08,广汽集团(601238)：埃安销量创月度新高 广丰销量好转,新浪
181,2021-12-08,11月乘用车市场销量同比下降12.5% 乘联会：12月市场仍可期待 盈利能力下降,财联社
182,2021-12-08,广汽集团11月销量达22.4万辆，广汽埃安连续5个月破万,盖世汽车
183,2021-12-08,克服缺芯影响超速恢复，广汽集团11月产销创历史新高！,金融界
184,2021-12-08,国海证券给维持广汽集团买入评级：11 月产销同环比双升，创历史新高,每日经济新闻
185,2021-12-08,东吴证券：给予广汽集团买入评级,证券之星
186,2021-12-08,赛那加价，直营能避免吗,ZAKER
187,2021-12-08,东吴证券维持广汽集团买入评级：11月批发环比+16.23%，日系/埃安表现亮眼,每日经济新闻
188,2021-12-08,传统车企掀起分拆热潮，新能源赛道yyds？,资本邦
189,2021-12-08,乘联会：11月新能源乘用车零售销量环比增长19.8%,Wind
190,2021-12-08,【AH互动】广汽集团(02238)AH股午后涨幅扩大 获机构看好,和讯
191,2021-12-08,港股异动 | 广汽集团(02238)午后涨超5% 合资与自主板块共同发力 11月单月产销创历史新高,智通财经
192,2021-12-08,港股异动 | 广汽集团(2238.HK)AH股大涨，11月汽车销量同比上升叠加券商看好,格隆汇
193,2021-12-08,安信证券维持广汽集团买入评级:11月埃安批售首破1.5万，传祺销量再创新高，目标价27.90元,每日经济新闻
194,2021-12-08,【异动股】广汽集团(02238.HK)涨3.03%,财华社
195,2021-12-08,美银证券：维持广汽集团(02238)“中性”评级 目标价9港元,智通财经
196,2021-12-08,东兴证券维持广汽集团强烈推荐评级：汽车单月产销创历史新高,每日经济新闻
197,2021-12-08,【港股通】广汽集团(02238)涨逾2.5% 11月汽车销量按年增3%,和讯
198,2021-12-08,广汽集团：11月埃安批售首破1.5万，传祺销量再创新高【安信汽车】,AX汽车研究
199,2021-12-08,智能汽车价值重心后移 车企花式探索服务模式,证券时报
200,2021-12-08,同比增2.98% 广汽集团11月售22.41万辆,汽车之家
201,2021-12-07,广汽集团11月销量达21.8万辆,北京商报
202,2021-12-07,广汽集团：11月份新能源汽车销量同比增长95.50%,上证报
203,2021-12-07,晚间公告｜12月7日这些公告有看头,第一财经
204,2021-12-07,广汽埃安重组完成，混改加速，上市在即,华夏时报
205,2021-12-07,广汽集团(02238)前11月销量为191.07万辆 同比增长4.14%,智通财经
206,2021-12-07,广汽集团：11月新能源汽车销量同比增95.5%,Wind
207,2021-12-07,广汽集团：11月新能源汽车销量同比增95.5%,e公司
208,2021-12-07,广汽集团11月汽车产量为23.39万辆，同比增5.16%,乐居财经
209,2021-12-07,广汽集团(601238.SH)前11个月新能源汽车销量同比增长72.76%至12.35万辆,智通财经
210,2021-12-07,广汽集团(601238.SH)：11月汽车销量达22.41万辆、埃安新能源销量同比增长109.11%,格隆汇
211,2021-12-07,广汽集团：11月总销量约26万辆，同比增加6.32%,每日经济新闻
212,2021-12-07,广汽集团：11月新能源汽车销量1.78万辆 同比增长95.5%,财联社
213,2021-12-07,作为广汽集团的新能源顶梁柱，广汽埃安的百亿混改能否实现自我颠覆？,Ofweek
214,2021-12-07,特斯拉因太阳能电池板缺陷被举报,Ofweek
215,2021-12-07,新能源汽车单元成国企混改试验田,中国汽车报
216,2021-12-07,12月6日26只个股获券商关注，广汽集团目标涨幅达50.94%,每经网
217,2021-12-07,固态电池大战将至,Wind
218,2021-12-07,广州汽车集团股份有限公司2021年11月份产销快报,证券日报
219,2021-12-06,宁德时代市值站在1.5万亿关口后还有多大潜力？,和讯
220,2021-12-06,汽车周报：新能源头部车企销量再超预期 持续看好产业链机遇,新浪
221,2021-12-06,东兴证券汽车行业2022年度策略：行业周期复苏与零部件格局重塑,新浪
222,2021-12-06,新能源车企陷入技术内卷，千公里续航是噱头还是必备武器？,第一财经
223,2021-12-06,广汽、上汽联合投资锂电材料企业,Ofweek
224,2021-12-06,【异动股】广汽集团(02238.HK)跌3.61%,财华社
225,2021-12-06,11月新能源车爆发式增长，新旧势力月销量相继破万,时代周报
226,2021-12-06,汽车行业周报：比亚迪11月新能源销量创新高 埃安引入战投,新浪
227,2021-12-06,深度|车企扎堆押注固态电池，这条技术路线胜算有多大？,第一财经
228,2021-12-06,中国品牌换道超车 跨国车企落地生根,南方日报
229,2021-12-06,在打造中国新能源产业的王者之路上，广汽埃安当仁不让！,Ofweek
230,2021-12-06,广汽集团投资九岭锂业，布局新能源电池核心原料“碳酸锂”,Ofweek
231,2021-12-06,汽车行业周报：自主品牌销量加速向上,国海证券
232,2021-12-06,15股获券商买入评级，安恒信息目标涨幅达45.45%,Wind
233,2021-12-05,广汽集团 – 燃油车内卷时代，广丰开启超越行业之旅【太平洋汽车白宇团队】,白宇汽车行研
234,2021-12-05,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
235,2021-12-05,比亚迪在左，小鹏在右，广汽在哪？,ZAKER
236,2021-12-05,盖世周报 | 丰田比亚迪合作生产电动汽车；广汽埃安启动内部资产重组,盖世汽车
237,2021-12-04,智能汽车周报：本周智能汽车指数上涨1.31% 蔚来ET7 首批预生产车正式下线,新浪
238,2021-12-04,新能源市场硝烟弥漫，合资电动车来势汹汹，中国品牌越战越勇,ZAKER
239,2021-12-03,广汽星灵电子电气架构 让用户定义汽车,上证报
240,2021-12-03,广汽集团：旗下广汽资本投资九岭锂业,e公司
241,2021-12-03,广汽集团旗下广汽资本投资新能源电池核心原料企业九岭锂业,财联社
242,2021-12-03,比亚迪上汽广汽传统车企扎堆分拆新业务上市，一“拆”能否抵万金,贝壳财经
243,2021-12-03,远观｜是时候，把埃安归为“想象力公司”了,腾讯网
244,2021-12-03,蓝黛科技(002765)投资价值分析报告：新产品与新客户并重 传动与显示业务齐飞,新浪
245,2021-12-03,汽车行业2022年度策略报告：智能车1.0迈入加法时代,新浪
246,2021-12-03,新能源成车企发力方向,山西晚报
247,2021-12-03,汽车事件点评：新势力引领自主崛起,国海证券
248,2021-12-03,广汽埃安混改迅如风，带来国企混改新方案,Ofweek
249,2021-12-03,亮马组合半月报：关注中游制造的配置价值,新浪
250,2021-12-03,造车新势力销售大联欢 “蔚小理哪”齐破万辆,证券日报
251,2021-12-02,广汽埃安混改倒计时,乐居财经
252,2021-12-02,“双碳”之下，汽车“脱碳”哪家强？,中新经纬
253,2021-12-02,在刚刚过去的11月，新能源车企的表现如何？,财经网
254,2021-12-02,广汽集团：针对上游原材料涨价，埃安已积极与供应商友好协商，尽最大努力降低对公司盈利的影响,每日经济新闻
255,2021-12-02,广汽集团：搭载3C倍率快充技术的Aion V PLUS 70超级快充版已经上市，搭载6C倍率超级快充技术的AION V PLUS、续航1000KM的广汽埃安 Aion LX已获得工信部公告,每日经济新闻
256,2021-12-02,广汽集团：2021年埃安工厂产能利用率超130%，目前正在推进扩能建设，预计2022年初完成，届时将在现有10万辆的产能基础上多增加10万辆产能，达到20万辆/年产能标准,每日经济新闻
257,2021-12-02,11月新能源汽车市场多头混战，新势力齐头并进，传统车企紧追不舍,金融界
258,2021-12-02,汽车板块持续火爆，3张图比一比汽车零部件和整车公司谁更佳？,Wind
259,2021-12-02,埃安是不是广汽的救星,36氪
260,2021-12-02,太燃了！11月新势力销量4家破万、7家创新高，比亚迪还能一打十？,Ofweek
261,2021-12-02,涨、涨、涨，11月份多家新势力新车交付破万辆,36氪
262,2021-12-02,跨年行情如何布局？机构普遍看好这三大赛道,Wind
263,2021-12-02,广汽资本董事长眭立：布局新能源汽车产业链 助力“专精特新”企业成长,凤凰网
264,2021-12-02,广汽资本2020年协助被投企业对接25亿元订单 董事长眭立：投资产业链“溢出”效应明显,凤凰网
265,2021-12-02,11月造车新势力集体发力 多家车企月销过万,中证报
266,2021-12-02,【异动股】广汽集团(02238.HK)涨4.16%,财华社
267,2021-12-02,10股获券商买入评级，当升科技目标涨幅达25.91%,Wind
268,2021-12-02,造车新势力新变化：廉价电动车异军突起！,Wind
269,2021-12-02,提升自主创新能力 广汽埃安明年择机上市,第一财经
270,2021-12-02,赶考“碳中和” 广汽集团新时代有新作为,中国青年报
271,2021-12-02,广汽集团总经理冯兴亚：提升自主创新能力 广汽埃安明年择机上市,中证网
272,2021-12-02,华为放大招！豪掷近百亿“押宝”这一行,Wind
273,2021-12-01,11月造车新势力集体发狠！“小理蔚”销量全部过万,Wind
274,2021-12-01,11月造车新势力集体发狠！“小理蔚”销量全部过万，哪吒也挺进“万辆俱乐部”,中证报
275,2021-12-01,广汽埃安11月终端销量超1.45万辆 提前完成年销10万辆目标,每日经济新闻
276,2021-12-01,广汽埃安：11月销售汽车14566台 同比增长123%,中证网
277,2021-12-01,资产重组锚定“研产销”一体化 广汽埃安进入混改阶段,中国财富网
278,2021-12-01,广汽集团(601238)：广汽埃安资产重组 助力新能源车型研发,广发证券
279,2021-12-01,108亿元推进埃安混改，广汽集团激进包装“新造车”概念,AI财经社
280,2021-12-01,【异动股】广汽集团(02238.HK)跌3.01%,财华社
281,2021-12-01,广汽埃安将承接广汽研究院实施内部资产重组,Ofweek
282,2021-12-01,【汽车】汽车行业2022年投资策略—景气回升，持续看好智能电动汽车赛道,中银证券研究
283,2021-12-01,广汽集团110亿增资广汽埃安加速混改 标的销量增逾98%拟引战投择机上市,长江商报
284,2021-12-01,国企混改重点将从“混资本”转向“改机制”,Wind
285,2021-11-30,广汽集团百亿重组内部资源，埃安进入混改阶段,搜狐
286,2021-11-30,广汽埃安混改提速：增资重组实现研产销一体化，获得更强发展动力,金融界
287,2021-11-30,广汽埃安，资产重组第一步为何锁定“研产销”一体化？,第一财经
288,2021-11-30,广汽集团(02238)11月有18.1万元“广汽转债”已转换成约1.3万股公司股票,智通财经
289,2021-11-30,广汽埃安获百亿增资 加速混改、引入战投谋上市,中国经营报
290,2021-11-30,投资禾多科技 广汽集团加速新能源汽车业务布局,上证报
291,2021-11-30,增资重组，广汽埃安混改再进一步,搜狐
292,2021-11-30,为混改、引入战投打下基础，广汽集团对埃安进行内部资产重组,搜狐
293,2021-11-30,广汽埃安混改大幕正式开启！公司价值将不低于60亿元,第一电动网
294,2021-11-30,广汽埃安混改锚定“研产销”一体模式，获集团增资74.07亿现金,证券时报
295,2021-11-30,东兴证券维持广汽集团强烈推荐评级：埃安重组如期推进，资金实力与创新科技属性大增,每日经济新闻
296,2021-11-30,东兴证券：给予广汽集团买入评级,证券之星
297,2021-11-30,特斯拉被德国整哭：柏林工厂或只产3万辆、12.8亿美元补贴没了,Ofweek
298,2021-11-30,品牌独立发展元年 广汽埃安多点开花加速向上,网通社
299,2021-11-30,【异动股】广汽集团(02238.HK)涨4.52%,财华社
300,2021-11-30,广汽埃安实施资产重组，未来或将独立上市,金融界
301,2021-11-30,港股异动 | 广汽集团(02238)早盘涨超5% 广汽埃安资产重组 后续将引入战投并寻求适当时机上市,智通财经
302,2021-11-30,首发中国续航破千电动车！广汽集团内部重组 推进广汽埃安独立运营,快科技
303,2021-11-30,A股早报2021年11月30日星期二,Wind
304,2021-11-30,港股公告精选：太阳城集团称凯升控股涉及非法跨境赌博活动指称乃属不实,Wind
305,2021-11-30,东亚前海·EV日报：理想汽车公布三季度财报,新浪
