,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
23,2021-12-22,金龙鱼(300999.SZ)：48.38万股战略配售限售股12月27日解禁 解禁,格隆汇
24,2021-12-22,金龙鱼(300999.SZ)48.38万股限售股将于12月27日上市流通 解禁,智通财经
25,2021-12-22,益海嘉里金龙鱼荣获中国质量奖提名奖,联商网
26,2021-12-22,注解新消费、共话新潮向 2021十大消费创新案例评选重磅揭晓,每日经济新闻
27,2021-12-22,金龙鱼：中央厨房是公司非常重要的新业务板块，要发挥大作用估计要较长时间,Wind
28,2021-12-20,金龙鱼第二签字注册会计师变更为王硕炜,乐居财经
29,2021-12-17,金龙鱼发生大宗交易 成交折价率18.48%,证券时报网
30,2021-12-17,"金龙鱼现1笔大宗交易 共成交1,110.84万元",新浪
31,2021-12-17,金龙鱼今日大宗交易成交21.91万股，成交价50.7元折价18.48%,Wind
32,2021-12-17,娃哈哈在前，鲁花在后，为什么跨界都选择了酱酒？,36氪
33,2021-12-16,深耕“甜蜜”事业，益海嘉里金龙鱼旗下荷丰农业助内蒙兴安盟农业结构调整,钢企网
34,2021-12-16,金龙鱼现1笔大宗交易 共成交468.10万元,新浪
35,2021-12-15,金龙鱼：公司调味品会根据发展规划和市场需求来决定进一步的产能扩张,每日经济新闻
36,2021-12-15,金龙鱼：公司杭州央厨预计即将进入试产阶段,每日经济新闻
37,2021-12-14,新规后首次指数成分调整 金龙鱼被纳入沪深300指数,中国网
38,2021-12-13,金龙鱼：公司本次在全国银行间债券市场发行了中期票据，不是可转债,每日经济新闻
39,2021-12-13,金龙鱼：Olenex不是公司子公司,每日经济新闻
40,2021-12-13,金龙鱼：白炭黑为公司水稻循环经济模式中利用副产品稻壳灰提取出的高附加值产品,每日经济新闻
41,2021-12-13,金龙鱼：公司大部分玉米和部分大豆采购于境内,每日经济新闻
42,2021-12-10,又见蓝筹尾盘异动！外资单周净买入488亿元创纪录，重拾“老白马”,Wind
43,2021-12-09,金龙鱼回应“三季度业绩大跌” 盈利能力下降,每日经济新闻
44,2021-12-09,金龙鱼：奥运赛场上不会出现金龙鱼标识,每日经济新闻
45,2021-12-09,金龙鱼：公司的物流业务一部分是由公司合作伙伴阔海投资旗下公司所提供的,每日经济新闻
46,2021-12-08,金龙鱼：公司合作发起了“中国烹协——金龙鱼烹饪班”教育扶贫项目,每日经济新闻
47,2021-12-08,重磅规划即将公布，事关万亿板块，农作物转基因有新消息！机构力挺四大方向，北上资金提前埋伏4股,新浪
48,2021-12-08,"金龙鱼现1笔大宗交易 共成交5,715.00万元",新浪
49,2021-12-08,金龙鱼今日大宗交易成交112.90万股，成交价50.62元折价20.43%,Wind
50,2021-12-07,农林牧渔2022年投资策略：布局养殖回暖 聚焦种植变革,新浪
51,2021-12-07,调味品行业的最强涨价“跟风潮”袭来,中投网
52,2021-12-06,上榜企业总价值达到9.6万亿元 |《2021那香海·胡润中国食品行业百强榜》重磅发布,和讯
53,2021-12-06,行业观｜胡润中国食品行业百强发布，白酒领衔传统企业占主导，新消费品牌成点缀,财经网
54,2021-12-06,"金龙鱼现2笔大宗交易 共成交1,230.40万元",新浪
55,2021-12-03,金龙鱼：公司已推出“海皇牌”料酒，主要在餐饮渠道进行销售,每日经济新闻
56,2021-12-02,金龙鱼：公司目前没有出酱酒产品的计划,每日经济新闻
57,2021-12-02,金龙鱼：公司目前没有注册元宇宙商标,每日经济新闻
58,2021-12-02,金龙鱼：公司调味品业务体量较小,e公司
59,2021-12-02,元力股份：本次合作对象益海嘉里金龙鱼粮油食品股份有限公司，在深圳证券交易所创业板上市,每日经济新闻
60,2021-12-02,金龙鱼大宗交易成交22.99万股 成交额1400.00万元,证券时报网
61,2021-12-02,"金龙鱼现1笔大宗交易 共成交1,400.00万元",新浪
62,2021-12-02,金龙鱼今日大宗交易成交22.99万股，成交价60.89元溢价0.0%,Wind
63,2021-12-01,益海嘉里即将亮相2021中国企业家博鳌论坛，共赢绿色发展,钢企网
64,2021-12-01,元力股份联合金龙鱼拟成立循环技术公司，注册资本3亿元,乐居财经
65,2021-12-01,元力股份(300174.SZ)拟与金龙鱼共设合资公司探索稻壳循环利用,智通财经
66,2021-12-01,元力股份：拟与金龙鱼设立合资公司,财联社
67,2021-11-29,金龙鱼(300999.SZ)完成发行5亿元2021年度第一期中期票据,智通财经
68,2021-11-29,金龙鱼：未来公司央厨的产品会涵盖老人餐,每日经济新闻
69,2021-11-29,大众消费品涨价：谁在浑水摸鱼,证券市场周刊
70,2021-11-29,"金龙鱼现1笔大宗交易 共成交1,656.47万元",新浪
71,2021-11-26,金龙鱼：公司杭州央厨预计最快今年年底会试投产，重庆、廊坊、西安的央厨项目预计于2022年投产，由于业务刚刚起步，预计在2022年的营收中占比较小,每日经济新闻
72,2021-11-26,金龙鱼：公司没有收购加加食品的计划,每日经济新闻
73,2021-11-26,金龙鱼：公司目前没有进入白酒行业的计划,Wind
74,2021-11-26,建设高效可持续农业体系，丰益国际将积极推动并践行绿色转型,钢企网
75,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
76,2021-11-24,金龙鱼：公司目前未有进入生猪养殖行业的计划,Wind
77,2021-11-24,金龙鱼：公司杭州央厨预计最快今年年底会试投产,Wind
78,2021-11-24,金龙鱼：公司目前没有进入生猪养殖行业的计划,每日经济新闻
79,2021-11-24,金龙鱼跌3.98% 中信证券半月前喊增持目标价72元,中国经济网
80,2021-11-24,偏好生变！券商密集调研，重点关注4大赛道,Wind
81,2021-11-23,金龙鱼：目前主要专注于市场空间广阔的中国境内市场,每日经济新闻
82,2021-11-23,金龙鱼：公司中央厨房产品范围可能会涵盖营养餐、便当以及其他特定的成品及半成品餐食类产品，不局限于预制菜,每日经济新闻
83,2021-11-23,【热点报告——股指期货】2021年12月主要规模指数成分股调整预测及影响,东证衍生品研究院
84,2021-11-23,农产品研究跟踪系列报告(26)：黄羽肉鸡盈利或迎好转 关注种业边际改善,新浪
85,2021-11-22,沪深300指数成分股要上新啦！这些个股或迎交易性机会,上证报
86,2021-11-22,调味品市场的当下与未来,新浪
87,2021-11-22,企查查显示金龙鱼成立食品工业公司，注册资本2300万,搜狐
88,2021-11-22,金龙鱼于石家庄成立食品工业公司，注册资本2300万元,乐居财经
89,2021-11-20,食品饮料行业：消费品提价持续演绎 通胀压力向下游快速传导,新浪
90,2021-11-19,金龙鱼：公司目前没有向KFC提供面条产品,每日经济新闻
91,2021-11-19,金龙鱼有无接入网商银行“大雁系统”？金龙鱼：公司部分经销商与网商银行有这方面的业务往来,每日经济新闻
92,2021-11-19,金龙鱼(300999.SZ)拟开展2022年度商品期货套期保值业务,智通财经
93,2021-11-19,“国民下饭菜”涨价引发“榨菜焦虑”,钛媒体
94,2021-11-19,家乐福第三届美好生活节战报：全渠道GMV增长330%,联商网
95,2021-11-19,金龙鱼投资成立新公司，注册资本1.05亿,搜狐
96,2021-11-19,食用油的“扛把子”金龙鱼，还有什么隐忧？,搜狐
97,2021-11-19,消费传导！又一速冻食品龙头提价,Wind
98,2021-11-18,益海嘉里金龙鱼电商领跑粮油品类，喜摘行业电商销量桂冠！,和讯
99,2021-11-18,年末密集调研，海外资管巨头盯上A股“便宜货”,Wind
100,2021-11-17,榨菜、油盐酱醋涨价后，面也贵了！网友：我的泡面搭档解散了,时代周报
101,2021-11-17,金龙鱼现1笔大宗交易 共成交201.39万元,新浪
102,2021-11-16,金龙鱼：中央厨房业务也属于食品消费行业，是公司的新业务板块,每日经济新闻
103,2021-11-16,第十一届中国粮油榜今日开榜,粮油市场报
104,2021-11-16,地尔乐斯退出益海嘉里49%股份，金龙鱼接盘,乐居财经
105,2021-11-16,上海区域股市周报：新增1家上市公司 25家机构调研康达新材,每日经济新闻
106,2021-11-16,农业2022年年度策略：周期轮回 布局养殖,新浪
107,2021-11-15,粮油加工板块研报：行业“天花板”下 粮油行业的开拓之路,GPLP犀牛财经
108,2021-11-15,市场监管总局：互联网企业大举进军社区团购，挤压小摊主就业空间,Wind
109,2021-11-15,金龙鱼：公司一直严格执行国家相关标准法规,Wind
110,2021-11-15,金龙鱼：公司目前中央厨房项目正在杭州、重庆、廊坊、西安等地筹建中,Wind
111,2021-11-15,金龙鱼：公司有部分产品是根据行情变化进行定价销售的,Wind
112,2021-11-15,金龙鱼：公司目前中央厨房项目正在杭州、重庆、廊坊、西安等地筹建中，预计最快今年年底杭州项目会试投产,每日经济新闻
113,2021-11-15,申万农林牧渔周观点：转基因品种审定办法落地 商业化进入倒计时阶段,新浪
114,2021-11-15,丰益国际四度亮相进博会 金龙鱼瞄准央厨市场,中国经营报
115,2021-11-13,刚刚宣布：挂面也要涨价了！网友：关灯吃面都吃不起了．．．．．．,新浪
116,2021-11-12,"金龙鱼现4笔大宗交易 共成交1,055.40万元",新浪
117,2021-11-12,金龙鱼今日大宗交易成交20万股，成交价52.77元折价17.33%,Wind
118,2021-11-11,金龙鱼：公司在抖音和快手平台有众多品牌店铺，由公司子公司或经销商运营,每日经济新闻
119,2021-11-10,金龙鱼：公司会根据业务发展规划、市场需求等因素决定是否引进新的产品品类,每日经济新闻
120,2021-11-10,金龙鱼：公司暂无进入元宇宙相关行业的计划,每日经济新闻
121,2021-11-10,金龙鱼的油价已经涨了，为什么不公示呢？金龙鱼：目前没有需要公开披露的信息,每日经济新闻
122,2021-11-10,金龙鱼：公司将持续推动使用更多新能源，助力碳减排工作,每日经济新闻
123,2021-11-10,利润下降的金龙鱼，终究不是粮油“茅台” 盈利能力下降,AI财经社
124,2021-11-10,食品饮料提价潮 基金热情不高,金融投资报
125,2021-11-10,益海嘉里发力新赛道 “丰厨”首次亮相进博会,新京报
126,2021-11-09,A股共发生281宗大宗交易成交57.35亿元（11月9日）,Wind
127,2021-11-09,"金龙鱼现1笔大宗交易 共成交3,245.00万元",新浪
128,2021-11-09,金龙鱼今日大宗交易成交50万股，成交价64.9元折价1.1%,Wind
129,2021-11-09,食品饮料掀提价潮 基金布局热情不高,金融投资报
130,2021-11-09,上海区域股市周报：新增1家过会企业，111家机构调研巴比食品,每日经济新闻
131,2021-11-09,海天、洽洽接连涨价！食品饮料板块为何迎来“涨价潮”？,Wind
132,2021-11-09,金龙鱼玉米油携手华工后勤升级餐饮健康油 深化健康油健康餐概念,长江商报
133,2021-11-09,生活消费品涨价潮涌，终端需求不振企业左右为难,Wind
134,2021-11-09,原材料涨价挤压业绩空间 金龙鱼股价狂飙后深度回调,每日经济新闻
135,2021-11-09,创业板注册制改革成色凸显，A股市场生态持续优化,Wind
136,2021-11-08,金龙鱼：今年双十一和薇娅、雪梨及抖音的网红主播有合作,e公司
137,2021-11-08,金龙鱼：近期的寒潮预计不会对甜菜的生产加工造成影响,每日经济新闻
138,2021-11-08,金龙鱼：近期寒潮预计对公司影响不大，目前北方工厂均处于正常经营状态,每日经济新闻
139,2021-11-08,金龙鱼：公司暂时没有推出APP,每日经济新闻
140,2021-11-08,金龙鱼(300999)2021年三季报点评：收入延续稳健增长 原料上涨使盈利承压,新浪
141,2021-11-08,涨价潮还在食品板块蔓延，机构调研龙头关注提价计划，原材料价格何时回落？,21世纪经济报道
142,2021-11-08,“油盐酱醋，一点一点在涨价”,中新网
143,2021-11-08,申万宏源：维持金龙鱼(300999.SZ)“增持”评级 营收稳健增长 利润率承压,智通财经
144,2021-11-08,携多款国际好物再亮相！丰益国际在进博会共享农业布局新成果,和讯
145,2021-11-08,陆家嘴财经早餐2021年11月8日星期一,Wind
146,2021-11-07,进博会一届不落的全球农业巨头 今年瞄准了明星赛道,第一财经
147,2021-11-07,机构密集调研涪陵榨菜等食品企业，灵魂拷问提价计划,Wind
148,2021-11-07,侨企丰益国际谈进博会收获：朋友圈越来越大，将持续在中国投资,中新经纬
149,2021-11-07,上市公司多举措应对成本上涨,Wind
150,2021-11-05,益海嘉里金龙鱼参展进博会，YOJI朴食有机品牌首度亮相,新京报
151,2021-11-05,金龙鱼：公司中央厨房杭州项目预计会在年底试投产，正式投产后实现的营收会纳入公司营收范围,每日经济新闻
152,2021-11-04,“油茅”金龙鱼回应调价计划，私募大佬林园继续重仓,e公司
153,2021-11-04,未来是否会推出广西螺蛳粉？金龙鱼：会根据业务发展规划、市场需求等因素决定是否拓展新的产品品类,每日经济新闻
154,2021-11-04,金龙鱼：公司有部分产品是根据行情变化进行定价销售的；另一部分主要满足居民家庭消费的产品价格，会根据各个品种的原料、行情、市场竞争力、消费力等多方因素进行调整，相对比较谨慎,每日经济新闻
155,2021-11-04,金龙鱼：公司和团购平台的合作模式主要是采取更多定制化的产品，未来公司也会根据客户需求推出更多相关产品,每日经济新闻
156,2021-11-04,金龙鱼：公司会根据不同地区的市场需求等情况，开展不同的营销和促销活动,每日经济新闻
157,2021-11-04,涨价！油盐酱醋肉还有瓜子，上市巨头为何组团提价,新浪
158,2021-11-04,金融街下午茶2021年11月4日星期四,Wind
159,2021-11-04,中泰证券维持金龙鱼买入评级：价升推动收入增长，成本上升业绩承压,每日经济新闻
160,2021-11-04,A股收盘综述：风电股、汽车零部件股批量封板，比亚迪、金龙鱼大涨超7%,Wind
161,2021-11-04,A股午盘综述：风电股大面积涨停，宁德时代、隆基股份、比亚迪集体反弹,Wind
162,2021-11-04,金龙鱼：目前油种涨价幅度尚未完全覆盖原料上涨的幅度,格隆汇
163,2021-11-03,金龙鱼今日大宗交易成交20.02万股，成交价51.2元折价20.25%,Wind
164,2021-11-03,"金龙鱼现1笔大宗交易 共成交1,025.02万元",新浪
165,2021-11-03,林园重仓金龙鱼的逻辑，他到底在赌什么？,阿尔法工场研究院
166,2021-11-03,民生证券：维持金龙鱼(300999.SZ)“推荐”评级 竞争加剧成本上行影响利润,智通财经
167,2021-11-03,国盛证券：维持金龙鱼(300999.SZ)“增持”评级 成本上涨致业绩承压,智通财经
168,2021-11-03,国泰君安：维持金龙鱼(300999.SZ)“谨慎增持”评级 目标价升至68元,智通财经
169,2021-11-03,金龙鱼(300999)：上游原材料影响成本 静待经营企稳回暖,新浪
170,2021-11-03,开源证券维持金龙鱼增持评级，公司信息更新报告：原料过快上涨压制盈利能力，积极布局大厨房业务,每日经济新闻
171,2021-11-03,今年，炒股保本太难了,格隆汇
172,2021-11-02,"金龙鱼现1笔大宗交易 共成交7,526.40万元",新浪
173,2021-11-02,金龙鱼今日大宗交易成交120万股，成交价62.72元折价2.0%,Wind
174,2021-11-02,金龙鱼所持辽宁益海嘉里股份增至100%,乐居财经
175,2021-11-02,A股收盘综述：“宁王”力扛创业板，多只航母概念股尾盘暴拉涨停,Wind
176,2021-11-02,世纪证券上调金龙鱼评级至买入，2021年三季度报点评：短期业绩受累，长期向好趋势未改,每日经济新闻
177,2021-11-02,A股午盘综述：“宁王”走强力挺创业板，煤炭、银行、电力板块调整,Wind
178,2021-11-02,A股三季报收官：整体净利润承压,Wind
179,2021-11-01,“油茅”之外，金龙鱼的增长逻辑,环球老虎财经
180,2021-11-01,民生证券：给予金龙鱼买入评级,中金在线
181,2021-11-01,【窥业绩】利润下滑！股价腰斩，“油茅”金龙鱼怎么了？ 盈利能力下降,财华社
182,2021-11-01,民生证券维持金龙鱼推荐评级，2021年半年报点评：收入端增速稳健，竞争加剧及成本上行影响利润,每日经济新闻
183,2021-11-01,无惧股价回撤，林园继续重仓“油茅”金龙鱼,新浪
184,2021-11-01,“油茅”三季报持续增收不增利 原材料涨价金龙鱼净利润持续下滑 盈利能力下降,21世纪经济报道
185,2021-11-01,净利暴跌六成，金龙鱼怎么了？ 盈利能力下降,格隆汇
186,2021-11-01,国盛证券给予金龙鱼增持评级，成本上涨致业绩承压 多头并进创造全新成长空间,每日经济新闻
187,2021-11-01,国盛证券：给予金龙鱼增持评级,证券之星
188,2021-11-01,图解金龙鱼三季报：第三季度单季净利润同比减65.86% 盈利能力下降,证券之星
189,2021-11-01,益海嘉里金龙鱼“废水”回收再利用，践行环保理念守护绿色家园,钢企网
190,2021-11-01,金龙鱼稳固护城河抵御上游波动 前三季营收同比增长16.24%,和讯
191,2021-11-01,“油茅”金龙鱼最新经营业绩曝光，9个月超2000家基金“逃离”,资本邦
192,2021-11-01,金龙鱼三季度扣非净利环比跌近9成，林园旗下4只产品逆势加仓 盈利能力下降,阿尔法工场
193,2021-11-01,金龙鱼三季扣非骤降92.8% 超2000家基金逃离市值蒸发4600亿,新浪
194,2021-11-01,备战年末行情 知名私募厉兵秣马,中证报
195,2021-10-30,犀牛日讯：美的集团第三季度净利84.46亿 海天味业第三季度净利13.55亿,GPLP犀牛财经
196,2021-10-30,受原材料涨价影响 金龙鱼前三季度净利润同比下滑27.68% 盈利能力下降,每日经济新闻
197,2021-10-30,上市周年看成长|金龙鱼股价狂飙后回调 央厨项目将于年底投产,每日经济新闻
198,2021-10-30,民间股神林园“吃鱼”扎嘴了：金龙鱼股价较前期高点下跌接近六成，十大流通股东有4只林园投资的产品,上证报
199,2021-10-30,突发爆雷！3300亿“油茅”净利大跌65%，市值蒸发4500亿，私募大佬却疯狂加仓 盈利能力下降,中证报
200,2021-10-30,Wind风控日报2021年10月30日星期六,Wind
201,2021-10-30,突发！3300亿“油茅”业绩爆雷，股价狂跌近60%！这些板块正悄悄崛起,凤凰网
202,2021-10-30,3000亿“油茅”第三季净利大跌66%，私募大佬却疯狂加仓,Wind
203,2021-10-29,金龙鱼前三季度实现营收1627.25亿元,新京报
204,2021-10-29,金龙鱼前三季营收达1627亿元 中央厨房有望年内落地,上证报
205,2021-10-29,金龙鱼2021年三季度增收不增利：净利降超六成 盈利能力下降,亿欧网
206,2021-10-29,3000亿“油茅”金龙鱼业绩变脸，单季扣非净利润仅2.45亿 林园投资持续加仓 盈利能力下降,每日经济新闻
207,2021-10-29,金龙鱼：前三季度营收同比增长16.24%,中证网
208,2021-10-29,快讯 | 金龙鱼前三季度净利下滑27.68%%至36.81亿元，称上调售价并未完全抵消原材料成本上涨影响 盈利能力下降,财经网
209,2021-10-29,增收不增利！金龙鱼三季度净利降超六成：成本上涨拖累等 盈利能力下降,中新经纬
210,2021-10-29,金龙鱼前三季度营收超1627亿 研发推动产品结构不断升级,证券时报网
211,2021-10-29,金龙鱼：第三季度净利7.11亿元 同比降65.86% 盈利能力下降,e公司
212,2021-10-29,增收不增利！金龙鱼前三季度净利润同比降27.68% 盈利能力下降,资本邦
213,2021-10-29,金龙鱼：第三季度净利润10.29亿元 同比下降67.27% 盈利能力下降,格隆汇
214,2021-10-29,金龙鱼：前三季度净利润同比下降27.68%，三季度下降65.86% 盈利能力下降,Wind
215,2021-10-29,金龙鱼：前三季度净利润同比减少27.68% 盈利能力下降,Wind
216,2021-10-29,金龙鱼：公司中央厨房项目正在杭州、重庆、廊坊、西安等地筹建中，预计最快今年年底杭州项目会建成,每日经济新闻
217,2021-10-29,瞄准万亿级“蓝海” 益海嘉里金龙鱼将携“丰厨”亮相进博会,中国经营报
218,2021-10-28,西王之后，又一家玉米油龙头企业倒了——三星集团信用风险分析,中证鹏元评级
219,2021-10-27,上海区域股市周报：晶丰明源跌19.60%跌幅第一 1亿融资买入上汽集团,每日经济新闻
220,2021-10-27,A股早报2021年10月27日星期三,Wind
221,2021-10-27,金龙鱼10月26日现4笔大宗交易,证券时报网
222,2021-10-26,"金龙鱼现4笔大宗交易 共成交22,990.00万元",新浪
223,2021-10-26,金龙鱼今日大宗交易成交380万股，成交价60.5元折价2.25%,Wind
224,2021-10-25,金龙鱼：公司是2022北京冬奥会中国体育代表团的粮油产品赞助商,每日经济新闻
225,2021-10-25,云栖大会：不再受制于人，“中国芯”强势崛起,Ofweek
226,2021-10-21,10月A股大宗交易成交近200亿，机构大笔接盘这两类公司！,Wind
227,2021-10-21,燃烧吧，青春！世博地区2021“金龙鱼杯”篮球联赛隆重开赛,钢企网
228,2021-10-21,专题186 | 调味品的社区团购“功守道”,和讯
229,2021-10-20,金龙鱼：主营业务是厨房食品、饲料原料及油脂科技产品的研发、生产与销售,每日经济新闻
230,2021-10-20,金龙鱼：公司会持续拓展产业布局的深度和广度，推出更高端产品，并积极拓展产品品类，进入中央厨房、冷冻面团、复合调味品等细分领域,每日经济新闻
231,2021-10-20,金龙鱼：预计于2021年10月30日发布2021年第三季度报告,每日经济新闻
232,2021-10-20,金龙鱼：中央厨房项目未来会根据自身发展和市场需求等因素来决定生产的产品品类,每日经济新闻
233,2021-10-20,"金龙鱼现3笔大宗交易 共成交9,735.00万元",新浪
234,2021-10-20,金龙鱼今日大宗交易成交165万股，成交价59.0元折价4.72%,Wind
235,2021-10-19,金龙鱼：子公司内蒙古荷丰农业股份有限公司有小面积的种植基地，用于种植甜,每日经济新闻
236,2021-10-19,金龙鱼：“纽麦福”牛奶是公司的控股股东在新西兰子公司的优质产品,每日经济新闻
237,2021-10-19,金龙鱼：公司部分水稻、甜菜等业务有采用订单种植模式,每日经济新闻
238,2021-10-19,"金龙鱼现3笔大宗交易 共成交10,854.26万元",新浪
239,2021-10-19,金龙鱼今日大宗交易成交130万股，成交价60.1元折价3.76%,Wind
240,2021-10-19,曾掀起“食”油革命的金龙鱼，担得起“油茅”这个称号么？,钛媒体
241,2021-10-19,金龙鱼10月18现2笔大宗交易,证券时报网
242,2021-10-18,金龙鱼发生2笔大宗交易 合计成交5280.00万元,证券时报
243,2021-10-18,2日暴跌12%！是什么砸晕了金龙鱼？,格隆汇
244,2021-10-18,"金龙鱼现2笔大宗交易 共成交5,280.00万元",新浪
245,2021-10-18,金龙鱼今日大宗交易成交88万股，成交价60.0元折价4.47%,Wind
246,2021-10-18,A股资金流向（10月18日）：双重“利空”来袭，大消费不敌新能源让出“C位”,Wind
247,2021-10-18,“油茅”上市一年后不香了？年内股价腰斩市值跌超4500亿，林园也栽了,AI财经社
248,2021-10-18,金龙鱼重挫8%创年内新低，私募大佬林园中招了？,证券之星
249,2021-10-18,农产品研究跟踪系列报告(23)：布局Q4生猪绝地反击 继续看好种业板块,新浪
250,2021-10-18,破位下跌！金龙鱼(300999.SZ)一度跌超9%创年内新低,格隆汇
251,2021-10-18,发生了什么？5万亿赛道突然大跌：茅台跌6%！,Wind
252,2021-10-18,3连跌！3000亿巨头没了564亿，私募大佬林园“中招”,网易
253,2021-10-18,MAP beSide携手益海嘉里推出“品质溯源”原香稻,美通社
254,2021-10-17,食品专题策划三|社区团购冲击传统渠道 复合调味料潜力更大,财联社
255,2021-10-15,金龙鱼：公司与顺丰计划设立合资公司，合资公司将能够为公司的中央厨房业务提供物流配送以及仓储方面的支持,每日经济新闻
256,2021-10-15,A股资金流向（10月15日）：“锂光芯”全线上扬，医疗龙头闪崩频现,Wind
257,2021-10-15,益海嘉里中央厨房筹建中，引领中国餐饮发展新模式,钢企网
258,2021-10-14,金龙鱼穆彦魁：再造一次“厨房革命”,上证报
259,2021-10-14,金龙鱼：通常不会领先于行业进行涨价,每日经济新闻
260,2021-10-14,金龙鱼：公司中央厨房的运营模式是公司将依托现有生产基地，建立综合性的食品生产园区,每日经济新闻
261,2021-10-14,公司调料产品是否调价？金龙鱼回应,e公司
262,2021-10-14,金龙鱼：在行情没有巨大变动的情况下，我们尽可能会维持较为稳定的价格,Wind
263,2021-10-14,金龙鱼：公司目前进口的均为精炼棕榈油,Wind
264,2021-10-14,金龙鱼：公司会根据旺季需求来制订备货计划,Wind
265,2021-10-14,金龙鱼于上海成立健康食品公司，注册资本900万,贝壳财经
266,2021-10-13,陷提价传闻仍难破渠道天花板 海天味业高端化路途或遇阻,中国经济网
267,2021-10-13,基金经理组团下矿井、百亿量化私募突发大事,Wind
268,2021-10-13,食品饮料板块发力上扬 中炬高新、金龙鱼等走高,证券时报网
269,2021-10-13,创业板指涨幅扩大至2%，宁德时代、迈瑞医疗、金龙鱼集体走升,Wind
270,2021-10-12,金龙鱼(300999.SZ)：约1.6265亿股限售股将解禁 解禁,格隆汇
271,2021-10-12,金龙鱼(300999.SZ)1.63亿股限售股份于10月15日上市流通 解禁,智通财经
272,2021-10-12,金龙鱼：公司目前中央厨房项目正在杭州、重庆、廊坊、西安等地筹建中，预计最快今年年底会有项目建成,每日经济新闻
273,2021-10-12,金龙鱼：约1.63亿股限售股10月15日解禁 解禁,每日经济新闻
274,2021-10-12,金龙鱼：约1.63亿股限售股将于10月15日上市流通 解禁,Wind
275,2021-10-12,金龙鱼：近期山西强降雨对公司影响不大,每日经济新闻
276,2021-10-12,金龙鱼：公司中央厨房杭州项目正在筹建中，预计最快今年年底会建成,每日经济新闻
277,2021-10-12,强致癌物超标 ！金龙鱼关联公司再踩红线？,中金在线
278,2021-10-12,农林牧渔2021年10月投资策略：聚焦种业催化，布局畜禽反击,国信研究
279,2021-10-11,A股午盘综述：煤炭、军工、银行、保险造好，中国神华、招商银行大涨,Wind
280,2021-10-11,早报 (10.11) | 175万人受灾！多家科技公司捐款驰援山西；“油茅”金龙鱼本周将迎来超百亿解禁！易纲重磅发声，无牌从事金融业务违规,格隆汇
281,2021-10-11,董秘发飙，连发14个“多说无益”,中国财富网
282,2021-10-11,“医美茅”300亿巨额刚解禁，股东三年暴赚47倍后要减持！40股面临解禁,Wind
283,2021-10-10,又有超100亿大解禁！私募大佬潜伏，这只公募赚大了 解禁,中国基金报
284,2021-10-10,下周操盘攻略：9月CPI、PPI数据将公布，首批公司披露三季报,Wind
285,2021-10-10,3900亿元市值“油茅”下周解禁超百亿元！ 解禁,Wind
286,2021-10-10,3900亿元市值“油茅”下周解禁超百亿元！还有这些股票解禁规模大（附名单） 解禁,中证报
287,2021-10-09,下周40家公司321亿市值限售股解禁 解禁,Wind
288,2021-10-08,西部证券：维持金龙鱼(300999.SZ)“增持”评级 加码调味品业务 产能持续扩张,智通财经
