,2021-12-31,中国人保推出HarmonyOS智能座舱车载保险,中国金融新闻网
26,2021-12-16,五大险企前11月保费收入2.3万亿：寿险仍低迷，车险回暖,澎湃新闻
27,2021-12-16,成绩单出来了！5大上市险企前11月保费2.3万亿，寿险亮了,Wind
28,2021-12-16,港股盘前必读：美联储将基准利率维持不变，美股全线收涨,Wind
29,2021-12-16,李祝用兼任中诚信托董事长,中国银行保险报
30,2021-12-16,【非银*胡翔】上市险企11月保费数据点评：寿险持续承压，财险逐步回暖,新浪
31,2021-12-16,五大险企前11月保费收入微降，板块估值仍待修复,Wind
32,2021-12-15,五大上市险企前11月揽保费2.31万亿！寿险持续承压，车险拐点已现,国际金融报
33,2021-12-15,中国人保所持人保金融服务股份降至70.68%,乐居财经
34,2021-12-15,上市保险公司11月保费收入数据点评：寿险保费依旧承压 转型惯性或压制险企1季度表现,新浪
35,2021-12-15,【东吴非银 | 上市险企11月保费数据点评】寿险持续承压，财险逐步回暖,微信
36,2021-12-15,保险行业：2021年11月上市险企保费数据点评：重疾需求减弱开门红将承压 车险驱动财险回暖,新浪
37,2021-12-15,保险Ⅱ行业：“降费”支持国家战略 好于市场预期,广发证券
38,2021-12-14,保险资讯|中国人保前11月原保费收入5311.89亿元 中华人寿迎新总裁,搜狐
39,2021-12-14,保险行业：预计保费小幅下降 费率更具优势的龙头受益,新浪
40,2021-12-13,每经数读|1-10月九大险企保费出炉：车险综改届满一年，财险板块保费同比改善，单月保费转为正增长,每日经济新闻
41,2021-12-13,中国人保最新公告：前11月原保费收入5311.89亿元 同比增长2.17%,证券之星
42,2021-12-13,中国人保：1-11月累计原保险保费收入为5311.89亿元,36氪
43,2021-12-13,中国人保(601319.SH)3家子公司前11月原保险保费收入合计5311.89亿元,智通财经
44,2021-12-13,财联社12月13日电，中国人保公告，1-11月子公司中国人民财产保险股份有限公司、中国人民人寿保险股份有限公司及中国人民健康保险股份有限公司所获得的原保险保费收入分别为4052.28亿元、923.62,财联社
45,2021-12-13,大行原处长疯狂套资2亿余，再揭债券丙类户尘封的面纱,Wind
46,2021-12-10,人事｜中国人保副总裁李祝用履新中诚信托董事长,21世纪经济报道
47,2021-12-08,聚焦农险新业态 中国人保全方位助力乡村振兴,经济参考报
48,2021-12-07,中恒集团跨界投资输血关联方,新浪
49,2021-12-06,陈东辉：两次进出人保财险 执掌瑞再中国区 如今要退休？,新浪
50,2021-12-06,中国上市公司协会执行副会长柳磊：积极推动上市公司树立和践行ESG发展理念,Wind
51,2021-12-05,中上协：积极推动ESG与企业经营深度融合,Wind
52,2021-12-03,中国人保积极服务新时代老龄工作,中国金融新闻网
53,2021-12-03,中国人民财产保险股份有限公司党委委员、副总裁沈东接受纪律审查和监察调查 董监高成员异常事件,Wind
54,2021-12-02,中国人民保险集团股份有限公司A股 2021年半年度权益分派实施公告,证券时报
55,2021-12-01,中国人保(601319.SH)：2021半年度权益分派10派0.17元 股权登记日12月8日,格隆汇
56,2021-12-01,中国人保(601319.SH)半年度每股派0.017元 股权登记日为12月8日,智通财经
57,2021-11-29,半年近百万人离职，五大险企总市值缩水近三成，保险行业怎么了？,钛媒体
58,2021-11-26,徐丽娜担任中国人保独立董事任职资格获核准,乐居财经
59,2021-11-26,中国人保(601319.SH)：徐丽娜担任公司独立董事已生效,智通财经
60,2021-11-26,中国能建宋海良与中国人保董事长罗熹座谈！深化绿色低碳经济合作,液化天然气网
61,2021-11-25,国机集团与中国人保签署战略合作协议,e公司
62,2021-11-22,中国人保召开“科技赋能卓越保险”发布会,中证网
63,2021-11-22,A股五大上市险企前10月揽2.17万亿原保费 同比微降0.93%,中国网
64,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
65,2021-11-22,非银金融周报：北交所正式开市 重点关注投行/直投业务占优的券商,新浪
66,2021-11-22,中国人保公布一批科技创新成果,新浪
67,2021-11-19,金融业转型 中国人保科技赋能实体经济,第一财经
68,2021-11-19,社保基金会3个月累计减持中国人保A股3.17亿股 变现16.27亿元 减持股份,和讯
69,2021-11-18,10月上市险企保费数据点评：低基数导致保费增速边际回暖,华福证券有限责任公司
70,2021-11-18,晚间重要公告2021年11月18日星期四,Wind
71,2021-11-18,社保基金会减持中国人保进展：时间过半，减持3.17亿股，变现16.27亿元 减持股份,证券时报网
72,2021-11-18,社保基金会减持0.7163%中国人保A股股份 减持股份,上证报
73,2021-11-18,中国人保：委任张涛为股东代表监事、监事长,智通财经
74,2021-11-18,“乌龙指”事件上演？2800万元可能打水漂！氢能产业利好即将发布（附股）,证券时报网
75,2021-11-18,社保减持保险龙头3亿股，超千亿解禁洪流雪上加霜，氢能产业利好即将发布（附股） 减持股份,新浪
76,2021-11-18,深圳车险综改一年：车主受益，险企盈利空间承压,腾讯网
77,2021-11-18,社保基金会减持中国人保0.72%股份 减持股份,乐居财经
78,2021-11-18,中国人保：社保基金会以集中竞价方式累计减持公司A股3.168亿股 减持股份,Wind
79,2021-11-18,中国人保：第二大股东社保基金会累计减持公司A股约3.17亿股 减持股份,每日经济新闻
80,2021-11-18,中国人保(601319.SH)：减持期过半 社保基金会已减持3.17亿股 减持股份,格隆汇
81,2021-11-18,中国人保(601319.SH)：社保基金会已减持3.168亿股 减持时间过半 减持股份,智通财经
82,2021-11-18,2021年10月保费点评报告：寿险压力不减 产险边际改善,新浪
83,2021-11-17,中国人保：监事会选举张涛为监事长,证券时报网
84,2021-11-16,五上市险企前10月揽收保费2万亿！人保10月车险恢复正增长,国际金融报
85,2021-11-16,上市险企前10月保费出炉：寿险新单压力延续全年、车险保费触底反弹,21世纪经济报道
86,2021-11-16,中国人保超千亿市值限售股解禁上市流通 解禁,和讯
87,2021-11-16,网传部分新能源汽车被拒保 上险费率较燃油车贵21%！真相来了,上游新闻
88,2021-11-16,【东吴非银 | 上市险企10月保费数据点评】寿险弱势延续，财险承压渐解,微信
89,2021-11-16,【国君非银|上市险企10月保费点评】车险保费触底反弹，寿险边际改善预计为22Q2,欣琦看金融
90,2021-11-16,“A股三傻”谁最惨?还能买入吗?保险板块年内跌近四成居市场倒数第一,财富动力网
91,2021-11-15,金融报道 | 代理人清虚、准备金增提A股五家上市险企净利普降 盈利能力下降,财经网
92,2021-11-15,中国人保近1300亿市值限售股明日解禁，流通市值扩容近5倍 解禁,资本邦
93,2021-11-15,今周解禁市值1573.49亿元 解禁,财富动力网
94,2021-11-15,北交所今开市，上证主板迎千亿市值解禁,Wind
95,2021-11-15,大事！北交所开市，上证主板迎千亿市值解禁 解禁,Wind
96,2021-11-15,陆家嘴财经早餐2021年11月15日星期一,Wind
97,2021-11-14,24万股民要慌？巨头1300亿解禁来了，股价高位已暴跌62%！网友：已到底部还是又要遭暴捶 解禁,中国基金报
98,2021-11-14,下周操盘攻略：冬季躁动”渐入佳境,Wind
99,2021-11-14,中国人保下周解禁近1300亿元 解禁,e公司
100,2021-11-14,保险巨头下周解禁近1300亿元 解禁,Wind
101,2021-11-14,保险巨头下周解禁近1300亿元！20家机构参与“榨菜茅”定增浮亏1亿元，还有这些股票解禁压力大（名单） 解禁,金融界
102,2021-11-14,下周关注丨北交所下周一开市，这些投资机会最靠谱,第一财经
103,2021-11-13,四险企10月保费收入环比下降明显，或将大力布局“开门红” 盈利能力下降,AI财经社
104,2021-11-13,下周38股将解禁，合计解禁市值1573.49亿元（附股） 解禁,证券时报网
105,2021-11-13,周报丨原央行副行长空降人保党委副书记；传阳光保险明年赴港IPO,和讯
106,2021-11-12,下周1587亿市值限售股解禁，中国人保解禁市值近1300亿 解禁,Wind
107,2021-11-12,中国人民保险集团：张涛先生任中共中国人民保险集团股份有限公司委员会副书记,Wind
108,2021-11-12,中国人民保险集团：张涛同志任中共中国人民保险集团股份有限公司委员会副书记,Wind
109,2021-11-12,张涛任职中国人保(601319.SH)党委副书记,智通财经
110,2021-11-12,卓越品质 金生不凡——中国人保寿险推出“卓越金生”保险产品组合,中国银行保险报
111,2021-11-12,保险持续弱势，外资逆势增仓人保超9成，意欲何为？,Wind
112,2021-11-12,保险板块年内跌38%居A股市场倒数第一 外资逆势大幅加仓人保与太保,证券日报
113,2021-11-11,11.11丨原平安养老总裁跳槽医疗大数据公司；朝阳法院向银保监会建议规范网络互助,和讯
114,2021-11-11,中国人民保险集团：将于12月29日召开2021年第三次临时股东大会,Wind
115,2021-11-11,中国人保前十月保费收入4886.72亿元，人保健康原保费收入增长11.13%,资本邦
116,2021-11-10,【晚间公告抢先看】亿纬锂能称磷酸铁锂电池现已实现量产的产能、中伟股份拟在欧洲开展电池回收等合作,金融界
117,2021-11-10,晚间重要公告2021年11月10日星期三,Wind
118,2021-11-10,中国人保(601319.SH)：269.07亿股A股限售股将于11月16日上市流通 占总股本达60.84% 解禁,智通财经
119,2021-11-10,中国人保最新公告：11月16日将解禁269.07亿股 解禁,证券之星
120,2021-11-10,中国人保：11月16日将解禁269.07亿股 解禁,财联社
121,2021-11-10,中国人保(601319.SH)：约269.0657亿股限售股将解禁 解禁,格隆汇
122,2021-11-10,中国人保：1-10月保险保费收入累计4886.72亿元,财联社
123,2021-11-10,中国人保(601319.SH)前10月原保费收入4886.72亿元 同比增0.75%,格隆汇
124,2021-11-10,中国人保：269.07亿股首次公开发行限售股11月16日上市流通 解禁,Wind
125,2021-11-10,中国人保：1-10月原保险保费收入合计4886.7亿元,Wind
126,2021-11-10,中国人保全力应对北方暴雪,中国金融新闻网
127,2021-11-08,资产端负债端明显承压、公募基金仓位水平处于近十年底部，保险股反复磨底,腾讯网
128,2021-11-08,九成基金清仓跑路，保险股的寒冬何时能过去？,证券之星
129,2021-11-08,保险业2021三季报综述：供需错配致增长压力 需求广阔、打破供给驱动型增长模式是关键,新浪
130,2021-11-08,上市险企前三季净利1855亿下降7.1% 增提准备金压降利润寿险新单仍承压 盈利能力下降,长江商报
131,2021-11-08,机构罕见大逃离 九成基金“跑了” 截至三季度末仅有483只基金持有保险股,证券日报
132,2021-11-06,新能源车险市场争夺战加剧：主机厂、电池厂入局,Wind
133,2021-11-06,中国人保董事长罗熹：将提供高标准高质量的冬奥专属服务,证券日报网
134,2021-11-06,上市险企第三季度利润承压保险行业怎么了,Wind
135,2021-11-05,保险卖不动了？国寿、新华保险单季净利润腰斩 太保退保金暴增86％ 盈利能力下降,腾讯网
136,2021-11-05,保险行业2021年三季报综述：人力改革加速 投资表现稳健,新浪
137,2021-11-04,轻松保严选与中国人保强强联合，双向赋能用户权益保障,中经导报
138,2021-11-04,【上市险企三季报观察】投资端表现分化 负债端增速放缓,和讯
139,2021-11-04,11月限售股解禁前瞻：逾3000亿市值迎解禁 机械设备行业家数最多 解禁,面包财经
140,2021-11-03,别克新车高速自燃 保险4S店互相甩锅拒赔！车主血亏17万,快科技
141,2021-11-03,冀中能源：中国人保、富安达等10家机构于10月29日调研我司,证券之星
142,2021-11-02,上市险企第三季度利润承压 保险行业怎么了？ 盈利能力下降,经济观察网
143,2021-11-02,五大上市险企前三季度保费收入下滑 国寿、新华单季度净利腰斩 盈利能力下降,AI财经社
144,2021-11-02,社保大举加仓！证金汇金频频减持，三季度这么“炒股”,Wind
145,2021-11-01,【国君非银|保险三季报综述】供需错配已获共识，转型阵痛期业绩承压 经营问题,欣琦看金融
146,2021-11-01,每经数读|1-9月九大险企保费出炉：人身险保费增速由正转负，财险降幅进一步扩大，券商称车险综改对保费同比压制将逐渐解除,每日经济新闻
147,2021-11-01,【万联非银 | 中国人保】点评：非车拖累财险承保利润，寿险新单增长承压 盈利能力下降,万联证券研究所
148,2021-11-01,港股一线｜啤酒加价潮将至？保险龙头利润滑坡！10月港股升3.26%领涨亚洲 盈利能力下降,21经济网
149,2021-11-01,赔付支出、提取准备金同比增长，中国人保第三季度净利润38.91亿元同比降36 盈利能力下降,发现网
150,2021-11-01,五大险企三季度净利普降：寿险转型依然承压、车险保费不振 盈利能力下降,澎湃新闻
151,2021-11-01,五大上市险企三季报扫描：保费增长承压 投资收益亮眼,中证网
152,2021-11-01,集体调整精算假设，上市险企三季度业绩“降速”,Wind
153,2021-10-31,投资收益稳步增长！净利润下滑，五大上市险企四季度如何“突围” 盈利能力下降,中证报
154,2021-10-31,A股五大险企第三季度净利润同比降36%，寿险仍未见拐点 盈利能力下降,第一财经
155,2021-10-31,多个重磅会议召开!下周股市五大看点,中财网
156,2021-10-30,上市险企三季报陆续出炉，净利同比普降超三成，股民：开盘就卖 盈利能力下降,ZAKER
157,2021-10-30,招才进保 | 五大上市险企“2022招才季”，哪些职位上“热榜”？,和讯
158,2021-10-30,机构三季度持股趋分散，大资金偏爱钢铁和有色,Wind
159,2021-10-30,准备金计提增加、投资收益下滑、赔付增多三因素共振 四大险企第三季度合计净利同比下滑39% 盈利能力下降,证券日报
160,2021-10-29,11月解禁市值全年第三低 解禁,大众证券报
161,2021-10-29,中国人保(601319)2021年三季报点评：核心业务保持稳健 非车险出现承保亏损 亏损,新浪
162,2021-10-29,中国人保：截至2021年9月30日，公司房地产投资占投资资产比例不超过3%,每日经济新闻
163,2021-10-29,上市险企三季报压力不小： 国寿、平安新业务价值增速承压 新华、人保难言轻松,21世纪经济报道
164,2021-10-29,新能源真的为所欲为！宁德创新高，5000亿隆基逼近涨停,Wind
165,2021-10-29,保险业三巨头业绩均下滑 中国平安降幅进一步扩大 盈利能力下降,搜狐
166,2021-10-29,中国人保(601319)季报点评：财险业务稳定发展非车业务承保亏损 亏损,新浪
167,2021-10-29,中国人保前三季度实现净利润287.35亿元 同比增长10.5%,和讯
168,2021-10-29,投资端亮眼保费端承压，中国人保前三季度净利同比增加10.9%至207.75亿元,资本邦
169,2021-10-29,平安证券维持中国人保中性评级：非车业务影响承保利润，关注车险底部修复,每日经济新闻
170,2021-10-29,平安证券：给予中国人保中性评级,证券之星
171,2021-10-29,四大上市险企第三季度归母净利润同比大降 保险股被持仓位已降至近十年底部 盈利能力下降,财联社
172,2021-10-29,A股保险股集体下跌，新华保险、中国人寿跌超5%,澎湃新闻
173,2021-10-29,【行情】保险板块持续下行，新华保险大跌近7%，中国人寿跌超6%，中国太保、中国平安、中国人保等跟跌,金十数据
174,2021-10-29,中国人保第三季度营收1389.85亿元，同比增加2.7%,乐居财经
175,2021-10-29,投资端亮眼 保费端承压 中国人寿中国人保三季报业绩下滑,上证报
176,2021-10-28,中国人保公布三季报 前三季净利增加10.88%,新浪
177,2021-10-28,中国人保前三季度归母净利润同比增长10.9%,上证报
178,2021-10-28,中国人保第三季度营收净利双降 股东户数降2.8%,中国经济网
179,2021-10-28,中国人保：前三季度净利207.75亿元 同比增长10.9%,北京商报
180,2021-10-28,人保三季度净利润38亿降36%：赔付支出、提取准备金增长,澎湃新闻
181,2021-10-28,中国人保：前三季度净利润同比增长10.88%,Wind
182,2021-10-28,中国人保：第三季净利同比降36.6%,金融界
183,2021-10-28,图解中国人保三季报：第三季度单季净利润同比减36.57%,证券之星
184,2021-10-28,中国人保：第三季净利3同比降36.6%,格隆汇
185,2021-10-28,中国人保：第三季度净利38.91亿元 同比下降37%,财联社
186,2021-10-28,中国人保：第三季度净利润38.91亿元，同比下降36.6%,Wind
187,2021-10-28,招商积余(001914)2021年三季报点评：核心物管业务稳健发展 非住领域领先优势明显,光大证券
188,2021-10-27,保险负债端拐点未现,证券市场周刊
189,2021-10-27,保险业能否凭借数字化手段突破困局,中国金融新闻网
190,2021-10-25,同心筑梦 启赋未来｜中国人保（深圳）金融大厦竣工交付圆满成功 运营耀目盛启,奥一网
191,2021-10-23,中国人保（深圳）金融大厦为红岭新兴金融产业带注入新动能,证券时报网
192,2021-10-23,中国人保担任北京2022年冬奥会合作伙伴轮值主席,澎湃新闻
193,2021-10-22,赛道开启：新能源车险落地前夜，特斯拉、宁德时代巨头杀入,和讯
194,2021-10-22,科技赋能 共同担当——中国人保集团召开大灾应对研讨会,新浪
195,2021-10-22,A股五大险企前9月实现保费约2.04万亿，车险保费增速四季度有望改善,Wind
196,2021-10-21,地产风险恐慌缓解，金融保险开启估值纠偏？,财经网
197,2021-10-21,中国平安大涨超5%，保险股全线飘红！机构：行业最差时点即将过去,中证报
198,2021-10-21,中国人保担任北京2022年冬奥会合作伙伴俱乐部轮值主席,中国金融新闻网
199,2021-10-21,保险卖不动了？五大险企前9个月整体保费负增长 保费增速逐月递减,和讯
200,2021-10-21,中国人保总裁王廷科：金融科技助力保险业以数字化手段破局图新,中国金融新闻网
201,2021-10-21,中国人保已接报案20余笔 推五项举措应对沈阳爆炸事故 安全事故,中国金融新闻网
202,2021-10-20,安踏、中国石油、中国人保接任北京冬奥会合作伙伴俱乐部轮值主席,新京报
203,2021-10-20,北京2022冬奥会合作伙伴俱乐部轮值主席单位换届：安踏集团、中国石油、中国人保三家联合接棒,北京商报
204,2021-10-20,老板电器股价大跌近7%创一年新低，应收账款减值风险需警惕,第一财经
205,2021-10-20,微观流动性跟踪双周报：北上投资偏向价值 个人账户出现背离,新浪
206,2021-10-20,非银金融行业9月上市险企保费数据点评：负债端压力仍存 静待数据回暖,华福证券有限责任公司
207,2021-10-20,农业保险科技利器让农民心里更踏实,中国金融新闻网
208,2021-10-20,农业保险如何答好乡村振兴这份考卷？,中国金融新闻网
209,2021-10-19,六大险企前3季度保费收入2.2万亿降0.7%，平安个险新单保费962.7亿同比降1.5% 盈利能力下降,搜狐
210,2021-10-19,寿险持续承压，财险保费将迎来向上拐点,欣琦看金融
211,2021-10-19,前三季5大上市险企保费2万亿 寿险增速中国人保垫底,中国经济网
212,2021-10-19,【国君非银】寿险持续承压，财险保费将迎来向上拐点——2021年9月上市险企保费数据点评,欣琦看金融
213,2021-10-19,【东吴非银 | 上市险企9月保费数据点评】负债端颓势延续，静待曙光显现,微信
214,2021-10-18,非银金融行业：东财拉开Q3优异季报序幕 保险在投资端带动下继续反弹,新浪
215,2021-10-17,【国君非银|保险三季报前瞻】负债端压力延续，开门红重要性预计减弱,欣琦看金融
216,2021-10-15,中国人保(601319.SH)：监事李慧琼任职资格获银保监会核准,智通财经
217,2021-10-15,中国人保前三季度保费同比微增0.17% 车险保费同比下降8.2%,证券日报网
218,2021-10-14,200万保险代理大转身：寿险转型棋至中盘 提质增效需解决两大“痛点”,新浪
219,2021-10-14,企业观 | 中国人保前9月保费收入4544亿元 业务结构现调整,财经网
220,2021-10-14,每经数读 | 1-8月九大险企保费大PK：大地保险负增长垫底，寿险持续低迷，财险有望在四季度迎来边际改善,每日经济新闻
221,2021-10-13,听4S店还是保险公司？事故后特斯拉4S店说更换，中国人保建议到非官方店维修 产品问题,东方网
222,2021-10-13,中国人保：人保财险前9个月原保险保费收入同比增长0.5%至3457.96亿元,新浪
223,2021-10-13,晚间重要公告2021年10月13日星期三,Wind
224,2021-10-13,中国人保前三季保费收入4543.82亿 同比微增0.17%,中国经济网
225,2021-10-13,中国人保：前9月原保险保费收入共计4543.82亿元,乐居财经
226,2021-10-13,中国人保(601319.SH)获原保险保费收入4543.82亿元,智通财经
227,2021-10-13,中国人保(601319.SH)前9月原保费收入4543.82亿元 同比增长0.17%,格隆汇
228,2021-10-13,中国人保：1-9月子公司获得原保险保费收入分别为3457.96亿元、779.36亿元及306.5亿元,36氪
229,2021-10-13,中国人保：前9月保险保费收入合计4543.82亿元,财联社
230,2021-10-11,新银保会是平安寿险改革杀出的黑马吗？,Wind
231,2021-10-11,美团、阿里大涨超9%！港股科技板块强势反弹,Wind
232,2021-10-08,保险股“大回血”！中国平安大涨超7% 分析师：保险板块估值处于历史底部,每日经济新闻
233,2021-10-08,爆拉7%！中国平安崛起，保险股大回血，什么情况？,Wind
234,2021-10-05,A股5大上市险企前8月保费数据披露完毕,财界网
235,2021-10-02,中国人保快速应对大连冰雹极端天气 做出五大服务承诺,中证网
236,2021-09-30,保险业：保费增长依旧承压 亟待转型发展,新浪
237,2021-09-30,【东吴非银 |非银行业2021三季度业绩前瞻】行业景气驱动业绩持续提升，看好券商长期阿尔法,微信
238,2021-09-29,拐点未至 保险业转型仍然“压力山大”,金融时报
239,2021-09-29,关于房地产投资 看看险资是怎么看的,金融界
240,2021-09-28,中国人保肖建友：人身险业面临变局 人保寿险个险营销应开创新局面,中国金融新闻网
241,2021-09-28,险企让利车主，车险综改后近九成保单签单保费下降,南方网
242,2021-09-27,五大险企整体保费负增长 年内股价平均跌去近三成,和讯
243,2021-09-27,流失超百万人：这类职业 从业人数骤降！有人3个月没收入 盈利能力下降,央视财经
244,2021-09-27,非银金融行业：证券业正在发生底层变革 保险将迎来估值修复,新浪
245,2021-09-27,寿险行业何时渡过至暗时刻,红周刊
246,2021-09-26,十九届中央第八轮巡视将对25家金融单位党组织开展巡视,Wind
247,2021-09-24,A股上市险企涉房投资约4500亿：审慎投资、占比很小,Wind
248,2021-09-23,中国人保：公司股价波动受资本市场和行业因素共同影响,和讯
249,2021-09-23,非银金融行业跟踪：继续看好证券板块表现,新浪
250,2021-09-21,非银金融周报：北交所散户门槛低至50万 有效预防流动性风险,新浪
251,2021-09-19,中国人保积极应对贵州客船侧翻事故 安全事故,证券时报
252,2021-09-17,亮相第十届广州金交会 中国人保传递保险温度,中国金融新闻网
253,2021-09-17,保险行业上市保险公司8月保费收入数据点评：8月保费同比继续放缓 板块估值已在底部,新浪
254,2021-09-17,上市险企全年业绩或难达预期，开门红重要性将有所降低,Wind
255,2021-09-17,保险行业：保费持续承压 预计22年开门红重要性降低,新浪
256,2021-09-16,中国人保：9月23日参加北京辖区上市公司投资者集体接待日,Wind
257,2021-09-14,非银金融行业：北交所就细则征求意见 保险亮点逐渐显现,新浪
258,2021-09-13,中国人保：银保监会已核准崔历女士担任本公司独立董事的任职资格,新浪
259,2021-09-13,非银金融行业跟踪：证券行业景气度望持续提升 板块再获两融资金青睐,新浪
260,2021-09-10,中国人保前8月保费收入4117.32亿 同比微增0.33%,中国经济网
261,2021-09-10,中国财险：将于10月28日举行临时股东大会,Wind
262,2021-09-10,中国人保(601319.SH)前8月原保费收入4117.32亿元 同比增长0.33%,格隆汇
263,2021-09-10,中国人保(601319.SH)获得原保险保费收入4117.32亿元,智通财经
264,2021-09-10,江苏神通：华泰证券、中国人保资产等2家机构于9月9日调研我司,证券之星
265,2021-09-09,保险产品密集迭代，保障型改革再提速,Wind
266,2021-09-08,2021年保险业中报综述：请给短期业绩留一份耐心 请给行业龙头留一份信心,新浪
267,2021-09-08,A股上市险企总投资收益率“四升一降” 中国人保年化6.7％居首,金融界
268,2021-09-07,寿险保费收入缩水！上半年中国人保保费承压 营收增速四年同期最低 盈利能力下降,投资时报
269,2021-09-07,中国人保财险、寿险经营两重天，寿险新业务价值同比降幅大 | 中报季,中金在线
270,2021-09-06,钱智民拜访中国人保董事长罗熹,我的煤炭网
271,2021-09-06,中国人保连续斩获公司治理奖项,中证网
272,2021-09-06,中国人保：发挥保险优势 促进服贸繁荣,中国金融新闻网
273,2021-09-05,中国人保紧急应对黑龙江挂车拖拉机相撞重大交通事故 安全事故,中国金融新闻网
274,2021-09-03,非银金融行业：龙头券商中报亮眼 财富管理行情继续深化,新浪
275,2021-08-31,非银金融行业跟踪：流动性&风险偏好上升 继续看好板块投资机会,新浪
276,2021-08-31,A股中报收官，4大主力资金重仓名单全披露,Wind
277,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
278,2021-08-30,业绩表现超预期 中国人保获多家券商积极评价,上证报
279,2021-08-30,陆家嘴财经早餐2021年8月30日星期一,Wind
280,2021-08-30,偏爱金融股，“长线资金”布局路线图浮现,Wind
281,2021-08-30,权益投资救场，上市险企上半年业绩“不难看”,Wind
282,2021-08-27,A股“爆雷”日！中报下周收关，几家欢喜几家愁,Wind
283,2021-08-27,中国人保财险状告江铃汽车等，因追偿权纠纷 诉讼纠纷,乐居财经
284,2021-08-25,中国人保中报：净利大涨营收微增，寿险承转型遇困,搜狐
285,2021-08-25,中国人保非车险业务占比首次过半 寿险业务收入下滑 盈利能力下降,时代周报
286,2021-08-25,瑞信：维持中国人保“中性”评级，目标价升至2.6港元,资本邦
287,2021-08-25,证金汇金二季度买了啥？这些领域后市机会大,Wind
288,2021-08-24,中国人保天津市塘沽支公司因违法违规被罚27万 法人同时警告并处罚 其他违规处罚,中华网
289,2021-08-24,中国人保状告宇通客车等 案由系保险人代位求偿权纠纷 诉讼纠纷,乐居财经
290,2021-08-24,中国人保：上半年新能源汽车保费贡献度3.3%,Wind
291,2021-08-24,高盛：维持中国人保(1339.HK)“买入”评级 目标价升至3.3港元,格隆汇
292,2021-08-24,中国人保披露2021年半年报：归母净利润大涨34%,证券之星
293,2021-08-24,中国人保状告一汽惠迪等，因机动车交通事故责任纠纷 诉讼纠纷,乐居财经
294,2021-08-24,有关股价低迷、车险综改影响等问题 中国人保一一回应,中国银行保险报
295,2021-08-24,股价低迷、人身险新业务价值同比下降25%、车险综改影响……中国人保一一正面回应,中国银行保险报
296,2021-08-24,回应股价下跌、后市展望、河南暴雨影响，人保业绩发布会这样说,第一财经
297,2021-08-24,“重回C位”进展如何？股价下跌要怎么办？中国人保业绩发布会快看,资本邦
298,2021-08-24,中国人保逐一回应新能源车赔付、股价波动等热点问题,和讯
299,2021-08-24,图说中报丨2021中国人保中期业绩,和讯
300,2021-08-24,中国人保交成绩单，高管回应车险改革等热点问题,北京日报
301,2021-08-24,上半年业绩稳中有进 中国人保“卓越保险战略”落地成效初显,新浪
302,2021-08-24,中国人保投资赚超353亿 后市加码优质股权资产,全景网
