,2021-12-31,洛阳钼业(03993)拟为CMOC Brasil提供本金不超过六亿美元担保 大额借贷担保,智通财经
67,2021-12-02,北向资金今日净买入30.21亿元，宁德时代连续6日净买入累计加仓超24亿,Wind
68,2021-12-02,【异动股】洛阳钼业(03993.HK)跌3.93%,财华社
69,2021-12-02,援建基础设施，洛阳钼业旗下TFM为刚果金矿区社区发展筑牢根基,凤凰网
70,2021-12-01,洛阳钼业(03993.HK)：截至11月30日累计回购9239.91万股A股,格隆汇
71,2021-12-01,洛阳钼业：11月公司未实施股份回购,Wind
72,2021-12-01,洛阳钼业：由于刚果金约80%左右的钴是通过南非德班港口出口至全球，如果疫情持续蔓延，将有可能影响钴到达下游加工厂的时间,每日经济新闻
73,2021-12-01,洛阳钼业：公司刚果（金）铜钴矿生产运营正常,每日经济新闻
74,2021-12-01,洛阳钼业：公司与欧亚资源、嘉能可一同发起钴溯源项目Re|source，特斯拉是Re|source的重要合作伙伴之一,每日经济新闻
75,2021-12-01,洛阳钼业：累计回购约9240万股，占比0.43%,每日经济新闻
76,2021-12-01,洛阳钼业(603993.SH)斥资6.41亿元累计回购9239.91万股,智通财经
77,2021-12-01,洛阳钼业(603993.SH)：11月未实施股份回购,格隆汇
78,2021-11-30,需求增强叠加南非疫情 电解钴创三年新高 相关产品明年或稳中上行,财联社
79,2021-11-30,洛阳钼业(603993)：对外提供担保 大额借贷担保,资本邦
80,2021-11-30,洛阳钼业：对外担保1.85亿元 大额借贷担保,Wind
81,2021-11-30,港股资源股逆市拉升 赣锋锂业、洛阳钼业双双涨逾4%,中证网
82,2021-11-30,【异动股】洛阳钼业(03993.HK)涨3.87%,财华社
83,2021-11-30,洛阳钼业AH齐涨 疫情扰动 钴价有望超预期,格隆汇
84,2021-11-30,港股异动 | 洛阳钼业(03993)升超5% 钴价突破年内高点，中信继续看多后市价格,智通财经
85,2021-11-30,新能源金属价格创3年新高，机构高度关注这些股,Wind
86,2021-11-30,洛阳钼业(03993.HK)向富川矿业提供融资担保 大额借贷担保,格隆汇
87,2021-11-29,金属、非金属与采矿行业周报：南非变异病毒扰动供给 钴价有望再超预期,新浪
88,2021-11-29,金属行业新能源板块周报：钴供应端扰动再现 重视钴板块配置机遇,新浪
89,2021-11-29,TFM持续优化刚果金矿区社区医疗条件，洛阳钼业积极履行社会责任,凤凰网
90,2021-11-29,中国建筑中标非洲区域矿山冶炼类项目！,微信
91,2021-11-26,北向资金净卖出近45亿结束连续5日净买入，招商银行净卖出超6亿元,Wind
92,2021-11-26,【异动股】洛阳钼业(03993.HK)跌3.92%,财华社
93,2021-11-25,【趣点】每吨破43万元大关，“钴奶奶”身价又涨！相关上市公司“乐翻天”？,财华社
94,2021-11-25,【异动股】洛阳钼业(03993.HK)涨3.19%,财华社
95,2021-11-25,洛阳钼业巴西铌磷产量、回收率创月度新高,凤凰网
96,2021-11-25,【行情】港股碳中和概念股涨跌互现，洛阳玻璃(01108.HK)涨幅扩大至14.18%，洛阳钼业(03993.HK)涨近3%，比亚迪股份(01211.HK)跌约3%，兖州煤业股份(01171.HK)跌2,金十数据
97,2021-11-24,洛阳钼业喜获第三届新财富最佳上市公司奖,凤凰网
98,2021-11-23,有色行业2022年度策略：新能源重塑锂钴镍行业格局,新浪
99,2021-11-22,有色金属行业动态报告：工信部对锂电规范征求意见 政策关注下锂镍将持续受益,新浪
100,2021-11-22,小摩增持洛阳钼业(03993)约125.71万股，每股作价约4.42港元,智通财经
101,2021-11-19,【权益变动】洛阳钼业(03993.HK)获摩根大通增持125.7081万股,财华社
102,2021-11-19,小摩减持洛阳钼业(03993)约233.87万股，每股作价约4.48港元 减持股份,智通财经
103,2021-11-18,【权益变动】洛阳钼业(03993.HK)被摩根大通减持233.8728万股 减持股份,财华社
104,2021-11-17,洛阳钼业以教育促进矿区发展，TFM社区基金奖学金项目迎来第一届大学毕业生,凤凰网
105,2021-11-16,洛阳钼业：公司没有铀矿资源,每日经济新闻
106,2021-11-16,洛阳钼业董秘回复：公司拥有丰富的资产组合，长期看好新能源赛道,证券之星
107,2021-11-16,洛阳钼业：限电对公司影响有限，国内钼钨板块生产运营正常,每日经济新闻
108,2021-11-16,洛阳钼业：人民币升值对于公司的影响非常有限,每日经济新闻
109,2021-11-16,洛阳钼业：巴西的磷肥80%依赖进口，公司巴西磷产品为高浓度和低浓度磷肥，均用于农业,每日经济新闻
110,2021-11-16,洛阳钼业：公司巴西铌磷板块生产运营正常,每日经济新闻
111,2021-11-16,洛阳钼业：公司第二期员工持股计划目前处于内部讨论阶段,每日经济新闻
112,2021-11-16,洛阳钼业：公司自身不从事农业生产,每日经济新闻
113,2021-11-16,洛阳钼业：公司目前是全球第二大钴生产商,每日经济新闻
114,2021-11-16,洛阳钼业：公司各个板块生产经营正常,每日经济新闻
115,2021-11-16,洛阳钼业：公司暂时没有将IXM拆分上市的规划,Wind
116,2021-11-16,洛阳钼业：公司暂时没有将IXM拆分上市的规划,每日经济新闻
117,2021-11-16,“锂电池之父”预警：锂电池原材料5-10年将消耗殆尽,Wind
118,2021-11-16,有色金属行业周报：锂资源长期短缺继续推荐 铝价企稳关注左侧布局机会,新浪
119,2021-11-16,洛阳钼业(03993.HK)获摩根大通增持125.71万股,格隆汇
120,2021-11-15,有色金属行业周报：新能源汽车产销高景气 继续看好能源金属,新浪
121,2021-11-15,智通港股通资金流向统计(T+2)|11月15日,智通财经
122,2021-11-15,洛阳钼业(03993.HK)遭摩根大通减持233.87万股 减持股份,格隆汇
123,2021-11-12,洛阳钼业(03993)为子公司提供合计不超1.5125亿美元的担保 大额借贷担保,智通财经
124,2021-11-12,洛阳钼业：对外担保总额占最近一期经审计净资产的74.33%,Wind
125,2021-11-12,小摩增持洛阳钼业(03993)约198.69万股，每股作价约4.45港元,智通财经
126,2021-11-11,洛阳钼业在非洲：TFM“玉米信贷计划”助推社区经济、社会发展,凤凰网
127,2021-11-11,【权益变动】洛阳钼业(03993.HK)获摩根大通增持198.6851万股,财华社
128,2021-11-10,有色金属行业专题研究：板块业绩兑现有力 结构性行情将持续演绎,新浪
129,2021-11-10,【异动股】洛阳钼业(03993.HK)跌6.94%,财华社
130,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
131,2021-11-09,钴价倒挂原料价格，锂价居高稳定,金融界
132,2021-11-08,BlackRock Inc.增持洛阳钼业股份约1160.22万股,每日经济新闻
133,2021-11-08,花旗增持洛阳钼业(03993)约488.68万股，每股作价约4.76港元,智通财经
134,2021-11-08,【港股通】洛阳钼业(03993)反弹4.28% 此前获花旗增持488.68万股,和讯
135,2021-11-08,洛阳钼业(03993.HK)获花旗增持488.68万股,格隆汇
136,2021-11-05,【权益变动】洛阳钼业(03993.HK)获花旗集团增持488.681万股,财华社
137,2021-11-05,Citigroup Inc.增持洛阳钼业股份约488.68万股,每日经济新闻
138,2021-11-05,A股融资融券日报：两融余额增加33.85亿元（11月4日）,Wind
139,2021-11-05,洛阳钼业(03993.HK)获摩根大通增持198.69万股,格隆汇
140,2021-11-03,洛阳钼业今日大宗交易成交168万股，成交价5.9元溢价0.0%,Wind
141,2021-11-03,BlackRock Inc.减持洛阳钼业股份约2899.45万股 减持股份,每日经济新闻
142,2021-11-03,洛阳钼业现1笔大宗交易 共成交991.20万元,新浪
143,2021-11-01,【异动股】洛阳钼业(03993.HK)跌3.52%,财华社
144,2021-11-01,港股异动 | 洛阳钼业(3993.HK)涨约4% 获花旗增持488.68万股,格隆汇
145,2021-11-01,洛阳钼业(03993.HK)获花旗增持488.68万股,格隆汇
146,2021-10-31,洛阳钼业(603993.SH)：截至10月末累计回购9239.91万股 耗资约6.41亿元,格隆汇
147,2021-10-31,洛阳钼业：累计回购约9240万股，占比0.43%,每日经济新闻
148,2021-10-31,洛阳钼业：累计回购9239.91万股 耗资6.41亿元,财联社
149,2021-10-31,有色金属行业周报：锂板块已充分调整继续推荐 基本金属价格继续调整建议关注,新浪
150,2021-10-29,洛阳钼业(03993)10月29日耗资约3748.62万元回购625.5万股,智通财经
151,2021-10-29,洛阳钼业(03993.HK)10月29日耗资3748.6万元回购625.5万股A股,格隆汇
152,2021-10-29,[公司]铜、钴市场价格上涨 洛阳钼业2021前三季度净利同比增逾一倍至35.58亿元,全景网
153,2021-10-29,洛阳钼业前三季净利润同比增长121%至35.58亿元,资本邦
154,2021-10-28,洛阳钼业前三季度利润增长121%,长江有色
155,2021-10-28,洛阳钼业股价跌4.8% 前三季度净利增速远超营收增速,中国经济网
156,2021-10-28,恒指收跌0.28%，有色、煤炭股延续跌势,Wind
157,2021-10-28,西部证券维持洛阳钼业买入评级，2021三季报点评：TFM销量下降影响Q3单季业绩 盈利能力下降,每日经济新闻
158,2021-10-28,恒指午盘跌0.08%，有色、能源股领跌,Wind
159,2021-10-28,洛阳钼业前三季度净利润增长121% 年内或覆盖特斯拉供应链,上证报
160,2021-10-28,【AH互动】洛阳钼业(03993)三季度净利润强劲 惟AH股齐齐下挫,和讯
161,2021-10-28,港股异动 | 洛阳钼业(03993)大跌7% 单季净利环比明显下滑 盈利能力下降,智通财经
162,2021-10-28,快讯：有色金属板块走低 中国铝业跌超8%洛阳钼业跌近7%,新浪
163,2021-10-28,【异动股】洛阳钼业(03993.HK)跌6.92%,财华社
164,2021-10-28,港股盘前必读：中国平安前三季度净利润816.38亿元同比下降20.8%,Wind
165,2021-10-28,东亚前海·磷化工日报：又一汽车巨头确认磷酸铁锂,新浪
166,2021-10-28,洛阳钼业(603993)：21Q3利润保持平稳 矿山金属产量符合预期,新浪
167,2021-10-27,洛阳钼业公布三季报 前三季净利增加121.07%,新浪
168,2021-10-27,【港股通】洛阳钼业(03993)前三季度净利润35.58亿元 同比增长121.07%,和讯
169,2021-10-27,洛阳钼业：第三季度归属于股东的净利润为11.50亿元，同比增91.06%,Wind
170,2021-10-27,洛阳钼业(603993.SH)：第三季度净利增91.06%至11.5亿元,格隆汇
171,2021-10-27,洛阳钼业：第三季度实现净利润11.50亿元，同比增长91.06%,36氪
172,2021-10-27,历史新高！ 洛阳钼业前三季度业绩远超去年全年,证券日报网
173,2021-10-27,价格涨65%！需求量或将提升20倍，这种原材料极度稀缺，北上资金加仓概念股,证券时报网
174,2021-10-27,洛阳钼业：第三季度净利同比增91% 铜钴市场价格上涨,e公司
175,2021-10-27,新鲜出炉！洛阳钼业：2021年第三季度净利润约11.5亿元，同比增长91.06%,每日经济新闻
176,2021-10-27,Citigroup Inc.增持洛阳钼业股份约508.30万股,每日经济新闻
177,2021-10-27,洛阳钼业：前三季度净利润同比增长121.07%,Wind
178,2021-10-27,洛阳钼业：第三季度净利同比增长91.06%,财联社
179,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
180,2021-10-24,有色金属行业周报：锂矿长期短缺继续推荐 铜铝价格调整带动板块下行,新浪
181,2021-10-23,A股ESG评级整体偏低？MSCI专家独家解读：中国公司正展示出强劲的上升动能,Wind
182,2021-10-19,有色金属行业周报：新能源车销量环比高增 持续看好锂铝,新浪
183,2021-10-19,Citigroup Inc.减持洛阳钼业股份约882.64万股 减持股份,每日经济新闻
184,2021-10-19,北向资金今日净买入39.06亿元，继续大幅加仓宁德时代超7亿元,Wind
185,2021-10-19,左晖走后，两位神秘富豪入场了,和讯
186,2021-10-19,北向资金净卖出超80亿元，创近两个月新高，大幅抛售白酒股（名单）,21世纪经济报道
187,2021-10-19,每日理财观察：首批MSCI中国A50互联互通ETF获批,Wind
188,2021-10-19,北向资金动向盘点：弃贵州茅台，买宁德时代,Wind
189,2021-10-19,港股盘前必读：快手与NBA中国达成多年战略合作伙伴关系,Wind
190,2021-10-18,有色金属行业周报：全球能源危机影响供应 基本金属价格走高,华安证券
191,2021-10-18,金融街下午茶2021年10月18日星期一,Wind
192,2021-10-18,恒指探底回升收涨0.31%，原材料、能源、医药股领涨,Wind
193,2021-10-18,有色金属行业研究周报：铀重获关注,新浪
194,2021-10-18,港股有色金属股集体上涨 洛阳钼业(3993.HK)涨超7%,格隆汇
195,2021-10-18,【异动股】洛阳钼业(03993.HK)涨5.6%,财华社
196,2021-10-18,港股原材料板块表现强势 洛阳钼业、东岳集团均涨逾5%,中证网
197,2021-10-18,有色金属行业周报：锂个股三季度业绩高增长继续推荐 铜锌价格大涨带动板块上行,新浪
198,2021-10-16,贵州茅台ESG遭MSCI“减分”侧影：多公募责任主题基金重仓，折射价值理念仍有分歧,Wind
199,2021-10-15,洛阳钼业(03993.HK)：10月27日举行董事会会议审批三季度业绩,格隆汇
200,2021-10-15,洛阳钼业：定于十月二十七日举行董事会会议,Wind
201,2021-10-15,【异动股】洛阳钼业(03993.HK)涨4.55%,财华社
202,2021-10-14,洛阳钼业：与宁德时代根据2021年4月10日签署的战略合作协议保持战略合作,每日经济新闻
203,2021-10-14,洛阳钼业：ReISource项目试点将持续到2021年末，目前已在刚果(金)和欧洲的多个采矿现场开始试点，并计划于今年在亚洲和美国展开试点,每日经济新闻
204,2021-10-14,洛阳钼业：公司位于国内的下属子公司生产运营正常,每日经济新闻
205,2021-10-14,洛阳钼业：ReISource项目试点将持续到2021年末,Wind
206,2021-10-14,洛阳钼业：公司未参与收购千禧锂业,Wind
207,2021-10-14,一场关于钴矿的能源战已打响！宁德时代与LG新能源等动力电池巨头纷纷布局,Ofweek
208,2021-10-12,洛阳钼业：你所不知道的国际化“智慧”矿企|第一财经X亚马逊云科技,第一财经
209,2021-10-12,【异动股】洛阳钼业(03993.HK)涨3.29%,财华社
210,2021-10-12,量价齐增 钼产业链公司前三季度业绩抢眼,中证报
211,2021-10-11,“钴奶奶”持续发力 一年半价格涨幅近6成,央视财经
212,2021-10-11,【市场观潮】一年半大涨近6成！钴市行情躁动不止，相关概念股持续走强！,财华社
213,2021-10-11,洛阳钼业(03993)9月累计回购约8614.41万股A股 涉资约6.03亿元,智通财经
214,2021-10-11,洛阳钼业：于9月30日回购2012.61万股普通股,Wind
215,2021-10-11,洛阳钼业：斥资1.25亿港元购回2012万股股份,Wind
216,2021-10-11,洛阳钼业(03993.HK)：通过集中竞价交易方式已累计回购8614.4万股A股,格隆汇
217,2021-10-11,洛阳钼业(603993.SH)：截至9月底 第二期已累计回购8614.41万股A股,格隆汇
218,2021-10-11,洛阳钼业：截至2021年9月30日已累计回购约8614万股，占比0.4%,每日经济新闻
219,2021-10-10,这种稀缺资源，价格疯涨！20年，需求量或将暴增20倍！,Wind
220,2021-10-10,突然！这种稀缺资源，价格疯涨！20年，需求量或将暴增20倍！一场能源争夺战已打响,央视财经
221,2021-10-08,有色金属行业研究周报：铀重获关注,新浪
222,2021-10-08,【异动股】洛阳钼业(03993.HK)跌3.09%,财华社
223,2021-10-08,有色金属行业周报：锂价有望创历史新高继续推荐 铝价中枢上涨趋势不改建议持有,新浪
224,2021-10-08,河南省上市公司“中考”成绩放榜 半年赚了三百七十亿元,河南日报
225,2021-10-07,洛阳钼业：与多家央企达成战略合作 加速存量资源开发,中国有色
226,2021-10-05,【异动股】洛阳钼业(03993.HK)涨5.56%,财华社
227,2021-10-05,BlackRock Inc.增持洛阳钼业股份约2866.52万股,每日经济新闻
228,2021-10-04,港股异动 | 洛阳钼业(3993.HK)跌4% 遭贝莱德减持287.4万股 减持股份,格隆汇
229,2021-09-30,【权益变动】洛阳钼业(03993.HK)被贝莱德减持287.4万股 减持股份,财华社
230,2021-09-30,BlackRock Inc.减持洛阳钼业股份约287.40万股 减持股份,每日经济新闻
231,2021-09-30,【异动股】洛阳钼业(03993.HK)涨3.4%,财华社
232,2021-09-30,河南区域股市周报：新增1家上市公司 3家机构调研四方达,每日经济新闻
233,2021-09-30,洛阳钼业：与多家央企达成战略合作，加速存量资源开发,证券时报网
234,2021-09-30,洛阳栾川钼业集团股份有限公司 2021年第三季度报告,证券日报
235,2021-09-29,宁德时代逾19亿元拿下加拿大锂业公司，锂资源争夺进入白热化,财经网
236,2021-09-29,宁德时代出海“夺食”，锂原料争夺战背后出路在哪,北京商报
237,2021-09-29,锂资源“竞购战”见分晓！宁德时代拔得头筹,Wind
238,2021-09-29,【异动股】洛阳钼业(03993.HK)跌7.47%,财华社
239,2021-09-29,有色金属板块走低 中国大冶有色金属跌超7%洛阳钼业跌近6%,新浪
240,2021-09-28,洛阳钼业：公司巴西铌磷矿年产磷肥超过100万吨,每日经济新闻
241,2021-09-28,洛阳钼业：公司目前没有分拆上市计划,每日经济新闻
242,2021-09-28,洛阳钼业：磷肥价格相比于年初有较大幅度涨幅,e公司
243,2021-09-28,洛阳钼业：公司专注主业，未参与上述业务,每日经济新闻
244,2021-09-28,洛阳钼业：公司信用等级一直保持较好的评级，融资利率呈逐年下降趋势，公司会保证充足的资金流动性，确保各个板块平稳运营,每日经济新闻
245,2021-09-28,【异动股】洛阳钼业(03993.HK)涨3.11%,财华社
246,2021-09-28,智通港股通占比异动统计|9月28日,智通财经
247,2021-09-27,有色金属行业：“镁”人不共此 芳好空所惜,新浪
248,2021-09-27,【异动股】洛阳钼业(03993.HK)跌5.11%,财华社
249,2021-09-27,有色金属行业周报：锂矿长期战略属性继续推荐 铝价上涨趋势不改建议持有,新浪
250,2021-09-26,金属、非金属与采矿行业周报：锂价持续加速上行 稀土整合拉开序幕,新浪
251,2021-09-26,有色金属行业周报：议息声明符合预期 关注中美缓和带来的投资机会,新浪
252,2021-09-26,有色金属行业：锂价创新高 下游观望情绪加重,新浪
253,2021-09-24,【异动股】洛阳钼业(03993.HK)跌3.2%,财华社
254,2021-09-23,北向资金净卖出额创近一个月新高，银行股遭大幅抛售,Wind
255,2021-09-23,洛阳钼业：公司拥有丰富的资产组合，铜金属应用最为广泛；钴产品下游主要用于动力电池及3C电池等方面；钼、钨、铌产品主要应用于钢铁行业中的中高端产品，磷肥产品应用于农业,每日经济新闻
256,2021-09-23,【异动股】洛阳钼业(03993.HK)跌3.05%,财华社
257,2021-09-23,洛阳钼业：随着公司刚果（金）铜钴板块10K提能增效项目达产以及未来混合矿项目投产，钴产量将进一步提升,每日经济新闻
258,2021-09-23,洛阳钼业：公司间接持有巴西CIL磷矿业务100%权益,Wind
259,2021-09-23,洛阳钼业：公司钨产量属于行业领先地位,每日经济新闻
260,2021-09-23,"洛阳钼业：公司是领先的钼生产商，公司2020年钼金属产量为13,780吨",每日经济新闻
261,2021-09-23,"洛阳钼业：公司2020年铌金属产量9,300吨，市场占有率约10%",每日经济新闻
262,2021-09-23,洛阳钼业：全球最大的铌生产商CBMM市场占有率约80%,Wind
263,2021-09-23,洛阳钼业：目前全球最大的钴生产商年产量3.5万吨左右,Wind
264,2021-09-22,有色金属行业周报：锂仍是景气度最佳品种 继续看好板块投资机会,新浪
265,2021-09-22,有色金属行业：镍政策风险再次袭来,新浪
266,2021-09-22,锆行业深度报告：锆英砂有望迎来新一轮上行周期,新浪
267,2021-09-21,有色金属行业周报：锂价或创历史新高继续推荐 铝价上涨可期建议持有,新浪
268,2021-09-20,恒指低开低走收跌3.3%险守24000点，地产股领跌市场,Wind
269,2021-09-20,香港恒生指数午盘跌3.87%报23955.18点，地产股、资源股、内资金融股大跌,Wind
270,2021-09-20,恒指大跌4%失守24000点，地产股、资源股领跌,Wind
271,2021-09-20,恒指跌幅扩大至3%，地产股、内资金融股、资源股大跌,Wind
272,2021-09-20,港股异动丨有色金属板块走低 洛阳钼业跌近7%,格隆汇
273,2021-09-20,恒生指数、恒生科技指数双双跌超2%，地产、金融和资源股大跌,Wind
274,2021-09-17,BlackRock Inc.减持洛阳钼业股份约3337.87万股 减持股份,每日经济新闻
275,2021-09-17,报价高于赣锋锂业，宁德时代、洛阳钼业被曝参与竞购加拿大锂业,澎湃新闻
276,2021-09-17,有色金属行业动态：铜上行动能强化 布局旺季反弹,新浪
277,2021-09-17,有色金属行业动态：重视碳酸锂的需求溢价 钴价或重启上行,新浪
278,2021-09-17,北向资金动向盘点：持仓市值再度低于2.5万亿元,Wind
279,2021-09-16,中秋假期前外资暂时离场净卖出超30亿，万科A净卖出额创近4年新高,Wind
280,2021-09-16,【异动股】洛阳钼业(03993.HK)跌5.32%,财华社
281,2021-09-16,半年3倍大牛股取消“宁王”订单，3万股东炸锅？,Wind
282,2021-09-15,北向资金今日净买入逾21亿元，批量扫货光伏股,Wind
283,2021-09-15,下半年价格上涨逾20%！磷概念受益股名单出炉,Wind
284,2021-09-15,磷矿石近期价格迎来大涨，磷概念受益个股名单出炉,证券之星
285,2021-09-15,北向资金动向盘点：周期股下跌，净卖第一却是食品饮料,Wind
286,2021-09-15,市场消息：据悉宁德时代为加拿大Millennial Lithium公司新买家,Wind
287,2021-09-14,洛阳钼业：向两家全资子公司提供总计不超5006.5万美元的担保,Wind
288,2021-09-14,北向资金今日净卖出超41亿元，中国平安、白酒股持续遭抛售,Wind
289,2021-09-14,洛阳钼业：公司对外担保总额为253.7亿元,Wind
290,2021-09-14,【异动股】洛阳钼业(03993.HK)跌3.1%,财华社
291,2021-09-14,花旗：维持洛阳钼业(03993)“买入”评级 目标价升27.7%至8.3港元,智通财经
292,2021-09-14,融资客青睐3股，长沙银行买入占比高达36.12%,Wind
293,2021-09-14,A股融资融券日报：两融余额增加105.99亿元（9月13日）,Wind
294,2021-09-14,周期股大涨，机构追高买买买！北上资金却抛售,Wind
