,2021-12-31,35股今日获机构买入评级,证券时报网
49,2021-11-26,什么样的科技公司不怕内卷？,锦缎
50,2021-11-25,大族激光：于2021年7月25日与中航锂电签订战略合作协议,每日经济新闻
51,2021-11-25,大族激光：公司在动力电池极耳切割工序有成熟的设备产品及解决方案，已实现批量销售,每日经济新闻
52,2021-11-25,大族激光：公司光伏行业专用加工设备主要包括激光无损划裂机、开膜机、掺杂机等,每日经济新闻
53,2021-11-25,大族激光：公司生产的半导体行业专用加工设备包括半导体激光开槽、半导体激光解键合、化合物半导体激光切割等，主要应用于半导体封测行业,每日经济新闻
54,2021-11-25,大族激光：主要产品的交付和收入确认取决于下游客户的项目进度,每日经济新闻
55,2021-11-25,大族激光：公司已公告的动力电池专用设备订单的交付期主要集中在2021年度，正在有序交付中,每日经济新闻
56,2021-11-21,集微咨询：苹果市值全球第一，从苹果业务结构看A股供应商明年承压,搜狐
57,2021-11-19,大族激光(002008.SZ)：“高功率激光切割焊接系统及机器人自动化装备产业化项目”及“脆性材料及面板显视装备产业化项目”结项,格隆汇
58,2021-11-19,大族激光供应商金橙子拟A股IPO，已进行辅导备案,搜狐
59,2021-11-19,解盘：资金持续流入，燃料电池、物流、智能音箱领涨,Wind
60,2021-11-16,大族激光大宗交易成交1797.60万元,证券时报网
61,2021-11-16,大族激光今日大宗交易成交42.80万股，成交价42.0元溢价0.89%,Wind
62,2021-11-09,四川动力电池产业“集结号”,我的煤炭网
63,2021-11-08,电子周报：半导体制造年会再次强调供应链安全 汽车电子持续景气,新浪
64,2021-11-05,大族激光：公司巨量转移相关设备正处于研发阶段，尚未实现销售,每日经济新闻
65,2021-11-05,大族激光：公司业务聚焦于工业加工领域，产品不涉及农业加工类机械机床,每日经济新闻
66,2021-11-05,大族激光：公司业务不涉及元宇宙方面,Wind
67,2021-11-05,大族激光：公司动力电池专用设备的生产主要在深圳完成,每日经济新闻
68,2021-11-05,大族激光：公司业务不涉及元宇宙方面,每日经济新闻
69,2021-11-05,大族激光：公司的Mini-Led切割、裂片、剥离、修复等设备主要客户是LED芯片行业的主流厂商,每日经济新闻
70,2021-10-30,大族激光(002008)　盈利水平显著修复,财富动力网
71,2021-10-28,厨具行业新宠：大族激光LION系列,Ofweek
72,2021-10-28,大族激光业绩创历史新高！,Ofweek
73,2021-10-28,西部证券给予大族激光买入评级：业绩超预期，多领域业务共同增长,每日经济新闻
74,2021-10-27,睿远基金旗下2基公布2021年三季报，傅鹏博等最新重仓情况曝光,资本邦
75,2021-10-27,睿远基金旗下2只基金公布2021年三季报，傅鹏博等最新重仓股情况曝光,资本邦
76,2021-10-27,146股获券商买入评级，品茗股份目标涨幅达105.53%,Wind
77,2021-10-27,傅鹏博睿远成长价值基金三季度披露：重点配置TMT、化工建材、新能源板块,智通财经
78,2021-10-27,北向资金逆势净买入8.45亿，增持汽车减持房地产，这些个股遭甩卖 减持股份,21世纪经济报道
79,2021-10-27,北向资金动向盘点：这一波净流入结束了吗？,Wind
80,2021-10-27,北向资金动向曝光：10月26日这30只个股被猛烈扫货（附名单）,每经网
81,2021-10-26,大族激光(002008)：Q3业绩高增长 持续受益于下游高景气,新浪
82,2021-10-26,【招商电子】大族激光：业绩超预告上限，管理改革驱动各板块持续发力,招商电子
83,2021-10-26,资深老将们三季度如何调仓？傅鹏博加大基本面向好公司配置，赵枫坦言选股遇到挑战，归凯小幅减持消费 减持股份,财联社
84,2021-10-26,睿远基金三季报出炉， 傅鹏博、赵枫同时重仓这四只股票！,红周刊
85,2021-10-26,大族激光：高云峰累计质押股数为7300万股,每日经济新闻
86,2021-10-26,天风证券：给予大族激光买入评级,证券之星
87,2021-10-26,大族激光：公司PCB专用设备业务订单及生产情况良好,每日经济新闻
88,2021-10-26,大族激光：目前，公司光刻机项目主要应用在分立器件领域，分辨率较低，相关业务仍处于发展初期,每日经济新闻
89,2021-10-26,中泰证券给予大族激光买入评级，受益PCB、锂电等行业景气度上升，公司2021Q3业绩超预期,每日经济新闻
90,2021-10-26,大族激光三季报净利增长47%，傅鹏博三季度加仓645万股,阿尔法工场
91,2021-10-26,睿远基金傅鹏博、赵枫三季报：万华化学、吉利汽车获一致青睐,澎湃新闻
92,2021-10-26,抄作业！傅鹏博、赵诣、冯明远等顶流基金经理持仓曝光（附名单）,证券之星
93,2021-10-26,大族激光(002008)2021年三季报点评：盈利水平显著修复 Q3业绩略超市场预期,新浪
94,2021-10-26,傅鹏博、赵诣、冯明远、林英睿、赵枫持仓思路各有不同,Wind
95,2021-10-26,受益PCB、锂电等行业景气度上升，公司2021Q3业绩超预期—大族激光（002008）点评报告,机械盛宴
96,2021-10-26,大举加仓这些股！刚刚，傅鹏博、赵诣、冯明远、林英睿、赵枫等大咖三季度持仓大曝光！,中国基金报
97,2021-10-26,解盘：百亿资金流入，锂电池、大基建、稀土、特斯拉领涨,Wind
98,2021-10-26,三季报亮眼 明星基金增持 大族激光冲击涨停,第一财经
99,2021-10-26,崧盛股份、大族激光等六家企业发布三季报报告,LED在线
100,2021-10-25,大族激光公布三季报 前三季净利增加47.06%,新浪
101,2021-10-25,公告精选：蓝思科技拟3亿至5亿元回购股份；大族激光第三季度获睿远成长增持,e公司
102,2021-10-25,晚间重要公告2021年10月25日星期一,Wind
103,2021-10-25,大族激光第三季度净利超预期 这只基金在不断加仓,e公司
104,2021-10-25,大族激光：第三季度净利润6.12亿元 同比增54.23%,中证网
105,2021-10-25,大族激光(002008.SZ)：第三季度净利润升54.23%至6.12亿元,格隆汇
106,2021-10-25,大族激光：第三季度净利润同比增54% 获睿远成长增持,e公司
107,2021-10-25,图解大族激光三季报：第三季度单季净利润同比增54.23%,证券之星
108,2021-10-25,大族激光：前三季度净利润同比增长47.06%,Wind
109,2021-10-25,大族激光成立新能源智能装备科技公司，注册资本5000万,搜狐
110,2021-10-22,寻找预期差！半导体持续高景气，35家公司净利增100%,Wind
111,2021-10-22,大族激光于深圳新设制冷科技公司，注册资本3500万元,乐居财经
112,2021-10-21,"大族激光与中集集团强强联合,助力智能制造",Ofweek
113,2021-10-19,大族激光：公司各业务板块下游行业均保持较高景气度,每日经济新闻
114,2021-10-19,大族激光：截至2021年上半年，公司大功率激光加工设备业务盈利能力相较去年同期已有所改善,每日经济新闻
115,2021-10-19,大族激光：公司各业务板块订单情况良好,每日经济新闻
116,2021-10-19,大族激光：公司锂电设备业务正处于快速发展阶段，公司将积极改善管理效率，降本增效，努力提升相关业务的盈利水平,每日经济新闻
117,2021-10-19,大族激光：公司的百瓦级红外固体皮秒激光器项目主要用于脆性材料、超硬材料的加工，应用于面板显示、光伏、半导体等行业，已完成研发，预计将于2021年四季度实现销售,每日经济新闻
118,2021-10-18,大族激光：公司自主生产的单模组连续光纤激光器最高功率可以达到3000W,每日经济新闻
119,2021-10-18,大族激光(002008)：业绩预告符合预期 重点发展锂电业务,新浪
120,2021-10-15,北上资金全透视月报(21年9月)：上月外资继续流入 增持周期与消费,广发证券
121,2021-10-15,大族激光等六家LED相关企业前三季业绩预告出炉,LED在线
122,2021-10-15,净利润超14亿元！大族激光前三季度利润增长34%-44%,Ofweek
123,2021-10-14,大族激光发布三季度业绩预告：预计公司净利润为142000万元-146000万元，与上年同期相比增长39.18%-43.10%,全景网
124,2021-10-14,大族激光三季报净利预增43%，PCB专用设备订单增加,阿尔法工场
125,2021-10-14,需求潜力巨大，工业母机概念大爆发，一类股或成投资主线,第一财经
126,2021-10-14,大族激光：前三季度预计净利润同比增长39.18%~43.1%,Wind
127,2021-10-14,大族激光：预计第三季度归母净利润为5.32-5.72亿元，比上年同期增长33.96%–44.04%,36氪
128,2021-10-14,大族激光：前三季度净利预增39%至43% PCB行业专用设备业务大幅增长,e公司
129,2021-10-14,大族激光：预计前三季度净利润同比增长39.18%-43.10%,Wind
130,2021-10-14,大族激光：预计前三季度盈利同比增长39%-43%,Wind
131,2021-10-13,51个项目623亿元投资湖南长沙 包括大族激光二期及中西南区域总部等,中国证券网
132,2021-10-13,大族激光：现阶段限电尚未对公司业务产生影响,Wind
133,2021-10-13,大族激光：公司PCB专用设备业务板块订单情况良好,每日经济新闻
134,2021-10-13,大族激光：公司自产10KW以上的激光器主要为多模组HL系列12KW-20KW连续光纤激光器,每日经济新闻
135,2021-10-13,大族激光：公司相关消费电子加工设备的销售情况正常,每日经济新闻
136,2021-10-12,自立自强 积极拥抱全球化，大族激光彰显中国制造,Ofweek
137,2021-10-12,148家公司获机构调研（附名单）,证券之星
138,2021-10-08,大族激光：“大族转债”第三季度转股403股,每日经济新闻
139,2021-10-08,电子行业北上资金月报,新浪
140,2021-09-30,电子行业重大事项点评：限电限产政策对电子行业当前影响简析,新浪
141,2021-09-30,北向资金9月净买入超300亿连续12个月加仓A股，批量扫货新能源产业链股,Wind
142,2021-09-29,果链股价下跌！这些公司紧急澄清,Wind
143,2021-09-29,大族激光：主要生产基地未接到限电通知,格隆汇
144,2021-09-29,大族激光工艺创新不止步，实力演绎高效能！,Ofweek
145,2021-09-29,大族激光接受4家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
146,2021-09-29,大族激光获美林美银、高盛调研，21.97亿元宁德时代订单将于本年度交付,阿尔法工场
147,2021-09-29,大族激光：公司谐波减速器产品已实现批量销售,Wind
148,2021-09-29,大族激光：目前限电对公司生产经营情况的影响较小,Wind
149,2021-09-29,大族激光：公司主要产能在深圳市，主要生产基地未接到限电通知，不受限电影响,每日经济新闻
150,2021-09-29,大族激光：公司各版块订单情况良好,每日经济新闻
151,2021-09-29,大族激光：公司和主流的动力电池厂商均保持合作关系,每日经济新闻
152,2021-09-29,大族激光：公司谐波减速器产品已实现批量销售,每日经济新闻
153,2021-09-29,大族激光：公司各项产品价格稳定，暂无涨价的计划,每日经济新闻
154,2021-09-29,大族激光：美银美林、高盛集团等5家机构于9月22日调研我司,证券之星
155,2021-09-27,大族数控IPO难承之重：负债11.63亿且现金亏空5000万 实控人身缠5385条风险 偿债能力下降,产业经济新闻网
156,2021-09-26,大族激光：公司应用于风电领域的产品包括激光切割设备及自动化设备等,每日经济新闻
157,2021-09-26,大族激光：公司目前没有非公开发行股票融资的计划,Wind
158,2021-09-26,大族激光：目前公司激光切割设备暂不涉及硅棒、硅方的切割,Wind
159,2021-09-26,大族激光：公司全球智能制造基地已经竣工并投入使用,Wind
160,2021-09-24,大族激光今日大宗交易成交36.09万股，成交价40.2元折价2.26%,Wind
161,2021-09-24,大族激光拟自筹25亿投建两生产基地 分拆子公司创业板上市募资17亿已过会,长江商报
162,2021-09-22,晚间重要公告2021年9月22日星期三,Wind
163,2021-09-22,大族激光25亿元投建生产基地 完善新能源动力电池装备业务布局,e公司
164,2021-09-22,大族激光：拟25亿元投建两生产基地,e公司
165,2021-09-22,大族激光(002008.SZ)：拟投资建设华东区域总部基地 一期总投资不超10亿元,格隆汇
166,2021-09-22,大族激光：拟15亿元投建新能源智能装备生产基地项目,Wind
167,2021-09-15,大族激光注资1.3亿成立子公司 发力半导体设备、芯片制造,证券之星
168,2021-09-15,聪明资金加仓苹果概念股，两大资金共同加仓股仅3只,Wind
169,2021-09-14,注册资本1.3亿元 大族激光苏州成立半导体公司,财联社
170,2021-09-14,大族激光于苏州成立半导体公司，注册资本1.3亿,Wind
171,2021-09-08,大族激光(002008.SZ)股东大族控股质押770万股,智通财经
172,2021-09-08,大族激光：大族控股质押770万股用于归还贷款,财联社
173,2021-09-08,大族激光：高云峰累计质押股数为7740万股,每日经济新闻
174,2021-09-06,大族激光(002008.SZ)选举夏良为职工代表监事,智通财经
175,2021-09-06,大族激光：浙商证券于9月1日调研我司,中金在线
176,2021-09-06,大族激光：华创证券于8月30日调研我司,证券之星
177,2021-09-06,大族激光：根据过往经验，二、三季度为消费电子行业专用设备的交付旺季,每日经济新闻
178,2021-09-05,市值将达20万亿？苹果新品盛宴开启，概念股要火？,Wind
179,2021-09-03,大族激光：控股子公司大族数控创业板上市获批,中证网
180,2021-09-03,大族数控过会！大族激光子公司将独立上市！,证券之星
181,2021-09-02,大族激光控股子公司大族数控IPO申请获深交所审议通过,上证报
182,2021-09-02,大族激光(002008.SZ)：子公司大族数控创业板IPO申请获审议通过,格隆汇
183,2021-09-02,大族激光(002008.SZ)子公司大族数控IPO申请获得深交所委员会审议通过,智通财经
184,2021-09-02,大族激光：控股子公司大族数控首发过会,e公司
185,2021-09-02,大族激光：控股子公司大族数控创业板首发上市获通过,财联社
186,2021-09-02,12年行业冠军大族数控，招股书数据却频现冲突,中国经济网
187,2021-09-02,电子行业北上资金月报,新浪
188,2021-09-01,因个人原因 大族激光内部审计部负责人陈雪梅辞职,奥一网
189,2021-08-31,A股共发生143宗大宗交易成交35.07亿元（8月31日）,Wind
190,2021-08-31,大族激光(002008.SZ)：陈雪梅辞去内部审计部负责人及职工代表监事职务 董监高成员变化,智通财经
191,2021-08-31,大族激光：内部审计部负责人、职工代表监事辞职 董监高成员变化,每日经济新闻
192,2021-08-31,大族激光今日大宗交易成交10万股，成交价46.53元溢价3.72%,Wind
193,2021-08-29,周末影响A股十大事件来了！,Wind
194,2021-08-29,大族激光子公司大族数控9月2日上会,凤凰网
195,2021-08-27,大族激光：高云峰累计质押股数为7740万股，占其所持股份比例为80.36%,每日经济新闻
196,2021-08-27,大族激光：UBSAG、招商证券等6家机构于8月20日调研我司,中金在线
197,2021-08-27,大族激光：为全球客户提供国际领先的新能源智能制造整体解决方案,和讯
198,2021-08-27,大族激光接受5家机构调研！短期主力资金净流入，市场资金早已察觉,每日经济新闻
199,2021-08-27,傅鹏博等又一波百亿基金经理隐形重仓股现身,Wind
200,2021-08-27,持仓风格生变，顶流基金经理盯上“小而美”,Wind
201,2021-08-27,QFII调仓换股，中小盘成长标的成新宠,Wind
202,2021-08-27,大族激光：公司能够提供氢燃料电池双极板焊接装备及全套解决方案,每日经济新闻
203,2021-08-26,外资“拿走”奥普特近半数流通股，今年来涨逾80%,Wind
204,2021-08-26,大族激光：联赢激光、海目星激光是公司的直接客户,Wind
205,2021-08-26,大族激光：公司业务不涉及军工领域,Wind
206,2021-08-26,大族激光：上半年公司半导体行业封测设备营收同比增长372.03%,Wind
207,2021-08-24,大族激光(002008)：中报业绩超预期 期待改革释放潜力,新浪
208,2021-08-23,东吴证券给予大族激光买入评级，2021年中报点评，近期获6份券商研报关注，目标均价涨幅21.52%,每日经济新闻
209,2021-08-23,朱少醒和傅鹏博分别增仓两家公司，谢治宇和葛兰分别增仓一家公司,证券之星
210,2021-08-23,185股获券商买入评级，盐津铺子目标涨幅达145.05%,Wind
211,2021-08-23,大族激光(002008)2021年中报点评：各项业务表现出色 半年业绩实现快速增长,新浪
212,2021-08-22,【国金电子】大族激光：下游高景气，推动H1业绩高增,国金电子研究
213,2021-08-22,国金证券维持大族激光买入评级：下游高景气，推动H1业绩高增,每日经济新闻
214,2021-08-22,“激光+X”战略成效凸显，管理体制改革吹响“冲锋号”—大族激光（002008）点评报告,机械盛宴
215,2021-08-22,啥情况？千亿大牛股被富时罗素踢出群，原因竟是这个！,Wind
216,2021-08-21,刚刚公布！71只A股新纳入，增量配置资金即将进场,Wind
217,2021-08-20,西部证券维持大族激光买入评级，中报点评：业绩符合预期，“激光+X”战略持续推进,每日经济新闻
218,2021-08-20,国盛证券维持大族激光买入评级：上半年高增长，加速推进垂直一体化,每日经济新闻
219,2021-08-20,宝明科技、大族激光发布半年报，净利一升一降 盈利能力下降,LED在线
220,2021-08-20,民生证券维持大族激光推荐评级：下游扩产景气度延续，业务调整改革深化,每日经济新闻
221,2021-08-20,每日财报|药易购中期利润下滑六成 大族激光净利润增长42.5% 盈利能力下降,搜狐
222,2021-08-19,大族激光上半年净利增42.50%，社保基金二季度新进第八大流通股东,阿尔法工场
223,2021-08-19,大族激光上半年业绩再创新高！营收75亿元同比增长45%,证券之星
224,2021-08-19,晚间重要公告2021年8月19日星期四,Wind
225,2021-08-19,下游需求旺盛 大族激光(002008.SZ)半年度归母净利同比增42.5%至8.88亿元,智通财经
226,2021-08-19,大族激光(002008.SZ)上半年净利升42.50%至8.88亿元,格隆汇
227,2021-08-19,大族激光：上半年净利润同比增长42.5%,Wind
228,2021-08-19,20倍大白马突然跌停、主力资金最新建仓股曝光,Wind
229,2021-08-18,大族激光放量涨停净买入额5.24亿元，机构调仓化工板块,阿尔法工场
230,2021-08-17,大族激光(002008.SZ)股东大族控股等合计质押1790万股及解质970万股,智通财经
231,2021-08-17,大族激光：股东高云峰累计质押7210万股，占其所持股份74.86%,每日经济新闻
232,2021-08-17,电子行业简评报告：7月手机出货量触底反弹 回暖行情有望持续,新浪
233,2021-08-16,A股早报2021年8月16日星期一,Wind
234,2021-08-16,智通A股龙虎榜统计|8月13日,智通财经
235,2021-08-14,机构偏爱业绩优势股 芯片概念“熄火”抛压不断,财富动力网
236,2021-08-13,8月13日龙虎榜：5.24亿资金抢筹大族激光,中新经纬
237,2021-08-13,柏楚电子(688188)：高增长与高毛利兼备 定增打开成长空间,新浪
238,2021-08-13,大族激光涨停，上海三游资合计抢筹3.8亿元,第一财经
239,2021-08-13,龙虎榜丨涨停！5.24亿资金抢筹大族激光！机构和北向资金同时出逃这些个股,21世纪经济报道
240,2021-08-13,8月13日龙虎榜解析：大族激光净买入额最多，还有40只个股被机构扫货,每日经济新闻
241,2021-08-13,大族激光放量涨停净买入额5.24亿元，机构调仓化工板块,阿尔法工场
242,2021-08-13,龙虎榜：大族激光涨停 机构资金卖出、上海游资抢筹,e公司
243,2021-08-13,大族激光龙虎榜数据（8月13日）,Wind
244,2021-08-13,A股资金流向（8月13日）：科技龙头遭集中抛售,Wind
245,2021-08-13,大族激光午后触及涨停,36氪
246,2021-08-12,大族激光登榜2020创新500强，排名第425位,证券之星
247,2021-08-12,大族激光(002008)深度报告：下游持续高景气 激光龙头乘风再起航,新浪
248,2021-08-11,大族激光：全自动接近式光刻机设备仍处于研发阶段，尚未实现销售,每日经济新闻
249,2021-08-11,大族激光：目前，公司光刻机项目主要应用在分立器件领域，分辨率较低，相关业务仍处于发展初期,每日经济新闻
250,2021-08-11,北上资金全透视月报(21年7月)：上月外资继续流入 增持电子与消费,广发证券
251,2021-08-10,大族激光：供应商IPG三季度业绩指引不理想与公司业绩无直接关联,Wind
252,2021-08-10,大族激光：大股东质押事项不会对公司经营造成影响,Wind
253,2021-08-10,大族激光：公司大功率激光加工设备生产和销售情况良好,每日经济新闻
254,2021-08-10,大族激光：公司具备激光器的自产能力，IPG公司是公司激光器的供应商之一,每日经济新闻
255,2021-08-10,大族激光：公司业务不涉及光通讯领域,每日经济新闻
256,2021-08-09,脱水研报：激光设备行业龙头 主营业务有望快速增长 ROE望达15%,民生证券
257,2021-08-06,最后的盛宴！不死鸟复生，5.7万股东闻到财富味道,Wind
258,2021-08-06,帝尔转债：好“光”也要用在刀刃上,新浪
259,2021-08-05,大族激光被爆“个人开拓奖申请表”,国际电子商情
260,2021-08-04,大族激光：股东高云峰累计质押6954万股,每日经济新闻
261,2021-08-04,大族激光(002008.SZ)股东高云峰质押580万股,智通财经
262,2021-08-03,禁买线预警，看“聪明钱”如何爆买A股？,Wind
263,2021-08-02,电子行业北上资金月报,新浪
264,2021-08-02,基础材料、机械、电力电气设备行业2Q21持仓及陆港通分析：公募持仓大幅提升 超配新能源,新浪
265,2021-08-02,大族激光：公司在动力电池领域，主要生产和销售动力电池加工设备,每日经济新闻
266,2021-08-02,大族激光：公司和主流的消费电子厂商均保持合作关系,Wind
267,2021-08-02,大族激光：公司Mini-Led行业产品包括切割、裂片、剥离、修复等设备,Wind
268,2021-08-02,大族激光：公司2020年光伏行业激光加工设备实现营业收入1.19亿元,Wind
269,2021-08-02,机械设备行业跟踪周报：锂电光伏龙头设备商稀缺性已现 制造业景气持续复苏带动机床销售旺盛,新浪
270,2021-07-31,电子：苹果FY21Q3业绩说明会点评,新浪
271,2021-07-30,大族激光(002008.SZ)股东大族控股质押800万股,智通财经
272,2021-07-30,大族激光：大族控股累计质押股数约为1.16亿股,每日经济新闻
273,2021-07-28,电子行业点评：半导体引领硬科技 2Q21机构持仓分析,新浪
274,2021-07-27,大族激光：大族控股累计质押股数约为1.08亿股，占其所持股份比例为66.61%,每日经济新闻
275,2021-07-27,大族激光(002008.SZ)股东高云峰解除质押1100万股及质押830万股,智通财经
276,2021-07-27,多家光刻胶公司上半年业绩同比翻番，机构高频点赞这几只绩优股,第一财经
277,2021-07-27,华为将发布首款Mini LED智慧屏 A股公司抢食产业链“蛋糕”,中证网
278,2021-07-26,A股共发生107宗大宗交易成交32.36亿元（7月26日）,Wind
279,2021-07-26,大族激光现1笔大宗交易 共成交908.25万元,新浪
280,2021-07-26,大族激光今日大宗交易成交25万股，成交价36.33元溢价2.74%,Wind
281,2021-07-25,机械设备行业跟踪周报：制造业持续复苏带动机器人行业回暖 建议关注景气度高涨的光伏锂电设备,新浪
282,2021-07-22,养老金委托投资到账1.09万亿元！曾经的重仓股会被继续增持吗？,Wind
283,2021-07-22,大族激光：公司光刻机项目主要应用在分立器件领域，分辨率较低，相关业务仍处于发展初期,每日经济新闻
284,2021-07-22,大族激光：2020年，公司大功率激光智能装备业务实现营业收入20.18亿元,每日经济新闻
285,2021-07-22,大族激光：公司在小功率激光器和大功率激光器方面，均具备自产能力,Wind
286,2021-07-22,大族激光：去年和今年上半年与宁德时代累计签订的20多亿元的供货协议,财联社
287,2021-07-22,大族激光：与宁德时代累计签订的20多亿元的供货协议交付期主要集中在2021年度，设备正在陆续交付,每日经济新闻
288,2021-07-22,大族激光：目前公司在小功率激光器和大功率激光器方面均具备自产能力，自给率正逐步提高,每日经济新闻
289,2021-07-22,大族激光：公司业务不涉及光刻胶领域,每日经济新闻
290,2021-07-22,大族激光：公司所需的生产要素主要为原材料、装配人员及场地，不存在传统意义上的“产能”概念,每日经济新闻
291,2021-07-22,大族激光：公司订单和生产情况良好,每日经济新闻
292,2021-07-22,锂电池巨头创新高，滞涨绩优概念股请收藏,Wind
293,2021-07-20,重磅机会！机构罕见扎堆调研，这一策略胜率高达八成,Wind
294,2021-07-20,机构调研跑断腿，科创板股票春天将至？,Wind
295,2021-07-18,机械设备行业跟踪周报：锂电光伏设备持续高景气 建议关注中报业绩亮眼的国产刀具龙头,新浪
296,2021-07-16,大族激光：大族数控分拆上市事项目前处于“已问询”状态,Wind
297,2021-07-16,大族激光：去年三、四季度，口罩机业务占比较低,Wind
298,2021-07-16,大族激光：公司主要生产基地在广东深圳，未在宜宾设立工厂,Wind
299,2021-07-16,大族激光：光伏行业激光加工设备已形成批量销售,e公司
300,2021-07-12,11家光刻胶公司上半年业绩预喜，这些股被机构“组团”盯上,第一财经
301,2021-07-12,【招商电子】PCB月度深度跟踪：覆铜板Q2量价齐升，下半年关注IC载板、通信板及苹果链,招商电子
302,2021-07-12,62股获券商买入评级 正邦科技目标涨幅达98.07%,Wind
303,2021-07-09,大族激光：公司在手订单充足,每日经济新闻
304,2021-07-09,大族激光：大族数控分拆上市事项目前处于“已问询”状态,Wind
305,2021-07-09,大族激光：公司业务不涉及军工领域,Wind
306,2021-07-06,DIC 2021中国(上海)国际显示技术及应用创新展在沪顺利举办,维库电子市场
307,2021-07-06,机械行业：关注结构性亮点,新浪
308,2021-07-05,电子设备、仪器和元件行业周报：半导体板块预喜启动中报行情 低预期板块迎靴子落地时机,新浪
309,2021-07-05,65股获券商买入评级，恒力石化目标涨幅达73.36%,Wind
310,2021-07-02,大族激光：动力电池相关设备订单的生产、交付正在有序进行中,Wind
