,2021-12-31,海尔智家(06690)：累计75.04亿港元H股可转债转换成3.98亿股,智通财经
28,2021-12-27,落子年产值超百亿元工厂背后：海尔智家冲击多联机“行业第一”,中国经营网
29,2021-12-27,一周家电产业要闻回放（20211227）,钢企网
30,2021-12-27,一场众播看数字化的海尔智家,钛媒体
31,2021-12-27,跟家再见？三翼鸟：再见一个智慧家,砍柴网
32,2021-12-27,过去找管家打理家，现在用海尔智家大脑屏管全家,砍柴网
33,2021-12-27,海尔智家总裁李华刚：三翼鸟场景品牌是有温度的,中证网
34,2021-12-27,最新融资客与北上资金重点加仓名单,Wind
35,2021-12-27,海尔李华刚：以用户需求为使命，创三翼鸟的品牌引领,证券之星
36,2021-12-27,家电周观点||高成长品类景气度延续，继续看好家电成长股及白电反弹,LV微服思纺
37,2021-12-26,【德邦金工|周报】新能源集体回调，避险情绪升温 20211226,微信
38,2021-12-26,央视新闻助阵海尔智家：5种生活诠释2022智慧家,飞象网
39,2021-12-25,不知道家电怎么选？瑞士庄园选海尔智家,中经导报
40,2021-12-24,奥维云网2021数字生态大会，打造智慧家庭领域完整生态圈,财经网
41,2021-12-24,家电ETF基金（159730）今日上市 家电行业估值逐步修复,资本邦
42,2021-12-24,2021金融界领航中国“金智奖”上市公司价值评选揭晓 顺丰控股、海尔智家等获杰出社会责任奖,金融界
43,2021-12-24,晕了晕了！今年表现全行业倒数第二，这个板块跌出了机会？基金刚进场扫货了2亿,每日经济新闻
44,2021-12-24,一把砸25亿！高瓴又出手了,Wind
45,2021-12-23,[下游动态]：空调产量、出口双增长，释放了哪些信号？,隆众资讯
46,2021-12-23,27股获券商买入评级，上海建工目标涨幅达67.13%,Wind
47,2021-12-23,【东北家电陈玉卢】海尔智家（600690）深度报告之一：国内深耕高端化战略，卡萨帝品牌厚积薄发,东北证券研究所
48,2021-12-22,海尔智家多联机互联工厂落户山东胶州 年产值将超100亿元,经济日报
49,2021-12-22,海尔智家李华刚：海尔专卖店开启用户时代,砍柴网
50,2021-12-22,政企联动 各方共赢 | 海尔智家多联机互联工厂12月22日胶州奠基,经济网
51,2021-12-22,今天，海尔智家的利好消息是两个100亿,金融界
52,2021-12-22,有了海尔专卖店在前方“打样”，行业转型终于有了一个靠谱的参考答案,OFweek
53,2021-12-22,关店、下行、转行！海尔专卖店却走上年增100亿的上行路,飞象网
54,2021-12-22,新增百亿产值！海尔智家多联机互联工厂奠基,财经网
55,2021-12-21,【异动股】海尔智家(06690.HK)涨3.04%,财华社
56,2021-12-21,2021 J.D. Power年度论坛成功举办，聚焦数智时代用户体验焕新重构,美通社
57,2021-12-21,22股获券商买入评级，中国船舶目标涨幅达67.26%,Wind
58,2021-12-20,格力与美的大战，海尔也在伺机而动,OFweek
59,2021-12-20,海尔智家大宗交易成交15.00万股 成交额433.95万元,证券时报网
60,2021-12-20,海尔智家获2020年度金牛最具投资价值奖,砍柴网
61,2021-12-20,海尔智家现1笔大宗交易 共成交433.95万元,新浪
62,2021-12-20,海尔智家今日大宗交易成交15万股，成交价28.93元溢价0.0%,Wind
63,2021-12-20,海尔智家是唯一在日本站住脚的外资品牌,和讯
64,2021-12-20,2021金i奖发布，海尔智家智能制造再获权威认可,砍柴网
65,2021-12-20,首个国家级家用氢能重点研发计划项目！海尔智家参加！,新浪
66,2021-12-20,【异动股】海尔智家(06690.HK)跌3.11%,财华社
67,2021-12-20,招商家电｜家电行业周度点评 21w51-11 月住宅竣工增速由负转正，关注后地产厨电表现,招商家电研究
68,2021-12-20,科技实力再获认可！海尔智家入选“十四五”规划实施创新试点,飞象网
69,2021-12-20,增资35亿元开辟新增长点 海尔智家剑指智慧生活家电产业平台,中国经营网
70,2021-12-20,让家节能又低碳！海尔智家参与国家首个家用氢能重点项目,飞象网
71,2021-12-20,专访杜镜国：日本人是怎么接受海尔的？,联商网
72,2021-12-20,24股获券商买入评级，报喜鸟目标涨幅达59.83%,Wind
73,2021-12-18,发力智慧生活家电，海尔智家要做万亿赛道“领跑者”,砍柴网
74,2021-12-18,增资35亿！海尔智家再造新增长极,砍柴网
75,2021-12-18,资本市场看好海尔智家布局智慧生活家电，为何？,OFweek
76,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
77,2021-12-17,富时中国指数成份股大调整，外资布局2022年,21世纪经济报道
78,2021-12-17,进化“由大到小”，海尔智家增资智慧生活家电有何良谋？,搜狐
79,2021-12-17,场景布局获认可！海尔智家Leader冰箱再获“好产品”奖,砍柴网
80,2021-12-17,家用电器2022年投资策略：龙头价值回归 聚焦高景气赛道,新浪
81,2021-12-17,海尔智家35亿元增资智慧生活家电，创新优势更有用武之地,砍柴网
82,2021-12-17,【渤海证券 家电】政策利好频出，关注低估值行业龙头——家电行业周报——看好,新浪
83,2021-12-17,海尔智家(600690)点评：增资生活电器子公司 发挥三翼鸟场景协同作用,新浪
84,2021-12-17,29股获券商买入评级，大族激光目标涨幅达48.43%,Wind
85,2021-12-17,北上资金连续12天净买入，煤炭行业搭上氢能源快车,Wind
86,2021-12-16,海尔智家(06690)为子公司提供担保的余额为122.66亿元 大额借贷担保,智通财经
87,2021-12-16,海尔智家(600690)：发力生活电器 布局千亿新空间,新浪
88,2021-12-16,华创家电秦一超丨海尔智家：增资发力生活电器，事业部助力多元收入增量,一超家电研究
89,2021-12-16,科技创新助力碳中和！海尔智家再获青岛市科学技术奖一等奖,牛华网
90,2021-12-16,海尔智家、青大附医在内！获青岛市科学技术奖的企业,搜狐
91,2021-12-16,EDA第一股今日申购，市盈率超500倍，北上资金买爆股票出炉,Wind
92,2021-12-16,国君家电|海尔智家新增智慧生活家电事业部点评：完善品类布局，打造新增长空间,小蔡看家电
93,2021-12-16,开源证券维持海尔智家买入评级：加码布局智慧生活家电，看好业务协同下长期发展,每日经济新闻
94,2021-12-16,曾被日本人看作“狼来了”的海尔，如今怎么样了,砍柴网
95,2021-12-16,信达证券：给予海尔智家买入评级,证券之星
96,2021-12-16,信达证券给予海尔智家买入评级，增资子公司发力生活电器，智慧生活更进一步,每日经济新闻
97,2021-12-16,海尔智家(600690)：智慧生活家电事业部成立 小家电战略地位提升,新浪
98,2021-12-15,海尔智家：向符合条件的18名激励对象授予股票期权452.5214万份,Wind
99,2021-12-15,海尔智家拟向子公司生活电器公司增资35亿元,上证报
100,2021-12-15,海尔智家最新公告：向18名激励对象授予452.52万份股票期权,证券之星
101,2021-12-15,增资35亿，发力生活家电！海尔智家开辟新增长点,证券之星
102,2021-12-15,海尔智家(600690.SH)授出452.5214万份A股股票期权 行权价为25.63元/股,智通财经
103,2021-12-15,海尔智家：向子公司增资35亿元并成立智慧生活家电事业部,财联社
104,2021-12-15,三翼鸟三级跳 海尔智家生态战略再进阶,Ofweek
105,2021-12-15,继双11连续10年全网第一后，海尔智家双12再获全网第,中经导报
106,2021-12-15,【异动股】海尔智家(06690.HK)跌3.03%,财华社
107,2021-12-15,快手之夜销额破亿！海尔智家：重点在场景,砍柴网
108,2021-12-15,【机会挖掘】两部门鼓励新一轮家电以旧换新及智能家电下乡 白电、厨电龙头和小家电公司有望受益,证券时报网
109,2021-12-14,2022年家电行业投资策略：改善趋势渐行渐近 修复空间充分打开,新浪
110,2021-12-14,【异动股】海尔智家(06690.HK)跌3.43%,财华社
111,2021-12-14,年轻人选冰箱要求高 海尔智家Leader靠场景迎新增长,砍柴网
112,2021-12-13,强势股追踪 主力资金连续5日净流入61股,证券时报网
113,2021-12-13,首届高端智能家电安全峰会举行，国创中心牵头生态共筑防线,新浪
114,2021-12-13,你好，老铁！三翼鸟官宣入驻快手,中经导报
115,2021-12-13,海尔李华刚：自主创牌，创造海外市场无限想象空间,中国财富网
116,2021-12-13,海尔智家：先行者的孤独,砍柴网
117,2021-12-13,判赔1.67亿元！盾安环境遭质疑内幕交易，格力何时重当“老二”？,每日财报
118,2021-12-12,华创家电·双周报丨“黑五网一”新趋势，跨境国牌持续发力,一超家电研究
119,2021-12-12,家电周观点||11月成长小家电品类高景气度延续、政策利好预期提升，继续看好家电成长股及白电反弹,LV微服思纺
120,2021-12-12,三翼鸟落地进程持续提速：体验中心进入生态共创的3.0时代,大众证券报
121,2021-12-11,体验店迭代！江苏最大三翼鸟卡萨帝体验中心001南京开业,证券之星
122,2021-12-10,连续13年第一！海尔智家获2021年中国智能建筑品牌奖,牛华网
123,2021-12-10,担心空调直吹 体验海尔智家旗下Leader空调：靠场景解决,砍柴网
124,2021-12-10,三翼鸟在雄安新区落户,飞象网
125,2021-12-10,【渤海证券 家电】板块行情回暖，关注低估值行业龙头——家电行业周报——看好,渤海证券研究
126,2021-12-10,海尔感恩月启动：卡萨帝助力第十八届湖北大学生营销大赛完美闭幕,长江商报
127,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
128,2021-12-09,瞰鉴鲁股：总市值排名被福建反超，潍坊国资拟斥资近10亿入主巴安水务,每日经济新闻
129,2021-12-09,【异动股】海尔智家(06690.HK)涨3.03%,财华社
130,2021-12-09,经济日报：富时罗素指数调整折射中国经济之变,Wind
131,2021-12-09,A股突然启动上涨，茅台收复2000元，人民币连创新高！,Wind
132,2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
133,2021-12-08,家电占比不到一半，三翼鸟卖场景渐成趋势,今日头条
134,2021-12-08,2021证券之星财经风云榜年度评选圆满收官,证券之星
135,2021-12-08,云米科技营收同比下降28.9%，陷入亏损困境 亏损,百度新闻
136,2021-12-08,中国最年轻首席舞者用上海尔智家Leader,砍柴网
137,2021-12-08,国君家电|10月中央空调数据点评:中央空调内销增速放缓，行业集中度提升,小蔡看家电
138,2021-12-08,海尔智家李华刚：企业唯有经过数字化重构方可精准匹配供给与需求,中国经营网
139,2021-12-08,降准落地，A股仍涨不动？这一顶级赛道却吵翻了,Wind
140,2021-12-07,50股主力资金净流入超亿元,证券时报网
141,2021-12-07,信贷、政策暖风频吹，地产后周期拐点来了？,Wind
142,2021-12-07,2021年12月央行降准与中央政治局会议点评：保障合理住房刚需 为家电长期内需托底,新浪
143,2021-12-07,国泰君安：白电龙头估值处于历史相对低位，安全边际突出,智通财经
144,2021-12-07,A股风格逐渐切换 | 晨会掘金,中信建投证券研究
145,2021-12-07,家电上市公司独董薪酬普遍不高 年薪5万元以下逾四成,证券日报
146,2021-12-06,家电行业2022年度策略：复苏与景气同行,新浪
147,2021-12-06,家用电器业行业：内外销同比降幅收窄 龙头持续占优,新浪
148,2021-12-06,家用电器业行业：家电线上增速较高 创新品类表现亮眼,新浪
149,2021-12-06,家电业独董年薪四成低于5万元 多家任职是万金油还是打假斗士？,证券日报之声
150,2021-12-06,家用电器行业周报：集成灶市场增势强劲 国产品牌占优,新浪
151,2021-12-06,家电行业月报：国内线上渠道景气度持续 出口下跌趋势放缓,新浪
152,2021-12-06,招商家电｜家电行业周度点评21W49-关注12月金股推荐,招商家电研究
153,2021-12-06,热水器怎么摆脱价格战？ 场景成海尔智家Leader新增长点,牛华网
154,2021-12-06,海尔智家股价持续走高，今日涨幅最高超5%创阶段新高,金融界
155,2021-12-06,海尔李华刚：拥抱数字时代，实现可持续发展,砍柴网
156,2021-12-06,【异动股】海尔智家(06690.HK)涨3.72%,财华社
157,2021-12-06,深度*行业*家用电器行业周报：洗烘一体机增速亮眼 传统家电盈利持续复苏,新浪
158,2021-12-06,家电周观点||海外消费回流线下致黑五平淡，期待高基数后改善,LV微服思纺
159,2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
160,2021-12-05,家用电器行业：11月清洁电器、投影仪线上销售高增长,广发证券
161,2021-12-05,家用电器研究周报：12月空调外销排产饱满,光大证券
162,2021-12-05,海尔智家(600690)：海尔乘风 全球起航,新浪
163,2021-12-04,海尔智家总裁李华刚：三翼鸟是数字化时代的创新实践,中证网
164,2021-12-04,海尔智家获“2021年度卓越责任上市公司”奖,金融界
165,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
166,2021-12-04,北上资金年度净买入刷新历史纪录,Wind
167,2021-12-03,“第二个董明珠”，救得了格力吗？,虎嗅网
168,2021-12-03,A股市场领涨全球，北上资金已开始“按捺不住”？,Wind
169,2021-12-03,盘中涨近4%！北向资金看好海尔智家连续5日增持2609万股,金融界
170,2021-12-03,双11数据：海尔智家Leader冰箱单日增幅3位数,砍柴网
171,2021-12-03,富时罗素删除多家白马股，美的集团遭到删除，该如何解读？,搜狐
172,2021-12-03,高光时刻！海尔智家为何能领跑白电三巨头？,证券之星
173,2021-12-03,被剔除出富时中国A50指数，美的集团这是怎么了？,和讯
174,2021-12-03,家电及相关：21年“黑五季”落幕 海外消费仍具韧性,新浪
175,2021-12-03,家用电器行业周报：聚焦厨电新势力 洗碗机赛道寻良机,新浪
176,2021-12-03,海尔集团转让海尔电子塑胶20%股权，海尔智家接盘,乐居财经
177,2021-12-03,16年来最糟时刻！家电行业迎“失意之年”,Wind
178,2021-12-03,家电行业进入存量竞争，头部企业亟寻增量,Wind
179,2021-12-03,家电行业“低迷之年”，三巨头逆周期加大资本开支,Wind
180,2021-12-02,海尔智家成为德国市场增长最快的家电品牌,搜狐
181,2021-12-02,三翼鸟是数字化时代探索的新物种,Ofweek
182,2021-12-02,海尔智家，「拯救」世界不容易,和讯
183,2021-12-02,什么信号？富时罗素A50指数重大调整，家电三雄将仅有海尔智家,证券之星
184,2021-12-02,海尔智家旗下Leader洗衣机凭场景赢得1-10月业绩持续2位数增长,砍柴网
185,2021-12-02,港股盘前必读：腾讯控股拟向不少于25700位奖励人士授予441万股奖励,Wind
186,2021-12-02,盘前有料丨又一调味品公司宣布提价；证监会否认禁止VIE企业境外上市…重要消息还有这些,证券时报
187,2021-12-02,天风Morning Call·晨会集萃·20211202,天风研究
188,2021-12-01,家电行业2022年上半年投资策略：边际改善初现 黎明将至,新浪
189,2021-12-01,高端卡萨帝“折”在闲鱼,36氪
190,2021-12-01,富时中国A50指数新纳入亿纬锂能、海尔智家、片仔癀,上证报
191,2021-12-01,富时罗素调整富时中国A50指数成份股，纳入亿纬锂能、海尔智家、片仔癀,36氪
192,2021-12-01,富时罗素：亿纬锂能等三股获纳入富时中国A50指数,Wind
193,2021-12-01,家用电器业行业2022年度策略报告：回归内需市场 关注结构性机会,新浪
194,2021-12-01,家用电器行业周报：如何看待新能源汽车热管理行业前景,新浪
195,2021-12-01,【异动股】海尔智家(06690.HK)涨3.08%,财华社
196,2021-12-01,家电行业2022年投资策略：把握低估值白马及高景气赛道 边际向好 复苏之年,西南证券
197,2021-11-30,家电行业2022年度投资策略：行至水穷处 坐看云起时,新浪
198,2021-11-30,暴雪封路？海尔智家：封不住服务,国际在线
199,2021-11-30,连续10个月增长！换道场景，海尔智家Leader空调迎4倍增幅,砍柴网
200,2021-11-30,【异动股】海尔智家(06690.HK)涨3.13%,财华社
201,2021-11-30,【AH互动】海尔智家(06690)AH股齐上扬 投资成立洗涤电器公司,和讯
202,2021-11-30,海尔集团转让海尔特种电冰柜约4%股份予海尔智家,乐居财经
203,2021-11-30,海尔智家投资成立洗涤电器公司，注册资本1.35亿,贝壳财经
204,2021-11-30,在西班牙：海尔智家获年度最佳冰箱,凤凰网
205,2021-11-30,海尔智家于重庆新设洗涤电器公司，注册资本1.35亿元,乐居财经
206,2021-11-29,家电行业周报：家电内销相对低迷 关注综合实力强劲的头部企业,新浪
207,2021-11-29,家用电器研究周报：10月空调内销回暖 海外需求维持旺盛,光大证券
208,2021-11-29,家用电器行业周报：出口数据韧性十足 海外家电需求有望回暖,新浪
209,2021-11-29,泰安再增640户智慧家！海尔智家为地产行业注入“智慧”,飞象网
210,2021-11-29,【异动股】海尔智家(06690.HK)跌3.03%,财华社
211,2021-11-29,海尔集团转让海尔质量检测100%股权，海尔智家接盘,乐居财经
212,2021-11-29,家电周观点|| 建议关注海运及原材料改善下的板块机会,LV微服思纺
213,2021-11-28,家用电器行业：洗碗机行业增速回暖 嵌入式成趋势,广发证券
214,2021-11-27,精彩回顾 | 卡萨帝理想生活节圆满落幕，致敬每个热爱生活的人,凤凰网
215,2021-11-26,长桥收评｜恒生科技指数本周跌近 5%，阿里跌超 4%，美团、拼多多财报待公布,搜狐
216,2021-11-26,【AH互动】海尔智家(06690)AH股逆市上扬 麦格里料市场份额仍有上升空间,和讯
217,2021-11-26,港股盘前必读：京东旗下跨境电商出口平台JOYBUY将升级为跨境B2B交易和服务平台,Wind
218,2021-11-25,家用电器业2021年双十一战报总结：创新品类持续高增 内销景气度有望恢复,新浪
219,2021-11-25,2021年中国家电行业市场规模、竞争格局及发展趋势分析 “十四五”市场集中度有望提升,前瞻研究院
220,2021-11-25,好科技是基础，颜值是年轻人必须的！,牛华网
221,2021-11-25,一场生活直播观看量超6600万，海尔智家凭什么攻占年轻人赛道？,牛华网
222,2021-11-25,从10年全网第1，看海尔智家披荆斩棘换来的持续性,牛华网
223,2021-11-25,在日本：海尔智家旗下AQUA冷柜连续2个月领跑市场,砍柴网
224,2021-11-25,海尔智家法式分子料理锅创健康烹饪新概念，推动厨房革命,砍柴网
225,2021-11-25,2021年山东省智能工厂名单公布，海尔智家上榜6家,砍柴网
226,2021-11-25,23亿年末冲刺 苏宁易购海尔打出“一高一低”两张牌,和讯
227,2021-11-25,家电行业周报：双十一销售跟踪：家电行业需求强劲 新消费龙头表现靓丽,新浪
228,2021-11-25,家电行业：新兴家电量价齐升 长期看好头部品牌,国金证券股份有限公司
229,2021-11-25,麦格理：维持海尔智家(06690)“跑赢大市”评级 目标价升至47.8港元,智通财经
230,2021-11-25,【券商聚焦】麦格里微升海尔智家(06690)目标价2% 料市场份额仍有上升空间,和讯
231,2021-11-25,海尔智家布局场景化生态，高端化与数字化转型助力业绩高涨,搜狐
232,2021-11-25,*麦格里微升海尔智家(06690)目标价2%至47.8港元 重申“跑赢大市”评级,和讯
233,2021-11-25,国泰君安：白电市场集中度不断提高，龙头企业内销有望在Q4实现同比改善,智通财经
234,2021-11-24,在抖音双11获得高速增长的品牌，他们都做了什么？,36氪
235,2021-11-24,家用电器行业2021W47周度研究：盘点家电企业第二成长曲线,新浪
236,2021-11-24,家用电器业行业10月中怡康白电数据点评：产品结构不断升级 龙头份额持续提升,新浪
237,2021-11-24,话企丨格力电器的三十岁，掉队了,财经网
238,2021-11-24,IEC发布全球首个量子信息技术白皮书！海尔智家行业,中经导报
239,2021-11-24,李华刚：留住用户，交互才能持续,砍柴网
240,2021-11-24,饮食场景优势持续！海尔智家Leader冰箱10月增幅两位数,砍柴网
241,2021-11-24,全球首个量子信息技术白皮书发布：中科院、海尔智家、华为等参与制定,新浪
242,2021-11-24,外贸新规划出炉，明确五大目标，受益股曝光,Wind
243,2021-11-23,再创高光时刻！海尔智家一举拿下5个质量技术奖,牛华网
244,2021-11-23,10家公司获股东增持超亿元，A股缘何再掀增持潮？,Wind
245,2021-11-23,家用电器行业周报(第四十六周)：出口海运压力边际好转 但家电出口增长仍或承压,新浪
246,2021-11-23,家用电器行业周报：10月家电零售数据向好 家空市场景气度上扬,新浪
247,2021-11-23,家电的未来在场景，海尔智家又提前布局了,财经网
248,2021-11-23,海尔智家：场景化生态重构价值空间,发布易
249,2021-11-22,家电行业周报：三季报海外家电一览(下),新浪
250,2021-11-22,家用电器行业：本周年度策略发布 长期关注时代红利 短期布局边际改善机会,新浪
251,2021-11-22,互联网传媒行业周报：阿里京东等发布三季度财报 美团推出货运物流业务,华安证券
252,2021-11-22,家电板块发力走高 天际股份、德业股份等涨停,证券时报网
253,2021-11-22,家用电器行业：新兴品类高景气度延续 静待板块估值修复,新浪
254,2021-11-22,【异动股】海尔智家(06690.HK)跌3.11%,财华社
255,2021-11-22,陆家嘴财经早餐2021年11月22日星期一,Wind
256,2021-11-22,家电周观点|| 继续看好家电成长股及白电反弹，新增推荐苏泊尔,吕明可选消费研究
257,2021-11-21,中信建投：家电行业仍系消费领域中的优质资产，建议关注修复反弹行情,Wind
258,2021-11-21,下周操盘攻略：波动将明显加剧,Wind
259,2021-11-21,家用电器行业：10月空调内外销增速回暖,广发证券
260,2021-11-21,家用电器行业策略：利润弹性、业绩增速、供给能力三个维度看家电,新浪
261,2021-11-20,空调行业跟踪：10月空调内销增速转正 海尔表现靓丽,新浪
262,2021-11-19,10月空调数据：内销出货回暖、出口略超预期,新浪
263,2021-11-19,当“包袱”遇到海尔智家，结果截然不同,中经导报
264,2021-11-19,海尔智家获北向资金积极买入！5日合计净流入8.78亿,证券之星
265,2021-11-19,【异动股】海尔智家(06690.HK)涨3.26%,财华社
266,2021-11-19,并购控股银隆、盾安环境，格力电器多元化转向“外延式扩张”？,新京报
267,2021-11-19,【AH互动】海尔智家(06690)AH股齐上涨 此前完成回购7949.24万股A股涉资22.02亿元,和讯
268,2021-11-19,空调行业：内销同比改善 出口维持稳定增长,新浪
269,2021-11-19,产业在线10月空调数据简评：出货平稳 价格向上 成本松动,新浪
270,2021-11-19,白电业绩分化大 厨电新品最亮眼,信息时报
271,2021-11-18,家电9月数据点评：需求平淡 关注盈利修复,新浪
272,2021-11-18,海尔智家：公司已建成17家互联工厂，其中2家已入选灯塔工厂-网,钢企网
273,2021-11-18,亿邦智库：《2021智能家居市场研究洞察》,亿邦动力
274,2021-11-18,“冷冬”之下，中国制造持续增长的“动力方向”在哪？,中华网
275,2021-11-18,【异动股】海尔智家(06690.HK)跌3.01%,财华社
276,2021-11-18,跟小米集团议价难？铜价上涨压缩泓淋电力毛利率 | IPO观察,第一财经
277,2021-11-18,三翼鸟携手红星美凯龙背后：行业融合成大势所趋,飞象网
278,2021-11-18,家电个股周三涨停！原材料价格企稳回落，内部板块分化， 机构预期或迎盈利上行拐点,ZAKER
279,2021-11-18,格力电器拟30亿控股盾安环境 已耗资78亿推多元化突围实效待考,发现网
280,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
281,2021-11-18,得场景者得用户？三翼鸟10月数据背后的重要信息,新浪
282,2021-11-18,海尔智家11月17日现2笔大宗交易,证券时报网
283,2021-11-17,"海尔智家现2笔大宗交易 共成交11,783.04万元",新浪
284,2021-11-17,得场景者得用户？三翼鸟10月数据背后的重要信息,中经导报
285,2021-11-17,海尔智家“尾款人”消费力惊人：京东零点破15亿！,今日头条
286,2021-11-17,海尔智家今日大宗交易成交155万股，成交价30.27元溢价9.99%,Wind
287,2021-11-17,零售额增幅127%！三翼鸟与红星美凯龙实现高质量共赢,今日头条
288,2021-11-17,双第一！海尔智家双11收官：全网份额第一，口碑第一,飞象网
289,2021-11-17,红星美凯龙与海尔智家合作升级，2022年冲刺渠道零售50亿,乐居财经
290,2021-11-17,红星美凯龙与海尔智家战略合作进一步升级,Wind
291,2021-11-17,红星美凯龙与海尔智家战略合作进一步升级,e公司
292,2021-11-17,家用电器行业周报：地产政策或调整 重视家电投资机会,新浪
293,2021-11-17,双11家电市场难掀“热潮” “押注”年轻人Leader线上增幅两位数,砍柴网
294,2021-11-17,家电行业W45周度点评：双十一家电零售表现靓丽 家电板块悲观预期见底,新浪
295,2021-11-17,港股公告精选：网易云音乐重启IPO，网易持股62.46%,Wind
296,2021-11-16,家用电器2021W46行业研究周报：双十一家电销售全景追踪,新浪
297,2021-11-16,海尔智家已完成股份回购计划 实际使用22亿元回购7949.23万股,观点地产网
298,2021-11-16,海尔智家斥资22亿元回购0.85%公司股份,乐居财经
299,2021-11-16,海尔智家(600690.SH)：完成回购 累计耗资22.02亿元回购7949.24万股,格隆汇
300,2021-11-16,瞰鉴鲁股：板块总市值再度接近4万亿，今年新增上市公司已达32家,每日经济新闻
301,2021-11-16,唯一独揽4项制造业单项冠军！海尔智家科技实力获国家认可,飞象网
302,2021-11-16,家电及相关观点聚焦：第五次调整周期后 竞争力差异中找阿尔法,新浪
303,2021-11-16,张瑞敏退休 一个时代结束,新浪
304,2021-11-16,德国中产阶层消费新动向 从利勃海尔到海尔,搜狐
305,2021-11-16,0年全网第1，海尔智家披荆斩棘换来的持续性,Ofweek
306,2021-11-16,对话海尔智家总裁李华刚：三翼鸟是“换道”的里程碑突破,和讯
307,2021-11-15,家电周观点|| 双十一行业表现亮眼，看好家电成长股及白电反弹,吕明可选消费研究
308,2021-11-15,海尔智家：回购122.83万股股票，合计耗资约3398.5万元,Wind
309,2021-11-15,海尔智家(06690.HK)11月15日耗资3398.5万元回购122.83万股A股,格隆汇
310,2021-11-15,山东区域股市周报：板块总市值涨979亿，两家上市公司登陆创业板,每日经济新闻
311,2021-11-15,【行情】港股恒生科技指数转跌，联想集团跌超2%，海尔智家跌近2%,金十数据
312,2021-11-15,宁德时代、海尔智家等23股获北向资金增持额超亿元,证券时报网
313,2021-11-15,重要股东增持排行榜：5股增持金额超5000万元,证券时报网
314,2021-11-14,海尔智家(600690)：Q3业绩超预期 盈利能力稳步提升,新浪
315,2021-11-13,美的、海尔、格力，谁是最后的白电老大？,凤凰网
316,2021-11-13,海尔智家：公司控股股东海尔集团的一致行动人海创智累计增持约3226.17万股,每日经济新闻
317,2021-11-13,家电行业2021年三季报业绩综述：板块配置价值逐步提升,渤海证券
