,2021-12-31,ABB携手华域汽车，加码汽车智造升级,Ofweek
116,2021-10-09,汽车与零部件行业华为智能汽车报告系列四之热管理：电动车渗透率提升 布局热管理公司受益,新浪
117,2021-10-08,汽车行业周报：9月新能源车销量持续火爆,新浪
118,2021-10-08,汽车行业周报：9月前四周批发零售表现平淡 汽车库存降至近年低位,新浪
119,2021-09-30,华域汽车(600741.SH)：子公司已持有延锋安道拓座椅100%股权,格隆汇
120,2021-09-30,2021年9月汽车行业：8月销量受缺芯冲击 新能源渗透率加速提升至17.1%,新浪
121,2021-09-27,新能源汽车行业周报：行业缺芯影响持续 大众在华投建首座独资电池工厂,渤海证券
122,2021-09-27,汽车周报：限电停产小幅影响行业排产 蔚来推出三元铁锂电池,新浪
123,2021-09-26,汽车行业：复苏时点临近,新浪
124,2021-09-24,新能源汽车数据点评系列十三：海外新能源：欧洲渗透率持续提升,广发证券
125,2021-09-22,“数据会说话”之2021年8月数据解读：8月疫情防控升级 社零增速不及预期,新浪
126,2021-09-22,汽车行业周报：关注高景气的新能源车产业链,新浪
127,2021-09-22,汽车行业周报：传统旺季来临 静待车企补库,新浪
128,2021-09-22,汽车周报：“金九”终端需求旺盛 小鹏P5加速智能家轿进程,新浪
129,2021-09-22,汽车行业：21年数据点评系列十九：芯片短缺带来阶段性扰动 不改需求长期向上趋势,广发证券
130,2021-09-18,华域汽车(600741)：海外+业外客户发力 Q2业绩平稳 抵御缺芯压力,新浪
131,2021-09-17,汽车和汽车零部件行业周报：AR-HUD拐点已至 华为引领智能风潮,光大证券
132,2021-09-16,干货！发改委发布会：保供稳价、粮食安全、猪肉收储,Wind
133,2021-09-14,汽车行业周报：8月销量好于预期 新能源渗透率再创新高,新浪
134,2021-09-14,汽车行业周报：8月新能源车渗透率触20%大关 比亚迪E3.0平台重磅发布,新浪
135,2021-09-13,中信证券：汽车行业需求复苏开启，继续看好板块性投资机会,Wind
136,2021-09-10,双节来临，“假日经济”给投资者送福利,Wind
137,2021-09-10,银河证券每日晨报,新浪
138,2021-09-10,华域汽车：电子分公司完成4D成像毫米波雷达产品的自主研发，拟四季度量产,Wind
139,2021-09-10,华域汽车：收购延锋安道拓座椅有限公司49.99%股权及其他相关资产交易等工作，正在分步实施推进中,每日经济新闻
140,2021-09-10,华域汽车：电子分公司完成4D成像毫米波雷达产品的自主研发，计划于今年第四季度实现量产,每日经济新闻
141,2021-09-09,汽车行业点评报告：2021年8月新能源汽车零售销量环比+12.0% 单月渗透率为17.1%,新浪
142,2021-09-09,2021年8月乘用车销量点评：缺芯影响下8月零售端偏弱 新能源渗透率加速提升至17.1%,新浪
143,2021-09-09,汽车行业半年报业绩综述：缺芯致Q2销量下滑 行业复苏延迟但不会缺席 盈利能力下降,渤海证券
144,2021-09-08,汽车行业周报：特斯拉2021Q2业绩创新高 单季度净利润首次突破10亿美元,新浪
145,2021-09-08,汽车零部件企业上市公司公布上半年财报 整体增势可观,盖世汽车
146,2021-09-08,23家自主零部件企业上半年业绩一览，净利最高暴增近104倍,第一电动网
147,2021-09-07,多公司获大额补贴 新能源汽车进入高速成长阶段,大众证券报
148,2021-09-07,78只股上午收盘涨停(附股),证券时报网
149,2021-09-07,9月7日午盘主力巨资抢筹四大板块(附股),金融界
150,2021-09-07,9月7日午盘两市净流入前20股(名单),金融界
151,2021-09-07,华域汽车涨停，汽车ETF(516110)盘中涨超2%,资本邦
152,2021-09-07,快讯：华域汽车涨停 报于25.34元,金融界
153,2021-09-07,华域汽车首板,Wind
154,2021-09-07,【汽车】汽车行业2021年中报总结—业绩大幅改善，后续上行可期,中银证券研究
155,2021-09-07,汽车行业2021年中报综述：原材料成本和芯片供给因素给当期盈利带来阵痛,广发证券
156,2021-09-07,【天风Morning Call】晨会集萃20210907,天风研究
157,2021-09-06,华域汽车：公司尚未涉及激光雷达的研发和制造,每日经济新闻
158,2021-09-06,55股受青睐，北向资金增持额超亿元,证券时报网
159,2021-09-06,【汽车】8月比亚迪小鹏理想蔚来零跑销量创新高——新能源汽车行业周报——看好,渤海证券研究
160,2021-09-06,汽车行业2021年中报业绩综述：短期缺芯不改复苏趋势 迎接大变革时代,新浪
161,2021-09-05,汽车行业：板块继续震荡 等待一个明确的复苏时点,新浪
162,2021-09-04,智能汽车投资框架之二：立讯VS拓普 平台型企业如何炼成？,新浪
163,2021-09-03,“芯荒”加剧，中国车企市值却反增1760亿元！,中新经纬
164,2021-09-03,上海区域股市周报：海优新材涨52.64%涨幅第一 402家机构调研东富龙,每日经济新闻
165,2021-09-03,8月汽车公司市值榜丨“芯荒”加剧 中国车企市值反增1760亿元 经销商全线“飘红”却一车难求,每日经济新闻
166,2021-09-02,【市场观潮】中报喜人，股价却频频下跌，德赛西威能否重返“百元股”？,财华社
167,2021-09-02,40只茅股业绩揭秘：八成增长，快递茅、猪茅、药茅等不及预期 盈利能力下降,新京报
168,2021-09-01,华域汽车9月1日大宗交易成交2377.00万元,证券时报网
169,2021-09-01,华域汽车今日大宗交易成交100万股，成交价23.77元溢价0.0%,Wind
170,2021-09-01,64公司获得增持评级-更新中,中财网
171,2021-09-01,国海证券：予上汽集团(600104.SH)“增长”评级 销量结构优化持续 旺季迎来持续优化,智通财经
172,2021-09-01,华域汽车(600741)2021年中报点评：业绩符合预期 非上汽客户占比不断提升,新浪
173,2021-09-01,【北向资金持仓月报】169股增仓超50%,证券时报网
174,2021-08-31,52公司获得推荐评级-更新中,中财网
175,2021-08-31,华域汽车(600741)：内外饰盈利改善 智能电动加速突破,新浪
176,2021-08-31,【天风Morning Call】晨会集萃20210831,天风研究
177,2021-08-31,华域汽车完成4D成像毫米波雷达研发,汽车之家
178,2021-08-30,张坤、刘彦春、萧楠2021年二季度隐形重仓公司,证券之星
179,2021-08-30,“消费之王”萧楠自我点评：上半年业绩不佳，养殖板块加仓过于左侧，隐形重仓股中可有崛起机会？ 盈利能力下降,财联社
180,2021-08-30,张坤：增持计算机、银行等行业 萧楠：消费板块整体进入“休整期”,中证报
181,2021-08-30,43股受青睐，北向资金增持额超亿元,证券时报网
182,2021-08-30,【汽车】首批燃料电池汽车示范城市群获批——新能源汽车行业周报——看好,渤海证券研究
183,2021-08-30,【银河汽车李泽晗/杨策】行业动态 2021.8丨自主品牌销量逆势增长，新能源车高景气延续,中国银河证券研究
184,2021-08-29,主流赛道依旧是市场最强热点！,新浪
185,2021-08-29,国信证券维持华域汽车买入评级，2021中报点评：业绩超预期，四大重点领域工作持续推进,每日经济新闻
186,2021-08-29,低估值高增长更可贵,红周刊
187,2021-08-29,中银证券维持华域汽车买入评级：业绩符合预期，产品及客户拓展推动长期增长,每日经济新闻
188,2021-08-29,刚刚披露！张坤、“消费之王”萧楠隐形重仓股来了，他们还看好这些机会,中证报
189,2021-08-28,山西证券维持华域汽车买入评级：布局优质赛道，优化业务结构,每日经济新闻
190,2021-08-27,天风汽车【月观点】一文看透汽车景气现状,微信
191,2021-08-27,436股获买入评级 最新:中航机电,中财网
192,2021-08-27,汽车市场景气度持续上行，近6亿元主力资金加仓这只股,第一财经
193,2021-08-27,顶流基金经理盯上“小而美”，近200只场内基金一起更名！【基金下午茶】,证券之星
194,2021-08-27,全面拥抱自主品牌第三次崛起！汽车产业链标的名单来了,中投网
195,2021-08-27,A股指数分化上证50指涨超1% 中报行情接近尾声蓝筹权重走强,财华社
196,2021-08-27,华域汽车：所属公司已实现八层扁铜线驱动电机的批产,第一财经
197,2021-08-27,华域汽车：华域汽车电动系统有限公司已实现八层扁铜线驱动电机的批产 并已为德国大众电动车全球平台（MEB）辅驱电机提供批量供货,财联社
198,2021-08-27,华域汽车：参股公司“亚普汽车”储氢瓶的研发尚处于试制样件基本性能测试阶段,Wind
199,2021-08-27,华域汽车：所属电子分公司已成功研发基于360度环视和毫米波雷达相结合的自动泊车系统解决方案,每日经济新闻
200,2021-08-27,什么情况？发布业绩高增长预告，这家公司股价跌停！最新社保基金连续增持的绩优滞涨股来了，行业龙头在列,e公司
201,2021-08-27,【天风Morning Call】晨会集萃20210827,天风研究
202,2021-08-27,赚了133亿，经营现金流却暴跌278亿！上汽这半年怎么了？,国际金融报
203,2021-08-26,华域汽车(600741)：业绩韧性强劲 新周期即将开启,新浪
204,2021-08-26,42公司获得推荐评级-更新中,中财网
205,2021-08-26,华域汽车上半年净利润27.3亿元，“中性化”战略成效初显,第一电动网
206,2021-08-26,汽车行业投资策略：一文看透汽车景气现状,新浪
207,2021-08-26,东莞证券给予华域汽车推荐评级，2021年中报点评，近期获3份券商研报关注，目标均价涨幅27.18%,每日经济新闻
208,2021-08-26,华域汽车(600741)半年报点评：上半年业绩改善明显 新兴业务加速布局,新浪
209,2021-08-26,【2021年中报点评/华域汽车】新势力客户放量，积极拥抱电动智能化,东吴汽车黄细里团队
210,2021-08-26,8月26日 6股盘前利好公告速递,中财网
211,2021-08-26,一图读懂华域汽车2021年中报,证券之星
212,2021-08-26,业绩翻倍+低估值+滞涨股出炉！北上资金扫货8股,Wind
213,2021-08-26,这样的 R 标纯电轿车不比 Model 3 香？动态体验 ER6,ZAKER
214,2021-08-25,晚间重要公告2021年8月25日星期三,Wind
215,2021-08-25,和讯曝财报|华域汽车上半年净利增长108.95% 中央汇金退出前十大股东,和讯
216,2021-08-25,晚间公告热点追踪：曲江文旅上半年亏损大幅收窄 7亿欠款难追回,新浪
217,2021-08-25,有机硅龙头暴涨6倍！预增王是它 业绩翻倍+低估值+滞涨股名单出炉,中财网
218,2021-08-25,有机硅龙头暴涨6倍，市值突破2000亿！业绩预增王是它，业绩翻倍+低估值+滞涨股出炉，北上资金扫货8股,证券时报网
219,2021-08-25,8月25日多氟多、迈瑞医疗等12家公司公告出现利好,证券之星
220,2021-08-25,华域汽车2021年上半年实现净利润34.24亿元，同比大幅增长107.29%,经济观察网
221,2021-08-25,华域汽车(600741.SH)半年度归母净利同比增108.95%至27.3亿元,智通财经
222,2021-08-25,华域汽车半年报：上半年净利润27.3亿元 同比增长109%,财联社
223,2021-08-25,华域汽车：上半年净利润同比增长108.95%,Wind
224,2021-08-25,延锋国际智能座舱项目落户临港,浦东时报
225,2021-08-23,华域汽车股价涨5.4% 现报22.26元,乐居财经
226,2021-08-23,汽车申侃智联双周行(第五期)：政策驱动商用车ADAS 快速推进,新浪
227,2021-08-20,深度*行业*汽车行业月报：7月乘商销量均有下降 新能源销量再创新高 盈利能力下降,新浪
228,2021-08-20,华域汽车所属延锋国际公司临港智能座舱配套项目签约,e公司
229,2021-08-20,北向资金6年来首次连续两日净卖出超百亿，贵州茅台、五粮液、恒瑞医药遭惨烈抛售,Wind
230,2021-08-20,券商首次关注12股并给予买入评级（8月20日）,Wind
231,2021-08-19,“数据会说话”之2021年7月数据解读：7月社零数据低于预期 弱复苏态势延续,新浪
232,2021-08-19,数字化转型实现“三个30%”提升，上汽延锋样本向全球复制,澎湃新闻
233,2021-08-19,开源证券首予华域汽车买入评级，近期获1份券商研报关注，目标均价涨幅28.33%,每日经济新闻
234,2021-08-19,华域汽车：参股公司“亚普汽车”储氢瓶研发尚处于试制样件基本性能测试阶段,Wind
235,2021-08-19,华域汽车大宗交易成交676.73万元,我的钢铁
236,2021-08-19,如何为汽车安上一双“慧眼”,中国青年报
237,2021-08-18,华域汽车今日大宗交易成交31.20万股，成交价21.69元溢价0.0%,Wind
238,2021-08-17,【天风Morning Call】晨会集萃20210817,天风研究
239,2021-08-16,汽车行业周报：工信部：加强智能网联车企及产品准入管理,新浪
240,2021-08-16,汽车照明巨头海拉与佛吉亚合并！,LED在线
241,2021-08-16,德赛西威的业绩繁荣与隐忧,36氪
242,2021-08-16,汽车行业周报：2021H1全球电动汽车销量超250万辆 电动化率达6.3%,新浪
243,2021-08-16,【汽车】汽车销量连续下滑，行业亟待补库——汽车行业月报——中性 盈利能力下降,渤海证券研究
244,2021-08-16,【国金电子】车载光学深度报告： 智能驾驶方兴未艾，车载光学长坡厚雪,国金电子研究
245,2021-08-15,【国金电新&汽车】光伏涨价迎旺季，发电侧配储出重拳；宁德融资固王座，电池材料变数多,新兴产业观察者
246,2021-08-15,周观点 | 7月新能源渗透率16%+ 自主品牌市占率提升【华西汽车 崔琰团队】,汽车琰究
247,2021-08-15,数据解放生产力——琰究摩托车数据系列（2021年7月）【华西汽车 崔琰团队】,汽车琰究
248,2021-08-13,华域汽车：收购延锋安道拓座椅有限公司49.99%股权及其他相关资产交易等工作，正在分步实施推进中,每日经济新闻
249,2021-08-13,北向资金本周净买入额大幅收窄，宁德时代遭大幅净卖出近8亿元,Wind
250,2021-08-13,【天风Morning Call】晨会集萃20210813,天风研究
251,2021-08-12,半年报解读|原料涨价侵蚀利润 继峰股份上半年净利1.89亿不及预期 盈利能力下降,财联社
252,2021-08-12,中汽协7月销量点评：高基数和芯片压制销量 新能源持续超出预期,新浪
253,2021-08-12,科技+成长！网络安全升温，业绩加速释放,Wind
254,2021-08-12,汽车行业报告：7月乘用车批发同比下降8.2% 头部自主品牌与新能源车表现超强,新浪
255,2021-08-12,汽车整车股持续走高，券商：预计整车仍将是板块的投资主线,证券之星
256,2021-08-12,汽车行业月度销量点评：销量短期承压 下半年向好趋势犹存,新浪
257,2021-08-12,【天风汽车】7月自主品牌销量逆势增长，新能源汽车加速渗透,微信
258,2021-08-11,罗德与施瓦茨大中华区总裁：自动驾驶技术成熟度等需更多完善,澎湃新闻
259,2021-08-11,2021年7月乘用车销量点评：7月自主品牌销量逆势增长 新能源渗透率进一步提升,新浪
260,2021-08-11,【国金汽车】德赛西威：智能驾驶和智能座舱助力公司二次腾飞,新兴产业观察者
261,2021-08-10,上海区域股市周报：新增1家上市公司 复旦微电跌出板块市值10强,每日经济新闻
262,2021-08-10,亿纬锂能等61股获北向资金连续5天增持,新浪
263,2021-08-10,6月电机榜：联合汽车电子跻身前十 华域麦格纳首上榜,第一电动网
264,2021-08-10,汽车-主机厂盈利能力和估值探析：盈利能力分化 特斯拉催化下OEM估值体系开始重塑,新浪
265,2021-08-10,晨报0810 | 致远互联（688369）、泛微网络（603039）、汽车行业专题,国泰君安证券研究
266,2021-08-09,汽车和汽车零部件行业周报：“征程5”乘风起航 国产芯片助力软件定义汽车,光大证券
267,2021-08-09,华域汽车现1笔大宗交易 共成交705.34万元,新浪
268,2021-08-09,华域汽车今日大宗交易成交32.70万股，成交价21.57元溢价0.0%,Wind
269,2021-08-09,华域汽车：转向技术收获高度认可，智能化进程不断加快,中金在线
270,2021-08-06,中信证券：线控底盘赛道爆发 自主逆袭,至诚财经
271,2021-08-06,第十七届中国机械工业百强、汽车工业整车二十强、零部件三十强企业信息发布会在德阳市召开,美通社
272,2021-08-06,7月汽车公司市值榜 | “缺芯”延续，中国车企市值蒸发620亿；宁德时代领涨动力电池板块,每日经济新闻
273,2021-08-06,【东吴晨报0806】【宏观】【行业】汽车【个股】用友网络、欧普康视、青鸟消防,东吴研究所
274,2021-08-05,7月汽车公司市值榜 | “缺芯”延续，中国车企市值蒸发620亿，动力电池板块集体看涨 连续下跌,每日经济新闻
275,2021-08-05,中信证券：征程5芯片首发 推荐智能汽车产业链头部公司,e公司
276,2021-08-05,晨会0805｜征程5芯片首发，构建“全维利他”生态,中信证券研究
277,2021-08-05,智能驾驶｜征程5芯片首发，构建“全维利他”生态,中信证券研究
278,2021-08-05,【东吴晨报0805】【固收】【金工】【行业】汽车【个股】久立特材,东吴研究所
279,2021-08-04,工业整车二十强发布 上汽集团排名第一位,羊城晚报
280,2021-08-04,软件定义汽车系列深度第15篇：线控制动加速国产化替代,新浪
281,2021-08-04,中信证券：中国汽车零部件行业迎来长期成长机会,证券时报网
282,2021-08-04,中信证券晨会,新浪
283,2021-08-03,固收类基金青睐股票曝光，低估值、小波动安全类资产成首选,红周刊
284,2021-08-03,新势力月销破万在即 智能电动变革加速 | 新能源汽车行业系列点评十六【华西汽车 崔琰团队】,汽车琰究
285,2021-08-02,汽车及零部件行业周报：新能源支持预期加码 智能网联汽车路测规范发布,新浪
286,2021-08-02,巨·大盘｜市场风格快速切换 中报估值修复行情展开 A股喜迎8月开门红,巨丰财经
287,2021-08-02,巨丰收评：沪指涨2% 白酒股绝地反弹,巨丰财经
288,2021-08-02,新能源汽车板块强势拉升 海马汽车、奥特佳等涨停,证券时报网
289,2021-08-02,【汽车】中央政治局定调：支持新能源汽车加快发展——新能源汽车行业周报——看好,渤海证券研究
290,2021-08-01,标续版Model3再降价 以价换量掀风云 | 特斯拉系列报告十四【华西汽车 崔琰团队】,汽车琰究
291,2021-07-30,21H1乘用车市场回顾：需求持续修复 结构特征明显,广发证券
292,2021-07-30,解密主力资金出逃股 连续5日净流出815股,证券时报网
293,2021-07-30,7月30日主力资金净流出257亿元,证券时报网
294,2021-07-30,中国汽车工业协会发布工业整车二十强榜单 蔚来理想上榜,金融投资报
295,2021-07-30,富国中证智能汽车指数(LOF)净值上涨3.23%,新浪
296,2021-07-29,解密主力资金出逃股连续5日净流出839股,证券时报网
297,2021-07-29,22股即将实施分红 老凤祥派现最大方,证券时报网
298,2021-07-29,【银河晨报】7.29丨把握“双碳”战略下的行业机遇,中国银河证券研究
299,2021-07-29,第二届四川装备智造国际博览会开幕 汇集309家国内外知名企业 成都企业“重装”亮相,成都日报
300,2021-07-28,华域汽车今日大宗交易成交20.90万股，成交价19.95元溢价0.0%,Wind
301,2021-07-28,上汽华域发布4D成像毫米波雷达：探测距离300米,IT之家
