,2021-12-31,中国交建：截至目前公司与福田汽车没有具体的业务合作,每日经济新闻
2007,2020-03-09,碧水源三股东出让控制权或迎央企入主 控制人变化,腾讯网
2008,2020-03-09,粤开证券 | 首席观点周荟萃：A股存在较丰富的结构性机会,微信
2009,2020-03-09,【中泰建筑一周随笔01】疫情之下，基建的可知与不可知,中泰建筑研究
2010,2020-03-09,基建大周期启动 主题基金可以“上车”了,上证报
2011,2020-03-08,【国盛策略|大势研判】不必过度恐慌,尧望后势
2012,2020-03-08,新疆乌尉项目395名员工乘包机返岗复工,中国交建
2013,2020-03-08,【天风建筑周报】建筑板块低估值的优势仍然存在，预计仍有一定的相对收益,笑谈建筑
2014,2020-03-08,【重磅财经前瞻】中国2月CPI数据将公布57家公司披露年报,中新经纬
2015,2020-03-07,包机返岗确保世界最长高速公路隧道尽快复工,中国青年网
2016,2020-03-07,不是所有行业都适合定投,财富动力网
2017,2020-03-07,企业陆续复工挑战刚刚开始,证券时报
2018,2020-03-07,A股再显韧性北上资金加仓口罩龙头股,证券时报
2019,2020-03-06,主力动向：3月6日特大单净流出306.67亿元,证券时报网
2020,2020-03-06,国泰君安：基建春天来临，推荐基建央企/钢结构/基建设计等,证券时报网
2021,2020-03-06,秦洪看盘｜市场利率低，A股主要指数调整空间有限,澎湃新闻
2022,2020-03-06,A股市场破净股一览（3月6日）,Wind
2023,2020-03-06,暴走A股：龙头股一分钟被砸20%，这类票下周危险了！,金融界
2024,2020-03-06,[预告]建科机械首次公开发行股票并在创业板上市网上路演3月9日在全景网举办,全景网
2025,2020-03-06,2019对外承包完成额100强及十点分析,北极星电力
2026,2020-03-05,一文看后市：涨出了降息的感觉，关键看能否兑现！,腾讯网
2027,2020-03-05,国信证券：建议积极关注建筑板块估值修复机会,证券时报网
2028,2020-03-05,39股特大单净流入资金超2亿元,证券时报网
2029,2020-03-05,暴走A股：A股刚收盘，美股就送来利空,金融界
2030,2020-03-05,A股市场破净股一览（3月5日）,Wind
2031,2020-03-05,3月5日主力巨资抢筹四大板块(附股),金融界
2032,2020-03-05,3月5日两市机构大单抛盘40股(名单),金融界
2033,2020-03-05,光明区建筑工地复工规模接近100%,深圳特区报
2034,2020-03-05,基建工程迎高光时刻 信诚基建指基受资金热捧,和讯
2035,2020-03-05,国信证券：政策强化，建筑行业估值吸引力突出,证券时报网
2036,2020-03-05,晨会聚焦200305重点关注珀莱雅、建筑行业、内蒙一机、长盈精密,国信研究
2037,2020-03-05,建筑行业2020年3月投资策略：政策强化，估值吸引力突出,国信研究
2038,2020-03-04,连续三周“云签约”招商 重庆两江新区揽资超300亿元,21世纪经济报道
2039,2020-03-04,泰山石化(01192.HK)与中国交建下属就钢结构工程建立战略合作,格隆汇
2040,2020-03-04,富时A50纳4股：中信建投、京东方、中兴通讯、韦尔股份,第一财经
2041,2020-03-04,64亿主力资金近三日杀入沪伦通概念股,证券时报网
2042,2020-03-04,A股市场破净股一览（3月4日）,Wind
2043,2020-03-04,大基建板块再度崛起，重大项目启动基建投资有望加速,证券时报网
2044,2020-03-04,中建又一个工程局总经理调整！近期五大央企发生百人变动 董监高成员变化,北极星节能
2045,2020-03-04,A股市场涨嗨 牛股王DK趋势助力投资者精准获益,中国网
2046,2020-03-04,粤开策略：首席观点周荟萃--A股现阶段具备较强的投资价值,金融界
2047,2020-03-04,晚间重磅表态 数字货币真的要来了？且看今天板块表现！,金融界
2048,2020-03-03,【收盘简评】2020-03-03,赢家之星
2049,2020-03-03,基建迎来行情 分析师痛哭推票：这一刻我们等了太久,新浪
2050,2020-03-03,334股创年内新高 六成业绩报喜,北京商报
2051,2020-03-03,南京证券尾盘净流入资金超亿元,证券时报网
2052,2020-03-03,信诚中证基建工程指数LOF成交额再创历史新高,中证网
2053,2020-03-03,主力资金：超300亿资金出逃 尾盘主力抢筹这些股,新浪
2054,2020-03-03,【大行报告】交银国际:中国交建2019年建设业务新签合同实现双位数增长,财华社
2055,2020-03-03,A股市场破净股一览（3月3日）,Wind
2056,2020-03-03,每日策略20200303,东莞证券研究
2057,2020-03-03,快讯：大基建板块延续昨日强势 龙建股份等涨停,新浪
2058,2020-03-03,新老基建互怼，有机构已经吹翻天！,德邦证券微资讯
2059,2020-03-03,大基建板块开盘继续走强,e公司
2060,2020-03-03,近90亿主力资金抢筹基建板块 19股持续获增持,中证网
2061,2020-03-03,25万亿投资计划：新基建与老基建并重，产业链全梳理,证券时报网
2062,2020-03-03,中国资产企稳了？A股创近1年最大涨幅，人民币6天涨1000点,Wind
2063,2020-03-02,回答一个问题：大盘明天还能涨吗？,金融界
2064,2020-03-02,市场报复性反弹 本周主线已定,华讯财经
2065,2020-03-02,基建，多年的铁树终于开了花,腾讯网
2066,2020-03-02,水泥股领衔基建板块上演反弹 低市盈率陷阱被“打脸”？,每日经济新闻
2067,2020-03-02,A股暴涨：四大万亿级产业或存机会 高瓴资本布局了它,金融界
2068,2020-03-02,重大项目总投资超11万亿元 人气暴涨基建板块涨幅达9.35%,证券日报
2069,2020-03-02,主力动向：3月2日特大单净流入160.85亿元,证券时报网
2070,2020-03-02,趋势巡航：四大利好刺激大盘大涨,金融界
2071,2020-03-02,高层放水，基建发力，当基建遇上科技，会擦除怎样的火花？,金融界
2072,2020-03-02,基建板块大涨！信诚中证基建工程指数基金再度迎风起舞,中国网
2073,2020-03-02,一带一路概念股近三日最受主力资金青睐,证券时报网
2074,2020-03-02,A股大涨走出独立行情，大基建估值与题材兼备,Wind
2075,2020-03-02,铁公基连续逞强，上下游产业链受益几何？,Wind
2076,2020-03-02,报复性反弹来了！这一板块再度暴动 市场新主线确立,金融界
2077,2020-03-02,11万亿计划助力基建 机构称建筑板块的“春天”来了,中国财富网
2078,2020-03-02,3月2日主力资金净流入191亿元,证券时报网
2079,2020-03-02,A股市场主力资金净流入190.96亿元 中兴通讯净流入额居首,中证网
2080,2020-03-02,外围止跌国内稳增长政策频出A股普涨逆袭大基建掀涨停潮,财华社
2081,2020-03-02,A股市场破净股一览（3月2日）,Wind
2082,2020-03-02,3月2日复盘：谨防反弹已一步到位 主力资金出击10股,新浪
2083,2020-03-02,3月2日两市净流入前20股(名单),金融界
2084,2020-03-02,涨停股复盘：15股封单超亿元,证券时报网
2085,2020-03-02,中国交建涨停，基础建设行业涨9.12%,中新经纬
2086,2020-03-02,万亿板块掀涨停潮，机构看好这些低估值基建股(名单),证券时报网
2087,2020-03-02,头号研报：中长期贷款增加 大基建投资提速带来结构性机会,巨丰财经
2088,2020-03-02,A股上午全线反弹：沪指涨近3%，北向资金净流入43亿元,澎湃新闻
2089,2020-03-02,大基建板块掀涨停潮！机构瞄准“新基建”方向,中投网
2090,2020-03-02,北上资金半日扫货43亿 资金疯狂涌入这些板块(附股),e公司
2091,2020-03-02,3月2日午盘主力巨资抢筹四大板块(附股),金融界
2092,2020-03-02,早盘复盘：沪指强势反弹近3%，基建水泥板块现批量涨停,格隆汇
2093,2020-03-02,十省市超25万亿基建项目火速上马？大基建冲上风口，大跌后上证指数报复性劲涨近3%,21世纪经济报道
2094,2020-03-02,125只股上午收盘涨停(附股),证券时报网
2095,2020-03-02,7省市推出25万亿重点项目 基建股全线走强,上游新闻
2096,2020-03-02,A股午评： 沪指涨近3% 基建股爆发二十余只建筑股涨停,格隆汇
2097,2020-03-02,上证指数午盘涨近3%，大基建板块爆发,Wind
2098,2020-03-02,大基建超20股涨停沪指大涨80点涨幅扩大至2.8%,格隆汇
2099,2020-03-02,基建股走强 中设集团等多股涨停,每日经济新闻
2100,2020-03-02,快讯：沪指涨逾2% 基建股继续走强,网易
2101,2020-03-02,基建股强势爆发 中国铁建等近20股涨停,金融界
2102,2020-03-02,本周股市三大猜想及应对策略：市场探底反弹？,财富动力网
2103,2020-03-02,业绩王出炉，年赚近千亿轻松登顶，最新净利暴增滞涨股票名单收好,证券时报网
2104,2020-03-02,“不见面”服务助力大批企业项目复工,新浪
2105,2020-03-01,暴走A股：下周的抄底方向，我都标出来了！（附股）,金融界
2106,2020-03-01,国盛策略：全球剧震 A股将率先走出冲击,金融界
2107,2020-03-01,首次采用网络“线上签约” 两江新区“云签约”再揽投资100亿元,重庆商报
2108,2020-03-01,巨丰原创：市场过热了吗？估值能告诉你有没有风险,巨丰财经
2109,2020-02-29,重庆两江新区“云签约”常态化，再揽百亿元投资,Wind
2110,2020-02-28,格隆汇港股聚焦(2.28)︱中国通号年度归母净利增长11.95%至38.16亿元；创维集团预计2019年税后净利增加80%,格隆汇
2111,2020-02-28,大数据看趋势：A股大跌，246只个股逆势上涨，52只涨停，都是何方神圣？,21世纪经济报道
2112,2020-02-28,超级大单：这个行业失血严重 资金掉头杀入它们,新浪
2113,2020-02-28,秦洪看盘｜2900点下方调整空间有限，A股市场有望企稳,澎湃新闻
2114,2020-02-28,复工潮来袭，大基建概念逆势走强｜今日异动数据,第一财经
2115,2020-02-28,中国交建(01800.HK)去年新签合同金额为9626.83亿元 同比增长8.06%,格隆汇
2116,2020-02-28,截至2月28日AH股共计1只股票股价倒挂,Wind
2117,2020-02-28,A股市场破净股一览（2月28日）,Wind
2118,2020-02-28,沪深两市主力资金净流出1094.28亿元 斯达半导净流入额居首,中证网
2119,2020-02-28,28日新华500指数（989001）下跌3.86%,新华网
2120,2020-02-28,A股市场深幅调整：沪指跌3.71%，创业板指跌5.7%,澎湃新闻
2121,2020-02-28,巨丰资金流向：A股遭遇重创下挫 主力956亿出逃！,巨丰财经
2122,2020-02-28,中字头频频异动，基建股春天来了吗？,证券时报网
2123,2020-02-28,新华500指数午盘报4211.83点 跌3.67%,新华网
2124,2020-02-28,国泰君安：基建趋势行情来临 三维度掘金,证券时报网
2125,2020-02-28,2月28日午盘两市机构大单抢筹40股(名单),金融界
2126,2020-02-28,专项债发行提速，基建板块能否抵御市场风险？,养基司令
2127,2020-02-28,2月28日早盘两市机构大单抢筹40股(名单),金融界
2128,2020-02-28,京东方Ａ（股票代码：000725）大跌6.8%，资金净流入10.26亿元 连续下跌,搜狐
2129,2020-02-28,大基建板块逆市走强中国交建(601800.SH)拉升涨近7%,格隆汇
2130,2020-02-28,基建股盘中拉升 中国交建涨超6%,e公司
2131,2020-02-28,深圳企业复工正在“加速度”,证券时报
2132,2020-02-27,主力动向：2月27日特大单净流出179.49亿元,证券时报网
2133,2020-02-27,中国交建深圳地铁项目全面复工“再加速”,证券时报
2134,2020-02-27,投资者买入太热情，基金公司有点扛不住,和讯
2135,2020-02-27,2月27日主力资金净流出338亿元,证券时报网
2136,2020-02-27,A股市场破净股一览（2月27日）,Wind
2137,2020-02-27,27日强势板块分析：基建板块发力 特高压概念表现活跃,证券时报网
2138,2020-02-27,基建行业全面崛起 信诚中证基建工程指数基金迎最佳配置窗口期,软件资讯网
2139,2020-02-27,张志：股市热点轮换，短期关注补涨股的机会,中金在线
2140,2020-02-27,基建行情来临：各地有序复工 现金流转好新签单增加,新浪
2141,2020-02-27,【中泰建筑交运】基建板块的三个大问题和三个小问题,中泰建筑研究
2142,2020-02-27,超劲爆，碾压一大片题材股，这份慢牛股名单收好，机构预测业绩要发飙,e公司
2143,2020-02-26,【超级大单】3年来罕见一幕！500亿大资金夺路而逃，这些股抛压最大,新浪
