,2021-12-31,全信股份：兴业证券、中信资本等4家机构于12月29日调研我司,证券之星
83,2021-12-06,南财研选｜降准释放1.2万亿资金！估值10年低位+交易活跃+流动性驱动，券商板块主力净流入超29亿，牛市来了？,21世纪经济报道
84,2021-12-06,券商行业周报(2021年第四十五期)：看好券商跨年行情 建议关注财富管理主线及龙头券商,新浪
85,2021-12-06,A股资金流向：新能源再遭集中抛售，大金融成“避风港”,Wind
86,2021-12-06,兴业证券：发行人涉及重大诉讼、仲裁进展 诉讼纠纷,Wind
87,2021-12-06,四大理由看今日券商股躁动，头部券商与“高含财率”券商各自领衔，后市还可持续吗,财联社
88,2021-12-06,非银金融行业周报：险资规范参与证券出借业务 继续关注券商板块行情,光大证券
89,2021-12-06,A股收盘综述：锂电池、半导体双线回撤，创业板指跌超2%退守3400点！,Wind
90,2021-12-06,兴业证券涨停板被打开,格隆汇
91,2021-12-06,A 股午评：指数早盘走势分化 大金融板块走强,ZAKER
92,2021-12-06,非银金融行业周报：降准预期叠加险资券源放开 券商迎多重利好,新浪
93,2021-12-06,非银金融行业周报：2021年证券公司财务顾问业务执行能力评价结果解读,新浪
94,2021-12-06,“牛市旗手”集体异动，跨年行情稳了？,Wind
95,2021-12-06,A股午盘综述：券商、地产中路推进，绿色电力异军突起；沪指创出两个月新高！,Wind
96,2021-12-06,兴业证券涨幅达10%，券商ETF（512000）涨超3.85%,资本邦
97,2021-12-06,【异动股】券商概念板块拉升，兴业证券(601377.CN)涨10.0%,财华社
98,2021-12-06,证券板块表现强势 兴业证券涨停,中国经济网
99,2021-12-06,快讯：兴业证券涨停 报于10.01元,金融界
100,2021-12-06,兴业证券涨停，金融ETF（510230）涨超2%,资本邦
101,2021-12-06,多重政策出台利好券商，兴业证券涨停，券商ETF（159842）涨近4%,资本邦
102,2021-12-06,适时降准叠加多项政策利好，券商板块强势爆发，兴业证券涨停,证券时报网
103,2021-12-06,证券股全线飙升！兴业证券封板，证券ETF(512880) 涨超4%,资本邦
104,2021-12-06,【异动股】证券板块拉升，兴业证券(601377.CN)涨10.0%,财华社
105,2021-12-06,兴业证券涨停券商股大幅走高，券商ETF（512000）放量涨超4%,Wind
106,2021-12-06,兴业证券（601377）：盘中近日首次触及涨停板,每日经济新闻
107,2021-12-06,A股异动 | 券商股拉升 兴业证券(601377.SH)涨停,格隆汇
108,2021-12-06,快讯：券商股异动拉升 兴业证券涨超7%,新浪
109,2021-12-06,兴业证券首板，券商板块异动拉升,Wind
110,2021-12-06,"券商12月金股出炉！热门金股竟成""反向指标""？",Wind
111,2021-12-05,“财界奥斯卡” CGMA全球管理会计2021年度中国大奖榜单揭晓 CFO高峰论坛聚焦驾驭变革、共创可持续未来,陆家嘴金融网
112,2021-12-05,证券行业2022年年度策略：Α仍是主导因素 坚持大公募与交易业务双主线,新浪
113,2021-12-05,我与兴证共成长 | 王斌：栉风沐雨二十载，以始为终再攀登,兴业证券订阅号
114,2021-12-03,兴业证券基金投顾业务获批展业 第二批展业增至6家,财联社
115,2021-12-03,兴业证券在行业分析师评选中屡获佳绩,兴业证券订阅号
116,2021-12-03,兴证逐鹿百万亿元财富管理市场，志在摘取“皇冠上的明珠”,凤凰网
117,2021-12-03,聚辰股份：兴业证券、嘉实基金等16家机构于11月17日调研我司,证券之星
118,2021-12-03,泽璟制药-U：兴证全球基金、兴业证券等9家机构于11月29日调研我司,证券之星
119,2021-12-02,拯救券商股！这家券商斥资上亿回购股份，什么信号？,Wind
120,2021-12-02,券商股再度拉升，东方证券、广发证券、兴业证券涨幅靠前,Wind
121,2021-12-02,宸展光电：兴业证券、长城国瑞证券等6家机构于11月30日调研我司,证券之星
122,2021-12-01,《兴业证券》三十周年特刊,兴业证券订阅号
123,2021-12-01,全网超175万人在线观看 | 兴证财富2022年投资策略云上峰会圆满召开,兴业证券订阅号
124,2021-12-01,北向资金12月首个交易日加仓A股30亿，紫光国微净买入超6亿元,Wind
125,2021-12-01,兴业证券：涉及重大诉讼、仲裁进展 诉讼纠纷,Wind
126,2021-12-01,挂帅睿远第三只公募基金 | 饶刚,新浪
127,2021-12-01,电鳗快报|兴业证券配股反馈意见回复细节：曾因未识别客户身份被处罚 金融监管处罚,电鳗快报
128,2021-11-30,12月金股名单来了！机构提前布局“春季躁动”，依然看好中小成长,上证报
129,2021-11-30,本月2板块获密集调研，“榨菜茅”被64家券商调研,Wind
130,2021-11-29,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
131,2021-11-29,晚间重要公告2021年11月29日星期一,Wind
132,2021-11-29,王涵等：新变种病毒或拖累全球服务业复苏节奏,中新经纬
133,2021-11-29,兴业证券：实控人等所持10%股份无偿划转至专户 用于充实社保基金,财联社
134,2021-11-29,兴业证券：福建省财政厅等所持公司股份的10%将划转至专户，用于充实社保基金,Wind
135,2021-11-29,已超3000亿！券结基金井喷，券商、基金深度绑定,Wind
136,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
137,2021-11-29,监管鼓励券商积极布局，券结模式基金大井喷,Wind
138,2021-11-29,优彩资源：华泰证券、兴业证券等2家机构于11月5日调研我司,证券之星
139,2021-11-29,川金诺：兴业证券、汇添富基金等2家机构于11月10日调研我司,证券之星
140,2021-11-28,非银金融行业周报：监管助推高质量发展 推荐关注非银板块,广发证券
141,2021-11-28,我与兴证共成长 | 刘斌：“30年同梦同兴”，与兴证共成长,兴业证券订阅号
142,2021-11-27,安利股份：兴业证券、汇安基金等2家机构于11月24日调研我司,证券之星
143,2021-11-27,仙琚制药：兴业证券、东兴证券等15家机构于11月25日调研我司,证券之星
144,2021-11-26,证券Ⅱ行业：券商价值重塑：轻资产业务由周期走向成长,广发证券
145,2021-11-26,非银金融行业2022年度策略：向新而生,新浪
146,2021-11-26,恺英网络：兴业证券、中欧基金等3家机构于11月16日调研我司,证券之星
147,2021-11-25,兴业证券 “新一代管理会计系统”荣获IDC“2021年数字化转型坚定者”称号,兴业证券订阅号
148,2021-11-25,“拥抱全球资管巨头，聚焦虎年投资机遇” 兴证财富2022年投资策略展望云上峰会即将召开,每经网
149,2021-11-25,中银证券：看好券商行业成长性 继续推荐重点受益的龙头券商和财富特色券商坚持看好资本市场供给侧持续改革叠加居民财富管理需求提升背景下券商板块的成长性，在和市场区间震荡的结构性行情中具备较高投资价值,金十数据
150,2021-11-25,中银证券：看好券商行业成长性 继续推荐重点受益的龙头券商和财富特色券商,证券时报网
151,2021-11-25,券商角力北交所“后备军团”：开源证券储备项目居首,Wind
152,2021-11-24,证券行业资产规模稳步提升 券商板块修复性行情或将展开,大众证券报
153,2021-11-24,券商角力北交所“后备军团”：开源证券储备项目居首,21世纪经济报道
154,2021-11-24,兴证国际：延迟寄发有关持续关连交易之通函至11月30日当日或之前,Wind
155,2021-11-24,兴业证券(601377.SH)完成兑付2021年度第四期短期融资券本息40.21亿元,智通财经
156,2021-11-24,兴业证券(601377.SH)：完成兑付本息40.21亿元短期融资券,格隆汇
157,2021-11-24,深度*行业*证券行业2021年三季报综述：财富业务驱动成长 自营资管主导分化,新浪
158,2021-11-24,兆威机电：兴业证券、First State等4家机构于11月19日调研我司,证券之星
159,2021-11-24,绿康生化：兴业证券股份有限公司、北京创富金泰投资基金管理有限公司等2家机构于11月19日调研我司,证券之星
160,2021-11-23,永高股份：兴业证券、中信证券等8家机构于11月17日调研我司,证券之星
161,2021-11-22,【银华基金】交易日报 2021-11-22,新浪
162,2021-11-22,哪些公募是券商股持仓大户？哪些券商股被集中布局？公募调研增多，重仓的不仅是财富管理题材股,财联社
163,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
164,2021-11-22,非银金融周报：北交所正式开市 重点关注投行/直投业务占优的券商,新浪
165,2021-11-22,碳中和周报（第23期）丨国常会：设立2000亿元支持煤炭清洁高效利用专项再贷款；发改委：正研究制定重点行业“双碳”实施方案；钢铁行业碳达峰实施方案近期将发布,21世纪经济报道
166,2021-11-22,非银金融行业周报：北交所敲钟开市 拓宽券商业务空间,新浪
167,2021-11-22,时代渡口 金融论剑 | 第五届财富管理高峰论坛圆满落幕！,金融界
168,2021-11-22,围绕“十要素”推进文化建设工作，证券行业正展现出全新面貌,每日经济新闻
169,2021-11-21,兴业证券文化建设篇：专业与责任是底色，创新协同是特色,每日经济新闻
170,2021-11-21,开源证券：证券行业景气度延续 大财富管理业务线保持成长性,证券时报网
171,2021-11-21,非银金融行业：流动性预期边际改善 推荐关注非银板块,广发证券
172,2021-11-20,合规总监将提升为副总裁！安信证券高管开始补缺，券业高管变动频繁，需求也旺盛,Wind
173,2021-11-20,利亚德：兴业证券、上海名禹资产管理有限公司等50家机构于11月18日调研我司,证券之星
174,2021-11-20,【天风非银】券商深度2：券结基金的现状和潜力,新锐视角看金融
175,2021-11-19,私募大佬杨东的“朋友圈”亮了，9家机构“潜行荟聚”,华尔街见闻
176,2021-11-19,兴业证券荣获2021红帽亚太创新奖,兴业证券订阅号
177,2021-11-19,兴业证券举办2021年度兴融汇?股权资本市场论坛,兴业证券订阅号
178,2021-11-19,券商板块全线爆发，湘财股份直线封板，10亿资金精准抄底券商ETF（512000）,Wind
179,2021-11-19,振芯科技：兴业证券、上投摩根基金等15家机构于11月16日调研我司,证券之星
180,2021-11-18,证券行业2022年度投资策略：行业景气度延续 大财富管理业务线保持成长性,新浪
181,2021-11-18,献礼三十周年司庆 | 兴业证券首发《环境信息披露报告》,兴业证券订阅号
182,2021-11-18,仕佳光子：兴业证券、万家基金管理有限公司等9家机构于11月16日调研我司,证券之星
183,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
184,2021-11-17,债市风云｜康得新收到民事判决书 泛海控股所持民生证券1.96亿股份被冻结 诉讼纠纷,中新经纬
185,2021-11-17,兴业证券：涉及重大诉讼、仲裁进展 诉讼纠纷,Wind
186,2021-11-17,布局绿色金融 兴业证券将于2022年实现自身运营碳中和,每日经济新闻
187,2021-11-17,兴业证券发布《环境信息披露报告》 将于2022年实现自身运营碳中和,中证网
188,2021-11-17,坚定把握财富管理主线，券商板块布局正当时,Wind
189,2021-11-17,中信证券280亿元配股获批，17家券商年内再融资“补血”,Wind
190,2021-11-16,兴业证券张启尧：未来A股市场投资机遇在科创大方向上,中证网
191,2021-11-16,“科创：新时代、新机遇”—— 兴业证券召开2022年年度投资策略会,兴业证券订阅号
192,2021-11-16,兴业证券张忆东：明年行情是双主线 主旋律仍是科创五大赛道,中证网
193,2021-11-16,兴业证券杨华辉：锻造公司核心竞争力 加快一流证券金融集团建设,中证网
194,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
195,2021-11-16,兴业证券策略首席张启尧：明年A股增量资金约3万亿，看准科创大方向，关注七大景气赛道,财联社
196,2021-11-16,中国证券业协会2021年第三季度专业委员会工作动态,中证协发布
197,2021-11-16,兴业证券：发行人涉及一起融资融券交易纠纷,Wind
198,2021-11-16,兴业证券：发行人涉及一起证券投资私募基金合同纠纷 诉讼纠纷,Wind
199,2021-11-16,中国债券市场金融债发行日程一览(11月16日),Wind
200,2021-11-16,证券业2022年度策略 | 坚守财富管理主线，寻找长期主义的践行者,中信建投非银金融研究
201,2021-11-16,兴业证券党委书记、董事长杨华辉：加快一流证券金融集团建设，助力实体经济高质量发展,上证报
202,2021-11-16,A50ETF上市以来成交超500亿元,Wind
203,2021-11-15,北交所开市首日探访营业部：投资者热情高涨 连夜咨询开通权限,中新经纬
204,2021-11-15,中信建投：北交所设立催化券商板块行情,Wind
205,2021-11-15,中信建投：北交所设立催化券商板块行情,第一财经
206,2021-11-15,十大券商：跨年行情正如期展开！聚焦成长与低估值，积极信号显现,Wind
207,2021-11-15,北交所来了！券商全面布局，多家开户率超50%,Wind
208,2021-11-15,兴业证券祝北交所发展扶摇直上、鹏程万里！,e公司
209,2021-11-14,非银金融行业周报：券商盈利高景气延续 保险两端压力仍在,新浪
210,2021-11-14,券商代销公募保有量普降，因监管收紧申报尺度,Wind
211,2021-11-13,北上资金加仓券商股，连续减持格力电器 减持股份,Wind
212,2021-11-12,11月12日深市大宗交易信息,深交所
213,2021-11-12,【天风非银｜最前瞻】券结基金的现状和潜力,新锐视角看金融
214,2021-11-12,北交所开市在即 券商板块大涨！这些机构多维“备战”抢先机,国际金融报
215,2021-11-12,中青宝“元宇宙”迷局： 机构、游资、散户混战，公司并无VR相关专利,Wind
216,2021-11-11,证券Ⅱ行业：公募代销格局微变 渠道下沉态势延续,广发证券
217,2021-11-11,非银金融行业21Q3基金代销机构公募基金保有规模数据点评：Q3股票+混合公募基金保有量略有下降 非货基保有量实现增长,新浪
218,2021-11-11,金润股份通过精选层辅导验收 今年上半年净利3916万元,同壁财经
219,2021-11-11,非银金融行业2021Q3销售机构公募基金保有数据点评：独立三方市占率进一步提升 机构业务扩容加快,新浪
220,2021-11-10,北向资金大举出货超百亿连续4日净卖出，房地产产业链持续遭抛售,Wind
221,2021-11-10,广电计量：兴业证券、信诚基金等4家机构于11月5日调研我司,证券之星
222,2021-11-09,券商战略布局北交所：兴业证券关注北交所企业“更早、更小、更新”特性，投行需加强“四力”,财联社
223,2021-11-09,两大券商首席经济学家解读3季度中国经济,Wind
224,2021-11-09,证券行业景气度延续，持续看好大财富管理主线,金融界
225,2021-11-09,东北证券：券商资管转型成效初显，北交所整装待发,第一财经
226,2021-11-09,"买买买！这家百亿私募持续""扫货""券商股，核心逻辑是什么？",Wind
227,2021-11-08,南财脱水研报｜黄金成最佳防御资产？市场“风水轮流转，转完大宗转黄金”,21经济网
228,2021-11-08,王涵等：10月出口保持韧性，生产类外需基础将继续支撑,中新经纬
229,2021-11-07,券商基金公司践行ESG理念，主题基金数量逼近200只，ESG未来具有广阔发展潜力！,每日经济新闻
230,2021-11-07,兴业证券集团智慧党建“三步走”案例荣获第四届福建省机关体制机制创新优秀案例二等奖,兴业证券订阅号
231,2021-11-06,【兴证策略】实习生招聘（优先留用，欢迎22应届）,尧望后势
232,2021-11-06,宸展光电：兴业证券、中信证券等5家机构于11月4日调研我司,证券之星
233,2021-11-05,兴业证券、兴证国际与中华（澳门）金融资产交易股份有限公司在上海进博会签署战略合作协议,兴业证券订阅号
234,2021-11-05,中信建投研究再招徕大将，兴业证券原电新首席朱玥加盟，曾为资深行业记者，旗帜鲜明看好光伏组件,财联社
235,2021-11-05,绿康生化：兴业证券股份有限公司、沪深投资管理有限公司等5家机构于11月2日调研我司,证券之星
236,2021-11-05,振华科技：兴业证券、长江证券等3家机构于10月29日调研我司,证券之星
237,2021-11-04,兴业证券创新项目入围Gartner“2021年金融服务创新奖”评选决赛,发布易
238,2021-11-04,北交所宣布后，新三板正成投行突破点，开源、安信、兴业证券定增业务领跑，9月来172份定增是前8月1.6倍,财联社
239,2021-11-04,兴业证券：公司涉及融资融券交易纠纷,Wind
240,2021-11-04,力合微：兴业证券、神华投资集团等5家机构于10月28日调研我司,证券之星
241,2021-11-04,全信股份：兴业证券股份有限公司、兴业证券股份有限公司等52家机构于10月29日调研我司,证券之星
242,2021-11-03,太难了！券商自营炒股还不如买理财，前三季度投资收益率不到4%,21世纪经济报道
243,2021-11-03,东方证券：给予兴业证券增持评级，目标价位13.24元,证券之星
244,2021-11-03,东方证券维持兴业证券增持评级：大资管收入贡献显著提升,每日经济新闻
245,2021-11-03,【非银金融】2021Q3非银板块公募重仓数据点评 — 券商板块持续获增持，财富题材个股热度骤升,中银证券研究
246,2021-11-03,山河药辅：兴业证券、广州金控等17家机构于10月29日调研我司,证券之星
247,2021-11-03,帝科股份：国联证券、兴业证券等12家机构于10月29日调研我司,证券之星
248,2021-11-02,金华金开医药健康产业投资基金正式设立,智通财经
249,2021-11-02,非银金融行业周报：财富管理核心标的业绩高增长 险企改革成效显现尚待时日,新浪
250,2021-11-02,兴业证券(601377)：基金管理业务收入占比提升,新浪
251,2021-11-02,增速亮眼，多券商资管业务收入超越经纪,Wind
252,2021-11-02,券商金股来了！重点布局消费、新能源赛道，一批个股已率先上涨,Wind
253,2021-11-02,紫金矿业：兴业证券证券、雪球等2家机构于10月28日调研我司,证券之星
254,2021-11-02,券商资管前三季大赚350亿！中信广发抢占半壁江山,Wind
255,2021-11-01,华西证券给予兴业证券买入评级，近期获2份券商研报关注，目标均价涨幅36.77%,每日经济新闻
256,2021-11-01,券商金股来了！重点布局消费、新能源赛道，一批个股已率先上涨,上证报
257,2021-11-01,华西证券：给予兴业证券买入评级,证券之星
258,2021-11-01,北向资金今日净买入7.11亿元，连续13日抢筹宁德时代累计加仓超76亿元,Wind
259,2021-11-01,图解兴业证券三季报：第三季度单季净利润同比减23.12% 盈利能力下降,证券之星
260,2021-11-01,兴业证券：主线或将再次回归科技板块,Wind
261,2021-11-01,国盛证券：券商三季度净利润维持增长态势但增速有所放缓 盈利能力下降,证券时报网
262,2021-11-01,兴业证券：主线或将再次回归科技板块,证券时报网
263,2021-10-31,【中信建投 非银&金融科技】周报：北交所开业在即，券商业绩持续向好,中信建投非银金融研究
264,2021-10-31,【兴证电子】周报：行业财报继续高增长，继续看好国产化和汽车电子,兴证电子谢恒团队
265,2021-10-31,证券21Q3综述：经纪业务高增长净利润增速略有放缓,新浪
266,2021-10-31,兴业证券成立30周年“标杆单位”,兴业证券订阅号
267,2021-10-31,68公司获得增持评级-更新中,中财网
268,2021-10-30,【中信建投 非银&金融科技】兴业证券2021年三季报点评：基金销售及管理业务大放异彩，自营业务表现不达预期,中信建投非银金融研究
269,2021-10-30,券商代销江湖热战，异军突起各打什么牌？中信中金强在私募销售，广发东方兴业具资产端优势,财联社
270,2021-10-30,Wind风控日报2021年10月30日星期六,Wind
271,2021-10-30,锐明技术：民生证券、太平洋证券等138家机构于10月22日调研我司,证券之星
272,2021-10-29,“聪明钱”单月狂买近60亿！万亿“宁王”彻底火了,Wind
273,2021-10-29,【银华基金】交易日报 2021-10-29,新浪
274,2021-10-29,"券商10月金股组合""战绩""：东亚前海13.46%夺冠 天风最差",新浪
275,2021-10-29,兴业证券：前三季度净利润同比增长16.31%,Wind
276,2021-10-29,兴业证券：前三季度实现归母净利润35.23亿元 同比增长16.31%,中证网
277,2021-10-29,献礼30周年司庆 | 兴业证券荣获证券时报2021中国证券业君鼎奖多项大奖,兴业证券订阅号
278,2021-10-29,兴业证券：2021年第三季度净利润约10.84亿元，同比下降23.12% 盈利能力下降,每日经济新闻
279,2021-10-29,兴业证券：第三季度净利10.84亿元 同比下降23.12% 盈利能力下降,格隆汇
280,2021-10-29,非银金融行业：加仓财富管理优势券商,广发证券
281,2021-10-29,雷曼光电：兴业证券、华泰资管等4家机构于10月27日调研我司,证券之星
282,2021-10-28,王涵等：9月PPI-CPI剪刀差创新高，下游行业利润增速相对较缓,中新经纬
283,2021-10-28,兴业证券：维持港交所买入评级，目标价524.67港元,Wind
284,2021-10-28,医美、教培等研报遭重点盯防，监管部门派驻现场检查，今年发布医美研报600多份，两券商成大户,财联社
285,2021-10-28,秦川机床：兴业证券股份有限公司、中国国际金融股份有限公司等55家机构于10月25日调研我司,证券之星
286,2021-10-27,缺人！券商秋招大门敞开，重点需要这几方面人才,Wind
287,2021-10-27,倒计时2 | 兴业证券司庆广告全国上线，绽放品牌新力量！,兴业证券订阅号
288,2021-10-26,AMC系券商又起波澜：长城国瑞证券“匿名”引战，战投未来持股比例不作限制,Wind
289,2021-10-26,债市风云|华夏幸福债务重组尚处沟通阶段,中新经纬
290,2021-10-26,倒计时3 | 历史瞬间：卅载风华 同梦同兴,兴业证券订阅号
291,2021-10-26,兴业证券：所属子公司涉及重大诉讼相关情况进展 诉讼纠纷,Wind
292,2021-10-25,倒计时5 | 兴业证券发布30周年企业宣传片,兴业证券订阅号
293,2021-10-25,兴业证券配股申请获证监会受理,证券日报网
294,2021-10-25,兴业证券：配股公开发行申请获证监会受理,中证网
295,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
296,2021-10-25,兴业证券(601377.SH)配股公开发行申请获中国证监会受理,智通财经
297,2021-10-25,杨华辉：ESG投资渐成大势所趋 资管业直面深刻变革,上证报
298,2021-10-25,证券合规周报（第十期）丨证监会表态坚决抑制动力煤过度投机，多家券商研报不合规遭监管处罚,21世纪经济报道
