,2021-12-31,药明康德：施明女士晋升为首席财务官,Wind
173,2021-12-15,药明康德闪崩跌停，公司回应：经营状况一切正常,澎湃新闻网
174,2021-12-15,药明康德(02359)累计授出约1166.41万股奖励股份,智通财经
175,2021-12-15,机构抢筹新股迪阿股份，与北向资金共同卖出这只医药龙头股近9亿元（名单）,21世纪经济报道
176,2021-12-15,药明康德：根据2021年H股奖励信托计划授予奖励,Wind
177,2021-12-15,今天，必须聊一聊医药,每日经济新闻
178,2021-12-15,3600亿医药白马罕见暴跌10%，一日蒸发400亿，发生了什么？,凤凰网
179,2021-12-15,药明康德AH股“双杀”，18万股民“吓懵”，北向资金抛售近7亿元,第一财经
180,2021-12-15,跌停板解密：外资席位恐慌离场，两市仅1只个股跌停！（12月15日）,Wind
181,2021-12-15,【数据看盘】实属罕见！新股上市首日获机构买5%流通盘,财联社
182,2021-12-15,原因找到了！CRO暴跌突遭海外利空，超千家机构不淡定了，最惨投资者出现,格隆汇
183,2021-12-15,数据复盘｜主力资金撤离北方稀土、药明康德等股 北向资金连续11日净流入,证券时报网
184,2021-12-15,药明康德现1笔大宗交易 共成交384.46万元,新浪
185,2021-12-15,北向资金今日净流入7.52亿元，抛售药明康德近7亿元,第一财经
186,2021-12-15,3500亿市值“药茅”闪崩跌停！这一赛道全线跳水，18万股东被闷杀,中证报
187,2021-12-15,股市动态 | 大基建发力！工程建设、铁路公路拉升，生物医疗尾盘“大跳水”,财经网
188,2021-12-15,尾盘突遭“空袭”，行情戛然而止了吗？丨复盘论,第一财经
189,2021-12-15,沪股通净卖出药明康德近7亿元，CRO药企连发澄清声明,阿尔法工场
190,2021-12-15,北向资金净买入7.52亿元 药明康德净卖出额居首,新浪
191,2021-12-15,药明康德今日大宗交易成交3.10万股，成交价124.02元溢价0.0%,Wind
192,2021-12-15,北上资金今日净买入东方财富7.19亿元、阳光电源4.96亿元，净卖出药明康德6.96亿元、平安银行5.12亿元。,财联社
193,2021-12-15,53股主力资金净流入超亿元,证券时报网
194,2021-12-15,北向资金净卖出药明康德6.96亿元,e公司
195,2021-12-15,北向资金今日净买入7.5亿元 药明康德净卖出近7亿元,财联社
196,2021-12-15,北向资金流入放缓仍连续11日加仓A股，药明康德遭大幅抛售,Wind
197,2021-12-15,机构今日买入这16股，抛售药明康德1.87亿元丨龙虎榜,第一财经
198,2021-12-15,港股收评 | 生物医药板块暴跌，药明生物、药明康德均跌超19%,资本邦
199,2021-12-15,药明康德尾盘闪崩跌停，外资大额抛售,Wind
200,2021-12-15,AH股“双杀”！药明康德回应称一切正常，18万股东炸锅,中新经纬
201,2021-12-15,“大指数”继续修指标 药明康德按律跌倒,金融投资报
202,2021-12-15,医药外包龙头药明康德闪崩！市值没了400亿，公司称经营一切正常,凤凰网
203,2021-12-15,CXO龙头药明康德股价闪崩，公司回应称经营一切正常,深水财经社
204,2021-12-15,龙虎榜|药明康德跌停 沪股通净卖出近7亿元,财联社
205,2021-12-15,【恒指收跌】香港恒生指数收跌0.91%，恒生科技指数跌1.52%，医药股大跌，电力股走强。恒生医疗保健业指数下挫逾9%，药明生物、药明康德均跌超19%，康龙化成等多股跌超10%。（中新经纬APP）,中新经纬
206,2021-12-15,3600亿巨头药明康德跌停！18万股东被闷杀！事因一则传闻？,腾讯网
207,2021-12-15,午后大跳水，直奔跌停，要“爆雷”？,证券之星
208,2021-12-15,【每日收评】高位股进入淘汰赛 低位电力股上演涨停潮,财联社
209,2021-12-15,收评：港股恒指跌0.91% 医药股重挫药明康德跌超19%,新浪
210,2021-12-15,A股资金流向：资金延续高切低模式，医药龙头遭大幅抛售,Wind
211,2021-12-15,恒指收跌0.91%，医药股重挫,Wind
212,2021-12-15,生物科技公司突然集体崩了，发生了什么？百济神州CFO火速澄清，药明康德紧急回应来了！,新浪
213,2021-12-15,发生了什么！3000亿巨头突然闪崩跌停，跌穿年线！这个板块全线暴跌！股民已惊呆：“太可怕，完全止不住！”,雪球
214,2021-12-15,尾盘闪崩！3700亿龙头突发跌停，AH股“双杀”，60多亿资金夺路而逃！刚刚，公司回应,每日经济新闻
215,2021-12-15,百济神州一己之力带崩医药！药明康德A股跌停，H股大跌超17%,AI财经社
216,2021-12-15,收评：A股三大指数震荡收跌创业板指跌0.87%，CRO板块尾盘跳水，药明康德跌停,金融界
217,2021-12-15,药明康德回应股价突然跳水 ：公司经营情况一切正常,财联社
218,2021-12-15,收评：沪指跌0.38% CRO概念股重挫 药明康德跌停,网易
219,2021-12-15,港股异动︱药明康德(02359)跌超18% 创近两个月来新低 公司A股尾盘股价跳水跌停,智通财经
220,2021-12-15,CRO板块暴跌 药明康德封跌停板,格隆汇
221,2021-12-15,A股收盘综述：药明康德闪崩跌停！百济神州首秀破发，中一签亏1.6万,Wind
222,2021-12-15,药明康德尾盘跳水跌停，H股跌超10%，药明生物跌近20%,金融界
223,2021-12-15,药明康德AH股尾盘双杀 发生了什么？,证券之星
224,2021-12-15,CXO概念暴跌，医疗ETF（512170）成交创新高，资金加速流入,Wind
225,2021-12-15,CXO板块暴跌，药明康德跌停！医疗ETF（512170）成交创新高，资金加速流入,资本邦
226,2021-12-15,CRO概念尾盘放量跳水，药明康德闪崩跌停,澎湃新闻网
227,2021-12-15,药明康德A股尾盘跳水跌停 港股跌超15%,网易
228,2021-12-15,快讯：医药股集体走低 药明康德A股跌停H股大跌超15%,新浪
229,2021-12-15,药明康德触及跌停板 跌穿年线,新浪
230,2021-12-15,快讯：药明康德午后跳水跌停,财联社
231,2021-12-15,【行情】药明康德A股临近尾盘跳水跌停，成交额超45亿，药明康德港股跌超10%,金十数据
232,2021-12-15,药明康德A股封住跌停板，主力净流出7亿元,Wind
233,2021-12-15,CXO概念尾盘放量跳水,Wind
234,2021-12-15,药明康德A股加速下滑，放量跌9%,Wind
235,2021-12-15,药明康德AH股尾盘集体跳水,第一财经
236,2021-12-15,药明康德AH股尾盘集体跳水，跌幅均扩大至8.5%,Wind
237,2021-12-15,快讯：CRO概念持续走弱 药明康德跌近5%,新浪
238,2021-12-15,警惕！新冠感染者高达40%可无症状，北京大学近3000万人研究揭示防疫之难,学术经纬
239,2021-12-14,速读社丨百济神州7.72亿美元引进LAG-3抗体 首个CAR-T一线治疗临床结果公布,新浪医药
240,2021-12-14,小摩增持药明康德(02359)约89.01万股，每股作价约164.73港元,智通财经
241,2021-12-14,中金固收中资美元债周报：地产新发破冰，高收益强劲反弹,Wind
242,2021-12-14,港股盘前必读：商汤集团延迟上市，中国移动发行不超过8.457亿股A股,Wind
243,2021-12-14,药明康德获摩根大通增持89.01万股H股,Wind
244,2021-12-13,700亿基因服务龙头突遭“暴击”,36氪
245,2021-12-13,A股主力资金流向：电力股获资金抢筹，新能源持续回暖,Wind
246,2021-12-13,中国肾科领域领导者，康臣药业（1681.HK）获“最具品牌价值奖”,格隆汇
247,2021-12-13,早知道不抽烟了！戒烟居然还要长胖……《自然》发现肠道微生物异常或是其中原因,学术经纬
248,2021-12-13,周六“云”端见！“2021药明康德生命化学研究奖”即将揭晓！,药明康德
249,2021-12-12,注意！机构四季度大概率在继续加仓新能源，并重新增配大消费！,红周刊
250,2021-12-11,药企加码布局创新药赛道,Wind
251,2021-12-11,制药板块吸“睛”不吸“金”，君实生物大涨，凯莱英H股上市首日破发「制药行业周榜」,华夏时报
252,2021-12-10,信用债日报：多只城投债券交投活跃，交易商协会将优先支持企业注册发行债券用于房地产并购,Wind
253,2021-12-10,药明康德(603259.SH)：参股公司CANbridge于12月10日登陆港交所,格隆汇
254,2021-12-10,一度暴跌近30%，“药茅”投资新股一日亏损过千万！千亿CRO巨头首日也破发 亏损,中国基金报
255,2021-12-10,海外信用评级汇总2021年12月10日星期五,Wind
256,2021-12-10,药明康德(603259.SH)参股公司北海康成-B(01228)于联交所挂牌上市,智通财经
257,2021-12-10,药明康德：参股公司CANbridge在香港联交所主板挂牌上市,Wind
258,2021-12-10,凯莱英港股破发 CDMO的高光时刻远去?,搜狐
259,2021-12-10,豪取58亿元订单后，凯莱英今日港股上市！,药智网
260,2021-12-10,药明康德(603259)2021年三季报点评：业绩持续强劲增长 业务板块调整加速赋能,新浪
261,2021-12-10,他是留美博士，今日，缔造近千亿市值IPO,36氪
262,2021-12-10,快讯：医药股集体下跌 维亚生物跌近6%药明康德跌超3%,新浪
263,2021-12-10,长信基金6产品前11月跌超10% 副总经理旗下混基占4席,中国经济网
264,2021-12-10,穆迪：上调药明康德发行人评级至“Baa2”，展望调整为“稳定”,Wind
265,2021-12-10,外资券商展业循序渐进，券业“鲶鱼效应”日增月益,Wind
266,2021-12-10,医药被动基金PK明星基金，葛兰、赵蓓、谭冬寒、吴兴武，选谁？,Wind
267,2021-12-09,三新股同堂暗盘，“老中医”固生堂大涨18%，为何A股20倍牛股凯莱英在香港却不香了？,财联社
268,2021-12-09,2022年医药行业策略报告：回本溯源 看好药品行业的长期投资机会,新浪
269,2021-12-09,又有外资巨头出手“抄底”，这次竟然是TA！,Wind
270,2021-12-09,药明康德入选“2021《财富》未来50强”榜单,药明康德
271,2021-12-09,A股突然启动上涨，茅台收复2000元，人民币连创新高！,Wind
272,2021-12-09,阻止结直肠癌进展，华中科大合作团队揭示下丘脑催产素神经元关键作用,学术经纬
273,2021-12-08,2021年12月投资月报：医保控费走向精细化 差异化是企业发展策略,新浪
274,2021-12-08,【兴证策略 | 陆股通】配置盘与交易盘在哪些行业出现“分歧”？,尧望后势
275,2021-12-08,康龙化成的管理水平和回报水平高吗？,搜狐
276,2021-12-08,医药板块整体下行，相关主题基金密集发行,Wind
277,2021-12-08,西湖大学生命科学学院雷凯课题组招聘博士后，干细胞再殖和组织再生研究实验室,学术经纬
278,2021-12-08,降准落地，A股仍涨不动？这一顶级赛道却吵翻了,Wind
279,2021-12-07,市场温度计：东吴策略-内外资风格持续分化,新浪
280,2021-12-07,医药行业2022年投资策略报告：政策扰动下分化加剧 战略性看好医药黄金赛道上的优质个股,新浪
281,2021-12-07,【中泰国际】医药：医保谈判仍传递正面信息，Omicron数据未见恶化,Wind
282,2021-12-07,近期市场流动性变化情况,量化先行者
283,2021-12-07,药明康德现1笔大宗交易 共成交740.40万元,新浪
284,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
285,2021-12-07,市场资金面周观察：降准预期再起 股市流动性回暖,新浪
286,2021-12-07,药明直播间 | 药性评价系列(八)：评估代谢酶及转运体介导的药物相互作用,同写意
287,2021-12-07,港股盘前必读：央行降准0.5个百分点，美国三大股指集体收涨,Wind
288,2021-12-07,北京大学生命科学学院吴虹实验室招聘博士后,学术经纬
289,2021-12-06,医药行业2021年12月投资月报：业绩和政策真空期 医药板块有望持续反弹,西南证券
290,2021-12-06,医药行业周报：医保谈判结果出炉 持续鼓励创新,新浪
291,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
292,2021-12-06,奥密克戎或提升行业景气度，疫苗、检测赛道壁垒高布局宜“借路”,红周刊
293,2021-12-06,医药行业周报：国谈结果出炉 政策趋于平缓,新浪
294,2021-12-06,医药行业一周观察：医保谈判落地 国产创新药收获颇丰,新浪
295,2021-12-06,医药行业沪深港通资金医药股流向数据库,新浪
296,2021-12-06,2021年基金，买了个“寂寞”,Wind
297,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
298,2021-12-06,北上资金青睐建筑装饰行业,Wind
299,2021-12-05,【德邦金工|周报】资金密集流入医药，关注工业富联巨额解禁 20211205 解禁,微信
300,2021-12-05,速读社丨FDA批准Keytruda治疗更多黑色素瘤患者 华润三九董事长王春城辞职 董监高成员变化,新浪医药
301,2021-12-05,本周北向资金重点增持环保行业，狂买“宁王”22亿元，减仓这些个股（名单）,21世纪经济报道
302,2021-12-05,医药行业周报：医保谈判尘埃落地 看好本土创新发力,新浪
