,2021-12-22,港股异动 | 中海油服(02883)早盘涨超5% 机构称国内加大能源安全保障利好海上油服等标的,智通财经
31,2021-10-28,中海油服持续优化生产运营 前三季营收近199亿元,上证报
32,2021-10-28,中海油服：2021年前三季度实现净利润14.63亿元,证券时报网
33,2021-10-28,图解中海油服三季报：第三季度单季净利润同比增47.84%,证券之星
34,2021-10-28,中海油服：2021年第三季度净利润约6.51亿元，同比增长47.8%,每日经济新闻
35,2021-10-28,中海油服：齐美胜先生及徐玉高先生因工作变动原因辞去本公司董事职务,每日经济新闻
36,2021-10-28,中海油服：董事会秘书吴艳艳辞职,Wind
37,2021-10-28,中海油服：董事齐美胜及非执行董事徐玉高辞职,Wind
38,2021-10-28,中海油服(601808.SH)：第三季度净利增47.8%至6.51亿元,格隆汇
39,2021-10-28,中海油服：前三季度净利润同比减少32.58% 盈利能力下降,Wind
40,2021-10-28,武船集团两型4000马力LNG动力守护供应船下水,国际船舶
41,2021-10-19,油气价格走势及影响深度报告：资源价值有望长期复苏 看好石化转型升级空间,新浪
42,2021-10-18,中海油田服务：“16油服04”付息日为10月25日,Wind
43,2021-10-15,大行评级 | 大摩：予中海油服增持评级，升中石化油服目标价至0.92港元,格隆汇
44,2021-10-13,快讯：中海油服跌停 报于14.76元,金融界
45,2021-10-12,中海油服“COSL Promoter”号平台获Equinor新钻井协议,国际船舶
46,2021-10-11,机械设备行业第41周周报：油气中游盈利能力趋势改善 半导体设备需求依旧强劲,国海证券
47,2021-10-09,2021年10月金股,新浪
48,2021-10-08,石油石化行业研究周报：原油供需缺口缓慢修复 利好炼化板块盈利,新浪
49,2021-10-08,川财10月金股组合,新浪
50,2021-10-08,招财日报2021.10.08｜连串利好因素拉动大市,招银国际
51,2021-10-08,中泰证券首予中海油服买入评级：油服行业景气复苏，龙头蓄势待发,每日经济新闻
52,2021-10-08,【十大券商一周策略】年线有望三连阳,Wind
53,2021-10-07,【大行观察】油价中短期有支持 瑞银看好中海油服股价前景,财华社
54,2021-09-30,中海油服：公司主要业务贯穿石油及天然气勘探、开发及生产的各个阶段,每日经济新闻
55,2021-09-29,中信证券：需求旺季渐进，未来3-6个月油价存在进一步冲高的可能性,Wind
56,2021-09-29,能源设备板块跌超6%，石化油服一度跌停,Wind
57,2021-09-29,中信证券：需求旺季渐进，看好四季度油价表现,Wind
58,2021-09-28,A股收盘综述：气、电、煤、油四大热点主导炒作，地产金融同步复苏,Wind
59,2021-09-28,快讯：中海油服涨停 报于17.35元,金融界
60,2021-09-28,油服股掀涨停潮，中海油服首板,Wind
61,2021-09-28,港股异动 | 中海油服(02883)涨超9%领涨油服股 原油上游资本支出确定性强 油服行业景气回升,智通财经
62,2021-09-28,A股石油、天然气板块崛起，欧美天然气价格飙涨！原油创近三年新高，高盛称油价或涨至90美元,金融界
63,2021-09-27,石油化工行业周报：从上半年油气公司产量及资本开支 全面看好国内油气及油服行业标的,新浪
64,2021-09-27,科技行业先进制造行业周报：SEMI：二季度全球半导体设备出货金额达到249亿美元,新浪
65,2021-09-27,海油发展：中泰证券于9月18日调研我司,证券之星
66,2021-09-14,科技行业先进制造行业周报：通用汽车官方宣布将继续停产 纯电先锋雪佛兰BOLT,新浪
67,2021-09-13,中海油服(601808)：乘油服复苏之风 借技术腾飞之力,新浪
68,2021-09-09,中海油田服务：“16油服04”回售金额为21.71亿元,Wind
69,2021-09-09,中国石油、中国石化稳步向前，半月内均涨近两成,Wind
70,2021-09-09,港股异动 | 中海油服(02883)涨超5%领涨石油股 石油生产恢复进程缓慢叠加库存减少 国际油价反弹,智通财经
71,2021-09-09,【异动股】可燃冰板块高开，石化机械(000852.CN)涨9.96%,财华社
72,2021-09-08,“中字头”近一月大涨20%，高质量行情还能延续吗？,养基司令
73,2021-09-07,直击业绩会|中控技术：突破石化、化工类重大项目 新签订单有望加速业绩提升,财联社
74,2021-09-07,国家能源局主要负责同志赴中海油服公司专题调研,Wind
75,2021-09-07,国家能源局主要负责同志赴中海油服公司专题调研,上证报
76,2021-09-05,【开源煤炭&石化-张绪成】石化周报：油价高位运行，长丝盈利延续,能源观察站
77,2021-09-05,德邦证券维持中海油服买入评级：业绩同比-53.2%，单季度业绩环比改善,每日经济新闻
78,2021-09-04,数字化定义服务贸易新格局,北京商报
79,2021-09-03,服贸观止|从“数上”到“智上”北京剑指全球数字经济标杆城市,北京商报
80,2021-09-03,【信达证券-能源开采|左前明团队】重要报告合集,黑金新视野
81,2021-09-02,104股今日获机构买入评级,证券时报网
82,2021-09-02,川财证券陈雳：关注国家政策重点支持方向 继续看好国家战略重点布局领域,证券日报网
83,2021-09-02,华夏兴华混合A净值下跌5.63%,新浪
84,2021-09-01,申港证券维持中海油服买入评级，中海油服2021H1点评：行业逐步复苏前景持续看好,每日经济新闻
85,2021-09-01,第二届服贸会开幕在即，这些亮点抢先看！,上证报
86,2021-09-01,每日报告回放,新浪
87,2021-08-31,中海油服(601808)：海外疫情影响工作量 预期下半年业绩环比回升,新浪
88,2021-08-27,【期市星期五】煤炭期货“三兄弟”大涨，供需后期有望好转；油价后市易跌难涨,金融界
89,2021-08-27,BlackRock Inc.减持中海油田服务股份约36.25万股 减持股份,每日经济新闻
90,2021-08-26,42公司获得推荐评级-更新中,中财网
91,2021-08-26,中海油田服务：调整“16油服04”后2年的票面利率至2.90%,Wind
92,2021-08-26,中海油服：“16油服04”回售登记期为9月2日至9月8日,Wind
93,2021-08-26,78公司获得增持评级-更新中,中财网
94,2021-08-26,中海油服：董事辞任 董监高成员变化,Wind
95,2021-08-26,中海油服(601808)：油服行业缓慢复苏 期待业绩继续改善,新浪
96,2021-08-26,中海油服(601808)2021年中报点评-海外业务拖累上半年表现 下半年起有望进入高增长周期,新浪
97,2021-08-26,民生证券维持中海油服推荐评级，中海油服2021年半年度业绩点评：Q2业绩逐步复苏，但恢复速度仍较慢,每日经济新闻
98,2021-08-26,中海油服上半年净利润8亿元同比下降53% 现金流为负 盈利能力下降,中国经济网
99,2021-08-26,中海油服多举措稳经营，中期业绩实现营收127.4亿元,上证报
100,2021-08-25,晚间重要公告2021年8月25日星期三,Wind
101,2021-08-25,中海油服：2021年半年度净利润约8.02亿元，同比下降53.2% 盈利能力下降,每日经济新闻
102,2021-08-25,中海油服发布2021年中期业绩报告,证券时报网
103,2021-08-25,中海油服：上半年净利8.02亿元 同比降53% 盈利能力下降,财联社
104,2021-08-25,中海油服(601808.SH)：非执行董事赵宝顺辞任 董监高成员变化,智通财经
105,2021-08-25,中海油服(601808.SH)：上半年净利降53.2%至8.02亿元 盈利能力下降,格隆汇
106,2021-08-25,中海油服：上半年净利润同比减少53.25% 盈利能力下降,Wind
107,2021-08-25,油气勘探板块今日异动｜数据观察,第一财经
108,2021-08-24,A股明日风口：上海市人民政府印发《上海国际金融中心建设“十四五”规划》,新浪
109,2021-08-24,【2883】中海油服半年纯利降53% 不派息 | 头条金融网 盈利能力下降,头条日报
110,2021-08-24,BlackRock Inc.增持中海油田服务股份约138.73万股,每日经济新闻
111,2021-08-22,A股明日风口：全球第四代核电技术首个商业化示范项目开始装料,新浪
112,2021-08-19,恒指收跌2.13% 有色金属股及石油股全线下跌,新浪
113,2021-08-19,港股收盘(8.19)|恒指收跌2.13% 美联储讨论缩减购债 有色金属、石油股全线重挫,智通财经
114,2021-08-19,石油股早盘走低 中石油跌超5%中石化跌近4%,新浪
115,2021-08-19,港股异动 | 中石油(00857)跌超5%领跌石油股 国际油价继续下挫创近三个月新低,智通财经
116,2021-08-18,“海洋石油119”日处理原油突破一万吨,Wind
117,2021-08-17,中海油田服务(02883)拟下调2016年公司债券(第二期)(品种二)票面利率,智通财经
118,2021-08-17,中海油田服务(02883.HK)拟下调“16油服04”票面利率,格隆汇
119,2021-08-15,【开源煤炭&石化-张绪成】石化周报：油价延续震荡走势，长丝需求有望回暖,能源观察站
120,2021-08-15,科技制造行业先进制造行业周报：国内第一批70MPA氢能客车成功加氢,新浪
121,2021-08-12,武船集团为中海油服建造两艘LNG动力守护供应船完成节点,国际船舶
122,2021-08-12,中海油服LNG动力守护供应船“4000hp SPS-2”船在武船下水,中国燃气网
123,2021-08-11,134股获买入评级 最新:东方雨虹,中财网
124,2021-08-11,风格漂移还排名“垫底”？ 这几只基金尴尬了！,红周刊
125,2021-08-11,60股今日获机构买入评级 13股上涨空间超20%,中财网
126,2021-08-10,申港证券首予中海油服买入评级：剑指全球蓝海市场油服巨头蓄势待发,每日经济新闻
127,2021-08-09,64股获买入评级 最新:绿茵生态,中财网
128,2021-08-09,石油化工行业周报：油价高位震荡 长丝需求回升,新浪
129,2021-08-06,港股异动 | 中海油(00883)涨超4%领涨石油股 瑞银预计布油下半年升至每桶75至80美元,智通财经
130,2021-08-05,石油化工&基础化工行业2021年中期策略报告：聚焦价值 拥抱成长 把握市场分化预期下的确定性机会,光大证券
131,2021-08-03,【机械设备】机械设备行业周报—国家政策引领高端制造长期向好，持续关注半导体、锂电设备、光伏设备,中银证券研究
132,2021-08-03,华夏兴华混合A净值上涨3.36%,新浪
133,2021-08-02,特别关注｜我国天然气燃料动力船舶规范法规体系,国际燃气网
134,2021-08-01,【开源煤炭&石化-张绪成】石化周报：多指标支撑高油价，长丝产销回暖,能源观察站
135,2021-07-31,科技行业先进制造行业周报：HYZON推出成本减半的新型车载储氢系统,新浪
136,2021-07-29,重磅！国资委公布中石油、中石化、中海油标杆企业名单,新浪
137,2021-07-29,三大石油公司8家企业、6大项目入选国资委标杆名单！,国际能源网
138,2021-07-28,海外信用评级汇总2021年7月28日星期三,Wind
139,2021-07-28,惠誉：确认中海油田服务长期外币发行人评级为“A”，展望“稳定”,Wind
140,2021-07-27,【机械设备】机械设备行业周报—国际光刻机龙头订单火爆，动力电池厂商加速扩产，关注半导体、锂电设备需求释放,中银证券研究
141,2021-07-26,六大券商周二看好的六大板块,华安证券
142,2021-07-25,【太平洋机械】机械行业周报20210724：大挖需求爆发，9-10月旺季工程机械板块有望超预期,太平洋机械大讲堂
143,2021-07-25,化工行业点评：国际油价点评：风险释放重回向好格局 油服行业迎来布局良机,新浪
144,2021-07-22,石油股早盘集体高开 中石油涨超4%中石化涨近3%,新浪
145,2021-07-22,港股异动 | 中石油(00857)涨超4%领涨石油股 供需缺口或持续 国际油价大幅反弹,智通财经
146,2021-07-22,华夏兴华混合H净值上涨3.31%,新浪
147,2021-07-20,2021年《财富》中国500强排行榜揭晓：京东第11 阿里第14 腾讯第20,财富中文网
148,2021-07-20,2021年《财富》中国500强发布 上榜上市公司总营业收入达53万亿元人民币,财富中文网
149,2021-07-20,2021年《财富》中国500强排行榜揭晓：地产业入榜公司最多,财富中文网
150,2021-07-20,瞄准全球化管理能力，这家学院要与更多企业定制国际财务人才培养方案,消费日报网
151,2021-07-20,A 股午评：指数早盘弱势震荡 白酒概念逆势领涨,ZAKER
152,2021-07-20,基金持仓动向：永赢基金李永兴二季度加仓这些股（名单）,证券之星
153,2021-07-20,快讯：采掘服务板块全线下挫 中海油服跌逾4% 连续下跌,新浪
154,2021-07-20,港股石油股走低 中国石油及昆仑能源均跌近3%,新浪
155,2021-07-20,港股异动 | 中石油(00857)跌超4%领跌石油股 OPEC+增产及疫情引发石油需求担忧,智通财经
156,2021-07-20,油服：OPEC+分歧消除 国内继续加大勘探开发将成十四五主基调,新浪
157,2021-07-19,化工点评报告：OPEC+达成协议 油价或将继续上涨,新浪
158,2021-07-19,绿色能源与大宗商品月报(2021年7月),新浪
159,2021-07-19,深度*行业*机械设备行业周报机械设备行业周报：重视半导体量测设备赛道：上海精测交付首台OCD、REVIEW SEM设备,新浪
160,2021-07-19,能源化工行业国际油价点评：OPEC+达成产量决议 有望支撑短期油价,新浪
161,2021-07-19,OPEC+决议好于预期或推动油价上行，关注上游低估值龙头,中信证券
162,2021-07-19,中信证券：OPEC+决议好于预期，有望推动油价上行,Wind
163,2021-07-19,中信证券：OPEC+决议好于预期有望推动油价上行,财联社
164,2021-07-19,国际油价｜OPEC+决议好于预期，有望推动油价上行,中信证券研究
165,2021-07-19,晨会0719｜预期再修正，风格再平衡,中信证券研究
166,2021-07-18,【开源煤炭&石化-张绪成】石化周报：油价高位震荡，长丝需求盈利向好,能源观察站
167,2021-07-17,石油化工行业跟踪报告：6月美国商业原油库存环比减少5.2%,新浪
168,2021-07-16,【期市星期五】市场不确定性增加，油价高位波动加剧！不锈钢大涨，镍刷新四个半月高位,金融界
169,2021-07-16,港股收评：恒指微涨0.03%，港交所一度暴涨5%,证券之星
170,2021-07-13,摩通：首予中海油服(2883.HK)“增持”评级目标价7港元,格隆汇
171,2021-07-12,能源化工行业周观点：油价振荡后上行 光伏新能源材料关注度高,新浪
172,2021-07-11,【开源煤炭&石化-张绪成】石化周报：OPEC+未达一致支撑油价，看好长丝后续行情,能源观察站
173,2021-07-09,中国海油：可燃冰开发领域获得新突破！,国际燃气网
174,2021-07-08,20.41亿元主力资金今日撤离采掘板块,证券时报网
175,2021-07-08,港股收盘(7.8)|恒指收跌2.89%创半年新低 科技股、餐饮股全线重挫 连续下跌,智通财经
176,2021-07-08,【国元机械】6月挖掘机行业销量点评报告：国内已步入淡季，出口仍表现亮眼,国元高端装备
177,2021-07-08,石油股继续下跌 中石油跌超5%中海油跌超3%,新浪
178,2021-07-08,港股异动 | 中石油(00857)跌超5%领跌石油股 阿联酋计划单方面增加产量及市场份额,智通财经
179,2021-07-08,国产自主天然气水合物钻探和测井技术装备海试取得重大进展,Wind
180,2021-07-08,国产自主天然气水合物钻探和测井技术装备海试取得重大进展,中国科技网
181,2021-07-07,张忆东2021年中期投资策略：看好光伏、石油、新能源等（股）,张忆东策略世界
182,2021-07-07,8.40亿元主力资金今日撤离采掘板块,证券时报网
183,2021-07-07,【兴证海外能源公用】2021年中期投资策略：“碳中和”愿景下，看好公用事业龙头公司；油价走出至暗时刻，看好国内外油服公司,张忆东策略世界
184,2021-07-07,港股异动 | 中石油(00857)跌超4%领跌石油股 周二国际油价大幅下跌 连续下跌,智通财经
185,2021-07-07,【异动股】石油行业板块低开，沈阳化工(000698.CN)跌7.6%,财华社
186,2021-07-06,欧佩克＋未达成增产协议，国际油价三年来首次冲上77美元,腾讯网
187,2021-07-06,国际油价｜低资本开支抑制供应放量，未来2-3年中高油价可持续,中信证券研究
188,2021-07-05,能源化工行业周观点：油价持续新高 化工Q2业绩预告亮眼,新浪
189,2021-07-05,A股三大指数小幅上涨，锂电池板块再掀涨停潮,21世纪经济报道
190,2021-07-05,大宗商品行业周报：绿色能源与大宗商品周报(2021年第9期),新浪
191,2021-07-03,先进制造行业周报：借势双碳战略 氢燃料电池再站产业风口,新浪
192,2021-07-02,好日子来了！“两桶油”上半年净利增长超千亿，油市来到十字路口,21世纪经济报道
193,2021-07-02,"油服板块逆势大涨，""两桶油""半年净赚近1000亿，行业景气回升丨牛熊眼",第一财经
194,2021-07-02,【异动股】可燃冰板块高开，潜能恒信(300191.CN)涨6.56%,财华社
195,2021-07-02,【安信金工】组合调仓-全市场金股优选2021年7月,主动型量化
196,2021-07-01,高端龙头抢滩 扛鼎高技术制造,南方日报
197,2021-06-28,机械设备行业周报：多类芯片新需求叠加 半导体设备供不应求,新浪
198,2021-06-28,中海油服：我国海洋石油工业首个自营深水大气田“深海一号”即将投产,Wind
199,2021-06-28,中信证券：油价持续中高位运行，布局高景气下的业绩高确定性,证券时报网
200,2021-06-28,钢铁集团海外观察2020：积极应对疫情冲击，韧性中积蓄复苏反弹势能,中信证券研究
201,2021-06-28,能源化工｜国际油价：油价持续中高位运行，布局高景气下的业绩高确定性,中信证券研究
202,2021-06-28,油价创两年半新高相关公司值得关注（附股）,金融界
203,2021-06-25,板块异动丨布伦特原油期货创两年以来新高 油气概念股持续上扬,智通财经
204,2021-06-24,化工行业日报：川财研究能源及公用事业产业链核心数据跟踪日报,新浪
205,2021-06-23,【异动股】可燃冰板块下挫，准油股份(002207.CN)跌3.38%,财华社
206,2021-06-23,【异动股】可燃冰板块下挫，潜能恒信(300191.CN)跌4.01%,财华社
207,2021-06-22,环球股市全日总结：6月22日,农银国际
208,2021-06-22,中海油服(601808)：中期策略会反馈 2H21进入作业高峰期,新浪
209,2021-06-22,明日最具爆发力六大黑马,证券之星
210,2021-06-22,港股收盘(6.22)|恒指收跌0.63% 骨科耗材集采文件出炉 春立医疗(01858)暴涨36%领涨耗材股,智通财经
211,2021-06-22,A股收盘：成交额再度破万亿 外资净卖出24亿元 石油股集体上涨,证券之星
212,2021-06-22,收评：指数午后下探回升 种植业与林业涨幅居前,ZAKER
213,2021-06-22,【国元机械】晶盛机电深度报告：迎硅片扩产顺周期风口，长晶设备龙头扬帆起航,国元高端装备
214,2021-06-22,油气板块走高机构：下半年石油装备景气度将显着回升,第一财经
215,2021-06-22,石油股早盘集体走高 中海油服涨超5%,新浪
216,2021-06-22,采掘服务板块开盘走高 恒泰艾普大涨逾6%,中国经济网
217,2021-06-22,【异动股】可燃冰板块拉升，博迈科(603727.CN)涨5.85%,财华社
218,2021-06-22,快讯：采掘服务板块开盘走高 恒泰艾普大涨逾7%,新浪
219,2021-06-22,石油板块走强 潜能恒信高开逾6%,e公司
220,2021-06-20,【开源煤炭&石化-张绪成】石化周报：油价上涨动力犹在，长丝需求趋势向好,能源观察站
221,2021-06-20,先进制造行业周报-氢能乘用车变局：本田放手 捷豹路虎挺进,新浪
222,2021-06-19,A股版图十年大变迁,Wind
223,2021-06-19,A股版图十年大变迁：头部公司市值排名“换了人间”,经济观察报
224,2021-06-18,A股全天震荡创指巨震洗盘收涨1.6% 科技领涨市场有望继续反弹,财华社
225,2021-06-18,目前市场处于震荡休整期，创业板连续中阳 下周重点关注量能变化,财华社
226,2021-06-18,股市动态 | 指数分化震荡，有机硅供不应求领涨板块，电池板块火热延续,财经网
227,2021-06-18,两市分化：沪指微跌，创指涨1.59%，成交重上万亿元,澎湃新闻
228,2021-06-18,【国元机械】5月工业机器人产量数据点评报告：行业景气度延续，进口替代不断加速,国元高端装备
229,2021-06-18,【异动股】可燃冰板块下挫，中海油服(601808.CN)跌7.15%,财华社
230,2021-06-18,【异动股】石油行业板块下挫，中海油服(601808.CN)跌7.15%,财华社
231,2021-06-18,【异动股】石油行业板块下挫，博迈科(603727.CN)跌6.75%,财华社
232,2021-06-18,港股异动 | 中海油服(02883)跌超4%领跌石油股 美联储转鹰美元飙升 国际油价大跌 连续下跌,智通财经
233,2021-06-18,石油化工行业：5月油价延续上涨态势 建议关注油价上涨的投资机会,新浪
234,2021-06-17,石油石化行业中期策略：大宗品景气分化 新材料价值凸显,新浪
235,2021-06-17,巨丰早评：A股有望打出短期低点,巨丰财经
236,2021-06-16,A 股又绿了，跌停潮来袭！李大霄称无需恐慌，个股跌 50％也正常,ZAKER
237,2021-06-16,犀牛财经看市：美股集体收跌沪指跌1.07% 连续下跌,GPLP犀牛财经
238,2021-06-16,A股大幅杀跌创指重挫4%市场避险情绪浓厚金融股强势护盘,财华社
239,2021-06-16,股市动态 | 创业板指下挫4.18%，石油行业、第三代半导体逆市上行,财经网
240,2021-06-16,【焦点复盘】中石油“魔咒”再度显现，大金融护盘难掩颓势，连续3日跌逾5%个股超200家,财联社
241,2021-06-16,景气回升，2021年油服迎业绩拐点,Wind
242,2021-06-16,金融股护盘明显创业板短线破位,巨丰财经
243,2021-06-16,巨·大盘｜第二轮抱团股瓦解行情悄然展开,巨丰财经
244,2021-06-16,收评：A股三大股指集体下挫，创业板单边下行跌超4%，大金融拉盘未果，能源股逆市上扬 连续下跌,金融界
245,2021-06-16,巨丰收评：创业板指重挫4% 金融股护盘明显,巨丰财经
246,2021-06-16,油价创近两年半新高 中石油年内已涨27% 万亿市值近在咫尺,第一财经
247,2021-06-16,【国元机械】弘亚数控(002833)：上半年业绩大幅预增，产能释放带动公司加速成长,国元高端装备
248,2021-06-16,【异动股】石油行业板块拉升，潜能恒信(300191.CN)涨13.77%,财华社
249,2021-06-16,原油期货大涨 能源设备板块早盘集体走高｜板块牛熊榜,第一财经
250,2021-06-16,北向资金净流出4.87亿，东方财富、隆基股份、五粮液被卖出超30亿！机构解读,和讯
251,2021-06-16,午评：三大股指震荡走弱创业板跌3.44%，锂电池板块大幅回落，煤炭石油股逆市走强,金融界
252,2021-06-16,解盘：题材股分化，大基建、半导体、乡村振兴、IGBT略涨,Wind
253,2021-06-16,午评：指数早盘大幅杀跌创指跌逾3% 半导体板块逆势走高,新浪
254,2021-06-16,石油板块发力走高，潜能恒信等大涨，国际油价触及逾两年高位,证券时报网
255,2021-06-16,采掘服务板块持续拉升,经济观察报
256,2021-06-16,【异动股】石油行业板块高开，潜能恒信(300191.CN)涨8.92%,财华社
257,2021-06-16,开源证券--石油化工行业周报：油价延续上涨走势，看好长丝需求复苏【行业研究】,金融界股吧
258,2021-06-15,国君策略：厝火积薪，成长扩散,证券之星
259,2021-06-15,国君策略：估值体系重塑新阶段 二三线成长品种具备重估价值,新浪
260,2021-06-15,财闻点金： 华为将举办5G+AR全球线上+线下峰会,巨丰财经
261,2021-06-15,6月15日操盘必读：影响股市利好与利空消息,新浪
262,2021-06-15,【有声早报】华龙证券6月15日财经早报,华龙掘金
263,2021-06-15,财联社6月15日早报（周二）,财联社
264,2021-06-14,板块拾金丨鸿蒙概念股强势来袭；白酒板块回调风云突变，节后形势一片大好？,第一财经
265,2021-06-14,【广发化工|周观点】化工品价格涨多跌少，尿素价格持续上涨,广发化工微平台
266,2021-06-11,先进制造行业周报：深圳将发展氢能纳入十四五规划,新浪
267,2021-06-11,BlackRock Inc.减持中海油田服务股份约1428.39万股 减持股份,每日经济新闻
268,2021-06-11,港股行情复盘：恒生指数跌0.01% 手机产业链股多数走低 中海油服(02883)跌5.11%（2021/6/11）,--
269,2021-06-11,石化行业OPEC月报点评：OPEC逐步放松减产 需求复苏提供支撑,新浪
270,2021-06-11,Gridsum COMPaaS亮相能源装备盛会，国双助力工业互联网行稳致远,北国网
271,2021-06-11,智通港股早知道︱(6月11日)投资港股基金鼓励投资者申购，看好互联网、消费等板块配置价值,智通财经
272,2021-06-10,国际油价走强北上资金抢筹8只油服概念股这6股获机构看好,第一财经
273,2021-06-10,石油化工行业：7月继续增产 油价强势上涨,新浪
274,2021-06-10,A股明日风口：关于支持浙江高质量发展、建设共同富裕示范区的意见发布,新浪
275,2021-06-10,港股行情复盘：恒生指数跌0.01% 手机产业链股多数走低 中海油服(02883)跌5.11%（2021/6/10）,--
276,2021-06-10,国内成品油价将迎来年内第八涨！国际油价年涨幅达45%，两大巨头底部反弹，6股业绩有望高增长,e公司
277,2021-06-10,【国元机械】5月挖掘机行业销量点评报告：行业逐渐进入淡季，需求韧性值得期待,国元高端装备
278,2021-06-10,港股收盘| 恒指收跌0.01% 机构预测全年纯利或达775亿 中远海控收涨逾11%,乐居财经
279,2021-06-10,美银证券：中海油服降至跑输大市评级 目标价6.2港元 投资评级恶化,新浪
280,2021-06-10,中海油服AH股齐跌H股放量跌超5%遭投行大削目标价 机构下调估值,格隆汇
281,2021-06-10,美银证券：大幅下调中海油服(02883)目标价51.6%至6.2港元 以反映二季业绩或逊于预期等影响 机构下调估值,智通财经
282,2021-06-10,中海油服跌超4% 遭美银证券降至跑输大市评级 投资评级恶化,新浪
283,2021-06-10,港股异动 | 中海油服(02883)跌超4% 美银证券称二季度业绩可能逊预期 下调其目标价52% 盈利能力下降,智通财经
284,2021-06-10,大行评级|美银证券：降中海油服(2883.HK)评级至“跑输大市”目标价下调至6.2港元,格隆汇
285,2021-06-09,犀牛财经看市：美股涨跌互现 三大股指窄幅震荡,GPLP犀牛财经
286,2021-06-09,【国元机械&电新】斯莱克深度报告：布局电池壳体制造，开启第二增长曲线,国元高端装备
287,2021-06-09,中海油服(601808.SH)将于6月17日分红 每股A股派0.17元,智通财经
288,2021-06-09,中海油服(601808.SH)：2020年度权益分派10派1.7元 股权登记日6月16日,格隆汇
289,2021-06-09,采掘、钢铁板块领涨，3张图一览相关个股业绩、估值、债券风险情况,Wind
290,2021-06-09,疯了！一则消息，这家公司午后突然暴拉！投资者们嗨了，高呼永远的神！成交额飙至两市第一，还能上车吗？,雪球
291,2021-06-09,原油将破百？美页岩油已拧开阀门等候,Wind
292,2021-06-09,A股收评：三大指数缩量震荡，资源股全天强势,格隆汇
293,2021-06-09,热点淘金：市场延续调整节奏 煤炭股受热炒,巨丰财经
294,2021-06-09,巨丰收评：市场主线再次生变,巨丰财经
295,2021-06-09,连拉50多个涨停后再拉10个涨停！乐视网暴涨近3倍，A股ST板块也涨疯了,上游新闻
296,2021-06-09,活跃资金看中了这个大板块！,Wind
297,2021-06-09,上午，活跃资金看中了这个大板块！,中国证券网
298,2021-06-09,中海油服大涨,新浪
299,2021-06-09,石油板块集体走强 中国石油涨超3%,e公司
300,2021-06-09,快讯：油气概念股全线走强中国石油涨超3%,财联社
