,2021-12-31,中航光电、振华科技、高德红外……谁将能成长能力最强的军工电子企业？,Ofweek
79,2021-11-05,高德红外：公司在历年的年度报告中按行业及大产品分类披露，根据相关规定豁免披露非制冷及制冷产品的收入比例,每日经济新闻
80,2021-11-05,高德红外：公司生产的无接触式全自动红外热成像测温告警系统已在火车站、飞机场、城市轨道交通枢纽、医院、工厂、学校、商场、写字楼等均有应用,每日经济新闻
81,2021-11-02,高德红外11月2日大宗交易成交213.47万元,证券时报网
82,2021-11-02,A股共发生220宗大宗交易成交35.45亿元（11月2日）,Wind
83,2021-11-02,高德红外今日大宗交易成交9.44万股，成交价22.62元溢价0.0%,Wind
84,2021-11-02,高德红外现1笔大宗交易 共成交213.47万元,新浪
85,2021-11-01,国防军工行业周报：基金配置比例环比提升 三季度业绩持续向好,新浪
86,2021-10-29,高德红外今日大宗交易成交509.63万股，成交价18.65元折价14.06%,Wind
87,2021-10-29,张坤、傅鹏博、刘格菘、冯明远等顶流隐形重仓股来了,Wind
88,2021-10-29,"大曝光！张坤、傅鹏博、刘格菘、冯明远等顶流基金经理""隐形重仓股""来了！",中国基金报
89,2021-10-28,高德红外前三季净利润9.19亿元，同比增长15.49%,资本邦
90,2021-10-28,高德红外：定增募投项目大部分设备已经调试完毕，计划年底实现全面投产,Wind
91,2021-10-28,A股异动 | 高德红外(002414.SZ)大跌8.61% 第三季度净利降19.06%且1.18亿股今日解禁 盈利能力下降,格隆汇
92,2021-10-28,快讯：高德红外跌停 报于20.7元,金融界
93,2021-10-28,A股早报2021年10月28日星期四,Wind
94,2021-10-27,高德红外：第三季度净利2.25亿元 同比下降19% 盈利能力下降,财联社
95,2021-10-27,高德红外(002414.SZ)：第三季度净利降19.06%至2.25亿元 盈利能力下降,格隆汇
96,2021-10-27,图解高德红外三季报：第三季度单季净利润同比减19.06% 盈利能力下降,证券之星
97,2021-10-27,新鲜出炉！高德红外：2021年第三季度净利润约2.25亿元，同比下降19.06% 盈利能力下降,每日经济新闻
98,2021-10-27,高德红外：前三季度净利润同比增长15.49%,Wind
99,2021-10-26,国防军工行业周报：电科系上市公司表现亮眼 板块业绩增长确定性高,新浪
100,2021-10-26,干货！2021年中国MEMS传感器行业龙头企业分析——高德红外：国内唯一民营武器总体设计企业,前瞻研究院
101,2021-10-26,刘格菘、黄兴亮、邹曦、陈一峰等知名基金经理三季报持仓大曝光！,Wind
102,2021-10-25,高德红外：1.18亿股限售股10月28日上市流通 解禁,Wind
103,2021-10-25,中泰金工定向增发跟踪周报（10/24）,ZTQuant
104,2021-10-22,下周783亿市值限售股解禁，长城证券解禁市值近160亿元 解禁,Wind
105,2021-10-22,高德红外：目前没有研发生产IGBT芯片的计划,每日经济新闻
106,2021-10-22,高德红外：公司手持机及其他产品会用到北斗卫星定位,每日经济新闻
107,2021-10-19,高德红外：经过多年的研发投入，公司已构建了从底层红外核心器件，到综合光电系统，再到顶层完整装备系统总体的全产业链科研生产布局,每日经济新闻
108,2021-10-19,高德红外：公司已完成多款型号系统产品的JM出口立项审批，与具有相关出口权的公司形成了战略合作关系,每日经济新闻
109,2021-10-19,高德红外：全资子公司轩辕智驾自主研发的儿童遗忘检测系统利用超声波技术实现车内遗忘儿童检测和报警，已与国内汽车品牌达成合作并实现量产供货,每日经济新闻
110,2021-10-19,高德红外：公司已与人工智能、物联网、智慧安防、智能家居等行业巨头企业展开了深层次的合作,每日经济新闻
111,2021-10-15,高德红外：根据相关规定和财务部门测算的财务数据，公司无需披露前三季度业绩预告,每日经济新闻
112,2021-10-15,解盘：科技、资源重拾升势，半导体、煤炭、动力电池领涨,Wind
113,2021-10-14,军民市场需求共振 | 晨会掘金,中信建投证券研究
114,2021-10-11,高德红外：JM指相关型号类产品在出口贸易上的发展,每日经济新闻
115,2021-10-11,高德红外：公司良品率已达到国外同等先进水平,每日经济新闻
116,2021-10-11,高德红外：连达光电不属于公司子公司,每日经济新闻
117,2021-10-11,高德红外：公司正筹备上线MES（生产制造执行系统）,每日经济新闻
118,2021-10-10,高德红外(002414.SZ)：实控人黄立质押1000万股及解押1176万股,格隆汇
119,2021-10-08,军工行业月度动态报告：估值切换在即 高景气有望驱动板块走高,新浪
120,2021-09-30,高德红外：目前募投项目建设进展顺利，新厂房于2021年三季度正式启用，大批新设备已同步到位，现产线在安装调试过程中，公司将尽快完成上述工作，促使产线投产,每日经济新闻
121,2021-09-26,高德红外：公司自2020年下半年至今在手订单充裕，各型号产品订单呈持续快速增长的态势,每日经济新闻
122,2021-09-26,高德红外：公司尚未收到相关限电通知，目前公司生产经营一切正常，各项目及生产正常推进,每日经济新闻
123,2021-09-22,高德红外：公司积极与多家品牌汽车企业进行接洽 未来将与更多的厂商形成联盟,财联社
124,2021-09-22,高德红外：公司已成为某车企乘用车前装红外项目独家供应商,每日经济新闻
125,2021-09-16,高德红外：公司全资子公司轩辕智驾致力于智能安全驾驶领域，目前主要聚焦于毫米波雷达产品、儿童遗落安全系统的开发和远红外产品线的优化和市场开拓,每日经济新闻
126,2021-09-16,高新三路27号地块是以何种方式取得的？高德红外：公司以出让的方式取得国有土地使用权,每日经济新闻
127,2021-09-16,高德红外：新厂房于2021年三季度正式启用，大批新设备已同步到位，现产线在安装调试过程中，公司将尽快完成上述工作，促使产线投产,每日经济新闻
128,2021-09-13,高德红外：陈丽玲辞去财务总监职务 黄轶芳接任 董监高成员变化,中国经济网
129,2021-09-13,高德红外：变更公司财务总监 董监高成员变化,每日经济新闻
130,2021-09-13,高德红外(002414.SZ)：黄轶芳接替陈丽玲担任财务总监,智通财经
131,2021-09-13,军工板块半年报详尽分析：军工回调日 布局良机时,西南证券
132,2021-09-10,高德红外(002414.SZ)实控人黄立质押920万股及解押1761.2万股,智通财经
133,2021-09-10,高德红外：在自动驾驶领域，子公司轩辕智驾已与国内外多家自动驾驶企业以及专业算法公司展开产品测试工作，拟在自动驾驶方案中增加红外传感器,每日经济新闻
134,2021-09-08,高德红外：公司根据相关优惠政策已享受嵌入式软件退税,Wind
135,2021-09-03,高德红外：公司相关型号夜视仪产品已应用在光电对抗、夜视夜战、侦查、精确打击等诸多军事领域,Wind
136,2021-09-01,机构加仓！“赛道”股哑火，后市或有第二春,Wind
137,2021-08-31,航空航天与国防行业周报：重视军工主机厂的价值,新浪
138,2021-08-27,高德红外：公司实际控制人部分股份质押及解除质押,经济观察网
139,2021-08-27,干货！2021年中国传感器行业龙头企业分析——高德红外：红外龙头业绩高速增长,前瞻研究院
140,2021-08-27,【银河军工李良】公司点评丨高德红外 (002414)：业绩增长符合预期，产能释放助力公司持续快速发展,中国银河证券研究
141,2021-08-25,银河证券每日晨报,新浪
142,2021-08-24,干货！2021年中国传感器行业龙头企业对比：高德红外VS大立科技 谁是“行业之王”？,前瞻研究院
143,2021-08-24,风向突变，军品也要集采？,Wind
144,2021-08-23,高德红外(002414)：军品高增民品拓展 红外龙头加速发展,国海证券
145,2021-08-20,海通证券：维持高德红外(002414.SZ)“优大于市”评级 价值区间28.1-31.22元,智通财经
146,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
147,2021-08-19,【东北晨会0819】策略：后成长行情下，风格会扩散到哪里？/中国建筑、合盛硅业、科达制造、通威股份、高德红外,东北证券研究所
148,2021-08-19,【东北军工】高德红外（002414）中报点评：军民品高景气度延续，红外巨头快速增长,东北证券研究所
149,2021-08-18,高德红外(002414)：订单饱满业绩增长显着 募资扩产加快平台建设,新浪
150,2021-08-18,高德红外：目前募投项目建设进展顺利，新厂房将于年内正式启用，大批新设备将同步到位，部分生产区块也将搬迁至新厂房,每日经济新闻
151,2021-08-18,高德红外：公司芯片除自用外亦对外销售,Wind
152,2021-08-18,高德红外今日大宗交易成交17.20万股，成交价27.66元溢价0.0%,Wind
153,2021-08-18,订单持续增加 高德红外上半年营收18.47亿元,中国机经网
154,2021-08-18,高德红外：2021年上半年业绩持续快速增长 加快产能提升助力长远发展,证券日报网
155,2021-08-18,高德红外上半年净利增34.01%，明星基金经理刘格菘二季度加仓1223万股,阿尔法工场
156,2021-08-18,航空航天与国防行业周报：看好军工材料及红外行业,新浪
157,2021-08-18,一图读懂高德红外2021年中报,证券之星
158,2021-08-17,订单持续增加 高德红外(002414.SZ)半年度归母净利同比增34%至6.94亿元,智通财经
159,2021-08-17,高德红外(002414.SZ)：上半年净利增34.01%至6.94亿元,格隆汇
160,2021-08-17,高德红外半年报：上半年净利6.94亿元 同比增34%,财联社
161,2021-08-17,高德红外：上半年净利润同比增长34.01%,Wind
162,2021-08-16,通信电子行业周报：高精度位导龙头华测导航迈入自动驾驶时代,光大证券
163,2021-08-12,科技+成长！网络安全升温，业绩加速释放,Wind
164,2021-08-10,需求饱满、业绩强劲、估值低洼，军工板块长期成长确定丨牛熊眼,第一财经
165,2021-08-05,一线观察：疫情再起 湖北上市公司响应疫情防控助力“武汉速度”,证券日报网
166,2021-08-05,军工板块全线爆发，核心个股业绩高增长将逐渐兑现，优质股名单收好（附股）丨牛熊眼,第一财经
167,2021-08-05,军工股盘中快速走高，航天彩虹封涨停，次新股航宇科技大涨7%，高德红外、江龙船艇、航发控制、中航高科、利君股份、中航西飞等个股纷纷冲高。(中新经纬APP),中新经纬
168,2021-08-02,冯柳新入航天军工概念股10个亿 哪些标的是明星基金经理的心头好？,新浪
169,2021-08-02,航空航天与国防行业周报：看好军工次新标的,新浪
170,2021-08-02,暖风频吹！“十四五”军工迎重要窗口期，黄金时代来临,Wind
171,2021-08-02,周末大戏！2500亿赛道突生变数，1.3万亿锂矿大火,Wind
172,2021-07-30,高德红外：子公司智感科技向河南省应急管理厅转交了10台TK系列红外热成像夜视仪,财联社
173,2021-07-29,军工行业-2021Q2军工基金持仓研究：持仓稳中有增 下游环节关注度提升,新浪
174,2021-07-28,国防军工21年Q2基金持仓分析：军工重仓持股比例略升 板块具备中长期配置价值,新浪
175,2021-07-28,军工行业高景气持续验证，可关注三条主线,东北证券
176,2021-07-26,高德红外：公司募投项目均已取得土地使用权,Wind
177,2021-07-26,高德红外：2021年半年度报告将于2021年8月18日披露,每日经济新闻
178,2021-07-26,高德红外：自2020年下半年至今在手订单充裕，按照相关合同要求保证前期已签订订单产品的如期交付,每日经济新闻
179,2021-07-26,高德红外：2021年疫情防控产品销售不多，基于红外探测器芯片、型号产品及民品等订单增加,每日经济新闻
180,2021-07-26,高德红外：目前募集资金投资项目建设顺利，拟尽快形成产能,每日经济新闻
181,2021-07-25,国防军工行业周报：公募基金重仓市值创新高 超配军工正当时,新浪
182,2021-07-24,保利集团总经理张振高一行到高德红外考察调研，洽谈合作,Wind
183,2021-07-24,保利集团总经理张振高一行到高德红外考察调研 洽谈合作,e公司
184,2021-07-21,明星基金最新抢买股票名单来了,Wind
185,2021-07-20,航空航天与国防行业周报：关注中报期业绩有望上升品种,新浪
186,2021-07-20,高德红外：高德地图与公司没有任何关联关系,Wind
187,2021-07-18,国防军工行业周报：板块业绩有望持续超预期 超配军工,新浪
188,2021-07-16,军工板块景气行情再度凸显，三季度或将成为行业重要拐点？,第一财经
189,2021-07-12,航空航天与国防行业周报：看好红外产业链,新浪
190,2021-07-12,高德红外：公司生产的全自动红外热成像测温告警系统已经顺利取得了国家医疗器械注册证,Wind
191,2021-07-12,高德红外：已开发手机用晶圆级红外模组，正与手机厂商展开合作探讨,Wind
192,2021-07-09,高德红外：高德打车与公司没有任何关联关系,Wind
193,2021-07-09,高德红外：高德打车与公司没有任何关联关系,每日经济新闻
194,2021-07-07,【银河军工李良】行业动态 2021.6丨短期震荡不改行业景气向上趋势，建议逢低加仓,新浪
195,2021-07-07,【银河军工李良】行业动态 2021.6丨短期震荡不改行业景气向上趋势，建议逢低加仓,中国银河证券研究
196,2021-07-06,高德红外：公司生产的全自动红外热成像测温告警系统已经顺利取得了国家医疗器械注册证,Wind
197,2021-07-06,银河证券：短期震荡不改军工行业景气向上趋势，建议逢低加仓,Wind
198,2021-07-02,特斯拉抛弃雷达、苹果拥抱红外 对睿创微纳有何影响？,新浪
199,2021-07-02,高德红外：公司未参与宁波港、青岛港、上海港等国内集装箱码头的智能化建设,每日经济新闻
200,2021-06-29,汽车芯片重大进展，机构：最糟糕时刻已过去！,Wind
201,2021-06-24,高德红外(002414.SZ)实控人黄立解除质押1008万股,智通财经
202,2021-06-24,高德红外：黄立累计质押股数约为5324万股,每日经济新闻
203,2021-06-22,高德红外：公司研制的碲镉汞及二类超晶格制冷红外探测器规模化应用于航空、航天等高科技国防领域,Wind
204,2021-06-22,高德红外：公司的便携式测温热像仪等产品市场需求量巨大,Wind
205,2021-06-22,高德红外：公司子公司轩辕智驾专攻智能安全驾驶领域,Wind
206,2021-06-22,高德红外：公司开发了针对于手机应用的晶圆级红外模组,Wind
207,2021-06-22,上调评级至买入策略选股（6月22日）,Wind
208,2021-06-18,【东北晨会0618】市场快评：科技制造价值显现/5月经济数据点评/军工行业周报/5月航空数据点评/联创光电（深）、龙蟒佰利,东北证券研究所
209,2021-06-17,A股异动|高德红外(002414.SZ)涨约4%将推出手机配件，正与手机厂商展开合作探讨,格隆汇
210,2021-06-17,高德红外大涨,新浪
211,2021-06-16,6月16日晚间重要行业研究汇总(附股),中金在线
212,2021-06-16,[互动]高德红外：正积极与各手机厂商展开红外热成像手机配件MobIR air合作探讨,全景网
213,2021-06-16,国防军工2021年中期投资策略：“十四五”需求加速落地 自下而上业绩为王,新浪
214,2021-06-16,浙商早知道 | 6月16日,浙商证券研究所
215,2021-06-15,7成盈利、千亿扩产计划，半导体迎景气周期,Wind
216,2021-06-15,浙商证券：高德红外（002414.SZ）中国红外龙头，军民品双轮驱动，给予“买入”评级,智通财经
217,2021-06-15,浙商证券维持高德红外买入评级，高德红外深度报告：中国红外龙头，军民品双轮驱动,每日经济新闻
218,2021-06-15,国防军工行业：佐证军工基本面大幅改善的有力证据持续释放,新浪
219,2021-06-11,揭秘送转股 132只除权以来股价上涨,证券时报网
220,2021-06-10,129只送转股走出贴权走势,证券时报网
221,2021-06-09,亚布力论坛热议：民营企业在科技自主创新上发挥了重要作用,澎湃新闻
222,2021-06-09,高德红外黄立：有人以拿别人成果为业,澎湃新闻
223,2021-06-09,高德红外红外测温产品热销，董事长黄立: 这个领域里，没人能“卡”我们,证券之星
224,2021-06-07,军工行业观察：“十四五”需求持续释放 “硬核”标的风险收益比突出,新浪
225,2021-06-07,高德红外：公司全资子公司轩辕智驾致力于智能安全驾驶领域,每日经济新闻
226,2021-06-04,军工行业高景气正在向中下游传导，建议重点关注三条主线,方正证券
227,2021-06-01,高端制造与科技行业2021年中期投资策略：聚焦数字化和进口替代 优选估值与成长匹配的标的,新浪
228,2021-06-01,东北证券：基本面改善预期持续强化和逆周期性凸显，超配军工正当时,证券时报网
229,2021-05-31,湖北区域股市周报：总市值涨533亿 4244万融资买入高德红外,每日经济新闻
230,2021-05-31,军工股午后大幅冲高，机构称超配正当时，把握三条主线,第一财经
231,2021-05-31,国防军工行业周报：“十四五”需求饱满持续 超跌绩优股性价比极高,新浪
232,2021-05-28,7成公司预喜！下周16家高送转、43家高派现,Wind
233,2021-05-27,策略专题报告：“百周年”行情电话会议纪要,新浪
234,2021-05-27,22股获券商买入评级 金发科技目标涨幅达78.39%,Wind
235,2021-05-26,东北证券：军工行业部分个股调整至历史偏低位置，超配军工正当时,证券时报网
236,2021-05-24,高德红外(002414.SZ)拟实施每10股派2.5元 于6月1日除权除息,智通财经
237,2021-05-24,"面临存货和应收账款""双升""窘境 高德红外业绩暴增却遭机构减持 减持股份",投资者网
238,2021-05-19,高德红外：与国网湖北检修公司达成战略合作,e公司
239,2021-05-17,高德红外大涨,新浪
240,2021-05-13,红外热成像上市公司晒成绩单，2021年Q1增长了吗？,中国机经网
241,2021-05-10,军工行业观察：军工板块投资大有可为 自下而上把握成长红利,新浪
242,2021-05-08,湖北区域股市周报：2家湖北公司被调研6.21亿融资净买入湖北股票,每日经济新闻
243,2021-05-08,高德红外(002414)：防疫加军工双重需求牵引 红外巨头高速增长,新浪
244,2021-05-07,定增市场周报：竞价募足率降至低于七成 募资额环比提升逾两倍,新浪
245,2021-05-07,东方财富证券给予高德红外增持评级，2020年报及2021年一季报点评：红外龙头业绩高速增长，研制成果达国际先进水平,每日经济新闻
246,2021-05-01,红外测温产品热销 高德红外全年业绩增3.5倍 应收账款和存货翻倍,GPLP犀牛财经
247,2021-04-30,湖北上市公司快讯：烽火通信、塞力医疗、楚天高速、华中数控季度业绩扭亏为盈,搜狐
248,2021-04-30,高德红外(002414)：型号订单集中落地 民用市场加速拓展,新浪
249,2021-04-29,高德红外去年净利增354% 首季北向资金减持刘格菘持股 减持股份,中国经济网
250,2021-04-29,自动驾驶来了！重磅文件将发布，商业化加速落地,Wind
251,2021-04-29,高德红外：预计今年新的芯片车间可以投产，批产能力提升巨大,Wind
252,2021-04-29,高德红外：预计今年新的芯片车间可以投产 批产能力提升巨大,e公司
253,2021-04-28,高德红外(002414.SZ)年度归母净利同比增353.59%至10.01亿元 每10股转4股派2.5元,智通财经
254,2021-04-28,高德红外(002414.SZ)第一季度归母净利润同比增长50.12%至2.38亿元,智通财经
255,2021-04-28,高德红外(002414.SZ)一季度净利升50.12%至2.39亿元,格隆汇
256,2021-04-28,高德红外(002414.SZ)2020年净利大增353.59%至10.01亿元 拟10转4派2.5元,格隆汇
257,2021-04-28,好消息！高德红外：2021年第一季度净利润约2.39亿元，同比增加50.12%,每日经济新闻
258,2021-04-28,高德红外：2020年净利润同比增长353.59%,Wind
259,2021-04-25,高德红外(002414.SZ)披露定增情况：招商证券、恒健国际及申万宏源等参投,格隆汇
260,2021-04-25,高德红外(002414.SZ)8426.02万股新增股份将于4月28日深交所上市,智通财经
261,2021-04-23,芯片股表现活跃，富满电子领涨8%,Wind
262,2021-04-22,刘格菘麾下基金一季度调仓路径：减仓“光伏茅”加码化工龙头股,证券之星
263,2021-04-19,造车炙手可热！百度吉利合作，Apollo自动驾驶迎量产,Wind
264,2021-04-16,智能驾驶进入发展快车道 9只概念股去年业绩翻番,证券时报
265,2021-04-14,智能驾驶重磅政策出炉，华为积极布局，相关部件已全面上市,金融界
266,2021-04-12,军工行业观察：“十四五”开局一季报发力 业绩超预期引领军工主旋律,新浪
267,2021-04-08,亚布力中国企业家论坛·2021武汉特别峰会举行,湖北日报
268,2021-04-08,知名企业家持续看好武汉、深耕武汉 武汉值得全国企业家来投资,新浪
269,2021-04-07,CITE 2021来了！芯片、信创、数据存储、5G成亮点,Wind
270,2021-04-07,长城证券--高德红外：重点型号产品订单落地，十四五装备放量保障业绩增长【公司研究】,金融界股吧
271,2021-04-07,A股早报2021年4月7日星期三,Wind
272,2021-04-06,晚间重要公告2021年4月6日星期二,Wind
273,2021-04-06,高德红外：近日签订3.16亿元订货合同,Wind
274,2021-04-06,高德红外：近日签订3.16亿元订货合同,e公司
275,2021-04-06,高德红外(002414.SZ)签订3.16亿元的型号产品订货合同,智通财经
276,2021-04-06,订单、预采购大幅增长，什么行业如此景气火热？,Wind
277,2021-04-06,订单、预采购大增 军工行业景气火热依旧,上证报
278,2021-04-06,军工行业景气火热依旧:订单预采购大增 红外北斗等细分行业受关注,上证报
279,2021-04-02,长城证券--高德红外公司动态点评：公司订单批量签署，长期成长动力十足【公司研究】,金融界股吧
280,2021-04-01,湖北上市公司披露年报：防疫物资生产企业、宅经济站上风口,第一财经
281,2021-04-01,高德红外(002414.SZ)实际控制人黄立押1010万股及解除质押2133.5万股,智通财经
282,2021-04-01,高德红外签订5.15亿元合同 ，主要是红外热像产品,中国机经网
283,2021-03-31,A股早报2021年3月31日星期三,Wind
284,2021-03-30,公告精选：惠云钛业拟上调钛白粉售价；高德红外签订5.15亿元产品订货合同,e公司
285,2021-03-30,晚间重要公告2021年3月30日星期二,Wind
286,2021-03-30,高德红外与客户签订七份型号产品订货合同 金额合计5.15亿元,上证报
287,2021-03-30,高德红外：签订5.15亿元产品订货合同 占2019年营收31%,e公司
288,2021-03-29,国防军工行业兴证军工观察：“十四五”需求释放初露锋芒 把握高成长优质标的黄金坑,新浪
289,2021-03-25,高德红外成功研制百万像素级双色双波段红外探测器,中国机经网
290,2021-03-25,2020年部分仪器仪表上市公司财报，大部分实现盈利增长,中国机经网
291,2021-03-22,定增市场2021年2月报：买方市场特征明显：竞价折价率大幅攀升 募足率降至五成,新浪
