,2021-12-31,年终盘点｜券商今年整体跑输市场 板块中8家上涨 中银证券年内腰斩成最“熊”,金融界
131,2021-11-03,浩洋股份：中泰证券研究所、中泰证券研究所等43家机构于10月31日调研我司,证券之星
132,2021-11-03,安利股份：中泰证券、中泰证券等5家机构于11月1日调研我司,证券之星
133,2021-11-03,味知香：中泰证券、太平洋证券等3家机构于10月29日调研我司,证券之星
134,2021-11-02,同和药业：中泰证券、中泰证券等15家机构于10月29日调研我司,证券之星
135,2021-11-02,海油发展：中泰证券、中泰证券等2家机构于10月28日调研我司,证券之星
136,2021-11-01,山西证券维持中泰证券增持评级：21Q3资管、经纪贡献业绩，关注北交所业务进展,每日经济新闻
137,2021-11-01,山西证券：给予中泰证券增持评级,证券之星
138,2021-11-01,中泰证券：选举张晖为职工董事,每日经济新闻
139,2021-11-01,中泰证券：变更职工董事 董监高成员变化,Wind
140,2021-10-30,广联达：中信证券、中泰证券等6家机构于10月27日调研我司,证券之星
141,2021-10-30,两大榜单展示券商三季度新三板业绩 北交所为中小券商 提供“超车”机遇,上证报
142,2021-10-29,千亿头部券商高管变动！银河证券将迎新副总裁，申万宏源另一老将已赴任中金,券商中国
143,2021-10-29,清水源：中泰证券股份有限公司、中泰证券股份有限公司等5家机构于10月27日调研我司,证券之星
144,2021-10-29,千味央厨：中泰证券、东兴证券等11家机构于10月27日调研我司,证券之星
145,2021-10-28,中泰证券：前三季度净利润25.44亿元 同比上升10.88%,上证报
146,2021-10-28,中泰证券公布三季报 前三季净利增加10.88%,新浪
147,2021-10-28,中泰证券：前三季度净利润同比增长10.88%,Wind
148,2021-10-28,图解中泰证券三季报：第三季度单季净利润同比减7.51%,证券之星
149,2021-10-28,中泰证券：2021年第三季度净利润约8.43亿元,每日经济新闻
150,2021-10-28,精选层撤单密度突然加大，不足俩月10个项目主动撤材料，北交所关键节点企业为何“临阵逃脱”？,财联社
151,2021-10-28,中金今年增员已近2000人，财富与科技布重兵，招聘还在继续，中金人也成外资券商挖角对象,财联社
152,2021-10-28,厦门银行：中泰证券、光大证券等5家机构于10月25日调研我司,证券之星
153,2021-10-27,新三板主办券商执业评价排名生变！开源证券蝉联榜首，长江、中信、东吴等排名大幅提升，却有券商逆势下滑,财联社
154,2021-10-27,海象新材：太平洋证券、中泰证券等12家机构于10月22日调研我司,证券之星
155,2021-10-25,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
156,2021-10-23,房产税要来了吗？系列研究（一）：概念、内涵与现状,中泰证券
157,2021-10-22,为何调味品新一轮涨价“势在必行”？,华尔街见闻
158,2021-10-22,中泰证券(600918.SH)完成发行25亿元短期融资券,智通财经
159,2021-10-21,温氏股份跌3.12% 中信证券中泰证券华创证券高位唱多,中国经济网
160,2021-10-20,金南方信披违规实控人收警示函 主办券商为中泰证券 金融监管处罚,中国经济网
161,2021-10-19,寻找2022年经济增长的动能,新浪
162,2021-10-19,世优电气：中泰证券将为公司提供做市报价服务,同壁财经
163,2021-10-19,山钢集团将济钢100%股权划转至济南国资委，不含山东钢铁及中泰证券股权,钢企网
164,2021-10-18,丸美股份跌6.63% 长江证券中泰证券高点唱多,中国经济网
165,2021-10-16,北交所激活新三板，券商抢跑新赛道,新浪
166,2021-10-15,房产税要来了吗？系列研究（一）：概念、内涵与现状--当前经济与政策思考（2021.5.11）,凤凰网
167,2021-10-15,孤儿药仍在临床阶段 “生长茅”长春高新重挫8%,第一财经
168,2021-10-13,中泰证券：将于2021年10月29日披露三季报,每日经济新闻
169,2021-10-13,巨峰股份：中泰证券将为公司提供做市报价服务,同壁财经
170,2021-10-12,开足马力备战北交所！券商加快新三板业务布局，面对历史性机遇，如何排兵布阵？,中证报
171,2021-10-11,中泰证券：公司涉及多起诉讼 诉讼纠纷,Wind
172,2021-10-10,"""海尔系""有屋智能拟IPO，收入高度依赖房地产 | IPO观察",第一财经
173,2021-10-08,宏力能源未按规定披露年报收警示函 主办券商中泰证券 延期披露,中国经济网
174,2021-10-08,中泰证券：公司没有与华宝证券整合计划,每日经济新闻
175,2021-10-08,省地方金融监管局携手山东证监局中泰证券 北交所上,大众网
176,2021-09-30,白云电器：中泰证券研究所、天风证券研究所等6家机构于9月29日调研我司,证券之星
177,2021-09-30,中泰证券今日大宗交易成交117万股，成交价8.67元折价9.5%,Wind
178,2021-09-30,"中泰证券现1笔大宗交易 共成交1,014.39万元",新浪
179,2021-09-30,中泰证券：发挥业务优势 服务创新型中小企业,中证网
180,2021-09-30,携手资本市场赋能鲁企成长 山东举办北交所上市专题培训会,上证报
181,2021-09-30,山东企业北交所上市专题培训会成功举办,证券时报网
182,2021-09-29,A股共发生106宗大宗交易成交24.67亿元（9月29日）,Wind
183,2021-09-29,"中泰证券现1笔大宗交易 共成交1,660.56万元",新浪
184,2021-09-29,中泰证券今日大宗交易成交187万股，成交价8.88元折价7.79%,Wind
185,2021-09-29,新五丰：中泰证券于9月15日调研我司,证券之星
186,2021-09-29,塞力医疗：高盛汇金、融和诚投资等12家机构于9月16日调研我司,证券之星
187,2021-09-28,中泰证券：公司积极响应国家设立北京证券交易所的重要战略部署，高效推动北交所相关业务,每日经济新闻
188,2021-09-28,"中泰证券现2笔大宗交易 共成交6,433.95万元",新浪
189,2021-09-28,中泰证券今日大宗交易成交727万股，成交价8.85元折价10.33%,Wind
190,2021-09-28,【盛·严选】慢而行远，基金投资的下一个长期主题在哪里？,新浪
191,2021-09-28,广东依顿电子科技股份有限公司简式权益变动报告书,证券时报
192,2021-09-27,"中泰证券现1笔大宗交易 共成交2,588.30万元",新浪
193,2021-09-27,海油发展：中泰证券于9月18日调研我司,证券之星
194,2021-09-26,我武生物：中泰证券、金友创智等15家机构于9月24日调研我司,证券之星
195,2021-09-24,云海金属：中泰证券、季胜投资等3家机构于9月24日调研我司,证券之星
196,2021-09-23,万华化学跌3.36% 安信证券中泰证券高点喊买入,中国经济网
197,2021-09-23,中泰证券：公司全资子公司中泰创业投资（深圳）有限公司持有维远股份上市前2.42%的股份,每日经济新闻
198,2021-09-17,中泰证券(600918.SH)：发行次级公司债券获得证监会注册批复,格隆汇
199,2021-09-17,中泰证券(600918.SH)向专业投资者公开发行次级公司债券获中国证监会注册批复,智通财经
200,2021-09-17,日发精机：中泰证券于9月16日调研我司,证券之星
201,2021-09-15,唐人神：华泰证券、中泰证券等3家机构于9月14日调研我司,证券之星
202,2021-09-15,8月宏观点评|鲸平台智库专家、中泰证券研究所首席分析师杨畅：工业生产短期仍然平稳,鲸平台
203,2021-09-14,川发龙蟒：中泰证券、合创友量等8家机构于9月14日调研我司,证券之星
204,2021-09-14,"拟三板转A,唐山华熠携手中泰证券计划首次公开发行股票并上市",资本邦
205,2021-09-13,独家|信达证券或迎新总裁，中泰证券副总刘珂滨离职后下一站确定，冲击IPO路上信达高管变动颇频繁 董监高成员变化,财联社
206,2021-09-11,中泰证券又见人事变动，分管投行副总从不再分管到最终辞任，姜天坊、阎鹏均为热门人选，谁将胜出 董监高成员变化,财联社
207,2021-09-10,中泰证券(600918.SH)副总经理刘珂滨辞职 董监高成员变化,智通财经
208,2021-09-10,中泰证券：刘珂滨辞去公司副总经理职务 董监高成员变化,Wind
209,2021-09-10,中泰证券(600918)：自营大增叠加投行回暖助推业绩提速 ROE创近5年新高,新浪
210,2021-09-10,中泰证券副总经理刘珂滨因个人原因辞任 董监高成员变化,北京商报
211,2021-09-08,延安必康：平安证券股份有限公司、中泰证券股份有限公司等4家机构于9月7日调研我司,证券之星
212,2021-09-08,和晶科技：中泰证券股份有限公司于9月7日调研我司,证券之星
213,2021-09-07,青岛银行：浙商证券、中泰证券等13家机构于9月3日调研我司,证券之星
214,2021-09-07,金域医学跌3.10% 中泰证券浙商证券西部证券高点唱多,中国经济网
215,2021-09-06,中泰证券累计新三板推荐挂牌企业556家,挖贝网
216,2021-09-03,景嘉微：东吴证券、中泰证券等17家机构于8月30日调研我司,证券之星
217,2021-09-03,长盛轴承：中泰证券、华夏基金等16家机构于9月2日调研我司,证券之星
218,2021-09-03,北京证券交易所要来了，这些板块及个股或成大赢家,第一财经
219,2021-09-03,陈必昌会见中泰证券、省新动能基金公司客人,新浪
220,2021-09-02,苏州固锝：中泰证券研究所、中海基金等31家机构于9月1日调研我司,金融界
221,2021-09-02,中泰证券上半年营收净利均增2成 员工薪酬总额增34%,中国经济网
222,2021-09-01,南微医学：兴业证券、中泰证券等119家机构于8月26日调研我司,中金在线
223,2021-09-01,中泰证券：年初至今公司共保荐8家企业IPO,Wind
224,2021-08-31,剑桥科技：中泰证券、招商证券等16家机构于8月25日调研我司,证券之星
225,2021-08-31,晶丰明源：中泰证券、太保人寿等8家机构于8月23日调研我司,证券之星
226,2021-08-31,韦尔股份跌9.39% 中泰证券昨日刚喊买入,中国经济网
227,2021-08-30,浩洋股份：中泰证券、观富资产等25家机构于8月29日调研我司,证券之星
228,2021-08-30,中泰证券首席经济学家李迅雷：迈向共同富裕应促进人口流动并完善收入分配机制,每日经济新闻
229,2021-08-30,天宇股份：浙商证券、中泰证券等38家机构于8月27日调研我司,证券之星
230,2021-08-30,冀中能源：中泰证券、半夏投资等8家机构于8月27日调研我司,证券之星
231,2021-08-30,张家港行：中泰证券、国信证券等16家机构于8月26日调研我司,证券之星
232,2021-08-30,中泰证券2021年上半年实现净利润17.46亿元，同比增长23.87%,经济观察网
233,2021-08-30,汤姆猫：银河基金、中泰证券资管等54家机构于8月29日调研我司,证券之星
234,2021-08-28,信安世纪：中泰证券于8月12日调研我司,证券之星
235,2021-08-28,莱美药业：长城证券股份有限公司、中泰证券股份有限公司等10家机构于8月26日调研我司,证券之星
236,2021-08-28,湘佳股份：中泰证券、中信证券等2家机构于8月27日调研我司,证券之星
237,2021-08-28,中泰证券上半年业绩稳步增长 投行业务多项指标创历史最佳,上证报
238,2021-08-27,中泰证券：辞任副总经理后，张晖仍在公司担任董事会秘书职务 董监高成员变化,每日经济新闻
239,2021-08-27,晨光生物：中泰证券、前海开源基金等7家机构于8月25日调研我司,证券之星
240,2021-08-27,中泰证券：综合金融服务能力全面提升 助力上半年业绩增长超两成,证券时报网
241,2021-08-27,中泰证券(600918.SH)张晖辞去副总经理职务 董监高成员变化,智通财经
242,2021-08-27,中泰证券：三大业务稳步增长 上半年净利同比增长22.99%,中证网
243,2021-08-27,中泰证券(600918.SH)半年度归母净利同比增长22.99%至17.01亿元,智通财经
244,2021-08-27,中泰证券上半年净利同比增长22.99% 区域突破战略渐次落地,证券日报网
245,2021-08-27,中泰证券：上半年净利润同比增长22.99%,Wind
246,2021-08-27,中泰证券：上半年净利润17.01亿元 同比增22.99%,e公司
247,2021-08-27,中泰证券：副总经理辞职,Wind
248,2021-08-25,联合光电：中泰证券、诚盛投资等46家机构于8月24日调研我司,证券之星
249,2021-08-20,恒立液压跌8.38% 中金公司中泰证券高点唱多,中国经济网
250,2021-08-19,多家券商直播黄金档上“正面交锋”！内容是王道，台上一小时，台下多年功，持续考验券商运营能力,财联社
251,2021-08-18,中泰证券今日大宗交易成交750万股，成交价8.7元折价15.94%,Wind
252,2021-08-18,中泰证券(600918.SH)董事会批准试点开展公募基金投资顾问业务,格隆汇
253,2021-08-18,中泰证券股价涨6.2% 现报10.26元,乐居财经
254,2021-08-18,中泰证券与济南市政府签署战略合作协议,中证网
255,2021-08-17,“中泰量化30”7个月爆卖100亿，中泰证券财富管理切入量化私募细分赛道，具体打法有哪些？,证券之星
256,2021-08-17,万华化学跌3% 安信证券中泰证券高点喊买,中国经济网
257,2021-08-16,调整组织架构，多家券商不约而同主打机构业务这张牌，国泰君安、兴业、中泰等各有何新打法,财联社
258,2021-08-15,中泰证券收警示函 受托管理福建福晟债券项目未尽责 金融监管处罚,中国经济网
259,2021-08-14,中泰证券苏晨：如何发现下一个万亿市值的公司？,网易
260,2021-08-13,中泰证券股份有限公司 收购报告书摘要,证券时报
261,2021-08-12,骏发生物信披违规实控人收警示函 主办券商为中泰证券 关联方问题,中国经济网
262,2021-08-12,中泰证券股价涨6.8% 现报10.07元,乐居财经
263,2021-08-12,中泰证券欧派家居买入评级，Q2收入高增，品类融合发展,每日经济新闻
264,2021-08-11,一线城市也撤网点！年内41家营业部撤销，多家头部券商负增长，财富管理下做“数量减法，价值加法”,财联社
265,2021-08-11,中泰证券(600918.SH)股东济钢集团拟无偿划转3.52亿股至莱钢集团,智通财经
266,2021-08-11,中泰证券(600918.SH)：济钢集团拟将所持5.05%股份无偿划转至莱钢集团 资产异常,格隆汇
267,2021-08-09,中泰证券：公司通过子公司持有信达证券1.4亿股，占比4.8%,Wind
268,2021-08-05,90笔，1570亿，上半年国内大宗投资透露出这几个信号,搜狐
269,2021-08-04,瞰鉴鲁股：板块总市值暴跌1624亿 千亿市值公司缩减至六家 连续下跌,每日经济新闻
270,2021-08-03,中泰证券大宗交易成交880.00万股 成交额7515.20万元,中泰证券
271,2021-08-03,"中泰证券现1笔大宗交易 共成交7,515.20万元",新浪
272,2021-08-03,中泰证券今日大宗交易成交880万股，成交价8.54元折价8.66%,Wind
273,2021-08-03,山东区域股市周报：板块总市值跌1624亿 兖州煤业挤进板块8强,每日经济新闻
274,2021-08-02,中泰证券今日大宗交易成交1230万股，成交价8.22元折价13.29%,Wind
275,2021-08-02,绿地外滩中心：赋能区域产业提档升级 助力上海国际金融中心建设,中国经营报
276,2021-08-02,2021年证券公司分类结果公布 引导提高风险管理有效性,中国经营报
277,2021-07-30,胡增永履新中泰证券副总经理一职,北京商报
278,2021-07-30,"中泰证券现1笔大宗交易 共成交13,880.70万元",新浪
279,2021-07-30,中泰证券今日大宗交易成交1590万股，成交价8.73元折价4.38%,Wind
280,2021-07-30,中泰证券(600918.SH)聘任胡增永为副总经理,智通财经
281,2021-07-30,【行情】证券板块走弱，中原证券跌超7%，中泰证券、华鑫股份、国盛金控跟跌,金十数据
282,2021-07-30,期货交易所牵手券商搭建平台 提升核心业务软件系统测试质量,中证网
283,2021-07-29,大商所飞泰公司与中泰证券签署战略合作协议,期货日报网
284,2021-07-29,"中泰证券现1笔大宗交易 共成交14,601.60万元",新浪
285,2021-07-29,中泰证券今日大宗交易成交1690万股，成交价8.64元折价10.84%,Wind
286,2021-07-29,两大头部券商行动了！中信捐赠1300万领衔，中金800万同行动，5家合计捐2900万，全行业丰富手段精准救助,财联社
287,2021-07-29,两大头部券商行动了！中信捐赠1300万领衔，中金800万同行动，6家合计捐3500万，全行业丰富手段精准救助,证券之星
288,2021-07-28,"中泰证券现1笔大宗交易 共成交13,663.30万元",新浪
289,2021-07-28,中泰证券今日大宗交易成交1490万股，成交价9.17元折价4.48%,Wind
290,2021-07-28,万家基金股权变局：高管层梦碎了一地,网易
291,2021-07-23,中泰证券：近3个交易日上涨21.04%,每日经济新闻
292,2021-07-23,中泰证券(600918.SH)股价异动 不存在未披露的重大事项,智通财经
293,2021-07-23,中泰证券龙虎榜数据（7月23日）,Wind
294,2021-07-23,中泰证券(600918.SH)：完成发行25亿元第二期短期融资券,格隆汇
295,2021-07-23,猛！这只新股上市首日大涨676%，机构狂买！,21世纪经济报道
296,2021-07-23,龙虎榜：中泰证券两连涨停 两营业部卖出超3亿元,e公司
