,2021-12-28,江西铜业：拟8360万元转让纳米克热电95%股权 提升公司整体资产质量,发布易
123,2021-07-16,江铜将新增10万吨铜箔及22万吨铜材项目,长江有色
124,2021-07-16,【铜箔周报】锂电铜箔龙头企业盈利有望维持高位,中国电池网
125,2021-07-16,江西铜业拟投资128亿元建设三个项目 加码锂电铜箔等业务,上证报
126,2021-07-16,江西铜业高开3%，拟128亿元投建材料项目,Wind
127,2021-07-16,A股早报2021年7月16日星期五,Wind
128,2021-07-16,江西铜业(00358.HK)拟投资建设年产10万吨锂电铜箔、22万吨铜杆及3万吨铸造材料项目,财华社
129,2021-07-16,【中证盘前】碳排放权交易今日开市！深圳赛格大厦将拆除桅杆；药明康德上半年净利增逾五成；江西铜业拟128亿投建三大项目,中证报
130,2021-07-15,晚间重要公告2021年7月15日星期四,Wind
131,2021-07-15,公告精选：药明康德上半年净利同比预增逾五成；江西铜业拟128亿元投建锂电铜箔等项目,e公司
132,2021-07-15,晚间公告｜7月15日这些公告有看头,第一财经
133,2021-07-15,江西铜业(600362.SH)拟128亿元投建年产10万吨锂电铜箔等项目,智通财经
134,2021-07-15,江西铜业(600362.SH)：拟投建年产10万吨锂电铜箔、22万吨铜杆及3万吨铸造材料项目,格隆汇
135,2021-07-15,江西铜业：拟128亿元投建年产10万吨锂电铜箔等三项目,Wind
136,2021-07-14,ATFX：江西铜业上半年业绩预喜，将继续受惠于宏观及产业利好,金融界
137,2021-07-14,有色金属周报：工业金属维持震荡 看好钴锂Q3表现,新浪
138,2021-07-13,江西区域股市周报：4亿融资买入赣锋锂业 正邦科技跌出板块市值3强,每日经济新闻
139,2021-07-12,江西铜业：公司目前没有稀土业务,每日经济新闻
140,2021-07-12,江西铜业(600362.SH)于7月20日每股派发现金红利0.1元,智通财经
141,2021-07-12,江西铜业上半年净利润增加超三倍 主产品价格上涨推动业绩,上海有色
142,2021-07-12,金属周期品高频数据周报：需求回落、压产预期升温 吨钢期货主力合约利润快速升至1025元,光大证券
143,2021-07-12,瑞信：上调江西铜业AH股目标价，评级升至中性,格隆汇
144,2021-07-12,瑞信：江西铜业(00358)21H1业绩预告超预期 目标价微升至18.6港元,智通财经
145,2021-07-12,瑞信：将江西铜业H股评级上调至中性,Wind
146,2021-07-12,港股有色股走强，江西铜业涨超7%,Wind
147,2021-07-12,产品价格大幅上升 江西铜业上半年净利预增301%-331%,上证报
148,2021-07-12,上市公司正负面新闻2021年7月12日星期一,Wind
149,2021-07-11,锂电产业链上市公司37家中报预喜！订单饱满助力业绩高燃,上海有色
150,2021-07-11,江西铜业(600362.SH)半年度预盈29.9亿-32.14亿元 同比增加301%-331%,格隆汇
151,2021-07-10,上市公司正负面新闻2021年7月10日星期六,Wind
152,2021-07-09,智通港股公告精选︱(7.9) 优趣汇控股公开发售获25.45倍认购 江西铜业上半年股东应占利润预增301%至331%,智通财经
153,2021-07-09,江西铜业上半年净利润预增301%-331%,上证报
154,2021-07-09,晚间重要公告2021年7月9日星期五,Wind
155,2021-07-09,江西铜业：上半年预计净利润同比增长301.0%~331.0%,Wind
156,2021-07-09,前瞻！江西铜业：预计2021年上半年净利润为29.90亿元~32.14亿元,每日经济新闻
157,2021-07-09,江西铜业(600362.SH)预计半年度归母净利同比增加301%～331%,智通财经
158,2021-07-09,江西铜业：上半年净利同比预增301%-331%,财联社
159,2021-07-09,A股收盘综述：两市下探回升小幅收跌，锂电产业链涨势扩散,Wind
160,2021-07-09,【行情】有色金属板块全线走强，北方稀土午后拉升触板，株冶集团、广晟有色、厦门钨业、西部矿业、宏达股份等此前涨停，章源钨业、五矿稀土、盛和资源、江西铜业、中色股份等涨逾6%,金十数据
161,2021-07-09,基金跌上热搜，芯片白酒重挫，10倍大牛股闪崩,Wind
162,2021-07-09,A股午盘综述：芯片回调拖累创业板指，稀土、锂矿携手大涨,Wind
163,2021-07-09,有色板块全线发力，有色铜、铝集体转暖,Wind
164,2021-07-07,有色金属周报：工业金属延续震荡 钴锂价格持续向好,新浪
165,2021-07-06,资金流向分析,新浪
166,2021-07-03,江西铜业(00358.HK)拟为子公司诉讼拟作坏账准备 诉讼纠纷,财华社
167,2021-07-02,江西铜业(600362.SH)公开发行公司债获中国证监会注册批复,智通财经
168,2021-07-02,江西铜业(600362.SH)：发行公司债获证监会注册批复,格隆汇
169,2021-06-25,恒指收涨1.4%站上29000点，科技龙头股强势,Wind
170,2021-06-25,港股有色股卷土重来，中国铝业涨超8%,Wind
171,2021-06-25,有色金属板块延续反弹 洛阳钼业及江西铜业均涨逾5%,新浪
172,2021-06-25,港股异动 | 有色金属板块延续反弹 洛阳钼业(03993)、江西铜业(00358)均涨超5%,智通财经
173,2021-06-24,江西区域股市周报：江铃汽车进入板块市值10强 1亿融资买入正邦科技,每日经济新闻
174,2021-06-21,金属周期品高频数据周：基建、地产新开工、工业品三大链条主要商品量价利齐降,光大证券
175,2021-06-20,有色金属行业周报：美联储转鹰+抛储落地 有色板块整体回调,华安证券
176,2021-06-19,A股版图十年大变迁,Wind
177,2021-06-16,【天风Morning Call】晨会集萃20210616,天风研究
178,2021-06-16,【天风金属新材料杨诚笑团队】20210615|有色金属：卡莫阿-卡库拉铜矿建成投产，重塑世界矿产铜格局,笑看有色
179,2021-06-15,恒指弱势震荡收跌0.71%，特步国际冲高回落涨逾20%,Wind
180,2021-06-15,铜矿股走弱 中国有色矿业跌近6%江西铜业跌超4%,新浪
181,2021-06-15,A股午盘综述：上证指数下跌0.9%；金融、资源股全线走低,Wind
182,2021-06-15,华安证券--有色金属行业周报：基本面支撑+抛储落地，铝价走势偏强【行业研究】,金融界股吧
183,2021-06-15,江西铜业跌4.1%，创近1个月新低 连续下跌,中新经纬
184,2021-06-15,有色金属行业研究周报：卡莫阿-卡库拉铜矿建成投产 重塑世界矿产铜格局,新浪
185,2021-06-12,行业观察丨铜市场供应依旧偏紧业内人士：企业订单饱满，年内铜价至少维持50000元/吨以上,财联社
186,2021-06-11,江西铜业股东大会确认派发现金3亿元,中国有色
187,2021-06-08,金属周期品高频数据周报：地产竣工链两类商品价格创八年新高 乘用车两项产销指标创五年同期最低,光大证券
188,2021-06-07,东兴金属：通胀计价将推升周期类资产再配置,新浪
189,2021-06-07,花旗：江西铜业降至中性评级 目标价降至18.7港元 投资评级恶化,新浪
190,2021-06-07,花旗：下调江西铜业(00358)今明年盈利预测 目标价微降至18.7港元 机构下调估值,智通财经
191,2021-06-07,有色金属行业周报：云南限电扰动犹存 铝市维持震荡,华安证券
192,2021-06-04,飞南资源信息披露疑似造假，实控人涉嫌行贿125万死亡事故未披露 其他违规处罚,凤凰网
193,2021-06-04,解盘：超百亿资金流入，锂电、储能、半导体、IGBT略涨,Wind
194,2021-06-03,董秘呢？中国中期五年多空缺 交易所催了四遍也没用,上证报
195,2021-06-01,固定收益专题：如何把握当前周期行业产业债投资机会？,新浪
196,2021-05-31,IIGF新闻 | 江西铜业股份有限公司发布2020年环境、社会及管治报告 中财大绿金院提供专业支持,中央财经大学绿色金融国际研究院
197,2021-05-28,解盘：百亿资金流入，电池、稀有金属、新能源汽车领涨,Wind
198,2021-05-27,港股盘前必读：网易拟分拆网易云音乐在港交所主板上市,Wind
199,2021-05-26,江西铜业遭Schroders Plc减持465.5万股 减持股份,新浪
200,2021-05-26,Schroders Plc减持江西铜业(00358)465.5万股，每股作价17.55港元 减持股份,智通财经
201,2021-05-26,【天风Morning Call】晨会集萃20210526,天风研究
202,2021-05-25,有色金属行业报告：锂价上涨进入第三阶段-氢氧化锂 云南限电有望加码铝盈利弹性,新浪
203,2021-05-25,有色金属行业：铜：短期面临调整压力 中长期牛市格局不改,新浪
204,2021-05-24,锂盐需求增长库存下降，锂价有望继续上涨,中信建投证券研究
205,2021-05-20,恒指收跌0.5%：周期股大幅回落，电子烟概念活跃,Wind
206,2021-05-20,"【行情】受商品期货大跌影响，钢铁、煤炭、有色等周期股全线下挫，金岭矿业跌停，首钢股份、海南矿业、八一钢铁、山西焦化、江西铜业、锡业股份等个股均跌超6%
连续下跌",金十数据
207,2021-05-19,江西铜业现1笔大宗交易 共成交242.25万元,新浪
208,2021-05-19,江西铜业今日大宗交易成交9.69万股，成交价25.0元折价6.26%,Wind
209,2021-05-19,江西铜业“福布斯2000强”排名前移82位,金瑞期货
210,2021-05-18,Schroders Plc减持江西铜业(00358)479.1万股，每股作价20.74港元 减持股份,智通财经
211,2021-05-18,江西铜业：铜价上涨对公司自产矿效益产生直接增利影响,Wind
212,2021-05-17,有色金属行业周度聚焦：铜价创近十年新高 关注铜铝、高端制造板块,新浪
213,2021-05-17,江西铜业：铜价上涨对公司自产矿效益产生直接增利影响,e公司
214,2021-05-15,江西区域股市周报：21家机构调研甘源食品 1934万融资买入洪都航空,每日经济新闻
215,2021-05-14,[路演]江西铜业：一季度业绩大增受益于主产品价格上升,全景网
216,2021-05-14,瑞信：升江西铜业(00358)目标价5.9%至18港元 评级降至“跑输大市” 投资评级恶化,智通财经
217,2021-05-13,恒指收跌1.81%，科技、周期股重拾跌势,Wind
218,2021-05-13,什么情况？A股中药罕见集体爆发，有股直线拉20%,Wind
219,2021-05-13,有色股跟跌 江西铜业、紫金矿业、洛阳钼业集体跌超4%,新浪
220,2021-05-13,A股融资融券日报：两融余额增加44.12亿元（5月12日）,Wind
221,2021-05-12,融资客青睐6股，敏芯股份买入占比高达56.01%,Wind
222,2021-05-12,有色金属行业报告：金价反弹 铜铝有望再创新高 看好盈利高增持续,新浪
223,2021-05-11,5月11日晚间重要行业研究汇总(附股),中金在线
224,2021-05-11,恒指放量收跌2.03%，科技、周期股领跌,Wind
225,2021-05-11,港股周期股跌幅扩大，鞍钢股份跌近11%,Wind
226,2021-05-11,有色股高位调整：江西铜业大跌8% 紫金矿业跌近7% 连续下跌,新浪
227,2021-05-11,港股周期股跌幅扩大，江西铜业跌超8%,Wind
228,2021-05-11,铜业股集体低开 中国有色矿业下跌7%江西铜业下跌5% 连续下跌,新浪
229,2021-05-11,每日理财观察：黑色系商品集体“疯狂”，交易所紧急出手降温,Wind
230,2021-05-11,港股盘前必读：吉利汽车发首4个月的总销量43.39万部同比增长约39%,Wind
231,2021-05-10,东兴金属：再通胀交易或已燃起 美元铜已创历史新高,新浪
232,2021-05-10,金融街下午茶2021年5月10日星期一,Wind
233,2021-05-10,华安证券--有色金属行业周报：供需驱动持续，铜、铝高位运行【行业研究】,金融界股吧
234,2021-05-10,恒指宽幅震荡收跌0.05%，周期、医药股强势上涨,Wind
235,2021-05-10,茅台5连跌：3个月最大损失9500亿，相当于五粮液总市值 连续下跌,e公司
236,2021-05-10,通胀无牛市？这份通胀预期下的投资指南请查收,Wind
237,2021-05-10,【行情】有色板块午后再掀涨停潮，国城矿业、神火股份拉升涨停，铜陵有色、赤峰黄金、云南铜业、江西铜业等跟涨,金十数据
238,2021-05-10,机构懵了！茅台5连跌，3个月跌没了一个五粮液,Wind
239,2021-05-10,茅台5连跌，失守1900元！3个月跌没了一个五粮液 连续下跌,中国财富网
240,2021-05-10,金价突破1800美元大关，A股概念股走势活跃，业内：后续反弹空间有限,第一财经
241,2021-05-10,华安证券--有色金属行业周报：下游需求复苏，有色板块普涨【行业研究】,金融界股吧
242,2021-05-07,江西铜业单季营收破千亿创新高年加工铜164万吨稳居国内之首,中国电池网
243,2021-05-07,八大券商主题策略：煤价涨涨涨 拥抱煤炭新时代！加仓的时候到了？,中金在线
244,2021-05-07,钢铁、煤炭、海运涨势如虹，现在还能上车吗？,Wind
245,2021-05-07,有色钢铁行业周策略(2021年第18周)：出口退税和进口关税政策调整落地 吨毛利或持续扩张,新浪
246,2021-05-06,牛人重仓｜顺周期股大面积入选，北向资金大力增持这只一季度绩优股！,每日经济新闻
247,2021-05-06,港股钢铁有色假期大涨，A股钢铁板块接棒，5月建议这样布局,第一财经
248,2021-05-06,去年A股公司营收占GDP总额52%，顺周期板块逆袭,Wind
249,2021-05-06,港股钢铁有色大涨，A股周期板块能否接棒,Wind
250,2021-05-05,【行情】港股有色股再度走高，洛阳钼业涨超5％，五矿资源涨4.6％，江西铜业、中国铝业涨超3％,金十数据
251,2021-05-05,全球周期闻风起舞 商品、股市已先行,Wind
252,2021-05-05,陆家嘴财经早餐2021年5月5日星期三,Wind
253,2021-05-04,罕见大爆发，3000亿巨头突然暴涨,Wind
254,2021-05-04,港股异动|铜板块大涨江西铜业(0358.HK)涨8%,格隆汇
255,2021-05-04,港股有色股走强，紫金矿业逾8%,Wind
256,2021-05-04,【行情】有色股今日爆发，紫金矿业大涨逾8%，中国铝业、江西铜业涨近6%，中国宏桥、五矿资源涨超5%，洛阳钼业涨超4%，招金矿业涨超3%,金十数据
257,2021-05-03,发生了什么？港股突然大跌，影视股狂跌！这家闪崩80%，这只却暴涨120%，更有千亿白马股大涨…,Wind
258,2021-05-03,【行情】港股有色金属板块盘中走低，赣锋锂业跌5%，中国黄金国际跌3.7%，洛阳钼业跌2.4%，江西铜业跌2.3%,金十数据
259,2021-05-01,有色行业2021年全国五一劳动奖和全国工人先锋号表彰名单,中国有色
260,2021-04-30,全世界都在涨价！巨头们也扛不住了，这些A股业绩爆发,Wind
261,2021-04-30,原材料紧缺基建项目“窝工”，大宗牛市蝴蝶效应显现,Wind
262,2021-04-29,江西铜业单季营收破千亿创新高 年加工铜164万吨稳居国内之首,长江商报
263,2021-04-29,中信建投大周期团队最新研究观点,中信建投证券研究
264,2021-04-28,江西铜业一季度营收过千亿净利同比增四成多,资本邦
265,2021-04-28,港股异动 | 有色金属板块全线走低 江西铜业(00358)跌超5% 中国铝业(02600)跌超4%,智通财经
266,2021-04-28,银河证券每日晨报,新浪
267,2021-04-28,港股有色股走弱，江西铜业跌超5%,Wind
268,2021-04-28,早评：沪指低开0.3% 贵州茅台开盘跌4%,网易
269,2021-04-28,江西铜业(00358-HK)第一季净利润升436.29%,财华社
270,2021-04-27,晚间重要公告2021年4月27日星期二,Wind
271,2021-04-27,江西铜业(600362.SH)一季度归母净利同比增长436%至8.59亿元,智通财经
272,2021-04-27,晚间公告丨4月27日这些公告有看头,第一财经
273,2021-04-27,江西铜业(600362.SH)一季度净利润升436.29%至8.59亿元,格隆汇
274,2021-04-27,江西铜业：一季度净利8.59亿元，同比增长436.29%,Wind
275,2021-04-27,恒指震荡收跌0.04%，药明生物跌逾6%,Wind
276,2021-04-27,江西铜业：公司目前生产线分两部分，一部分为常规铜箔，产能为1.5万吨/年；另一部分为锂电池用铜箔，产能同样为1.5万吨/年,每日经济新闻
277,2021-04-27,【异动股】有色金属板块拉升，众源新材(603527-CN)涨9.95%,财华社
278,2021-04-27,江西铜业：锂电池用铜箔年产能1.5万吨，现处于调试阶段,Wind
279,2021-04-27,江西铜业股份有限公司副总经理、金瑞期货监事陈羽年当选上海期货交易所第四届理事会会员理事,金瑞期货
280,2021-04-27,【银河策略曾万平】策略专题丨在业绩中寻找投资机会,中国银河证券研究
281,2021-04-26,有色金属行业点评报告：一季度行业业绩增速高点 二季度增速有望继续维持,新浪
282,2021-04-26,有色板块午后持续走强，云铝股份回封涨停,Wind
283,2021-04-26,A股策略专题：20210426在业绩中寻找投资机会,新浪
284,2021-04-25,【SMM专题】需求复苏+铜价大涨 一季度铜企业绩亮眼,上海有色
285,2021-04-23,【铜峰会】SMM：铜杆行业预迎新增量 产量年增速预计3%左右,上海有色
286,2021-04-22,6个月暴增50%，融券余额首破1500亿大关,Wind
287,2021-04-22,迈瑞医疗、迈为股份今年受险资调研热捧！2020年国寿持仓贵州茅台浮盈超30亿平安新进江西铜业,证券之星
288,2021-04-22,融券余额首破1500亿，券商火速布局抢占市场,Wind
289,2021-04-20,光大证券--金属行业高频数据周报：钢铜铝利润均在历史高位上继续攀升【行业研究】,金融界股吧
290,2021-04-20,有色板块午后转暖，章源钨业涨停,Wind
291,2021-04-20,东兴证券：复苏交易延续 坚定把握黄金资产配置机会,东兴证券
292,2021-04-20,盘前有料丨外汇局：保持对跨境资本流动的高频监测；特斯拉跌超3%…重要消息还有这些,证券时报
293,2021-04-19,4月19日晚间重要行业研究汇总(附股),中金在线
