,2021-12-31,长沙实现数字人民币税款缴纳全流程,中国金融新闻网
103,2021-12-16,金融支持大湾区建设新举措 交通银行在澳门成功发行粤澳合作主题债券,和讯
104,2021-12-16,手机银行数字竞争力排行榜TOP100 (2021年Q3),零壹财经
105,2021-12-16,交行在全省签订数字人民币钱包三方协议数量中占比78%,证券导报
106,2021-12-16,大商所非标仓单品种扩容，5家银行入局场外业务,Wind
107,2021-12-16,罕见！银行股权变更竟被否！这家央企入股一年意欲增持，银保监局：不符合条件,券商中国
108,2021-12-15,唐建伟：11月经济运行数据简评,新浪
109,2021-12-15,银行APP新战场,经济观察报
110,2021-12-15,惠誉：授予交通银行澳门分行拟发行长期高级无抵押票据“A(EXP)”预期评级,Wind
111,2021-12-15,交通银行率先落地数字人民币签约缴税业务,和讯
112,2021-12-15,交通银行与多方携手 助力创新型中小企业健康发展,中新网
113,2021-12-15,交通银行投放首笔“蔬菜e贷”,中新网
114,2021-12-15,交行四川省分行：筑牢金融支撑力 构建发展新格局,每日经济新闻
115,2021-12-15,保障性住房建设料提速，房地产投资有支撑,Wind
116,2021-12-14,信安世纪：公司已经中标交行河北省分行、河南省分行、广西分行等CIPS标准收发器项目,每日经济新闻
117,2021-12-14,建行交行等7家金融机构与上海市经济信息化委签署服务“专精特新”企业战略合作协议,上证报
118,2021-12-14,今晚10点半！云集太多“第一”，不可错过！,上证报
119,2021-12-14,禾迈股份：网上投资者弃购金额为3.63亿元,Wind
120,2021-12-14,交通银行现1笔大宗交易 共成交329.60万元,新浪
121,2021-12-14,交通银行今日大宗交易成交80万股，成交价4.12元折价9.25%,Wind
122,2021-12-14,交通银行：稳中求进 科学制定发展目标,中新网
123,2021-12-14,交通银行“科创先锋贷”为 深圳科创企业发展聚力赋能,中国网
124,2021-12-14,易方达汇智平衡养老目标三年持有期混合型基金中基金（FOF）开放日常申购和定期定额投资业务的公告,中证报
125,2021-12-13,深圳房贷利率下调，房贷每月可省一顿椰子鸡？多家银行回应,南都报
126,2021-12-13,"交通银行现1笔大宗交易 共成交1,103.33万元",新浪
127,2021-12-13,交通银行今日大宗交易成交241.43万股，成交价4.57元溢价0.0%,Wind
128,2021-12-13,交通银行丹东分行被罚 未按规定进行国际收支统计申报 金融监管处罚,中国经济网
129,2021-12-13,海南交行成为首家数字人民币缴税签约银行,海南在线
130,2021-12-13,金融活水涌向乡村,华声在线
131,2021-12-13,大行原处长疯狂套资2亿余，再揭债券丙类户尘封的面纱,Wind
132,2021-12-13,普惠金融 惠遍万家,经济日报
133,2021-12-13,银华基金管理股份有限公司 关于银华鑫锐灵活配置混合型 证券投资基金（LOF）增加代销机构的公告,证券日报
134,2021-12-13,政策利好持续释放，市场主体活力将加速迸发,Wind
135,2021-12-10,全国股转公司、北京证券交易所与十二家商业银行签署战略合作协议,Wind
136,2021-12-10,交通银行1个月关19家山西支行！投诉量居国有大型商业银行第一,中国经济网
137,2021-12-10,"交通银行现1笔大宗交易 共成交1,464.50万元",新浪
138,2021-12-10,交通银行今日大宗交易成交290万股，成交价5.05元溢价9.54%,Wind
139,2021-12-10,上海：推进保障性住房建设，房地产企业要聚焦主业稳慎经营,Wind
140,2021-12-10,新科技呼唤新金融，交通银行科技金融为科创企业护航添翼,澎湃新闻
141,2021-12-10,服务大湾区 广东交行打出金融“组合拳”,每经网
142,2021-12-10,第三季度交通银行平均每千营业网点投诉量居国有大型商业银行首位,中国经济网
143,2021-12-10,银保监会：三季度银行业个人贷款业务投诉同比增长38.6%,Wind
144,2021-12-10,11月居民中长期贷款增加，社融存量增速反弹,Wind
145,2021-12-10,业界共话票据市场新生态，中小企业融资成本显著降低,Wind
146,2021-12-09,双双升破6.35关口！ 人民币对美元汇率创近3年半新高,每日经济新闻
147,2021-12-09,"交通银行现1笔大宗交易 共成交1,318.20万元",新浪
148,2021-12-09,交通银行今日大宗交易成交260万股，成交价5.07元溢价9.5%,Wind
149,2021-12-09,唐建伟：CPI重回2时代 PPI冲高回落,新浪
150,2021-12-09,银行补充资本或加速！2张图一览永续债、二级资本债发行融资,Wind
151,2021-12-08,双双升破6.35关口！人民币对美元汇率创三年半新高，专家：凸显国际市场一致看好中国经济,每日经济新闻
152,2021-12-08,广东省商务厅与交通银行广东省分行 举行战略合作协议签约仪式,每经网
153,2021-12-08,围绕一个“碳”字 上海绿色金融朋友圈正不断扩大,解放日报
154,2021-12-08,交通银行牵头成立上海金融科技产业联盟数据产业化专委会,中证网
155,2021-12-08,科技赋能金融 金融支持科技 交通银行深化科技与金融的创新融合,大众证券报
156,2021-12-08,围绕这一个关键字 上海国际金融中心正持续发力,新浪
157,2021-12-08,条码互扫推进超预期，支付生态开放提速,Wind
158,2021-12-07,交通银行广西区分行：加快推进乡村振兴金融产品和服务创新,中国金融新闻网
159,2021-12-07,罕见！百亿私募大佬密集行动，传递什么信号？,Wind
160,2021-12-07,交通银行联合中央结算公司发布市场首支高等级长三角ESG主题债券指数,搜狐
161,2021-12-07,交通银行大连南关岭支行违法被罚 贷后管理不尽职 金融监管处罚,中国经济网
162,2021-12-07,A股融资融券日报：两融余额减少24.72亿元（12月6日）,Wind
163,2021-12-07,中证报头版：此次降准是货币政策常规操作，不意味着稳健的货币政策取向发生改变,Wind
164,2021-12-07,降准带来三利好，银行板块四连阳,Wind
165,2021-12-06,首日认购超30亿元，有渠道预售“半日售罄”！,Wind
166,2021-12-06,远东宏信：资产支持票据交易下出售基础资产,Wind
167,2021-12-06,交通银行唐建伟：此次降准恰逢其时,上证报
168,2021-12-06,交通银行启动长期不动个人银行账户清理,搜狐
169,2021-12-06,交行首席研究员唐建伟：后续货币政策有望更多地运用结构性工具,上证报
170,2021-12-06,交通银行现1笔大宗交易 共成交461.37万元,新浪
171,2021-12-06,交通银行今日大宗交易成交91万股，成交价5.07元溢价9.74%,Wind
172,2021-12-06,万亿资金如何舞动绿色经济新局？交通银行调研样本,证券时报
173,2021-12-06,因贷前调查不到位等，交通银行大连南关岭支行被罚30万 金融监管处罚,中华网
174,2021-12-06,交通银行探索普惠金融新模式 深耕金改“试验田”,财经网
175,2021-12-06,交通银行钱斌：数字化转型要成功推进，必须是“一把手工程”,国际金融报
176,2021-12-06,交通银行牵头成立数据产业化专委会，发布《隐私计算金融应用蓝皮书》，助力金融行业数据要素应用创新,和讯
177,2021-12-05,交行副行长钱斌：准确把握金融数字化转型四大方向,中证网
178,2021-12-05,交通银行党委委员、副行长钱斌：要从四个方面准确把握金融数字化转型新方向,上证报
179,2021-12-04,2021中国上市公司软实力巡礼：交通银行价值84.42亿元 排序第60名,搜狐
180,2021-12-04,交通银行发布《隐私计算金融应用蓝皮书》,中证网
181,2021-12-04,交行发布《隐私计算金融应用蓝皮书》，建言隐私计算发展方向,第一财经
182,2021-12-04,上海资本市场金融科技创新试点启动，金融科技中心建设再推重磅创新举措,Wind
183,2021-12-04,交通银行投放新疆首笔线上“棉机贷”,中证网
184,2021-12-04,恒大再爆债务违约风险，专家称属于个别现象 违约失信,Wind
185,2021-12-03,交行启动长期不动个人银行账户清理，将对其暂停部分金融服务,澎湃新闻
186,2021-12-03,交通银行对长期不动个人银行账户暂停部分金融服务功能,证券时报网
187,2021-12-03,交通银行：将对长期不动个人银行账户暂停部分金融服务功能,Wind
188,2021-12-03,商丘发展拟发行5亿元短期融资券，利率3.5%-5%,乐居财经
189,2021-12-03,探路“双碳”时代，交通银行湖北分行以金融之力赋能绿色发展,澎湃新闻
190,2021-12-03,一线论坛丨第三届上海金融科技国际论坛?交通银行分论坛,第一财经
191,2021-12-03,中金财富管理行业展望：万亿级市场面临战略窗口期,Wind
192,2021-12-03,中证报头版：明年消费对经济贡献率将稳中有升,Wind
193,2021-12-02,千亿私募景林“预定”爆款，10亿预约额度半日抢光,Wind
194,2021-12-02,支付宝与中国银联互联互通新进展,Wind
195,2021-12-02,买机票能用新支付方式了！ 湖南航空上线数字人民币支付服务,民航资源网
196,2021-12-02,监管“喊话”后房贷奏效了吗？调查22家银行：房贷真的松了！,Wind
197,2021-12-02,南方日报调查：广州市场房贷真的松了，有国有银行开始下调房贷利率,Wind
198,2021-12-01,银行行业周报：稳信贷 以普惠小微和绿色金融为支点,新浪
199,2021-12-01,交通银行现1笔大宗交易 共成交733.36万元,新浪
200,2021-12-01,交通银行今日大宗交易成交178万股，成交价4.12元折价10.43%,Wind
201,2021-12-01,交通银行投放新疆首笔线上“棉机贷” 助力国产高端农机发展,和讯
202,2021-12-01,交行大连分行：打造“商行+投行”特色金融服务,中国金融新闻网
203,2021-12-01,【异动股】交通银行(03328.HK)涨3.52%,财华社
204,2021-12-01,11月制造业PMI重上荣枯线，中国经济回归全面恢复态势,Wind
205,2021-12-01,制造业PMI重返扩张区间，经济景气水平回升,Wind
206,2021-11-30,信用债日报：信用债收益率多数上行，今年城投债发行5.1万亿创新高,Wind
207,2021-11-30,晚间要闻2021年11月30日星期二,Wind
208,2021-11-30,银行发力二维码互联互通 真香定律不减，场景化金融服务怎么玩？,北京商报
209,2021-11-30,快捷开户 便利民生 交通银行北京市分行优化账户服务，践行惠民初心,新华网
210,2021-11-30,专业于行 温暖在心｜跨越466公里 新华三助交通银行实现数据中心平滑迁移,Ofweek
211,2021-11-30,唐建伟：PMI价格类指数大幅回落预示PPI或已见顶,新浪
212,2021-11-30,发展绿色金融 助力高质量发展——交通银行湖北省分行的“绿色金融实践”,和讯
213,2021-11-30,精准发力重点领域 与区域发展“同频共振”,新快报
214,2021-11-30,交通银行山西省分行持续创新民营企业金融服务,证券时报
215,2021-11-30,交通银行山西省分行持续提升制造业企业服务能力,证券日报
216,2021-11-28,银行理财业务月报(2021年11月)：养老金融迎来发展机遇,新浪
217,2021-11-27,"多家国有大行又被罚！违规帮房企融资、经营贷流入房地产…还有股份行也""踩红线"" 其他违规处罚",券商中国
218,2021-11-27,又有重磅新品获批！首批同业存单指数基金来了,Wind
219,2021-11-26,海外信用评级汇总2021年11月26日星期五,Wind
220,2021-11-26,惠誉：确认交通银行长期外币发行人违约评级为“A”，展望“稳定”,Wind
221,2021-11-26,惠誉确认并撤销交通银行台北分行评级,Wind
222,2021-11-26,交通银行龙岩分行2宗违法被罚70万元 借贷搭售等 金融监管处罚,中国经济网
223,2021-11-26,交通银行新罗支行违法被罚80万 贷前调查不尽职等 金融监管处罚,中国经济网
224,2021-11-26,因借贷搭售；流动资金贷款管理不尽职，交通银行龙岩分行被罚70万 金融监管处罚,中华网
225,2021-11-26,因贷前调查不尽职，贷后管理不到位等，交通银行新罗支行被罚80万 金融监管处罚,中华网
226,2021-11-26,需求旺季来临，猪肉价格出现反弹,Wind
227,2021-11-26,“森”呼吸，相约崇明，赴一场生态之约,经济日报
228,2021-11-26,罗博特科：信达证券、交行施罗德等8家机构于11月23日调研我司,证券之星
229,2021-11-26,房贷真的回暖了？ 专家：可理解为精准调控,Wind
230,2021-11-26,年内逾2000家银行网点关停背后：一线城市银行网点年揽存10亿元才达收支平衡,证券日报
231,2021-11-25,交通银行参访团一行到访中信环境乡镇污水处理标杆项目,凤凰网
232,2021-11-25,"交通银行现1笔大宗交易 共成交1,459.50万元",新浪
233,2021-11-25,房贷放款最快1个月，真的回暖了？专家：精准调控,Wind
234,2021-11-25,交行三亚分行开展《海南自由贸易港社会信用条例》普法宣传活动,证券导报
235,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
236,2021-11-24,标准债券远期实物交割机制正式推出,Wind
237,2021-11-24,2021世界人工智能创新大赛 ——交通银行联手AIWIN，首设“手写字体OCR识别竞赛”,和讯
238,2021-11-24,基本面与股价缘何背离？银行股明年怎么走？,Wind
239,2021-11-23,聚焦“双碳”目标，推动绿色发展，交通银行用行动守护绿水青山,每日经济新闻
240,2021-11-23,银行机构微博影响力哪家强？兴业银行位居榜首,新浪
241,2021-11-23,交通银行现1笔大宗交易 共成交458.10万元,新浪
242,2021-11-23,鲍叔连任，美元大爆发、美股或狂欢到圣诞,Wind
243,2021-11-23,风险教育！监管重拳出击，一大批公司被立案调查,Wind
244,2021-11-23,倡导服务先行 交银人寿深化布局康养生态,金融界
245,2021-11-23,统统打1折！银行代销基金烽烟起，更有银行推出“0费率”,Wind
246,2021-11-23,银行发力财富管理，基金代销费率战“白热化”,Wind
247,2021-11-23,瞄准扩内需，投资消费再发力,Wind
248,2021-11-23,绿色发展提速：银行业积极探索谋求发展,新浪
249,2021-11-23,万亿资金如何舞动绿色经济新局？交通银行调研样本,证券时报网
250,2021-11-22,【银华基金】交易日报 2021-11-22,新浪
251,2021-11-22,调限额、代平仓、强制关闭业务功能：银行个人贵金属业务进一步受限 业务变化,搜狐
252,2021-11-22,"交通银行现1笔大宗交易 共成交1,497.74万元",新浪
253,2021-11-22,交通银行今日大宗交易成交322.79万股，成交价4.64元溢价0.22%,Wind
254,2021-11-22,因贷后管理不到位等，交通银行辽宁省分行被罚40万 金融监管处罚,中华网
255,2021-11-22,交银理财：居民财富管理市场潜力非常大,Wind
256,2021-11-22,交通银行发布重要公告，这些业务将进行调整,每日经济新闻
257,2021-11-21,又有银行放大招！基金申购狂打“1折”，渠道革命真的来了,Wind
258,2021-11-21,"又有银行放大招！基金申购狂打""1折""，渠道革命真的来了",中国基金报
259,2021-11-20,事关28万亿元大市场！银行理财资金投向哪里？,Wind
260,2021-11-20,交银理财董事长涂宏：银行理财境外投资比例还有较大提升空间,Wind
261,2021-11-20,交通银行业务总监、交银理财董事长涂宏：理财子公司逐渐成为银行理财市场主力军,中证网
262,2021-11-20,财富管理争抢客源：银行仍居基金代销C位,Wind
263,2021-11-20,同业存单周报：同业存单发行利率持续上行,新浪
264,2021-11-20,RMBS规模放量，房地产信贷环境有望改善,Wind
265,2021-11-19,交通银行辽宁省分行因个人经营性贷款流入房地产领域等多项违规被罚40万元 金融监管处罚,Wind
266,2021-11-19,金融街下午茶2021年11月19日星期五,Wind
267,2021-11-19,交通银行股份有限公司2021年第二期21碧水源CP002信用风险缓释凭证流通要素公告,上清所
268,2021-11-19,啥情况？交行调限贵金属业务，这两家也早有行动,中新经纬
269,2021-11-19,交通银行：逐步对部分个人业务签约客户关闭贵金属代理个人业务交易功能,新浪
270,2021-11-19,交行调整上海黄金交易所贵金属代理个人业务 关闭部分交易功能,证券时报网
271,2021-11-19,交通银行：调整满金宝业务,Wind
272,2021-11-19,交通银行：将自北京时间2021年12月26日起，逐步对符合一定条件的上海黄金交易所贵金属代理个人业务签约客户关闭贵金属代理个人业务交易功能,金十数据
273,2021-11-19,期市投资参考：港口动力煤市场有所好转市场报价稳中偏强,Wind
274,2021-11-19,800亿股份行惊现乌龙指，2800万打了水漂？银行股近9成破净,Wind
275,2021-11-19,春雪食品集团股份有限公司 关于使用部分暂时闲置募集资金进行现金管理的进展公告,证券时报
276,2021-11-19,全国菜价仍高位运行，猪肉价格连涨5周，CPI怎么走？,Wind
277,2021-11-19,银行股近9成破净，多家高管出手增持,Wind
278,2021-11-18,正元智慧：目前公司与中国银行、建设银行、交通银行、工商银行、农业银行等商业银行完成了数字人民币系统的对接和开发,每日经济新闻
279,2021-11-18,快讯 | 春雪食品合计购买1.26亿元理财产品,财经网
280,2021-11-18,交行副行长周万阜：数字化为普惠金融担负新使命、做出新作为提供新模式和方法,中国网
281,2021-11-18,金融活水入赣南 红土地上绘新篇 交通银行创新乡村振兴特色路,财经网
282,2021-11-18,非银行金融行业财富管理行业基金保有量点评：凭借服务能力 市场份额继续向头部平台集中,新浪
283,2021-11-18,中电金信实力中标国有大行咨询项目,美通社
284,2021-11-18,养老金融要把握重点需求,搜狐
285,2021-11-18,交通银行探索普惠金融新模式 深耕金改“试验田”,中证网
286,2021-11-17,金融衍生品专业委员会召开第五届委员会第三次会议,Wind
287,2021-11-17,中国短期融资券及中期票据信用分析周报,新浪
288,2021-11-17,21金融研究｜金融数字化转型新趋势： 维护数据安全、弥合数字鸿沟、拓展非金融场景,21世纪经济报道
289,2021-11-17,"交通银行现1笔大宗交易 共成交1,683.00万元",新浪
290,2021-11-17,交通银行今日大宗交易成交330万股，成交价5.1元溢价10.15%,Wind
291,2021-11-17,21金融研究｜中小企业金融服务成绩单： 大行重心转向覆盖“空白地带”，中小银行奋起直追,21世纪经济报道
292,2021-11-17,贷动小生意，服务大民生,搜狐
293,2021-11-17,交行联合中央结算公司发布市场首支高等级长三角ESG主题债券指数,经济日报
294,2021-11-16,交通银行现1笔大宗交易 共成交346.80万元,新浪
295,2021-11-16,8家全来了，首批北交所基金开卖！10问10答最全攻略,Wind
296,2021-11-16,交行济宁分行积极推进涉农企业获得信贷 助力乡村振兴,搜狐
297,2021-11-16,信贷资金违规流入房地产 交通银行连云港连云支行被罚35万元 金融监管处罚,中国网
298,2021-11-16,助他人申购债券牟利 原上海银监局干部王亚民及其兄双双获刑 董监高成员异常事件,经济观察报
299,2021-11-16,普惠金融深调研|广东银行业普惠金融发展驶入快车道,奥一网
300,2021-11-16,互联网平台攻势强，银行券商谋守土,Wind
301,2021-11-16,专家：房价维持回落态势，楼市信贷环境将继续改善,Wind
302,2021-11-16,10月多项宏观指标超预期回暖，经济增长韧性继续显现,Wind
303,2021-11-15,因势而谋 应势而动 顺势而为 交通银行积极探“碳”路绿色金融,中国网
304,2021-11-15,可转债发行规模创新高 河南债市复苏明显,证券日报网
305,2021-11-15,唐建伟：房企资金面紧张情况略有缓和,新浪
306,2021-11-15,唐建伟：短期经济运行企稳,新浪
307,2021-11-15,百年大行的晋级之路！三季度净利增幅创10年新高，四大特色业务板块打造差异化竞争新优势,新浪
308,2021-11-15,交通银行现1笔大宗交易 共成交154.21万元,新浪
309,2021-11-15,交通银行今日大宗交易成交31.73万股，成交价4.86元溢价4.29%,Wind
310,2021-11-15,云锡控股与交通银行云南省分行深化交流合作,中国有色
311,2021-11-15,华人运通获交行50亿元授信支持 助力打造新能源高端纯电车,上证报
312,2021-11-15,银行业总动员，服务专精特新各显神通,Wind
313,2021-11-14,一周热点 | 网曝特斯拉进军手机行业；Rivian创今年美股最大IPO纪录；苹果Apple Car高清渲染图 车门倒置,第一电动网
314,2021-11-13,信安世纪(688201)公司首次覆盖报告：数据安全守护人 数字货币护航者,新浪
315,2021-11-13,第二批公募REITs来了！这两大巨头喜提批文,Wind
316,2021-11-13,首批8只北交所基金正式获批，最快有望在下周二启动发行,Wind
317,2021-11-12,持续打造国产高端新能源纯电品牌 华人运通获交通银行上海市分行50亿元战略支持,证券日报网
318,2021-11-12,基金代销江湖竞争激烈！交行农行排名互换，这家平台保有量增426亿元,华夏时报
319,2021-11-12,华人运通控与交通银行达成战略合作 获50亿元战略支持,第一电动网
320,2021-11-12,华人运通高合汽车获交通银行50亿战略支持,盖世汽车
321,2021-11-12,华人运通获交通银行50亿元授信,第一电动网
322,2021-11-12,交通银行积极落实助企纾困 护航制造业小微企业发展,中国网
323,2021-11-12,交通银行云南省分行与云天化集团签署《加快乡村振兴合作框架协议》,云南经济日报
324,2021-11-12,新势力业绩不俗，基金代销江湖“变天”,Wind
325,2021-11-12,银行C位不变部分座次重排 基金代销混战再现,北京商报
326,2021-11-11,基金代销混战再现！银行仍居代销C位，部分保有规模略有回落 原因几何,北京商报
