,2021-12-31,万泰生物、华大基因、安图生物……谁是成长能力最强的体外诊断企业？,Ofweek
99,2021-09-03,QFII最新重仓股：4股股价两月涨超100%，更有8个交易日涨超150%,Wind
100,2021-09-02,私募大佬最新持股曝光！冯柳、邓晓峰500亿重仓这些票,Wind
101,2021-09-01,医药生物行业周报：医美行业强化监管 安徽省IVD集采结果公布,新浪
102,2021-09-01,医药与健康护理行业月报：智飞生物新冠疫苗III期数据优异 对变异株仍然有效,新浪
103,2021-09-01,私募大佬持仓出炉！冯柳、邓晓峰、葛卫东、裘国根、赵军等心水股有哪些,Wind
104,2021-08-29,周末影响A股十大事件来了！,Wind
105,2021-08-29,上市公司中报披露进入密集期，多位私募大佬最新持股浮出水面,Wind
106,2021-08-26,安图生物(603658.SH)子公司获“全自动化学发光免疫分析仪”医疗器械注册证,智通财经
107,2021-08-26,体外诊断行业前景可观新产业、安图生物、亚辉龙等企业加速布局技术创新,投资家
108,2021-08-25,安图生物：目前公司正在积极推进全自动核酸提纯及实时荧光PCR分析系统 AutoMolec 1600/3000在国际市场的销售工作,每日经济新闻
109,2021-08-25,直击安徽临床检验试剂集采现场：共13家企业分成两组进行谈判 罗氏、安图生物缺席,每日经济新闻
110,2021-08-25,安图生物：集采预期压制 业绩与股价持续背离,面包财经
111,2021-08-24,瑟瑟发抖？又要集采了，这些医药股涉相关业务（名单）,Wind
112,2021-08-24,私募新宠竟是“小而专”！冯柳、邓晓峰等持仓揭晓，最新买入这些股（名单）,证券时报
113,2021-08-24,私募新宠竟是“小而专”！冯柳、邓晓峰等买入这些股,Wind
114,2021-08-23,二季度QFII青睐医药医疗器械行业公司,Wind
115,2021-08-23,河南正研制开发自测型病毒快检试剂条，未来或能在家测新冠,Wind
116,2021-08-23,二季度QFII青睐 医药医疗器械行业公司,中国基金报
117,2021-08-22,"医疗板块遭""血洗""，60亿资金却悄悄抄底，好买点来了？",Wind
118,2021-08-21,医药行业安徽省临床检验试剂集中带量采购谈判议价方案点评：政策不改长期产业趋势,新浪
119,2021-08-20,跌停板解密：大单出逃，两类个股封上跌停！（8月20日）,Wind
120,2021-08-20,医药医疗重挫，医疗器械ETF午后跌超7％,Wind
121,2021-08-20,迈瑞医疗大跌超13% 安图生物跌停 消息称安徽开展临床检验试剂专项带量采购,格隆汇
122,2021-08-20,快讯：医药医疗股午后持续下行 安图生物、恒瑞医药等多股跌停,新浪
123,2021-08-20,【行情】医药医疗股午后持续下行，南微医学、惠泰医疗、恒瑞医药、安图生物、新产业、迈瑞医疗、信邦制药、药易购等多股跌停或跌超10%，万东医疗、翔宇医疗、鱼跃医疗、通策医疗等均大幅走低,金十数据
124,2021-08-20,每日理财观察：7月沪深两市日均交易量环比双增,Wind
125,2021-08-20,136股获券商买入评级，金能科技目标涨幅达115.80%,Wind
126,2021-08-20,安图生物(603658)：常规业务恢复趋势明显 分子诊断新业务蓄势待发,广发证券
127,2021-08-19,安图生物(603658)：业绩基本符合预期 疫情影响仍然存在,新浪
128,2021-08-19,安图生物2021 年中报点评：业绩基本符合我们预期，看好公司化学发光成长与平台化业务拓展！【东吴医药朱国广团队】,国广有话说
129,2021-08-19,安图生物(603658)：研发持续加大 核心业务高增长,新浪
130,2021-08-19,裘国根、邓晓峰、冯柳、林利军等私募大佬持仓动向,Wind
131,2021-08-19,快讯 | 安图生物2021半年报：上半年营业收入为16.78亿元，同比增加39.13%,财经网
132,2021-08-19,上半年安图生物净利增长超五成 股价下行难挡北向资金连续三季度加仓,中国经济网
133,2021-08-19,安图生物(603658)：疫情反复致二季度恢复放缓 化学发光有望带动公司全年业绩稳健增长,西南证券
134,2021-08-19,安图生物(603658)：上半年化学发光业务实现恢复性增长 进军分子诊断,新浪
135,2021-08-18,东吴证券维持安图生物买入评级：2021年中报业绩基本符合我们预期，看好公司化学发光成长与平台化业务拓展,每日经济新闻
136,2021-08-18,太平洋维持安图生物买入评级：新冠影响逐步减小，IVD平台化具备优势,每日经济新闻
137,2021-08-18,每日报告回放,新浪
138,2021-08-18,简评爱博医疗、安图生物、公牛集团,证券之星
139,2021-08-18,安图生物(603658)：业务迅速恢复 多款新品推出成长动力十足,国金证券股份有限公司
140,2021-08-18,茅台创新低，一批牛股砸出深坑！大消费板块怎么了,Wind
141,2021-08-18,安图生物(603658)半年报点评：Q2业绩进一步恢复 业务线向分子诊断拓展,新浪
142,2021-08-18,安图生物上半年净利润增长51% 上海研发中心正式运营,上证报
143,2021-08-18,A股异动 | 安图生物(603658.SH)涨6% 上半年净利同比增50.63%,格隆汇
144,2021-08-18,半年报解读|安图生物H1业绩增长五成 董秘：基本达到公司预期目标,财联社
145,2021-08-18,安图生物(603658)：业绩符合预期 化学发光试剂恢复高增长趋势,新浪
146,2021-08-17,安图生物上半年营收达16.78亿元,北京商报
147,2021-08-17,和讯曝财报|安图生物上半年营收净利双增 高瓴、高盛高位接盘再加仓,和讯
148,2021-08-17,和讯曝财报|安图生物上半年营收净利双增 高瓴、摩根大通、高盛等10机构高位接盘,和讯
149,2021-08-17,安图生物(603658.SH)上半年净利升50.63%至4.13亿元,格隆汇
150,2021-08-17,安图生物半年报：上半年净利4亿元 同比增51%,财联社
151,2021-08-17,安图生物：上半年净利润同比增长50.63%,Wind
152,2021-08-16,医药生物行业周报：医疗服务三问三答 何时会出现板块性机会？,新浪
153,2021-08-16,河南首台客车式核酸检测移动实验室投入使用,Wind
154,2021-08-15,普门科技(688389)：体外诊断与治疗康复双轮驱动 加速布局光电医美,新浪
155,2021-08-05,投资人视角｜药品临床综合评价发威，创新新药变革在即,E药经理人
156,2021-08-04,A股早报2021年8月4日星期三,Wind
157,2021-08-03,涨停板解密：资金抢入，医药股逆市现涨停潮！（8月3日）,Wind
158,2021-08-03,A股收盘综述：上证指数跌0.47%，热点题材尽数哑火,Wind
159,2021-07-31,医药行业周报：散点疫情偶发 寻找“脱敏”品种,西南证券
160,2021-07-28,安图生物：截至目前，暂未收到因水灾导致医院检测设备损坏的反馈 自然灾害,每日经济新闻
161,2021-07-28,安图生物：公司厂区附近无重大积水，对公司生产经营无明显影响,每日经济新闻
162,2021-07-27,医药生物行业简评报告：寻找估值和成长两相宜的细分板块,新浪
163,2021-07-23,安图生物今日大宗交易成交4.04万股，成交价63.1元溢价0.0%,Wind
164,2021-07-22,河南证监局研究部署防汛工作 地方上市公司积极参与社会救援,证券时报网
165,2021-07-22,部分上市药企受河南暴雨影响，多家企业捐资捐物驰援灾区,新京报
166,2021-07-22,安图生物(603658.SH)：取得1项医疗器械注册证,格隆汇
167,2021-07-22,创业板指数创6年新高，赶超上证已无悬念？,Wind
168,2021-07-21,郑州的31家上市公司，受暴雨影响几何？,财经杂志
169,2021-07-21,郑州暴雨：部分上市公司停电、停工 经营问题,新浪
170,2021-07-21,“药基”明星葛兰、赵蓓等二季度大举增仓这些一线医药公司！（附重仓股）,红周刊
171,2021-07-21,安图生物回复投资者问：公司已启动紧急应对措施 暴雨致出行交通一定程度上受影响,新浪
172,2021-07-21,驰援郑州：腾讯1亿，阿里1.5亿！A股公司紧急发声,Wind
173,2021-07-21,安图生物：公司厂区附近暂无重大积水目前生产经营正常,财联社
174,2021-07-21,郑州突遇罕见暴雨灾情 上市公司影响几何？最新回应,凤凰网
175,2021-07-21,安图生物：无法预测暴雨影响 目前生产经营正常,新浪
176,2021-07-21,罕见暴雨突袭郑州，河南省91家上市公司影响几何？多家公司独家回应,21世纪经济报道
177,2021-07-21,电报|安图生物：生产经营暂无影响已启动紧急措施,财联社
178,2021-07-21,医药行业2021年中报业绩前瞻：继续保持恢复性增长,新浪
179,2021-07-21,安图生物等三家上市公司：郑州暴雨冲击有限，生产活动正常，部分公司员工留宿,21世纪经济报道
180,2021-07-21,暴雨中的郑州上市药企：部分生产停工，生产损失确认中 经营问题,第一财经
181,2021-07-21,安图生物：暴雨未对公司的生产经营业务造成影响，目前生产一切正常,凤凰网
182,2021-07-21,郑州暴雨，12人死亡，90多家上市公司会受何影响,Wind
183,2021-07-20,安图生物今日大宗交易成交4.04万股，成交价67.45元溢价0.0%,Wind
184,2021-07-18,医药行业周报：中报预告落地 个股表现持续分化,西南证券
185,2021-07-17,医药与健康护理行业周报：中报预告相继披露 关注业绩高增长公司,新浪
186,2021-07-16,A股午盘综述：军工午前火力全开,Wind
187,2021-07-12,医药生物行业：十四五开启血制品新成长周期 重点推荐天坛生物、博雅生物等,新浪
188,2021-07-09,安图生物新冠检测剂获注册 一季度业绩大增 业绩低迷能否扭转？,电鳗快报
189,2021-07-08,安图生物一新冠病毒核酸检测试剂盒产品获得《医疗器械注册证》,上证报
190,2021-07-08,A股早报2021年7月8日星期四,Wind
191,2021-07-07,安图生物新冠核酸检测试剂盒取得医疗器械注册证,北京商报
192,2021-07-07,晚间重要公告2021年7月7日星期三,Wind
193,2021-07-07,安图生物新冠核酸检测试剂盒取得医疗器械注册证,北京商报网
194,2021-07-07,安图生物(603658.SH)：新冠肺炎核酸检测试剂盒获批上市,格隆汇
195,2021-07-07,安图生物(603658.SH)取得一项医疗器械注册证,智通财经
196,2021-07-07,安图生物：新冠核酸检测试剂盒取得医疗器械注册证,格隆汇
197,2021-07-07,北向资金加码成长主线，中小市值股票获青睐,Wind
198,2021-07-05,医药行业周报：2021年上半年白蛋白批签发同比下降28% 供需缺口持续扩大,新浪
199,2021-07-05,医药生物行业周报：全方位盘点上半年医药行业、细分领域、个股风云变幻,新浪
200,2021-07-05,医药行业每周医览药闻：关注结构性机会 把握高确定性,新浪
201,2021-07-04,CXO股价调整后是否再次上车机会？持续重点推荐药明康德、凯莱英等,国广有话说
202,2021-07-01,净利预增800倍，热景靠新冠检测又现夸张数据，“慢热型”终赶上“疫情红利”尾巴,经济观察报
203,2021-07-01,净利预增800倍，热景靠新冠检测又现夸张数据，“慢热型”终赶上“疫情红利”尾巴,经济观察网
204,2021-07-01,医药与健康护理行业月报：国内疫苗接种量高速增长 关注新冠疫苗出海机会,新浪
205,2021-07-01,医药生物行业月报：关注中报预期的投资机会,新浪
206,2021-07-01,投资策略报告：2021年7月金股组合,新浪
207,2021-06-28,安图生物：公司已有多项新冠检测产品获得CE证书,Wind
208,2021-06-25,安图生物收到4489.45万欧元Mobidiag股权出售款项 资产异常,上证报
209,2021-06-25,医药行业2021年半年度投资策略：医改新常态下 紧扣创新+消费投资主线,渤海证券
210,2021-06-24,安图生物：抗体抗原等原材料对外销售业务尚在起步阶段,Wind
211,2021-06-24,安图生物：目前公司拥有国家级创新平台2个，创新平台申报工作尚在进行中,Wind
212,2021-06-24,净赚约3489万欧元 安图生物出售参股公司芬兰Mobidiag Oy股权,证券日报网
213,2021-06-23,52亿！诊断巨头再收购,赛柏蓝器械
214,2021-06-23,安图生物大涨,新浪
215,2021-06-22,医药行业2021年半年报业绩前瞻：CXO、生物制品、创新器械、医疗服务有望持续高增长,西南证券
216,2021-06-21,医药生物行业周报：医疗服务会是下半年医药最强音么？强调重视康复医疗赛道,新浪
217,2021-06-20,景顺、高瓴等大佬集体浮亏超20%，明星器械龙头半年腰斩，发生了什么？,瞪羚社
218,2021-06-18,影像巨头51亿昨收Mobidiag，国内参股械企狂赚2亿！,器械之家
219,2021-06-17,安图生物：公司2020年应收账款较高主要系公司整体服务业务收入增长快,Wind
220,2021-06-17,安图生物：2020年度并未发生公司高管单独减持公司股票的情形,Wind
221,2021-06-17,安图生物：去年毛利率有所下降系因成本增加,Wind
222,2021-06-16,医药行业基本面强劲，估值全面提升，关注五条投资主线,国泰君安
223,2021-06-15,医药行业2021年6月投资月报：6月仍然是较好的窗口期 两条思路配置医药,西南证券
224,2021-06-13,医药与健康护理行业周报：鼻喷雾式/吸入型新冠疫苗正在申请紧急使用,新浪
225,2021-06-11,揭秘送转股 132只除权以来股价上涨,证券时报网
226,2021-06-10,安图生物：目前公司产品已进入国际市场，公司专门设置国际贸易与合作中心，负责国际市场销售工作,每日经济新闻
227,2021-06-10,安图生物：当前集中带量采购主要针对药品及医疗器械耗材，各省市尚无明确常规体外诊断产品的集采规划,每日经济新闻
228,2021-06-10,安图生物：目前，集采对公司的业务无影响,每日经济新闻
229,2021-06-10,129只送转股走出贴权走势,证券时报网
230,2021-06-09,[路演]安图生物：去年新冠相关产品实现国内收入约2500万元,全景网
231,2021-06-08,海通证券研究所早报,新浪
232,2021-06-07,北向资金净卖出额创近一个月新高，宁德时代遭大幅抛售超14亿元,Wind
233,2021-06-07,医药生物行业周报：如何从大品种价值理解前沿生物？,新浪
234,2021-06-07,医药与健康护理行业周报：广东地区疫情反复 核酸检测需求大增,新浪
235,2021-06-07,医药生物行业：新冠疫苗标的调整到位 重点推荐智飞生物、复星医药等,新浪
236,2021-06-03,安图生物(603658.SH)：二级子公司郑州标源取得医疗器械生产许可证,格隆汇
237,2021-06-02,6月2日晚间重要行业研究汇总(附股),中金在线
238,2021-06-02,【医药】三胎政策开放+老龄化加速，医药产业部结构升级持续推进――医药行业周报——中性,渤海证券研究
239,2021-06-01,医药与健康护理行业月报：国内疫情防控新阶段 跟进检测需求和疫苗接种情况,新浪
240,2021-05-31,医疗健康产业2021年下半年投资策略：百花齐放 关注疫情后时代的医药强势复苏,新浪
241,2021-05-31,北向资金再度大幅净买入超52亿元，东方雨虹净买入额创历史新高,Wind
242,2021-05-31,医药周报：骨修复材料市场增速近20% 人工材料为骨移植的新选择,新浪
243,2021-05-31,中信证券：医药投资进入了百花齐放的新时期,第一财经
244,2021-05-30,医药与健康护理行业周报：国内疫情防控新阶段 关注疫苗接种情况,新浪
245,2021-05-29,北上资金大举加仓，刷新多项历史纪录,Wind
246,2021-05-28,北向资金本周净买入额创纪录，美的集团获大幅净买入逾11亿元,Wind
247,2021-05-28,A股收盘综述：上证指数止步四连阳，锂电池概念爆发,Wind
248,2021-05-28,安图生物大跌 连续下跌,新浪
249,2021-05-26,【医药】集采规则与品类多样探索，处方外流再度提振――医药行业月报——看好,渤海证券研究
250,2021-05-26,财报寻宝丨国产化学发光和微生物诊断龙头企业安图生物（603658）,思宇医械观察
251,2021-05-25,医药生物行业双周报,新浪
252,2021-05-25,安图生物(603658.SH)子公司完成医疗器械生产许可证变更登记 关联方问题,智通财经
253,2021-05-24,医药行业每周医览药闻：全年业绩确定性强 长期看好院外零售快速多元化发展,新浪
254,2021-05-22,医药与健康护理行业周报：新股上市浪潮 关注板块价值机会,新浪
255,2021-05-21,填权行情提前打响！下周10家高送转，40家高派现,Wind
256,2021-05-21,5月21日晚间重要行业研究汇总(附股),中金在线
257,2021-05-21,医药生物行业2020年及2021年一季度业绩综述：2020年营收增速有所下降 2021Q1业绩大幅回升,新浪
258,2021-05-20,安图生物(603658.SH)2020年度权益分派10转3派8.5元 股权登记日为5月26日,格隆汇
259,2021-05-20,安图生物(603658.SH)于5月27日每股派发现金红利0.85元转增0.3股,智通财经
260,2021-05-20,我国器械消费仍有提升空间，机构建议关注这两类企业,第一财经
261,2021-05-19,【医药】政策扶持中医药出口，品牌中药有望获益――医药行业周报——看好,渤海证券研究
262,2021-05-17,"高瓴资本最新A股持仓标的,从行业来看，依然看好新能源、医药以及消费等领域",新浪
263,2021-05-17,医药周报：业绩空窗期 建议重点关注高壁垒好赛道估值合理个股,新浪
264,2021-05-16,周末证券|白酒医药大金融要买先看“性价比”,金融投资报
265,2021-05-15,核心资产板块呈现分化走势 逢低关注白酒、医药、大金融,金融投资报
266,2021-05-14,安图生物大涨,新浪
267,2021-05-13,安图生物取得医疗器械注册证 加速布局分子诊断领域,上证报
268,2021-05-12,A股早报2021年5月12日星期三,Wind
269,2021-05-12,医药行业2020年年报＆2021Q1季报小结及前瞻：业绩恢复强劲 高景气赛道表现亮眼,新浪
270,2021-05-11,华鑫证券：医药生物板块建议关注基本面稳健、估值相对合理的优质标的,证券时报网
271,2021-05-11,2021年医药行业5月策略报告：短期波动不改长期趋势 仍重点推荐疫苗等,新浪
272,2021-05-11,医药生物行业双周报,新浪
273,2021-05-10,安图生物(603658.SH)：全资子公司取得2项医疗器械注册证,格隆汇
274,2021-05-10,年涨34倍，HPV龙头万泰生物难以为继？,新浪
275,2021-05-09,高瓴资本和张磊，再次引爆VC/PE圈,新浪
276,2021-05-08,募资1160亿！高瓴补充弹药，这次瞄准哪些目标？,投资家
277,2021-05-08,下周1704亿市值限售股解禁，环比增加459.61% 解禁,Wind
278,2021-05-07,医疗器械板块2020&2021Q1总结：抗疫需求持续释放 医疗新基建带动新增长,新浪
279,2021-05-06,定增解禁第一天就放量大跌，外资和冯柳都在砸盘？ 解禁,Wind
280,2021-05-06,热景生物轰出6个20cm！利益面前，规则算逑？达晨系基金违规清仓减持 金融监管处罚,中金在线
281,2021-05-06,医药行业2020年年报及2021年一季报总结：Q1业绩复苏回暖 看好CXO、疫苗、创新器械和服务等高景气板块,西南证券
282,2021-05-06,海外策略｜海外“全中国组合”—2021年5月,中信证券研究
283,2021-05-05,私募操作路线图曝光了！,中国基金报
284,2021-05-05,一季度明星私募调仓全览：景林抄底上海机场，高瓴两笔定增浮亏！,智通财经
285,2021-05-03,顶流私募最新持仓曝光！冯柳、张磊、邓晓峰、葛卫东、杨东等全来了,Wind
286,2021-04-30,安图生物：2037.58万股限售股5月12日解禁 解禁,Wind
287,2021-04-30,晚间公告丨4月30日这些公告有看头,第一财经
288,2021-04-30,为保持IVD技术领先性 安图生物(603658.SH)控股股东拟投设生物医药产业投资基金,智通财经
289,2021-04-30,安图生物(603658.SH)：2037.576万股限售股5月12日解禁 解禁,格隆汇
290,2021-04-30,安图生物(603658.SH)：控股股东拟设立生物医药产业投资基金,格隆汇
291,2021-04-30,安图生物：同意控股股东设立产业基金投资IVD项目,e公司
292,2021-04-30,安图生物(603658.SH)：2037.58万股限售股于5月12日上市流通 解禁,智通财经
293,2021-04-30,医药“小阳春”行情渐入佳境 医药龙头股票有哪些？,至诚财经
294,2021-04-30,明星私募一季度调仓：冯柳现身25家公司持仓超300亿 高瓴礼仁新进安图生物、伊利,腾讯网
295,2021-04-30,一周机构评级：26股获扎堆推荐 18股看涨空间超20%,证券时报网
296,2021-04-30,顶流基金最新动向曝光：张坤看多苏泊尔 高瓴旗下私募新进伊利股份、华大基因、安图生物,每日经济新闻
297,2021-04-30,顶流基金最新动向！张坤看多这只股，高瓴旗下私募新进股票大曝光！,每日经济新闻
298,2021-04-30,年报收官 河南A股上市公司去年共营收6607亿元 其中1家过千亿,新浪
299,2021-04-29,高瓴旗下私募一季度投资动向曝光 减持长城汽车超210万股，新进伊利股份、华大基因、安图生物 减持股份,每日经济新闻
300,2021-04-29,高瓴旗下私募新进伊利股份、华大基因、安图生物 张坤看多苏泊尔,新浪
301,2021-04-29,【机构风向标】26股获机构高频力荐，18股上涨空间超20%,证券时报网
