,2021-12-31,海螺水泥：持续节能降耗管控 保持竞争比较优势,新浪
53,2021-12-21,22股获券商买入评级，中国船舶目标涨幅达67.26%,Wind
54,2021-12-20,民生证券：给予海螺水泥买入评级,证券之星
55,2021-12-20,建筑材料周观点：11月地产数据修复，继续推荐地产链建材,华创建筑建材研究
56,2021-12-20,鱼峰、华润、台泥、海螺水泥上榜广西工业龙头企业名单,中国水泥网
57,2021-12-20,西部水泥(02233.HK)获海螺水泥或其一致行动人增持722万股,格隆汇
58,2021-12-19,水泥年产能达1200万吨！海螺水泥已成为印尼第三大水泥品牌,中国水泥网
59,2021-12-18,投资35亿！海螺水泥2*5000t/d熟料项目又有新进展,中国水泥网
60,2021-12-18,千亿大白马尾盘异动！收盘前最后3分钟，发生了什么？,中证报
61,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
62,2021-12-17,巴彦淖尔中联水泥800t/d熟料产能指标出让于尤溪海螺水泥,中国水泥网
63,2021-12-16,海螺水泥：“自产品销量”剔除了贸易量，而“净销量”包括贸易量,每日经济新闻
64,2021-12-16,ATFX港股：国策提振基建产业链，水泥行业有望如期迎春季行情,金融界
65,2021-12-16,降碳效果显著！生物质替代燃料在水泥行业应用仍存巨大空间！,中国水泥网
66,2021-12-14,深度*行业*建材行业周报：“基建适度超前”推升行业复苏预期,新浪
67,2021-12-14,大摩：预计水泥股将获支持 予海螺水泥(00914)目标价51港元,智通财经
68,2021-12-14,柬埔寨马德望海螺助力中柬两国合作重点项目建设,中国水泥网
69,2021-12-13,柬埔寨马德望海螺水泥荣获“柬埔寨国家环境保护示范单位”称号,中国水泥网
70,2021-12-13,海螺水泥宁国水泥厂石灰岩矿710万吨/年矿采矿技改工程项目备案的函,中国水泥网
71,2021-12-13,建材水泥股早盘拉升走强 海螺水泥(00914)涨7.42%,和讯
72,2021-12-10,建材水泥股全线走低 华润水泥控股(01313)跌3.72%,和讯
73,2021-12-10,海螺水泥昌江新型水泥包装袋项目预计月底开工,数字水泥
74,2021-12-10,海螺水泥：境外子公司的水泥产品主要满足当地市场需求,Wind
75,2021-12-10,预计12月底开工！海螺水泥计划在昌江建设新型水泥包装袋项目,海南日报
76,2021-12-10,海螺水泥：境外子公司的水泥产品主要满足当地市场需求,每日经济新闻
77,2021-12-10,海螺水泥：公司在河南暂无子公司,Wind
78,2021-12-10,海螺水泥：公司目前不生产钢板桩,Wind
79,2021-12-10,海螺水泥：公司在河南暂无子公司,每日经济新闻
80,2021-12-10,麦格理：将金隅集团评级下调至落后大盘，目标价1港元 投资评级恶化,Wind
81,2021-12-09,新力金融股价翻倍，海螺水泥趁机减持 减持股份,21世纪经济报道
82,2021-12-09,建材行业年度策略报告：静待产业链修复 关注“碳中和”机遇,新浪
83,2021-12-09,大摩：原材料行业明年或重拾增长 看好赣锋锂业(01772)、海螺水泥(00914)等,智通财经
84,2021-12-09,铜陵海螺水泥创建绿色工厂 发展循环经济,中国水泥网
85,2021-12-09,筹划转型锂电池业务股价大涨超9成 新力金融或遭海螺水泥减持 减持股份,e公司
86,2021-12-08,晚间公告｜12月8日这些公告有看头,第一财经
87,2021-12-08,智通每日大行研报丨大摩预计水泥股将获支持 天风证券予特步国际(01368)“买入”评级,智通财经
88,2021-12-08,新力金融：海螺水泥计划减持不超过约513万股 拟减持股份,每日经济新闻
89,2021-12-08,新力金融(600318.SH)股东海螺水泥拟减持不超512.72万股 拟减持股份,智通财经
90,2021-12-08,新力金融：海螺水泥拟减持不超1%股份 拟减持股份,Wind
91,2021-12-08,赣州海螺水泥职工生态园建设取得丰硕“橙”果,海螺水泥
92,2021-12-08,国检集团与海螺水泥签署战略合作协议,数字水泥
93,2021-12-08,池州海螺水泥四期万吨线项目回转窑顺利合龙,中国水泥网
94,2021-12-07,建筑材料行业点评报告：地产链悲观预期有望修复 布局消费类建材/玻璃/水泥,新浪
95,2021-12-07,信贷、政策暖风频吹，地产后周期拐点来了？,Wind
96,2021-12-07,中金：水泥、玻璃板块将迎估值修复机会 建议关注中国玻璃、海螺水泥等,新浪
97,2021-12-07,地产链板块集体走强，政策利好预期改善，这些板块有望估值修复,财联社
98,2021-12-07,建材行业2022年度策略：地产基建需求有望回升 看好玻纤和水泥,新浪
99,2021-12-07,海螺水泥出资20.00亿元人民币成立新全资子公司,数字水泥
100,2021-12-07,加码砂石骨料业务！海螺再掷20亿成立新公司,中国水泥网
101,2021-12-07,建材热点速评：多重预期改善 建材板块进入布局窗口期,新浪
102,2021-12-06,建筑材料周观点：硅片降价有望重启产业链需求，关注光伏玻璃的情绪提振行情,华创建筑建材研究
103,2021-12-06,建材行业周观点：“光储直柔”政策陆续出台 华为打造近零碳园区,新浪
104,2021-12-06,首席周观点：周期股会来第二春吗？,新浪
105,2021-12-06,钱生钱！今年海螺水泥理财收益已超10.5亿元！,中国水泥网
106,2021-12-06,建材行业周报：基建端预期边际改善 关注相关龙头估值修复,新浪
107,2021-12-06,非金属建材行业12月投资策略：关注政策边际调整 积极布局行业优质个股,新浪
108,2021-12-06,策略跟踪：多家新能源车企11月交付量破万 汽车板块走强,新浪
109,2021-12-06,建筑材料行业周报：玻璃价格回升 稳增长预期下关注水泥板块估值修复,新浪
110,2021-12-06,基础材料和工程服务行业北上资金周报,新浪
111,2021-12-06,海螺水泥助力中老铁路建成通车,中国水泥网
112,2021-12-06,水泥制造行业研究周报：稳增长预期再度升温 中长期关注供给格局改善机会,新浪
113,2021-12-06,加码光伏！海螺水泥拟投建光伏玻璃、组件、太阳能发电等项目,北极星电力
114,2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
115,2021-12-05,建材行业2022年投资策略：拨云见日,广发证券
116,2021-12-05,海螺水泥考察永州冷水滩区,中国水泥网
117,2021-12-04,海螺水泥凤阳光伏产业园项目框架协议签约,格隆汇
118,2021-12-03,建材行业2022年度策略：传统领域柳暗花明 新兴链条焕发生机,新浪
119,2021-12-03,海螺水泥：将5亿元自有资金用于购买理财产品,Wind
120,2021-12-03,海螺水泥：公司暂不生产白水泥,Wind
121,2021-12-03,海螺水泥：公司暂不生产白水泥,每日经济新闻
122,2021-12-03,海螺水泥：公司存在部分商业贷款主要是满足海外项目投资发展需要，且该部分商贷利率较低,每日经济新闻
123,2021-12-03,每日点评第175期：指数横盘整理 水泥制造概念全天造好,新浪
124,2021-12-02,大象起舞！水泥板块涨近5%，旺季要来了,Wind
125,2021-12-02,大象起舞！水泥板块涨近5%，旺季要来了,中证报
126,2021-12-02,海螺水泥(600585.SH)：已收回5亿元委托理财本金并取得2105万元收益,格隆汇
127,2021-12-02,A股收盘综述：大基建跃跃欲试，稀土午后崛起，元宇宙深度回调,Wind
128,2021-12-02,双碳目标“挤压”高耗能产业：水泥行业走势会如何,Wind
129,2021-12-02,A股午盘综述：股指横盘，大基建跃跃欲试；翻两倍股又大涨！,Wind
130,2021-12-02,港股盘前必读：腾讯控股拟向不少于25700位奖励人士授予441万股奖励,Wind
131,2021-12-02,"重大调整！富时罗素大动作，4700亿白马被""意外剔除""，咋回事？3股新晋""A50""，外资270亿狂买这1股",券商中国
132,2021-12-01,富时罗素：亿纬锂能等三股获纳入富时中国A50指数,Wind
133,2021-12-01,海螺水泥控股成立新公司！再次出手收购水泥厂意欲何为？,中国水泥网
134,2021-11-30,2021中国上市公司软实力巡礼：海螺水泥价值216.03亿元 排序第22名,搜狐
135,2021-11-30,海螺水泥参股成立新公司,数字水泥
136,2021-11-30,建材周报：多省市出台政策 助推光伏建筑一体化(BIPV)发展,新浪
137,2021-11-30,遍布六省，投资超300亿，2021年海螺水泥布局绿色建材产业园项目,中国水泥网
138,2021-11-30,海螺水泥参股成立新公司 注册资本10亿元人民币,中国水泥网
139,2021-11-29,海螺水泥：其他业务收入主要是钢材、煤炭以及包装袋的销售等,每日经济新闻
140,2021-11-29,海螺水泥：收回5亿元委托理财本金，并取得2308.92万元理财收益,Wind
141,2021-11-29,基础材料和工程服务行业周观点：浮法玻璃库存进一步下降 期货价格底部反弹,新浪
142,2021-11-29,建材行业周报：地产政策持续边际好转 关注龙头建材估值修复,新浪
143,2021-11-28,建筑材料行业：平板玻璃底部企稳 行业悲观预期有望修复,广发证券
144,2021-11-28,建筑材料周观点：原油大跌利好成本改善 玻璃库存下降关注冷修节奏,新浪
145,2021-11-26,海螺水泥收回10亿元委托理财本金并获收益4687.2万元,智通财经
146,2021-11-26,建筑材料行业：10月新房交易跌幅或收窄 二手房景气仍较低,新浪
147,2021-11-26,海螺水泥：收回10亿元委托理财本金，并取得4687.20万元理财收益,Wind
148,2021-11-26,海螺水泥：调整2021年度助磨剂采购关联交易额度,Wind
149,2021-11-26,海螺水泥11月24日增持834万股西部水泥股份，涉资1104.55万港元,Wind
150,2021-11-26,海螺水泥收购广东鸿丰水泥51%的股权,数字水泥
151,2021-11-26,大手笔！海螺水泥38亿竞得矿山！华润、华新水泥接连买矿,中国水泥网
152,2021-11-26,旺季降价，千亿龙头蒸发660亿，明年趋势怎么走？,Wind
153,2021-11-26,安徽省金融机构助力海螺水泥布局海外项目,中国水泥网
154,2021-11-25,海螺水泥(600585.SH)：已收回5亿元委托理财本金并取得2308.92万元收益,格隆汇
155,2021-11-25,海螺集团签订生产优化及管控数据应用平台项目的合作,中国水泥网
156,2021-11-25,“皖美智造”再提速，懂行成为制造业转型共识,Ofweek
157,2021-11-25,建筑材料行业：政策边际放松 玻璃加速冷修,广发证券
158,2021-11-24,海螺水泥：公司近日于马鞍山市博望区成功竞得一石灰石矿采矿权，主要用于公司的骨料生产,Wind
159,2021-11-24,海螺水泥：近日，公司于马鞍山市博望区成功竞得一石灰石矿采矿权，该矿主要用于公司的骨料生产,每日经济新闻
160,2021-11-24,海螺水泥参加江苏淮安市长质量奖评选，已过三轮测评,江苏网
161,2021-11-24,红狮水泥、海螺水泥获评杭州市2021年绿色低碳工厂,中国水泥网
162,2021-11-24,西部水泥(02233.HK)获海螺水泥或其一致行动人增持834万股,格隆汇
163,2021-11-23,外资周报第104期：人民币韧性凸显 配置盘加速入场,新浪
164,2021-11-23,10家公司获股东增持超亿元，A股缘何再掀增持潮？,Wind
165,2021-11-22,建材周报：10月水泥产量降幅扩大至-17.1% 房地产投资、销售加速下行,新浪
166,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
167,2021-11-22,基础材料和工程服务行业周观点：行业磨底持续 关注遮阳材料细分赛道投资机会,新浪
168,2021-11-22,建筑材料周观点：玻璃累库速度放缓，行业供给端缩减趋势已现,华创建筑建材研究
169,2021-11-22,建筑材料行业周报：板块估值偏低 新材料应用提速,新浪
170,2021-11-21,下周操盘攻略：波动将明显加剧,Wind
171,2021-11-21,建筑材料行业：政策边际放松 利于行业悲观预期修复,广发证券
172,2021-11-20,海螺水泥：全面推进转型升级 奋力开创高质量发展新局面,新浪
173,2021-11-20,房地产合理贷款得到满足！A股普涨，本周北上资金买入百亿,Wind
174,2021-11-19,华东地区水泥价格走低，海螺水泥近5日外资持续流出,阿尔法工场
175,2021-11-19,华为云与安徽制造业龙头深化合作 树立数字化转型标杆,北国网
176,2021-11-19,房地产飙升3%提振大盘，北上资金依旧宠爱新能源,Wind
177,2021-11-19,海螺水泥：按期收回委托理财本金及收益,Wind
178,2021-11-19,毛利率近70%！海螺水泥朝着3亿吨目标不断布局！,中国水泥网
179,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
180,2021-11-18,海螺水泥(00914)收回20 亿元委托理财本金 赚取收益8835.8万元,智通财经
181,2021-11-18,海螺水泥(600585.SH)已按期收回委托理财本金及收益,智通财经
182,2021-11-18,水泥制造行业研究周报：地产预期继续好转 建议关注水泥投资机会,新浪
183,2021-11-18,北向资金抛售白酒，买入电子元件！锂电池板块“王者归来”，这些个股受青睐（名单）,21世纪经济报道
184,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
185,2021-11-17,38.25亿！海螺水泥竞得马鞍山一采矿权,中国水泥网
186,2021-11-17,布局光伏发电 海螺水泥可以获得这些优势！,中国水泥网
187,2021-11-17,北向资金动向盘点：重手净买白酒、医药,Wind
188,2021-11-17,北向资金连续四日买入近200亿元，再度“喝酒吃药买电子”，扫货这些龙头股（名单）,21世纪经济报道
189,2021-11-16,海螺水泥将持续提升新能源占比，预计明年光伏发电量可达700MW,中国水泥网
190,2021-11-16,“十四五”期间，海螺水泥将加快产业链拓展和国际化进程,中国水泥网
191,2021-11-16,海螺水泥：公司将加快推进全产业链发展，全力推进骨料产业发展，力争实现3亿吨骨料产能目标,每日经济新闻
192,2021-11-16,海螺水泥：公司暂无回购股票计划,每日经济新闻
193,2021-11-16,"海螺水泥：公司三季报自产品营业收入相对稳定，营业收入下降主要是贸易业务收入下降所致，利润下降主要是“双控”和限电政策对销量影响所致
盈利能力下降",每日经济新闻
194,2021-11-16,建材观点聚焦展望2022：需求动能转化 供给重塑,新浪
195,2021-11-15,非金属建材周报(21年第46周)：把握政策边际变化带来的阶段性投资机会,新浪
196,2021-11-15,建材周报：煤炭价格急跌 水泥价格调整或进一步展开,新浪
197,2021-11-15,建筑材料行业周报：地产信贷有所修复 关注消费建材板块和出口链条标的,新浪
198,2021-11-15,建材行业周报：地产政策逐步改善 关注交房逻辑下的装修龙头,新浪
199,2021-11-12,水泥产品发运后如何追溯？这一环节是关键,中国水泥网
200,2021-11-12,"碳排放超2亿吨,增收不增利的海螺水泥如何实现双碳目标",液化天然气网
201,2021-11-11,再破纪录，A50ETF（159601）今日成交高达36.31亿元再创新高,Wind
202,2021-11-11,A股收盘综述：地产股掀起涨停潮，半导体、元宇宙高空加油,Wind
203,2021-11-11,连续4天成交超30亿元，A50ETF（159601）上涨1.42%,Wind
204,2021-11-11,水泥板块连续拉升，华新水泥涨停,Wind
205,2021-11-11,江西新余以海螺水泥百亿项目为依托做大做强湖泽工业园,中国水泥网
206,2021-11-11,三连板！水泥龙头跨界锂电，2个月收购多家锂业公司股权,Wind
207,2021-11-10,市场波动各显神通：华新水泥“走出去” 海螺水泥“买同行”,21世纪经济报道
208,2021-11-10,海螺水泥：安徽实施限电对公司生产会有一定影响，具体影响尚待评估,每日经济新闻
209,2021-11-10,公司是否有意并购塔牌集团？海螺水泥：暂无该计划,每日经济新闻
210,2021-11-10,海螺水泥：公司买入部分同行上市公司股票主要是看好其投资价值,每日经济新闻
211,2021-11-10,海螺水泥：公司下属英德海螺实际能耗指标优于同行企业和国家先进值，但地方坚持绿色发展，主管部门给公司核定了更高的节能考核目标,每日经济新闻
212,2021-11-10,海螺水泥：公司暂未考虑回购股票计划,每日经济新闻
213,2021-11-10,华新水泥香港上市 海螺水泥承诺提供现金选择权,数字水泥
214,2021-11-10,截至9月底海螺水泥骨料产能约5830万吨 多个在建、拟建骨料项目推进中,中国水泥网
215,2021-11-10,华新水泥：B股转H股确认两家现金选择权提供方,中证网
216,2021-11-09,华新水泥确认铭基国际投资、海螺水泥为现金选择权提供方,智通财经
217,2021-11-09,海螺水泥：前三季度公司实现水泥熟料贸易收入约287.35亿元,Wind
218,2021-11-09,海螺水泥：公司前三季度水泥熟料自产品净销量为2.35亿吨,Wind
219,2021-11-09,海螺水泥：公司买入上峰水泥主要是看好其投资价值,每日经济新闻
220,2021-11-09,海螺水泥：通常情况下一、三季度是水泥行业传统淡季，二、四季度是水泥行业传统旺季,每日经济新闻
221,2021-11-09,海螺水泥：公司2021年前三季度水泥熟料自产品净销量为2.35亿吨，骨料汇总销量为3422万吨,每日经济新闻
222,2021-11-09,海螺水泥：公司水泥消费占比中，工程市场需求占比37%，房地产市场需求占比41%，农村市场需求占比22%,每日经济新闻
223,2021-11-09,海螺水泥：三季度公司自产品营业收入相对稳定，营业收入下降主要是贸易业务收入下降所致 盈利能力下降,每日经济新闻
224,2021-11-09,海螺水泥：行业仍处在业绩较高的平台期 将投资光伏、风电以降低用电成本,每日经济新闻
225,2021-11-09,【国信建材|行业专题】建材行业基金持仓专题：行业配置继续走低，光伏玻璃、玻纤较受关注,微信
226,2021-11-09,海螺水泥2021年前三季度水泥熟料自产品净销量为2.35亿吨,中国水泥网
227,2021-11-08,非金属建材行业11月投资策略：淡季即将来临 关注行业优质龙头,新浪
228,2021-11-08,建材行业周观点：玻纤维持高景气 管材、消费建材成本承压,新浪
229,2021-11-08,海螺水泥：第二次临时股东大会审议通过一项议案,Wind
230,2021-11-08,水泥行业节能降碳成效显现，集中度料进一步提升,Wind
231,2021-11-08,水泥行业节能降碳成效显现 集中度料进一步提升,中证报
232,2021-11-05,水泥行业2021年三季报总结：需求下行、煤价大涨Q3盈利见底 Q4盈利高弹,广发证券
233,2021-11-05,煤价腰斩式下跌后，水泥行业困局仍待解,21世纪经济报道
234,2021-11-05,计划总投资16亿！海螺水泥计划在陕西千阳建设绿色建材循环利用产业园,中国水泥网
235,2021-11-04,海螺水泥现1笔大宗交易 共成交745.19万元,新浪
236,2021-11-04,海螺水泥今日大宗交易成交19.60万股，成交价38.02元溢价0.0%,Wind
237,2021-11-04,建材行业A/H建材龙头2021年三季报总结：逻辑验证与再探 寻找领先身位企业,新浪
238,2021-11-04,光大证券：给予海螺水泥买入评级,证券之星
239,2021-11-04,出资3亿！海螺水泥参股成立新公司,中国水泥网
240,2021-11-04,尤溪海螺水泥总经理张强：加快打造绿色建材产业,中国水泥网
241,2021-11-03,旺季来临 基建支撑 水泥行业景气度有望改善,中证网
242,2021-11-03,西部水泥(02233.HK)获海螺水泥或其一致行动人增持309万股,格隆汇
243,2021-11-03,旺季来临 基建支撑 水泥行业景气度有望改善,中证报
244,2021-11-02,高瓴4大调仓逻辑曝光，接下来看好这些方向,Wind
245,2021-11-02,高瓴A股持仓最全梳理！三季度调仓哪些公司？密集调研透露关注方向,Wind
246,2021-11-01,2021三季度建材持仓分析——机构三季度末增持水泥，减配消费建材,鲍大侠之建材
247,2021-11-01,里昂维持海螺水泥“买入”评级，目标价44.9港元,乐居财经
248,2021-11-01,北向资金今日净买入7.11亿元，连续13日抢筹宁德时代累计加仓超76亿元,Wind
249,2021-11-01,里昂：维持海螺水泥(00914)“买入”评级 目标价降至44.6港元,智通财经
250,2021-11-01,大行评级 | 里昂：海螺水泥(0914.HK)首九月收入及纯利略逊预期 维持买入评级 盈利能力下降,格隆汇
251,2021-11-01,项目建成后 安徽临泉海螺水泥可实现年销售收入约4亿！,中国水泥网
252,2021-11-01,海螺水泥、南方水泥等水泥企业被评为安徽黄山环保诚信企业！,中国水泥网
253,2021-11-01,上市公司三季报出炉！海螺水泥、华新水泥、华润水泥、天山水泥都赚了多少钱？,中国水泥网
254,2021-11-01,高瓴资本三季报A股持仓全扫描,Wind
255,2021-10-31,海螺水泥2021年三季报点评：限产拖累收入，煤炭调控开启，盈利能力拐点预计开始显现 盈利能力下降,华创建筑建材研究
256,2021-10-29,海螺水泥(600585.SH)副总经理柯秋璧未减持股份 减持期满,智通财经
257,2021-10-29,北向资金连续13个月加仓A股，隆基股份获大幅净买入超10亿,Wind
258,2021-10-29,华西证券：给予海螺水泥买入评级，目标价位51.23元,证券之星
259,2021-10-29,QFII投资路径曝光：布局龙头，青睐科技+成长,Wind
260,2021-10-29,瑞信：维持海螺水泥(00914)“跑赢大市”评级 目标价降至56港元 机构下调估值,智通财经
261,2021-10-29,海螺水泥前三季度营收净利双降 全行业面临历史最复杂局面 盈利能力下降,证券日报
262,2021-10-28,海螺水泥：前三财季盈利223.9亿人民币，同比减少9.42% 盈利能力下降,Wind
263,2021-10-28,海螺水泥公布三季报 前三季净利减少9.5%,新浪
264,2021-10-28,海螺水泥：2021年第三季度净利润74.39亿元,西本
265,2021-10-28,海螺水泥前三季营利齐降，实现营收1217.11亿元,资本邦
266,2021-10-28,北向资金逆市加仓超71亿，贵州茅台获大幅净买入13亿元,Wind
267,2021-10-28,海螺水泥前三季度净利润223.9亿元，同比减少9.5%,乐居财经
268,2021-10-28,图解海螺水泥三季报：第三季度单季净利润同比减14.22%,证券之星
269,2021-10-28,海螺水泥：第三季度净利74.39亿元 同比下降14.09%,财联社
270,2021-10-28,海螺水泥：前三季度净利润同比减少9.5%，三季度下降14.09%,Wind
271,2021-10-28,成本上涨吞噬利润，水泥行业三季报差强人意！逆势扩张，海螺水泥新晋这家公司第五大股东！ 盈利能力下降,e公司
272,2021-10-27,海螺水泥：公司煤炭长协比例逐年提升，公司将持续加强与主要煤企战略合作，进一步提升长协比例,每日经济新闻
273,2021-10-27,海螺水泥：煤价上涨对公司成本有一定影响,每日经济新闻
274,2021-10-27,海螺水泥：2021年三季度报告将于10月28日收市后披露,每日经济新闻
275,2021-10-27,追“宗”系列：限电压力加码 供给收紧支撑价格持续提涨,新浪
276,2021-10-27,海螺水泥914｜首三季盈利倒退9.5% | 头条金融网,头条日报
277,2021-10-27,塔牌集团10月26日获海螺水泥调研,阿尔法工场
278,2021-10-27,基础材料行业：原材料压制3Q21盈利 龙头凸显性价比,新浪
279,2021-10-27,塔牌集团获海螺水泥、海螺创业投资调研,e公司
280,2021-10-27,建筑材料周观点：房地产税改革试点推进 关注建材龙头核心竞争优势,新浪
281,2021-10-26,海螺水泥：2021年第二次临时股东大会11月8日下午召开,Wind
282,2021-10-26,建设碳汇林547亩！宣城海螺水泥等企业开展“碳中和”林建设试点,中国水泥网
283,2021-10-26,电价市场化迈出重要一步！市场传导还需时间,Wind
284,2021-10-25,建材行业2021年三季报业绩前瞻：玻纤景气持续 水泥产业链成本压力显现,新浪
285,2021-10-25,海螺水泥：公司2021半年度报告中约245亿元的交易性金融资产主要为购买的银行理财产品,每日经济新闻
286,2021-10-25,海螺水泥：公司基于战略投资目的，看好亚泰集团长期投资价值,每日经济新闻
287,2021-10-25,海螺水泥(00914)：按期收回25亿元委托理财本金及1.09亿元理财收益,智通财经
288,2021-10-25,海螺水泥：公司2021年150亿元的计划资本支出将主要用于项目建设、低碳环保技改及并购项目支出,每日经济新闻
289,2021-10-25,海螺水泥：公司已在部分子公司配套了新能源发电项目,每日经济新闻
290,2021-10-25,海螺水泥：公司生产经营一切正常，不存在应披露而未披露事项,每日经济新闻
291,2021-10-25,海螺水泥：按期收回委托理财本金及收益,Wind
292,2021-10-25,建材行业周报：消费建材估值受压制 周期边际变化偏弱,新浪
293,2021-10-25,建筑材料行业研究周报：消费建材如期迎来反弹 后续持续性如何？,新浪
294,2021-10-22,水泥股什么时候能有行情？2021年水泥股走势分析,至诚财经
295,2021-10-20,无人！自动驾驶助力海螺水泥数字化矿山建设！,中国水泥网
296,2021-10-20,21年9月建材行业数据点评：限产推动水泥价格快速上涨 需求放缓致使玻璃“旺季不旺”,光大证券
