,2021-12-31,国金证券积极落实乡村振兴 助力农村产业升级,中证网
26,2021-12-27,一则传闻拖垮电网板块！2000亿白马股闪崩跌停，机构最新研判来了,新浪
27,2021-12-27,一条传闻导致万亿赛道集体跳水，2200亿电力巨头紧急回应！,Wind
28,2021-12-27,一则传闻“拉闸”热门板块，“涉事”券商刚刚官方回应！,上证报
29,2021-12-27,国金证券回应配网投资传闻：已关注，非国金证券研究所观点,澎湃新闻
30,2021-12-27,多家卖方研究加入辟谣大战，建投海通东吴长江招商等纷纷表态，传言引电网股大跳水，究竟谁在制造谣言,财联社
31,2021-12-26,券商财富管理“优等生”全线下跌 年末抢人大战硝烟再起 抢滩2022全面注册制？「券商周评榜」,华夏时报
32,2021-12-26,券商人手大比拼！两家头部券商扩张，年内增员均超2000,Wind
33,2021-12-25,挖角还是跳槽？中泰证券被免职副所长去向已定,Wind
34,2021-12-24,中证协召开2021年第四季度证券基金行业首席经济学家例会,Wind
35,2021-12-23,中证协召开2021年第四季度证券基金行业首席经济学家例会,Wind
36,2021-12-23,国金证券西安营业部多举措积极“战疫”,上证报
37,2021-12-23,27单惩戒IPO业务违规行为，信披问题成管控重点 其他违规处罚,Wind
38,2021-12-23,国金证券股份有限公司 2021年面向专业投资者公开发行次级债券（第二期）发行结果公告,中证报
39,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
40,2021-12-22,国金证券(600109.SH)完成发行15亿元2021年面向专业投资者公开发行次级债券(第二期),智通财经
41,2021-12-22,国金证券(600109.SH)：完成公开发行15亿元次级债券,格隆汇
42,2021-12-22,最牛女保代保荐24个项目，超50%保代却没活干,Wind
43,2021-12-22,周二主力资金抢筹名单出炉，尾盘资金加仓元宇宙龙头,Wind
44,2021-12-22,又一券商研究所所长离职，卖方人才变局背后原因几何？,Wind
45,2021-12-22,鸿合科技：国金证券、东吴证券等3家机构于12月21日调研我司,证券之星
46,2021-12-21,12月21日深市创业板活跃股公开信息,深交所
47,2021-12-21,券商研究所负责人再现变动！中泰证券研究所副所长苏晨或转会国金证券,资本邦
48,2021-12-21,A股收盘综述：40余只地产股涨停，市场资金蜂拥而入！热门妖股批量砸跌停,Wind
49,2021-12-21,复锐医疗科技 | 领先技术能量源龙头，构建美丽新生态,医药研选
50,2021-12-21,【行情】券商股午后继续冲高，太平洋封涨停，国金证券、天风证券、国海证券、华泰证券、兴业证券等涨幅俱全,金十数据
51,2021-12-21,券商、银行板块拉升，紫金银行快速涨停,Wind
52,2021-12-21,快讯：券商股异动拉升 国金证券涨近7%,新浪
53,2021-12-21,【行情】证券板块短线拉升，国金证券涨超4%，华泰证券、长城证券、兴业证券跟涨,金十数据
54,2021-12-20,又有重磅转会！年内至少12家券商研究所负责人变更,Wind
55,2021-12-20,保代人数两年近翻倍，保荐项目为零者尚过半,Wind
56,2021-12-19,上市券商1年砍掉64家营业部，头部券商却很淡定,Wind
57,2021-12-18,2021年券商十大新闻盘点,Wind
58,2021-12-17,券业2021年度罚单①丨28张罚单揭示经纪业务“花样违规” 23家券商被罚申万宏源“独中三元” 金融监管处罚,21世纪经济报道
59,2021-12-17,年底加速洗牌！多家券商研究所所长将调整,Wind
60,2021-12-17,泰和新材：国金证券于12月15日调研我司,证券之星
61,2021-12-16,券商并购为何总是，“干打雷不下雨”？,Wind
62,2021-12-16,鸿合科技：国金证券、银华基金等2家机构于12月14日调研我司,证券之星
63,2021-12-15,券商股异动拉升，国联证券冲击涨停,Wind
64,2021-12-14,国金证券(600109.SH)完成兑付2021年度第七期短期融资券本息12.08亿元,智通财经
65,2021-12-13,国金证券股份有限公司 关于非公开发行股票申请文件反馈意见回复修订的公告,证券时报
66,2021-12-12,国金证券(600109.SH)完成发行10亿元短期融资券,智通财经
67,2021-12-12,国金证券(600109.SH)完成兑付“21国金S4”短期公司债券,智通财经
68,2021-12-12,IPO项目业绩频变脸国元证券被质疑，业内争议“看门人”边界 盈利能力下降,Wind
69,2021-12-09,2022年物价料呈温和上涨态势,Wind
70,2021-12-09,明阳电路：国金证券、语溪资本等6家机构于12月6日调研我司,证券之星
71,2021-12-08,信披涉嫌瞒报？研发实力存疑，三度重启上市的联盛化学能否成功,和讯
72,2021-12-08,投行业务蓬勃发展，8家券商IPO 承销收入过10亿元|和讯睿见,和讯
73,2021-12-08,五洲新春：财通基金、国金证券等2家机构于12月2日调研我司,证券之星
74,2021-12-07,突发！券业“老将”姚志勇辞职，国联证券董事长谁来接任？ 董监高成员变化,中新经纬
75,2021-12-07,年末券商研究所“引援”大战再升级 ：前方正证券研究所所长杨仁文宣布加盟国海证券，任总裁助理兼研究所所长,每日经济新闻
76,2021-12-07,国联证券董事长辞职，任职8年，在任期间推进并购国金证券未果 董监高成员变化,贝壳财经
77,2021-12-05,国金证券首予广和通买入评级：盈利稳健细分龙头，迎来关键转型突破期，目标价72元,每日经济新闻
78,2021-12-05,最牛大赚超80%！大集合改造，“冲刺”！,Wind
79,2021-12-03,成都先导：银河国际资管、国金证券等2家机构于11月25日调研我司,证券之星
80,2021-12-02,国金证券今年第四期短期公司债券将于12月10日开始支付利息,资本邦
81,2021-12-02,这家券商迎新研究所所长，计划覆盖逾30个研究小组,Wind
82,2021-12-02,国金证券(600109.SH)：“21国金S4”将于12月10日兑付本息并摘牌,智通财经
83,2021-12-02,私募精准抄底，舆论高呼“内幕交易”，新力金融“触电”重组恐存变数,证券时报网
84,2021-12-02,国金证券股份有限公司 关于非公开发行股票申请文件反馈意见回复的公告,中证报
85,2021-12-01,国金证券回复证监会关于定增申请的反馈意见,中证网
86,2021-12-01,又一中型券商打出“研究牌”！方正研究原所长杨仁文履新国海总助兼联席所长，卖方研究新势力加速涌入,财联社
87,2021-12-01,天壕环境：国金证券、诚熠投资等22家机构于11月26日调研我司,证券之星
88,2021-11-30,【论坛动态】赵伟履新国金证券首席经济学家,首席经济学家论坛
89,2021-11-30,空缺11年，国金证券首席经济学家职位得以填补，开源证券原首席经济学家赵伟已确认任职,每日经济新闻
90,2021-11-30,ESG投资热潮渐起 国金证券积极践行社会责任,经济观察报
91,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
92,2021-11-28,国联水产：玄甲投资、国金证券等3家机构于11月10日调研我司,证券之星
93,2021-11-27,IPO保荐业务三大变化，影响多大？投行最新解读,Wind
94,2021-11-27,监管出手！IPO保荐业务三大变化，影响多大？投行最新解读,中国基金报
95,2021-11-27,日盈电子：国金证券、德邦证券等13家机构于11月24日调研我司,证券之星
96,2021-11-26,机构调研=股价上涨？这几组数据可能要让你大跌眼镜,Wind
97,2021-11-26,大数据揭示：机构调研与股价涨跌没有必然联系,Wind
98,2021-11-25,国金证券CIO到位，头部券商IT老将担纲重任，2天2位CIO上任，全行业CIO数量已突破60位,财联社
99,2021-11-25,机构调研=股价上涨？这几组数据可能要让你大跌眼镜！,上证报
100,2021-11-25,国金证券：拟向国金金控香港增资不超3亿港币,中证网
101,2021-11-25,国金证券(600109.SH)聘任王洪涛为首席信息官,智通财经
102,2021-11-25,国金证券：公司有一些拟挂牌新三板的项目已完成立项，也有一些已挂牌项目计划尽快申报北交所,每日经济新闻
103,2021-11-25,IPO终止项目剧增，大小券商各有苦衷 IPO融资异常,Wind
104,2021-11-24,国金证券(600109.SH)：完成兑付本息15.39亿元短期公司债券,格隆汇
105,2021-11-24,国金证券(600109.SH)：“21国金S2”短期公司债券兑付完成,智通财经
106,2021-11-24,西菱动力拟定增募资4.8亿元优化主业 年内12家四川上市公司定增募资超115亿元,证券日报网
107,2021-11-23,国金证券任鹏：云程发轫 履践致远！热烈祝贺北交所开市,投资时报
108,2021-11-22,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
109,2021-11-22,11月22日深市创业板活跃股公开信息,深交所
110,2021-11-22,正强股份上市首日涨193% 募资3.6亿国金证券赚0.5亿,中国经济网
111,2021-11-20,直播，成为券商转型主战场！,Wind
112,2021-11-20,直播，成为券商转型主战场！,中国基金报
113,2021-11-20,海达股份：国金证券股份有限公司、苏州君榕资产管理有限公司等3家机构于11月17日调研我司,证券之星
114,2021-11-19,多晶硅的世纪之争,锦缎
115,2021-11-19,爱尔眼科：国金证券、太平洋证券等9家机构于11月16日调研我司,证券之星
116,2021-11-18,【银华基金】交易日报 2021-11-18,新浪
117,2021-11-18,央媒重磅发声：已滋生套路与骗局苗头！77只元宇宙概念股杀跌,Wind
118,2021-11-17,中信证券280亿元配股获批，17家券商年内再融资“补血”,Wind
119,2021-11-16,国金证券(600109.SH)：“21国金S2”于11月24日本息兑付并摘牌,智通财经
120,2021-11-16,这家信托大股东变更为：云南国有金控集团！ 控制人变化,微信
121,2021-11-16,"北交所首秀""忙坏""券商！新股首日全部翻倍，投资者询问量激增…行情能否延续？",券商中国
122,2021-11-15,国金证券：完成发行12亿元短期融资券，票面利率2.68%,资本邦
123,2021-11-15,券商战略布局北交所：首日涨势如虹，未来走势如何？国金证券第一时间谈北交所“开张”,财联社
124,2021-11-15,国金证券(600109.SH)：完成发行12亿元短期融资券,格隆汇
125,2021-11-15,国金证券(600109.SH)完成发行12亿元2021年度第十一期短期融资券,智通财经
126,2021-11-15,北交所来了！券商全面布局，多家开户率超50%,Wind
127,2021-11-15,北交所可参与交易投资者超400万户，多方线上线下展开投教总动员,Wind
128,2021-11-15,北交所来了！券商全面布局，多家开户率超50%，首批保荐项目建投安信申万暂时领先,券商中国
129,2021-11-14,国金证券佣金宝APP宣布全面支持北交所交易,财联社
130,2021-11-14,国金证券备战北交所：投行业务进行有针对性的调整和布局 投资者教育着重两点,每日经济新闻
131,2021-11-13,券商厉兵秣马备战北交所：全产业链条布局成重点,Wind
132,2021-11-12,74天备战北交所！券商基金竞跑，81家公司、400万投资者尝鲜,经济观察报
133,2021-11-12,11月12日深市大宗交易信息,深交所
134,2021-11-12,国金证券私募基金风险评价报告(2021年三季度),国金证券股份有限公司
135,2021-11-12,延安必康：西南证券股份有限公司、国金证券股份有限公司等12家机构于11月10日调研我司,证券之星
136,2021-11-11,国金证券11月11日大宗交易成交2880.00万元,国金证券
137,2021-11-11,"国金证券现1笔大宗交易 共成交2,880.00万元",新浪
138,2021-11-11,国金证券今日大宗交易成交300万股，成交价9.6元折价10.7%,Wind
139,2021-11-11,上声电子：国金证券、嘉实基金等3家机构于11月8日调研我司,证券之星
140,2021-11-09,国金证券总经理姜文国：注册制深刻影响行业格局，未来券商将呈现“大而全”“小而精”共存局面,每日经济新闻
141,2021-11-09,多条线苦练内功，券商布局北交所马不停蹄,Wind
142,2021-11-08,国金证券总经理姜文国：试点注册制给投行带来了更高的挑战,每日经济新闻
143,2021-11-08,国金证券总经理姜文国：预期北交所将为投行带来更加丰富的增量,每日经济新闻
144,2021-11-08,火了！股民“跑步入场”，券商也拼了，狂砸百亿！又一重大历史机遇来了,中国基金报
145,2021-11-08,股民跑步入场，券商拼了，狂砸百亿！又一重大历史机遇来了,Wind
146,2021-11-07,围绕“十要素”推进文化建设工作，多家券商董事长亲自出马，各大券商文化建设上屡屡创新,每日经济新闻
147,2021-11-06,新开源：国金证券股份有限公司、上海禧弘基金管理公司等2家机构于11月3日调研我司,证券之星
148,2021-11-06,凯因科技：国金证券、辰翔投资等6家机构于10月31日调研我司,证券之星
149,2021-11-06,紧盯元宇宙热潮，交易所关注函、重点监控都来了,Wind
150,2021-11-05,丰元股份：国金证券、海通证券等4家机构于11月3日调研我司,证券之星
151,2021-11-05,清水源：国金证券、千禧基金等3家机构于11月4日调研我司,证券之星
152,2021-11-05,三孚股份：国金证券、偏锋投资等6家机构于11月1日调研我司,证券之星
153,2021-11-03,青松股份：neuberger berman、neuberger berman等139家机构于11月1日调研我司,证券之星
154,2021-11-02,永贵电器：国金证券、富国基金等9家机构于10月29日调研我司,证券之星
155,2021-11-01,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
156,2021-10-29,业务全面开花 国金证券斩获 2021 年中国证券业九项大奖,ZAKER
157,2021-10-29,国金证券?博雅生物买入评级：业绩高速增长，定增方案顺利推进,每日经济新闻
158,2021-10-29,国金证券2021年第十三届金融市场研讨会暨金融产品年度策略会成功举办,证券时报网
159,2021-10-29,万孚生物：国金证券股份有限公司、太平洋证券股份有限公司等4家机构于10月26日调研我司,证券之星
160,2021-10-29,国金证券股份有限公司,中证报
161,2021-10-28,国金证券公布三季报 前三季净利减少1.72%,新浪
162,2021-10-28,国金证券(600109.SH)向专业投资者公开发行公司债券获证监会同意注册批复,智通财经
163,2021-10-28,国金证券第三季度实现净利润5.23亿元,上证报
164,2021-10-28,国金证券：前三季度净利润同比减少1.72% 盈利能力下降,Wind
165,2021-10-28,国金证券(600109.SH)前三季度归母净利润同比下降1.72%至15.38亿元,智通财经
166,2021-10-28,国金证券：公司获准公开发行不超过120亿元公司债,中证网
167,2021-10-28,图解国金证券三季报：第三季度单季净利润同比减7.24%,证券之星
168,2021-10-28,国金证券：2021年第三季度净利润约5.23亿元，同比下降7.24%,每日经济新闻
169,2021-10-28,弘玑Cyclone发布全线产品与生态合作战略 超自动化赋能企业数字化转型,凤凰网
170,2021-10-28,国金证券维持新宙邦买入评级：业绩高增长，长期成长可期,每日经济新闻
171,2021-10-28,“个人系”公募基金大起底：大佬“创业”岂可锦衣夜行？,Wind
172,2021-10-27,缺人！券商秋招大门敞开，重点需要这几方面的人才,上证报
173,2021-10-27,缺人！券商秋招大门敞开，重点需要这几方面人才,Wind
174,2021-10-21,31股今日获机构买入评级,证券时报网
175,2021-10-21,北交所开市渐近，机构全方位备战,Wind
176,2021-10-20,国金证券：手游出海成大趋势,中证网
177,2021-10-20,又一券商合并告吹！西部证券：终止联合收购新时代证券股权 并购重组异常,澎湃新闻
178,2021-10-19,东华科技：国金证券股份有限公司、上海添橙投资管理有限公司等2家机构于10月18日调研我司,证券之星
179,2021-10-18,国金证券发布交通强国50指数，布局多网融合的智慧交通,Wind
180,2021-10-18,扩充团队搭建平台，券商深耕“专精特新”领域,Wind
181,2021-10-18,扩充团队搭建平台 券商深耕“专精特新”领域,中证网
182,2021-10-17,国金证券(600109.SH)：“21国金S1”短期公司债券兑付完成,智通财经
183,2021-10-15,敲定了！这家券商迎来新总经理，有何来头？研究、资管经验丰富，会有哪些打法变化？,Wind
184,2021-10-15,鸣石已与监管沟通，预留100亿现金应对危机,Wind
185,2021-10-14,国金战略主题指数 探索投资的极简主义,Wind
186,2021-10-14,国金证券：公司一直重视财务信息化工作，建立了以用友NC为核心的财务信息管理系统,每日经济新闻
187,2021-10-14,国金证券：公司严格按照《证券公司治理准则》的规定，高级管理人员的绩效年薪40%以上采取了延期支付的方式，且延期支付期限不少于3年,每日经济新闻
188,2021-10-14,国金证券：将于2021年10月29日披露三季报,每日经济新闻
189,2021-10-14,国金证券：截至目前公司关于北交所相关业务准备有序进行中,每日经济新闻
190,2021-10-12,四方光电：国金证券、群益投资等2家机构于9月23日调研我司,证券之星
191,2021-10-12,国金研究所改革大刀阔斧 目标瞄准行业前十,证券时报
192,2021-10-11,“终止审核”成IPO高频词，今年来51家券商209个项目终止审核，创业板占五成，是何原因导致高发 IPO融资异常,财联社
193,2021-10-11,券商“与时间赛跑”筹谋北交所先机,国际金融报
194,2021-10-09,券商全力备战，投资者踊跃申请开通北交所交易权限,Wind
195,2021-10-04,证券业新一轮整合潮涌背后：民营股东纷纷“断臂卖子”成重要推手,华尔街见闻
196,2021-10-01,维持高位，前三季度股权承销排行榜发布,Wind
197,2021-09-30,百亿定增大缩水后 浙商证券再公布不超过70亿元可转债预案，一半金额用于投资交易业务,每日经济新闻
198,2021-09-30,周期股节后能否再起？机构观点出现分歧,Wind
199,2021-09-30,新三板精选层午盘逾60只个股飘红,Wind
200,2021-09-30,新三板精选层个股开盘涨跌参半,Wind
201,2021-09-30,各家券商北交所开户数曝光，KPI完成了吗？,Wind
202,2021-09-29,企业如何选择科创板与北交所？国金证券向俞洁拆解IPO门道,搜狐
203,2021-09-29,国金证券(600109.SH)：“21国金S1”将于10月15日付息并摘牌,智通财经
204,2021-09-29,大金融午后拉升，A股交投活跃，行业四季度机会可期,第一财经
205,2021-09-28,茅台涨停了，腾讯还远吗？,Wind
206,2021-09-27,国金证券(600109.SH)完成发行10亿元短期公司债券(面向专业投资者),智通财经
207,2021-09-27,券商积极抢食券结模式蛋糕,中国基金报
208,2021-09-26,洽洽食品：国金证券、广发基金等12家机构于9月24日调研我司,证券之星
209,2021-09-26,国金证券(600109.SH)完成兑付5亿元2021年度第五期短期融资券,智通财经
210,2021-09-26,这样模式迎来爆发之年！券商巨头们抢食“大蛋糕”,中国基金报
211,2021-09-25,申万菱信基金管理有限公司 关于旗下部分基金新增代销机构及开通 相关业务的公告,新浪
212,2021-09-24,迪普科技：北吉星(杭州)企业管理有限公司、国金证券等14家机构于9月23日调研我司,证券之星
213,2021-09-23,单日开通破万！近50家券商上线预约开通北交所交易权限功能,Wind
214,2021-09-23,北交所开户申请正式办理，投资者充满期待开户数量猛增,Wind
215,2021-09-23,超40家券商备战北交所，市场增量客户喷涌,Wind
216,2021-09-22,北交所预约开户假日不打烊，多家券商闪电上线,Wind
217,2021-09-21,券商行业周报(2021年第三十五期)：新股定价规则正式落地 北交所开户门槛公布,新浪
218,2021-09-19,北交所开户预约火爆！头部券商预约成功人数已过万,Wind
219,2021-09-19,"券商火速响应北交所""开户""，头部上万名客户已搞定",Wind
220,2021-09-18,国金证券上线北交所交易权限开通服务，7x24小时受理权限开通申请,经济观察网
221,2021-09-18,快讯丨国金证券今日正式上线北京证券交易所交易权限开通服务,每日经济新闻
222,2021-09-17,汤姆猫：国金证券、杭州优益增投资管理有限公司等3家机构于9月17日调研我司,证券之星
223,2021-09-16,国金证券(600109.SH)完成兑付“20国金S1”短期公司债券,智通财经
224,2021-09-16,新三板开户数短期大增，券商交易系统动态扩容,Wind
225,2021-09-15,日均开户数增近7倍！北交所带起新三板开户热潮,Wind
226,2021-09-15,国金证券(600109.SH)完成发行8亿元短期融资券,智通财经
227,2021-09-13,国金证券(600109.SH)完成发行12亿元短期融资券,智通财经
228,2021-09-13,国金证券股份有限公司关于杭州大地海洋环保股份有限公司 首次公开发行股票并在创业板上市战略投资者专项核查报告,证券日报
229,2021-09-12,国金证券完成兑付2021年度第四期短期融资券,智通财经
230,2021-09-10,国金证券与万得合作发布系列共有产权股票策略指数,Wind
231,2021-09-09,冀中能源：海通证券、国金证券等11家机构于9月8日调研我司,证券之星
232,2021-09-09,鲁北化工：国金证券股份有限公司、海通证券股份有限公司等32家机构于9月3日调研我司,证券之星
233,2021-09-09,国金证券(600109)：经纪两融提振 持续稳健经营,新浪
234,2021-09-08,国金证券(600109.SH)：“20国金S1”将于9月16日付息并摘牌,智通财经
235,2021-09-07,国金证券：公司会参与北京证券交易所的相关业务,每日经济新闻
236,2021-09-02,券商股午后再度躁动，广发证券涨停,Wind
237,2021-09-02,【行情】证券板块异动拉升，第一创业此前涨停，广发证券涨超9%，浙商证券、国金证券、长城证券、光大证券等跟涨,金十数据
238,2021-09-02,国金证券入驻金桥锦绣申江园区,浦东时报
239,2021-08-31,英科医疗：天风证券、国金证券等40家机构于8月31日调研我司,证券之星
240,2021-08-31,和讯曝财报|国金证券上半年投行业务下滑近16% 业务转型下加码资管及资本中介 盈利能力下降,和讯
241,2021-08-31,国金基金上半年实现净利润180.47万元 国金证券持有49％股权,金融界
242,2021-08-31,开源证券维持国金证券买入评级，国金证券2021半年报点评：财富管理转型初见成效，定增有望增强资本实力,每日经济新闻
243,2021-08-31,国金证券“名片级”投行业务收入下滑16%，因何不进反退？上半年收入与利润微增，增速双双低于行业 盈利能力下降,财联社
244,2021-08-31,国金证券(600109)：股权投行规模同比+26% 归母净利润同比+1.4%,新浪
245,2021-08-31,一图读懂国金证券2021年中报,证券之星
246,2021-08-30,国金证券：上半年净利润同比增长1.38%,Wind
247,2021-08-30,国金证券：2021年半年度净利润约10.15亿元，同比增加1.38%,每日经济新闻
248,2021-08-30,国金证券(600109.SH)上半年归母净利润同比增长1.38%至10.15亿元,智通财经
249,2021-08-30,国金证券2021年上半年实现净利润10.20亿元，同比小幅增长1.68%,经济观察报
250,2021-08-30,国金证券(600109.SH)半年度净利润10.15亿元 同比增长1.38%,格隆汇
251,2021-08-24,【国金证券次级债】5+10亿/3年（3.0%-4.0%）/AAA/AA+/上交所/今日簿记,中信建投固定收益部
252,2021-08-23,年内筹划融资超千亿元，券商纷纷推出资本补充计划,Wind
253,2021-08-23,多部门协同发展 助力券商财富管理转型,中国基金报
254,2021-08-23,42个IPO项目突然“中止”，24家投行被殃及，背后原因是…,Wind
255,2021-08-22,“牛市旗手“突然爆发，原因找到了！,Wind
256,2021-08-21,上半年债市违约图谱:国企首超民企 房企违约率进一步提高,经济观察网
257,2021-08-20,定增热机构忙补血 七成券商“募不足”,中国经营网
258,2021-08-20,股价应声下跌！国金证券拟定增60亿元，实控人为何不参与认购？,投资时报
259,2021-08-18,国金证券收报11.53元涨7.5% 总市值348.7亿元,乐居财经
260,2021-08-18,国金证券股价涨5.9% 现报11.36元,乐居财经
261,2021-08-17,国金证券发行不超过50亿元次级公司债券获批,资本邦
262,2021-08-16,国金证券：向专业投资者发行不超过50亿元次级公司债获批,中证网
263,2021-08-16,国金证券(600109.SH)公开发行次级公司债券获证监会同意注册批复,智通财经
264,2021-08-16,二季度9家券商、14位保代被罚 债券承销与托管成重灾区 金融监管处罚,中国经营报
265,2021-08-15,非银金融行业周报：券商业绩预计向好 关注优质个股,新浪
266,2021-08-12,券商600亿新定增正上马，能完成目标吗？,Wind
267,2021-08-12,"券商""补血""遭遇烦恼，竟然7成募资不足！600亿新定增正上马，能完成目标吗？",券商中国
268,2021-08-12,国金证券(600109.SH)完成发行10亿元2021年公开发行短期公司债券(第四期)(面向专业投资者),智通财经
269,2021-08-12,国金证券点评7月金融数据：降准、降息窗口或刚打开,中新经纬
270,2021-08-12,12家券商千亿再融资在路上,Wind
271,2021-08-12,12家券商千亿再融资在路上,上证报
272,2021-08-12,国金证券：年内12家券商拟再融资超1200亿,国海证券
273,2021-08-11,十年来以近30%速度增长，该业务成业绩分水岭，多券商密集输血,新京报
274,2021-08-11,60亿定增实控人承诺不参与 国金证券会否抄民生证券“作业”？,21世纪经济报道
275,2021-08-11,国金证券拟定增7亿股募资60亿，前次募资曾无人认购以失效告终,和讯
276,2021-08-11,国金证券：拟于8月26日召开2021年第四次临时股东大会,发布易
277,2021-08-11,快讯：证券板块午后持续走弱 国金证券跌超6%,新浪
278,2021-08-11,【行情】证券板块午后持续走弱，国金证券跌超6%，东方证券、财达证券、东方财富跟跌,金十数据
279,2021-08-11,国金证券股价跌5.3% 现报10.91元,乐居财经
280,2021-08-11,券商“补血”汹涌，国金证券60亿定增预案出炉，实控人承诺不参与认购,中证报
281,2021-08-11,国金证券：发电侧才是储能星辰大海 大配储能是风光发电成人礼,金融界
282,2021-08-10,实控人承诺不参与定增，国金证券60亿定增方案出炉，实控人是何考量？12家券商年内启动再融资1300亿,财联社
283,2021-08-10,晚间重要公告2021年8月10日星期二,Wind
284,2021-08-10,国金证券(600109.SH)拟定增不超7亿股募资不超60亿元,智通财经
285,2021-08-10,国金证券：拟定增募资不超60亿元,Wind
286,2021-08-10,海通、安信、国金、第一创业等7家券商领罚监管公布12张罚单剑指投行业务违规,经济观察报
287,2021-08-09,证监会连发12条罚单！全是投行业务，这些券商被罚 金融监管处罚,中新经纬
288,2021-08-09,重估“顶流”经济：肖战们代言持续效应有限？,21世纪经济报道
289,2021-08-09,证监会连发12条罚单！全是投行业务，海通、国金、宏信、华西、东北、安信等券商被罚 金融监管处罚,中国基金报
290,2021-08-09,脱水研报：投行特色的券商 项目储备充足 净利为30% 看涨50%,巨丰财经
291,2021-08-08,7家券商、18名保代吃罚单，证监会公布二季度投行处罚信息 金融监管处罚,第一财经
292,2021-08-08,国金证券：当年累计新增借款超过上年末净资产20%,Wind
293,2021-08-07,又见券商领罚单！8家证券公司因“看门人”职责失守被警示，点名18名保荐代表人 金融监管处罚,和讯
294,2021-08-07,又有券商领罚单：8家职责失守遭警示，18名保代被点名！,Wind
295,2021-08-07,又有券商领罚单！这8家职责失守遭警示，18名保代被点名！IPO业务罚单多与信披有关 金融监管处罚,券商中国
296,2021-08-06,从严监管力度不减，证监会同天公布10条券商处罚信息，7家券商和14位保代遭罚，投行业务仍是重灾区 金融监管处罚,财联社
297,2021-08-06,关于对国金证券股份有限公司及李维嘉、李超采取出具警示函监管措施的决定,证监会
298,2021-08-05,国金证券私募基金绩效评价报告(2021年二季度),国金证券股份有限公司
299,2021-08-03,解盘：人气再次回升，疫苗、医疗物质出口、医美领涨,Wind
300,2021-08-03,A股午盘综述：医药生物指数大涨，热点题材尽数哑火,Wind
301,2021-08-03,【国金医药PSC】医药行业供应链系列专题（一）：细胞治疗风起云涌，关注相关供应链产业机遇,医药研选
302,2021-07-30,国金证券公用事业“电价分时”政策点评：分时电价差扩大 推动新型电力系统调峰建设,国金证券股份有限公司
303,2021-07-30,天微电子上市首日涨268% IPO募5.6亿国金证券赚0.4亿,中国经济网
304,2021-07-29,国金资管定制家：强大研究实力赋能资管定制业务,经济观察报
305,2021-07-28,112家券商投行排名出炉！收入井喷两倍增幅，两中一海居前三，民生入围前十，多家中小券商增速爆发,财联社
