,2021-12-31,【银华基金】交易日报 2021-12-31,新浪
58,2021-12-28,【银华基金】交易日报 2021-12-28,新浪
59,2021-12-28,巨无霸可转债兴业转债入场，今年银行转债发行达1100亿,第一财经
60,2021-12-28,"兴业银行现1笔大宗交易 共成交5,298.81万元",新浪
61,2021-12-28,艾融软件再拿下2个大单！中标工商银行和上海银行两大采购项目,同壁财经
62,2021-12-28,每经18点|陕西延安新增本土确诊病例2例；兴业银行被北上资金净买入近6亿元；恒驰汽车量产下线仪式可能要到明年初,每日经济新闻
63,2021-12-28,最新出炉！12月28日沪深股通净流入12.92亿，其中5.932亿都买了它,每经网
64,2021-12-28,北上资金净买入兴业银行5.93亿元，净卖出贵州茅台7.65亿元,格隆汇
65,2021-12-28,北向资金净买入12.93亿元 兴业银行净买入5.93亿元,新浪
66,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
67,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
68,2021-12-28,转债中签结果：兴业银行公布中签号,中财网
69,2021-12-28,兴业银行可转债中签结果出炉：超1064万个,财联社
70,2021-12-28,兴业银行长沙分行：擦亮“三张名片” 服务湖南“三高四新”战略,证券日报网
71,2021-12-28,兴业银行在湘落地首笔分布式光伏发电项目并购贷款,红网
72,2021-12-28,兴业银行(601166.SH)可转债网上中签结果出炉：中签号共1064.1202万个,格隆汇
73,2021-12-28,绿色项目需具备可持续性，兴业银行如何建设绿色金融产品体系？,时代周报
74,2021-12-28,“真香”引发“真卷”！可转债打新户数破1100万,Wind
75,2021-12-28,兴业银行厦门分行为制造业转型发展增添绿色动力,中国金融新闻网
76,2021-12-28,14股获杠杆资金净买入超亿元,证券时报网
77,2021-12-28,融资客青睐9股，光大银行买入占比高达42.39%,Wind
78,2021-12-28,年终报道 | 年内银行动用多元资本补充工具密集“补血”数千亿元 2022年资本补充压力仍存,财联社
79,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
80,2021-12-28,华创固收2022年可转债年度策略报告：“局促”环境下的应对,Wind
81,2021-12-28,银行业零售布局再升级 “大零售”“大财富”成为转型发展关键词,中国金融新闻网
82,2021-12-28,减少消费者选择焦虑，银行App爱“瘦身”更爱财富管理,Wind
83,2021-12-28,年末大宗交易增多，机构抢筹藏玄机,Wind
84,2021-12-27,银行兴起数字极简风：“智能手机App恐惧症”终于有救了,第一财经
85,2021-12-27,年内“补血”需求旺盛 银行可转债迎来发行潮,北京商报
86,2021-12-27,兴业银行(601166.SH)：“兴业转债”网上中签率约为0.0986%,智通财经
87,2021-12-27,转债申购结果：兴业银行转债公布中签率,中财网
88,2021-12-27,福建水泥(600802.SH)拟参与认购兴业银行可转债及兴业证券配售新股,智通财经
89,2021-12-27,兴业银行三明分行：践行金融担当 服务地方发展,中国金融新闻网
90,2021-12-27,银行行业研究周报：政策发力 估值筑底,新浪
91,2021-12-27,银行间交易商协会要求青岛胶州城投补充10亿元超短融注册文件,观点地产网
92,2021-12-27,积极践行“双碳”目标，注入绿色金融创新活力 兴业银行厦门分行积极通过政银企合作，助推绿色金融跨越式发展,和讯
93,2021-12-27,“为客户多想一步、想早一步” ——浅谈兴业信用卡运营管理中的“新四化建设”,北国网
94,2021-12-27,再创新高 兴业银行南京分行全年债券承销突破800亿元,荔枝网
95,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
96,2021-12-27,神华每日财经,神华期货
97,2021-12-27,兴业银行与深圳交易集团签订合作协议,深圳商报
98,2021-12-27,陆家嘴财经早餐2021年12月27日星期一,Wind
99,2021-12-27,货币政策“以我为主”显自信，精准调控渐入臻境,Wind
100,2021-12-27,“持牌私行”队伍扩容 财富管理成私人银行业务转型突破口,证券日报
101,2021-12-26,乱象过后日趋规范，上海重现异地银行资金营运中心设立潮,第一财经
102,2021-12-26,这家大行低调下线一款支付类App 手机银行“瘦身”会成为趋势吗,北京商报
103,2021-12-26,2022年Q1还有春季躁动行情吗？,王杨一东吴策略
104,2021-12-26,专题：TLAC之下，银行资本工具发行需求有多大？,志明看金融
105,2021-12-26,兴业转债申购价值分析：商行+投行双引擎的银行航母,新浪
106,2021-12-26,时隔十年监管再发私行专营牌照，银行零售业务破局路在何方？,Wind
107,2021-12-26,时隔十年监管再发私行专营牌照，银行零售业务破局路在何方？,第一财经
108,2021-12-25,年内最大银行可转债下周一认购，福建省财政厅将参与兴业转债配售,电鳗快报
109,2021-12-25,中国上市公司500强：银行包揽前四，85家利润超100亿元,腾讯网
110,2021-12-25,突围高净值市场 私行专营机构争相挂牌,中国经营报
111,2021-12-25,结构性存款“变阵”，规模骤降探路转型,Wind
112,2021-12-25,【固收】基本面持续向好，“商行+投行”战略进行中——兴业转债（113052.SH）新券定价报告（张旭）,新浪
113,2021-12-24,【银华基金】交易日报 2021-12-24,新浪
114,2021-12-24,智通A股机构动向参考(01.05) | 退潮期,智通财经
115,2021-12-24,"兴业银行现10笔大宗交易 共成交20,513.87万元",新浪
116,2021-12-24,兴业银行今日大宗交易成交518.82万股，成交价19.07元溢价0.0%,Wind
117,2021-12-24,兴业银行厦门分行持续精准服务小微企业,中国金融新闻网
118,2021-12-24,浦口康居建设拟发行5亿元中期票据，用于保障房项目建设,乐居财经
119,2021-12-24,兴业银行多措并举助推福建驶入高质量发展快车道,中国金融新闻网
120,2021-12-24,11股获杠杆资金净买入超亿元,证券时报网
121,2021-12-24,兴业银行为实体企业承销债券近4000亿元,中国金融新闻网
122,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
123,2021-12-24,盘前情报丨华为首款鸿蒙汽车、纵向折叠屏手机重磅发布，供应链或受益,21世纪经济报道
124,2021-12-24,北向资金动向盘点：逢高减持食品饮料,Wind
125,2021-12-24,有望“二中一”，今年最后一个打新盛宴来了！,Wind
126,2021-12-24,北向资金结束连续4日净卖出，大幅出逃酿酒板块，“茅五泸”均被抛售,21世纪经济报道
127,2021-12-24,申购在即！巨无霸可转债要来了,Wind
128,2021-12-24,申购在即！巨无霸可转债要来了，心动or行动？,中证报
129,2021-12-24,银行以票充贷需求大，年末票据利率跌至“零”附近,Wind
130,2021-12-24,融资成本低，商业银行青睐发行可转债,Wind
131,2021-12-24,可转债打新再迎盛宴，500亿元兴业转债下周启动网上申购,Wind
132,2021-12-23,省政府与兴业银行签署合作协议 王宁王予波吕家进共同见证签约,云南发布
133,2021-12-23,银行股频繁“破净”，迎来年内最大规模可转债“兴业转债”,国际金融报
134,2021-12-23,兴业转债：商行+投行驱动的大盘银行转债——申购价值分析【华创固收 | 周冠南团队】,新浪
135,2021-12-23,沪港通十大成交活跃股排名（12月23日）,Wind
136,2021-12-23,深入推进普惠金融 兴业银行厦门分行多措并举关注小微企业发展,中国金融新闻网
137,2021-12-23,兴业银行绵阳分行着力化解融资难题 助推科创小微企业快速发展,金融投资报
138,2021-12-23,兴业银行宁德分行 打造供应链金融服务新生态,中投网
139,2021-12-23,办卡还要捐款？监管严禁银行开卡捆绑其他业务　霸王条约该终结了,时代周报
140,2021-12-23,年内最大规模可转债来袭 银行系权重居高不下,中投网
141,2021-12-23,绿色金融“碳”寻记：兴业银行北京分行 赤道银行基因的“京版”落地,北京商报
142,2021-12-23,时隔10年私人银行牌照再重启，兴业银行成首家股份行私行持牌机构,资本邦
143,2021-12-23,兴业银行厦门分行助力城市环境更靓丽,金融界
144,2021-12-23,商业银行“补血”激战再融资市场，年内核心一级资本补充方案已实施破千亿,资本邦
145,2021-12-23,引领绿色消费新风尚 兴业银行信用卡持续创新绿色金融服务,第一财经
146,2021-12-23,兴业银行：拟发行500亿元可转债,全景网
147,2021-12-23,A股融资融券日报：两融余额增加24.04亿元（12月22日）,Wind
148,2021-12-23,时隔近十年监管再次下发牌照 股份行首家私人银行专营机构开业,证券日报
149,2021-12-22,兴业银行厦门分行发挥绿色金融力量，打造产业升级新样本,和讯
150,2021-12-22,聚焦重点领域，支持绿色项目长远发展 兴业银行厦门分行充分发挥绿色银行品牌特色，助力城市生态文明建设,和讯
151,2021-12-22,又一家股份行披露私行部筹建进展 逐鹿高端市场，银行如何“抢蛋糕”,北京商报
152,2021-12-22,晶澳科技与兴业银行签订战略合作协议,e公司
153,2021-12-22,兴业银行(601166.SH)：“兴业转债”将于12月27日开启网上申购,智通财经
154,2021-12-22,年关将至，邮储、平安、兴业、广发、中信等银行集中抛甩不良“包袱”,金融界
155,2021-12-22,兴业银行：发行可转债500亿元，申购日为12月27日,每日经济新闻
156,2021-12-22,特别策划｜让“供应链”成为“共赢链” 兴业银行持续升级供应链融资解决方案,财经杂志
157,2021-12-22,兴业银行兰州分行落地甘肃省首单碳汇贷,和讯
158,2021-12-22,兴业银行厦门分行：通过政银企合作，助推绿色金融跨越式发展,中国金融新闻网
159,2021-12-22,兴业银行12月22日大宗交易成交2240.57万元,证券时报网
160,2021-12-22,"兴业银行现1笔大宗交易 共成交2,240.57万元",新浪
161,2021-12-22,可转债上市首日火爆再现，两方面或触发估值调整风险！,Wind
162,2021-12-22,兴业银行北京分行与中信证券达成首单“碳中和”概念信用风险缓释合约交易,证券日报网
163,2021-12-22,“商行+投行”助力实体经济高质量发展,搜狐
164,2021-12-22,2021基金经理调研报告：基民不赚钱原因找到了,Wind
165,2021-12-22,兴业银行临沂分行“秒贴+再贴现”模式，精准助力实体经济,鲁网
166,2021-12-22,兴证国际(6058.HK)：荣获最具社会责任公司奖，树立金融企业ESG标杆,格隆汇
167,2021-12-22,26亿个贷不良资产包年末加速处理,21经济网
168,2021-12-22,兴业银行青岛分行落地1亿元保障性住房租赁贷款业务,中国金融新闻网
169,2021-12-22,股份行首家私人银行专营机构获批开业,金融界
170,2021-12-22,激发市场主体活力 福建金服云平台解决融资需求突破1000亿元,和讯
171,2021-12-22,银保监会批准兴业银行私人银行部开业,中国网
172,2021-12-22,超500家机构账户：解密个贷不良资产包,Wind
173,2021-12-22,兴业银行潍坊分行举办2022年资本市场展望投资报告会,腾讯网
174,2021-12-22,【通稿】兴业消费金融七周年：稳中求进 行稳致远,凤凰网
175,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
176,2021-12-22,每经9点丨国家卫健委：昨日新增本土确诊病例57例，其中陕西53例；中国移动等3股今日申购；宁德时代全球布局最大单体项目在福鼎投产,每日经济新闻
177,2021-12-22,12月21日37只个股获券商关注，三六零目标涨幅达74.63%,每经网
178,2021-12-22,可转债周报：转债市场小幅震荡调整 日均成交额明显缩量,新浪
179,2021-12-21,利好连连！银行股大幅拉涨 主力、机构青睐这些个股,第一财经
180,2021-12-21,超500家机构账户：解密个贷不良资产包里都“包”了点什么？,第一财经
181,2021-12-21,机构推荐这些个股 兴业银行还可涨72%,第一财经
182,2021-12-21,【晚间公告抢先看】苏泊尔称激励计划不存在利益输送情形、16连板三羊马22日起停牌核查,金融界
183,2021-12-21,晚间公告｜12月21日这些公告有看头,第一财经
184,2021-12-21,兴业银行私人银行专营机构获准开业,和讯
185,2021-12-21,LPR下调5个基点!目前成都首套房贷利率如何?,搜狐
186,2021-12-21,兴业银行：银保监会同意本公司私人银行部开业，并核发《金融许可证》,36氪
187,2021-12-21,兴业银行：私人银行部获准开业,Wind
188,2021-12-21,兴业银行私行业务独立持牌正式获批，私行AUM已近8000亿元,证券时报网
189,2021-12-21,2021（第四届）零售银行领导者年会圆满落幕！,中金在线
190,2021-12-21,私行专营牌照到手！兴业银行私人银行部获批开业，戴叙贤任总经理,搜狐
191,2021-12-21,浙商证券：给予兴业银行买入评级，目标价位33.5元,证券之星
192,2021-12-21,兴业银行杭州分行为乡村振兴注入金融活力,中国金融新闻网
193,2021-12-21,一点接入、联通全球！兴业银行共享直连全球资金管理平台升级,南都报
194,2021-12-21,银行周榜｜建行、工行“华山论剑”，兴业银行连遇强敌,中国银行保险报
195,2021-12-21,监管收紧下多银行暂停智能投顾业务 少数银行能正常提供服务或涉“无证驾驶” 其他违规处罚,搜狐
196,2021-12-21,【浙商|银行梁凤洁/邱冠华】兴业银行：新十年，新动能,新浪
197,2021-12-21,产品创新步入快车道 银行业加快提升绿色金融服务能力,中国金融新闻网
198,2021-12-21,兴业银行厦门分行：助力环保科创企业成长,中国金融新闻网
199,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
200,2021-12-21,【动态】兴业研究公司绿金成果获“2021年十大绿色金融案例奖”,兴业研究
201,2021-12-21,LPR时隔20个月首次下调，明年仍有下降空间,Wind
202,2021-12-21,年内迎首次“降息”，货币政策发力稳增长,Wind
203,2021-12-20,丰林集团为全资子公司钦州丰林提供4.5亿元担保 大额借贷担保,乐居财经
204,2021-12-20,兴业银行达成全国首单挂钩“碳中和债”信用风险缓释合约交易,金融界
205,2021-12-20,中国银联云闪付App试点“一键查卡”功能,IT之家
206,2021-12-20,兴业银行大宗交易成交352.00万元,证券时报网
207,2021-12-20,兴业银行现1笔大宗交易 共成交352.00万元,新浪
208,2021-12-20,兴业银行今日大宗交易成交20万股，成交价17.6元折价9.84%,Wind
209,2021-12-20,香港品质保证局专题研讨会 可持续金融及气候适应·香,中国网
210,2021-12-20,兴业银行首席经济学家鲁政委：LPR下降为金融系统向实体经济让利创造有利条件 未来LPR仍有下降空间,上证报
211,2021-12-20,兴业银行泸州分行召开实体企业座谈交流会 纾解小微融资难题,金融投资报
212,2021-12-20,兴业银行西安分行助力西安新市民圆“安居梦”,中投网
213,2021-12-20,百洋医药为两家子公司提供担保，担保最高债务本金共计6240万元 大额借贷担保,乐居财经
214,2021-12-20,12月个贷不良转让上新提速，5家银行共计转让债权超20亿,资本邦
215,2021-12-20,兴业银行厦门分行投行业务今年融资额破500亿元,和讯
216,2021-12-20,郑商所2021年度高级分析师揭晓兴业期货榜上有名,期货日报网
217,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
218,2021-12-20,瑞鹄汽车模具股份有限公司关于使用部分闲置募集资金进行现金管理的进展公告,腾讯网
219,2021-12-20,26亿元“包袱”年末集中甩，银行个贷不良转让试点渐入正轨,Wind
220,2021-12-20,2021年可转债供给总量和结构盘点——可转债周报【华创固收 | 周冠南团队】,华创债券论坛
221,2021-12-19,周末影响A股十大事件来了！,Wind
222,2021-12-19,【浙商策略王杨】秋收冬藏：以退为进，关注稳增长链,王杨一东吴策略
223,2021-12-19,银行行业周报：信用卡迎来规范化发展 理财流动性新规落地,新浪
224,2021-12-18,行业规范助力“双碳” 绿色金融日渐走俏,中国经营报
225,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
226,2021-12-18,山东惠发食品股份有限公司 关于签订募集资金专户存储三方监管协议的公告,中证报
227,2021-12-17,【银华基金】交易日报 2021-12-17,新浪
228,2021-12-17,中国企业社会创新旗舰项目评估报告发布,经济日报
229,2021-12-17,海信家电：认购理财产品2亿元,Wind
230,2021-12-17,一财年度首席调研：2022年GDP增速预测均值回落，政策稳字当头,第一财经
231,2021-12-17,兴业银行肇庆分行开业 完成大湾区内地9市全覆盖,上证报
232,2021-12-17,兴业信托投资蓝色债券，助力福建海洋经济发展,经济观察网
233,2021-12-17,兴业信托助力扬州世园会诠释绿色发展理念,经济观察网
234,2021-12-17,充分发挥信托优势，为寿光蔬菜浇灌“金融活水”,经济观察网
235,2021-12-17,兴业银行厦门分行：化初心为匠心 锻造小微企业“精品服务”,中国金融新闻网
236,2021-12-17,兴业银行银川分行：多举措提升服务地方经济发展质效,中国金融新闻网
237,2021-12-17,兴业银行肇庆分行开业，肇庆迎来首家“碳中和网点”,奥一网
238,2021-12-17,央行榜单刷屏！金融机构重金砸向硬科技，银行业霸屏,Wind
239,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
240,2021-12-17,每经9点|浙江嘉兴两所高校紧急封闭管理；福奇：奥密克戎数周内或成美国主流毒株，医院恐不堪重负,每日经济新闻
241,2021-12-17,12月16日22只个股获券商关注，兴业银行目标涨幅达71.79%,每经网
242,2021-12-17,兴业研究公司2022年度策略会圆满落幕,新浪
243,2021-12-16,银行业2021年十件大事，你了解了吗？,中证报
244,2021-12-16,23股今日获机构买入评级,证券时报网
245,2021-12-16,兴业银行(601166.SH)拟给予龙岩文旅汇金集团系列关联交易额度231亿元,智通财经
246,2021-12-16,兴业银行大连分行 支持专精特新“小巨人”企业,中国金融新闻网
247,2021-12-16,“一点接入、联通全球” 兴业银行共享直连全球资金管理平台再升级,财经网
248,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
249,2021-12-16,浙商证券维持兴业银行买入评级：转债再次提速，最佳买点已现,每日经济新闻
250,2021-12-16,浙商证券：给予兴业银行买入评级，目标价位33.5元,证券之星
251,2021-12-16,兴业银行(601166)：更高效的执行、更厚实的资本 预期纠偏打开估值空间,新浪
252,2021-12-16,商业银行行业：商业银行业日报,新浪
253,2021-12-16,多元配置成主流，结构性存款产品失宠,Wind
254,2021-12-16,转债打新冲刺1100万户，银行券商转债受青睐,Wind
255,2021-12-16,兴业银行股份有限公司关于公开 发行A股可转换公司债券申请 获得中国证券监督管理委员会 核准批文的公告,中证报
256,2021-12-15,打新户数三年暴增500倍！500亿元巨无霸快速获批文，再添一把火？,上证报
257,2021-12-15,晚间重要公告2021年12月15日星期三,Wind
258,2021-12-15,兴业银行：获准发行500亿元可转债 期限6年,中证网
259,2021-12-15,厦门：金融支持绿色低碳发展显成效,中国金融新闻网
260,2021-12-15,兴业银行公开发行可转债申请获核准批复,上证报
261,2021-12-15,ST星源：与兴业银行签订授信合同,每日经济新闻
262,2021-12-15,兴业银行(601166.SH)公开发行A股可转债申请获中国证监会批准,智通财经
263,2021-12-15,兴业银行(601166.SH)：获核准公开发行500亿元的A股可转债,格隆汇
264,2021-12-15,兴业银行南京分行助农户坐享“阳光收入” ——15分钟！首笔线上农户光伏贷落地,荔枝网
265,2021-12-15,兴业银行长沙分行助力乡村振兴显担当,中国金融新闻网
266,2021-12-15,兴业银行深圳分行“跨境理财通”业务上线 开辟粤港澳大湾区跨境投资新通道,搜狐
267,2021-12-15,引金融活水助力地方经济发展 兴业银行苏州分行积极发挥投行“尖刀”作用,大众证券报
268,2021-12-15,A股融资融券日报：两融余额增加9.31亿元（12月14日）,Wind
269,2021-12-15,百万年薪招兵买马！今年以来上市银行高管变动超170次,Wind
270,2021-12-15,用“含绿量”检验“含金量” 为经济发展注入金融活水,经济参考报
271,2021-12-14,信用卡投诉同比增长23%、个贷业务同比增长112.6%，光大银行第三季度投诉量位列股份行首位,凤凰网
272,2021-12-14,艾融软件成为上海银行人力采购项目供应商 本月内连续拿下两个重大项目,同壁财经
273,2021-12-14,北向资金盯紧券商股，爆买百亿仅次于食品饮料，东财、中信、华泰、广发净买入最高，华林增仓比例最高,财联社
274,2021-12-14,银行智能投顾江湖生变：多家按下暂停键,中新经纬
275,2021-12-14,服务经济高质量发展 兴业银行为实体企业承销债券近4000亿元,搜狐
276,2021-12-14,林腾蛟不躺平 | 自救②,金融界
277,2021-12-14,银行周榜｜建行单挑工行“战队”，兴业银行强势登顶,中国银行保险报
278,2021-12-14,银行行业周观点：稳增长政策有助于提振板块估值,新浪
279,2021-12-14,兴业银行荣获“2021年度银行业精品投行天玑奖”,搜狐
280,2021-12-14,元宇宙满屏涨停，北上资金爆买金融白酒,Wind
281,2021-12-13,银行行业周报：中央经济工作会议释放积极预期 板块估值延续修复,新浪
282,2021-12-13,媒体速递 | 鼎新革故、服务大局 兴业基金权益投研行高质量发展之路,新浪
283,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
284,2021-12-13,11月银行间市场发行规模环比上升，中票发行成本涨跌互现，短融发行成本上升,中证鹏元评级
285,2021-12-13,兴业银行荣获IFF“2021全球绿色金融奖”,陆家嘴金融网
286,2021-12-13,吕家进：促进共同富裕关键在服务实体经济高质量发展,财经网
287,2021-12-13,银行业联合开展主题宣传活动 兴业银行信用卡保护持卡人合法权益,北国网
288,2021-12-13,政采云金融服务创新升级，让供应商融资不再难,凤凰网
289,2021-12-13,A股融资融券日报：两融余额增加0.16亿元（12月10日）,Wind
290,2021-12-13,每经8点|黑龙江讷河发现5人核酸样本结果呈阳性；11月中国运输生产指数发布：客运同比下降43.5%；多家上市公司因疫情公告停产,每日经济新闻
291,2021-12-13,交运业绿色转型蕴藏巨大商机,Wind
292,2021-12-12,【浙商梁凤洁/邱冠华】2022年策略：稳增长，买银行,大话金融
293,2021-12-12,不止招行、工行，中信、广发、江苏等银行智能投顾产品也暂停买入,21世纪经济报道
294,2021-12-12,不止招行、工行，中信、广发、江苏等银行智能投顾产品也暂停买入,Wind
295,2021-12-12,银行行业周报：稳经济 利好银行,新浪
296,2021-12-12,券商评级一周速览：133只个股获券商关注，兴业银行目标涨幅达82.75%,每经网
297,2021-12-12,注意！机构四季度大概率在继续加仓新能源，并重新增配大消费！,红周刊
298,2021-12-12,《中国超高净值人群社会责任白皮书》：九成以上超高净值人群主动考虑社会公益,中国经营报
299,2021-12-12,流动性预期宽裕 大金融迎来窗口期,金融投资报
300,2021-12-12,消费新城正扬帆,经济日报
301,2021-12-11,蜂巢能源完成60亿元B＋轮融资,Wind
302,2021-12-11,12月10日23只个股获券商关注，兴业银行目标涨幅达82.75%,每经网
303,2021-12-11,兴业银行济南分行线上“兴农贷”来了，“菜篮子”有了新保障,鲁网
304,2021-12-10,三季度银行业个贷投诉同比增加38.6%,中国银行保险报
305,2021-12-10,兴业银行(601166)公司点评：可转债顺利过会 为加速转型蓄力,新浪
306,2021-12-10,兴业银行广州分行行长金林一行签署重要合作协议,凤凰网
307,2021-12-10,福建省首个企业新台币账户落地兴业银行,中金在线
308,2021-12-10,北向资金本周净买入额创历史新高，连续6日抢筹贵州茅台累计加仓超47亿,Wind
309,2021-12-10,喜迎新貌，再启新程 兴业银行龙岩龙腾社区支行乔迁开业,中国金融新闻网
310,2021-12-10,兴业银行厦门禾祥西支行 厝边好网点 社区好邻居,和讯
311,2021-12-10,兴业银行厦门分行：让金融普惠老人 打造“老年友好型”银行,中国金融新闻网
312,2021-12-10,兴业银行南京分行金融助农“小故事”， 服务乡村振兴“大文章”,荔枝网
313,2021-12-10,兴业银行滨州分行瞄准涉农领域助力乡村振兴成效,和讯
314,2021-12-10,兴业银行天津分行金融助力乡村振兴,中国金融新闻网
315,2021-12-10,注意了！三季度这些银行消费投诉量最多！,中国金融新闻网
316,2021-12-10,第三季度银行业消费投诉情况发布：个人贷款业务投诉量同比增38.6%,21世纪经济报道
317,2021-12-10,第三季度光大银行信用卡业务投诉量居股份制商业银行首位,中国经济网
