,2021-12-31,大悦城对佛山淦盈提供1.75亿元担保 大额借贷担保,乐居财经
56,2021-12-21,光大银行数字金融部药明：绿色金融发展动力仍显不足 建议充分重视其经营地位,金融界
57,2021-12-20,年内首次下调，1年期LPR降至3.8%,Wind
58,2021-12-20,中国银联云闪付App试点“一键查卡”功能,IT之家
59,2021-12-20,经“9”相伴 共创美好 光大银行全新发布手机银行9.0,中国网
60,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
61,2021-12-20,首个碳排放履约周期临近结束，全国碳市场交易大幅升温,Wind
62,2021-12-20,审慎混改下“合并同类项”，创新力提升待破题,Wind
63,2021-12-18,经“9”相伴共创美好 光大银行全新发布手机银行9.0,海南在线
64,2021-12-18,“十四五”力促中小企业发展，支持更多“专精特新”企业上市挂牌,Wind
65,2021-12-17,【银华基金】交易日报 2021-12-17,新浪
66,2021-12-17,【日报｜国君煤炭翟堃】11月份鄂尔多斯销售煤炭7458万吨 同比增长14%,煤市乾坤
67,2021-12-17,光大永明鑫光明终身寿险荣获“年度畅销保险产品”奖,凤凰网
68,2021-12-17,企业手机银行竞逐赛 政策性银行也入局,中国电子银行网
69,2021-12-17,光大银行：结合每一会计期间内的宏观趋势及个案形势 动态审慎计量恒大集团的信贷敞口问题减值准备 资产异常,财联社
70,2021-12-17,【碳中和行业动态】落实“双碳”目标，建设“绿色光大”！,搜狐
71,2021-12-17,民生与光大银行被剔除上证50指数 资产质量及股价表现均弱于行业 剔除指数,面包财经
72,2021-12-17,“双碳”背景下2022年国内钢铁需求或下降0.7%，行业集中度仍待提升,Wind
73,2021-12-16,光大银行携手上海环交所：勇担时代责任，推动绿色发展,中国金融新闻网
74,2021-12-16,光大银行与上海环交所建立战略合作伙伴关系,中证网
75,2021-12-16,海外信用评级汇总2021年12月16日星期四,Wind
76,2021-12-16,四个关键词 让光大银行重庆分行获得这份全国级奖状,上游新闻
77,2021-12-16,光大银行(601818.SH)滨海分行收天津证监局警示函，销售产品时未要求客户书面承诺符合合格投资者条件 金融监管处罚,智通财经
78,2021-12-16,穆迪：维持光大银行“Baa2”长期外币存款评级，展望“稳定”,Wind
79,2021-12-16,手机银行数字竞争力排行榜TOP100 (2021年Q3),零壹财经
80,2021-12-16,国常会最新部署！小微货币政策有新安排！支持更多专精特新企业成长,Wind
81,2021-12-16,多元配置成主流，结构性存款产品失宠,Wind
82,2021-12-16,大力拓展县域“教育云” 助力人民美好生活,经济日报
83,2021-12-15,上海环交所与光大银行达成战略合作 共同推动碳市场金融化,上证报
84,2021-12-15,杨兵兵：光大银行如何制定金融科技顶层规划，推进银行数字化转型实践,中国银行
85,2021-12-15,“降息”预期落空传递什么信号？,Wind
86,2021-12-15,光大银行获“年度最佳股份制银行”奖,中新网
87,2021-12-15,深圳楼市回暖在即？ 部分银行下调房贷利率 二手房成交量反弹,证券日报
88,2021-12-14,百城卖地逾4万亿元同比下降7% 深圳部分银行下调房贷利率,证券日报
89,2021-12-14,信用卡投诉同比增长23%、个贷业务同比增长112.6%，光大银行第三季度投诉量位列股份行首位,凤凰网
90,2021-12-14,三季度个人贷款业务消费投诉增长近四成,财富动力网
91,2021-12-14,个人住房贷款投放加快，房地产融资环境改善,Wind
92,2021-12-14,深圳个别银行下调房贷利率，国有大行未跟进,Wind
93,2021-12-14,地产融资“恢复正常”再确认，11月房地产贷款同比增逾2000亿元,Wind
94,2021-12-13,个人住房贷款、开发贷双双同比多增！房地产融资回暖迹象增多,Wind
95,2021-12-13,光大银行零售金融多方面发力 支持实体经济、助力民生服务,金融界
96,2021-12-13,漳州城投完成发行7亿元超短期融资券 发行利率2.89%,观点地产网
97,2021-12-13,A股融资融券日报：两融余额增加0.16亿元（12月10日）,Wind
98,2021-12-13,稳中求进定调明年经济工作，应对“三重压力”出新招,Wind
99,2021-12-13,助力浙江高质量发展建设共富示范区,经济日报
100,2021-12-10,三季度银行业个贷投诉同比增加38.6%,中国银行保险报
101,2021-12-10,首批养老理财来了：1元起投、封闭期5年，预期收益率5%-8%,经济观察报
102,2021-12-10,注意了！三季度这些银行消费投诉量最多！,中国金融新闻网
103,2021-12-10,第三季度银行业消费投诉情况发布：个人贷款业务投诉量同比增38.6%,21世纪经济报道
104,2021-12-10,第三季度光大银行信用卡业务投诉量居股份制商业银行首位,中国经济网
105,2021-12-10,银行函证区块链服务平台投入应用，平安银行回函的4笔全流程自动化电子函证落地,Wind
106,2021-12-10,银保监会：今年三季度接收银行业消费投诉近九万件 较去年同期增长2.6%,银保监会
107,2021-12-10,光大银行上一日融资余额16.83亿元，股票质押共有4笔,资本邦
108,2021-12-10,银保监会：三季度银行业个人贷款业务投诉同比增长38.6%,Wind
109,2021-12-10,11月居民中长期贷款增加，社融存量增速反弹,Wind
110,2021-12-10,11月CPI同比上涨2.3%创年内新高，PPI与CPI“剪刀差”触顶回落,Wind
111,2021-12-09,升破6.35关口，人民币汇率创三年半新高,Wind
112,2021-12-08,光大银行深圳分行联合“奈雪的茶”实现首笔助农贷款投放,搜狐
113,2021-12-08,海南启动入境游客移动支付便利化试点,中国金融新闻网
114,2021-12-08,养老理财首日大卖，有银行一日募集30亿，个别银行剩余额度已不多,资本邦
115,2021-12-08,光大银行南京分行：“绿色金融”活水来 “美丽江苏”展新颜,大众证券报
116,2021-12-08,A股融资融券日报：两融余额减少43.44亿元（12月7日）,Wind
117,2021-12-08,外资布局中国资管业力度加大,Wind
118,2021-12-08,条码互扫推进超预期，支付生态开放提速,Wind
119,2021-12-08,养老理财产品热销 有银行首日卖出30亿元 第二批有望12月底发行,证券日报
120,2021-12-07,财华洞察|万亿降准，券商、银行和保险板块“隐现”投资机会？,财华社
121,2021-12-07,荣盛发展：为荣盛实业不超过9000万元融资提供担保 大额借贷担保,中金在线
122,2021-12-07,荣盛发展为荣盛实业融资提供9400万元担保 大额借贷担保,乐居财经
123,2021-12-07,智通每日大行研报丨大摩予中远海控(01919)目标价21.2港元 吉利汽车(00175)获多家机构看好,智通财经
124,2021-12-07,光大养老理财青岛试点启动 首日募集战绩颇丰,搜狐
125,2021-12-07,A股融资融券日报：两融余额减少24.72亿元（12月6日）,Wind
126,2021-12-07,今年4家银行登陆A股，明年中小银行IPO料提速,Wind
127,2021-12-07,养老理财试点产品首日销售火爆,Wind
128,2021-12-07,机构做足功课、投资者热情高，首批养老理财产品闪亮登场,Wind
129,2021-12-06,【天风非银】中国光大控股：中国领先的跨境资产管理投资稀缺标的,新锐视角看金融
130,2021-12-06,1元起投 首批养老理财四地试点发行 首日认购火热,经济观察报
131,2021-12-06,华晨汽车集团控股有限公司：涉及重大诉讼 诉讼纠纷,Wind
132,2021-12-06,光大银行深圳分行荣获（第七届）中国金融年会“年度社会责任大奖”,深圳新闻网
133,2021-12-06,科技创新 未来可期 | 光大集团展演10个优秀创新项目,北国网
134,2021-12-06,光大理财首款养老理财产品青岛开售,中证网
135,2021-12-06,如何在大数据中安全遨游 银行业在隐私计算中寻找答案,中国金融新闻网
136,2021-12-06,房地产贷款连续两个月回暖，三类地产股有望否极泰来？,第一财经
137,2021-12-06,重罚！拉卡拉因多项业务违规被罚没近360万元 近5年屡次被处罚 合计罚款超400万 其他违规处罚,和讯
138,2021-12-06,A股融资融券日报：两融余额减少18.05亿元（12月3日）,Wind
139,2021-12-06,房地产融资恢复正常，11月贷款投放继续回升,Wind
140,2021-12-05,中国金融时报：恒大事件短期冲击逐步明朗化！房企融资加速回暖,Wind
141,2021-12-05,环比、同比继续“双升”，金融机构对房地产企业融资行为已恢复正常,Wind
142,2021-12-04,“滚隔夜”杠杆套利凶猛，低息资金集聚金融市场,Wind
143,2021-12-03,光大银行：“17凤凰MTN001”和“17凤凰MTN002”违约后续,Wind
144,2021-12-03,金融周报｜银保监会加快建设中国金融人才库；我国养老理财试点正式开启； 中国人寿80.25亿增资广发银行···,财经网
145,2021-12-03,光大理财首款养老理财产品正式面世,上证报
146,2021-12-03,光大银行太原迎泽大街支行因办理无真实贸易背景的银行承兑汇票被罚40万,中华网
147,2021-12-03,A股融资融券日报：两融余额减少72.45亿元（12月2日）,Wind
148,2021-12-03,配股融资持续升温，上市银行积极“补血”,Wind
149,2021-12-02,【银华基金】交易日报 2021-12-2,新浪
150,2021-12-02,“12光大次级债”12月2日13时13分发生价格异动 成交价大幅偏离估值,Wind
151,2021-12-02,隆平高科两子公司高管内幕交易 两人合计亏损4000万 董监高成员异常事件,中国经济网
152,2021-12-02,今天上会的“台股拆A股”企业，充满了很多难以理解之处！,中金在线
153,2021-12-02,A股融资融券日报：两融余额增加5.37亿元（12月1日）,Wind
154,2021-12-02,金融主管部门释放“保障刚需合理个贷需求”信号，广州市场房贷真的松了,南方日报
155,2021-12-02,监管“喊话”后房贷奏效了吗？调查22家银行：房贷真的松了！,Wind
156,2021-12-02,南方日报调查：广州市场房贷真的松了，有国有银行开始下调房贷利率,Wind
157,2021-12-02,鲍威尔展露“鹰派”面目，应对高通胀 其他经济体央行会否仿效？,Wind
158,2021-12-01,海外信用评级汇总2021年12月1日星期三,Wind
159,2021-12-01,惠誉：授予光大银行香港分行高级无抵押票据“BBB”最终评级,Wind
160,2021-12-01,"解码首个隐私计算金融平台, 数据资产化还有多远？",财经网
161,2021-12-01,11月制造业重回扩张区间，生产加速恢复内需有待提振,Wind
162,2021-11-30,光大银行副行长赵陵任职资格获批,北京商报
163,2021-11-30,中国银保监会关于光大银行赵陵任职资格的批复,新浪
164,2021-11-30,光大银行昆明分行为客户提供暖心上门服务,云南经济日报
165,2021-11-30,元宇宙炒作图谱：2大新特征正在浮现,Wind
166,2021-11-30,元宇宙炒作图谱：游资前仆后继，上演“最小阻力式”博弈,Wind
167,2021-11-30,11月同业存单净融资规模，创下近3年来单月新高,Wind
168,2021-11-29,【银华基金】交易日报 2021-11-29,新浪
169,2021-11-29,双成药业以自有资产抵押贷款5000万元,乐居财经
170,2021-11-29,光大银行深圳分行28周年“十大最美光阴故事”｜全国首批“动产融资服务新模式”试点背后的“推动器”,深圳新闻网
171,2021-11-29,光大银行南昌分行助力江西省2021年地方政府债发行圆满收官,搜狐
172,2021-11-29,已超3000亿！券结基金井喷，券商、基金深度绑定,Wind
173,2021-11-29,零售玩家运作提速 中国商业零售版图或加速洗牌,e公司
174,2021-11-29,养老理财产品即将揭开面纱,经济日报
175,2021-11-28,多银行发布公告提示人脸识别盗用风险，“安全篱笆”该如何筑牢 其他违规处罚,北京商报
176,2021-11-27,金融机构改革提速，多家上市银行加码长期股权投资,Wind
177,2021-11-27,涉及超5500亿规模基金！新一轮指数样本大调整出炉,Wind
178,2021-11-27,“滚隔夜”规模持续攀高，债市杠杆率高企须警惕,Wind
179,2021-11-26,财富管理深度系列一：大财富追光路 星河满目,新浪
180,2021-11-26,光大银行南宁分行积极响应“断卡行动” 配合抓捕犯罪嫌疑人,广西新闻网
181,2021-11-26,金融反腐重拳再次出击，这些银行是重灾区,Wind
182,2021-11-26,富滇银行“七宗罪”被罚220万，农行、光大银行也被罚 金融监管处罚,中国基金报
183,2021-11-25,零售玩家运作提速 中国商业零售版图或加速洗牌,e公司
184,2021-11-25,哪些金融机构数字服务能力强？这份报告给你答案,中新经纬
185,2021-11-25,康恩贝(600572.SH)：一致行动人博康医药解质及质押575万股,格隆汇
186,2021-11-24,银行APP的“加法”与“减法”,搜狐
187,2021-11-24,海外信用评级汇总2021年11月24日星期三,Wind
188,2021-11-24,惠誉：授予光大银行香港分行拟发行长期高级无抵押票据 “BBB(EXP)”预期评级,Wind
189,2021-11-23,江苏：首笔线上“政采贷”业务成功落地,中国金融新闻网
190,2021-11-23,光大银行重庆分行被罚150万 涉贷款流入房地产等 金融监管处罚,中新经纬
191,2021-11-23,银行财眼 | 光大银行重庆分行被罚150万元：因信贷资金违规流入房市等三项原因 金融监管处罚,凤凰网
192,2021-11-23,一文读懂银行理财FOF类产品,Bank资管
193,2021-11-23,涉3项违法违规行为!光大银行重庆分行被罚款150万元 金融监管处罚,金融投资报
194,2021-11-23,因贷款管理不尽职等，光大银行重庆分行被罚150万 金融监管处罚,中华网
195,2021-11-23,创业可专享金融服务：光大银行深圳分行拥军服务再扩展！,奥一网
196,2021-11-23,光大银行交易银行部总经理夏伟接受纪律审查和监察调查 董监高成员异常事件,Wind
197,2021-11-22,【银华基金】交易日报 2021-11-22,新浪
198,2021-11-22,考虑买入光大银行财富管理子公司少数股权？ 华平投资：不予置评,财联社
199,2021-11-22,市场消息：光大银行(06818.HK)据悉寻求出售价值3亿-4亿美元的财富,新浪
200,2021-11-22,中国证监会行政处罚决定书（潘毅） 金融监管处罚,证监会
201,2021-11-22,深信服桌面云在金融行业的那些千点规模部署,凤凰网
202,2021-11-22,光大银行南京分行：“绿色金融”活水来，“美丽江苏”展新颜,中国金融新闻网
203,2021-11-22,中国金融时报：客观看待超额准备金率下降,Wind
204,2021-11-22,与美元呈现“双强”格局，人民币汇率走势平稳有支撑,Wind
205,2021-11-21,广州二手房贷可绕过指导价？部分成交价开始低于指导价,Wind
206,2021-11-21,2000亿元专项再贷款支持煤炭清洁高效利用，金融业“做加法”支持碳减排,Wind
207,2021-11-21,注意！这类银行卡正在被加速清理,Wind
208,2021-11-20,存款增长不再，民营银行“转战”同业负债,Wind
209,2021-11-19,光大银行宜春分行积极开展存款保险制度宣传活动,搜狐
210,2021-11-19,周茂华：系统重要性银行迎重磅监管,新浪
211,2021-11-19,中小银行资本补充热情升温，更多渠道加速打通,Wind
212,2021-11-18,指数混合PK绝对数值 理财业绩比较基准更新方式“难倒”银行,北京商报
213,2021-11-18,“跨越计划”首年，光大银行“一流财富 管理银行”建设持续发力,21世纪经济报道
214,2021-11-18,光大银行副行长杨兵兵：银行必须把握好发展和安全的关系 严防“灰犀牛”和“黑天鹅”,中国网
215,2021-11-18,光大银行副行长杨兵兵：银行要建立适应金融科技发展的组织架构、激励机制和运营模式,中国网
216,2021-11-18,镇江城建拟发行6亿元超短期融资券，利率3.2%-4.2%,乐居财经
217,2021-11-18,光大银行深圳分行抢抓机遇开新局,奥一网
218,2021-11-18,光大银行状告恒大地产，案由系金融借款合同纠纷 诉讼纠纷,乐居财经
219,2021-11-18,阳光消费金融上半年亏损4252万元，掘金养老数字生活场景，发力自营产品 亏损,零壹财经
220,2021-11-18,美国债务违约警报再度拉响,Wind
221,2021-11-18,14年财星榜 见证时代变革轨迹,北京青年报
222,2021-11-17,21金融研究｜中小企业金融服务成绩单： 大行重心转向覆盖“空白地带”，中小银行奋起直追,21世纪经济报道
223,2021-11-17,中国证监会行政处罚决定书（潘毅） 金融监管处罚,湖南证监局
224,2021-11-17,中国证监会行政处罚决定书（潘毅） 金融监管处罚,新疆证监局
225,2021-11-17,中国证监会行政处罚决定书（潘毅） 金融监管处罚,宁波证监局
226,2021-11-17,中国证监会行政处罚决定书（潘毅） 金融监管处罚,湖北证监局
227,2021-11-17,中国证监会行政处罚决定书（潘毅） 金融监管处罚,广东证监局
228,2021-11-17,中国证监会行政处罚决定书（潘毅） 金融监管处罚,厦门证监局
229,2021-11-17,中国证监会行政处罚决定书（潘毅） 金融监管处罚,深圳证监局
230,2021-11-17,中国证监会行政处罚决定书（潘毅） 金融监管处罚,证监会
231,2021-11-17,摩根士丹利：上调光大银行目标价至4.6港元，评级增持,Wind
232,2021-11-17,大行评级 | 大摩：升光大银行(6818.HK)目标价至4.6港元 评级增持,格隆汇
233,2021-11-17,光大银行状告新力地产等，法院因无法送达公告送达传票 诉讼纠纷,乐居财经
234,2021-11-16,又见银行打折促销卖基金，最高降费90%！银行代销基金逻辑生变,Wind
235,2021-11-16,A股融资融券日报：两融余额减少2.07亿元（11月15日）,Wind
236,2021-11-16,16股获券商买入评级，光大银行目标涨幅达66.17%,Wind
237,2021-11-16,11月15日34只个股获券商关注，光大银行目标涨幅达66.17%,每经网
238,2021-11-16,央行续做1万亿元MLF，规模创单日历史新高,Wind
239,2021-11-16,普华永道&光大银行： 2021年商业银行数据战略白皮书（附下载）,199IT
240,2021-11-16,10月经济实现筑底回升，四季度预期会明显改善吗？,Wind
241,2021-11-15,【银华基金】交易日报 2021-11-15,新浪
242,2021-11-15,浙商证券：给予光大银行买入评级，目标价位5.6元,证券之星
243,2021-11-15,10股今日获机构买入评级,证券时报网
244,2021-11-15,吉林银保监局：上半年银行业消费投诉1651件，同比增长138.2%,和讯
245,2021-11-15,社融探底回升，银行ETF基金(512700.SH)震荡上行,凤凰网
246,2021-11-15,光大银行北京分行优化账户服务 持续便民惠民,中国网
247,2021-11-15,光大银行旗下光大金融租赁被处罚，原因是掩盖不良贷款 金融监管处罚,电鳗快报
248,2021-11-15,银行业总动员，服务专精特新各显神通,Wind
249,2021-11-14,半月3家逾千亿，系统重要性银行密集发行二级资本债,Wind
250,2021-11-14,多家银行调整贵金属、外汇等业务，“炒金”“炒汇”持续收紧,Wind
251,2021-11-13,光大银行状告新力地产，案由金融借款合同纠纷 诉讼纠纷,乐居财经
252,2021-11-13,光大金租因掩盖不良贷款、直租业务租后管理不到位等领80万元罚单，新董事长正式上任仅半个月,中国经济网
253,2021-11-13,合理资金需求预期趋稳，房地产信贷环境回暖,Wind
254,2021-11-12,【银华基金】交易日报 2021-11-12,新浪
255,2021-11-12,因工作调整 光大银行董事会秘书李嘉焱辞任 董监高成员变化,北京商报网
256,2021-11-12,光大银行：拟于12月28日召开2021年第二次临时股东大会,发布易
257,2021-11-12,快讯｜光大银行：因工作调整 董秘、证券事务代表李嘉焱辞职 董监高成员变化,财经网
258,2021-11-12,中国光大银行：拟于12月28日举行2021年第二次临时股东大会,Wind
259,2021-11-12,广州 佛山等地部分银行下调贷款利率 啥信号？,中新经纬
260,2021-11-12,光大银行最新公告：董秘、证券事务代表李嘉焱辞任 董监高成员变化,证券之星
261,2021-11-12,光大银行：董事会秘书、证券事务代表李嘉焱辞任 董监高成员变化,Wind
262,2021-11-12,光大银行：副行长赵陵任职资格获银保监会核准,Wind
263,2021-11-12,广宇集团为子公司综合授信额度提供不超过5800万元担保 大额借贷担保,观点地产网
264,2021-11-12,光大银行乡村振兴金融部揭牌！,光大银行
265,2021-11-12,广宇集团为一石巨鑫提供5800万元连带责任担保 大额借贷担保,乐居财经
266,2021-11-12,房地产行业信心逐步增强：开发贷款环比多增，发债市场开始回暖,Wind
267,2021-11-12,光大银行扬州分行因违规将贴现资金转存银行承兑汇票保证金被罚60万 金融监管处罚,中华网
268,2021-11-12,违规将贴现资金转存银行承兑汇票保证金 光大银行扬州分行被罚60万元 金融监管处罚,中国网
269,2021-11-12,银行财眼 | 光大银行扬州分行因违规将贴现资金转存被罚没66.24万元 金融监管处罚,凤凰网
270,2021-11-12,新势力业绩不俗，基金代销江湖“变天”,Wind
271,2021-11-11,【银华基金】交易日报 2021-11-11,新浪
272,2021-11-11,催肥变卖，佛山照明欲回血近3亿,乐居财经
273,2021-11-11,北向资金杀回马枪超86亿资金回流A股，东方财富获大幅净买入超18亿,Wind
274,2021-11-11,银行资讯：招商银行年内罚款近8000万元 广州农商行定向增发获批 金融监管处罚,搜狐
275,2021-11-11,破净率超8成，“打骨折”的银行股还能翻身吗？,Wind
276,2021-11-11,阳光消费金融上半年亏损4252万元，掘金养老数字生活场景，发力自营产品 亏损,零壹财经
277,2021-11-11,A股融资融券日报：两融余额增加15.9亿元（11月10日）,Wind
278,2021-11-11,天津市首笔政府采购合同融资线上业务落地,中国金融新闻网
279,2021-11-11,复牌股价腰斩！花样年的雷，炸伤了业主和员工,21商评网
280,2021-11-10,【银华基金】交易日报 2021-11-10,新浪
281,2021-11-10,10月居民消费回暖，M1同比增速九连降,21世纪经济报道
282,2021-11-10,光大信托助力广东省江门市首笔慈善信托落地,金融界
283,2021-11-09,【银华基金】交易日报 2021-11-9,新浪
284,2021-11-09,解码首个隐私计算金融平台，数据资产化还有多远？,财经杂志
285,2021-11-09,七匹狼：公司不存在大股东非经营性占用上市公司资金的情形,Wind
286,2021-11-09,他山之石系列银行行业专题报告：积极拥抱变革 提升非息业务对ROE的贡献,新浪
287,2021-11-09,多家银行收紧账户贵金属与外汇业务,Wind
288,2021-11-08,多项资产收益权转让落地 银行不良资产包加速出清,北京商报
289,2021-11-08,银行财眼 | 光大银行太原迎泽大街支行因贷款用途管控不力被罚款30万元 金融监管处罚,凤凰网
290,2021-11-07,年内超千家“关门谢客”，但新增获批更多！数据背后的真相：银行转型智能化寻求逆袭,北京商报
291,2021-11-06,资管新规过渡期“余额已不足”，未来何去何从？,Wind
292,2021-11-06,积压信贷额度正在释放，部分区域个人房贷放款提速,Wind
293,2021-11-05,光大银行李雨桐： 绿色债券将是未来债券市场的机遇,21世纪经济报道
294,2021-11-05,光大银行揭牌成立乡村振兴金融部 发布乡村振兴综合金融服务方案,上证报
295,2021-11-05,懂你所需知你所想，光大银行信用卡“阳光惠生活”AP,中国网
296,2021-11-05,天齐锂业(002466.SZ)：控股股东解除质押1200万股,格隆汇
297,2021-11-05,【专栏】1亿张信用卡！这7家银行做到了，还有哪些银行会晋级？,零壹财经
298,2021-11-05,光大理财张旭阳：养老金融迎来机遇期,21世纪经济报道
299,2021-11-05,A股融资融券日报：两融余额增加33.85亿元（11月4日）,Wind
300,2021-11-05,购物季来袭 须理性面对刷卡促销,金融时报
301,2021-11-05,美联储缩债“靴子”落地，多国央行释放加息信号,Wind
302,2021-11-04,宜春城投拟发行3亿元短期融资券，用于偿还有息负债,乐居财经
303,2021-11-04,光大理财举办“光大颐养 共筑未来”养老财富管理研讨会,搜狐
304,2021-11-04,A股融资融券日报：两融余额减少44.29亿元（11月3日）,Wind
305,2021-11-04,光大理财举办养老财富管理研讨会暨养老理财产品青岛试点发布活动,中国证券网
306,2021-11-04,月初罕见加量操作，央行500亿元逆回购确保流动性合理充裕,Wind
307,2021-11-03,限期整改却“爽约” ST目药相关责任人受上交所纪律处分 金融监管处罚,证券时报
308,2021-11-03,光大银行副行长齐晔：光大集团将借助三大优势构建特色养老服务生态圈,21世纪经济报道
309,2021-11-03,光大银行青岛分行副行长樊效峰：养老应尽早规划,21世纪经济报道
310,2021-11-03,光大银行获批发行400亿元小微金融债,金融界
311,2021-11-03,【正在直播】“光大颐养 共筑未来”养老财富管理研讨会暨养老理财产品青岛试点发布,21世纪经济报道
312,2021-11-03,A股融资融券日报：两融余额减少75.11亿元（11月2日）,Wind
313,2021-11-03,金融时报：利率改革推动小微企业融资成本稳中有降,Wind
314,2021-11-03,“双十一”银行信用卡花式秀优惠 免息分期付款含“水分”,证券日报
315,2021-11-03,便利化服务 助力涉外企业发展,经济日报
316,2021-11-03,经参头版：多部门密集加派“政策礼包”，助企纾困促发展,Wind
317,2021-11-02,【银行】光大银行—营收增速上行，资产质量平稳,中银证券研究
318,2021-11-02,【券商聚焦】交银维持光大银行(06818)买入评级 目标价续看4.2港元,和讯
319,2021-11-01,分析｜如何看待三季度27家A股上市银行净息差环比收窄？,澎湃新闻
