,2021-12-31,钠离子电池将进入量产时代，锂电池会被取代吗？,华夏时报
147,2021-12-13,15股获融资净买入超亿元 三峡能源获净买入最多,证券时报网
148,2021-12-13,A股融资融券日报：两融余额增加0.16亿元（12月10日）,Wind
149,2021-12-11,券商首次关注5股并给予买入评级（12月11日）,Wind
150,2021-12-11,风度 | 每周深度评 12.04-12.10,新浪
151,2021-12-10,机构本周首次关注59只个股,第一财经
152,2021-12-10,三峡能源(600905.SH)：拟出资16.5亿元与控股股东投设江苏能投,格隆汇
153,2021-12-10,三峡能源(600905.SH)：拟与三峡资本共同对三峡鄂尔多斯增资16.15亿元,格隆汇
154,2021-12-10,加快江苏区域新能源开发 三峡能源(600905.SH)拟16.5亿元共设合资公司,智通财经
155,2021-12-10,三峡能源、中国广核与中国核电，新能源发电企业成长能力大比拼！,Ofweek
156,2021-12-10,三峡能源100MW平价光伏项目并网,北极星电力
157,2021-12-10,电力股表现低迷，三峡能源、晶科科技、上海电力领衔下跌,Wind
158,2021-12-09,三峡能源项目获国家优质工程奖,e公司
159,2021-12-09,新能源发电行业研究与投资策略：无限风光，风光无限,新浪
160,2021-12-09,三峡能源蹊跷收购！标的年入十亿负债却超百亿 偿债能力下降,Ofweek
161,2021-12-09,总计18.1亿元 三峡能源子公司拟受让亿利洁能3.98亿股股份,北极星电力
162,2021-12-09,经济日报：富时罗素指数调整折射中国经济之变,Wind
163,2021-12-08,深度 | 三峡能源：三峡集团旗下新能源运营商，引领海上风电发展,郭丽丽的研究札记
164,2021-12-07,三峡能源、三峡资本战略投资亿利洁能,光明网
165,2021-12-07,一周策略回顾与展望,新浪
166,2021-12-07,电气设备新能源行业2022年投资策略：风光蓄势待发、电力设备迎新机遇,新浪
167,2021-12-07,亿利集团一年内160亿债务将到期 18亿引央企入股亿利洁能,贝壳财经
168,2021-12-07,三峡能源、三峡资本战略投资亿利洁能成为重要股东 携手打造中国光伏治沙先导企业,凤凰网
169,2021-12-07,三峡能源：控股子公司拟受让亿利洁能11%股权,中证网
170,2021-12-07,负重前行 亿利洁能引入央企战投合作沙漠光伏项目,财联社
171,2021-12-07,三峡能源：控股子公司拟受让亿利节能3.98亿股股份,资本邦
172,2021-12-06,12月7日上市公司重要公告集锦：工商银行获准发行不超1900亿元二级资本债券,证券日报之声
173,2021-12-06,晚间重要公告2021年12月6日星期一,Wind
174,2021-12-06,三峡能源：子公司拟18.1亿元受让亿利洁能11.17%股份,财联社
175,2021-12-06,三峡能源(600905.SH)：子公司拟以18.1亿元受让亿利资源集团所持亿利洁能11.17%股份,格隆汇
176,2021-12-06,三峡能源(600905.SH)子公司拟18.1亿元购买亿利洁能11.1722%股权,智通财经
177,2021-12-06,三峡能源(600905.SH)：控股子公司持有亿利洁能11.1722%的股份 成为其第二大股东,格隆汇
178,2021-12-06,碳中和周报：“十四五”工业绿色发展规划出台 全力推动工业碳达峰,新浪
179,2021-12-06,公用环保行业周报：2022年电煤长协征求意见稿发布有利于保障煤电资产现金流,新浪
180,2021-12-06,公用环保行业重大事项点评：火电重新恢复盈利能力 电价步入上行周期,新浪
181,2021-12-06,陆家嘴财经早餐2021年12月6日星期一,Wind
182,2021-12-06,绿色电力政策密集出台，行业发展步入快车道,Wind
183,2021-12-05,【德邦金工|周报】资金密集流入医药，关注工业富联巨额解禁 20211205 解禁,微信
184,2021-12-05,下周这只股票解禁市值超1800亿元，但股东不能减持！新能源电力龙头股东浮盈近70亿元（附名单） 解禁,中证报
185,2021-12-05,三峡能源：我国离岸最远海上风电场首批机组并网发电,证券时报网
186,2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
187,2021-12-05,公用周报：江苏首批平价海风项目启动竞争性配置 第二批内陆风电光伏大基地项目开始上报,新浪
188,2021-12-03,下周2549亿市值限售股解禁，环比增加697.21% 解禁,Wind
189,2021-12-03,三峡能源(600905.SH)：16.215亿股限售股将于12月10日解禁上市,格隆汇
190,2021-12-03,三峡能源(600905.SH)16.22亿股限售股将于12月10日上市流通 解禁,智通财经
191,2021-12-03,三峡能源：约16.22亿股限售股12月10日解禁，占比5.68% 解禁,每日经济新闻
192,2021-12-03,三峡能源：16.21亿股限售股12月10日上市流通 解禁,Wind
193,2021-12-03,A股资金流向：权重发力助推沪指，短线情绪退潮,Wind
194,2021-12-03,中国银河维持环保公用行业推荐评级：“双碳”政策密集出台，关注环保公用领域规划,每日经济新闻
195,2021-12-03,三峡能源减持金风科技0.41%股份，减持时间过半 减持股份,乐居财经
196,2021-12-02,龙虎榜座次“大洗牌”！“黑马”都是量化营业部,Wind
197,2021-12-02,三峡能源：安徽蒙城风电项目全容量并网、河南杞县风电项目首批并网,e公司
198,2021-12-02,金风科技：股东三峡能源减持1722万股公司股份 减持股份,每日经济新闻
199,2021-12-02,金风科技：三峡能源减持其持有的公司股份1722.29万股 减持股份,Wind
200,2021-12-02,金风科技(02208)股东三峡能源累计减持1722.29万股 减持时间已过半 减持股份,智通财经
201,2021-12-02,金风科技(02208.HK)：三峡能源累计减持1722万股 减持股份,格隆汇
202,2021-12-02,能源保供成效初显，央企加速布局清洁能源,Wind
203,2021-11-30,年内435家企业圆梦A股 首发合计募资逾4400亿,北京商报
204,2021-11-29,公用事业行业周报：政策推动下电煤矛盾持续缓和 全国统一电力市场呼之欲出,新浪
205,2021-11-29,年内435股圆梦A股！浙系新股数领跑 这些个股上市后就“变脸”,北京商报
206,2021-11-29,兴业证券：维持三峡能源(600905.SH)“审慎增持”评级 股权激励 激发增长动力,智通财经
207,2021-11-28,公用周报：省间电力现货交易规则出台 三峡能源发布股权激励计划,新浪
208,2021-11-26,三峡能源：拟向激励对象212人授予限制性股票6090万股,每日经济新闻
209,2021-11-26,三峡能源(600905.SH)：拟推不超6090万股的2021年限制性股票激励计划,格隆汇
210,2021-11-26,三峡能源(600905.SH)：拟推限制性股票长期激励计划,格隆汇
211,2021-11-26,三峡能源(600905.SH)拟推2021年限制性股票激励计划 首次授予价为3.38元/股,智通财经
212,2021-11-26,公用事业行业省间现货交易政策点评：电改持续推进 现货市场建设更进一步,新浪
213,2021-11-26,公用环保行业周报：10月用电需求继续强劲南网发布十四五规划,新浪
214,2021-11-26,三峡能源一批风电项目成功并网发电,国际电力网
215,2021-11-26,公用环保行业重点事项点评：省间现货交易意义重大 新能源消纳再添保障,新浪
216,2021-11-25,电力、煤气及水等公用事业行业：提价格促消纳 跨省现货提振运营商盈利,国金证券股份有限公司
217,2021-11-25,电力月谈：2021年11月期,新浪
218,2021-11-25,公用环保行业专题研究：绿电交易展望 两类运营商获高弹性,新浪
219,2021-11-25,电力及公用事业：绿电政策频出 重视绿电板块机会,新浪
220,2021-11-25,电力及公用事业行业动态点评：省间电力现货交易规则出台 电力改革持续推进,新浪
221,2021-11-24,三峡能源现1笔大宗交易 共成交368.00万元,新浪
222,2021-11-24,三峡能源今日大宗交易成交50万股，成交价7.36元溢价11.52%,Wind
223,2021-11-24,A股资金流向：白酒承接新能源溢出资金，题材股炒作再升温,Wind
224,2021-11-24,中一签赚5万，久违“大肉签”来了！海上风电新贵傲视四季度新股,财联社
225,2021-11-24,百隆东方：三峡能源非公司的参股投资公司,Wind
226,2021-11-23,电力及公用事业行业动态点评：江苏新政推动新能源市场化电量比例快速提升 期待绿电环境属性带来稳定溢价,新浪
227,2021-11-22,永泰能源VS三峡能源～拒绝忽悠，用数据看企业综合实力,深水财经社
228,2021-11-22,海上风电项目加速布局，一文看懂千亿级风口产业链,Wind
229,2021-11-22,前瞻性研究行业月报：绿色能源与前瞻性产业月报(2021年11月报),新浪
230,2021-11-22,A股资金流向：赛道股爆发重回主线，风格切换苗头显露,Wind
231,2021-11-21,环保及公用事业周报：深化节能减排目标 数字能源时代大幕开启,新浪
232,2021-11-21,下周操盘攻略：波动将明显加剧,Wind
233,2021-11-21,公用环保行业周报：坚定看好火电转型新能源逻辑 不惧调整静待花开,新浪
234,2021-11-21,环保与公用事业周报202111第3期：各省“十四五”海上风电规划渐明朗 海上风电迎来确定性发展,新浪
235,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
236,2021-11-20,【金融头条】与中航信托纠纷未了 三峡燃气董事长谭传荣身陷囹圄背后,经济观察报
237,2021-11-19,三峡能源：目前公司已开展多元化储能、共享储能的建设与应用，积极在各地布局“储能+”的发展模式,每日经济新闻
238,2021-11-19,申万宏源：首予粤水电(002060.SZ)“买入”评级 绿电量质兼优 工程业务景气度回升,智通财经
239,2021-11-19,粤水电(002060)：新能源转型步伐加速 绿电质量兼优蓄势待发,新浪
240,2021-11-18,电力、煤气及水等公用事业行业：央行推出碳减排支持工具 多环节利好新能源发展,国金证券股份有限公司
241,2021-11-18,电气设备行业点评：全球海风 星辰大海,新浪
242,2021-11-17,年内IPO企业大PK：主板规模为王，科创最硬核！,Wind
243,2021-11-17,中信建投新能源发电2022年策略：技术引领变革之春，新的篇章正徐徐展开,Wind
244,2021-11-17,三峡能源紧急捐赠300万元支援通辽市抗击雪灾,索比光伏网
245,2021-11-16,新能源发电行业2022年投资策略报告：技术引领变革之春 新的篇章正徐徐展开,新浪
246,2021-11-16,三峡集团赴内蒙古巴林左旗调研定点帮扶工作,索比光伏网
247,2021-11-15,火电灵活性改造研究专题,郭丽丽的研究札记
248,2021-11-15,碳中和行业(电新+环保)周报：高镍三元一体化降本加速 南网发布“十四五”发展规划,光大证券
249,2021-11-15,环保与公用事业行业2022年度策略报告：着眼双碳时代下的高景气与确定性,新浪
250,2021-11-11,85股主力资金净流入超亿元,证券时报网
251,2021-11-11,A股资金流向：权重与题材共振上扬,Wind
252,2021-11-10,中国短期融资券及中期票据信用分析周报,新浪
253,2021-11-10,广宇发展(000537)：转型新能源 开启新征程,西南证券
254,2021-11-10,行业点评：电力、煤气及水等公用事业行业研究,国金证券股份有限公司
255,2021-11-10,新能源发电行业碳减排支持工具影响点评：助力提升绿电项目IRR 彰显双碳目标决心,新浪
256,2021-11-09,逻辑推演与实证研究的多维视角：碳中和下的电力需求韧性来自哪里,新浪
257,2021-11-09,碳减排支持工具的点评：降低融资成本 提升盈利能力和流动性,新浪
258,2021-11-09,重庆巫山37个重点项目集中开工，总投资75亿元,我的钢铁
259,2021-11-09,三峡能源：我国首个柔性直流海上风电项目首批机组正式并网发电,证券时报网
260,2021-11-09,央行推出碳减排支持工具，中信建投最新解读来了！,Wind
261,2021-11-09,融资客减仓近百亿元，机构建议两手布局,Wind
262,2021-11-08,三峡能源与宁德时代、山东电工电气座谈,e公司
263,2021-11-08,东吴证券：首予三峡能源(600905.SH)“买入”评级 毛利率短期承压 风光装机将持续高速发展,智通财经
264,2021-11-08,三峡能源江苏如东海上风电项目柔直输电工程顺利完成倒送电,国际电力网
265,2021-11-08,公用事业深度报告：煤电改造能否改善趋紧的电力供需格局？,新浪
266,2021-11-08,A股融资融券日报：两融余额减少121.85亿元（11月5日）,Wind
267,2021-11-06,Wind风控日报2021年11月6日星期六,Wind
268,2021-11-06,上市公司正负面新闻2021年11月6日星期六,Wind
269,2021-11-05,【晚间公告抢先看】宁德时代拟70亿元投建新能源动力及储能电池项目、万科A拟分拆万物云到港交所上市,金融界
270,2021-11-05,晚间重要公告2021年11月5日星期五,Wind
271,2021-11-05,金风科技：三峡能源持有公司的股份比例由10.53%减少至9.30%,Wind
272,2021-11-05,金风科技(02208.HK)：三峡能源已通过大宗交易累计减持1.23%公司股份 减持股份,格隆汇
273,2021-11-05,金风科技：三峡能源近期减持公司1.23%股份 减持股份,e公司
274,2021-11-05,风电板块又又又创新高！政策利好不断、机构明示增长潜能巨大,Wind
275,2021-11-05,A股资金流向：电力、光伏板块遭批量出货，锂电池板块资金分歧较大,Wind
276,2021-11-05,中材科技跌停，风电板块尾盘跌幅扩大,Wind
277,2021-11-05,中金万字报告：如何看待近期新股连续首日破发？,Wind
278,2021-11-05,公用事业2021年三季报总结：火电盈利大幅下滑 风光新能源业绩向好 盈利能力下降,新浪
279,2021-11-05,三峡能源安徽阜阳南部120万千瓦风光电项目开工建设,索比光伏网
280,2021-11-05,A股融资融券日报：两融余额增加33.85亿元（11月4日）,Wind
281,2021-11-05,47亿主力资金大幅流入风电板块（附股）,Wind
282,2021-11-04,财华洞察|大块头遇A股破发潮，中国移动的前程如何？,财华社
283,2021-11-04,首航高科：与三峡新能源设立公司情况属实,Wind
284,2021-11-04,风电&光伏运营商大盘点：上市公司如何跑马圈地？,索比光伏网
285,2021-11-04,A股融资融券日报：两融余额减少44.29亿元（11月3日）,Wind
286,2021-11-03,中信建投：首予三峡能源(600905.SH)“买入”评级 发电规模稳健成长 盈利能力持续向好,智通财经
287,2021-11-03,兴业证券：维持三峡能源(600905.SH)“增持”评级 风光并济 发电量大幅增长,智通财经
288,2021-11-03,A股融资融券日报：两融余额减少75.11亿元（11月2日）,Wind
289,2021-11-03,张坤、裘国根、邓晓峰等“顶流”3大举措应对震荡市,Wind
290,2021-11-03,6股获券商买入评级，重庆啤酒目标涨幅达14.38%,Wind
291,2021-11-02,三峡能源与启迪清洁能源、启迪清云签署合作框架协议,新能源网
292,2021-11-02,三峡能源(600905)：基本面持续向上 新能源装机高增构筑绿电龙头,新浪
293,2021-11-02,三峡能源(600905.SH)半年度每股派发现金红利0.0379元,智通财经
294,2021-11-02,三峡能源(600905.SH)半年报推10派0.379元 股权登记日11月10日,格隆汇
295,2021-11-02,【建投公用环保-三峡能源】发电规模稳健成长，风光战略布局成效显著,能源交运万维网
296,2021-11-02,三峡能源、隆基股份等31股获融资净买入超亿元,证券时报网
297,2021-11-02,A股融资融券日报：两融余额增加47.83亿元（11月1日）,Wind
298,2021-11-02,A股早报2021年11月2日星期二,Wind
299,2021-11-02,两大风电龙头遭股东减持，业内称行业中长期逻辑未变,Wind
300,2021-11-01,新能源运营商已站上风口，一文了解三方面利好,Wind
301,2021-11-01,硬核选基｜科技基金能翻身吗？诺安蔡嵩松继续看好芯片 刘格菘、冯明远调仓新能源,21经济网
302,2021-11-01,A股资金流向：新能源板块冲高回落，资金分歧较大,Wind
303,2021-11-01,三峡能源大涨逾7% 三季度股东户数锐减70万,证券之星
304,2021-11-01,公募三季度全景图绘出， “百亿俱乐部”规模缩水,Wind
305,2021-11-01,快讯：三峡能源涨停 报于7.96元,金融界
306,2021-11-01,图解三峡能源三季报：第三季度单季净利润同比减1.27% 盈利能力下降,证券之星
307,2021-11-01,三峡能源首板，电力股炒作,Wind
