,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
24,2021-12-22,海能达：海通证券、西部证券等13家机构于12月15日调研我司,证券之星
25,2021-12-22,唯赛勃：海通证券、冲积资产等7家机构于12月14日调研我司,证券之星
26,2021-12-21,超募惹眼！今年六成IPO项目超募，两IPO项目合计超募近百亿，“闲钱”是否资源浪费？一波争议声起,财联社
27,2021-12-21,伟星股份：海通证券股份有限公司、国信证券股份有限公司等31家机构于12月17日调研我司,证券之星
28,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
29,2021-12-20,今年A股上市公司突破500家！募资总额超过5200亿，各创历史纪录，百元发行价新股13只,财联社
30,2021-12-20,海通证券：融资边际回暖 中资美元债正处于熬冬待春阶段,中证网
31,2021-12-20,保代人数两年近翻倍，保荐项目为零者尚过半,Wind
32,2021-12-20,上海市广发律师事务所 关于创耀（苏州）通信科技股份有限公司 首次公开发行股票并在科创板上市过程中 战略投资者相关事宜之专项法律意见,证券日报
33,2021-12-20,保代人数两年近翻倍 保荐项目为零者尚过半,全景网
34,2021-12-17,伟星股份：海通证券股份有限公司、兴证全球基金管理有限公司等24家机构于12月15日调研我司,证券之星
35,2021-12-17,宸展光电：海通证券、豪山资产等7家机构于12月15日调研我司,证券之星
36,2021-12-16,又见券商换帅！今年来证券公司董事长、总经理变动已近30人 董监高成员变化,Wind
37,2021-12-16,压力大全靠怼来发泄？光伏、半导体等行业频现卖方分析师互怼,Wind
38,2021-12-15,海通证券：董事会同意公司核销呆账4.86亿元,中证网
39,2021-12-15,海通证券(600837.SH)拟携国盛集团等成立央视融媒体产业基金 总规模100亿元,智通财经
40,2021-12-15,海通证券旗下子公司拟与关联人士共同发起成立央视融媒体产业投资基金,北京商报
41,2021-12-15,海通证券：核销呆账4.86亿元人民币,Wind
42,2021-12-15,海通证券(06837)：海通创意、海通开元与国盛集团拟共同发起设合伙基金央视融媒体产业投资基金,智通财经
43,2021-12-15,海通证券(06837.HK)拟成立合伙企业 主要投资于文化及互联网经济,格隆汇
44,2021-12-15,海通证券：旗下子公司拟与国盛集团等共同发起成立合伙基金,Wind
45,2021-12-15,派斯林：吴非平辞任项目督导财务顾问主办人，陈跃政接任,乐居财经
46,2021-12-15,上海市广发律师事务所关于上海南方模式生物科技股份有限公司 首次公开发行股票并在科创板上市过程中战略投资者相关事宜之专项法律意见,证券日报
47,2021-12-14,行情切换投资机会难？是时候拿出这只基金了！,新浪
48,2021-12-13,第二届智能财务最佳实践案例出炉 海通证券等16家单位获奖,上证报
49,2021-12-13,智能财务引领企业转型与高质量发展 上海国家会计学院第四届智能财务高峰论坛成功举办,凤凰网
50,2021-12-13,ETF联接基金年内成立数量破纪录 5只联接基金今日齐发,中金在线
51,2021-12-13,海通证券：非公开发行公司债券获得上交所挂牌转让无异议函,Wind
52,2021-12-12,这家券商违规参与结构化发债，6人被追责,Wind
53,2021-12-11,华润材料：海通证券于12月8日调研我司,证券之星
54,2021-12-10,海通银行澳门分行正式开业,中证网
55,2021-12-10,2021中国证券公司金牛奖揭晓 海通证券获“金牛证券公司”奖,中证网
56,2021-12-10,正式开业！海通银行澳门分行设立有何深意？海通证券董事长周杰这样表示,券商中国
57,2021-12-10,追求在长跑中胜出 华商基金“固收+”王牌张永志新基金首发在即,凤凰网
58,2021-12-10,11月企业债规模环比增长，低级别主体增加；产业园区企业债券呈现增长，投融资方式正在转变,中证鹏元评级
59,2021-12-10,沧州明珠：海通证券、平安养老等6家机构于12月8日调研我司,证券之星
60,2021-12-10,沃顿科技：瀚川投资管理(珠海)有限公司、海通证券股份有限公司等2家机构于12月7日调研我司,证券之星
61,2021-12-09,大东南：海通证券于12月7日调研我司,证券之星
62,2021-12-08,“跨年行情”取代“春季躁动”？头部券商纷纷给出岁末选股路线图，两大赛道最受热捧,中证报
63,2021-12-08,投行业务蓬勃发展，8家券商IPO 承销收入过10亿元|和讯睿见,和讯
64,2021-12-08,生益电子：天风证券、海通证券等9家机构于12月6日调研我司,证券之星
65,2021-12-06,一财首席调研：12月信心指数重回50线上，降准强化稳增长信号,第一财经
66,2021-12-06,贝莱德增持海通证券(06837)297.04万股，每股作价约7.1港元,智通财经
67,2021-12-06,贝莱德增持海通证券(06837)约395.06万股，每股作价6.55港元,智通财经
68,2021-12-05,IPO过会率悄然下滑？11月创年内新低，近800家企业“待考”,财联社
69,2021-12-04,欧科亿：海通证券于11月25日调研我司,证券之星
70,2021-12-03,【权益变动】海通证券(06837.HK)获贝莱德增持395.0577万股,财华社
71,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
72,2021-12-03,永太科技：农银汇理基金、海通证券等3家机构于12月1日调研我司,证券之星
73,2021-12-02,海通证券被贝莱德减持30.64万股，最新持股数目为1.70亿股 减持股份,资本邦
74,2021-12-02,【权益变动】海通证券(06837.HK)被贝莱德减持30.64万股 减持股份,财华社
75,2021-12-02,万隆制药七年冲刺上市未果：上半年业绩由盈转亏 销售费用高达1.75亿元 亏损,中国网
76,2021-12-02,真豪！又有券商出手，买下上海核心区一栋办公楼,中国基金报
77,2021-12-02,"又见券商买楼！华泰证券将在陆家嘴购置办公楼，租金太贵？近两年券商扎堆购""买房""",券商中国
78,2021-12-02,部分券商纾困资管资金流向走偏，有的已被深套,Wind
79,2021-12-02,惠泰医疗：中信证券、海通证券等12家机构于11月5日调研我司,证券之星
80,2021-12-02,立昂微：海通证券、国信证券等15家机构于11月25日调研我司,证券之星
81,2021-11-30,本月2板块获密集调研，“榨菜茅”被64家券商调研,Wind
82,2021-11-30,海通证券(06837.HK)获贝莱德增持395.06万股,格隆汇
83,2021-11-30,多家券商及资管子公司被罚 注册制下更需推动券商归位尽责 金融监管处罚,新浪
84,2021-11-30,加加食品：海通证券、长城基金等5家机构于11月26日调研我司,证券之星
85,2021-11-30,唐人神：海通证券、南方基金等4家机构于11月25日调研我司,证券之星
86,2021-11-29,专访浙商基金陈鹏辉：行业成长有三个阶段，渗透率低于10%的基本不碰,第一财经
87,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
88,2021-11-28,江阴银行：海通证券于11月9日调研我司,证券之星
89,2021-11-28,深圳机场：海通证券于11月12日调研我司,证券之星
90,2021-11-27,恺英网络：东北证券、海通证券等29家机构于11月25日调研我司,证券之星
91,2021-11-27,南网能源：海通证券、广东礽江企业管理合伙企业等3家机构于11月19日调研我司,证券之星
92,2021-11-26,奥特佳：海通证券、中泰证券等4家机构于11月16日调研我司,证券之星
93,2021-11-25,国金证券CIO到位，头部券商IT老将担纲重任，2天2位CIO上任，全行业CIO数量已突破60位,财联社
94,2021-11-25,*ST聚龙：控股股东安吉聚龙预计不超过约1099万股将被海通证券强制平仓 股票质押异常,每日经济新闻
95,2021-11-25,海通证券减持中国恒大15.88%股份，市值58.38亿港元 减持股份,乐居财经
96,2021-11-25,中国泛海控股集团：所持上市公司部分股份拍卖被撤回 司法拍卖,Wind
97,2021-11-25,IPO终止项目剧增，大小券商各有苦衷 IPO融资异常,Wind
98,2021-11-25,粤水电：海通证券股份有限公司于11月23日调研我司,证券之星
99,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
100,2021-11-24,第三届海通国际(00665)人工智能大会今日上海开幕 汇集行业顶尖专家及企业,智通财经
101,2021-11-24,标准债券远期实物交割机制正式推出,Wind
102,2021-11-24,券业总资产首破10万亿！券商前三季大赚1440亿,Wind
103,2021-11-24,券业总资产首破10万亿！140家券商经营情况出炉，前三季大赚1440亿，财富管理扛起增收大旗,券商中国
104,2021-11-23,一日迎21家调研，北交所上市公司成机构“新宠”,Wind
105,2021-11-23,1天接待21家机构，北交所上市公司门庭若市,Wind
106,2021-11-22,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
107,2021-11-22,【银华基金】交易日报 2021-11-22,新浪
108,2021-11-22,A股新规升级，近10股跌停！这类公司要警惕,Wind
109,2021-11-22,海通证券与中国泛海协商一致 撤回拍卖民生控股股权 司法拍卖,金融界
110,2021-11-22,诚意启程！浙商智多盈债券今日首发！,新浪
111,2021-11-22,券业总资产突破10万亿，财富管理转型扛起增收大旗,Wind
112,2021-11-22,券业总资产突破10万亿 财富管理转型扛起增收大旗,证券时报
113,2021-11-22,民生控股股权临拍前紧急撤回 中国泛海与海通证券达成和解,证券日报
114,2021-11-21,太牛了！暴涨12倍，仅用了1个多月！上市首日就被狂买,中国基金报
115,2021-11-20,力星股份：海通证券、光大证券等12家机构于11月18日调研我司,证券之星
116,2021-11-20,苏州固锝：海通证券、东吴基金等5家机构于11月18日调研我司,证券之星
117,2021-11-20,盛达资源：海通证券、华商基金等8家机构于11月17日调研我司,证券之星
118,2021-11-19,德邦证券IPO前夜 二股东辽宁人信金控再抛售,中国经营网
119,2021-11-19,券业总资产突破10万亿，自营牢占第一收入，4家券商前三季度净利跨过百亿门槛，行业大年仍有一成亏损 亏损,财联社
120,2021-11-19,海通证券：公司目前经营正常,每日经济新闻
121,2021-11-19,聚焦未来增长潜力，机构密集调研北交所上市公司,Wind
122,2021-11-18,【银华基金】交易日报 2021-11-18,新浪
123,2021-11-18,2.5万盈利“拱手相让”？又有弃购新股首日大涨,Wind
124,2021-11-18,2.5万盈利“拱手相让”？又有弃购新股首日大涨，包销券商浮盈超3000万！新股到底该如何打？,证券时报
125,2021-11-16,【银华基金】交易日报 2021-11-16,新浪
126,2021-11-16,中国证券业协会2021年第三季度专业委员会工作动态,中证协发布
127,2021-11-16,证券业2022年度策略 | 坚守财富管理主线，寻找长期主义的践行者,中信建投非银金融研究
128,2021-11-16,【业绩冠军新品红土创新科技创新3个月定开混合基金正在发售】财联社11月16日电，海通证券三季度数据显示，红土创新基金权益基金近一年绝对收益率79.20%，在145家基金公司中排名第一。同时旗下由石炯,财联社
129,2021-11-16,证券公司：帆满图新志 奋楫正当时,上证报
130,2021-11-15,北交所开市，多地推动上市储备梯队,第一财经
131,2021-11-15,11月15日深市创业板活跃股公开信息,深交所
132,2021-11-15,"万里马实控人持股频变动：林大洲持股比例缩减2.88%、林彩虹一个多月前拟减持不超989.1万股、林氏四兄妹去年累计减持4100万股
拟减持股份",和讯
133,2021-11-15,海通证券：潜在客户开通率已超50%,每日经济新闻
134,2021-11-15,（上接C11版）上海市广发律师事务所关于东芯半导体股份有限公司 首次公开发行股票并在科创板上市过程中战略投资者相关事宜之 专项法律意见,证券日报
135,2021-11-14,协议转让股份抵偿质押融资 万里马实控人持股比例再缩减 减持股份,e公司
136,2021-11-14,北交所开市通关测试收官，券商做好这些准备,Wind
137,2021-11-14,万里马(300591.SZ)控股股东林大洲协议转让950万股公司股份 减持股份,智通财经
138,2021-11-14,万里马：控股股东林大洲拟协议转让2.88%股份 减持股份,Wind
139,2021-11-14,北交所开市倒计时！每经记者兵分多路，全景扫描各家券商备战情况,每日经济新闻
140,2021-11-14,下周操盘攻略：冬季躁动”渐入佳境,Wind
141,2021-11-14,海通证券与金桥集团达成战略合作,Wind
142,2021-11-14,海通证券与金桥集团达成战略合作,e公司
143,2021-11-14,陆家嘴财经早餐2021年11月14日星期日,Wind
144,2021-11-13,一切正常！北交所开市前最后一次通关测试结束,Wind
145,2021-11-13,上市公司扎堆涌入“元宇宙”，分析称仍需探索,Wind
146,2021-11-12,11月12日深市大宗交易信息,深交所
147,2021-11-12,润邦股份：海通证券、太平洋资管等12家机构于11月10日调研我司,证券之星
148,2021-11-11,【银华基金】交易日报 2021-11-11,新浪
149,2021-11-11,新开源：海通证券股份有限公司、诺安基金管理有限公司等2家机构于11月10日调研我司,证券之星
150,2021-11-10,【银华基金】交易日报 2021-11-10,新浪
151,2021-11-10,又见券商首席变动！黄文涛出任中信建投首席经济学家,Wind
152,2021-11-10,海通证券：目前公司相关业务正常开展,每日经济新闻
153,2021-11-10,盯紧北交所机遇，长线资金摩拳擦掌,Wind
154,2021-11-10,鲁北化工：上海申银万国证券研究所有限公司、海通证券股份有限公司等5家机构于11月3日调研我司,证券之星
155,2021-11-10,东芯半导体IPO获批海通再度助力“硬科技”,证券时报
156,2021-11-09,G60星链计划发布，长三角这条科创走廊要打造卫星互联网集群,第一财经
157,2021-11-09,银河水滴完成B轮近3亿元融资 海通证券和玖兆投资领投,智通财经
158,2021-11-09,银河水滴完成3亿人民币B轮融资,亿邦动力
159,2021-11-09,ETF生态圈|4只MSCI中国A50互联互通ETF做市商一览（附名单）,金融界
160,2021-11-09,多家券商投行收入下滑 谋求“中介+投资”双轨转型 盈利能力下降,时代周报
161,2021-11-09,海通证券11月08日融资余额比上日降0.07%，融资余额为64.31亿元,资本邦
162,2021-11-09,吉电股份：海通证券、浦银安盛基金等6家机构于11月4日调研我司,证券之星
163,2021-11-09,首批MSCI中国A50ETF上市火爆,Wind
164,2021-11-08,上市首日攻下百亿成交，4只A50 ETF首秀成交比涨跌更抢眼！近20家做市券商名单公布，两大属性撞出火花,财联社
165,2021-11-08,每经IPO周报第35期｜周过会率回升至100%，才府玻璃本周再迎上会 注册制新股有效申购户数明显下降,每日经济新闻
166,2021-11-08,多家券商投行收入下滑 谋求“中介 + 投资”双轨转型 盈利能力下降,ZAKER
167,2021-11-07,前三季度IPO募资超3700亿创历史新高，中小券商异军突起,Wind
168,2021-11-07,券商在搅动基金托管江湖，银行独霸时代遭挑战？,Wind
169,2021-11-06,机构“大跨步”调研精选层公司，公募险资不落人后,Wind
170,2021-11-06,伟星股份：海通证券股份有限公司、海通国际证券集团有限公司等7家机构于11月2日调研我司,证券之星
171,2021-11-05,海通证券：未来3-5年元宇宙都将处在雏形探索期,中证网
172,2021-11-05,泛海控股：公司与民生控股系属受同一实控人控制，公司未持有民生控股股权,Wind
173,2021-11-05,道氏技术(300409)：控股股东、实际控制人部分股份解除质押,资本邦
174,2021-11-05,财富管理转型大潮之下，券商资管专注差异化良机,Wind
175,2021-11-05,丰元股份：国金证券、海通证券等4家机构于11月3日调研我司,证券之星
176,2021-11-05,天味食品：国盛证券、海通证券等17家机构于11月1日调研我司,证券之星
177,2021-11-04,投行观察第16期：10月券商承销规模同比下降近3成,时代周报
178,2021-11-04,盛天网络：海通证券、中信证券等17家机构于11月2日调研我司,证券之星
179,2021-11-03,海通证券前三季净利增39% 信用减值损失降56%为15亿,中国经济网
180,2021-11-03,2000亿芯片龙头再被国家大基金加仓！一期浮盈近10倍,Wind
181,2021-11-03,国家队15亿高位加仓2000亿芯片龙头！有何深意,Wind
182,2021-11-03,新三板新增做市井喷，中小券商火力全开,Wind
183,2021-11-02,牛市旗手三季度狂揽近5000亿，却有券商股民亏钱求放过：跌一下也行，别耗着 亏损,证券之星
184,2021-11-02,非银金融行业周报：财富管理核心标的业绩高增长 险企改革成效显现尚待时日,新浪
185,2021-11-02,增速亮眼，多券商资管业务收入超越经纪,Wind
186,2021-11-02,上市券商佣金入账近2000亿，大财富管理贡献显著,Wind
187,2021-11-02,券商资管前三季大赚350亿！中信广发抢占半壁江山,Wind
188,2021-11-01,赚翻了！4家券商净利超百亿，但6成券商投行收入下滑|财星球 盈利能力下降,新浪
189,2021-11-01,50家上市券商三季报出炉，头部券商赚钱能力爆棚！机构：行业高景气持续,资本邦
190,2021-11-01,【券商聚焦】交银削海通证券(06837)目标价6%至7.8港元 维持“中性”评级 机构下调估值,和讯
191,2021-11-01,41家上市券商前三季度大赚1484亿元 资管转型抢眼,证券日报
192,2021-11-01,超七成同比正增长 头部券商持续甩出差距,证券时报网
193,2021-10-31,【中信建投 非银&金融科技】周报：北交所开业在即，券商业绩持续向好,中信建投非银金融研究
194,2021-10-31,赚翻了！上市券商业绩排名正式出炉，超七成正增长，这4家券商狂赚过百亿,券商中国
195,2021-10-31,深度*公司*海通证券(600837)：自营驱动业绩大增 未来业绩释放确定性较强,新浪
196,2021-10-30,赚翻了！38家上市券商三季度成绩单揭晓！中信证券再夺第一,Wind
197,2021-10-30,赚翻了！38家上市券商三季度成绩单揭晓！中信证券再夺第一,中证报
198,2021-10-30,券商代销江湖热战，异军突起各打什么牌？中信中金强在私募销售，广发东方兴业具资产端优势,财联社
199,2021-10-30,三季报交卷！10家券商营收超200亿元，4家净利润超百亿元,上证报
200,2021-10-30,47家上市券商三季报出齐：4家净利超百亿，上年同期仅1家，中信营收逼近600亿，详看五大业务全排名,财联社
201,2021-10-30,10家券商前三季度营收超200亿元，4家券商净利润超百亿元,Wind
202,2021-10-30,宏川智慧：海通证券于10月27日调研我司,证券之星
203,2021-10-30,中集车辆：中金公司、海通证券等12家机构于10月27日调研我司,证券之星
204,2021-10-30,大型券商继续领跑 中小券商业绩分化加剧 10家券商前三季度营收超200亿元，4家券商净利润超百亿元,上证报
205,2021-10-30,40家券商盈利排名：中信证券、海通证券、国泰君安证券最赚钱,格隆汇
206,2021-10-30,赚翻了！40家券商盈利排名来了,Wind
207,2021-10-30,赚翻了！40家券商盈利排名来了,中国基金报
208,2021-10-30,超七成券商前三季实现净利润增长,中证报
209,2021-10-29,“聪明钱”单月狂买近60亿！万亿“宁王”彻底火了,Wind
210,2021-10-29,【银华基金】交易日报 2021-10-29,新浪
211,2021-10-29,海通证券(600837)：自营业务表现亮眼 两融业务继续扩张,广发证券
212,2021-10-29,龙头券商三季报比拼：中金净利增逾50%，中信建投小幅下滑 盈利能力下降,澎湃新闻
213,2021-10-29,海通证券(06837.HK)：李军获委任总经理,财华社
214,2021-10-29,海通证券(600837)：自营、利息大增+减值损失大减 业绩保持高增速,新浪
215,2021-10-29,海通证券前三财季净利118.26亿元，营收348.39亿元,资本邦
216,2021-10-29,光伏大跳水，2300亿白马重挫11%！消费股大反攻,Wind
217,2021-10-29,【国君非银】投资成增长首因，信用风险改善有利业绩——海通证券2021年三季度报点评,欣琦看金融
218,2021-10-29,李军正式任海通证券总经理，金融从业经历丰富，兼具监管经验,资本邦
219,2021-10-29,A股异动 | 券商股反弹 中信证券(600030.SH)一度涨超5%,格隆汇
220,2021-10-29,跌停板上突然出手，“老股民”A股公司举牌辽宁成大,Wind
221,2021-10-29,赚翻了！多家券商业绩出炉，中信证券单季狂揽200亿营收,证券之星
222,2021-10-29,跌停板上突然出手，“老股民”A股公司举牌辽宁成大！,中国基金报
223,2021-10-29,高乐股份(002348.SZ)大股东新鸿辉实业协议转让4304.46万股,智通财经
224,2021-10-29,犀牛财经早讯：申通快递第三季度亏9159万 同花顺子公司收警示函,GPLP犀牛财经
225,2021-10-29,万丰奥威：海通证券、中信证券等10家机构于10月27日调研我司,证券之星
226,2021-10-29,云南铜业：海通证券、全国社会保障基金理事会等3家机构于10月27日调研我司,证券之星
227,2021-10-29,振华股份：海通证券、广发证券等12家机构于10月26日调研我司,证券之星
228,2021-10-29,六成券商当季有赚头 头部券商保持高增长,全景网
229,2021-10-29,22家上市券商业绩出炉！中信第三季狂揽200亿营收,Wind
230,2021-10-29,22家上市券商业绩出炉：中信第三季狂揽200亿营收,格隆汇
231,2021-10-29,22家上市券商业绩出炉！中信第三季狂揽200亿营收，海通、广发也赚翻了,券商中国
232,2021-10-29,赚翻了！“一哥”暴赚176亿，9家营收超百亿！更有净利猛增超80%,中国基金报
233,2021-10-28,智通港股公告精选︱(10.28)比亚迪股份前三季度营收同比增长38.25%至1451.92亿元,智通财经
234,2021-10-28,52岁李军正式任海通证券总经理，曾任上海金融工作局副局长,澎湃新闻
235,2021-10-28,李军任海通证券总经理！投行业务组织架构调整，设立质量控制部,上证报
236,2021-10-28,海通证券：前三季度计提资产减值准备15亿元,上证报
237,2021-10-28,海通证券：前三季度公允价值变动收益同比增249%,上证报
238,2021-10-28,海通证券组织架构调整 设立质量控制部,北京商报
239,2021-10-28,海通证券前三季度归母净利破百亿，营收近350亿元,智通财经
240,2021-10-28,千亿券商完成“换帅”，前三季净赚近120亿,Wind
241,2021-10-28,官宣了！千亿券商完成“换帅”，前三季净赚近120亿,中国基金报
242,2021-10-28,海通证券：前三季度计提资产减值准备约15.19亿元,中证网
243,2021-10-28,海通证券：前三季度净利润同比增长39.1%,Wind
244,2021-10-28,海通证券(06837.HK)：李军获委任为总经理,格隆汇
245,2021-10-28,海通证券：前三季度净利润118.26亿元 同比增长39.1%,中证网
246,2021-10-28,图解海通证券三季报：第三季度单季净利润同比增21.10%,证券之星
247,2021-10-28,海通证券：聘任总经理,每日经济新闻
248,2021-10-28,海通证券(600837.SH)第三季度净利润36.56亿元 同比增长21.10%,格隆汇
249,2021-10-28,海通证券：1-9月共计提信用减值损失15.185亿元,Wind
250,2021-10-28,海通证券：董事会同意聘任李军担任公司总经理,Wind
251,2021-10-28,海通证券：第三季度净利润36.56亿元，同比增长21.1%,Wind
252,2021-10-28,海通证券前三季度创收近350亿，仅次于中信暂居第二，自营贡献三成收入,财联社
253,2021-10-28,国瓷材料：海通证券、国海证券等2家机构于10月26日调研我司,证券之星
254,2021-10-27,新三板主办券商执业评价排名生变！开源证券蝉联榜首，长江、中信、东吴等排名大幅提升，却有券商逆势下滑,财联社
255,2021-10-27,缺人！券商秋招大门敞开，重点需要这几方面人才,Wind
256,2021-10-27,海通证券6837｜首三季纯利118.3亿人币 增39% | 头条金融网,头条日报
257,2021-10-27,金徽酒：海通证券、方正证券等48家机构于10月25日调研我司,证券之星
258,2021-10-25,公牛集团跌5.34% 中信证券海通证券近4个月前唱多,中国经济网
259,2021-10-25,券商投行业务舆情观察：“IPO撤回”成高频词，提升执业能力有助于预防声誉风险,证券时报网
260,2021-10-25,雷神科技拟变更主办券商由海通证券变为国泰君安 今年4月进上市辅导期,同壁财经
261,2021-10-25,外商独资公募渠道建设艰难破冰 呼吁总部合规放权,中国基金报
262,2021-10-24,北交所脚步越来越近，海通、兴业等权限开通转化率已达40%，多家反馈开户新进展，加力线上线下投教,财联社
263,2021-10-22,北向资金一年来首次连续两日加仓超百亿，七天爆买宁德时代近50亿,Wind
264,2021-10-22,证监会12条投行罚单来袭！这7家券商牵涉其中，或影响投行执业质量分类评价 金融监管处罚,券商中国
265,2021-10-21,"罚没400万!海通证券频遭点名,上半年公允价值变动收益降两成 金融监管处罚",投资时报
266,2021-10-21,海通证券：预期三季报业绩大幅增长行业及个股适当关注,第一财经
267,2021-10-19,国潮风吹进资本市场，国内首个国货ETF登陆上交所,Wind
268,2021-10-19,浙商基金迎来11周年生日 引领AI赋能投资变革投资新方式,证券日报网
269,2021-10-19,华瓷股份上市首日换手1% IPO募5.9亿海通证券赚0.4亿,中国经济网
270,2021-10-19,发生了什么？这家券商定增，中金、光大、招商等都来了,Wind
271,2021-10-19,国联证券50.9亿定增“靴子落地”，6家券商斥资19.33亿捧场,深水财经社
272,2021-10-19,投行业务严监管，七家券商收罚单 金融监管处罚,Wind
273,2021-10-18,国泰君安 | 信用债发行结果日报,国泰君安债券资本市场部
274,2021-10-18,三安光电跌3.79% 海通证券安信证券高点唱多,中国经济网
275,2021-10-18,海通证券违法被罚没400万 督导*ST瑞德文件屡虚假记载 金融监管处罚,中国经济网
276,2021-10-18,鹏华可转债称霸晨星3年、5年榜，实力强将王石千战绩斐然,凤凰网
277,2021-10-18,证券合规周报（第九期）丨证监会集中公布12条券商投行罚单，中证协发布证券公司声誉风险管理指引 金融监管处罚,21世纪经济报道
278,2021-10-18,搜狐财经基金周报 | 鸣石投资深夜宣称“分歧解决”；海通证券被罚没400万 金融监管处罚,搜狐
279,2021-10-18,[预告]沉浸式体验上市公司！10月18日走进上市公司东方明珠,全景网
280,2021-10-18,海通证券收罚单，4年前持续独到未勤勉尽责，被没罚400万 金融监管处罚,中财网
281,2021-10-18,3万经纪人出走，近半营业部亏损！这一行业正经历什么？,Wind
282,2021-10-15,海通证券(06837.HK)10月28日举行董事会会议审批三季度业绩,格隆汇
283,2021-10-15,海通证券：将于2021年10月28日（星期四）举行董事会会议,Wind
284,2021-10-15,鸣石已与监管沟通，预留100亿现金应对危机,Wind
285,2021-10-15,海通证券再收罚单：涉督导未尽责，被罚没400万 金融监管处罚,搜狐
286,2021-10-15,处罚来了！海通证券被罚没400万元 金融监管处罚,中证报
287,2021-10-15,百亿私募“内讧”，自曝违规！29家券商被拖下水,Wind
288,2021-10-15,三季度承销规模同比下滑2.1%，华英证券异军突起,时代周报
289,2021-10-14,公告精选丨海通证券被行政处罚；亚钾国际三季度业绩预增超160倍,21世纪经济报道
290,2021-10-14,监管动态|因对奥瑞德督导中未勤勉尽责，海通证券被罚没400万 金融监管处罚,财经网
291,2021-10-14,海通证券收重庆证监局处罚决定 共计罚没400万元 金融监管处罚,中证网
292,2021-10-14,海通证券：收到中国证券监督管理委员会重庆监管局行政处罚决定书 金融监管处罚,每日经济新闻
293,2021-10-14,海通证券：被重庆证监局处以300万元罚款 金融监管处罚,格隆汇
294,2021-10-14,海通证券：公司收重庆证监局行政处罚决定书 金融监管处罚,Wind
295,2021-10-14,我武生物跌6.39% 申银万国海通证券高点唱多,中国经济网
296,2021-10-13,年内29股被调查 超七成个股竟是同一原因 其他违规处罚,北京商报
297,2021-10-13,三峡能源跌3.57% 海通证券高点唱多,中国经济网
298,2021-10-13,海通证券：适当控制权益类资产的仓位,第一财经
299,2021-10-13,不惧大券商抢食，谁能借北交所东风弯道超车？,Wind
300,2021-10-13,中小券商大机遇！多年深耕新三板，不惧大券商抢食，谁能借北交所东风弯道超车？,券商中国
301,2021-10-13,全市场首只碳中和主题债基成立,Wind
302,2021-10-13,券商各显其能发力新三板业务,Wind
