,2021-12-31,35股今日获机构买入评级,证券时报网
51,2021-12-01,食品饮料行业周报：白酒跨年行情可期密切关注提价进展,渤海证券
52,2021-12-01,食品饮料行业2022年上半年投资策略：坚守价值主线 关注边际拐点,新浪
53,2021-12-01,食品饮料行业周报：为什么看好区域次高端白酒机会？,新浪
54,2021-11-30,11.30 | 1-10月酿酒产业营收利润两位数增长；四川果酒谋划“双百亿”；鲁花“染酱”,糖酒快讯
55,2021-11-30,白酒股持续回调,Wind
56,2021-11-30,今世缘股份770万股份回购完成，股价早盘领跌白酒跌幅超3%,搜狐
57,2021-11-30,食品饮料行业周报：看好白酒估值切换 持续关注提价进展,新浪
58,2021-11-29,今世缘：已完成回购，累计回购770万股，总金额4.33亿元,新京报
59,2021-11-29,食品饮料行业：白酒关注提价进展 年底多方信息显积极 继续强烈看好,新浪
60,2021-11-29,今世缘耗资4.33亿元回购公司0.61%股份,乐居财经
61,2021-11-29,今世缘：公司完成回购，累计回购约770万股，占比0.6138%,每日经济新闻
62,2021-11-29,食品饮料行业周报：白酒景气度有望提升 把握大众品边际拐点,新浪
63,2021-11-29,苏酒调研反馈暨白酒板块展望：需求仍稳 改革提速,新浪
64,2021-11-29,食饮周观点：高端酒提价预期强 食品重视新业务增加Α标的,新浪
65,2021-11-29,“喝酒”的张坤、刘彦春、萧楠、王宗合能翻身吗？,Wind
66,2021-11-26,酒业观察丨省外白酒品牌密集落子，安徽白酒市场为何如此受关注？,新京报
67,2021-11-26,今世缘斥资4.33亿元回购770万股，占总股本0.61%,乐居财经
68,2021-11-26,今世缘(603369.SH)斥资4.33亿元回购767万股,智通财经
69,2021-11-26,今世缘(603369.SH)：回购完成 已经累计回购770万股,格隆汇
70,2021-11-24,近半份额给了董事长父子，中青宝的股权激励要“闹哪样”？,第一财经
71,2021-11-24,食品饮料行业周报：白酒板块回暖 建议持续关注,新浪
72,2021-11-24,食品饮料行业周观点：茅台批价回升释放积极信号 大众品涨价蔓延,新浪
73,2021-11-23,板块强势反弹，看好白酒估值切换行情，大众品恢复在途,金融界
74,2021-11-22,食品饮料行业周报：白酒表现平稳 连锁扩张2.0开启,新浪
75,2021-11-22,食品饮料行业周报：白酒估值进入合理区间 静待大众品提价后业绩修复,新浪
76,2021-11-22,食品饮料行业2022年度投资策略：把握低估值 布局高成长,新浪
77,2021-11-22,白酒行业跟踪报告：重视白酒跨年及旺季行情 首选高端,新浪
78,2021-11-22,苏酒今世缘能走出江苏吗？省内不敌洋河，省外近3年收入不到10%,深水财经社
79,2021-11-22,中信建投食品饮料行业2022年投资策略报告：今朝逆风前进，来日乘风破浪,Wind
80,2021-11-21,食品饮料行业周报：白酒情绪回暖 关注板块跨年行情,新浪
81,2021-11-19,A股午盘综述：氢能、智能物流花开两朵，元宇宙反复活跃,Wind
82,2021-11-19,白酒股直线拉升，今世缘、迎驾贡酒、泸州老窖、五粮液等涨幅居前,Wind
83,2021-11-18,食品饮料2022年投资策略报告：今朝逆风前进 来日乘风破浪,新浪
84,2021-11-18,食品饮料行业：着眼2022 白酒看好一线龙头,新浪
85,2021-11-18,搜狐酒业峰会暨知名白酒品鉴会成功举办 倡导“理性饮酒 、健康饮酒”,中国网
86,2021-11-18,2021年搜狐酒业峰会收官：品鉴中国白酒风味，倡导理性饮酒风尚,经济网
87,2021-11-17,食品饮料行业周报：提价仍为主要催化优选格局行稳致远,渤海证券
88,2021-11-17,抱团作战、共同发展：今世缘倡导“苏酒一家亲”！,糖酒快讯
89,2021-11-16,品鉴美酒风味、倡导理性饮酒 2021年搜狐酒业峰会暨知名白酒品鉴会圆满收官,搜狐
90,2021-11-16,喝酒行情重现！主力47亿元抢筹这些股，反弹能持续吗？,第一财经
91,2021-11-16,深度*行业*食品饮料类社零数据点评：10月餐饮收入小幅增长 烟酒增速较快,新浪
92,2021-11-16,今世缘收涨7.19%，现报56.63元,乐居财经
93,2021-11-16,A股收盘综述：锂电、军工施压股指，北向资金底部净买医药白酒,Wind
94,2021-11-16,食品饮料行业周报：双11战报出炉 乳品、零食龙头领跑,新浪
95,2021-11-16,A股午盘综述：资金“喝酒吃药”，锂电池失色,Wind
96,2021-11-16,三大股指悉数翻红：沪指涨0.31% 酿酒、医疗板块强势,凤凰网
97,2021-11-16,酒类股盘中发力拉升，古井贡酒领涨，泸州老窖等走高,证券时报网
98,2021-11-16,白酒股异动，古井贡酒、青青稞酒领涨,Wind
99,2021-11-16,招商证券：白酒表现平稳，整体批价稳定、库存良性,Wind
100,2021-11-15,今世缘：产品难提价 理财流向房地产,证券市场周刊
101,2021-11-15,【方正食饮211115】白酒股权激励梳理：行业向上趋势叠加管理优化，增长加速,虎哥的研究
102,2021-11-15,【招商食品 | 最新】白酒表现平稳，大众品情绪回升,招商食品饮料
103,2021-11-15,兴业证券：当下中档酒、高端酒优于次高端,Wind
104,2021-11-14,一周酒讯丨茅台举行70年庆祝大会；今世缘回购公司股份,新京报
105,2021-11-12,【招商食品 | 深度】白酒业绩稳健，食品关注改善：食品饮料行业2021年三季报深度解析,招商食品饮料
106,2021-11-12,食品饮料行业2021年三季报业绩综述：高基数下分化明显关注啤酒及乳制品,渤海证券
107,2021-11-11,【晚间公告抢先看】四维图新与沃尔沃汽车签署车联网采购框架协议、风语筑在元宇宙赛道布局处于探索尝试阶段,金融界
108,2021-11-11,晚间公告｜11月11日这些公告有看头,第一财经
109,2021-11-11,今世缘拟5.18亿回购公司股份用于股权激励，首次已回购2.03万股,中华网
110,2021-11-11,今世缘斥资107.5万元首次回购0.0016%公司股份,乐居财经
111,2021-11-11,今世缘首次斥资107万元回购2.03万股，占总股本0.002%,乐居财经
112,2021-11-11,今世缘耗资107.47万元首次回购公司股份,乐居财经
113,2021-11-11,今世缘：首次回购2.03万股股份,e公司
114,2021-11-11,今世缘(603369.SH)：11月11日首次回购2.03万股,格隆汇
115,2021-11-11,今世缘5亿股权激励计划落地 “股权激励”成酒企发展标配？,佳酿网
116,2021-11-11,今世缘：河南、安徽市场是今世缘周边化战略的重要省份,每日经济新闻
117,2021-11-11,今世缘：本次回购存在回购方案无法实施或者只能部分实施的不确定性,每日经济新闻
118,2021-11-11,今世缘：持有江苏银行股份有限公司股份650万股，持有江苏涟水农村商业银行股份有限公司股份939.84万股,每日经济新闻
119,2021-11-11,今世缘：《股票期权激励计划草案》还未完成相关程序,每日经济新闻
120,2021-11-11,今世缘：公司积极开展了电商渠道建设，包括与主流电商平台合作、重点运营线上官方旗舰店等等,每日经济新闻
121,2021-11-11,今世缘：山东市场定位为公司省外突破的战略市场，目前济南、临沂等地级市属于省外重点板块运作市场,每日经济新闻
122,2021-11-11,今世缘：公司省外市场拓展总体遵循“全面规划，重点突破，周边辐射，梯次开发”的区域拓展策略，目前浙江、安徽均定位为公司省外突破的战略市场,每日经济新闻
123,2021-11-11,今世缘：公司在抖音和快手官旗店名称均为“今世缘酒业”,Wind
124,2021-11-11,今世缘：公司目前没有外销业务,Wind
125,2021-11-10,三季报16家丰收，白酒牛市的三级火箭四季度启动？,和讯
126,2021-11-09,提价传导依竞争格局而有效甄别，啤酒，调味品，餐饮产业链，乳制品较优,食品饮料光头阳线
127,2021-11-09,【招商食品|年度策略】格局为先，优选加速,招商食品饮料
128,2021-11-09,11.09 | 今世缘拟回购不超过5.18亿元公司股份；怡园酒业前三财季净利656.40万元；王为辞任酣客董事长 董监高成员变化,糖酒快讯
129,2021-11-09,“50亿军团”扩容 白酒腰部生变,佳酿网
130,2021-11-09,大众品：至暗时刻已过，业绩有望边际改善,金融界
131,2021-11-08,快讯 | 今世缘：拟回购660万股至770万股用于实施股权激励,财经网
132,2021-11-08,今世缘：拟回购不超过5.18亿元公司股份,每日经济新闻
133,2021-11-08,“白酒第一股”沉浮录：山西汾酒能否实现“饮马长江”？,深水财经社
134,2021-11-08,【方正食饮211108】20-21年大众品板块复盘：至暗时刻已过，业绩有望边际改善,虎哥的研究
135,2021-11-08,今世缘董秘王卫东被监管警示，销售费逐年增长但扩张之路缓慢 其他违规处罚,发现网
136,2021-11-08,今世缘(603369)　产品结构不断上移,投资快报
137,2021-11-07,【中泰食品】白酒三季报总结：三季度平稳收官，来年展望积极,食品饮料俱乐部
138,2021-11-04,又有酒类基金限购，透露什么信号？刘彦春这么说,Wind
139,2021-11-04,食品饮料行业周报：稳中求胜,新浪
140,2021-11-04,白酒三季报总结：总体稳健不乏亮点 地产酒迎来景气大年,新浪
141,2021-11-03,今世缘：结构升级延续，股权激励可期【太平洋食饮】,食品饮料大消费黄付生
142,2021-11-03,【方正食饮211103】食品饮料21年三季报综述：白酒趋势稳健向好，次高端亮眼，大众品需求仍在低位,虎哥的研究
143,2021-11-03,白酒业前三季业绩稳增，酒企现金流强劲受青睐,Wind
144,2021-11-02,今世缘拟回购股份用于股权激励,面包财经
145,2021-11-02,洋河股份：投资失利掩盖的业绩忧虑,36氪
146,2021-11-02,东方证券给予今世缘买入评级：结构升级盈利稳定增长，看好十四五增长空间,每日经济新闻
147,2021-11-02,东方证券：给予今世缘买入评级，目标价位67.32元,证券之星
148,2021-11-02,碳达峰行动方案影响｜晨会掘金,中信建投证券研究
149,2021-11-01,华金证券维持今世缘买入评级：结构化升级稳步推进，Q3利润平稳增长,每日经济新闻
150,2021-11-01,信达证券维持今世缘买入评级：疫情造成短期扰动，深耕形成持续增长,每日经济新闻
151,2021-11-01,华鑫证券维持今世缘推荐评级：聚焦产品结构优化，省外市场拓展有序,每日经济新闻
152,2021-11-01,华鑫证券：给予今世缘买入评级,证券之星
153,2021-11-01,白酒股也回购！股价盘中涨停了,中国基金报
154,2021-11-01,今世缘(603369)：疫情拖累Q3收入增速 区域次高端行业红利释放在即,广发证券
155,2021-11-01,图解今世缘三季报：第三季度单季净利润同比增23.82%,证券之星
156,2021-11-01,【中泰食品】今世缘：业绩符合预期，结构升级延续,食品饮料俱乐部
157,2021-11-01,今世缘合同负债增长36%，全年收入、利润已完成九成，将以不超过67.27元/股进行回购！ 偿债能力下降,中金在线
158,2021-11-01,快讯：今世缘涨停 报于54.25元,金融界
159,2021-11-01,苏酒老二今世缘盘中涨停，拟斥资5.18亿元回购自家股份,AI财经社
160,2021-11-01,白酒概念板块拉升回暖 岩石股份、今世缘涨停,中国经济网
161,2021-11-01,白酒股表现活跃 今世缘、岩石股份涨停,上证报
162,2021-11-01,【行情】白酒概念拉升回暖，今世缘、岩石股份涨停，苏盐井神、大湖股份、盘江股份跟涨,金十数据
163,2021-11-01,今世缘首板，公司拟斥资不超5.18亿回购股份,Wind
164,2021-11-01,11月1日六家公司公告出现利好：今世缘拟斥资不超5.18亿元回购股份,证券之星
165,2021-11-01,今世缘拟斥资不超5.18亿回购股份，早盘股价应声大涨逾8%,第一财经
166,2021-11-01,A股异动 | 今世缘(603369.SH)涨5.7% 拟回购不超5.18亿元股份,格隆汇
167,2021-11-01,每日财报|今世缘拟5.18亿元回购 雷迪克涉嫌内幕交易被调查 其他违规处罚,每日财报
168,2021-11-01,今世缘持有杭州今世缘股份比例增至100%,乐居财经
169,2021-11-01,盘前必读丨北交所基本明确开市时间，海航集团重整计划获法院裁定批准,第一财经
170,2021-11-01,深度*公司*今世缘(603369)：产品结构不断上移 股权激励方案持续推进,新浪
171,2021-11-01,食品饮料行业周报：白酒分化首推汾酒老窖 食品优选啤酒乳业,新浪
172,2021-10-31,公告精选丨今世缘抛5.18亿元回购方案；雷迪克实控人被查定增终止 再融资异常,21世纪经济报道
173,2021-10-31,【今世缘三季报点评：次高端加速扩容，区域龙头顺势前行——方正食品饮料211030】,虎哥的研究
174,2021-10-31,晚间重要公告2021年10月31日星期日,Wind
175,2021-10-31,今世缘(603369)：利润弹性稳步兑现 高质量增长正当时,新浪
176,2021-10-31,今世缘(603369)季报点评：业绩符合预期 V系延续高增,新浪
177,2021-10-31,快讯 | 今世缘：拟使用5.18亿元回购660万股至770万股，以实施股权激励,财经网
178,2021-10-31,今世缘(603369.SH)拟不超5.18亿元回购股份 回购价不超67.27元/股,智通财经
179,2021-10-31,今世缘：拟回购不超5.18亿元公司股份,e公司
180,2021-10-31,今世缘：拟使用不超过5.18亿元自有资金回购股份,Wind
181,2021-10-31,今世缘(603369)：业绩符合预期 关注产品结构优化,国金证券股份有限公司
182,2021-10-30,今世缘三季度报：增长、增长、增长！,糖酒快讯
183,2021-10-30,今世缘披露2021年三季报 实现营收53.35亿元,资本邦
184,2021-10-29,今世缘前三季度净利16.99亿元，特A+类产品营收增近四成,新京报
185,2021-10-29,今世缘前三季度净利增长29.33%，招商中证白酒持股增1.37%,中国经济网
186,2021-10-29,今世缘前三季度净利增长29.33%，招商中证白酒持股增1.37%,中华网
187,2021-10-29,今世缘今年前三季度实现营收53.33亿元,北京商报
188,2021-10-29,今世缘第三季度营收同比增加15.76%至14.82亿元,乐居财经
189,2021-10-29,今世缘：第三季度净利同比增23.82% 招商中证白酒加仓,e公司
190,2021-10-29,今世缘：前三季度净利润同比增长29.33%,Wind
191,2021-10-29,今世缘：第三季度净利3.64亿元 同比增长23.82%,财联社
192,2021-10-29,今世缘：第三季度净利润3.64亿元，同比增长23.82%,Wind
193,2021-10-29,白酒股低开高走，今世缘、岩石股份涨停,36氪
194,2021-10-28,解盘：周期股全线走弱，风电、白酒、网红概念领涨,Wind
195,2021-10-28,迎驾贡酒万手买单封涨停，机构：白酒行业依然处于景气周期中,第一财经
196,2021-10-27,食品饮料行业周报：季报持续披露整体符合预期,渤海证券
197,2021-10-26,食品饮料行业周观点：关于白酒周期波动的几点思考,新浪
198,2021-10-26,今世缘董秘王卫东被监管警示 委托理财未及时信披 其他违规处罚,中国经济网
199,2021-10-25,未及时披露委托理财信息，今世缘及其时任财务总监被予以监管警示 其他违规处罚,新京报
200,2021-10-25,上交所对今世缘及董秘兼财务总监王卫东予以监管警示 金融监管处罚,乐居财经
201,2021-10-25,上交所对公司时任董秘王卫东予以监管警示 金融监管处罚,Wind
202,2021-10-24,中信建投秋糖会白酒调研报告：消费升级扩容趋势不改,Wind
203,2021-10-22,每日理财观察：证监会正评估完善试点注册制各项安排,Wind
204,2021-10-21,10月21日今世缘涨停分析：白酒概念热股,证券之星
205,2021-10-21,A股收盘综述：煤炭板块回弹无惧动力煤期货再跌停，资金回流保险、银行板块,Wind
206,2021-10-21,酒类股尾盘拉升，今世缘涨停，迎驾贡酒大涨近8%,证券时报网
207,2021-10-21,快讯：今世缘涨停 报于48.1元,金融界
208,2021-10-21,今世缘首板,Wind
209,2021-10-21,食品饮料行业：平稳运行 延续分化,新浪
210,2021-10-19,今世缘：公司将于2021年10月30日发布三季度报告,每日经济新闻
211,2021-10-18,白酒团购，隐秘的繁荣,新浪
212,2021-10-18,今世缘收跌8.93%，现报43.34元,乐居财经
213,2021-10-18,食品饮料行业白酒行业跟踪快报：秋糖再验行业景气持续 坚定推荐高端白酒,新浪
214,2021-10-18,食品饮料行业三季度前瞻：白酒基本面稳健 大众品表现分化,新浪
215,2021-10-18,今世缘：公司目前经营正常，未受到限电政策的影响,Wind
216,2021-10-18,食品饮料行业周报：秋糖反馈积极 白酒业绩稳健建议加配 食品环比改善关注需求,新浪
217,2021-10-14,"今世缘现1笔大宗交易 共成交2,127.60万元",新浪
218,2021-10-14,今世缘今日大宗交易成交45万股，成交价47.28元溢价0.0%,Wind
219,2021-10-13,食品饮料行业白酒Q3前瞻：高端稳健 次高端分化成长,新浪
220,2021-10-13,食品饮料行业月报：双节平稳过度后续持续向好,渤海证券
221,2021-10-13,食品饮料周报：以普五为例继续讨论批价先行性,新浪
222,2021-10-12,北向资金成交缩量全天净卖出近14亿元，东方财富遭大幅净卖出6亿元,Wind
223,2021-10-12,白酒双节旺季平稳度过，三季报业绩有保障,金融界
224,2021-10-11,食品饮料行业周报：次高端旺季表现超预期 预计秋糖反馈积极 建议加配白酒,新浪
225,2021-10-11,食品、饮料与烟草专题报告：食品饮料行业2021年三季报业绩前瞻,新浪
226,2021-10-11,二线酒企“谋位”战 谁将胜出？,佳酿网
227,2021-10-11,白酒行业国庆动销调研报告：动销平稳 渠道健康,新浪
228,2021-10-11,【行情】白酒板块快速拉升，中粮科技涨超6%，广誉远海南椰岛、口子窖、今世缘、水井坊、五粮液、古井贡酒等跟涨,金十数据
229,2021-10-11,21年中秋国庆旺季销售渠道反馈：高端稳健增长 次高端旺季表现超预期 建议加配白酒,新浪
230,2021-10-08,翻倍牛股闪崩跌停！白酒股强势归来，华夏幸福涨停,Wind
231,2021-10-08,食饮行业周报：白酒双节表现符合预期 重申食饮三大投资主线,新浪
232,2021-10-08,21年中秋&国庆白酒最新跟踪：动销趋稳 库存向下,新浪
233,2021-09-30,A股早报2021年9月30日星期四,Wind
234,2021-09-30,财信证券白酒行业深度报告：白酒结构性繁荣，高端稳中有进，次高端成长性凸显,财信证券研究
235,2021-09-29,晚间重要公告2021年9月29日星期三,Wind
236,2021-09-29,东杰智能：签订今世缘成品酒包装物流中心项目合同,e公司
237,2021-09-29,东杰智能：签订今世缘1.32亿元成品酒包装物流项目,财联社
238,2021-09-28,今世缘：股价受多重因素的影响,每日经济新闻
239,2021-09-28,食品饮料行业周报：次高端白酒Q3向好 调味品至暗已过,新浪
240,2021-09-27,741亿资金涌入！茅台冲击第15次涨停！这3只白酒股机构已提前布局,Wind
241,2021-09-27,食品饮料行业：白酒多因素催化 大众品提价提振,新浪
242,2021-09-27,"今世缘现1笔大宗交易 共成交1,328.10万元",新浪
243,2021-09-27,消费行业周报：节后白酒批价坚挺 调味品有望实现提价,新浪
244,2021-09-27,食品饮料行业周报：茅台新董事长带来新气象 海天引领大众品反弹,新浪
245,2021-09-26,白酒中秋动销跟踪专题：高端稳健 次高端分化下龙头高增,新浪
246,2021-09-26,食品饮料行业动态报告：白酒中秋动销反馈积极 关注调味品提价预期,新浪
247,2021-09-24,21Q3白酒业绩前瞻：次高端高弹性 高端稳健,新浪
248,2021-09-24,A股收盘综述：煤炭、水泥、钢铁、化肥大幅调整，限产限电下市场找寻新方向,Wind
249,2021-09-24,A股午盘综述：水泥、煤炭、钢铁股遭到抛售，资金回流食品、白酒板块,Wind
250,2021-09-24,今世缘：未来5年酿酒产能3.8万吨,中华网
251,2021-09-23,光大证券：维持今世缘(603369.SH)“买入”评级 品牌势能提升 产品结构升级,智通财经
252,2021-09-23,食品饮料行业周报：白酒动销平稳大众品望回暖,渤海证券
253,2021-09-23,今世缘：预计未来五年产能利用率95%，且将陆续新增产能3.8万吨,Wind
254,2021-09-23,今世缘：公司近年来陆续通过智能化酿造技术推广、酿造工艺改进等，大幅提高了劳动生产效能,每日经济新闻
255,2021-09-23,今世缘：公司现有酿酒产能2.7 万吨,每日经济新闻
256,2021-09-22,白酒行业中秋调研反馈：动销相对平稳 渠道良性健康,新浪
257,2021-09-22,食品饮料行业周报：中秋动销平稳白酒具备长期配置价值,新浪
258,2021-09-18,今世缘(603369)21年中报点评：国缘高增 预收款表现强劲,新浪
259,2021-09-17,深度*行业*食品饮料行业类社零数据点评：疫情和汛情扰动 8月食品饮料增速放缓,新浪
260,2021-09-17,水井坊(600779)跟踪点评：激励逐步落地 期待高端化改革成效,新浪
261,2021-09-16,食品饮料行业8月食品饮料社零数据点评：疫情影响社零增速回落 烟酒类增速比较稳健,新浪
262,2021-09-16,水井坊(600779)：员工持股凝聚人心 目标稳健发展,国海证券
263,2021-09-15,[公司]东杰智能中标今世缘1.32亿元项目 食品饮料智能物流仓储再下一城,全景网
264,2021-09-14,东杰智能(300486.SZ)中标今世缘1.32亿元成品酒包装物流中心项目,智通财经
265,2021-09-14,食品饮料行业周报：建议关注白酒板块,新浪
266,2021-09-14,食品饮料行业：名优白酒中秋旺季动销良好 行业景气度延续,新浪
267,2021-09-14,资本市场迎来国潮风，国货品牌全面崛起势不可挡,Wind
268,2021-09-13,食品饮料行业周观点：关注白酒旺季景气 期待食品改善趋势,新浪
269,2021-09-11,白酒格局酿变：次高端争抢C位,Wind
270,2021-09-10,双节来临，“假日经济”给投资者送福利,Wind
271,2021-09-10,省内不及洋河，省外扩张不利，“苏酒老二”今世缘何去何从？,中金在线
272,2021-09-10,食品饮料行业周报：白酒表现稳定 大众品迎拐点,渤海证券
273,2021-09-09,食品饮料行业2021年半年报业绩综述：白酒表现依旧稳健关注啤酒及乳制品,渤海证券
274,2021-09-09,食品饮料2021中报综述：高端景气延续 大众压力显现,新浪
275,2021-09-08,食品饮料行业2021年中报综述之白酒篇：高端酒持续稳健 次高端弹性尽显,新浪
276,2021-09-06,食品饮料行业周报：布局高成长个股 关注环比改善个股,华安证券
277,2021-09-05,食品饮料行业周报：白酒长期价值凸显 关注中秋旺季动销,新浪
278,2021-09-04,白酒板块2021年中报回顾暨最新投资策略：高质增长 留有余力,新浪
279,2021-09-03,【浙商食饮】今世缘更新点评：高质量发展开新局，国缘及V系发展可期,微信
280,2021-09-02,今世缘交出历史最优半年度业绩 中高端产品营收占比首破9成,佳酿网
281,2021-08-31,张坤也撑不住了？清仓式减持多只白酒股，刘彦春却买买买,Wind
282,2021-08-30,今世缘业绩说明会：股权激励尚在走程序，高销售投入不对利润产生重大影响,搜狐
283,2021-08-30,西南证券首予今世缘买入评级：产品结构升级持续，长期成长空间充足,每日经济新闻
284,2021-08-29,宋书玉：“三化方略”为今世缘打下坚实基础；李秋喜：三个“更”完成一次升级；汪博炜：运用科技赋能极致品质，变革与重树 | 一周观点,糖酒快讯
285,2021-08-28,本周51家A股公司购买50.91亿元理财产品，今世缘买入最多,每日经济新闻
286,2021-08-27,北向资金本周稳步进场加仓A股近180亿，隆基股份大幅净买入超11亿元,Wind
287,2021-08-26,山鹰国际、今世缘等71股获机构买入型评级,证券时报网
288,2021-08-26,北向资金连续4日净买入，中国铝业获大幅加仓近12亿元,Wind
289,2021-08-26,13秒赚2万多！“宁王”一则消息：一分钟狂拉90%,Wind
290,2021-08-26,A股收盘综述：消费、金融难见起色，资源股再度狂欢,Wind
291,2021-08-26,【异动股】酿酒行业板块下挫，今世缘(603369.CN)跌8.63%,财华社
292,2021-08-26,A股午盘综述：创业板指跌1.7%，消费、周期冰火两重天,Wind
293,2021-08-26,白酒股跌幅扩大，今世缘跌近7%,Wind
294,2021-08-26,食品饮料行业周报：白酒监管座谈会引发白酒调整,新浪
295,2021-08-26,白酒股低开低走，舍得酒业、今世缘跌超3%,Wind
296,2021-08-26,国金证券给维持今世缘买入评级：收入符合预期，稳步推进4K换代升级,每日经济新闻
297,2021-08-26,东方证券维持今世缘买入评级：上半年稳定增长，看好长期业绩空间,每日经济新闻
298,2021-08-26,今世缘(603369)2021年中报点评：收入稳增长 产品升级稳步推进,新浪
299,2021-08-26,沪指三连阳，业绩暖色烘托周期股行情,Wind
300,2021-08-25,5天降了400块！茅台酒旺季不涨反跌,Wind
301,2021-08-25,中银证券维持今世缘买入评级：300元以上产品高增，省内持续深耕,每日经济新闻
302,2021-08-25,川财证券给予今世缘增持评级，2021年半年报点评，近期获11份券商研报关注，目标均价涨幅26.67%,每日经济新闻
