,2021-12-31,海大集团：公司部分核心添加剂系自主研发生产,每日经济新闻
95,2021-10-25,最新动向！张坤逆市加仓5200亿巨头，傅鹏博、谢治宇双双增持“化学茅”…这些顶流都在逆市布局,券商中国
96,2021-10-25,三季报露玄机 顶流基金经理持股图谱逐渐清晰,中证网
97,2021-10-25,最新动向！张坤逆市加仓5200亿巨头 傅鹏博、谢治宇双双增持“化学茅”,券商中国
98,2021-10-24,机构调研把脉四季度及明年业绩 代表企业透露行业“温度”,e公司
99,2021-10-24,海大集团(002311)：生猪养殖拖累短期业绩 看好公司主业稳健成长 盈利能力下降,广发证券
100,2021-10-23,首创证券维持海大集团买入评级：养殖短期承压，饲料主业稳健增长,每日经济新闻
101,2021-10-22,【调研纪要】海大集团：目前饲料行业处于小型企业产能退出的阶段（20211022）,微信
102,2021-10-22,海大集团(002311)：产品服务体系构建核心竞争力 巨头发展步入新阶段,国海证券
103,2021-10-22,海大集团(002311)：需求低迷成本上涨 养殖业务承压,新浪
104,2021-10-22,【银河农业谢芝优】公司点评丨海大集团 (002311)：养殖业务亏损拖累Q3业绩表现 亏损,中国银河证券研究
105,2021-10-21,丘栋荣三季度大调仓，张坤、傅鹏博、刘彦春等持仓曝光,Wind
106,2021-10-21,农林牧渔行业周报(第四十周)：新版国家级稻和玉米品种审定标准发布 关注国内种业发展,新浪
107,2021-10-21,东方证券：维持海大集团(002311.SZ)“买入”评级 目标价96.34元,智通财经
108,2021-10-21,东方证券：给予海大集团买入评级，目标价位96.34元,证券之星
109,2021-10-21,东方证券维持海大集团买入评级，三季报点评：养殖承压，主业稳健，目标价格为96.34元,每日经济新闻
110,2021-10-21,海大集团：公司2021年第三季度出栏数量中，外购仔猪数量约占总出栏数的67%,每日经济新闻
111,2021-10-21,海大集团：公司外购仔猪种苗平均成本超过1600元/头,Wind
112,2021-10-21,海大集团(002311)：饲料稳步增量 养殖拖累盈利,新浪
113,2021-10-21,顶流出手！刘彦春、周应波、赵诣、曹名长等加仓这些龙头股,中国基金报
114,2021-10-21,国联证券：维持海大集团(002311.SZ)“增持”评级 生猪养殖承揽压力,智通财经
115,2021-10-21,中航证券给予海大集团买入评级，2021年三季报点评：养殖影响利润，饲料业绩高增,每日经济新闻
116,2021-10-21,海大集团（002311）2021年三季报点评：养殖阶段性拖累业绩，饲料维持强劲增长,国信研究
117,2021-10-21,晨会聚焦211021重点关注海大集团、太平鸟、首旅酒店、承德露露,国信研究
118,2021-10-21,券商首次关注4股并给予买入评级（10月21日）,Wind
119,2021-10-21,67股获券商买入评级，老板电器目标涨幅达78.55%,Wind
120,2021-10-21,海大集团(002311)：养殖拖累业绩 饲料市占率继续提升 盈利能力下降,新浪
121,2021-10-21,国联证券：给予海大集团增持评级,证券之星
122,2021-10-20,又一批顶流基金经理持仓出炉，刘彦春葛兰坚定持有迈瑞医疗，袁芳青睐老板电器，林英睿重仓贵研铂业,财联社
123,2021-10-20,养猪亏掉7亿元，海大集团感叹“处于至暗时刻” 亏损,中国经济网
124,2021-10-20,海大集团股价跌6% 第三季度净利降78%负债突破200亿 盈利能力下降,中国经济网
125,2021-10-20,国货精品轮胎，原配广交会官方用车！,中国橡胶网
126,2021-10-20,海大集团：前三季度归母净利润17.46亿元，同比下降15.77% 盈利能力下降,资本邦
127,2021-10-20,国海证券首予海大集团买入评级，三季报点评：饲料主业快速发展，核心优势持续强化,每日经济新闻
128,2021-10-20,养殖股早盘回调，海大集团、傲农生物跌超7%,36氪
129,2021-10-20,快讯：猪肉板块回调走弱 海大集团跌近5%,新浪
130,2021-10-20,【行情】猪肉板块回调走弱，海大集团跌近5%，傲农生物、巨星农牧、禾丰股份跟跌,金十数据
131,2021-10-20,华金证券：给予海大集团买入评级,证券之星
132,2021-10-20,加仓核心资产！刘彦春、朱少醒、谢治宇三季度投资动向曝光,Wind
133,2021-10-20,逆向加仓核心资产！刘彦春、朱少醒、谢治宇三季度投资动向曝光，加仓这些个股，吸引力在哪？,券商中国
134,2021-10-20,海大集团公布三季报 前三季净利减少15.77% 盈利能力下降,新浪
135,2021-10-19,海大集团三季报净利下降15.77%，中欧周应波三季度加仓1216万股 盈利能力下降,阿尔法工场
136,2021-10-19,海大集团：今年生猪业务建设进度有放缓,财联社
137,2021-10-19,养猪业务拖累，海大集团第三季度净利下降超七成 盈利能力下降,新京报
138,2021-10-19,一图读懂海大集团2021年三季报，第三季度单季净利润同比减77.94% 盈利能力下降,证券之星
139,2021-10-19,海大集团最新公告：第三季度净利同比下降77.94% 盈利能力下降,证券之星
140,2021-10-19,海大集团：第三季度净利同比下降77.94% 盈利能力下降,财联社
141,2021-10-19,海大集团(002311.SZ)：拟使用不超3亿元自有资金进行证券投资及衍生品交易,格隆汇
142,2021-10-19,海大集团(002311.SZ)：前三季度净利降15.77%至17.46亿元 盈利能力下降,格隆汇
143,2021-10-19,收储叠加消费旺季，猪周期迎反转,Wind
144,2021-10-18,农林牧渔行业周报：猪企普遍预亏 种企表现分化 预亏,新浪
145,2021-10-18,农林牧渔行业2021年第41周周报：Q3业绩预告已出 如何看待生猪板块投资机会？,新浪
146,2021-10-18,农产品研究跟踪系列报告(23)：布局Q4生猪绝地反击 继续看好种业板块,新浪
147,2021-10-18,农林牧渔行业周报：“通胀视角”看2021Q4及2022年猪肉消费性价比,新浪
148,2021-10-18,看多Q4行情，看好生猪和种业,金融界
149,2021-10-17,海大集团(002311.SZ)：控股股东质押455万股,格隆汇
150,2021-10-15,农林牧渔2021年三季报业绩前瞻：生猪养殖迎来“至暗时刻” 关注宠物与养殖后周期,新浪
151,2021-10-15,海大集团：控股股东海灏投资累计质押股数为4954.5万股,每日经济新闻
152,2021-10-11,农林牧渔行业：静待曙光,新浪
153,2021-10-11,东兴大消费：假期数据平淡 建议关注户外、美妆等景气赛道,新浪
154,2021-10-11,“二师兄”首次霸气涨停，多品种续迎高景气,Wind
155,2021-10-09,海大集团间接控股子公司环境违法被罚8万元 环保处罚,每日经济新闻
156,2021-09-29,新华扬拟IPO：研发费用率低于行业均值 招股书披露实控人曾涉两起受贿案 成长能力下降,中华网
157,2021-09-28,农林牧渔行业周观点：行业复苏 继续推荐种业板块,新浪
158,2021-09-28,白酒王者归来！有哪些“能涨抗跌”的消费基金？,养基司令
159,2021-09-27,农林牧渔行业周报：《生猪产能调控方案(暂行)》长效助力规模化提升,新浪
160,2021-09-27,农林牧渔行业2021年第39周周报：继续重点推荐种业机会；关注生猪产能调控新方案推进！,新浪
161,2021-09-26,农林牧渔行业：猪价短期加速见底 关注阶段性超跌反弹机会,广发证券
162,2021-09-24,海大集团：股东海灏投资500万股股份质押展期,乐居财经
163,2021-09-24,海大集团(002311.SZ)：控股股东质押展期500万股,格隆汇
164,2021-09-24,海大集团：控股股东部分股份质押展期,每日经济新闻
165,2021-09-24,解盘：大消费强势，食品加工、乳业、医美、白酒领涨,Wind
166,2021-09-24,海大集团成立生物科技公司，注册资本500万元,乐居财经
167,2021-09-23,农业周报：怎么看能繁母猪存栏量和新生仔猪数量的背离？,新浪
168,2021-09-22,“数据会说话”之2021年8月数据解读：8月疫情防控升级 社零增速不及预期,新浪
169,2021-09-22,农林牧渔行业：中秋提振有限 猪价持续低迷,新浪
170,2021-09-22,农林牧渔行业周观点：政策持续加码 优选种业龙头,新浪
171,2021-09-22,申万农林牧渔周观点：猪价续创新低 年内第二次收储即将启动,新浪
172,2021-09-21,农林牧渔行业周报：生猪补栏意愿持续大降 白羽鸡祖代累计更新年内首降,华安证券
173,2021-09-14,东兴大消费：关注消费复苏中的高端消费,新浪
174,2021-09-13,农林牧渔行业周报：坚守种业景气 关注母猪存栏下降*(推荐),新浪
175,2021-09-13,农林牧渔行业周观点：种业振兴进入实施阶段 龙头迎来快速发展期,新浪
176,2021-09-13,农林牧渔行业周报：8月主流猪企出栏同比大增 USDA9月供需报告发布,华安证券
177,2021-09-13,农林牧渔行业周报：《种业振兴行动方案》即将下发 种业发展迎来新机遇,新浪
178,2021-09-13,农林牧渔行业：猪价继续下跌 《种业振兴行动方案》即将出台,新浪
179,2021-09-09,海大集团：海灏投资累计质押股数约为4500万股,每日经济新闻
180,2021-09-09,海大集团(002311.SZ)控股股东海灏投资质押417万股,智通财经
181,2021-09-07,至暗时刻！猪肉跌饲料涨，“二师兄”亏惨何时休？,Wind
182,2021-09-07,原材料价格高企，饲料企业掀起“涨价潮”,Wind
183,2021-09-06,申万农林牧渔周观点：生猪供给明显恢复 把握龙头中长期价值,新浪
184,2021-09-02,A股共发生193宗大宗交易成交47.81亿元（9月2日）,Wind
185,2021-09-02,海大集团今日大宗交易成交121.94万股，成交价63.79元折价0.55%,Wind
186,2021-09-01,北向资金净买入额创一个月新高连续8日加仓，伊利股份、贵州茅台净买入均超6亿元,Wind
187,2021-08-31,农林牧渔行业周报：生猪补栏积极性再降 国际糖价突破20美分,华安证券
188,2021-08-31,150亿元到手火速建仓！刘格菘隐形重仓股曝光,Wind
189,2021-08-29,农林牧渔行业投资策略月报：8月猪价同比下跌60% 高价仔猪消化期即将结束,广发证券
190,2021-08-27,川金诺：目前公司的主要客户包含：新希望集团、嘉吉集团、正大集团、双胞胎集团、唐人神集团、海大集团、瑞丽天平边贸有限公司等,每日经济新闻
191,2021-08-26,跌出价值！千亿白马频现回购，强护盘模式开启,Wind
192,2021-08-26,券商首次关注9股并给予买入评级（8月26日）,Wind
193,2021-08-25,券商首次关注6股并给予买入评级（8月25日）,Wind
194,2021-08-24,东方证券首予海大集团买入评级，海大集团首次覆盖报告：精雕主业，蓄力生态,每日经济新闻
195,2021-08-23,农林牧渔行业周观点：全国人大常委会审议《种子法》修正草案,新浪
196,2021-08-23,【长江研究·早间播报】金属/非银/农业/通信,长江研究
197,2021-08-20,医药配白酒，抱头哭一宿！“消费一哥”今天也栽了,Wind
198,2021-08-19,“数据会说话”之2021年7月数据解读：7月社零数据低于预期 弱复苏态势延续,新浪
199,2021-08-18,海大集团今日大宗交易成交41.50万股，成交价67.49元溢价0.0%,Wind
200,2021-08-17,农林牧渔周观点：关注转基因商业化政策落地预期 兼谈畜禽养殖7月报,新浪
201,2021-08-17,社保基金+QFII重仓25股，北上资金盯上5股,Wind
202,2021-08-16,农产品研究跟踪系列报告(19)：种业格局或迎重塑 看好板块周期与成长共振,新浪
203,2021-08-16,农业行业：关注三大核心资产和种业龙头机会,新浪
204,2021-08-13,国联证券首予海大集团增持评级：水产饲料量价齐升，饲料龙头稳步前进,每日经济新闻
205,2021-08-10,QFII二季度持仓曝光 多股翻倍上涨,新浪
206,2021-08-10,"海大集团现2笔大宗交易 共成交4,102.00万元",新浪
207,2021-08-10,海大集团今日大宗交易成交58.60万股，成交价70.0元折价1.97%,Wind
208,2021-08-10,农林牧渔行业农产品研究跟踪系列报告(18)：重点关注种业投资机遇 看好畜禽链反弹行情,新浪
209,2021-08-10,申万农林牧渔周观点：关注转基因产业化推进预期 把握优质龙头回调机会,新浪
210,2021-08-10,【行情】猪肉板块走弱，天邦股份跌近4%，新五丰、海大集团、温氏股份跟跌,金十数据
211,2021-08-10,猪肉板块迎久违大涨资金加速布局，猪周期拐点来了？,Wind
212,2021-08-09,东兴大消费：疫情反复扰动短期消费 关注长期景气赛道,新浪
213,2021-08-09,社保基金QFII布局热点赛道：偏爱科技行业,中投网
214,2021-08-09,农林牧渔行业周观点：政策持续催化 坚守种业龙头,新浪
215,2021-08-09,机构看重标的赚钱效应突出！社保、QFII、险资二季度加仓标的曝光,Wind
216,2021-08-09,“基差点价+期权”推动玉米产业贸易模式升级,期货日报
217,2021-08-08,农林牧渔行业：种植行业面面观,新浪
218,2021-08-08,农林牧渔行业周报：布局种子法修订 关注生猪产业《意见》,新浪
219,2021-08-07,机构看重标的赚钱效应突出，新进牛股大涨228%,Wind
220,2021-08-07,社保、QFII、险资二季度加仓标的曝光！新进牛股大涨228%,中证报
221,2021-08-07,偏爱这些股！社保、QFII、险资等最新持仓大曝光,Wind
222,2021-08-07,偏爱这些股！社保、QFII、险资等最新持仓大曝光,中国基金报
223,2021-08-06,主力资金出逃多只龙头股,证券时报网
224,2021-08-06,8月6日主力资金净流出244亿元,证券时报网
225,2021-08-04,【安信农业 周泰团队】农林牧渔行业2021Q2基金持仓分析：行业维持低配 养殖板块减配明显,农业新泰度
226,2021-08-04,宜宾副市长一行调研海大集团,轮胎世界网
227,2021-08-04,社保基金、QFII机构二季度重点布局科技、先进制造等行业,资本邦
228,2021-08-04,偏爱科技行业加码先进制造，社保基金QFII布局热点赛道,Wind
229,2021-08-04,社保基金QFII布局热点赛道：偏爱科技行业 加码先进制造,中证报
230,2021-08-04,社保基金、QFII调仓路线曝光，同时重仓化工股,Wind
231,2021-08-04,社保基金、QFII调仓路线曝光 同时重仓化工股 时报大视野,新浪
232,2021-08-04,社保基金QFII布局热点赛道 创新仍是大方向,中证报
233,2021-08-03,禁买线预警，看“聪明钱”如何爆买A股？,Wind
234,2021-08-03,国信证券：维持海大集团(002311.SZ)“买入”评级 饲料主业强势高增 产能扩张增速可期,智通财经
235,2021-08-03,晨会聚焦210803重点关注移远通信、地素时尚、乐鑫科技、海大集团、百隆东方、农林牧渔、纺织服装、非金属建材、社会服务、食品饮料,国信研究
236,2021-08-03,海大集团（002311）2021年半年报点评：熵减优势逐季加强，中报业绩强势增长,国信研究
237,2021-08-03,66家公司获机构调研（附名单）,证券时报网
238,2021-08-02,农林牧渔行业周观点：政策着力种业振兴 继续关注种业板块,新浪
239,2021-08-02,农林牧渔行业周报：7月生猪出栏结构改善 短期价格反弹在望,新浪
240,2021-08-02,农业行业：龙头优势仍在 具备估值性价比,新浪
241,2021-08-02,57家公司获机构调研（附名单）,证券时报网
242,2021-08-01,合作取得重要进展！这只鸿蒙概念股获268家机构扎堆调研,21世纪经济报道
243,2021-08-01,顶流机构最新持仓曝光：社保狂买科技股，外资关注新能源,Wind
244,2021-08-01,海大集团间接控股子公司环境违法被责令限制生产 其他违规处罚,每日经济新闻
245,2021-08-01,“盐湖提锂”王者归来！硬科技龙头获近500家机构调研,Wind
246,2021-07-31,海大集团(002311)：竞争优势凸显 饲料业务表现亮眼,广发证券
247,2021-07-30,调研记录|海大集团（002311.SZ）：目前在广东、广西、山东等多地布局了不同品种的水产养殖基地,智通财经
248,2021-07-30,【牛人重仓】海大集团:前复权价创120日新低，北向资金持股5612.85万股，融资余额23111.47万元；前3个交易日，北向资金增持65.42万股，融资额增加2635.51万元，主力资金净流入17837.53万元,每日经济新闻
249,2021-07-30,市场探底回升 主力分歧加大,金融投资报
250,2021-07-29,32股今日获机构买入评级12股上涨空间超20%,证券时报网
251,2021-07-29,大盘探底回升 机构分歧加大,金融投资报
252,2021-07-29,海大集团龙虎榜数据（7月29日）,Wind
253,2021-07-29,社保基金持仓曝光：偏爱电子设备、医药等领域,中国基金报
254,2021-07-29,东兴证券：维持海大集团(002311.SZ)“强烈推荐”评级 主业饲料维持高增 水产养殖价格景气,智通财经
255,2021-07-29,国常会定调生猪产能，张坤调研行业龙头，拐点已至？,Wind
256,2021-07-29,上市公司半年报显示，社保基金、QFII增持通信、电子、医药等行业,Wind
257,2021-07-29,社保基金、QFII增持通信、电子、医药等行业,全景网
258,2021-07-28,最新！社保基金持仓曝光，偏爱这些股！QFII、险资持仓也来了,上游新闻
259,2021-07-28,海大集团接受126家机构调研！短期主力资金净流出，存在资金分歧,每日经济新闻
260,2021-07-28,海大集团(002311)公司定期点评报告：饲料养殖双轮驱动 中报业绩超预期,新浪
261,2021-07-28,国信证券：维持海大集团(002311.SZ)“买入”评级 饲料主业强势高增 生猪业绩略有承压,智通财经
262,2021-07-28,海大集团：控股股东海灏投资累计质押4082万股，占其所持股份4.48%,每日经济新闻
263,2021-07-28,海大集团(002311.SZ)：控股股东质押展期770万股,格隆汇
264,2021-07-28,海大集团(002311)：饲料业务延续量利齐升 生猪养殖业务基本实现盈亏平衡,新浪
265,2021-07-28,国信证券维持海大集团买入评级，近期获5份券商研报关注，目标均价涨幅22.49%,每日经济新闻
266,2021-07-28,海大集团(002311)2021年半年报点评：熵减优势逐季加强 中报业绩强势增长,新浪
267,2021-07-28,海大集团(002311)：养殖业务拖累当期表现 但长期空间向好,新浪
268,2021-07-28,海大集团(002311)：市占率继续提升 发展进入加速期,新浪
269,2021-07-27,【安信农业 周泰团队】海大集团2021年半年报点评：饲料销量大幅增长 业绩增长稳健,农业新泰度
270,2021-07-27,2021Q2农业基金持仓分析：养殖板块配置比例下降 后周期板块获增持,新浪
271,2021-07-27,海大集团(002311)：多点开花主业向好 猪价低迷拖累当期业绩 不改长期增长 盈利能力下降,新浪
272,2021-07-27,A股再迎回购潮，千亿资金整装待发,Wind
273,2021-07-27,开源证券维持海大集团买入评级：“一体两翼”销量高增，助力业绩兑现,每日经济新闻
274,2021-07-27,海大集团(002311)：饲料高速增长 一体两翼促稳固发展,新浪
275,2021-07-27,华泰证券：维持海大集团(002311.SZ)“买入”评级 目标价89.01元,智通财经
276,2021-07-27,华金证券给予海大集团买入评级，饲料业务表现亮眼，后续有望重回逻辑主线,每日经济新闻
277,2021-07-27,安信证券给予海大集团买入评级，饲料销量大幅增长，业绩增长稳健,每日经济新闻
278,2021-07-27,中信证券：维持海大集团(002311.SZ)“买入”评级 目标价89元,智通财经
279,2021-07-27,海大集团(002311)2021年中报点评：业绩持续高增 龙头优势强化,新浪
280,2021-07-27,海大集团(002311)：1H221饲料业务优势突显 Q4生猪养殖成本或明显回落,华安证券
281,2021-07-27,华安证券：维持海大集团(002311.SZ)“买入”评级 饲料业务优势突显 Q4生猪养殖成本或明显回落,智通财经
282,2021-07-27,招商证券：维持海大集团(002311.SZ)“强烈推荐-A” 目标价85元,智通财经
283,2021-07-27,A股异动 | 绩后获券商唱好 海大集团(002311.SZ)反弹超7%,格隆汇
284,2021-07-27,一图读懂海大集团2021年中报,证券之星
285,2021-07-26,海大集团：上半年净利润同比增长38.82%,Wind
286,2021-07-26,晚间重要公告2021年7月26日星期一,Wind
287,2021-07-26,海大集团：为有序开展融资业务等 拟对外提供不超过8.65亿元担保 大额借贷担保,发布易
288,2021-07-26,海大集团(002311.SZ)半年度净利同比增长38.82%至15.33亿元,智通财经
289,2021-07-26,海大集团：公司实际担保总余额约为57.21亿元 大额借贷担保,每日经济新闻
290,2021-07-26,海大集团半年报：上半年净利15亿元同比增长39%,财联社
291,2021-07-26,海大集团：2021年半年度净利润约15.33亿元，同比增加38.82%,每日经济新闻
292,2021-07-26,海大集团(002311.SZ)半年度净利润升38.82%至15.33亿元,格隆汇
293,2021-07-26,农林牧渔行业周报：Q2基金农业权益配比下降 降水增加养殖防疫难度,新浪
294,2021-07-26,申万农林牧渔周观点：洪涝对农产品生产影响有限 生猪屠宰条例修订将至,新浪
295,2021-07-23,A股共发生99宗大宗交易成交15.49亿元（7月23日）,Wind
296,2021-07-23,海大集团现1笔大宗交易 共成交744.17万元,新浪
