,2021-12-31,"券商12月金股组合""战绩""：川财证券9.26%夺冠 东吴最差",新浪
44,2021-11-27,原发审委委员朱毅接受调查，证监系统反腐高压持续 其他违规处罚,Wind
45,2021-11-27,炬华科技：光大证券、东吴证券等8家机构于11月25日调研我司,证券之星
46,2021-11-26,光大银行深圳分行联合人工智能产业协会成功举办专精特新企业专场对接会,深圳新闻网
47,2021-11-26,证监会将对券商实施全面风险管理现场检查“全覆盖”,Wind
48,2021-11-26,光大证券股份有限公司 2021年度第九期短期融资券（债券通） 兑付完成的公告,证券时报
49,2021-11-25,【港股通】光大证券(06178)完成兑付第九期短期融资券,和讯
50,2021-11-25,光大证券(06178)完成兑付2021年度第九期短期融资券,智通财经
51,2021-11-25,光大证券：完成兑付本息共计20.1亿元短期融资券,Wind
52,2021-11-25,光大证券(601788.SH)完成兑付本息共计20.1亿元短期融资券,智通财经
53,2021-11-25,“杀猪盘”再现？翻倍牛股1分钟闪崩跌停，啥情况？,Wind
54,2021-11-25,汉钟精机：光大证券、太平洋保险等2家机构于11月23日调研我司,证券之星
55,2021-11-24,24股今日获机构买入评级 5股上涨空间超20%,证券时报网
56,2021-11-24,锂电池的葬礼,ZAKER
57,2021-11-24,券业总资产首破10万亿！券商前三季大赚1440亿,Wind
58,2021-11-23,散户大厅还能“谈股论经”吗？券商年内加快裁撤营业部,Wind
59,2021-11-23,压实“看门人”责任，强监管信号持续释放,Wind
60,2021-11-22,从严监管不放松！8家券商领罚单，其中一笔罚款达1500万元 金融监管处罚,中证报
61,2021-11-22,证监会对光大证券(601788.SH)采取责令改正措施 该公司存在“融资融券业务授信管理不审慎”等违规行为 金融监管处罚,智通财经
62,2021-11-22,券业总资产突破10万亿，财富管理转型扛起增收大旗,Wind
63,2021-11-20,力星股份：海通证券、光大证券等12家机构于11月18日调研我司,证券之星
64,2021-11-19,又有券商申请托管资格！今年基金托管牌照尚待零的突破,Wind
65,2021-11-19,浙江黎明换手率65% IPO募6.38亿光大证券赚0.46亿,中国经济网
66,2021-11-19,券商股异动飙涨 机构：财富管理转型加速 龙头券商优势凸显,第一财经
67,2021-11-18,2800万就敢打板？这家银行股盘中惊现涨停,新浪
68,2021-11-17,金融反腐进行时！投行总部总经理杜雄飞被中纪委调查，一度让光大证券固收业务突飞猛进,Wind
69,2021-11-17,光大证券(06178.HK)：蔡敏男获任非执行董事,财华社
70,2021-11-16,广东证监局对光大证券(601788.SH)周琴出具警示函 存在委托他人代理从事客户招揽活动等行为 金融监管处罚,智通财经
71,2021-11-16,光大证券：选举蔡敏男为第六届董事会非执行董事,Wind
72,2021-11-16,光大证券(06178.HK)选举蔡敏男为非执行董事,格隆汇
73,2021-11-16,光大证券(601788.SH)：蔡敏男董事任职自11月16日起生效,智通财经
74,2021-11-16,11月调研情况：网安赛道风起，机构最爱“榨菜茅”,Wind
75,2021-11-15,11月15日深市创业板活跃股公开信息,深交所
76,2021-11-15,北交所74天开市，诠释新“北京速度”,Wind
77,2021-11-12,光大证券(06178)选举林静敏为职工监事,智通财经
78,2021-11-12,光大证券：撤销2家证券营业部,Wind
79,2021-11-12,光大证券：选举林静敏女士为本公司第六届监事会职工监事,Wind
80,2021-11-12,光大证券(601788.SH)决定撤销2家证券营业部,智通财经
81,2021-11-12,光大证券：撤销无锡政和大道营业部及滁州丰乐大道营业部,Wind
82,2021-11-12,财务标准尚未达标，卓力昕携手光大证券备考精选层小IPO,资本邦
83,2021-11-11,卓力昕：精选层挂牌辅导备案获江苏证监局同意,同壁财经
84,2021-11-11,卓力昕进精选层辅导期：辅导机构为光大证券 上半年净赚566万元,同壁财经
85,2021-11-10,又见券商首席变动！黄文涛出任中信建投首席经济学家,Wind
86,2021-11-09,净赚350亿元！资管成券商“利润牛” 转型大背景下如何继续掘金,凤凰网
87,2021-11-09,坚朗五金：光大证券、中欧基金等21家机构于11月5日调研我司,证券之星
88,2021-11-09,苏州银行：光大证券于11月5日调研我司,证券之星
89,2021-11-08,【银华基金】交易日报 2021-11-8,新浪
90,2021-11-07,【重磅】暴风集团行贿案一角：两行贿者实刑，两受贿者缓刑 其他违规处罚,经济观察报
91,2021-11-05,【银华基金】交易日报 2021-11-5（内部）,新浪
92,2021-11-05,光大证券(601788.SH)：撤销3家证券营业部,格隆汇
93,2021-11-05,光大证券：决定撤销广州三家营业部,Wind
94,2021-11-05,光大证券：撤销三家广州营业部,Wind
95,2021-11-05,光大证券：2021年度第八期短期融资券兑付完成，本息20.1亿元,智通财经
96,2021-11-05,最难时期已过去，券商资管迎新机遇,Wind
97,2021-11-05,天阳科技：光大证券、华泰证券等11家机构于11月2日调研我司,证券之星
98,2021-11-05,运达股份：光大证券、富贤企管等9家机构于11月3日调研我司,证券之星
99,2021-11-04,光大证券(601788.SH)2021年度第八期短期融资券(债券通)兑付完成,智通财经
100,2021-11-04,光大证券(601788.SH)：完成兑付本息20.10亿元短期融资券(债券通),格隆汇
101,2021-11-04,天安新材：陈云波接替谷志文担任持续督导独立财务顾问主办人,乐居财经
102,2021-11-03,太难了！券商自营炒股还不如买理财，前三季度投资收益率不到4%,21世纪经济报道
103,2021-11-03,鲁泰A：长江证券、光大证券等11家机构于10月29日调研我司,证券之星
104,2021-11-02,牛市旗手三季度狂揽近5000亿，却有券商股民亏钱求放过：跌一下也行，别耗着 亏损,证券之星
105,2021-11-02,美银证券：重申光大证券(6178.HK)跑输大市评级 目标价6.2港元,格隆汇
106,2021-11-02,增速亮眼，多券商资管业务收入超越经纪,Wind
107,2021-11-02,券商金股来了！重点布局消费、新能源赛道，一批个股已率先上涨,Wind
108,2021-11-02,券商资管前三季大赚350亿！中信广发抢占半壁江山,Wind
109,2021-11-01,赚翻了！4家券商净利超百亿，但6成券商投行收入下滑|财星球 盈利能力下降,新浪
110,2021-10-30,券商代销江湖热战，异军突起各打什么牌？中信中金强在私募销售，广发东方兴业具资产端优势,财联社
111,2021-10-30,券商定增，同业参投交叉持股用意何在,经济观察报
112,2021-10-30,47家上市券商三季报出齐：4家净利超百亿，上年同期仅1家，中信营收逼近600亿，详看五大业务全排名,财联社
113,2021-10-30,苏泊尔：中金公司、光大证券等14家机构于10月27日调研我司,证券之星
114,2021-10-29,光大证券(06178.HK)：上海金融法院判决光大资本赔偿招源涌津投资1.8亿元 诉讼纠纷,格隆汇
115,2021-10-29,光大证券(06178.HK)发行20亿短期融资券,格隆汇
116,2021-10-29,光大证券(06178.HK)：“中国中投证券-光大证券融出资金债权四期资产支持专项计划”摘牌,格隆汇
117,2021-10-29,【银华基金】交易日报 2021-10-29,新浪
118,2021-10-29,一周通读：光大证券重点报告精选,光大证券
119,2021-10-29,22家上市券商业绩出炉！中信第三季狂揽200亿营收,Wind
120,2021-10-28,光大证券第三季度归母净利近10亿元,智通财经
121,2021-10-28,光大证券(06178.HK)：第三季度净利9.95亿元 同比下降14.09%,格隆汇
122,2021-10-28,光大证券(06178.HK)提名蔡敏男为董事候选人,格隆汇
123,2021-10-28,各以财富品牌打天下，光大证券推新品牌“金阳光30”，门槛1000万，又一券商目标锁定高净值客户,财联社
124,2021-10-28,光大证券：前三季度实现营业收入123.05亿元 同比增长15.32%,中证网
125,2021-10-28,图解光大证券三季报：第三季度单季净利润同比减14.09%,证券之星
126,2021-10-28,光大证券：2021年第三季度实现净利润约9.95亿元,每日经济新闻
127,2021-10-28,光大证券：前三季度净利润同比减少1.6% 盈利能力下降,Wind
128,2021-10-28,光大证券：第三季度净利9.94亿元 同比下降14.09%,财联社
129,2021-10-28,厦门银行：中泰证券、光大证券等5家机构于10月25日调研我司,证券之星
130,2021-10-28,开启新征程 书写新篇章 光大证券发布全新“金阳光30”资产配置品牌,证券时报网
131,2021-10-27,去年以来21家券商斥122亿元参与同行定增 多家出手阔绰买成前十大股东,证券日报
132,2021-10-26,【银华基金】交易日报 2021-10-26,新浪
133,2021-10-26,光大证券(06178.HK)：累计获得政府补助2.48亿元,格隆汇
134,2021-10-26,晚间公告｜10月26日这些公告有看头,第一财经
135,2021-10-26,光大证券：政府补助预计增加公司净利润1.86亿元,e公司
136,2021-10-26,光大证券：公司及子公司获得政府补助共计约2.48亿元,每日经济新闻
137,2021-10-26,弹药装满！东兴证券45亿定增落地，收购新时代证券资金有着落了,资本邦
138,2021-10-26,"东兴证券45亿定增落地！4名""散户""砸6亿入股，银河、中信证券入驻前十大股东",券商中国
139,2021-10-26,不止华夏基金捧场，银河、中信、申万宏源、光大同加持，东兴证券45亿定增落地，银河与中信列前十股东,财联社
140,2021-10-25,国联证券51亿定增落地 12家券商及公募基金认购超七成,长江商报
141,2021-10-22,一周通读：光大证券重点报告精选,光大证券
142,2021-10-21,东华软件(002065.SZ)披露定增结果：光大证券获配1.64亿元 国泰君安、财通基金等在列,格隆汇
143,2021-10-21,31股今日获机构买入评级,证券时报网
144,2021-10-20,LPR继续保持不变，下调动能或正在累积,Wind
145,2021-10-19,华为一鸣惊人！万亿赛道爆发在即，该买什么？,和讯
146,2021-10-19,发生了什么？这家券商定增，中金、光大、招商等都来了,Wind
147,2021-10-19,国联证券50.9亿定增“靴子落地”，6家券商斥资19.33亿捧场,深水财经社
148,2021-10-18,6家券商合计斥资约19亿元“入股”国联证券 银河、光大、中金跻身前十大股东,证券日报网
149,2021-10-18,国联证券(601456.SH)披露A股定增结果：财通基金获配额约9.58亿元、中国银河、诺德基金及光大证券等等参投,格隆汇
150,2021-10-17,“卖方研究”竞争白热化，金融开放下外资券商寻求破局,Wind
151,2021-10-15,一周通读：光大证券重点报告精选,光大证券
152,2021-10-15,光大证券：10月28日举行董事会会议,Wind
153,2021-10-15,鸣石已与监管沟通，预留100亿现金应对危机,Wind
154,2021-10-15,百亿私募“内讧”，自曝违规！29家券商被拖下水,Wind
155,2021-10-15,券商结算模式迎爆发，助力券商财富管理转型,Wind
156,2021-10-14,信用债日报：地产债集体反弹，多家房企积极展开“自救”,Wind
157,2021-10-14,多家房企释放“偿债”积极信号，地产美元债未来走势如何？,Wind
158,2021-10-12,光大证券(601788.SH)：公开发行永续次级公司债券获证监会注册批复,格隆汇
159,2021-10-12,光大证券：向专业投资者公开发行面值总额不超100亿元永续次级公司债券获注册批复,Wind
160,2021-10-12,券业从业人员数量重回34万+，中信、中金财富大举招人,Wind
161,2021-10-10,券商财富管理转型提速：经纪人逐渐减少，投顾队伍不断壮大,Wind
162,2021-10-09,业绩预告引发个股异动，超预期才能获资金青睐,Wind
163,2021-10-08,北交所精选层首批打新！就在今日，最新攻略来了,Wind
164,2021-10-08,年内首发份额达1200亿，“券结模式”开辟财富管理新蓝海,Wind
165,2021-10-08,年内首发份额达1200亿 “券结模式”开辟财富管理新蓝海,证券时报
166,2021-10-07,光大证券：提名蔡敏男为公司董事,每日经济新闻
167,2021-10-07,今年首发份额1200亿！券结业务迎爆发期，各家券商都在重金布局，财富管理转型新抓手,券商中国
168,2021-10-05,10月券商金股组合出炉，这些个股获集中推荐,Wind
169,2021-10-02,前三季度券商投行业务大PK！“三冠王”还是它,Wind
170,2021-10-02,光大证券(06178.HK)非执行董事变动,财华社
171,2021-09-30,光大证券(06178.HK)殷连臣辞去非执行董事职务 董监高成员变化,格隆汇
172,2021-09-30,光大证券(601788.SH)董事殷连臣辞职 董监高成员变化,智通财经
173,2021-09-30,光大证券：股东提名蔡敏男接替殷连臣为公司董事,Wind
174,2021-09-30,前三季度资本市场工作盘点：深化改革步履坚定、从严监管力度不减,Wind
175,2021-09-29,科思科技：光大证券于9月3日调研我司,证券之星
176,2021-09-28,光大证券(06178.HK)完成兑付30亿元短期融资券,格隆汇
177,2021-09-28,光大证券：完成兑付本期短期融资券本息共计30.15亿元,Wind
178,2021-09-28,光大证券：2021年度第七期短期融资券（债券通）兑付完成,Wind
179,2021-09-28,光大证券(601788.SH)：完成兑付本息30.15亿元短期融资券(债券通),格隆汇
180,2021-09-27,伟创电气：光大证券、泰康资产等2家机构于9月17日调研我司,证券之星
181,2021-09-27,非银金融行业研究周报：债券“南向通”运行 央行明确虚拟货币属性,新浪
182,2021-09-27,鲁阳节能：光大证券、汇添富基金等11家机构于9月24日调研我司,证券之星
183,2021-09-27,光大证券：将于临时股东大会审议续聘2021年度外部审计机构等议案,Wind
184,2021-09-27,光大证券：11月16日召开股东大会,Wind
185,2021-09-27,发改委副主任宁吉喆主持召开前三季度经济形势分析专家座谈会,Wind
186,2021-09-24,一周通读：光大证券重点报告精选,光大证券
187,2021-09-24,鸿路钢构：光大证券、中银基金等2家机构于9月24日调研我司,证券之星
188,2021-09-24,"债券“南向通”正式开通，7家基金饮""头啖汤""，首日成交的还有这些机构",Wind
189,2021-09-24,北交所离开通交易又进了一步！154家潜在上市标的一览,Wind
190,2021-09-24,ETF发行陷“怪圈”：数量不断创新高，迷你基金丛生,Wind
191,2021-09-23,泰林生物：银华基金、光大证券等5家机构于9月23日调研我司,证券之星
192,2021-09-23,单日开通破万！近50家券商上线预约开通北交所交易权限功能,Wind
193,2021-09-22,LPR连续17个月按兵不动，年内1年期报价仍有下调可能,Wind
194,2021-09-22,近50家券商开门迎客，北交所潜在投资者近800万？,Wind
195,2021-09-20,【行情】港股光大系普跌，中国光大水务跌5.41%，中国光大控股跌超5%，光大银行跌3.96%，光大证券跌3.77%，光大环境跌2.36%,金十数据
196,2021-09-19,外资券商大动作！挖角知名研究大将，和“老同事”会师！,Wind
197,2021-09-18,前光大证券员工用他人名义开户违规交易8年 交易金额近4亿元却亏损 金融监管处罚,和讯
198,2021-09-17,鸿路钢构：光大证券、汇添富基金等2家机构于9月16日调研我司,证券之星
199,2021-09-17,光大证券“职场新选择”计划火热进行中 为职场新秀开辟“新赛道”,环球老虎财经
200,2021-09-17,发生了什么？这家公司被股东“薅走”20亿，股价却连续涨停,Wind
201,2021-09-17,黎明智造过会：今年IPO过关第309家 光大证券过7单,中国经济网
202,2021-09-17,海油发展：兴证全球基金、光大证券等2家机构于9月15日调研我司,证券之星
203,2021-09-16,突然火了！老基金开启修改券结模式“先河”,Wind
204,2021-09-16,万马股份：光大证券、谭石投资等2家机构于9月14日调研我司,证券之星
205,2021-09-16,港股中资券商股走低，光大证券、海通国际跌超4%,36氪
206,2021-09-16,央行等额续作MLF略超预期，对资金面、债市意味着什么？,Wind
207,2021-09-15,光大证券：维持美团“买入”评级,Wind
208,2021-09-15,区区数十万，操纵四只可转债！神秘年轻夫妇终遭重罚 其他违规处罚,Wind
209,2021-09-15,光大证券：维持碧桂园服务“买入”评级,Wind
210,2021-09-15,光大证券：延迟寄发通函,Wind
211,2021-09-14,万顺新材：光大证券股份有限公司、珠海横琴万方资产管理合伙企业(有限合伙)等2家机构于9月13日调研我司,证券之星
212,2021-09-12,中航光电：交银施罗德、光大证券等11家机构于9月7日调研我司,证券之星
213,2021-09-11,新三板成交额刷新纪录，增量资金来自何方？,Wind
214,2021-09-10,应届生又要涨薪？券商秋招战打响，传统业务全面扩编,Wind
215,2021-09-09,迦南科技：光大证券股份有限公司于9月8日调研我司,证券之星
216,2021-09-09,光大证券(06178.HK)完成兑付人民币15.09亿元短期融资券,财华社
217,2021-09-09,拓日新能：太平洋证券、光大证券等12家机构于9月8日调研我司,证券之星
218,2021-09-08,光大证券(06178)：完成兑付2021年度第六期短期融资券,智通财经
219,2021-09-08,光大证券：完成兑付15亿元短期融资券,Wind
220,2021-09-08,光大证券(601788.SH)完成兑付15亿元短期融资券(债券通),智通财经
221,2021-09-07,一次进5位首席！又有券商发力卖方研究，今年分析师流动多而频,Wind
222,2021-09-07,经参头版：政策资金力挺，养老、托育等大批民生工程加速建设,Wind
223,2021-09-06,【行情】港股券商股造好，中信建投证券涨5.4%，广发证券、中金涨4.6%，国泰君安涨2.5%，光大证券涨2.2%，招商证券涨2.1%,金十数据
224,2021-09-03,非银金融行业：龙头券商中报亮眼 财富管理行情继续深化,新浪
225,2021-09-03,北交所横空出世！A股3万亿板块大爆发，股市影响看过来,Wind
226,2021-09-02,安信证券突发高层变动，分管投行副总裁秦冲离职,Wind
227,2021-09-02,光大证券召开2021年度中期业绩说明会,中证网
228,2021-09-02,光大证券(06178)获联交所豁免资金设置日存款结余上限责任,智通财经
229,2021-09-02,光大证券：港交所豁免公司关于存款每日最高结余的规定,Wind
230,2021-09-02,光大证券：8月31日收到香港联交所发出的豁免函,Wind
231,2021-09-02,【行情】证券板块异动拉升，第一创业此前涨停，广发证券涨超9%，浙商证券、国金证券、长城证券、光大证券等跟涨,金十数据
232,2021-09-01,易事特：光大证券、南方基金等4家机构于8月31日调研我司,证券之星
233,2021-09-01,光大证券：将基金投顾业务打造成财富管理的核心模式之一,上证报
234,2021-09-01,【行情】券商股午后持续拉升，中信建投、广发证券、浙商证券、东方证券、长城证券封涨停，兴业证券、光大证券、中金公司等涨超7%,金十数据
235,2021-09-01,3000亿大白马被砸跌停，锂电光伏军工大跳水！外资加仓超60亿,Wind
236,2021-09-01,保代今年增员超七成，中原、长江等上半年爆发式提升,Wind
237,2021-08-31,非银金融行业跟踪：流动性&风险偏好上升 继续看好板块投资机会,新浪
238,2021-08-31,光大证券：六大业务协同发展推动营收增长 核心监管指标显着优化,面包财经
239,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
240,2021-08-30,华特达因：光大证券、融通基金等9家机构于8月26日调研我司,证券之星
241,2021-08-30,千亿大白马闪崩跌停，各种茅大跌！新能源、军工爆发,Wind
242,2021-08-28,光大证券(601788)：资管及自营业务表现不佳 上半年归母净利润同比+5.1%,新浪
243,2021-08-27,一周通读：光大证券重点报告精选,光大证券
244,2021-08-27,光大证券(06178)完成发行20亿元2021年度第九期短期融资券(债券通),智通财经
245,2021-08-27,光大证券上半年净利22.62亿元 代销产品总额252.30亿元,中华网
246,2021-08-27,信托份额登记服务规模2182亿 光大证券收入80亿创新高,用益信托网
247,2021-08-27,光大证券收入80亿创新高，财富管理业务独挑大梁，自营亏损2000万，三大业务收入罕见同步下滑 亏损,财联社
248,2021-08-27,光大证券(06178.HK)中期多赚5.1% 打造光大财富管理品牌,财华社
249,2021-08-26,光大证券(06178.HK)上半年归母净利润升5.13%至22.6亿元,格隆汇
250,2021-08-26,光大证券：股东大会通过若干关连交易相关议案,Wind
251,2021-08-26,光大证券：上半年归属于股东的净利润为22.62亿元，同比增加,Wind
252,2021-08-26,光大证券：续聘安永华明会计师事务所、安永会计师事务所,Wind
253,2021-08-26,营收达80亿元 光大证券半年度归母净利同比增5.13%至22.62亿元,智通财经
254,2021-08-26,方正证券研究所人事地震：六首席“组团”跳槽，多位有新财富光环,Wind
255,2021-08-26,光大证券2021年上半年实现净利润23.04亿元，同比小幅增长3.66%,经济观察网
256,2021-08-26,光大证券：上半年净利润同比增长5.13%,Wind
257,2021-08-26,光大证券：上半年净利润22.62亿元 同比增5.13%,e公司
258,2021-08-26,光大证券半年报：上半年净利22.62亿元 同比增5.13%,财联社
259,2021-08-26,光大证券：将与光大集团签署《房屋租赁框架协议》等,Wind
260,2021-08-26,【行情】证券板块午后拉升，浙商证券涨近5%，华林证券、东兴证券、光大证券跟涨,金十数据
261,2021-08-26,【6178】光大证券上半年盈利增5% 不派息 | 头条金融网,头条日报
262,2021-08-24,中国电信再度跌停 光大证券佛山绿景路、长江证券武汉武珞路均买入1亿元,金融界
263,2021-08-24,龙虎榜：中国电信连续两跌停 光大证券佛山绿景路营业部买入逾1亿元,e公司
264,2021-08-24,【光大海外TMT】中国软件国际（0354.HK）1H21 盈利提升显着，看好业绩稳健成长以及华为生态配置性机会,EBoversea
265,2021-08-23,券商行业周报(2021年第三十一期)：券商板块持续增长 财富管理成主要驱动力,新浪
266,2021-08-23,【券商聚焦】光大证券升港交所(00388)目标价至575.1港元 维持“增持”评级,和讯
267,2021-08-20,光大证券：子公司光大资本收到《执行通知书》,Wind
268,2021-08-20,光大证券(06178)：因华瑞银行诉讼事项 光大资本多个银行账户已被司法冻结,智通财经
269,2021-08-19,光大证券(06178.HK)完成兑付20亿元短期融资券(债券通),格隆汇
270,2021-08-18,一线城市券商营业部也被撤，无奈背后暗藏“野心”！,证基风云
271,2021-08-18,【银华基金】交易日报 2021-08-18,新浪
272,2021-08-18,热烈庆祝光大证券成立25周年！,光大期货
273,2021-08-18,寒武纪半年报：亏损扩大 减持不断 未来的寒武纪要靠什么来补血？ 减持股份,面包财经
274,2021-08-17,【银华基金】交易日报 2021-08-17,新浪
275,2021-08-17,8月17日深市创业板活跃股公开信息,深交所
276,2021-08-16,【银华基金】交易日报 2021-08-16,新浪
277,2021-08-15,非银金融行业周报：券商业绩预计向好 关注优质个股,新浪
278,2021-08-13,光大证券：8月26日举行董事会会议，审议上半年业绩,Wind
279,2021-08-10,光大证券又撤一家“大本营”营业部 魔都券商最新业绩预告“增收不增利” 盈利能力下降,新浪
280,2021-08-10,盐湖股份火爆归来，成色几何？这组数据带你一探究竟,第一财经
281,2021-08-06,光大证券(601788.SH)撤销上海杨浦区黄兴路证券营业部,格隆汇
282,2021-08-06,中国债券市场金融债发行日程一览(8月6日),Wind
283,2021-08-05,光大证券(601788.SH)完成发行20亿元短期融资券(债券通),智通财经
284,2021-08-05,实控人增持地产股，是板块春天到了，还是一日游行情？,Wind
285,2021-08-05,券商股拉升，华西证券、招商证券、光大证券领涨,Wind
286,2021-08-05,【行情】证券板块异动拉升，华西证券涨超6%，锦龙股份、招商证券、光大证券、财通证券等跟涨,金十数据
287,2021-08-04,深水规院上市首日涨257% IPO募2亿光大证券赚0.3亿,中国经济网
288,2021-08-02,上个月金股最高涨超80% 8月买什么？券商金股组合来了,上证报
289,2021-08-02,【行情】证券板块持续走高，东方证券涨超7%，南京证券、光大证券、中金公司跟涨,金十数据
290,2021-08-02,【财经月历】光大证券8月重点经济数据备忘录,光大证券研究
291,2021-07-30,半导体、新能源发威：7月券商金股组合平均收益跑赢沪深300近10个百分点；年内银河、山西、东莞、东北证券组合完胜沪指 ！,每日经济新闻
292,2021-07-30,"券商7月金股组合""战绩""：光大证券28.87%夺冠 银河最差",新浪
293,2021-07-29,32股今日获机构买入评级12股上涨空间超20%,证券时报网
294,2021-07-29,两大头部券商行动了！中信捐赠1300万领衔，中金800万同行动，5家合计捐2900万，全行业丰富手段精准救助,财联社
295,2021-07-29,两大头部券商行动了！中信捐赠1300万领衔，中金800万同行动，6家合计捐3500万，全行业丰富手段精准救助,证券之星
296,2021-07-28,112家券商投行排名出炉！收入井喷两倍增幅，两中一海居前三，民生入围前十，多家中小券商增速爆发,财联社
297,2021-07-28,139家券商“中考”揭榜！一业务爆发，8科成绩曝光,Wind
298,2021-07-26,7月26日深市创业板活跃股公开信息,深交所
299,2021-07-25,周末影响一周市场的10大消息(新股+点评),Wind
300,2021-07-25,研究所竞争格局生变：中金晋升第一，东亚前海迅速组队,新浪
301,2021-07-24,券业最新分类结果出炉：26家级别上升，两家连降4级,Wind
302,2021-07-23,【银华基金】交易日报 2021-07-23,新浪
303,2021-07-23,2021券商分类评级出炉！15家喜提AA，东方、兴业、广发荣升AA，东海连升5级CC至A最快，3家出局AA,财联社
304,2021-07-23,券商板块再度发力拉升，新一轮反弹行情要来了吗？,第一财经
305,2021-07-23,【行情】港股中资券商板块持续拉升，广发证券、东方证券涨超5%，中州证券、中金公司涨3.4%，光大证券涨3.3%，招商证券涨2.5%,金十数据
306,2021-07-23,财联社7月23日讯，港股中资券商板块持续拉升，广发证券、东方证券涨超5%，中州证券、中金公司，光大证券涨超3%。,财联社
307,2021-07-22,驰援河南，这些券商与基金行动加码！,财联社
308,2021-07-22,5家券商晒上半年业绩快报,证券时报网
309,2021-07-22,光大证券上半年净利润22.62亿元 同比增长5.13%,和讯
310,2021-07-22,光大证券(06178.HK)半年盈利22.62亿人民币增5%,财华社
311,2021-07-21,【港股通】光大证券(06178)上半年归母净利22.62亿元 同比增5.13%,和讯
