,2021-12-31,实体企业怎么实现数字化转型升级？广联达刁志中解答,新浪
35,2021-12-03,下周2549亿市值限售股解禁，环比增加697.21% 解禁,Wind
36,2021-12-03,计算机行业事件点评：软件定义时代 把握政策导向,新浪
37,2021-12-03,A股共发生187宗大宗交易成交36.74亿元（12月3日）,Wind
38,2021-12-03,"广联达现1笔大宗交易 共成交12,851.93万元",新浪
39,2021-12-03,广联达今日大宗交易成交203万股，成交价63.31元溢价0.0%,Wind
40,2021-12-03,广联达：公司目前主要业务构成为数字造价、数字施工、数字设计三大业务板块和数个创新业务单元,每日经济新闻
41,2021-12-02,广联达(002410.SZ)：45.03万股限制性股票将解除限售上市流通,格隆汇
42,2021-12-02,广联达(002410.SZ)：197.1万股限制性股票将解除限售上市流通,格隆汇
43,2021-12-02,广联达(002410.SZ)：197.10万股限售股于12月8日上市流通 解禁,智通财经
44,2021-12-02,广联达(002410.SZ)：45.03万股限售股于12月8日上市流通 解禁,智通财经
45,2021-12-01,计算机行业2022上半年投资策略：把握数字化发展机遇 关注高景气、具备成长确定性领域,新浪
46,2021-12-01,广联达(002410.SZ)已累计回购427.56万股 耗资2.68亿元,智通财经
47,2021-12-01,广联达(002410.SZ)：截至11月底累计耗资2.68亿元回购427.56万股,格隆汇
48,2021-12-01,广联达：累计回购约428万股，占比0.3599%,每日经济新闻
49,2021-12-01,广联达刘谦：打造“产业+数字”融合发展的建筑产业新生态,凤凰网
50,2021-12-01,卫宁健康(300253)投资价值分析报告：加速产品变革 引领行业突破,新浪
51,2021-12-01,计算机行业事件点评：工信部同时发布两大重磅政策 软件行业黄金十年开启,新浪
52,2021-11-30,计算机行业点评：软件业、两化融合规划发布 数字化转型大潮将至,新浪
53,2021-11-29,计算机应用：个人收款码从事经营活动有望得以规范 关注第三方服务商,新浪
54,2021-11-29,数字技术“带飞”中国建造 建筑行业迎来广阔创新空间,新浪
55,2021-11-26,"广联达现1笔大宗交易 共成交25,600.00万元",新浪
56,2021-11-26,广联达今日大宗交易成交400万股，成交价64.0元溢价0.0%,Wind
57,2021-11-26,2022科技板块投资如何布局？中信建投TMT团队年度推荐标的,中信建投证券研究
58,2021-11-25,计算机年度策略：从产业变革到投资机会,新浪
59,2021-11-24,股价暴涨！这41家公司股东户数大幅减少！高瓴、高毅等机构现身抢筹,红周刊
60,2021-11-24,广联达(002410.SZ)：可行权的股票期权为248.772万份、可解除限售的限制性股票为197.1万股,格隆汇
61,2021-11-24,广联达(002410.SZ)：可行权的股票期权为100.1万份、可解除限售的预留限制性股票为45.03万股,格隆汇
62,2021-11-24,广联达：限售股份197.1万股可解禁 解禁,每日经济新闻
63,2021-11-24,计算机行业深度报告：趋势好 估值底 待风起,新浪
64,2021-11-23,民生证券维持石基信息推荐评级，SaaS 为王：剑指全球酒店市场下一个“广联达”,每日经济新闻
65,2021-11-23,石基信息(002153)SAAS为王：剑指全球酒店市场的下一个“广联达”,新浪
66,2021-11-22,计算机周报：高通拿下宝马智能驾驶定点 医疗IT龙头基本面持续向好,新浪
67,2021-11-22,汪少山：提升认知水平是推动数字化转型快速发展关键,中国建设新闻网
68,2021-11-22,计算机行业周报：阿里云首次季度营收超过200亿元,新浪
69,2021-11-21,【民生计算机】计算机行情将如何演绎？,计算机司令部
70,2021-11-21,筑友智造科技(00726.HK)：广联达入股2.88亿港元已完成,格隆汇
71,2021-11-19,筑友智造：广联达认购3亿股新股份协议已达成 涉资2.88亿港元,观点地产网
72,2021-11-19,广联达完成认购筑友智造科技9.67%股份，涉资2.88亿港元,乐居财经
73,2021-11-19,银河证券每日晨报,新浪
74,2021-11-19,计算机行业2022年度投资策略：云与信创：把握技术创新周期和供需格局变化,新浪
75,2021-11-19,深圳瑞捷营收五年复合增长49% 牵手广联达加快数字化转型,长江商报
76,2021-11-17,深圳瑞捷：与广联达签署建筑行业材料领域相关业务合作战略合作框架协议,资本邦
77,2021-11-17,深圳瑞捷：与广联达在国内建筑材料领域开展合作,e公司
78,2021-11-16,盈建科：研发投入和研发成果无优势 知识产权诉讼风险仍存 诉讼纠纷,证券市场周刊
79,2021-11-16,深圳瑞捷(300977.SZ)：与广联达签订战略合作框架协议,格隆汇
80,2021-11-16,广联达袁正刚：数字化是建筑业迈向高质量发展的“着力点”,凤凰网
81,2021-11-14,计算机行业周观点：参考3季报 重点把握年底估值切换机会,新浪
82,2021-11-12,数字化使能者广联达：实体建筑企业转型的有力帮手,凤凰网
83,2021-11-10,每日报告回放,新浪
84,2021-11-10,广联达(002410)：房地产调控政策对公司影响有限,新浪
85,2021-11-10,特写 | 港股物管过“半百”,乐居财经
86,2021-11-09,计算机行业周报：各业务板块恢复发展 计算机行业有望在年底迎来业绩放量,新浪
87,2021-11-08,广联达承建智慧园区项目荣获中国智慧城市先锋榜一等奖,凤凰网
88,2021-11-04,计算机行业2021年三季报总结：2021Q3环比回落 经营性现金流承压 运营能力下降,新浪
89,2021-11-04,[新股]洲宇集团与广联达强强联手 志存高远勇向未来,全景网
90,2021-11-03,突破一体化设计、打通全链条数据 广联达数维建筑设计新产品引领产业升级,每日经济新闻
91,2021-11-03,三季度计算机行业营收增速近20%，这两只龙头获机构增持超1亿股,Wind
92,2021-11-03,科技制造行业11月月报：新能源仍是焦点 继续布局估值和增长匹配的制造业专精特新标的,新浪
93,2021-11-02,高瓴4大调仓逻辑曝光，接下来看好这些方向,Wind
94,2021-11-02,高瓴A股持仓最全梳理！三季度调仓哪些公司？密集调研透露关注方向,Wind
95,2021-11-02,东方财富证券：给予广联达买入评级，目标价位84.29元,证券之星
96,2021-11-02,2021年全球移动CAD行业研究报告,艾瑞咨询
97,2021-11-02,计算机行业周报：网安处于国家战略的突出位置 投资机构持续看好人工智能,新浪
98,2021-11-01,广联达(002410.SZ)累计回购165.69万股 耗资1.01亿元,智通财经
99,2021-11-01,广联达(002410.SZ)截至10月底已累计回购165.69万股,格隆汇
100,2021-11-01,东吴证券给予广联达买入评级：业绩表现超预期，施工业务强增长,每日经济新闻
101,2021-11-01,高瓴资本三季报A股持仓全扫描,Wind
102,2021-11-01,粤开策略 ｜ 2021年11月十大金股及市场展望,粤开崇利论市
103,2021-10-31,【兴证计算机】计算机行业三季报总结：整体稳健，龙头更优,兴业计算机团队
104,2021-10-31,广联达董事长刁志中：产业互联网是当下建筑产业数字化变革的核心驱动力,每日经济新闻
105,2021-10-30,【银河计算机吴砚靖】公司点评丨广联达 (002410)：施工业务Q3收入稳步兑现，利润持续放量,中国银河证券研究
106,2021-10-30,爆棚了！元宇宙概念龙头获超400家机构调研,Wind
107,2021-10-30,财信证券：给予广联达买入评级，目标价位107.74元,证券之星
108,2021-10-30,广联达：中信证券、中泰证券等6家机构于10月27日调研我司,证券之星
109,2021-10-29,广联达：子公司参与京城佳业港交所首次公开发行,e公司
110,2021-10-29,QFII投资路径曝光：布局龙头，青睐科技+成长,Wind
111,2021-10-29,广联达：数字施工业务前三季度实现营业收入6.72亿元，同比增长28.85%,每日经济新闻
112,2021-10-29,广联达自主BIM平台及产品全国首发，护航“中国建造”转型升级,凤凰网
113,2021-10-29,中国银河维持广联达推荐评级：施工业务Q3收入稳步兑现，利润持续放量,每日经济新闻
114,2021-10-28,广联达(002410)：业绩增长超预期 数字施工订单进入交付期,光大证券
115,2021-10-28,广联达接受227家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
116,2021-10-28,中泰证券维持广联达买入评级：Q3业绩表现优异，第二增长曲线凸显,每日经济新闻
117,2021-10-28,天风证券维持广联达买入评级：Q3单季度收入提速，全年施工业务有望超预期,每日经济新闻
118,2021-10-28,《云计算半月刊》第八十七期（2021.10.28）,计算机司令部
119,2021-10-28,招财日报2021.10.28｜看好广联达 / 生益科技景气度持续,招银国际
120,2021-10-28,广联达：收入、利润高速增长，造价SaaS服务拉动合同负债增长— —华创计算机王文龙团队,蚊子搞科研
121,2021-10-28,广联达（002410）：业绩超预期，造价施工两翼开花,中信证券研究
122,2021-10-28,广联达(002410)：业绩一如既往表现优异,新浪
123,2021-10-27,QFII最新动向！这只“新宠”大牛股，年内涨超两倍,Wind
124,2021-10-27,每日报告回放,新浪
125,2021-10-27,德邦证券：给予广联达买入评级，目标价位93.54元,证券之星
126,2021-10-27,太平洋给予广联达买入评级，业绩一如既往表现优异,每日经济新闻
127,2021-10-27,A股异动 | Q3营收净利双增长 广联达(002410.SZ)放量大涨8%,格隆汇
128,2021-10-27,朝闻国盛：北上连续流入破百亿,新浪
129,2021-10-27,东莞证券维持广联达推荐评级，2021年三季报点评：业绩符合预期，看好公司发展前景,每日经济新闻
130,2021-10-27,平安证券维持广联达强烈推荐评级：营收高速增长，数字施工业务未来发展可期,每日经济新闻
131,2021-10-27,中信证券晨会,新浪
132,2021-10-27,安信证券：给予广联达买入评级，目标价位93.0元,证券之星
133,2021-10-27,安信证券维持广联达买入评级：业绩超预期，施工业务预计显著回暖,每日经济新闻
134,2021-10-27,国盛证券维持广联达买入评级：三季度业绩快速增长，建筑数字化转型不断超预期,每日经济新闻
135,2021-10-27,私募最新持仓：高瓴动作频频，2大百亿私募加仓茅台,Wind
136,2021-10-27,私募最新持仓出炉！高瓴动作频频，两大百亿私募加仓茅台！冯柳、邓晓峰布局这些股,券商中国
137,2021-10-27,【浙商|计算机田杰华/邱世梁】广联达：造价云转型收入稳健，施工保交付成效显著,微信
138,2021-10-26,开源证券：给予广联达买入评级,证券之星
139,2021-10-26,开源证券维持广联达买入评级，近期获8份券商研报关注，目标均价涨幅37.86%,每日经济新闻
140,2021-10-26,广联达(002410)点评：转型已验证 利润再高增,新浪
141,2021-10-26,成绩单！广联达：2021年第三季度净利润约1.89亿元，同比增长89.86%,每日经济新闻
142,2021-10-26,广联达公布三季报 前三季净利增加106.89%,新浪
143,2021-10-26,图解广联达三季报：第三季度单季净利润同比增89.86%,证券之星
144,2021-10-26,广联达(002410.SZ)：第三季度净利升89.86%至1.89亿元,格隆汇
145,2021-10-26,广联达：前三季度净利润同比增长106.89%,Wind
146,2021-10-25,中望软件，能否成功突围？,新浪
147,2021-10-25,计算机行业周报：逻辑“双杀”公司开始出现 均衡配置头部与低估值,新浪
148,2021-10-24,【民生计算机】产业资本入场，计算机板块迎来回购潮,MS计算机
149,2021-10-22,广联达(002410.SZ)多位董高减持期满 仅减持23万股 减持股份,智通财经
150,2021-10-22,广联达：部分董事、高级管理人员减持计划到期,每日经济新闻
151,2021-10-22,广联达：部分董事、高级管理人员减持计划到期，合计减持23万股,Wind
152,2021-10-22,广联达(002410)：建筑设计产品首次公测 设计业务布局持续推进,新浪
153,2021-10-21,广联达(002410)：利润逐步释放 施工有望明显提速,新浪
154,2021-10-21,31股今日获机构买入评级,证券时报网
155,2021-10-21,计算机三季报前瞻：需求有望持续稳健,新浪
156,2021-10-21,德邦证券：首予广联达(002410.SZ)“买入”评级 目标价86.53-93.54元,智通财经
157,2021-10-21,德邦证券首予广联达买入评级：二次创业关键节点，短中长期看好公司价值，目标价86.53-93.54元,每日经济新闻
158,2021-10-21,德邦证券：给予广联达买入评级，目标价位93.54元,证券之星
159,2021-10-21,广联达(002410)：深入核心工业软件 新成长曲线开启,新浪
160,2021-10-20,计算机应用周报：计算机行业三季报前瞻,新浪
161,2021-10-19,33股今日获机构买入评级 6股上涨空间超20%,证券时报网
162,2021-10-19,广联达跌3.03% 中信证券安信证券高点喊买入,中国经济网
163,2021-10-19,电子行业周报：关注3Q公司业绩预告,新浪
164,2021-10-19,东莞证券维持广联达推荐评级，深度报告：造价云转型逐步迎来收获期，施工、设计进一步打开成长空间,每日经济新闻
165,2021-10-19,广联达论道第二届全国基础设施智慧建造与运维学术论坛 为“新基建”支招,砍柴网
166,2021-10-19,广联达袁正刚：基础设施数字化转型关键在于“三个突破”,砍柴网
167,2021-10-19,广联达刘刚：数字孪生与精益建造深度融合 助推建筑产业高质量发展,砍柴网
168,2021-10-19,首创证券维持广联达买入评级：业绩高增长，施工业务进入交付期,每日经济新闻
169,2021-10-18,广联达三季报净利预增126%，数字施工业务进入交付期,阿尔法工场
170,2021-10-18,55股获券商买入评级，新希望目标涨幅达84.64%,Wind
171,2021-10-17,计算机应用行业：计算机行业网信板块三季报前瞻,新浪
172,2021-10-17,计算机行业周报：智能驾驶正在发生哪些变化,新浪
173,2021-10-15,广联达(002410)：三季报业绩预告超预期 施工交付进展顺利,新浪
174,2021-10-15,北上资金全透视月报(21年9月)：上月外资继续流入 增持周期与消费,广发证券
175,2021-10-15,广联达(002410)：利润持续释放 数字施工业务积极预期,新浪
176,2021-10-15,广联达(002410)：业绩持续释放 施工业务有望提速,新浪
177,2021-10-15,101股获买入评级 最新:爱 美 客,中财网
178,2021-10-15,西部证券：维持广联达(002410.SZ)“买入”评级 数字造价稳健快速增长,智通财经
179,2021-10-15,广联达(002410)2021年三季度业绩预告点评-Q3预告符合预期 施工加速交付确认,新浪
180,2021-10-15,朝闻国盛：PPI创新高、CPI继续弱 后续紧盯4大线索,新浪
181,2021-10-15,广联达(002410)2021年三季度业绩预告点评：Q3利润持续高增 建筑设计软件公测版即将发布,新浪
182,2021-10-15,浙商证券：维持广联达(002410.SZ)“买入”评级 云转型成果逐步兑现,智通财经
183,2021-10-15,国盛证券维持广联达买入评级：21Q3预告业绩快速增长，前期施工合同逐步确认,每日经济新闻
184,2021-10-15,浙商证券给予广联达买入评级：三季报利润增长超预期，造价业务云转型深化,每日经济新闻
185,2021-10-15,国盛证券：给予广联达买入评级,证券之星
186,2021-10-15,广联达科技股份有限公司 2021年前三季度业绩预告,证券日报
187,2021-10-14,广联达：前三季度预计净利润同比增长95.84%~126.31%,Wind
188,2021-10-14,广联达(002410.SZ)预计前三季度归母净利同比增长95.84%-126.31%,智通财经
189,2021-10-11,计算机应用：继续重点推荐关注鸿蒙产业链相关公司,新浪
190,2021-10-10,【安信计算机】计算机板块三季报业绩前瞻,计算机司令部
191,2021-10-10,计算机行业周报：从科技巨头入股飞腾看国产基础软硬件生态现状,新浪
192,2021-10-09,计算机应用行业点评：挂钩收入大额罚款开启 互联网治理时代来临,新浪
193,2021-10-08,广联达：累计回购约166万股，占比0.1395%,每日经济新闻
194,2021-10-08,计算机行业周报：英特尔第12代酷睿ALDER+LAKE桌面处理器即将于本月发布,新浪
195,2021-10-08,36氪首发 | 聚焦建筑幕墙行业全链条一体化数字解决方案，「筑峰科技」获Pre-A轮融资近两千万元,36氪
196,2021-09-30,广联达应邀出席住建部智能建造技术应用和实践培训班,凤凰网
197,2021-09-29,"广联达连续4年发布《数字建筑白皮书》,完善“三新”",中经导报
198,2021-09-28,广联达董秘回复：数字施工业务市场空间测算可达百亿级,证券之星
199,2021-09-28,广联达：希望未来能加速数字施工业务发展,每日经济新闻
200,2021-09-28,石基信息(002153)深度研究报告：大消费领域信息化领先企业 新一代SEP推广迎重大突破,新浪
201,2021-09-26,计算机行业动态分析：计算机行业回购潮预示的投资机会,新浪
202,2021-09-26,中建协开展新《安全生产法》专题培训，广联达现场助力,砍柴网
203,2021-09-23,广联达：公司造价业务累计服务企业客户20万余家，包括建设方、施工单位、政府、高校、咨询公司等,每日经济新闻
204,2021-09-23,[路演]广联达董事长刁志中：通过数字造价业务稳健发展,全景网
205,2021-09-23,安防行业2021年8月追踪月报：8月政府端需求企稳回暖 海康威视携手广联达发布联合解决方案,新浪
206,2021-09-22,计算机行业周报：CANALYS发布了中国云计算市场2021年第二季度报告,新浪
207,2021-09-22,石基信息(002153)：云化迎重要拐点 重要客户获取打开长期发展空间,新浪
208,2021-09-21,计算机行业周报：对几个计算机重要标的的看法,新浪
209,2021-09-17,广联达(002410.SZ)向激励对象授予549万股限制性股票,智通财经
210,2021-09-17,石基信息(002153)：洲际落单 全球市场正式打开,新浪
211,2021-09-17,GPU的那些事儿：关于GPU的科普,新浪
212,2021-09-16,广联达与东南大学签署战略合作协议 携手助推建筑业转型升级,砍柴网
213,2021-09-14,ETF大户“出没”：有人广撒网，有人吃定99%份额,Wind
214,2021-09-13,计算机行业周报：互联网医疗线上闭环形成 市场资源供给更加丰富,新浪
215,2021-09-13,计算机行业周报：AI+IOT大潮潜力可期 看好龙头产业化变现能力,新浪
216,2021-09-13,计算机行业周报：板块性价比凸显布局价值,新浪
217,2021-09-10,广联达刘谦：“冀”往开来 助力河北省打造数字产业新高地,砍柴网
218,2021-09-09,广联达：首次回购约7.97万股,每日经济新闻
219,2021-09-09,广联达(002410.SZ)首次回购7.97万股 累计回购487.94万元,智通财经
220,2021-09-08,BIM+智慧工地3.0重磅亮相2021正定数博会创新成果发布会,砍柴网
221,2021-09-08,[公司]广联达拟回购8亿元-10亿元股份 用于股权激励或员工持股计划,全景网
222,2021-09-08,广联达亮相2021数博会 “数字建筑”创新成果引领产业高质量发展,砍柴网
223,2021-09-08,A股早报2021年9月8日星期三,Wind
224,2021-09-08,财富早知道｜两大锂电巨头突遭减持,中国财富网
225,2021-09-08,广联达科技股份有限公司 回购报告书,证券时报
226,2021-09-07,云计算2021H1中报总结：先蹲后跳 长期成长优先于短期业绩,新浪
227,2021-09-07,招商家电｜家电行业周报 21w36-三季度清洁电器、视听投影品牌内销数据呈现高景气,招商家电研究
228,2021-09-07,晚间重要公告2021年9月7日星期二,Wind
229,2021-09-07,秉匠科技完成数千万元A轮融资，广联达建筑科技基金领投,猎云网
230,2021-09-07,广联达：拟回购不低于8亿元且不超过10亿元公司股份,每日经济新闻
231,2021-09-07,工业互联网在各行业中的应用发展情况如何？,人民邮电报
232,2021-09-07,江苏省连云港市绿业污水处理厂配套管网工程EPC工程总承包招标公告,北极星节能
233,2021-09-07,秉匠科技完成数千万人民币A轮融资,亿邦动力
234,2021-09-07,华创资本管理合伙人吴海燕：中国企业软件创业投资的历史机遇丨WISE2021企业服务生态峰会,36氪
235,2021-09-07,从首店落地到五子布局 服贸商机知多少,北京青年报
236,2021-09-07,20位个人投资者“持基”过1亿 最高达7.4亿元,每日经济新闻
237,2021-09-06,离奇涨停！这只基金撞脸“中关村” 溢价率近19%！警惕这些“上蹿下跳”的迷你基,中证报
238,2021-09-06,36氪首发 | 提供“黑洞”三维图形引擎与大场景可视化管理方案，「秉匠科技」获数千万元A轮融资,36氪
239,2021-09-05,重磅盘点！那些持基过亿的土豪基民,Wind
240,2021-09-05,重磅盘点！那些持基过亿的土豪基民,新浪
241,2021-09-04,计算机行业周报：计算机中报整体如何？北交所刺激券商IT！,新浪
242,2021-09-03,余额宝第一名有2.2亿，比Ta还壕的5位基民也找到了！最高的持有7.4亿元，账面盈利翻倍,每日经济新闻
243,2021-09-03,“国资云”横空出世 上下游产业链迎新机遇,金融投资报
244,2021-09-03,【察回购】拟“大手笔”回购！广联达前景可期？,财华社
245,2021-09-03,加速见底？这个板块权重股竟连跌7天！新基金逆势进场扫货，券商更是高喊买入！,每日经济新闻
246,2021-09-03,科技制造行业先进制造2021年9月月报：聚焦专精特新 继续布局估值和增长匹配的中小市值标的,新浪
247,2021-09-03,广联达（002410）：发布回购激励，施工拐点到来,中信证券研究
248,2021-09-03,三大机构半年报持仓透视 调仓换股迎战结构性行情,证券时报网
249,2021-09-02,东土科技：太平洋证券于9月1日调研我司,中金在线
250,2021-09-02,开源证券维持广联达买入评级，近期获15份券商研报关注，目标均价涨幅44.54%,每日经济新闻
251,2021-09-02,国盛证券维持广联达买入评级：股权激励强化业绩信心，向全球数字建筑平台领导者持续迈进,每日经济新闻
252,2021-09-02,超乎想象的成交额与巨大分歧,证券之星
253,2021-09-02,A股异动 | 广联达(002410.SZ)逼近涨停 拟以8亿-10亿元回购公司股份,格隆汇
254,2021-09-02,9月2日 6股盘前利好公告速递,中财网
255,2021-09-02,9月2日六家公司公告出现利好,中财网
256,2021-09-02,A股早报2021年9月2日星期四,Wind
257,2021-09-02,QFII重仓大透视！持股市值创新高 密集抱团 四大行业最受宠,证券之星
258,2021-09-02,财经早报：前八月新基金发行破两万亿 多只千亿市值芯片股遭减持,新浪
259,2021-09-02,晨会0902｜银行中报的启示,中信证券研究
260,2021-09-02,QFII密集调研209家公司，逾163亿元北向资金加仓这些股,第一财经
261,2021-09-02,广联达：让科技协助建筑业出海,中国贸易报
262,2021-09-01,A股头条之上市公司（9.2）,金融界
263,2021-09-01,上市公司重要公告集锦：海航科技16亿元财产被法院裁定冻结、划拨,证券日报之声
264,2021-09-01,公告精选：大基金拟减持万业企业、雅克科技；格力电器已累计耗资约125亿元回购股份,e公司
265,2021-09-01,晚间重要公告2021年9月1日星期三,Wind
266,2021-09-01,广联达(002410.SZ)：拟以8亿-10亿元回购公司股份,格隆汇
267,2021-09-01,广联达(002410.SZ)拟推571万股的2021年限制性股票激励计划,格隆汇
268,2021-09-01,广联达(002410.SZ)拟推出2021年限制性股票激励计划 授予价为30.48元/股,智通财经
269,2021-09-01,广联达：以5000万元对同是科技进行增资,财联社
270,2021-09-01,广联达：拟向激励对象351人授予限制性股票571万股,每日经济新闻
271,2021-09-01,广联达：拟回购不低于8亿元且不超过10亿元公司股份,每日经济新闻
272,2021-09-01,广联达：8亿元至10亿元回购,e公司
273,2021-09-01,广联达：拟8亿元-10亿元回购股份,财联社
274,2021-09-01,解读新《安全生产法》，建筑业安全生产公益直播讲座成功举行,凤凰网
275,2021-09-01,广联达：目前公司暂未进入bapv和bipv相关领域,Wind
276,2021-08-31,突然被关闭交易权限，400亿顶流基金经理朋友圈发难，公司紧急回应！,和讯
277,2021-08-31,新基建加码，重磅大会开幕，5G厂商业绩迎爆发,Wind
278,2021-08-31,卫宁健康：Brilliance Capital、GoldmanSachs等134家机构于8月29日调研我司,证券之星
279,2021-08-31,改革引领 重筑行业未来,砍柴网
280,2021-08-31,34股遭北向资金减持超亿元 减持股份,证券时报网
281,2021-08-31,基金持仓动向：建信基金姚锦二季度加仓这些股（名单）,金融界
282,2021-08-30,卫宁健康(300253)2021年中报点评：新产品WINEX加速商业化落地,新浪
283,2021-08-30,【浙商计算机||田杰华】2021年秋季策略：行至云深处，网安加速时,微信
284,2021-08-30,千合资本等34家百亿私募出手！“女人的茅台”获504家机构调研 ！刘彦春、赵诣等明星基金经理盯上这些个股,21世纪经济报道
285,2021-08-30,【民生计算机】卫宁健康2021年半年报点评：2021Q2扣非业绩增速40%，WiNEX平台推进顺利,MS计算机
286,2021-08-30,民生计算机周报：国资云或带来新一轮IT建设 三大方向有望受益,新浪
287,2021-08-29,千合资本等34家百亿私募出手！“女人的茅台”获500家机构调研 ！刘彦春、赵诣等明星基金经理盯上这些个股,21世纪经济报道
288,2021-08-29,广联达(002410)：云转型稳步推进 进入业绩释放期,新浪
289,2021-08-29,东兴证券给予广联达推荐评级：云转型稳步推进，进入业绩释放期,每日经济新闻
290,2021-08-28,一周研读｜逐步左侧布局,中信证券研究
291,2021-08-27,2021年度软件和信息技术服务企业竞争力报告及前百家企业重磅发布,新浪
292,2021-08-27,广联达跌3.46% 高瓴资本安本标准为前十大流通股东,中国经济网
293,2021-08-27,产业研究、底部挖掘——华创计算机研究精华,蚊子搞科研
294,2021-08-27,金山办公 | 买中报利润还是买再成长能力？（中银计算机）,一计之长
295,2021-08-27,重庆发布区块链生猪监管电子签章平台；东海特钢集团打造数字智能储运系统， | 36氪大公司数字化创新指南0826,36氪
296,2021-08-26,【机构风向标】中报披露进入冲刺期，机构评级井喷！33股获众多机构抱团推荐，27股看涨空间逾20%,证券时报网
297,2021-08-26,跌出价值！千亿白马频现回购，强护盘模式开启,Wind
298,2021-08-26,广联达接受192家机构调研！短期主力资金净流入，市场资金早已察觉,每日经济新闻
299,2021-08-26,跌出了机会？这个板块三个月跌了7%，龙头股更是跌逾20%！新基金开始进场抄底了,每日经济新闻
300,2021-08-26,东方财富证券：维持广联达(002410.SZ)“买入”评级 目标价84.29元,智通财经
301,2021-08-26,广联达(002410)：“春耕夏耘秋收”看施工,新浪
302,2021-08-26,2021年服贸会专题板块更具看点,中国贸易报
303,2021-08-26,广联达(002410)：造价业务进入新阶段 施工业务新签合同额翻倍,新浪
304,2021-08-25,2021年中国智慧城市行业产业链现状及区域市场格局分析 技术进步推动产业发展,前瞻研究院
305,2021-08-25,72股今日获机构买入评级 24股上涨空间超20%,证券时报网
306,2021-08-25,智慧建筑整体解决方案服务商筑友智造获IPO上市后融资,亿邦动力
307,2021-08-25,广联达亮相2021中国智博会 智能建造展区引领行业发展新趋势,砍柴网
308,2021-08-25,太平洋给予广联达买入评级，施工合同订单饱满，业绩持续高增,每日经济新闻
309,2021-08-25,基金经理也懵了！刚上市权重股就跌20%，股价创出1年新低，券商此前一度齐声高喊买入,每日经济新闻
