,2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
129,2021-12-03,财华聚焦|中药板块上演“大反弹”！“药效”能否延续？,财华社
130,2021-12-03,“神药”涨价！网传同仁堂安宫牛黄丸价格调整，提价幅度超10%,AI财经社
131,2021-12-03,中药板块2022年策略报告：平稳发展避风港 业绩增长动力强,新浪
132,2021-12-03,华润三九(000999)：员工股权激励方案终出台 建立长效激励机制 彰显公司发展信心,新浪
133,2021-12-02,“神药”涨价没尽头，同仁堂安宫牛黄丸提价10%，一颗药曾拍出11万,证券之星
134,2021-12-01,长城策略*月度金股‖十二月（汪毅，王小琳）,长城研究--宏观策略
135,2021-11-30,中泰国际：予固生堂63分，评级为“中性”,Wind
136,2021-11-30,同仁堂：公司的生产基地产能使用总体合理，目前正有序执行公司年度的生产经营计划,每日经济新闻
137,2021-11-29,干货！2021年中药材种植行业龙头企业市场竞争格局分析 白云山为“中药材种植之王”,前瞻研究院
138,2021-11-26,同仁堂股份召开一线职工“建言献策”座谈会,大众证券报
139,2021-11-25,解盘：资金继续流入，特高压、物联网、充电桩、医药领涨,Wind
140,2021-11-25,山西又有32个中成药撤网！涉及8家药企,制药网
141,2021-11-21,疯狂扩张后逐渐“收手”，新式茶饮“跑马圈地”已至中后期,Wind
142,2021-11-16,普宁药王的“陨落”：康美财务造假900亿，割28万股民韭菜,搜狐
143,2021-11-16,16股获券商买入评级，光大银行目标涨幅达66.17%,Wind
144,2021-11-15,肠清茶上热搜：背后资本加持，原料为农产品,新京报
145,2021-11-15,争议肠清茶：售价几十月销过万，原料作为农产品卖，二八效应明显,贝壳财经
146,2021-11-11,月度金股：十一月,新浪
147,2021-11-11,天津同仁堂IPO再闯关：关键节点陷入诉讼，高林资本套现离场 诉讼纠纷,中访网
148,2021-11-11,2022年华北地区中药行业市场竞争现状分析 华北地区成为全国中药销售收入最高区域,前瞻研究院
149,2021-11-02,财经TOP10|喝肠清茶肠子却变黑 网友：碧生源、同仁堂问题更大,新浪
150,2021-11-02,同仁堂今日大宗交易成交8.24万股，成交价33.85元溢价0.0%,Wind
151,2021-11-02,长城证券：将同仁堂评级上调至买进，目标价43.29元。,新浪
152,2021-11-01,同仁堂：精细化管理效果显著 三季报营收利润双增长,大众证券报
153,2021-11-01,图解同仁堂三季报：第三季度单季净利润同比增26.12%,证券之星
154,2021-10-29,同仁堂(600085.SH)前三季度归母净利润同比增28.67%至9.2亿元,智通财经
155,2021-10-29,同仁堂前三季度营收净利双增,证券日报网
156,2021-10-29,同仁堂：2021年第三季度净利润约2.96亿元，同比增长26.12%,每日经济新闻
157,2021-10-29,同仁堂：贾泽涛女士因工作调动，辞去公司董事、副总经理、董事会秘书职务以及其他一切任职 董监高成员变化,每日经济新闻
158,2021-10-29,同仁堂：同仁堂关于董事会秘书辞职及指定公司董事会秘书代行人的公告 董监高成员变化,新浪
159,2021-10-29,大规模撤网，集采把中成药吓跑了,健识局
160,2021-10-29,同仁堂：董秘贾泽涛辞职,Wind
161,2021-10-29,同仁堂：前三季度净利润同比增长28.67%,Wind
162,2021-10-29,同仁堂总经理落马背后：隐秘供应商与公司藕断丝连 董监高成员异常事件,中国经营报
163,2021-10-28,同仁堂现1笔大宗交易 共成交789.00万元,新浪
164,2021-10-28,同仁堂今日大宗交易成交25万股，成交价31.56元溢价0.0%,Wind
165,2021-10-27,同仁堂今日大宗交易成交28.56万股，成交价31.9元溢价0.0%,Wind
166,2021-10-22,同仁堂蝉联胡润中国最具历史文化底蕴品牌榜榜首,大众证券报
167,2021-10-21,容联七陌助力百年老字号同仁堂，实现客户服务数字化升级,砍柴网
168,2021-10-19,港股盘前必读：快手与NBA中国达成多年战略合作伙伴关系,Wind
169,2021-10-14,第二次通报违纪！老字号国企原总经理被“双开”，五大纪律个个违反 其他违规处罚,上观
170,2021-10-13,同仁堂集团举办第四批中医大师聘任会,中国网
171,2021-10-06,中药企业，发展机遇来了,赛柏蓝
172,2021-10-01,娃哈哈奶茶被投诉，“老字号”开奶茶店只为圈钱？,联商网
173,2021-09-24,"同仁堂现1笔大宗交易 共成交1,107.40万元",新浪
174,2021-09-24,同仁堂今日大宗交易成交35万股，成交价31.64元溢价0.0%,Wind
175,2021-09-22,医药行业一周观察：药械集采常态化 无需过度悲观,新浪
176,2021-09-18,9家药企进入100强！云南白药、同仁堂、天士力,蒲公英
177,2021-09-15,老字号“潮”起来 传统中医药迎来新蓝海,Wind
178,2021-09-13,同仁堂大宗交易成交804.24万元,证券时报网
179,2021-09-06,产品涨价、振兴政策频出，大医药重拾升势,Wind
180,2021-09-06,同仁堂：公司拥有心脑血管类药品,Wind
181,2021-09-05,专精特新还是核心资产？顶流私募最新投资思路曝光,Wind
182,2021-09-05,服贸观止|同仁堂集团副总经理丁永玲：中医药文化对外传播需责任与健康同心,北京商报
183,2021-09-02,私募大佬最新持股曝光！冯柳、邓晓峰500亿重仓这些票,Wind
184,2021-09-01,同仁堂：营销改革效果初显，900家门店营业利润同比上升86.63%,21世纪经济报道
185,2021-09-01,私募大佬持仓出炉！冯柳、邓晓峰、葛卫东、裘国根、赵军等心水股有哪些,Wind
186,2021-08-30,北京同仁堂状告天津同仁堂侵权，IPO关键期陷侵权诉讼，天津同仁堂称前身可追溯清朝 诉讼纠纷,21世纪经济报道
187,2021-08-30,327股获券商买入评级，中国平安目标涨幅达110.58%,Wind
188,2021-08-30,北京同仁堂与天津同仁堂商标“撞车”！此局何解？,中国知识产权报
189,2021-08-29,上市公司中报披露进入密集期，多位私募大佬最新持股浮出水面,Wind
190,2021-08-27,西部证券维持同仁堂买入评级，2021年中报点评：收入业绩增长符合预期，药品与商业发展稳健,每日经济新闻
191,2021-08-26,同仁堂(600085)：低基数下 各项业绩快速恢复,新浪
192,2021-08-26,张坤等“顶流基金经理”隐形重仓股名单来了,Wind
193,2021-08-26,同仁堂公布半年报 上半年净利增加29.91%,新浪
194,2021-08-25,快讯 | 同仁堂2021半年报：上半年营业收入约73.59亿元，同比增加22.58%,财经网
195,2021-08-25,被诉不正当竞争！津同仁堂回应：公司前身可追溯至清朝 诉讼纠纷,证券时报网
196,2021-08-25,扎实推进大品种战略 同仁堂上半年业绩同比增三成,证券日报网
197,2021-08-25,晚间重要公告2021年8月25日星期三,Wind
198,2021-08-25,"冲上市阶段遭北京同仁堂“打假”,这家天津同仁堂啥来头？",鲁网
199,2021-08-25,同仁堂中报实现归属净利润约6.24亿元,北京商报
200,2021-08-25,同仁堂：2021年半年度净利润约6.24亿元，同比增加29.91%,每日经济新闻
201,2021-08-25,同仁堂2021年上半年实现净利润9.90亿元，同比增长33.71%,经济观察网
202,2021-08-25,同仁堂(600085.SH)半年度净利润6.24亿元 同比增长29.91%,格隆汇
203,2021-08-25,津同仁堂：上半年净利润同比增长14.71%,Wind
204,2021-08-25,同仁堂：上半年净利润同比增长29.91%,Wind
205,2021-08-25,"天津同仁堂称前身可追溯清朝，IPO关键期被指""碰瓷""北京同仁堂",中新经纬
206,2021-08-25,招展率已达100% 服贸会首设健康卫生专题,北京商报
207,2021-08-24,服贸观止｜招展率达100%，超30%全球500强龙头企业参与，首次纳入的健康卫生服务专题还有哪些亮点,北京商报
208,2021-08-24,服贸会中医药展区设互动体验区，现场体验手工泛丸制作,新京报
209,2021-08-24,天津同仁堂声明：公司前身可追溯至清朝 知识产权系合法取得,证券日报之声
210,2021-08-24,天津同仁堂发声：字号、商标系合法取得,北京商报
211,2021-08-23,同仁堂现1笔大宗交易 共成交377.65万元,新浪
212,2021-08-22,同仁堂集团状告“同仁堂”，津同仁堂的上市之路再遇“变数” 诉讼纠纷,医药云端工作室
213,2021-08-22,两家“同仁堂”再起诉讼，“老字号”商标该如何保护？ | 专栏 诉讼纠纷,新京报
214,2021-08-22,天津“狗不理”老板旗下“天津同仁堂”冲刺上市，北京同仁堂不干了！,每日经济新闻
215,2021-08-20,"同仁堂现1笔大宗交易 共成交3,872.40万元",新浪
216,2021-08-20,同仁堂今日大宗交易成交120万股，成交价32.27元溢价0.0%,Wind
217,2021-08-20,同仁堂：我公司生产超过400个品规的中成药，其中包括补益类中成药，不生产保健品,每日经济新闻
218,2021-08-20,同仁堂：同仁堂集团和公司与天津同仁堂、南京同仁堂没有任何关系,Wind
219,2021-08-20,同仁堂把同仁堂告了：后者商标字号侵权 诉讼纠纷,证券之星
220,2021-08-19,同仁堂今日大宗交易成交7.78万股，成交价33.17元溢价0.0%,Wind
221,2021-08-19,同仁堂科技发展股份有限公司新建项目“发力” 产能释放保供应,中国网
222,2021-08-19,同仁堂集团对天津同仁堂提起商标字号侵权诉讼 诉讼纠纷,北京商报
223,2021-08-18,医药新政下，行业生变,赛柏蓝
224,2021-08-18,"突发！发行人IPO期间 因名称被起诉 ""天津同仁堂""IPO前景存忧 诉讼纠纷",新浪
225,2021-08-17,同仁堂今日大宗交易成交16.24万股，成交价33.56元溢价0.0%,Wind
226,2021-08-17,同仁堂投资成立数字科技公司 注册资本5000万人民币,财联社
227,2021-08-16,商标竟是“山寨”？天津同仁堂陷重大诉讼IPO前景存忧 诉讼纠纷,新浪
228,2021-08-16,同仁堂现1笔大宗交易 共成交279.80万元,新浪
229,2021-08-16,同仁堂成立数字科技公司，经营范围含供应链管理等,新京报
230,2021-08-14,中国北京同仁堂（集团）有限责任公司关于对天津同仁堂集团股份有限公司提起商标字号侵权诉讼的声明 诉讼纠纷,中金在线
231,2021-08-13,同仁堂现1笔大宗交易 共成交498.87万元,新浪
232,2021-08-12,XD同仁堂现1笔大宗交易 共成交239.62万元,新浪
233,2021-08-12,同仁堂今日大宗交易成交7.06万股，成交价33.94元溢价0.0%,Wind
234,2021-08-12,同仁堂(600085.SH)聘任张春友为副总经理,智通财经
235,2021-08-10,康缘药业：因疫情和医保谈判等因素对公司业绩增长造成了负面影响,Wind
236,2021-08-06,同仁堂国药(03613.HK)中期纯利升17.9%至2.67亿港元,格隆汇
237,2021-08-05,同仁堂(600085.SH)将于8月12日分红 每股派0.27元,智通财经
238,2021-08-05,同仁堂(600085.SH)：2020年度权益分派10派2.7元 股权登记日8月11日,格隆汇
239,2021-08-03,天津同仁堂：躺平就输了,格隆汇
240,2021-07-28,天津同仁堂准备上市！,谷丰观点
241,2021-07-28,IPO观察|狗不理兄弟公司天津同仁堂冲击A股：去年推广费超净利润2倍,搜狐
242,2021-07-28,老字号药房天津同仁堂筹划上市,新浪
243,2021-07-27,同仁堂，为何追不上片仔癀？,第一财经
244,2021-07-23,3000亿中药茅突然闪崩跌停！北上资金和机构狂砸盘,Wind
245,2021-07-22,放量跌停！两月飙涨2倍的广誉远神话讲完了？,格隆汇
246,2021-07-22,医药行业动态点评：文化建设政策助力行业发展 持续看好中医药板块,新浪
247,2021-07-19,最牛新股暴涨20倍！银行突下重手，知名地产股债双杀,Wind
248,2021-07-19,A股收盘综述：沪指震荡，网络安全、中药题材花开两朵,Wind
249,2021-07-19,解盘：金融股低迷，稀土、西藏振兴、次新股、疫苗领涨,Wind
250,2021-07-19,A股午盘综述：三大股指午前均有抬头迹象,Wind
251,2021-07-19,【行情】中药股拉升走高，广誉远涨近8%，精华制药、片仔癀、同仁堂、陇神戎发、红日药业等跟涨,金十数据
252,2021-07-14,干货！2021年中国中药材种植行业龙头企业分析——中国中药：加快GACP基地建设,前瞻研究院
253,2021-07-12,上半年，药企中8位董事长已离职 董监高成员变化,制药网
254,2021-07-12,上半年百位药企高管离职，8位为董事长级别,制药网
255,2021-07-09,同仁堂：公司食品酒作为培育业务，销售规模还很小，占比很低,每日经济新闻
256,2021-07-09,提供定制化产品与服务 京东健康与同仁堂健康战略合作升级,北京商报
257,2021-07-08,干货！2021年中国中药材种植行业龙头企业对比：白云山VS同仁堂 谁是行业之王？,前瞻研究院
258,2021-07-07,浙江震元：公司与同仁堂等知名中药企业主要为经营业务往来,每日经济新闻
259,2021-07-07,手握三家“老字号”的张彦森，旗下津同仁能叩开资本市场之门吗？,界面
260,2021-07-06,同仁堂大跌7.09%，中药板块整体跌4.66% 连续下跌,中新经纬
261,2021-07-06,片仔癀盘中一度闪崩并逼近跌停，同仁堂、马应龙、云南白药、广誉远跟随下滑,Wind
262,2021-07-05,医药生物行业周报：全方位盘点上半年医药行业、细分领域、个股风云变幻,新浪
263,2021-07-05,上半年，创新药、中药、医疗服务获杠杆资金重点加仓,制药网
264,2021-07-02,落寞的同仁堂：经营业绩停滞 市值不及片仔癀的五分之一 经营问题,新浪
265,2021-07-02,中药板块要走出“类白酒大行情”？却有两大隐忧,Wind
266,2021-07-01,中药板块要走出“类白酒大行情”？分析称仍有两大隐忧,Wind
267,2021-07-01,神药片仔癀如何炼成：麝香有市无价催生涨价预期，16年提价19次变身投资品,搜狐
268,2021-06-30,李嘉诚笑了！一上市就涨超110%，中一手挣2万,Wind
269,2021-06-30,策略日报：金融板块回落 猪肉养殖板块领涨两市,新浪
270,2021-06-29,同仁堂：公司药酒厂生产国公酒和鹿鞭酒,每日经济新闻
271,2021-06-29,同仁堂：公司和南京同仁堂没有任何关系,每日经济新闻
272,2021-06-29,又一家“同仁堂”要来A股！有上市公司持其四成股权,Wind
273,2021-06-29,又一家“同仁堂”要来A股了！有A股上市公司持有其四成股权,上证报
274,2021-06-29,津同仁堂创业板IPO申请获受理 民生证券担任辅导机构,资本邦
275,2021-06-29,津同仁堂二度IPO，仅三款药品占各期主营比例均超八成,资本邦
276,2021-06-29,锐驰设计北京行｜设计是场修行,凤凰网
277,2021-06-29,A股早报2021年6月29日星期二,Wind
278,2021-06-29,中药龙头强势涨停！板块有望迎来历史性发展机遇，3股机构预测上涨空间超20%,证券时报网
279,2021-06-28,同仁堂集团与中国政法大学签署战略合作协议,中国网
280,2021-06-28,同仁堂强势涨停 市值仍不足片仔癀零头,红周刊
281,2021-06-28,创业板大涨：“一哥”狂拉570亿，芯片股嗨了！,Wind
282,2021-06-28,中药板块走强仁和药业、同仁堂双双涨停,格隆汇
283,2021-06-28,【行情】中药股早盘持续拉升，仁和药业逼近涨停，马应龙、同仁堂、广誉远等集体涨超9%，复星医药涨超6%，中新药业、白云山等跟涨,金十数据
284,2021-06-28,同仁堂 股价涨6.3% 现报38.37元,乐居财经
285,2021-06-28,翁婿联手年入10亿，中医品牌在港股会有什么新故事？,Ofweek
286,2021-06-27,翁婿联手年入10亿，固生堂要到港股“坐诊”了？,节点财经
287,2021-06-26,同仁堂举办“名医讲堂”中西医结合脑病防治高级研修班,中国网
288,2021-06-25,同仁堂市值不足片仔癀零头令股东“痛惜”，催促其加快发展海外业务,红周刊
289,2021-06-25,同仁堂(600085.SH)：推举公司党委书记、董事、总经理邸淑兵临时代行董事长职权,格隆汇
290,2021-06-25,【一语道破】一边喝酒一边吃药，“被扭曲”的片仔癀供需谁埋单？,财华社
291,2021-06-25,同仁堂(600085.SH)拟于7月1日起实施企业年金计划,智通财经
292,2021-06-22,老牌中药企业业绩不俗，去年营收数百亿,新浪
293,2021-06-22,向新而生——同仁堂股份亮相全国药品交易会,新浪
294,2021-06-22,相聚蓉城，糖酒会上的同仁堂股份,新浪
295,2021-06-22,和光同行，西鼎会上的同仁堂股份,新浪
296,2021-06-22,同仁堂集团获互联网诊疗牌照,新浪
297,2021-06-21,反转股新标的，冯柳加仓一家百年老字号,格隆汇
298,2021-06-21,医药生物行业周报：医疗服务会是下半年医药最强音么？强调重视康复医疗赛道,新浪
299,2021-06-18,同仁堂：南京同仁堂与北京同仁堂是无任何关系的两家公司,Wind
300,2021-06-18,京东618健康滋补节东阿阿胶等销售火爆,鲁网
