,2021-12-31,消息称立讯精密将成苹果顶级供应商：逐步取代富士康,快科技
52,2021-12-22,北向资金净卖出17.45亿元 立讯精密净卖出6.46亿元,新浪
53,2021-12-22,北上资金净卖出立讯精密6.46亿元，净买入宁德时代4.31亿元,格隆汇
54,2021-12-22,北向资金丨立讯精密净卖出6.46亿元,第一财经
55,2021-12-22,北向资金今日净卖出17亿元 立讯精密净卖出6.5亿元,财联社
56,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
57,2021-12-22,立讯精密筹建大型iPhone组装厂？公司回应：正在核实 以公告为准,财联社
58,2021-12-22,明年发车、评级上调、新建园区……消息轰炸下，果链还有多少空间？,证券之星
59,2021-12-22,传立讯精密将新建一座生产基地，以便拿下更多苹果iPhone组装订单,Ofweek
60,2021-12-22,A股资金流向：热门股大面积退潮，消费电子转型预期获资金关注,Wind
61,2021-12-22,A股收盘综述：苹果、网游、中药板块涨势强劲，立讯精密、歌尔、韦尔集体上冲,Wind
62,2021-12-22,立讯精密正建造大型苹果制造园区：大幅提高 iPhone 组装占比,ZAKER
63,2021-12-22,港股异动 | 苹果概念股集体上涨 立讯精密将建大型iphone组装厂,格隆汇
64,2021-12-22,股价半年暴涨近50%，“果链”龙头立讯精密有何“魔力”,Ofweek
65,2021-12-22,立讯精密赶工新制造园区 最快明年开始组装数百万台iPhone,财联社
66,2021-12-22,消息称立讯精密正建造大型苹果iPhone组装工厂以打破富士康垄断,Wind
67,2021-12-22,消息称立讯精密正建造大型苹果iPhone组装工厂，打破富士康垄断,IT之家
68,2021-12-22,“果链”嗨了！3500亿龙头将建大型iPhone组装厂，欲破富士康垄断,AI财经社
69,2021-12-22,解盘：大金融低迷，网游、消费电子、半导体、苹果领涨,Wind
70,2021-12-22,A股午盘综述：苹果板块火了，立讯精密歌尔股份大涨！网游、文化传媒同步走升,Wind
71,2021-12-22,苹果板块连续拉升，蓝思科技、立讯精密涨超5%,Wind
72,2021-12-22,12月21日37只个股获券商关注，三六零目标涨幅达74.63%,每经网
73,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
74,2021-12-21,申万宏源：明年是苹果创新大年，苹果概念股受益,智通财经
75,2021-12-21,浦银国际证券给予立讯精密买入评级，近期获1份券商研报关注，目标均价涨幅28.61%,每日经济新闻
76,2021-12-21,比亚迪、立讯精密等28股获北向资金增持额超亿元,证券时报网
77,2021-12-21,北向资金动向盘点：不仅没砸盘，反而逢低净买电子、传媒,Wind
78,2021-12-21,严打“假外资”影响几何？北向资金连续2日净卖出，出逃这些股（名单）,21世纪经济报道
79,2021-12-21,从严监管消“噪音”，凸显“真外资”属性,Wind
80,2021-12-20,北向资金今日净流出9.71亿元 大幅净买入比亚迪、亿纬锂能和立讯精密,钢企网
81,2021-12-20,立讯精密跌3.08% 中信证券招商证券年内高点喊买,中国经济网
82,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
83,2021-12-20,立讯精密现1笔大宗交易 共成交221.85万元,新浪
84,2021-12-20,歌尔股份接近跌停，苹果板块承压,Wind
85,2021-12-16,博硕科技：公司与立讯精密无关联关系,Wind
86,2021-12-15,立讯精密：汽车业务是公司重要战略板块,每日经济新闻
87,2021-12-15,强瑞技术：公司已与立讯精密建立在部分移动终端电子产品的业务,每日经济新闻
88,2021-12-15,立讯精密：持续布局智能装备与电子烟行业，紧咬“果链”之余淘金新赛道,搜狐
89,2021-12-13,337调查有结果了吗？立讯精密：目前仍在调查当,每日经济新闻
90,2021-12-13,立讯精密现1笔大宗交易 共成交233.30万元,新浪
91,2021-12-13,立讯精密今日大宗交易成交5万股，成交价46.66元溢价0.0%,Wind
92,2021-12-13,茅指数与宁组合同台竞技，两大赛道谁技高一筹？,Wind
93,2021-12-11,最惨腰斩后，“茅指数”王者归来，股王重振雄风！,Wind
94,2021-12-11,苹果AR头显迫近 和Facebook的全面战争不再遥远,亿邦动力
95,2021-12-10,10年来首次停产，iPhone也被“卡脖子”？ 经营问题,搜狐
96,2021-12-10,2分钟读财报 | 果链龙头立讯精密派出“大红包”人均获利空间83万,新浪
97,2021-12-10,暴赚350%，浮盈13.68亿！3200亿果链龙头派出“大红包”,Wind
98,2021-12-10,35股获券商买入评级，恒为科技目标涨幅达96.28%,Wind
99,2021-12-10,这些人笑了！暴赚350%，浮盈13.68亿！3200亿果链龙头派出“大红包”,中国基金报
100,2021-12-09,立讯精密(002475.SZ)：可行权的股票期权共3001.1822万份 行权价为10.17元/股,格隆汇
101,2021-12-09,【趣点】景气度渐显，连接器行业厚积薄发？,财华社
102,2021-12-09,立讯精密最新公告：同意1650名激励对象自主行权共3001.18万份 行权价格10.17元/股,证券之星
103,2021-12-09,立讯精密：同意1650名激励对象自主行权共3001.18万份,Bianews
104,2021-12-09,立讯精密：同意已获授股票期权的1650名激励对象自主行权共3001.18万份,Wind
105,2021-12-09,北向资金狂买A股超200亿净买入额创历史次高，继续大幅抢筹白酒股,Wind
106,2021-12-09,立讯精密：已为电子烟市场需求做好准备，收获了品牌客户认可,澎湃新闻
107,2021-12-09,立讯精密：公司暂无原材料套期保值相关业务,每日经济新闻
108,2021-12-09,立讯精密：公司与供应链及客户保持弹性沟通,每日经济新闻
109,2021-12-09,立讯精密：公司汽车业务覆盖海内外多家知名汽车品牌厂商,每日经济新闻
110,2021-12-09,立讯精密：公司积极配合客户进行产品交付，生产经营活动正常,每日经济新闻
111,2021-12-09,加码元宇宙，立讯精密的第二春要来了？,格隆汇
112,2021-12-09,郭明錤：苹果规划第二代AR MR设备 立讯精密将成初期独家供货商,第一财经
113,2021-12-09,苹果已开始规划二代AR/MR头戴装置，立讯精密是怎样成为供应商的？,Ofweek
114,2021-12-09,北向资金动向盘点：同时重手加仓白酒、新能源,Wind
115,2021-12-09,A股早报2021年12月9日星期四,Wind
116,2021-12-09,北向资金继续加仓A股97亿元，酿酒行业获大幅增持，抢筹这些白酒股（名单）,21世纪经济报道
117,2021-12-09,小K播早报|11月新能源乘用车市场零售同比上涨122.3% 苹果股价续创新高,财联社
118,2021-12-08,上车元宇宙？一则研报引爆！果链龙头应声大涨，立讯精密回应来了,证券之星
119,2021-12-08,郭明錤：苹果第二代AR/MR头戴装置年出货量将达千万级别 立讯精密为初期独家供货商,每日经济新闻
120,2021-12-08,立讯精密公益徒步行动助力乡村儿童教育,新快报
121,2021-12-08,被称苹果第二代元宇宙硬件赢家 立讯回应：有技术但不方便透露,快科技
122,2021-12-08,苹果最新规划的大动作 全年业绩有望高增长的概念股出炉（附股）,新浪
123,2021-12-08,北向资金12月净流入超300亿，赛道切换剑指何处？,Wind
124,2021-12-08,又现6连板妖股，茅台重返2000！新周期要来了？,搜狐
125,2021-12-08,盘中涨逾5%！机构：立讯精密为Apple第二代元宇宙硬件之赢家,深水财经社
126,2021-12-08,立讯精密回应“苹果第二代元宇宙硬件赢家”：技术上有准备的,财联社
127,2021-12-08,“果链”龙头大涨逾6%！苹果发力新产品，产业链公司有望受益,中证报
128,2021-12-08,北向资金今日净流入97亿元 贵州茅台获加仓16亿元,第一财经
129,2021-12-08,北上资金今日净买入贵州茅台16.24亿元、宁德时代12.74亿元，净卖出伊利股份3.84亿元、立讯精密2.76亿元。,财联社
130,2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
131,2021-12-08,天风国际郭明錤：预计立讯精密为苹果第二代AR/MR头戴设备供应商,中证网
132,2021-12-08,立讯精密为爱前行，让脚下的每一步都“益”义非凡,凤凰网
133,2021-12-08,立讯精密：滁州立讯以消费电子及通信产品为主,每日经济新闻
134,2021-12-08,立讯精密：2025年碳排放强度相较于2017年将降低40%,每日经济新闻
135,2021-12-08,A股资金流向：市场缩量普涨，价值“茅”走出持续行情,Wind
136,2021-12-08,立讯精密短线拉升涨超4％,金融界
137,2021-12-08,立讯精密涨近5%,36氪
138,2021-12-07,北向资金今日净流入79亿元 中国平安获加仓5亿元,第一财经
139,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
140,2021-12-07,立讯精密：AR、VR是消费电子中重要的产品线，无论是零件还是整机，公司都有所布局,每日经济新闻
141,2021-12-07,资金流向分析,新浪
142,2021-12-06,中国银河维持电子行业推荐评级：《电子烟管理办法（征求意见稿）》出台，行业有望良性发展,每日经济新闻
143,2021-12-06,立讯精密(002475)：万物互联科技新时代 精密制造平台大放异彩,新浪
144,2021-12-06,电子周报：车用芯片供给逐步升温；联电将启动新一轮长约涨价,新浪
145,2021-12-03,立讯精密(002475.SZ)：3001.18万份股票期权可行权,格隆汇
146,2021-12-03,立讯精密(002475.SZ)3001.18万份股票期权行权条件成就,智通财经
147,2021-12-03,立讯精密(002475.SZ)向1097名激励对象授予5241.9万份股票期权,智通财经
148,2021-12-03,深交所对立讯精密(002475.SZ)发出监管函 其办理相关期权注销及登记业务时出现错误 问询,智通财经
149,2021-12-03,银河证券：电子行业盈利端有望维持快速增长，维持“推荐”评级,智通财经
150,2021-12-02,芯片龙头涨停，低位高景气热门股名单来了,Wind
151,2021-12-01,"立讯精密现3笔大宗交易 共成交2,049.70万元",新浪
152,2021-12-01,立讯精密今日大宗交易成交51.50万股，成交价39.8元溢价0.0%,Wind
153,2021-12-01,中国银河维持电子行业推荐评级：手机需求回暖，功率器件需求旺盛,每日经济新闻
154,2021-12-01,资金流向分析,新浪
155,2021-12-01,三季度业绩大增股价却持续走低 京东方被面板价格下行“阴霾”缠绕,投资者网
156,2021-11-29,银河电子周观点：国内10月手机出货量大幅增长 看好射频前端国产替代机遇,新浪
157,2021-11-29,公司调研|智新电子：多家机构密集调研 汽车电子业务更值得期待,财联社
158,2021-11-29,科技硬件周报：功率半导体高景气度有望延续、关注5G+AIOT投资机遇,新浪
159,2021-11-28,电子行业周报：估值开始切换 乐观反映明年苹果、MINILED、半导体设备,新浪
160,2021-11-26,新上市三只ETF基金相继布局，立讯精密接连被买成重仓股,资本邦
161,2021-11-26,调整就是机会！机构本周大动作曝光，这只个股竟被3只基金买成头号重仓股,每日经济新闻
162,2021-11-26,碳中和征程上的绿色发动机,凤凰网
163,2021-11-25,深度*行业*电子行业周报：TI宣布新厂建设计划 联发科发布4NM处理器,新浪
164,2021-11-25,广东区域股市周报：板块总市值涨318亿 金银河涨53.38%涨幅第一,每日经济新闻
165,2021-11-25,年底机构纷纷调研释放什么信号？董承非现身2家公司,Wind
166,2021-11-25,高盛：明年沪深300挑战5500点！看好这些板块,Wind
167,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
168,2021-11-24,股价暴涨！这41家公司股东户数大幅减少！高瓴、高毅等机构现身抢筹,红周刊
169,2021-11-24,蓝思科技多元是与非，抵御不确定性靠什么？,Ofweek
170,2021-11-24,基民气懵了！刚一上市就卖，结果这个板块1个月大涨了10%，今天更是又有新基金扫货上市,每日经济新闻
171,2021-11-24,中信证券：持续看好立讯精密的龙头地位及多领域一体化布局,Wind
172,2021-11-23,立讯精密(002475)深度跟踪报告：平台型布局龙头 一体化扩张助力新一轮成长,新浪
173,2021-11-22,1800亿巨头冲击涨停，元宇宙还能火多久？,深水财经社
174,2021-11-22,电子周报：手机厂商开拓汽车“下半场” 半导体处于健康的投资周期,新浪
175,2021-11-22,资管规模破6万亿，百亿私募超百家！大佬布局新赛道,Wind
176,2021-11-22,电子行业周报：折叠屏关注度继续升温 德仪宣布大额扩产计划,新浪
177,2021-11-22,电子行业周报：苹果公司重回全球第一的宝座,新浪
178,2021-11-22,科技硬件周报：AIOT产业加速 CMP材料与设备受关注,新浪
179,2021-11-21,集微咨询：苹果市值全球第一，从苹果业务结构看A股供应商明年承压,搜狐
180,2021-11-19,是否已做好强制赎回可转债打算和准备?立讯精密：公司暂无相关计划,每日经济新闻
181,2021-11-19,福日电子：公司已取得汽车电子IATF16949质量体系认证证书,Wind
182,2021-11-19,策略研究：自主品牌混动发力抢滩,新浪
183,2021-11-19,消费电子概念走势活跃 共达电声、歌尔股份等拉升走高,证券时报网
184,2021-11-18,深度*行业*电子行业周报：代工双雄营收创新高 英伟达更新OMNIVERSE,新浪
185,2021-11-18,业绩下滑市值缩水近千亿 蓝思科技多元化转型能否见效？ 盈利能力下降,投资者网
186,2021-11-17,中国短期融资券及中期票据信用分析周报,新浪
187,2021-11-17,华泰瑞银(08006)出售40万股华天科技(002185.SZ)股份及6.8万股立讯精密(002475.SZ)股份,智通财经
188,2021-11-17,华泰瑞银：出售上市证券,Wind
189,2021-11-15,首创证券：给予信濠光电买入评级,证券之星
190,2021-11-15,科技硬件周报：半导体板块高景气度延续、关注5G+AIOT新机遇,新浪
191,2021-11-15,电子行业周报：杂音干扰的旺季VS乐观看待的明年,新浪
192,2021-11-14,"焦点分析 | 股价腰斩后，""果链""明星企业蓝思科技要做光伏玻璃",36氪
193,2021-11-13,强瑞技术：公司与富士康、立讯精密等制造商保持积极稳定合作,每日经济新闻
194,2021-11-12,"立讯精密现2笔大宗交易 共成交10,261.68万元",新浪
195,2021-11-12,2021胡润女企业家榜：碧桂园40岁的杨惠妍第九次成为中国女首富,Wind
196,2021-11-12,北向资金动向盘点：房地产回暖，重手加仓却是非银,Wind
197,2021-11-11,立讯精密现3笔大宗交易 合计成交115.94万股,证券时报网
198,2021-11-11,早间公告：信濠光电与关联方拟设对口欧美业务公司 使用超募资金收购东莞骏达15%股权,产业经济新闻网
199,2021-11-11,A股异动 | 信濠光电(301051.SZ)涨逾4% 拟携手立讯精密旗下公司成立合资公司,格隆汇
200,2021-11-11,信濠光电(301051.SZ)：拟携手立讯精密旗下公司成立合资公司,格隆汇
201,2021-11-11,信濠光电(301051.SZ)与关联方共同投资设立合资公司,智通财经
202,2021-11-11,广东区域股市周报：板块总市值涨1304亿 佳创视讯涨75.56%涨幅第一,每日经济新闻
203,2021-11-10,风格切换下A股资金去了哪里？,Wind
204,2021-11-10,消费电子概念再度活跃，昀冢科技大涨超12%，东尼电子等涨停,证券时报网
205,2021-11-10,立讯精密工业股份有限公司关于“立讯转债”转股价格调整的公告,证券时报
206,2021-11-10,电子行业2021年三季报回顾：板块分化 回调为主,新浪
207,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
208,2021-11-09,【电子】立讯精密—短期业绩承压，中长期成长可期,中银证券研究
209,2021-11-09,A股早报2021年11月9日星期二,Wind
210,2021-11-09,信濠光电(301051.SZ)：拟携手立讯精密旗下公司成立合资公司 专注于服务玻璃防护屏产品的欧美客户,格隆汇
211,2021-11-09,立讯精密11月8日现1笔大宗交易,证券时报网
212,2021-11-09,首批MSCI中国A50ETF上市火爆,Wind
213,2021-11-08,立讯精密11月8日大宗交易成交1.59亿元,证券时报网
214,2021-11-08,"立讯精密现1笔大宗交易 共成交15,873.00万元",新浪
215,2021-11-05,"立讯精密现2笔大宗交易 共成交3,960.56万元",新浪
216,2021-11-05,立讯精密今日大宗交易成交96.13万股，成交价41.2元溢价0.0%,Wind
217,2021-11-05,国盛证券：维持立讯精密(002475.SZ)“买入”评级 通信和汽车业务屡获突破 股权激励彰显信心,智通财经
218,2021-11-05,电子行业专题研究：3Q持仓分析 北上持续加码半导体,新浪
219,2021-11-05,A股午盘综述：元宇宙火爆异常，煤炭、电力、新能源板块休整,Wind
220,2021-11-05,国盛证券：给予立讯精密买入评级,证券之星
221,2021-11-05,国盛证券给予立讯精密买入评级，业绩回暖可期，看好公司中长期发展逻辑,每日经济新闻
222,2021-11-04,北向资金稳步加仓连续6日净买入，新能源、大消费集体获抢筹,Wind
223,2021-11-04,重仓股不含“万物互联”主题，华宝万物互联混合“文不对题”,和讯
224,2021-11-04,立讯精密今日大宗交易成交96万股，成交价41.2元溢价0.0%,Wind
225,2021-11-04,银河证券：电子行业三季度业绩表现较好，板块分化显著,第一财经
226,2021-11-03,21硬核投研丨从消费电子转道新能源汽车，果链龙头如何讲好新故事？,21世纪经济报道
227,2021-11-03,"立讯精密现3笔大宗交易 共成交5,052.06万元",新浪
228,2021-11-03,农业拉升电新杀跌，强势板块回调市场见底？,Wind
229,2021-11-03,立臻科技智能终端项目开工，瞄准MiniLED屏等产品,LED在线
230,2021-11-03,立讯精密11月2日现7笔大宗交易,证券时报网
231,2021-11-02,立讯精密现7笔大宗交易 合计成交140.60万股,证券时报网
232,2021-11-02,三季报揭榜！“科技控”基金经理都有哪些心头好？,新浪
233,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
234,2021-11-02,"立讯精密现7笔大宗交易 共成交5,593.07万元",新浪
235,2021-11-02,社保大举加仓！证金汇金频频减持，三季度这么“炒股”,Wind
236,2021-11-02,ESG基金继续重仓新能源，百亿级产品三季度表现更优,Wind
237,2021-11-01,立讯精密现1笔大宗交易 共成交278.24万元,新浪
238,2021-11-01,工业富联(601138)：经营全面向好 业务多点开花,新浪
239,2021-10-31,深圳市上市公司家数达500家，总市值15万亿！,Wind
240,2021-10-30,七成公司净利同比增长，三季报成绩亮眼,Wind
241,2021-10-29,苹果第四财季大赚千亿，果链却“没有喝到汤”，有企业净利润下滑99% 专家称或与iPhone 13创新乏力相关 盈利能力下降,时代财经
242,2021-10-29,苹果财报发布：大中华区营收增长明显,新浪
243,2021-10-29,请注意，傅鹏博开始买赛道股了,格隆汇
244,2021-10-29,顶流基金经理逆势加仓，这只暴跌的股票凭什么？,格隆汇
245,2021-10-29,【天风电子】立讯精密：业绩短期承压，乐观看待缺芯缓解+客户新品发布对Q4业绩拉动,科技伊甸园
246,2021-10-28,首发买AirPods 3的人，彻底傻眼,36氪
247,2021-10-28,三季度净利同比下滑逾25%，立讯精密股价腰斩后现企稳迹象,第一财经
248,2021-10-28,消费电子需求疲软、果链公司业绩再暴雷 新能源汽车赛道能否成新增长极？,21世纪经济报道
249,2021-10-28,立讯精密(002475)季报点评：Q4进入消费电子旺季 公司有望重回高增,新浪
250,2021-10-28,立讯精密：目前公司生产经营活动正常，主要产品不受影响,每日经济新闻
251,2021-10-28,"立讯精密现2笔大宗交易 共成交2,286.15万元",新浪
252,2021-10-28,立讯精密今日大宗交易成交58.80万股，成交价38.88元溢价0.0%,Wind
253,2021-10-28,立讯精密三季度业绩同比下降25.28%，睿远基金傅鹏博逆市加仓804万股 盈利能力下降,资本邦
254,2021-10-28,2600亿果链龙头业绩大幅下滑、VR公司业绩增六成,Wind
255,2021-10-28,睿远基金傅鹏博管理规模缩水25亿，逆势加仓立讯精密 规模大幅缩水,新浪
256,2021-10-28,立讯精密发布三季报：前三季度营收810.13亿元 同比增长36.09%,金融界
257,2021-10-28,“果链”龙头立讯精密业绩爆雷，顶流傅鹏博逆势加仓804万股,证券之星
258,2021-10-28,【招商电子】立讯精密：Q3业绩受累于新品量产延后，Q4将迎业务拐点,招商电子
259,2021-10-28,盘前必读丨发改委研究煤炭价格干预具体措施，宁德时代净利大涨130%,第一财经
260,2021-10-28,深夜突发！2600亿大白马业绩爆雷，股民炸锅！顶流傅鹏博却加仓804万股,Wind
261,2021-10-28,5年收益翻倍！MSCI大中华区高层详解这一产品，计划把全球好的指数推广至A股,Wind
262,2021-10-28,千亿龙头拿下苹果独家订单？百亿级增长营收预期，股市大涨6.4%,21商评网
263,2021-10-27,长信科技(300088)季报点评：21Q3业绩持续回升 看好车载+智能穿戴+VR业务发展,新浪
264,2021-10-27,立讯精密：第三季度净利同比下降25% 睿远成长价值混合加仓803万股 盈利能力下降,科创板日报
265,2021-10-27,立讯精密第三季度净利同比下降25% 傅鹏博加仓803万股 盈利能力下降,证券之星
266,2021-10-27,立讯精密第三季度净利同比降25%，北向资金、睿远成长增持 盈利能力下降,第一财经
267,2021-10-27,立讯精密：第三季度净利润 16 亿元，同比下降 25% 盈利能力下降,IT之家
268,2021-10-27,立讯精密(002475.SZ)：第三季度净利降25.28%至16.00亿元 盈利能力下降,格隆汇
269,2021-10-27,图解立讯精密三季报：第三季度单季净利润同比减25.28% 盈利能力下降,证券之星
270,2021-10-27,立讯精密：前三季度净利润46.9亿元，同比增长0.21%,36氪
271,2021-10-27,立讯精密：第三季度净利同比降25% 部分重要产线客供物料供应不足 盈利能力下降,e公司
272,2021-10-27,立讯精密：第三季度同比下降25% 睿远成长价值混合加仓803万股,财联社
273,2021-10-27,成绩单！立讯精密：2021年第三季度净利润约16亿元，同比下降25.28% 盈利能力下降,每日经济新闻
274,2021-10-27,立讯精密最新公告：第三季度净利16亿元 同比下降25% 盈利能力下降,证券之星
275,2021-10-27,立讯精密：第三季度净利16亿元 同比下降25% 盈利能力下降,财联社
276,2021-10-27,立讯精密：第三季度净利同比下降25.28% 盈利能力下降,格隆汇
277,2021-10-27,立讯精密：第三季度净利润16亿元，同比下降25.28% 盈利能力下降,Wind
278,2021-10-27,A股早报2021年10月27日星期三,Wind
279,2021-10-27,傅鹏博睿远成长价值基金三季度披露：重点配置TMT、化工建材、新能源板块,智通财经
280,2021-10-27,富士康造车，代工巨头已别无选择,阿尔法工场研究院
281,2021-10-27,华为可穿戴设备出货量超8000万台 概念股表现强劲,证券时报
282,2021-10-26,华为全球智能穿戴出货量超8000万台，4只概念股获北上资金加仓,Wind
283,2021-10-26,睿远基金三季报出炉， 傅鹏博、赵枫同时重仓这四只股票！,红周刊
284,2021-10-26,数据复盘｜主力资金加仓节能风电、立讯精密等 北向资金连续6日净流入,证券时报网
285,2021-10-26,A股资金流向（10月26日）：新能源板块遭获利盘打压，超跌TMT成为避风港,Wind
286,2021-10-26,睿远基金傅鹏博、赵枫三季报：万华化学、吉利汽车获一致青睐,澎湃新闻
287,2021-10-26,抄作业！傅鹏博、赵诣、冯明远等顶流基金经理持仓曝光（附名单）,证券之星
288,2021-10-26,刘格菘、傅鹏博、王宗合最新持仓揭晓,金融投资报
289,2021-10-26,傅鹏博、赵诣、冯明远、林英睿、赵枫持仓思路各有不同,Wind
290,2021-10-26,大举加仓这些股！刚刚，傅鹏博、赵诣、冯明远、林英睿、赵枫等大咖三季度持仓大曝光！,中国基金报
291,2021-10-26,消费电子概念发力上扬 信维通信、东山精密等大涨,证券时报网
292,2021-10-26,东证资管前三季11只基金跌超10% 总经理业绩同样欠佳,中国经济网
293,2021-10-26,增量资金入场，A股有望延续震荡上行趋势,Wind
294,2021-10-25,电子行业周报：景气度分化 重点看好半导体(设备/汽车/特种)+汽车电子+新硬件龙头,新浪
295,2021-10-25,电子行业周报：鸿蒙生态蓬勃发展 IOT产业加速,新浪
296,2021-10-23,银河龙头股票同类排名垫底，短期业绩遭质疑,Wind
297,2021-10-22,苹果和它的代工厂到底谁离不开谁？,钛媒体
298,2021-10-22,立讯精密今日大宗交易成交83万股，成交价37.83元溢价0.0%,Wind
299,2021-10-22,"立讯精密现2笔大宗交易 共成交3,139.89万元",新浪
300,2021-10-22,发行大战打响！首批4只MSCI中国A50ETF火线问世,Wind
301,2021-10-21,立讯精密投资成立智能装备公司，注册资本22.01亿,TechWeb
302,2021-10-21,外资单日净买入超百亿！大金融走强，“聪明钱”正加仓A股核心资产,Wind
303,2021-10-21,懵了！散户甩卖，机构进场，这个题材刚又被基金扫货超2亿,每日经济新闻
304,2021-10-21,苹果新品相继发布，消费电子反弹在即,金融界
