,2021-12-31,山西汾酒现1笔大宗交易 共成交884.25万元,新浪
22,2021-12-29,山西汾酒(600809)事件点评：初心如磐坚定改革 提质增效笃行致远,新浪
23,2021-12-29,2021酒业盘点丨酱酒逐渐“内卷”，浓香、清香发起“保卫战”,新京报
24,2021-12-29,国信证券：需求复苏和消费升级驱动白酒行业持续景气 高端次高端龙头是配置优选,证券时报网
25,2021-12-29,32股获机构买入型评级 山西汾酒关注度最高,证券时报网
26,2021-12-29,浙商证券维持山西汾酒买入评级，山西汾酒更新点评：青花系列势能持续释放，来年开门红可期,每日经济新闻
27,2021-12-29,食品饮料行业：经销商年会密集召开 关注提价+开门红,新浪
28,2021-12-29,【开源食饮】山西汾酒：品牌复兴乘势而上，提质增效速度可期——公司信息更新报告,新浪
29,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
30,2021-12-29,32股获券商买入评级，天铁股份目标涨幅达79.20%,Wind
31,2021-12-29,北向资金净买入13亿元，增持银行电池，扫货这些个股,21世纪经济报道
32,2021-12-29,3800亿白酒巨头大动作！又涨价了,Wind
33,2021-12-29,开源证券维持山西汾酒研报：品牌复兴乘势而上，提质增效速度可期,每日经济新闻
34,2021-12-29,新消费潮涌，消费预期较乐观,Wind
35,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
36,2021-12-28,国金证券给予山西汾酒买入评级，清香龙头全国布局加速，经销商大会反馈积极,每日经济新闻
37,2021-12-28,山西汾酒(600809)经销商大会调研报告：定调明确 迈向新程,新浪
38,2021-12-28,2021基金投资四大坑之三：医药、白酒相继“倒下”，曾经的顶流基金纷纷陷入调整,每日经济新闻
39,2021-12-28,“李秋喜后遗症”浮出水面,新浪
40,2021-12-28,食品饮料行业周报：白酒提价不断 看好开门红,新浪
41,2021-12-28,融资客青睐9股，光大银行买入占比高达42.39%,Wind
42,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
43,2021-12-28,11股获券商买入评级，恒生电子目标涨幅达45.71%,Wind
44,2021-12-28,我国取消乘用车制造外资股比限制、国金证券紧急辟谣传闻…,证券时报
45,2021-12-27,消费参考丨快手和美团合作了,21世纪经济报道
46,2021-12-27,汾酒举行2021全球经销商大会,上证报
47,2021-12-27,双优化+双提升，袁清茂明确汾酒新发展阶段思路,新快报
48,2021-12-27,掌舵十日一席谈，袁清茂把脉汾酒方向：未来三年是重大战略发展期,华夏时报
49,2021-12-27,直击山西汾酒经销商大会|新任掌门袁清茂首度亮相 未来三年是汾酒重大战略发展期,财联社
50,2021-12-27,智通A股机构动向参考(12.27) | 年底乱象多,智通财经
51,2021-12-27,履职第十天 袁清茂详解汾酒未来如何做,经济观察报
52,2021-12-27,舍得酒业跌3.66% 招商证券20天前强烈推荐,中国经济网
53,2021-12-27,汾酒集团董事长袁清茂： 发挥汾酒四大优势 向白酒行业第一阵营进军,21世纪经济报道
54,2021-12-27,山西汾酒(600809)：经销商大会信号积极 品牌势能延续,新浪
55,2021-12-27,汾酒举行2021全球经销商大会 未来三年将进入重大战略发展期,e公司
56,2021-12-27,华鑫证券维持山西汾酒推荐评级：改革进入深水区，理性务实向前进,每日经济新闻
57,2021-12-27,汾酒集团党委书记、董事长袁清茂：未来三年汾酒要乘胜追击,证券日报之声
58,2021-12-27,【招商食品|最新】白酒期待备货开门红 大众品关注提价传导,招商食品饮料
59,2021-12-27,酒业观察丨高增长的汾酒未来如何发展？袁清茂布局,新京报
60,2021-12-27,山西汾酒董事长袁清茂：汾酒要把品牌价值的提升作为首要目标,中证网
61,2021-12-27,李秋喜功成身退 袁清茂接棒汾酒改革下半场,中国经营报
62,2021-12-27,2021汾酒全球经销商大会举行 袁清茂总结和布局汾酒发展,财经网
63,2021-12-27,2股获买入评级 最新:视觉中国,中财网
64,2021-12-27,【国海食饮 | 行业周报：提价预期升温，关注龙头旺季表现211227】,虎哥的研究
65,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
66,2021-12-27,白酒｜汾酒+酒鬼酒大会传递信心，行业加速备货,新浪
67,2021-12-27,【中信证券：白酒板块仍有上行空间】财联社12月27日电，中信证券研究指出，最近2-3周酒企陆续召开经销商大会，今年任务完成&明年增长规划逐渐清晰；同时，行业已逐步进入旺季备货、动销检验阶段。我们认为,财联社
68,2021-12-27,酒企迎来涨价潮，下一个会是谁？,Wind
69,2021-12-26,酒企提价“涨”声不断！白酒股跨年行情稳了？,Wind
70,2021-12-26,山西汾酒：冲刺200亿营收 新帅寻求健康产业机遇,每日经济新闻
71,2021-12-26,北上资金重点扫货股曝光，白酒龙头遭大幅减仓,Wind
72,2021-12-26,光大证券：给予山西汾酒买入评级,证券之星
73,2021-12-26,大消费专题策划一|白酒消费税之剑高悬 量减价增趋势将延续 香型争霸有戏码,财联社
74,2021-12-26,白酒行业动态跟踪：关注旺季表现与提价落地 业绩增长具备支撑,光大证券
75,2021-12-25,森度周评 | 新帅履新，汾酒畅想；解读仁怀之子·丁远怀,糖酒快讯
76,2021-12-25,汾酒荣获2020年度中国食品工业协会科学技术奖两项殊荣,搜狐
77,2021-12-25,李秋喜提前下课？山西汾酒业绩被指含金量低，利用应收帐融资43亿补血！,搜狐
78,2021-12-25,【山西汾酒（600809.SH）】掌门人正常交接，汾酒向上势头延续——跟踪报告（叶倩瑜）,新浪
79,2021-12-24,山西汾酒换帅 继任者需面对“三大矛盾” 董监高成员变化,中国商报
80,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
81,2021-12-24,最大权益基金放宽限购，叠加白酒消费旺季，行情可期？,Wind
82,2021-12-24,白酒基金限购松紧不一，基金经理看好配置价值,Wind
83,2021-12-23,匠艺雄心李秋喜，把“中国酒魂”铸成史诗,糖酒快讯
84,2021-12-23,A股收盘综述：市场资金涌入电力、白酒、光伏股！中国铝业巨量封涨停,Wind
85,2021-12-23,竹叶青产业战略发展大会在太原召开 汾酒“新帅”提出更高发展方向,中国经济网
86,2021-12-23,白酒板块午后回暖，贵州茅台、五粮液、泸州老窖、山西汾酒集体走升,Wind
87,2021-12-23,A股融资融券日报：两融余额增加24.04亿元（12月22日）,Wind
88,2021-12-23,汾酒换帅 重回前三的路还有多远？,佳酿网
89,2021-12-22,李秋喜功成身退，山西汾酒下半场该怎么走？,斑马消费
90,2021-12-22,食品饮料行业周报：摒除扰动 坚定布局,渤海证券
91,2021-12-22,11月名酒IP动态指数观察,糖酒快讯
92,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
93,2021-12-22,山西汾酒(600809.SH)提名袁清茂、余忠良为董事候选人,智通财经
94,2021-12-22,山西汾酒(600809)重大事件快评：董事长平稳交棒 公司经营保持稳健,新浪
95,2021-12-22,2021竹叶青产业战略发展大会召开 汾酒“新帅”袁清茂履新首发声,中国青年网
96,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
97,2021-12-21,“提价王”泸州老窖：追不上的“茅五”，难回到的“前三”,腾讯网
98,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
99,2021-12-21,山西汾酒换帅：李秋喜到龄退休曾跑出汾酒速度 袁清茂接棒,中国网
100,2021-12-21,汾酒“新帅”袁清茂：竹叶青大健康产业要在五方面更上层楼,新京报
101,2021-12-21,2012-2021年白酒春节行情总结,证券之星
102,2021-12-21,A股收盘综述：40余只地产股涨停，市场资金蜂拥而入！热门妖股批量砸跌停,Wind
103,2021-12-21,李秋喜卸任董事长 继任者能否解决山西汾酒“三大主要矛盾” 董监高成员变化,中国商报
104,2021-12-21,迎驾贡酒：徽酒“老三”翻盘的秘密,阿尔法工场
105,2021-12-21,A股异动：中证白酒指数下挫近2%，山西汾酒、酒鬼酒跌3%,证券之星
106,2021-12-21,白酒股持续走弱，山西汾酒、酒鬼酒、五粮液、古井贡酒跌幅居前,Wind
107,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
108,2021-12-21,华鑫证券：给予山西汾酒买入评级,证券之星
109,2021-12-21,全国化布局显效 山西汾酒蓄势谱新篇,发布易
110,2021-12-20,“喝酒”会不会显得很low？基金经理热议：“酒”和“酒”还不一样呢,第一财经
111,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
112,2021-12-20,食饮行业周报：建议逢低加配白酒 食品寻找结构性投资机会,新浪
113,2021-12-20,“老骥”卸任，袁清茂接棒山西汾酒！,环球老虎财经
114,2021-12-20,李秋喜退休 进入改革“下半场”关键期的汾酒如何走？,经济观察报
115,2021-12-20,解酒｜山西汾酒李秋喜正式退休，交通系统出身的袁清茂接任,奥一网
116,2021-12-20,贵州茅台放大招！还有一则传闻被证实，后市如何走？,证券之星
117,2021-12-20,【招商食品 | 最新】五粮液1218顺利召开，大众品关注提价传导,招商食品饮料
118,2021-12-20,每日理财观察：理财产品流动性风险管理办法出台,Wind
119,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
120,2021-12-20,山西汾酒官宣换帅，继任者能否再续业绩高增长引疑虑 董监高成员变化,阿尔法工场
121,2021-12-20,国资委：稀土等专业化整合深入实施…重要消息还有这些,证券时报
122,2021-12-20,茅台、五粮液又有大消息，2022年白酒股价受关注,Wind
123,2021-12-20,SpaceX第33批星链卫星上天；YouTube TV失去迪士尼节目版权；IBM和三星在半导体设计上再取得新进展,每经头条
124,2021-12-20,北向资金周内净买入超百亿，中国移动本周申购,Wind
125,2021-12-20,山西汾酒当家人功成身退 袁清茂将接棒,证券日报
126,2021-12-20,山西汾酒换帅 接任者是山西路桥董事长 董监高成员变化,全景网
127,2021-12-20,5万亿赛道传出大消息！白酒股怎么走？,Wind
128,2021-12-19,市值4000亿的白酒巨头换帅：山西汾酒作别李秋喜，进入袁清茂时代 董监高成员变化,国际金融报
129,2021-12-19,“当家大掌柜”功成身退，山西汾酒开启发展新篇章,证券日报网
130,2021-12-19,周末影响A股十大事件来了！,Wind
131,2021-12-19,盘后公告集锦|2000亿稀土龙头大动作！与中国稀土控股签订战略合作协议,财联社
132,2021-12-19,下周操盘攻略：蓝筹节奏生变、史上最贵新股上市,Wind
133,2021-12-19,12月19日晚间上市公司十大重磅公告,搜狐
134,2021-12-19,【开源食饮】甘源业务周期向上，汾酒换帅再出发——行业周报,宇光看食饮
135,2021-12-19,晚间重要公告2021年12月19日星期日,Wind
136,2021-12-19,汾酒：董事长李秋喜到龄退休，辞去董事长等职务 董监高成员变化,搜狐
137,2021-12-19,近4000亿白酒巨头换帅，60岁功勋老帅请辞,Wind
138,2021-12-19,山西汾酒换帅 袁清茂出任新董事长 董监高成员变化,北京商报
139,2021-12-19,公告精选：李秋喜请辞山西汾酒董事长等职务；鼎胜新材子公司与宁德时代签订框架性合作协议,e公司
140,2021-12-19,山西汾酒董事长换人！李秋喜到龄退休，袁清茂续写“汾老大”下半场改革 董监高成员变化,华夏时报
141,2021-12-19,山西汾酒宣布换帅，高速增长持续性待观察 董监高成员变化,第一财经
142,2021-12-19,换帅风波终落定 汾酒集团元勋李秋喜功成身退 董监高成员变化,财联社
143,2021-12-19,山西汾酒：李秋喜到龄退休辞任董事长，袁清茂被推荐为董事长 董监高成员变化,新京报
144,2021-12-19,刚刚！3000亿白酒巨头发布重要公告，董事长申请辞职 董监高成员变化,每日经济新闻
145,2021-12-19,山西汾酒：李秋喜申请辞去公司董事长等职务 董监高成员变化,证券时报
146,2021-12-19,每经16点|浙江宁波市应急响应等级下调至Ⅱ级；李秋喜申请辞去山西汾酒董事长等职务；机构：发达经济体整体货币环境将维持宽松,每日经济新闻
147,2021-12-19,山西汾酒(600809.SH)控股股东推荐袁清茂为董事长,智通财经
148,2021-12-19,山西汾酒：董事长李秋喜辞职，袁清茂获推荐接任,Wind
149,2021-12-19,一周酒讯丨汾酒分享“六个价值”；泸州老窖、舍得部分产品提价,新京报
150,2021-12-18,距200亿营收目标一步之遥突然换帅 汾酒改革突围进入下半场,每日经济新闻
151,2021-12-18,李秋喜卸任汾酒集团董事长 原山西交控集团董事长袁清茂接任,中华网
152,2021-12-18,汾酒集团迎新帅袁清茂 上市公司山西汾酒董事长尚未变动,21世纪经济报道
153,2021-12-18,氢能源概念显著升温　白酒板块突然变盘,财富动力网
154,2021-12-18,汾酒换帅：李秋喜正式卸任，袁清茂接任 董监高成员变化,网易
155,2021-12-17,汾酒集团董事长李秋喜退任：上市公司四年营收翻倍增长，袁清茂接棒深化改革,搜狐
156,2021-12-17,李秋喜卸任山西汾酒集团董事长 袁清茂接任,新浪
157,2021-12-17,汾酒换帅：李秋喜卸任，袁清茂出任集团董事长 董监高成员变化,每日经济新闻
158,2021-12-17,白酒突然变脸，贵州茅台跌超3%，行业见顶？,证券之星
159,2021-12-17,汾酒逆袭 “操盘手”李秋喜：四年时间完成改革 推动汾酒市值进入前三,新浪
160,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
161,2021-12-17,跨年行情白酒还追不追,YY港股圈
162,2021-12-17,氢能板块继续狂飙，连连涨停，京城股份这面旗帜高高飘扬！,Ofweek
163,2021-12-17,解盘：权重股低迷，充电桩、水电、特高压、大基建领涨,Wind
164,2021-12-17,山西汾酒等9股获融资净买入超亿元,证券时报网
165,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
166,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
167,2021-12-17,A股早报2021年12月17日星期五,Wind
168,2021-12-17,股市动态 | 财经早资讯：百亿老牌私募大佬汪潮涌失联两周；隆基股份下调硅片报价,财经网
169,2021-12-17,每日理财观察：商务部将着力从三方面稳外贸稳产业链,Wind
170,2021-12-17,北向资金买入力度加大，抢筹钢铁行业（名单）,21世纪经济报道
171,2021-12-17,周期股助沪指收复5日线 白酒板块遭遇“滑铁卢”,上证报
172,2021-12-17,白酒股集体下跌 特供酒专供酒或将退出,中新网
173,2021-12-16,山西汾酒股价惊险弹跳，疑传董事长退休，年内市值大涨500多亿,AI财经社
174,2021-12-16,三千亿龙头山西汾酒突传更换董事长，盘中几近跌停，机构为何跑路？ 董监高成员变化,中国经济网
175,2021-12-16,突然被锤！“特供酒”“专供酒”将被淘汰，白酒股还能跟吗？,国际金融报
176,2021-12-16,12.16 | 五粮液入选《世界品牌500强》排名提升21位；《白酒生产许可审查细则（征求意见稿）》公布；汾酒回应董事长退休消息,糖酒快讯
177,2021-12-16,水皮：「谈股论金」步步为营,华夏时报
178,2021-12-16,山西汾酒闪崩之谜：李秋喜卸任OR白酒包装新规？,深水财经社
179,2021-12-16,泸州老窖又涨价，今年已多次提价停货,Wind
180,2021-12-16,上证指数重新走强，白酒、医药、新能源和煤炭的交易策略分享,搜狐
181,2021-12-16,【16日资金线路图】啥情况？资金流出白酒股，机构、北向资金抛售山西汾酒！,证券时报
182,2021-12-16,山西汾酒被外资狂抛8亿，会是机会吗？,格隆汇
183,2021-12-16,盘中几近跌停 山西汾酒回应：基本面良好，大跌为市场原因,经济观察网
184,2021-12-16,白酒股怎么了？“两年十倍”白酒股大跌，机构与北向资金携手出逃近13亿元（名单）,21世纪经济报道
185,2021-12-16,曾被称“华尔街中国神童”的百亿私募大佬失联，公司最新回应来了。白酒巨头市值蒸发270亿元，数字孪生概念狂欢，超5亿资金抢筹概念股,证券时报网
186,2021-12-16,一度逼近跌停！山西汾酒遭北向、机构抛售，白酒股后市还好吗？,第一财经
187,2021-12-16,今日股市：年底前 指数能否突破前高压制？,东方网
188,2021-12-16,明年行情怎么看？听听顶尖新锐基金经理怎么说,每日经济新闻
189,2021-12-16,【数据看盘】多只白酒股遭外资卖出 机构超5亿甩卖山西汾酒,财联社
190,2021-12-16,北向资金今日净流入超58亿元，抛售山西汾酒近8亿元,第一财经
191,2021-12-16,数据复盘｜63股获主力加仓超亿元 北向资金抢筹宁德时代、宝钢股份等,证券时报网
192,2021-12-16,龙虎榜丨机构今日抛售山西汾酒5.05亿元,第一财经
193,2021-12-16,北上资金今日净买入宁德时代8.68亿元、宝钢股份6.30亿元，净卖出山西汾酒7.95亿元、药明康德4.49亿元。,财联社
194,2021-12-16,北向资金净卖出山西汾酒7.95亿元,e公司
195,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
196,2021-12-16,白酒股集体下跌，监管要求禁止“特供酒”，汾酒回应李秋喜退休传闻,金融界
197,2021-12-16,龙虎榜|山西汾酒收跌6.57% 北向资金净卖出近8亿元,财联社
198,2021-12-16,山西汾酒董事长李秋喜近期宣布退休？公司回应：以公告为准,南都报
199,2021-12-16,什么情况？4000亿龙头突然闪崩，曾2年大涨16倍！超牛次新股层出不穷，最猛的已经13连板，各路游资频现龙虎榜！,雪球
200,2021-12-16,董事长要退休？山西汾酒回应：没收到消息,中新经纬
201,2021-12-16,A股资金流向：短线资金继续加码热门题材股,Wind
202,2021-12-16,快讯：山西汾酒低开快速下杀，盘中逼近跌停,中华网
203,2021-12-16,4000亿大牛股闪崩 万亿煤炭板块大爆发,至诚财经
204,2021-12-16,山西汾酒回应董事长即将退休传闻：尚未接到官方通知,澎湃新闻
205,2021-12-16,山西汾酒回应董事长将退休传言：目前没有接到文件通知,Wind
206,2021-12-16,A股收盘综述：煤炭板块崛起、题材炒作翩翩起舞，汾酒换帅传言引发放量回调,Wind
207,2021-12-16,李秋喜主持召开汾酒董事会：提出四个冲刺 勉励员工笃定前行、行稳致远,新浪
208,2021-12-16,山西汾酒早盘接近跌停 市场传李秋喜将退休,新浪
209,2021-12-16,【异动股】酿酒行业板块下挫，山西汾酒(600809.CN)跌9.06%,财华社
210,2021-12-16,山西汾酒成交金额超50亿元，跌幅维持在9%左右,Wind
211,2021-12-16,年份酒应如实标注使用基酒比例，山西汾酒领跌白酒板块,阿尔法工场
212,2021-12-16,山西汾酒回应李秋喜退休传言，“没有收到辞职文件”,新浪
213,2021-12-16,什么情况？白酒板块突然变盘，“两年十倍”白酒股逼近跌停,Wind
214,2021-12-16,什么情况？白酒板块突然变盘，“两年十倍”白酒股逼近跌停,上证报
215,2021-12-16,利空突袭？白酒被锤，4000亿龙头险跌停！煤炭板块大爆发，突然暴涨超6%；还有超牛次新股，接连13个涨停,证券时报
216,2021-12-16,一则消息引爆三大题材！数字孪生+元宇宙，多股20CM涨停！3700亿白酒股逼近跌停,中证报
217,2021-12-16,山西汾酒大跌，董事长李秋喜被传即将退休 董监高成员变化,AI财经社
218,2021-12-16,快讯｜山西汾酒大跌超9%,财经网
219,2021-12-16,山西汾酒回应换帅风波：暂未收到任何文件 董监高成员变化,财联社
220,2021-12-16,4000亿白酒巨头崩了，半天蒸发370多亿，因为这个传闻？,搜狐
221,2021-12-16,山西汾酒董事长李秋喜近日将退休，山西省交通厅副厅长袁清茂将接任,搜狐
222,2021-12-16,解盘：资金持续流入，煤炭、工业母机、大基建、网游领涨,Wind
223,2021-12-16,A股午盘综述：煤炭股火了，兖矿能源中煤能源等涨停！山西汾酒遭遇定向爆破,Wind
224,2021-12-16,全球蛙举办2021产销互联生态大会，意向批采额破5000万｜钛快讯,钛媒体
225,2021-12-16,【异动股】白酒板块下挫，山西汾酒(600809.CN)跌9.45%,财华社
226,2021-12-16,【异动股】酿酒行业板块下挫，山西汾酒(600809.CN)跌7.59%,财华社
227,2021-12-16,白酒集体回调，山西汾酒逼近跌停！食品ETF（515710）跌超2%,资本邦
228,2021-12-16,白酒板块走低 山西汾酒跌逾9%,上证报
229,2021-12-16,快讯：白酒板块快速回落 山西汾酒跳水大跌超8%,新浪
230,2021-12-16,白酒股跳水 山西汾酒逼近跌停,格隆汇
231,2021-12-16,山西汾酒一度接近跌停，白酒板块承压,Wind
232,2021-12-16,快讯：白酒板块快速下跌 山西汾酒跳水大跌,财联社
233,2021-12-16,白酒概念下挫，山西汾酒逼近跌停,Wind
234,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
235,2021-12-15,白酒界中的四款百亿大单品，你为它贡献了多少？,搜狐
236,2021-12-15,A股融资融券日报：两融余额增加9.31亿元（12月14日）,Wind
237,2021-12-14,【中泰食品|专题】价格持续修复，板块整体向好——食品饮料行业2021年10月线下商超数据点评,食品饮料俱乐部
238,2021-12-14,密集扩产、大商加入、资本入局 汾阳已成下一个茅台镇？,佳酿网
239,2021-12-14,36年、50年、68年 从三个历史性时点看中国名酒,佳酿网
240,2021-12-13,双击2021 | “三香纷争”下的河北,糖酒快讯
241,2021-12-13,食品饮料行业白酒跟踪快报：茅台取消拆箱 普五批价回升 维持推荐白酒,新浪
242,2021-12-13,山西汾酒董事李明强辞职 年薪50万不算高 董监高成员变化,搜狐
243,2021-12-13,茅台与老白干受利好刺激跃升，一、三、四线白酒龙头开始同步发力,搜狐
244,2021-12-13,华创证券：提价预期升温，继续看好跨年行情,财联社
245,2021-12-13,A股午盘综述：沪指放量涨1%，时隔3个月重返3700点！元宇宙概念再度爆发,Wind
246,2021-12-13,A股融资融券日报：两融余额增加0.16亿元（12月10日）,Wind
247,2021-12-13,洋河股份1.68亿信托本息逾期 营收增幅列上市酒企倒数第五 未按时兑付本息,长江商报
248,2021-12-13,北上资金上周净买入金额创新高，重点加仓白酒与金融股,Wind
249,2021-12-12,多数海外中国地区基金收益为负，重仓茅台的回撤20%,Wind
250,2021-12-12,汾酒集团召开2020年——2021年企业年金工作汇报会,搜狐
251,2021-12-11,催化效应集中释放，白酒市场迎跨年消费旺季,Wind
252,2021-12-10,山西汾酒董事李明强辞职，4000亿清香龙头年内已有4位董事离任 董监高成员变化,AI财经社
253,2021-12-10,白酒板块四周内录得20CM大涨，机构呐喊热门行情还将延续一段时间,Wind
254,2021-12-10,山西汾酒：因上级工作安排调整的原因，李明强先生申请辞去公司董事及董事会审计委员会委员职务 董监高成员变化,每日经济新闻
255,2021-12-10,山西汾酒(600809.SH)董事李明强辞职 董监高成员变化,智通财经
256,2021-12-10,山西汾酒：公司董事李明强因工作调整原因辞职 董监高成员变化,Wind
257,2021-12-10,A股早盘指数微幅震荡：半导体领跌 农业股走高,凤凰网
258,2021-12-10,长信基金6产品前11月跌超10% 副总经理旗下混基占4席,中国经济网
259,2021-12-10,A股融资融券日报：两融余额增加7.33亿元（12月9日）,Wind
260,2021-12-10,“聪明钱”大手笔抢筹，跨年行情渐入佳境,Wind
261,2021-12-09,金牛奖得主收益为负，鹏华王宗合钟情白酒,新浪
262,2021-12-09,北向资金狂买A股超200亿净买入额创历史次高，继续大幅抢筹白酒股,Wind
263,2021-12-09,【国信食饮】白酒板块12月投资策略：板块迎来密集催化，把握白酒优质龙头,青力出品
264,2021-12-09,北向资金动向盘点：同时重手加仓白酒、新能源,Wind
265,2021-12-09,A股融资融券日报：两融余额增加42.4亿元（12月8日）,Wind
266,2021-12-09,五粮液突然涨价，或欲借此走出茅台阴影？,网易
267,2021-12-09,外资爆买A股！一天狂加仓近百亿！抄底宁德时代，重仓茅台、招行,Wind
268,2021-12-09,财信证券食品饮料行业跟踪11月：白酒迎利好催化，食品提价相继落地，建议增配食品饮料,财信证券研究
269,2021-12-09,A股突然启动上涨，茅台收复2000元，人民币连创新高！,Wind
270,2021-12-08,白酒股强势上涨迎跨年行情 茅台股价时隔5个月重回2000元,证券之星
271,2021-12-08,北向资金12月净流入超300亿，赛道切换剑指何处？,Wind
272,2021-12-08,华创证券：重视白酒跨年及旺季行情，首选高端,证券之星
273,2021-12-08,双节临近，“茅五泸”齐涨，消费股悄然崛起,Wind
274,2021-12-08,山西汾酒：截止2021年三季度，公司有100万家可控终端,每日经济新闻
275,2021-12-08,白酒开门红，啤酒迎双击 华创证券：重视酒类跨年行情,智通财经
276,2021-12-08,财信证券：白酒板块前期悲观情绪已充分消化 行业整体仍处于稳健上行周期,证券时报网
277,2021-12-08,A股融资融券日报：两融余额减少43.44亿元（12月7日）,Wind
278,2021-12-07,许家印的雷，伤了洋河,21商评网
279,2021-12-07,汾酒参加第九届中国新兴媒体产业融合发展大会 现场畅谈“媒体观”,中国青年网
280,2021-12-07,食品饮料行业周观点：关注白酒跨年行情 看好高端白酒龙头,新浪
281,2021-12-07,食品饮料行业周报：老窖激励获批 顺鑫加快地产剥离 继续看多板块Q4行情,新浪
282,2021-12-07,酒类股发力走高，老白干酒大涨超9%，五粮液等拉升,证券时报网
283,2021-12-07,A股融资融券日报：两融余额减少24.72亿元（12月6日）,Wind
284,2021-12-06,上榜企业总价值达到9.6万亿元 |《2021那香海·胡润中国食品行业百强榜》重磅发布,和讯
285,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
286,2021-12-06,2021年基金，买了个“寂寞”,Wind
287,2021-12-06,【安信食品】周专题—新年度规划逐渐明朗，白酒22Q1开门红展望,安信食饮
288,2021-12-06,招商证券：上调舍得酒业(600702.SH)至“强推”评级 主要矛盾清理 持续成长可期,智通财经
289,2021-12-06,中信证券：白酒行业将进入信息密集释放期,证券时报网
290,2021-12-06,中信证券：白酒行业景气持续基本面稳健向上 乳制品板块再迎配置良机,智通财经
291,2021-12-06,A股融资融券日报：两融余额减少18.05亿元（12月3日）,Wind
292,2021-12-06,中信证券：布局白酒跨年旺季行情，关注乳品配置机会,Wind
293,2021-12-05,发生了什么？海外最大中国股票基金大举减持宁德时代！,Wind
294,2021-12-05,卓玛才让：坚持质量立魂、文化开道、创新赋能；曾从钦：四个坚持铸就五粮液金字招牌；孙跃：白酒行业新物种...... | 一周观点,糖酒快讯
295,2021-12-05,食品饮料行业周报：老窖激励方案获批 把握白酒跨年行情,新浪
