,2021-12-31,通策医疗股价半年腰斩 中泰证券国元证券8月份喊买入,中国经济网
22,2021-12-08,通策医疗今日大宗交易成交2万股，成交价180.0元折价9.74%,Wind
23,2021-12-08,通策医疗现1笔大宗交易 共成交360.00万元,新浪
24,2021-12-08,任泽平：四季度政治局会议传递重大信号,Wind
25,2021-12-08,"超80亿资金狂买医药类ETF，""医药女神""逆势加仓",Wind
26,2021-12-07,张坤、高瓴斩仓！通策跨界、三家对手IPO在即，眼科大佬要凉了？,瞪羚社
27,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
28,2021-12-06,医药股再成香饽饽，各路资金集中抄底主题基金,Wind
29,2021-12-01,八省二区“盯上”种植牙,MedTrend医趋势
30,2021-11-29,医药行业周报：第六批集采落地 重点关注新冠变异株,西南证券
31,2021-11-29,通策医疗股价创一年新低 上月西部证券广发证券喊买入,中国经济网
32,2021-11-29,通策医疗：通过口腔基金参与的省外存济口腔医院项目，待区域总院实现稳定盈利后会陆续实施分院计划,每日经济新闻
33,2021-11-29,通策医疗：“通策口腔医疗投资基金”目前规模10亿，公司持有20%份额,Wind
34,2021-11-29,通策医疗：通策口腔医疗投资基金目前规模10亿,每日经济新闻
35,2021-11-29,生物医药行业周报：加强新时代老龄工作的意见发布 康复行业或将获益,新浪
36,2021-11-26,2022年，医药生物板块哪些细分赛道潜力大？,制药网
37,2021-11-26,35股收盘价创年内最低，回撤最高70%以上,Wind
38,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
39,2021-11-24,一省一市率先行动，“种植牙”真的要降价了吗？,贝壳社
40,2021-11-24,通策医疗：公司暂无回购计划,每日经济新闻
41,2021-11-24,医药生物行业周报：CDE发布《以临床价值为导向的抗肿瘤药物临床研发指导原则》,新浪
42,2021-11-23,“牙茅”股价创年内新低，较高点跌超50%，医药女神高位“站岗”,AI财经社
43,2021-11-23,“集采+医疗服务控费”双困境 通策医疗5个月股价腰斩,和讯
44,2021-11-22,金眼银牙！通策医疗：2021上半年收入增长75%，净利润增长142%,深水财经社
45,2021-11-22,辅助生殖站上风口，底部放量的低估值股来了,Wind
46,2021-11-22,通策医疗：“总院+分院”模式蓄力长期发展，稳步扩张高增长有望持续,中金在线
47,2021-11-22,牙博士冲刺港股，毛利率超50%，去年净利率仅为3%,AI财经社
48,2021-11-19,种植牙集采渐近？ 四川开展口腔高值耗材信息采集,每日经济新闻
49,2021-11-19,北向资金今日大幅净买入近83亿，再度爆买宁德时代超14亿,Wind
50,2021-11-19,四川省发文 口腔耗材带量采购来了,赛柏蓝器械
51,2021-11-18,顶流基金经理调研“新欢”大起底！热门板块人声鼎沸,Wind
52,2021-11-18,医药股领跌茅指数成分股 通策医疗跌近5%,格隆汇
53,2021-11-16,通策医疗：宝群实业质押股份总数为3733万股,每日经济新闻
54,2021-11-16,通策医疗(600763.SH)：控股股东质押600万股及解质900万股,格隆汇
55,2021-11-16,千亿HPV龙头涨停！CXO全线大涨，医疗ETF（512170）放量劲升2.82%,Wind
56,2021-11-15,国谈价格好于市场预期，有利于创新药板块估值修复！【东吴医药朱国广团队】,国广有话说
57,2021-11-15,医药行业周报：2021医保谈判落幕 本周医药板块上涨0.82% 建议关注政策受益的原料药板块,新浪
58,2021-11-12,困境反转！资本巨头一顿操作猛如虎，悄悄打造广东版的“通策医疗”！,瞪羚社
59,2021-11-12,医药板块2021Q3分析暨11月月报：高基数下增速放缓 板块基本面仍旧强劲 把握配置窗口期,新浪
60,2021-11-12,A股“口腔医疗第二股”真来了！粤版“通策医疗”需资本耐心加持,财经网
61,2021-11-11,通策医疗：杭州口腔、宁波口腔是存济的子品牌,每日经济新闻
62,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
63,2021-11-09,通策医疗：目前全国已经有48家口腔医院正在运行，浙江省内，未来将在各重点县市区完成布点，进一步提升在浙江的市场占有率；省外发展，公司通过口腔基金参与的武汉存济口腔、西安存济口腔医院等大型医院项目，均在稳定发展过程中,每日经济新闻
64,2021-11-08,2021年医药行业11月策略报告：战略布局特色原料药及高景气度子行业,新浪
65,2021-11-06,葛兰勇进，高瓴撤退，CXO 困境下的“旗手”与“叛徒”,ZAKER
66,2021-11-05,医药行业：高基数和疫情反复下增速放缓,新浪
67,2021-11-05,第三季度业绩增速普遍放缓，民营医院增长进入瓶颈期？ 盈利能力下降,经济观察报
68,2021-11-04,【兴证医药】医药持仓比例历史低位，自下而上布局2022年-2021年11月投资月报,兴证医药健康
69,2021-11-04,口腔医疗，怎么就火了？,ZAKER
70,2021-11-04,天风Morning Call·晨会集萃·20211104,天风研究
71,2021-11-03,通策医疗今日大宗交易成交2.92万股，成交价219.65元溢价0.64%,Wind
72,2021-11-02,通策医疗：宝群实业质押股份总数为4033万股,每日经济新闻
73,2021-11-02,通策医疗(600763.SH)控股股东分别质押及解质100万股,智通财经
74,2021-11-02,通策医疗(600763.SH)：控股股东解押及继续质押100万股,格隆汇
75,2021-11-02,医药行业2021年11月投资月报：重点寻找“穿越医保”和“疫情脱敏”品种,西南证券
76,2021-11-02,从“茅指数”到“宁组合”，三季报交出的答卷你满意吗？,新浪
77,2021-11-01,通策医疗现1笔大宗交易 共成交612.90万元,新浪
78,2021-11-01,医药行业三季报扫描：疫苗、CXO高景气，疫情影响持续消退,证券时报网
79,2021-11-01,Q3行情结束，医药板块进入估值切换长周【东吴医药朱国广团队】,国广有话说
80,2021-10-31,通策医疗股价大幅下跌市值缩水，掉出榜单前十「医疗器械周榜」,华夏时报
81,2021-10-30,基金三季度调仓换股全扫描，电力、能源、地产被明显加仓！,Wind
82,2021-10-28,21Q3基金持仓结构分析：“宁王”上位 多数基金Q3 选择“躺平”,新浪
83,2021-10-28,通策医疗：控股股东部分股票解除质押及继续质押,每日经济新闻
84,2021-10-28,顶流基金经理白酒信仰现分歧：张坤重仓，刘彦春坚持，王宗合、焦巍目光投向科技,Wind
85,2021-10-27,不到500亿市值就“切腹谢罪”，这位公司高管已获利超2723万元,AI财经社
86,2021-10-27,私募持仓去向曝光：增持87股，8只已翻番,Wind
87,2021-10-27,张坤减持洋河股份，谢治宇、傅友兴减持双汇发展,Wind
88,2021-10-27,“顶流”又有大动作！张坤减持洋河股份，谢治宇、傅友兴减持双汇发展 减持股份,证券时报
89,2021-10-27,张坤、刘彦春重磅发声！2大千亿顶流季报出炉,Wind
90,2021-10-26,机构正在抛弃民营医院？张坤、高瓴撤离爱尔眼科（300015）、通策医疗（600763）,智通财经
91,2021-10-26,王培旗下中欧行业成长最新持仓：通策医疗、招商银行、东方雨虹、海康威视退出前十大重仓,财联社
92,2021-10-26,资本动态｜第三季度营收下滑3.48%，爱尔眼科遭控股股东、张坤、高瓴等减持 盈利能力下降,财经网
93,2021-10-26,“金句专业户”焦巍又反思：坦言自身投资模式现阶段或落后，也要减少噪音干扰，增加长期绝对回报,财联社
94,2021-10-26,医药生物行业双周报：行业估值合理 择优布局优质标的,新浪
95,2021-10-26,张坤张磊，一起斩仓“眼科茅台”,投中网
96,2021-10-26,高瓴、张坤减持“眼茅”，葛兰却大手笔加仓,Wind
97,2021-10-25,医药赛道明显回调，是否迎来布局窗口？,养基司令
98,2021-10-25,关注低估值、低位置血制品、消费医疗板块，重点推荐博雅生物、鱼跃医疗等!【东吴医药朱国广团队】,国广有话说
99,2021-10-25,张坤和千亿高瓴全跑了，2500亿“眼茅”业绩突然下滑！ 盈利能力下降,Wind
100,2021-10-25,"股民炸锅！“公募一哥”张坤和千亿高瓴全跑了，2500亿“眼茅”业绩突然下滑！顶流经理葛兰、赵蓓却大举加仓！广发吴兴武也出手了
盈利能力下降",中国基金报
101,2021-10-25,生物医药行业周报：三季报即将集中披露 建议关注业绩确定性较强的公司,新浪
102,2021-10-25,高毅资产最新持仓曝光！邱国鹭捕获暴涨股，冯柳坚守海康威视，邓晓峰抄底科思股份过举牌线,财联社
103,2021-10-25,通策医疗业绩失速,证券市场周刊
104,2021-10-25,通策医疗现1笔大宗交易 共成交392.62万元,新浪
105,2021-10-25,大曝光！邓晓峰抄底这只股，冯柳“新宠”来了！,Wind
106,2021-10-25,最新动向！张坤逆市加仓5200亿巨头，傅鹏博、谢治宇双双增持“化学茅”…这些顶流都在逆市布局,券商中国
107,2021-10-25,最新动向！张坤逆市加仓5200亿巨头 傅鹏博、谢治宇双双增持“化学茅”,券商中国
108,2021-10-24,西部证券维持通策医疗买入评级：20Q3高基数下21Q3增长符合预期，蒲公英计划快速推进,每日经济新闻
109,2021-10-23,证券时报：资本市场没有永远的神,Wind
110,2021-10-22,季报行情打响 这三大行业稳增长势头不改,金融投资报
111,2021-10-22,三季报业绩不达预期 通策医疗董事长与投资者线上“文斗”,每日经济新闻
112,2021-10-22,93股获券商买入评级，新希望目标涨幅达71%,Wind
113,2021-10-22,通策医疗董事长因何与股民愤怒“互怼”？,每日财报
114,2021-10-22,【东北医药刘宇腾】通策医疗(600763)动态点评：再论公司长期投资价值,东北证券研究所
115,2021-10-21,通策医疗：截至目前，公司经营情况正常，不存在应披露未披露之重大信息,每日经济新闻
116,2021-10-20,种植牙集采，基金报团瓦解，董事长亲自怼股民，“牙茅”通策医疗怎么了？,观察者网
117,2021-10-20,牙博士冲刺港股：一颗牙的争夺，5000亿的“战场”,36氪
118,2021-10-20,三天跌掉200亿 医院上市之后 考验才刚刚开始,健康界
119,2021-10-20,企业观｜通策医疗：董事长怒怼“小散”，明星基金经理态度“两极分化”,财经网
120,2021-10-19,三季度社保、险资、公募持仓抢先看，这两家公司被联合抢筹,Wind
121,2021-10-19,"称“买我们的股票是我们的耻辱”，千亿""牙茅""董事长怼上了热搜，被疑业绩不及预期 盈利能力下降",华夏时报
122,2021-10-19,三季度以来公募仓位逐月下行 普通股基仓位已下滑至88%下方,中金在线
123,2021-10-19,市值千亿的通策医疗董事长喷网友 原因为何？,至诚财经
124,2021-10-19,称“买我们的股票是我们的耻辱”，千亿“牙茅”董事长怼上了热搜,华夏时报
125,2021-10-19,通策医疗：当年医保支付（历年账户除外）占营收的比例小于10%,Wind
126,2021-10-19,通策医疗：当年医保支付占营收的比例小于10%,每日经济新闻
127,2021-10-19,通策医疗董事长怒怼网友 官媒：应对投资者保持敬畏,证券之星
128,2021-10-19,“牙茅”三季度业绩失速，3天市值蒸发220亿，董事长怒怼网友冲上热搜,钛媒体
129,2021-10-19,业绩成长性遭质疑、股价连续暴跌，通策医疗董事长“舌战”网友 盈利能力下降,中金在线
130,2021-10-19,“金针菇第一股”跨界告吹，34万手封死跌停！“公募一哥”减持牙科茅，明星机构扎堆3400亿化工巨头 减持股份,新浪
131,2021-10-19,东方财富：维持通策医疗(600763.SH)“买入”评级 低价项目将带动业绩加快增长,智通财经
132,2021-10-19,医药周报：深入推广三明医改模式 以下领域有望受益,新浪
133,2021-10-19,61家公司获机构调研（附名单）,证券之星
134,2021-10-19,融资客青睐7股，宁夏建材买入占比高达43%,Wind
135,2021-10-19,东方财富证券维持通策医疗买入评级：蒲公英医院逐步兑现，低价项目将带动业绩加快增长,每日经济新闻
136,2021-10-19,通策医疗：公司前期披露的信息不存在应该披露而未披露的重大信息，公司近期经营状况正常，未发生重大变化,每日经济新闻
137,2021-10-19,内幕?造假?杀猪?董事长突然暴怒,金融投资报
138,2021-10-19,通策医疗3个多月来股价已跌超四成,新快报
139,2021-10-19,掘金上市公司三季报，公募基金“选优”有术,Wind
140,2021-10-19,变盘！药、酒再陨落，主线逐渐明了,Wind
141,2021-10-18,A股诞生了一位愤怒的董事长,AI财经社
142,2021-10-18,董事长“手撕”网友却火了自己，通策医疗为何跌破千亿市值？,新京报
143,2021-10-18,“牙茅”董事长怼网友：买我股票是我的耻辱…股价近腰斩 被疑财报泄露 盈利能力下降,金融投资报
144,2021-10-18,“牙茅”是买还是卖？张坤、葛兰现分歧,中证报
145,2021-10-18,董事长亲自下场骂散户，通策医疗困于种植牙集采？,健识局
146,2021-10-18,早上怼股民“耻辱”，下午接机构调研！市值跌223亿，通策医疗：都有话语权,时代财经
147,2021-10-18,通策医疗董事长怒斥股民“买我们的股票是我们的耻辱”，三日市值蒸发超200亿,搜狐
148,2021-10-18,通策医疗回应董事长怼网友“是交流”，股价继续大跌，3天蒸发220亿,新浪
149,2021-10-18,震惊！上市公司董事长公开羞辱投资者：他们买我们的股票是我们的耻辱,新浪
150,2021-10-18,医药行业周报：卫健委再发重磅文件 加快三明改革在全国推广,新浪
151,2021-10-18,医药生物行业周报：疫苗加强针接种工作陆续开启 关注三季报业绩预期差投资机会,新浪
152,2021-10-18,人才流失、欠缴员工社保、运营能力差 中国口腔医疗处处是危机,和讯
153,2021-10-18,40股今日获机构买入评级,证券时报网
154,2021-10-18,北向资金净卖出额创近2个月新高，贵州茅台遭大幅抛售逾14亿元,Wind
155,2021-10-18,通策医疗今日继续大跌，发生了什么？成长性发生变化了吗？,和讯
156,2021-10-18,A股收评：两市探底回升，成交额重回万亿，周期股回暖，消费股大跌,证券之星
157,2021-10-18,【互动掘金】市场潜力大 多家上市公司布局氢能产业,证券时报网
158,2021-10-18,通策医疗：国家推低端种植体有利于公司低价牙的增长，毛利率不会下降,Wind
159,2021-10-18,通策医疗：整体业务耗材平均占14.6%,Wind
160,2021-10-18,通策医疗：公司仍然维持10%以上的客户贡献70-80%的收入，坚持锁定高端客户,Wind
161,2021-10-18,天风证券：维持通策医疗(600763.SH)“买入”评级 Q3业务经营表现稳健 盈利能力环比提升,智通财经
162,2021-10-18,医药行业周报：行业震荡回调 把握优质股配置机会,新浪
163,2021-10-18,通策医疗(600763)：配置性价比有望提升 看好公司长期发展,新浪
164,2021-10-18,医药生物行业周报：季度业绩波动该如何应对,新浪
165,2021-10-18,“这样的人，买我们的股票是我们的耻辱！”董事长狂怼网友，官方回应：是交流，仁者见仁；千亿市值已蒸发近300亿,每日经济新闻
166,2021-10-18,天风证券继续给予通策医疗买入评级：业务经营稳健，“总院+分院”模式蓄力长期发展,每日经济新闻
167,2021-10-18,通策医疗业绩低于预期董事长又怒怼网友 午盘跌7.8%,中国经济网
168,2021-10-18,发生了什么？5万亿赛道突然大跌：茅台跌6%！,Wind
169,2021-10-18,“牙茅”董事长开始理性回复，通策医疗继续低开低走，机构分歧严重！,e公司
170,2021-10-18,发生了什么？5万亿赛道突然大跌:茅台狂跌6%，一条传闻惹的祸？医疗家电也大跌，这个板块却掀起涨停潮,中国基金报
171,2021-10-18,通策医疗三季度净利润增速5.88%：消息或提前泄露 14年高增长结束吗？,挖贝网
172,2021-10-18,业绩公布前大跌引热议 牙“茅”通策医疗三日累计跌超24% 盈利能力下降,财华社
173,2021-10-18,快讯：医疗服务板块持续走弱 通策医疗跌近7%,新浪
174,2021-10-18,【行情】医疗服务板块持续走弱，通策医疗跌近7%，皓元医药、义翘神州、兰卫医学跟跌,金十数据
175,2021-10-18,通策医疗回应董事长“怼网友”：是交流 仁者见仁,财联社
176,2021-10-18,医药生物行业周报：国家将深入推广福建省三明市医改经验,新浪
177,2021-10-18,生物医药行业周报：板块出现波动 建议关注业绩确定性强的标的,新浪
178,2021-10-18,通策医疗连日大跌引发质疑，“牙茅”董事长不堪其扰怒怼网友 连续下跌,资本邦
179,2021-10-18,通策医疗(600763.SH)继续下跌近6% 超三季净利远低预期,格隆汇
180,2021-10-18,通策医疗接受6家机构调研！短期主力资金净流出,每日经济新闻
181,2021-10-18,两天蒸发近200亿！通策医疗董事长回怼：买我们的股票是我们的耻辱,证券之星
182,2021-10-18,2天蒸发近200亿 董事长怒怼网友火药味十足！本人删号后回应,快科技
183,2021-10-18,医药生物行业：创新药国谈价格前瞻分析,新浪
184,2021-10-18,通策医疗三季净利远低预期市值两天蒸发186亿 “牙茅”翻车138只基金出逃张坤撤退葛兰加仓,长江商报
185,2021-10-18,炸锅！2天蒸发近200亿，千亿董事长连发多帖狂喷网友：买我们的股票是我们的耻辱,中证报
186,2021-10-18,“牙茅”的天花板，原来就在家门口？,阿尔法工场研究院
187,2021-10-18,天风Morning Call·晨会集萃·20211018,天风研究
188,2021-10-18,早财经丨教育部公布12个基础教育综合改革实验区；上海银行回应“客户取现五百万”；“滤镜景点”遭吐槽，小红书道歉,每日经济新闻
189,2021-10-18,“他们买我们的股票是我们的耻辱！”牙茅市值蒸发200亿，老板与股民公开对战,21商评网
190,2021-10-18,周末大瓜！蒸发近200亿，千亿董事长雪球上怒喷网友：买我们的股票是我们的耻辱，不欢迎这类人！,中国基金报
191,2021-10-17,“牙茅”通策医疗股价大跌市值缩水190亿元，天华超净挤掉欧普康视重回前十「医疗器械周榜」,华夏时报
192,2021-10-17,刷屏！“牙茅”董事长狂怼网友，到底咋回事？,Wind
193,2021-10-17,刷屏！“牙茅”董事长狂怼网友：这样的人“买我们的股票是我们的耻辱！”到底咋回事？,证券时报
194,2021-10-17,首批“茅”概念业绩出炉，“医药女神”大举加仓中药茅,Wind
195,2021-10-17,通策医疗(600763.SH)：2021年9月市场就种植牙集采等事项大范围讨论 客户种植需求有观望、推迟就诊现象,格隆汇
196,2021-10-17,硬核选基丨百亿医疗主题ETF来了！资金疯狂涌入不惧回调，恰逢三季报披露季，影响有多大？,21世纪经济报道
197,2021-10-17,通策医疗(600763)：Q3业绩增速有所放缓 省内外扩张稳步推进 盈利能力下降,新浪
198,2021-10-17,爆了！8家“茅概念股”净利润均增超50%，“医药女神”大举加仓中药茅,Wind
199,2021-10-16,大白马连续跌停，基金们慌不择路！牙科赛道逻辑变化了，还是被市场抛弃了？ 连续下跌,瞪羚社
200,2021-10-16,通策医疗连续跌停，董事长股民互怼 连续下跌,网易
201,2021-10-16,“牙茅”罕见两跌停，张坤精准出逃，公司紧急回应：集采是机遇不是危机,财联社
202,2021-10-16,多空博弈：风能电力仍是资金首选　通策医疗遭恐慌抛售 减持股份,财富动力网
203,2021-10-16,Wind风控日报2021年10月16日星期六,Wind
204,2021-10-16,上市公司正负面新闻2021年10月16日星期六,Wind
205,2021-10-16,“牙茅”连续两日跌停，公募基金调仓现分歧 连续下跌,证基风云
206,2021-10-16,800亿“牙茅”连续两天跌停 公司紧急回应：种植体集采是机遇不是危机 连续下跌,e公司
207,2021-10-15,“牙茅”连续两日跌停！咋回事？董事长回应：我怎么知道？,21世纪经济报道
208,2021-10-15,【晚间公告抢先看】通策医疗：种植体集采是机遇并非危机！文山电力拟注入南方电网调峰调频发电公司,金融界
209,2021-10-15,通策医疗连续两天跌停 口腔暴利难再现 连续下跌,搜狐
210,2021-10-15,突然崩了！千亿“牙茅”狂跌200亿，大曝光：机构疯狂砸盘！刚刚，紧急公告！500亿大牛股也惨遭抛售,中国基金报
211,2021-10-15,晚间重要公告2021年10月15日星期五,Wind
212,2021-10-15,“牙茅”两跌停，市值蒸发186亿，有人问“咋回事”，董事长：我怎么知道？,每日经济新闻
213,2021-10-15,通策医疗连续两日跌停：种植体集采是机遇，增加低价种植项目 连续下跌,澎湃新闻
214,2021-10-15,今年，通策医疗把股民折磨够了,证券之星
215,2021-10-15,通策医疗(600763)公司快报：短期增速放缓 不改长期看好,新浪
216,2021-10-15,【窥业绩】连吃跌停板！Q3业绩失速，“牙茅”通策医疗怎么了？ 盈利能力下降,财华社
217,2021-10-15,两天市值蒸发186亿！“牙茅”通策医疗忍不住了，称业绩持续稳定,中新经纬
218,2021-10-15,信达证券：给予通策医疗评级,证券之星
219,2021-10-15,信达证券发布通策医疗研报，公司点评报告：三季度业绩平稳增长，费用率持续优化,每日经济新闻
220,2021-10-15,通策医疗：股票交易异动，无未披露的重大信息,每日经济新闻
221,2021-10-15,通策医疗(600763.SH)股价异动 不存在应披露而未披露信息的情形,智通财经
222,2021-10-15,通策医疗：种植体集采是机遇并非危机,e公司
223,2021-10-15,通策医疗：拟增加低价种植项目,Wind
224,2021-10-15,通策医疗：种植体集采对以提供口腔医疗服务为主的上市公司而言是机遇并非危机,财联社
225,2021-10-15,跌停板解密：三季报成主因，27只个股被大单抛售！（10月15日）,Wind
226,2021-10-15,三大概念股被主力资金抛弃,证券时报网
227,2021-10-15,三季度业绩不及预期，通策医疗今日又跌停，机构资金博弈激烈,第一财经
228,2021-10-15,46股今日获机构买入评级,证券时报网
229,2021-10-15,通策医疗二连跌停 三机构买入2.66亿元,第一财经
230,2021-10-15,“牙茅”通策医疗两跌停，市值蒸发近200亿！网友：咋回事？董事长：问你，我怎么知道？,每日经济新闻
231,2021-10-15,“同归于尽”自曝违规，刚刚“认怂”！互联网大佬宣布辞职,Wind
232,2021-10-15,牙茅跌停拖累白酒，反弹还是反转，就看三季报底牌,Wind
233,2021-10-15,宁德时代大涨超6%，芯片半导体大涨！通策医疗两日市值蒸发近200亿,中国基金报
234,2021-10-15,龙虎榜|通策医疗今日再度跌停 两机构卖出1.88亿元,财联社
235,2021-10-15,通策医疗再度跌停，机构两连跌停后开始抄底,Wind
236,2021-10-15,一份季报换两个跌停 通策医疗董事长：对业绩，我们非常自豪！,证券之星
237,2021-10-15,通策医疗(600763)：高基数影响业绩增速 公司扩张稳步进行,新浪
238,2021-10-15,“牙茅”通策医疗连续两日跌停 三季度业绩增长失速，问题出在这里？,每日经济新闻
239,2021-10-15,通策医疗连续两日跌停，有资金提前抢跑？ 公司回应：属主观臆断 连续下跌,每日经济新闻
240,2021-10-15,A股资金流向（10月15日）：“锂光芯”全线上扬，医疗龙头闪崩频现,Wind
241,2021-10-15,太平洋维持通策医疗买入评级：Q3增速较低，前三季度仍保持快速增长,每日经济新闻
242,2021-10-15,通策医疗第三季净利增不到6% 股价提前跌停资金知否,中国经济网
243,2021-10-15,又一个跌停！这只千亿龙头两日蒸发近200亿！张坤退出前十大股东！董事长霸气回应：这份成绩单，我很自豪！,雪球
244,2021-10-15,一周股话：周期股VS消费股，手心手背都是肉！但鱼和熊掌或难以兼得,和讯
245,2021-10-15,“牙茅”通策医疗闪崩，市值蒸发97亿元，只因业绩不及预期？ 盈利能力下降,中国经济网
246,2021-10-15,【国金医疗】通策医疗三季报点评：优秀品牌赋能，“总院+分院”模式稳步推进,搜狐
247,2021-10-15,牙茅医美茅：天使与魔鬼,证券之星
248,2021-10-15,高能反转！业绩大亏难挡“猪茅”走强；“宁王”涨近9%直逼历史高位；千亿“牙茅”惨遭两连跌 亏损,Wind
249,2021-10-15,半导体爆发：最牛7个一字涨停！各种“茅”却崩了,Wind
250,2021-10-15,刺激！半导体突然爆发：最牛7个一字涨停！宁德时代狂飙8%！千亿白马又跌停，预增11倍大牛股竟然跌停，航运茅蒸发千亿，发生了什么？,中国基金报
251,2021-10-15,创业板指大涨，“电池茅”狂飙！“牙茅”再度跌停,中证报
252,2021-10-15,解盘：科技、资源重拾升势，半导体、煤炭、动力电池领涨,Wind
253,2021-10-15,A股午盘综述：半导体、煤炭板块强势反弹，宁德时代一度涨近9%推升创业板,Wind
254,2021-10-15,快讯：医药医疗股持续走低 通策医疗、奇正藏药、太安堂跌停,新浪
255,2021-10-15,通策医疗董事长吕建明微博回应昨日股价跌停，称“问你，我怎么知道？”,金融界
256,2021-10-15,通策医疗(600763)：高基数效应导致表观增速失衡 各项业务保持稳健增长,新浪
257,2021-10-15,通策医疗(600763)：高基数影响表观增速 业绩基本符合预期,新浪
258,2021-10-15,中金：维持通策医疗(600763.SH)“跑赢行业”评级 目标价降至374元 机构下调估值,智通财经
259,2021-10-15,东莞证券维持通策医疗推荐评级：前三季度业绩快增，Q3增速低于预期,每日经济新闻
260,2021-10-15,千亿牙茅两跌停，三季度净利增55%，“医药女神”葛兰、冯柳加仓,AI财经社
261,2021-10-15,国金证券维持通策医疗增持评级：优秀品牌赋能，“总院+分院”模式稳步推进,每日经济新闻
262,2021-10-15,第三季度业绩失速 “牙茅”通策医疗再吃跌停板,第一财经
263,2021-10-15,通策医疗再度跌停，两天总市值蒸发185亿元,金融界
264,2021-10-15,东莞证券：给予通策医疗买入评级,证券之星
265,2021-10-15,国金证券：维持通策医疗(600763.SH)“增持”评级 看好公司优秀品牌赋能,智通财经
266,2021-10-15,张坤出逃，葛兰加仓，通策医疗再度封死跌停,证券之星
267,2021-10-15,快讯：通策医疗继昨日跌停后 今日大幅低开9.91%,新浪
268,2021-10-15,国金证券：给予通策医疗增持评级,证券之星
269,2021-10-15,【国金晨讯】至暗时刻已过，建议超配地产,国金证券研究所
270,2021-10-15,通策医疗逼近跌停，第三季度净利润同比增长5.88%,Wind
271,2021-10-15,A股早报2021年10月15日星期五,Wind
272,2021-10-15,基金早班车|消费行情何时重启？“牙茅”闪崩，张坤提前跑了,金融界
273,2021-10-15,通策医疗(600763)：Q3表观增速放缓 整体业绩符合预期 盈利能力下降,新浪
274,2021-10-15,市场缩量题材轮动,每日经济新闻
275,2021-10-14,通策医疗公布三季报 前三季净利增加55.09%,新浪
276,2021-10-14,“牙茅”跌停，张坤已提前撤退、葛兰则大举加仓,格隆汇
277,2021-10-14,“牙茅”通策医疗、“25倍牛股”江特电机跌停，业绩的锅？丨一只热股,第一财经
278,2021-10-14,通策医疗第三季度净利润同比增长5.88%,上证报
279,2021-10-14,牙茅跌停，张坤减仓，易方达中小盘“重启”成功？葛兰增仓留守，另一重仓股利空未完,财联社
280,2021-10-14,两大利空传闻重挫股价 通策医疗闪崩跌停,和讯
281,2021-10-14,“牙茅”跌停！医药女神又翻车了？,每日经济新闻
282,2021-10-14,一图读懂通策医疗2021年三季报，净利润同比增55.09%,证券之星
283,2021-10-14,800亿“牙茅”闪崩跌停！“医药女神”葛兰持仓市值或缩水3亿，机构甩卖1.47亿，4.3万股民吵翻了，发生了什么？,每日经济新闻
284,2021-10-14,晚间公告｜10月14日这些公告有看头,第一财经
