,2021-12-31,2021年的光伏业：产能扩展引供需矛盾，产业链上下游失衡,第一财经
41,2021-12-19,硅料价格松动却未见抢装潮，A股光伏龙头是否还值得期待,第一财经
42,2021-12-18,A股夜报：沪指放量大跌超1％ 人气高标股继续高歌猛进 赛道股持续低迷,腾讯网
43,2021-12-18,连续降价！A股火热赛道凉了？,Wind
44,2021-12-17,不断“升温”的硅片价格战，折了这些明星基金经理的“腰”,环球老虎财经
45,2021-12-17,隆基再出重拳，短期内连续降价为哪般？,Ofweek
46,2021-12-17,隆基股份硅片又降价 中环股份：如有调整会对公开市场报价,每日经济新闻
47,2021-12-17,和讯SGI公司| 4000亿光伏龙头隆基股份大跌超4%，不到一个月两次下调硅片价格，光伏产业链要变天？,和讯
48,2021-12-17,隆基股份全线产品降价5%，硅片价格战即将打响？,环球老虎财经
49,2021-12-17,“抄底抄到地下室，谁想还有大炸弹！”十倍大牛股遭立案，市值蒸发2000亿！年内股价狂跌80% ，股民由赚变赔，一路忐忑！,雪球
50,2021-12-17,中环股份：公司会定期公布降价消息 具体数字以公开信息为准丨公司问答,第一财经
51,2021-12-17,价格战升级！“光伏茅”再次下调硅片价格，市值半日蒸发177亿,中证报
52,2021-12-17,19交易日13涨停，A股又现疯狂牛股，实控人妹妹却要清仓,Wind
53,2021-12-17,万亿赛道迎拐点？4600亿光伏巨头再次下调硅片价格,Wind
54,2021-12-17,600亿龙头公司突被立案调查，4600亿巨头意外放大招,Wind
55,2021-12-17,万亿赛道迎来拐点？4600亿光伏巨头再次下调硅片价格，最大降幅5.66%！行业价格战打响,证券时报
56,2021-12-16,大动作！市值4600亿光伏巨头再次下调硅片价格，最大降幅5.7%！到底要干啥？,每日经济新闻
57,2021-12-16,压力大全靠怼来发泄？光伏、半导体等行业频现卖方分析师互怼,Wind
58,2021-12-16,硅料价格连续两周下跌，中环股份走势承压 连续下跌,阿尔法工场
59,2021-12-15,中环股份：210组件BOS成本优势显著，产业进程不以人的意志为转移！,索比光伏网
60,2021-12-15,晶科能源等多家光伏企业入选2021中国能源（集团）500强,凤凰网
61,2021-12-15,无处不卷的光伏行业，谁是大赢家？,YY港股圈
62,2021-12-14,中环股份：公司参股公司Maxeon发布的Maxeon Air无边框组件可直接粘贴在屋顶上,每日经济新闻
63,2021-12-14,中环股份：硅片210对比182单瓦成本低14%、对比166单瓦成本低27%,每日经济新闻
64,2021-12-14,中环股份：参股子公司MAXEON在全球范围内进一步拓展叠瓦组件的制造体系和业务开发，持续获得海外订单,每日经济新闻
65,2021-12-14,中环股份：宁夏6期项目目前处于建设阶段，11月设备陆续Move-in，预计年底形成部分产能,每日经济新闻
66,2021-12-14,中环股份：到2021年底210mm硅片产能超过54GW,北极星电力
67,2021-12-14,中环股份：公司目前未有第三代半导体材料产品,Wind
68,2021-12-14,中环股份：光伏装机容量和单晶硅片产量因各环节存货周转、产品在途运输、过程损耗等原因，存在一定差异,每日经济新闻
69,2021-12-14,中环股份：公司目前没有第三代半导体材料产品,每日经济新闻
70,2021-12-14,中环股份：银川太阳能级单晶硅材料智慧工厂及配套产业项目生产硅棒，并无硅片产出,每日经济新闻
71,2021-12-14,中环股份：预计公司叠瓦组件年底实现产能11-14GW,Wind
72,2021-12-14,中环股份：公司210产品平台型技术，涉及百余项已申报专利及自有知识产权技术,每日经济新闻
73,2021-12-14,中环股份：今年年底210预计产能超过54GW,每日经济新闻
74,2021-12-14,工业4.0之典范！中环股份子公司获评工业互联网标杆工厂,索比光伏网
75,2021-12-14,A股融资融券日报：两融余额增加51.19亿元（12月13日）,Wind
76,2021-12-13,中环股份(002129.SZ)：子公司中环领先获评工业互联网标杆工厂,格隆汇
77,2021-12-13,中环股份(002129.SZ)：子公司环晟新能源获评智能制造示范工厂,格隆汇
78,2021-12-13,中环182、218.2引热议，大战一触即发,世纪新能源
79,2021-12-13,隆基中环两大硅片巨头前后脚降价，高价硅料还撑得住吗？,腾讯网
80,2021-12-13,硅片价格是否已进入下行通道？,中国能源网
81,2021-12-13,新增产能相继投产，硅料降价预期强化,Wind
82,2021-12-11,光伏竞争火药味渐浓 硅片双巨头祭出“双杀手锏”,中国经营报
83,2021-12-10,外资持续净流入，多股20CM涨停！元宇宙概念“卷土重来”,Wind
84,2021-12-10,硅片连续降价，上游硅料价格博弈加剧,Wind
85,2021-12-09,A股共发生215宗大宗交易成交54.69亿元（12月9日）,Wind
86,2021-12-09,"中环股份现6笔大宗交易 共成交8,404.02万元",新浪
87,2021-12-09,中环股份今日大宗交易成交202.80万股，成交价41.44元溢价0.0%,Wind
88,2021-12-09,隆基股份、通威股份、阳光电源，谁是成长能力最强的光伏设备企业？,Ofweek
89,2021-12-09,A股再融资月报：11月合计募资2256亿，4家公司再融资规模超百亿，中环股份降价开启硅片价格战？,每日经济新闻
90,2021-12-09,隆基和中环打响硅片价格战，京运通的36亿元硅片营销额能成真吗？,Ofweek
91,2021-12-09,史上最贵新股今日申购！中一签需近28万，中了签也没钱交款？,Wind
92,2021-12-09,外资爆买A股！一天狂加仓近百亿！抄底宁德时代，重仓茅台、招行,Wind
93,2021-12-08,【焦点】55亿扩产，斩获36亿大单，京运通能否开启上升通道？,财华社
94,2021-12-07,硅片降价专题策划一|硅片接连降价何时反导硅料？企业人士：明年下半年产能集中释放，硅料或将快速下跌,财联社
95,2021-12-07,硅片降价专题策划二|产业链上游价格松动信号出现 组件开工回暖有望激发抢装需求,财联社
96,2021-12-07,硅片降价专题策划三|尺寸江湖再现混战 中环股份推出218.2尺寸硅片 业内人士：合适比大小更重要,财联社
97,2021-12-07,电气设备新能源行业2022年投资策略：风光蓄势待发、电力设备迎新机遇,新浪
98,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
99,2021-12-07,中环股份：协鑫集团董事长赴中环半导体宜兴产业园参观交流,e公司
100,2021-12-07,电力设备与新能源报告：重点省份规划明确 指引海上风电高速发展,新浪
101,2021-12-07,化工行业新材料板块周观点：中石化公布大额收购计划 锂电负极材料供应缺口短期持续,新浪
102,2021-12-07,预期反转，风暴之下的光伏大变局,中国能源网china5e
103,2021-12-07,硅片巨头降价 激活下游装机需求,广州日报
104,2021-12-06,机械行业：11月制造业PMI重回荣枯线上 关注制造升级投资机会,新浪
105,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
106,2021-12-06,2021年基金，买了个“寂寞”,Wind
107,2021-12-06,硅片巨头降价 光伏走势分化 业内认为利好下游光伏电站、运营商等,深圳商报
108,2021-12-06,光伏多晶硅“龙头战争”技术路线已“分道”,中国经营报
109,2021-12-06,股价三个月翻倍，百亿级基金经理大幅减仓，险资却来了,Wind
110,2021-12-06,电力设备行业第49周周报：第二批新能源大基地开始申报 光伏绿氢首个万吨级项目启动建设,新浪
111,2021-12-05,光伏板块跌势不止，隆基、中环带头下调硅片价格「光伏周评榜」,华夏时报
112,2021-12-05,电气设备行业周报：硅片加速尺寸变革推动降本 11月国内外电车销量持续向上,新浪
113,2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
114,2021-12-05,硅片赛道再现龙头降价，210“头号玩家”松口,21世纪经济报道
115,2021-12-05,隆基、中环打响硅片“价格战”，背后产业链谁将率先受益？,财联社
116,2021-12-05,突发！巨头出手，影响2万亿赛道,腾讯网
117,2021-12-05,龙头企业相继下调单晶硅片价格，光伏产业链格局生变？,金融界
118,2021-12-04,隆基、中环接连降价，硅片降价或成行业趋势,第一财经
119,2021-12-04,光伏竞争火药味渐浓 两大硅片巨头祭出价格和尺寸“杀手锏”,中国经营网
120,2021-12-04,硅片双巨头上演“价格战”，隆基否认清库存，行业拐点何时到来？,新京报
121,2021-12-04,中环股份218硅片宣布降价，硅片尺寸之争愈演愈烈,Wind
122,2021-12-04,隆基股份带头降价，光伏硅片产能过剩或出现行业拐点？,腾讯网
123,2021-12-04,“尺寸之争”重启？中环股份硅片报价最大降幅12.5%，专家：价格战论调不成立,搜狐
124,2021-12-03,【市场观潮】硅片“价格战”打响？中环股份宣布旗下硅片最高降价12.48%！,财华社
125,2021-12-03,中环股份首次披露218超大硅片报价 硅片尺寸之争愈演愈烈,e公司
126,2021-12-03,两大光伏巨头相继下调硅片价格 光伏行业或迎来拐点,证券日报网
127,2021-12-03,中环股份跟进价格战，光伏赛道拐点来临？,格隆汇
128,2021-12-03,光伏行业产能过剩？隆基股份、中环股份硅片报价纷纷大降,环球老虎财经
129,2021-12-03,硅片降价光伏或迎新变局 东旭蓝天估值修复股价稳步上扬,财富动力网
130,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
131,2021-12-03,中环反击战后，谁将成为大赢家？,Ofweek
132,2021-12-03,曾经的白酒又回来了？叫板茅台江湖地位，五粮液放大招提价！“二锅头”甩掉包袱，狂飙2连板！,雪球
133,2021-12-03,一则消息引发大涨，什么情况？,新浪
134,2021-12-03,冰火两重天！光伏产业链中下游企业股价大涨，上游企业一片“惨绿”,索比光伏网
135,2021-12-03,硅片龙头率先降价！“价格战”还是刺激下游需求？,证券之星
136,2021-12-03,北向资金净买入逾30亿元，增持银行、医疗服务板块，最青睐这只锂电龙头股（名单）,21经济网
137,2021-12-03,硅片“价格战”硝烟再起！中环股份宣布降幅最大超12% 组件、辅材等环节或受益,财联社
138,2021-12-03,中环股份硅片全线降价，210与182阵营正式开战,阿尔法工场
139,2021-12-03,千亿巨头重磅出手，2.8万亿赛道迎最强一击,Wind
140,2021-12-03,期市投资参考：中环股份下调硅片价格，国际油价集体上涨,Wind
141,2021-12-03,中环股份硅片报价降幅最大超12% “价格战”或将加速下游组件开工回暖,财联社
142,2021-12-03,突生变数！千亿巨头重磅出手，2.8万亿赛道迎最强一击！影响多大？新风口出现标志性订单，想象空间打开？,券商中国
143,2021-12-03,硅片龙头接连下调报价，价格战来了？,Wind
144,2021-12-03,震动行业！紧跟“光伏茅”，又一硅片龙头宣布降价，最大降幅达12.48%，价格战来了？,中证报
145,2021-12-02,隆基股份(601012.SH)、中环股份(002129.SZ)硅片齐降价，光伏需求拐点出现?,智通财经
146,2021-12-02,中环股份：硅片全线降价，最大降幅12.48%,Wind
147,2021-12-02,中环股份：硅片全线降价 最大降幅12.48%,中证网
148,2021-12-02,中环股份(002129.SZ)全线下调硅片价格，最大降幅12.5%,智通财经
149,2021-12-02,深港通十大成交活跃股排名（12月2日）,Wind
150,2021-12-02,芯片龙头涨停，低位高景气热门股名单来了,Wind
151,2021-12-02,A股融资融券日报：两融余额增加5.37亿元（12月1日）,Wind
152,2021-12-02,隆基硅片降价，光伏行业变局前兆？,Wind
153,2021-12-02,龙头硅片降价光伏板块普跌，年底抢装预期或将落空,Wind
154,2021-12-02,龙头硅片降价光伏板块普跌 年底抢装预期或将落空,全景网
155,2021-12-01,隆基硅片降价，光伏行业变局前兆？,第一财经
156,2021-12-01,隆基带头下调硅片价格，光伏板块闻风下跌！年底抢装恐将落空？,e公司
157,2021-12-01,金融街下午茶2021年12月1日星期三,Wind
158,2021-12-01,硅片价格战打响，光伏板块迎来利空？,金融界
159,2021-12-01,行业巨变！供求矛盾切换，光伏茅低下高昂的头,Wind
160,2021-12-01,隆基股份下调硅片报价，引发硅片企业大跌,索比光伏网
161,2021-12-01,A股资金流向：主线不明题材股炒作继续，资金挖掘低位补涨,Wind
162,2021-12-01,22家机构被套，1300亿光伏龙头跌破定增价，原因是什么？,凤凰网
163,2021-12-01,5000亿光伏龙头产品降价，单晶硅龙头遭殃，大跌6%创半年新低,AI财经社
164,2021-12-01,财报发不出却连续48个涨停、机构最新建仓股曝光,Wind
165,2021-12-01,硅片价格战正式开打？隆基股份率先降价促销 180阵营组件商或受益,财联社
166,2021-12-01,“大并购时代”必将到来？谁是中国半导体硅片的希望？,Ofweek
167,2021-11-30,晶澳科技百亿市值解禁首日跌1%，多家新能源公司将迎大比例解禁,Wind
168,2021-11-29,电气设备行业周报：关注分布式光伏及逆变器环节,新浪
169,2021-11-26,承压原料涨价又被对手“抢食” 隆基股份能否守住单晶硅龙头地位？,投资者网
170,2021-11-25,光伏企业动不动就百亿级扩产！上游原材料产能跟不上，好尴尬,时代周报
171,2021-11-24,硅片赛道太火！上下游龙头大单频出，明年恐现价格战,Wind
172,2021-11-24,资金流向分析,新浪
173,2021-11-24,中环股份：目前处于建设阶段 11月设备陆续Move-in,财联社
174,2021-11-23,中环股份：公司暂无进军上游的计划和安排，公司产能规模持续提升，8-12 英寸抛光片、外延片出货量加速攀升，产销规模同比提升90%以上，预计2021全年可实现营收超20亿元,每日经济新闻
175,2021-11-23,中环股份：目前处于建设阶段，11月设备陆续Move-in，预计年底形成部分产能，2022年底全部建设完毕。2023年底达产，总产能超过50GW,每日经济新闻
176,2021-11-23,中环股份：宁夏六期项目进展顺利，11月设备陆续Move-in，预计年底形成产能,每日经济新闻
177,2021-11-23,中环股份：截止到6月30日，公司累计并网电站项目710.32MW,每日经济新闻
178,2021-11-23,中环股份：截至9月30日，公司叠瓦组件产能8GW，产能爬坡顺利，预计年底实现产能11-14GW,每日经济新闻
179,2021-11-23,深度*行业*半导体行业周报：思瑞浦发布数字隔离产品 FPGA安路科技上市,新浪
180,2021-11-23,中金：2022年将迎来光伏装机需求大年,Wind
181,2021-11-23,机械设备行业周观点：锂电光伏设备行业景气度持续,新浪
182,2021-11-23,硅料巨头中场战事：狭路相逢，谁能获胜？,Wind
183,2021-11-22,股价暴涨50%，采购中环硅片，金刚玻璃被深交所关注？,Ofweek
184,2021-11-22,金刚玻璃(300093)：签订N型硅片大单 为HJT产线落地提供有力保障,新浪
185,2021-11-22,国君固收天津泰达控股债券投资价值深度分析：稳如“泰”山，收益必“达”,Wind
186,2021-11-22,陆家嘴财经早餐2021年11月22日星期一,Wind
187,2021-11-22,新老玩家扩产忙 硅片赛道价格战明年恐将来袭,证券时报
188,2021-11-21,超级赛道“黑马”拿下近600亿订单，千亿巨头挑战来了？,Wind
189,2021-11-21,下周操盘攻略：波动将明显加剧,Wind
190,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
191,2021-11-19,中环股份：公司210产线全部用于生产210硅片，硅片210对比182单瓦成本低14%、对比166单瓦成本低27%,每日经济新闻
192,2021-11-19,中环股份：截止到9月30日，公司叠瓦组件产能8GW，产能爬坡顺利,每日经济新闻
193,2021-11-19,中环股份：公司210硅片良品率目前超过97%,Wind
194,2021-11-19,中环股份：截至今年三季度末，公司半导体8英寸产能65万片/月，12寸产能10万片/月,每日经济新闻
195,2021-11-19,中环股份：截止到今年三季度末，公司单晶总产能73.5GW，其中G12产能43.5GW，今年年底预计产能超过85GW，G12产能55GW,每日经济新闻
196,2021-11-19,中环股份：公司前三季度半导体光伏业务板块营业收入267.8亿元，同比增长128.1%,每日经济新闻
197,2021-11-19,中环股份：公司多元化商业电站开发模式，通过地面电站、分布式电站多种形式、以自主开发或联合开发开展光伏电站的开发,每日经济新闻
198,2021-11-19,中环股份：公司生产12英寸半导体用硅片，预计2021年年末实现月产能12英寸17万片的既定目标,每日经济新闻
199,2021-11-19,[公司]助推光伏硅片行业薄片化 中环股份签6.66亿元年度单晶硅片合同,全景网
200,2021-11-19,两家新能源公司携手！629亿元市值光伏龙头签262亿元大单,Wind
201,2021-11-19,再下一城！中环股份向金刚玻璃销售6.67亿单晶硅片,Ofweek
202,2021-11-18,金刚玻璃采购6.67亿元单晶硅片 保障异质结项目原料供应,上证报
203,2021-11-18,金刚玻璃：拟向中环股份孙公司采购单晶硅片 预计总额6.67亿元,中证网
204,2021-11-18,晚间重要公告2021年11月18日星期四,Wind
205,2021-11-18,金刚玻璃再签大额采购合同 拟6.67亿买入中环股份旗下单晶硅片,e公司
206,2021-11-18,中环股份签订单晶硅片销售框架合同 预估总金额6.67亿元,上证报
207,2021-11-18,中环股份：子公司与吴江金刚玻璃签订6.67亿元的单晶硅片销售框架合同,财联社
208,2021-11-18,中环股份(002129.SZ)：子公司与吴江金刚玻璃签订6.665亿元的单晶硅片销售框架合同,格隆汇
209,2021-11-18,金刚玻璃(300093.SZ)：吴江金刚拟向中环股份下属采购6.67亿元N型G12光伏单晶硅片,智通财经
210,2021-11-18,金刚玻璃：子公司拟向中环股份下属公司采购N型单晶硅片,e公司
211,2021-11-18,金刚玻璃(300093.SZ)：子公司拟向中环股份旗下公司采购6.67亿元单晶硅片,格隆汇
212,2021-11-18,金刚玻璃：拟向中环股份下属孙公司采购6.67亿元光伏单晶硅片,新浪
213,2021-11-18,中环股份：子公司与金刚玻璃下属公司签订单晶硅片销售合同,Wind
214,2021-11-18,大手笔！百亿砸向新能源，A股火热赛道再添“一把火”,Wind
215,2021-11-18,资金流向分析,新浪
216,2021-11-16,国家大基金又出手！3亿投向这只芯片股，瑞银、摩根大通也来了,Wind
217,2021-11-15,北向资金连续3日净买入累计加仓近160亿，中国中免获净买入超6亿元,Wind
218,2021-11-15,电新行业周报：碳减排支持工具助力新能源发展 三元和铁锂占比短期趋于平衡,新浪
219,2021-11-15,碳中和行业(电新+环保)周报：高镍三元一体化降本加速 南网发布“十四五”发展规划,光大证券
220,2021-11-12,中环股份(002129.SZ)：王彦君不再担任公司副总经理一职,智通财经
221,2021-11-12,破局“缺芯少屏”，中国这些企业太勇了！,牛华网
222,2021-11-10,投融资观察第7期∣10月7家农商行发布定增计划，风险管理意识提升,搜狐
223,2021-11-10,焦点分析 | 高盛、中信争抢增发份额，中环股份怎么长成千亿光伏企业？,36氪
224,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
225,2021-11-08,【干货】光伏发电行业产业链全景梳理及区域热力地图,前瞻研究院
226,2021-11-05,A股半导体公司前三季度业绩报告：136家公司合计盈利655亿元 60家公司翻倍增长,搜狐
227,2021-11-05,北向资金结束连续6日净买入，隆基股份连续3日遭抛售累计净卖出超30亿,Wind
228,2021-11-05,机构大佬抢筹“挤破头” 中环股份定增缘何成了“香饽饽”,搜狐
229,2021-11-04,工信部通报平安金管家等38款违规App；大连开通医保、商保一站式结算平台 | 慧保日报 11.4 其他违规处罚,搜狐
230,2021-11-04,太火了！硅料价格年内涨超2倍，光伏降本成难题,时代周报
231,2021-11-04,A股收盘综述：风电股、汽车零部件股批量封板，比亚迪、金龙鱼大涨超7%,Wind
232,2021-11-04,方正证券：予中环股份(002129.SZ)“推荐”评级 G12市场渗透率提升 业绩超预期,智通财经
233,2021-11-04,A股融资融券日报：两融余额减少44.29亿元（11月3日）,Wind
234,2021-11-04,中环独家 | 关于210的一些回应,索比光伏网
235,2021-11-04,中环股份(002129)：定增落地 210产能提升保障公司高速发展,光大证券
236,2021-11-03,90亿定增落地！中环股份业绩按下“成长加速键”？,财华社
237,2021-11-03,中环90亿定增落地，23名获配对象均价45.27元,Ofweek
238,2021-11-03,公募基金持股市值创新高，社保显著加仓周期股（附表）,Wind
239,2021-11-03,景气正高的硅料丨几家欢喜几家忧，中游盈利水平待修复,财华社
240,2021-11-03,折价仅6.6%，大硅片龙头一纸定增引抢筹，有三大超预期点！,格隆汇
241,2021-11-03,华夏、易方达、高盛、瑞银一起出手！光伏巨头定增落地，牛散章建平也来了？,中国基金报
242,2021-11-03,全球上演新能源潮：新能源公司中环股份增持，造车新势力小鹏汽车崛起,Ofweek
243,2021-11-03,中环股份90亿定增遭机构哄抢 碳中和ETF（159790）连续4天净流入,资本邦
244,2021-11-03,中环股份90亿定增遭机构哄抢 瑞银、高盛等外资在列 中国人寿获配13.7亿元排第一,凤凰网
245,2021-11-03,中环股份定增落地！公私募QFII齐上阵，“黄晓明”也获配2.6亿元？,资本邦
246,2021-11-03,A股融资融券日报：两融余额减少75.11亿元（11月2日）,Wind
247,2021-11-03,极致内卷下的光伏江湖：一场风暴已经开始积聚？,36氪
248,2021-11-03,11月3日沪深两市最新交易提示,金融界
249,2021-11-02,“黄晓明”获配2.6亿元！这家新能源公司90亿定增结果出炉，知名机构抢筹,中证报
250,2021-11-02,中环股份90亿定增正式落地，瑞银、高盛等诸多国际知名投资机构现身,索比光伏网
251,2021-11-02,光伏硅料龙头90亿定增有多受追捧？高盛瑞银等外资在列，公私募、券商及险资同捧场，景林等未能获配,财联社
252,2021-11-02,中环股份90亿定增落地 公私募QFII爆买，牛散章建平隐现,每日经济新闻
253,2021-11-02,硅料龙头复牌暴涨81%，这只基金净值也被“带飞”,Wind
254,2021-11-02,中环股份(002129.SZ)1.99亿股新增股份于11月5日上市,智通财经
255,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
256,2021-11-02,中环股份(002129.SZ)90亿定增出炉：大家资产两只产品共获配约12亿元,格隆汇
257,2021-11-02,TCL科技：公司合计持有中环半导体29.8%股份,Wind
258,2021-11-02,A股资金流向：主要行业主力资金悉数出逃，光伏股遭大幅抛售,Wind
259,2021-11-02,中环股份：公司目前210产品良率97%以上，整片率98.5%以上,每日经济新闻
260,2021-11-02,中环股份：宁夏六期项目按进度实施，11月份开始设备搬入，预计年底开始形成产能逐步投产,每日经济新闻
261,2021-11-02,中环股份：宁夏六期项目预计年底开始形成产能逐步投产,Wind
262,2021-11-02,光伏板块震荡休整，上机数控封住跌停板,Wind
263,2021-11-02,A股融资融券日报：两融余额增加47.83亿元（11月1日）,Wind
264,2021-11-01,万和证券首予中环股份增持评级：经营业绩高速增长，大尺寸硅片规模加速提升,每日经济新闻
265,2021-11-01,万和证券：给予中环股份增持评级,证券之星
266,2021-11-01,中天火箭：隆基股份、中环股份均为公司客户,Wind
267,2021-11-01,电气设备行业周报：光伏产业链价格涨势趋缓,新浪
268,2021-11-01,光伏等新能源板块午后回落，天合光能较高点回落近10%,Wind
269,2021-11-01,"中环股份：依托工业4.0及智能制造优势，公司劳动生产率和G12产线直通率大幅度提升，人均劳动生产率达到1,000万元/人/年以上",每日经济新闻
270,2021-11-01,中环股份：N型硅片厚度主要为140-150μm，公司通过减薄硅片厚度缓解下游电池、组件客户的成本压力,每日经济新闻
271,2021-11-01,中环股份：公司通过启动天津新工厂的建设、加速江苏宜兴二期项目的实施，快速扩充产能，将较原计划提前实现6英寸及以下100万片/月，8英寸 100万片/月，12英寸60万片/月的产能目标,每日经济新闻
272,2021-11-01,中环股份：截至三季度末，半导体方面产能8英寸65万片/月，12英寸10万片/月；预计2021年末实现8英寸产能75万片/月，12英寸17万片/月,每日经济新闻
273,2021-11-01,A股融资融券日报：两融余额减少52.62亿元（10月29日）,Wind
274,2021-10-31,“拥硅为王”时代或将终结！投资逻辑怎么演变？,Wind
275,2021-10-31,论中环的格局？,半导体风向标
276,2021-10-31,几家欢喜几家愁，光伏企业第三季度盈利能力极端分化,索比光伏网
277,2021-10-30,预见2022：《2022年中国光伏发电行业全景图谱》(附市场供需、竞争格局、发展前景等),前瞻研究院
278,2021-10-29,投资者向中环股份提问有无收购隆基股份的计划 公司称“目前没有相关计划”,金融界
279,2021-10-29,中环股份：G12硅片的市场渗透率由年初6%提升至20%，单晶总产能提升至73.5GW,每日经济新闻
280,2021-10-29,QFII投资路径曝光：布局龙头，青睐科技+成长,Wind
281,2021-10-29,中环股份：公司光伏产品销售与销售策略、订单情况、上下游供需情况相关,每日经济新闻
282,2021-10-29,隆基股份午后猛烈拉升，光伏板块重拾升势,Wind
283,2021-10-28,中环股份：三季度业绩高增，持续建立领先优势【民生电新】,电新邓永康团队
284,2021-10-28,资本动态 | 隆基股份前三季度净赚逾75亿元，毛利率下滑近7个百分点,财经网
285,2021-10-27,中环股份：全面开花,半导体风向标
286,2021-10-27,中环股份业绩创新高，却也面临硅片“内卷”风险,21世纪经济报道
287,2021-10-27,中环股份三季报数据解析：业绩靓丽是外在 能力继续,中经导报
288,2021-10-27,每日报告回放,新浪
