,2021-12-29,新浪医药年度盘点丨合久必分？2021医药行业十大拆分剥离动态 有人为“升级” 有人为“保命”,新浪
89,2021-10-29,人福医药公布三季报 前三季净利增加78.55%,新浪
90,2021-10-29,人福医药：5509万股限售股11月5日上市流通 解禁,Wind
91,2021-10-29,人福医药：前三季度净利润同比增长78.55%,Wind
92,2021-10-26,医药生物行业双周报：行业估值合理 择优布局优质标的,新浪
93,2021-10-26,人福医药所持光谷人福股份增至52.85%,乐居财经
94,2021-10-22,人福医药集团股份公司关于 控股股东部分股份解除质押及再质押的公告,证券时报
95,2021-10-21,人福医药：当代科技解质1226万股，占总股本0.75%,乐居财经
96,2021-10-21,人福医药(600079.SH)控股股东解质1226万股及再质押2566万股,智通财经
97,2021-10-20,人福医药：公司及全资或控股子公司对外担保总额约66.71亿元 大额借贷担保,每日经济新闻
98,2021-10-20,北向资金动向盘点：人民币升值或引发大规模净流入,Wind
99,2021-10-19,A股并购“水逆”的公司，现在都怎么样了？,Wind
100,2021-10-18,人福医药(600079.SH)控股股东当代科技解质1680万股,智通财经
101,2021-10-18,陆家嘴财经早餐2021年10月18日星期一,Wind
102,2021-10-15,人福医药投资成立医疗科技公司，注册资本1000万,贝壳财经
103,2021-10-08,人福医药全资子公司磷酸奥司他韦胶囊获得美国FDA批准,新浪
104,2021-10-08,人福医药(600079.SH)：磷酸奥司他韦胶囊获得美国FDA批准文号,格隆汇
105,2021-09-30,人福医药集团股份公司 2021年第三季度报告,证券日报
106,2021-09-29,中医药产业化路径日渐明晰，下半年业绩看好,Wind
107,2021-09-28,今年首期价格招采信用评价“严重”和“特别严重”失信评定结果公布,Wind
108,2021-09-28,人福医药：获中国上市公司价值评选“A股上市公司社会责任奖”,e公司
109,2021-09-27,人福医药：董事长累计增持30.07万股，增持金额合计589.77万元,乐居财经
110,2021-09-27,人福医药(600079.SH)董事长李杰耗资589.77万元增持30.07万股,智通财经
111,2021-09-27,人福医药(600079.SH)：董事长李杰已增持30.07万股,格隆汇
112,2021-09-27,北上资金流入A股速度趋缓，连续七周加仓16股,Wind
113,2021-09-26,聪明资金最新动向曝光！连续11周加仓这个行业,Wind
114,2021-09-24,A股万亿常态成交，三季度以来逾千家公司获机构调研,Wind
115,2021-09-23,热门公司调研机构云集，34家看涨逾100%,Wind
116,2021-09-23,人福医药：通过国家技术创新示范企业复核评价,e公司
117,2021-09-23,人福医药：通过国家技术创新示范企业复核评价,Wind
118,2021-09-23,失信都怪前员工，增持难改八连跌，人福医药撞上“枪口”,中金在线
119,2021-09-22,医药行业周报：关节集采降价温和 板块情绪开始回暖,新浪
120,2021-09-22,人福医药子公司因商业贿赂被评严重失信：正积极沟通，修复信用 关联方问题,Wind
121,2021-09-22,人福医药：控股股东当代科技质押公司176万股股份，占总股本0.11%,乐居财经
122,2021-09-22,人福医药：控股股东当代科技累计质押股数约为3.87亿股,每日经济新闻
123,2021-09-22,人福医药(600079.SH)控股股东当代科技质押176万股,智通财经
124,2021-09-22,人福医药：正在积极沟通 消除修复负面影响 | 公司问答,第一财经
125,2021-09-22,医药行业一周观察：药械集采常态化 无需过度悲观,新浪
126,2021-09-22,人福医药回应子公司因商业贿赂行为被评“严重失信”：系前员工的个人行为 关联方问题,Wind
127,2021-09-22,大肉签中一签赚5万、最新业绩连续增长股出炉,Wind
128,2021-09-22,陆家嘴财经早餐2021年9月22日星期三,Wind
129,2021-09-21,人福医药：实控人及董事长宣布增持 增持金额不超4000万元,证券时报网
130,2021-09-21,提振市场信心：人福医药实控人和董事长同时增持近4000万,经济观察网
131,2021-09-21,假期影响A股十大事件来了！,Wind
132,2021-09-21,晚间重要公告2021年9月21日星期二,Wind
133,2021-09-21,晚间公告｜9月21日这些公告有看头,第一财经
134,2021-09-21,人福医药(600079.SH)实际控制人、董事长拟增持公司股份,智通财经
135,2021-09-21,人福医药：实控人、董事长拟合计增持2000万元至4000万元公司股份,e公司
136,2021-09-21,人福医药：实际控制人、董事长拟合计增持2000万元至4000万元,Wind
137,2021-09-21,两家药企上“黑名单”，17万股东揪心,Wind
138,2021-09-17,人福医药：控股股东解质176万股，占总股本0.11%,乐居财经
139,2021-09-17,人福医药(600079.SH)控股股东解除质押176万股,智通财经
140,2021-09-17,人福医药：注射用苯磺酸瑞马唑仑获批临床试验,财联社
141,2021-09-14,养老金重仓股揭晓 人福医药、分众传媒持仓市值超10亿元,第一财经
142,2021-09-14,万亿养老金重仓股揭晓！去年投资收益率超10%,Wind
143,2021-09-09,人福医药：董事王学海减持时间区间届满 减持股份,每日经济新闻
144,2021-09-09,人福医药：王学海累计减持公司股份194.51万股 减持股份,Wind
145,2021-09-09,人福医药(600079.SH)董事王学海减持194.51万股 减持时间已届满 减持股份,智通财经
146,2021-09-08,医药生物行业2021年中报总结：创新投入力度持续增强 CXO、消费医疗和生物制品增长更快,广发证券
147,2021-09-06,人福医药今日大宗交易成交101.76万股，成交价22.44元溢价0.0%,Wind
148,2021-09-02,私募大佬最新持股曝光！冯柳、邓晓峰500亿重仓这些票,Wind
149,2021-09-01,人福医药(600079.SH)以13.15元/股的价格授出2236.9万股限制性股票,智通财经
150,2021-09-01,医药与健康护理行业月报：智飞生物新冠疫苗III期数据优异 对变异株仍然有效,新浪
151,2021-09-01,私募大佬持仓出炉！冯柳、邓晓峰、葛卫东、裘国根、赵军等心水股有哪些,Wind
152,2021-09-01,人福医药集团股份公司关于控股股东部分股份解除质押及再质押的公告,证券时报
153,2021-08-31,人福医药：股东当代科技累计质押3.87亿股股份,乐居财经
154,2021-08-31,人福医药(600079.SH)控股股东当代科技解押及再质押350万股,智通财经
155,2021-08-31,机构二季度持股趋分散，增持蓝筹白马,Wind
156,2021-08-29,上市公司中报披露进入密集期，多位私募大佬最新持股浮出水面,Wind
157,2021-08-27,人福医药(600079)：业绩符合预期 麻醉药品高增长,国联证券
158,2021-08-26,工业商业齐发力 人福医药上半年业绩稳健增长,证券日报网
159,2021-08-26,晚间重要公告2021年8月26日星期四,Wind
160,2021-08-26,人福医药上半年实现净利6.62亿元,北京商报
161,2021-08-26,人福医药2021年上半年实现净利润6.62亿元，同比增长68.88%,经济观察网
162,2021-08-26,人福医药：上半年净利润同比增长68.88%,Wind
163,2021-08-24,艾路明：砥砺奋进30年，人福医药与上海证券报共成长,中国证券网
164,2021-08-23,国家企业技术中心勇当创新先锋,经济日报
165,2021-08-23,加大投入培育长期竞争力,经济日报
166,2021-08-20,千万抗抑郁药品种市场，又迎来一位竞争者！,制药网
167,2021-08-19,华森制药：购买的人福医药的产品因疫情原因，场地验证以及技术转移有所推迟，目前正在积极推进相关工作,每日经济新闻
168,2021-08-18,人福医药子公司一款治疗抑郁症药物获批,贝壳财经
169,2021-08-18,晚间重要公告2021年8月18日星期三,Wind
170,2021-08-18,人福医药：盐酸安非他酮缓释片获得药品注册证书,Wind
171,2021-08-13,人福医药：公司及全资或控股子公司对外担保总额约为62.84亿元 大额借贷担保,每日经济新闻
172,2021-08-13,湖北黄冈奋力补强工业经济短板,新浪
173,2021-08-12,人福医药(600079.SH)子公司获得政府补助3000万元,智通财经
174,2021-08-11,人福医药集团：公司债券信息披露事务负责人变更为吴亚君,Wind
175,2021-08-10,Wind医药：每日行业动态（2021-08-10）,Wind
176,2021-08-09,人福医药(600079.SH)：盐酸文拉法辛缓释胶囊获得美国FDA批准文号,智通财经
177,2021-08-09,人福医药：盐酸文拉法辛缓释胶囊获美国FDA批准文号,财联社
178,2021-08-05,A股早报2021年8月5日星期四,Wind
179,2021-08-04,晚间重要公告2021年8月4日星期三,Wind
180,2021-08-02,回眸大健康——2021年7月医药大事记,中国经济网
181,2021-07-27,恒瑞医药一度跌超6%，市值重回3500亿元位置,Wind
182,2021-07-26,湖北省高技术制造业增加值增长51.7% 创新力量交出优异“期中卷”,湖北日报
183,2021-07-23,人福医药：公司子公司葛店人福拟在黄冈市投资建设原料药生产基地,Wind
184,2021-07-21,婴童概念中报预喜股出炉，聪明资金抢先盯上这10股,Wind
185,2021-07-20,张坤最新重仓股来了，傅友兴、冯波到底买了什么？,Wind
186,2021-07-19,人福医药(600079.SH)每股派0.1元 股权登记日为7月26日,智通财经
187,2021-07-17,医药与健康护理行业周报：中报预告相继披露 关注业绩高增长公司,新浪
188,2021-07-17,156个药“踢出”医保，3个注射剂被调查！恒瑞、齐鲁……105个国采非中选药品挂网价曝光 其他违规处罚,米内网
189,2021-07-17,上市公司正负面新闻2021年7月17日星期六,Wind
190,2021-07-16,7月17日上市公司重要公告集锦：片仔癀上半年净利11.14亿元 同比增28.85%,证券日报之声
191,2021-07-16,晚间重要公告2021年7月16日星期五,Wind
192,2021-07-16,医药生物行业周报：公立医院高质量发展试点先行 加快优质医疗资源扩容布局,新浪
193,2021-07-16,7月16日晚间上市公司十大重磅公告,巨丰财经
194,2021-07-16,7月16日中国铝业、片仔癀等11家公司公告出现利好,证券之星
195,2021-07-16,晚间公告｜7月16日这些公告有看头,第一财经
196,2021-07-16,人福医药：子公司拟15亿元投建原料药生产基地,e公司
197,2021-07-16,人福医药(600079.SH)拟投15亿元于黄冈建设原料药生产基地,智通财经
198,2021-07-16,财联社7月16日讯，人福医药公告，控股子公司拟投资建设黄冈·人福医药国际高端新型特色原料药产业化生产基地，总投资额约为15亿元。,财联社
199,2021-07-14,开源证券维持人福医药买入评级，公司信息更新报告：股权激励落地，激发中长期发展动力,每日经济新闻
200,2021-07-14,眼科医疗板块大涨，产业链迎暑期催化，二季度净利增长可期,第一财经
201,2021-07-14,巨丰早参：工信部等部门发布网络产品安全漏洞规定,巨丰财经
202,2021-07-13,A股异动 | 人福医药(600079.SH)涨停 拟推2353.9万股限制性股票激励计划,格隆汇
203,2021-07-13,上市公司正负面新闻2021年7月13日星期二,Wind
204,2021-07-12,晚间重要公告2021年7月12日星期一,Wind
205,2021-07-12,湖北区域股市周报：板块总市值涨379亿 泰晶科技涨37.36%涨幅第一,每日经济新闻
206,2021-07-12,人福医药(600079.SH)拟推2021年限制性股票激励计划 授予价为13.25元/股,智通财经
207,2021-07-12,人福医药(600079.SH)拟推2353.90万股限制性股票激励计划,格隆汇
208,2021-07-12,人福医药：拟向激励对象946人授予限制性股票约2353万股,每日经济新闻
209,2021-07-12,人福医药：拟进行股权激励，其中首次授予限制性股票2236.9035万股,Wind
210,2021-07-11,29个创新药申请临床，5款新药报产，3款新药获批！汇伦医药、乐普生物、人福医药重磅发力,药通社
211,2021-07-09,交易盘点第4弹：2021年上半年TOP10国内授权交易榜单出炉！,GBIHealth
212,2021-07-08,光谷生物城：7年蜕变，后来居上,中国医药报
213,2021-07-08,中银旗下部分基金率先发布二季报,Wind
214,2021-07-07,缓控释制剂TOP20曝光！6大产品抢手，正大天晴、齐鲁、东阳光药......19个首仿来了,米内网
215,2021-07-06,人福医药集团股份公司关于控股股东股份质押的公告,中证报
216,2021-07-05,人福医药(600079.SH)控股股东当代科技质押股数100万股,智通财经
217,2021-07-01,医药与健康护理行业月报：国内疫苗接种量高速增长 关注新冠疫苗出海机会,新浪
218,2021-07-01,人福医药(600079.SH)控股股东解质200万股,智通财经
219,2021-06-27,【开源医药】行业周报：关注集采下原料药企业的业绩增量和医疗服务投资价值,微信
220,2021-06-25,药企的“减法”之路：回看人福医药的“归核化”战略,中国医药报
221,2021-06-21,财经药点丨药企的“减法”：“三孩政策”后，回看人福医药再卖杰士邦,中国医药报
222,2021-06-21,当代集团艾路明：唯有不断创新才能突破行业“天花板”,21世纪经济报道
223,2021-06-18,人福医药获评2021年湖北最具投资者认可度上市公司,凤凰网
224,2021-06-13,医药与健康护理行业周报：鼻喷雾式/吸入型新冠疫苗正在申请紧急使用,新浪
225,2021-06-10,人福医药：原始创新品种逐渐显现 细分市场竞争力不断增强,证券时报网
226,2021-06-10,证券时报首届药物创新济世奖年度评选颁奖典礼在上海举行,e公司
227,2021-06-08,人福医药(600079.SH)董事王学海累计减持145.51万股 减持期过半 减持股份,智通财经
228,2021-06-08,人福医药：董事王学海减持计划时间已过半,每日经济新闻
229,2021-06-08,人福医药：董事王学海累计减持公司0.09%股份 减持股份,Wind
230,2021-06-07,【开源医药】行业周报：第五批集采目录发布，看好创新产业链和医疗服务,微信
231,2021-06-07,医药与健康护理行业周报：广东地区疫情反复 核酸检测需求大增,新浪
232,2021-06-06,【一图一药】撤市9年后，人福医药的磷丙泊酚二钠以中国一类新药上市申请获NMPA批准！,药渡
233,2021-06-04,麻药龙头人福医药牵手华西医院共研新药,21世纪经济报道
234,2021-06-03,人福医药：目前公司没有发行可转债的计划,每日经济新闻
235,2021-06-03,人福医药与华西医院签订项目合作 持续提升创新药领域竞争力,证券时报
236,2021-06-03,人福医药：子公司与华西医院签署4亿元技术（合作）开发合同,中证网
237,2021-06-03,人福医药(600079.SH)子公司拟与华西医院就新型骨骼肌松弛药物YJJS-71进行研发合作,智通财经
238,2021-06-02,人福医药跌3.79%，创近2个月新低 连续下跌,中新经纬
239,2021-06-02,西药板块单边下行，恒瑞医药、人福医药均跌近4%,Wind
240,2021-06-01,医药与健康护理行业月报：国内疫情防控新阶段 跟进检测需求和疫苗接种情况,新浪
241,2021-06-01,拟将当代文体控股权转予国资 当代集团要对旗下上市公司资产弃一保二？,每日经济新闻
242,2021-06-01,医药生物行业周观点：关注行业政策 把握细分领域窗口配置期,新浪
243,2021-05-31,八大券商主题策略：医药板块兼具科技加消费属性！未来3-5年是国产疫苗的黄金时代,中金在线
244,2021-05-30,医药与健康护理行业周报：国内疫情防控新阶段 关注疫苗接种情况,新浪
245,2021-05-28,医药生物行业周报：板块结构性调整 关注优质赛道估值合理个股,新浪
246,2021-05-28,人民金融·创新药指数再添4公司 狂犬单抗有望成大品种,全景网
247,2021-05-27,人民金融·创新药指数涨1.4% | 华北制药、兴盟生物狂犬单抗有望成大品种，传奇生物CAR-T疗法获FDA优先审评,证券时报网
248,2021-05-25,人福医药(600079.SH)：麻醉药注射用磷丙泊酚二钠获药品注册证书,智通财经
249,2021-05-24,去年扣非净利增长四成 解码人福医药“归核聚焦”战略,21世纪经济报道
250,2021-05-24,人福医药：公司产品盐酸安非他酮缓释片已上市销售,每日经济新闻
251,2021-05-24,晨会聚焦210524重点关注社会服务、海外银行、传媒、医药、卓胜微,国信研究
252,2021-05-23,从首个科技企业孵化器到世界级科技生态新城，光谷有何秘诀,第一财经
253,2021-05-22,医药与健康护理行业周报：新股上市浪潮 关注板块价值机会,新浪
254,2021-05-18,速读社丨渤健携手Capsigen合作开发基因疗法 首个阿昔替尼仿制药即将获批上市,新浪医药
255,2021-05-18,人福医药(600079.SH)：宜昌人福氯化钾缓释片获批上市,格隆汇
256,2021-05-17,【国君金工】核心指数成分股调整名单及冲击成本预测,辰奥临君
257,2021-05-17,医药行业一周观察：医药板块强势反弹 关注疫苗及全球化创新,新浪
258,2021-05-17,抗癌治癌板块走强 人福医药涨幅居前,新浪
259,2021-05-15,人民金融·创新药指数微涨 两款重磅新药临近获批,全景网
260,2021-05-14,智飞生物、人福医药创新药进入行政审批阶段,e公司
261,2021-05-13,人民金融·创新药指数涨0.86% | 沃森生物、丽珠集团等新冠疫苗取得重要进展，智飞生物、人福医药重磅新药临近获批,证券时报网
262,2021-05-10,人福医药(600079.SH)：控股子公司咪达唑仑口服溶液获药品注册证书,智通财经
263,2021-05-10,人福医药(600079.SH)：宜昌人福咪达唑仑口服溶液获批上市,格隆汇
264,2021-05-10,晨会聚焦210510重点关注通信、计算机、保险、钢铁、汽车汽配、社会服务、纺织服装、证券、医药、家电,国信研究
265,2021-05-07,5月7日晚间重要行业研究汇总(附股),中金在线
266,2021-05-07,国信证券--人福医药2020年报及2021一季报点评：麻醉药稳健增长，高壁垒赛道强者恒强【公司研究】,金融界股吧
267,2021-05-06,社保基金长线坚守36只股（附股）,证券时报网
268,2021-05-06,人福医药：一季度营收增速转正 控股股东股权质押比例较高,面包财经
269,2021-05-03,顶流私募最新持仓曝光！冯柳、张磊、邓晓峰、葛卫东、杨东等全来了,Wind
270,2021-05-01,国联证券5月金股组合,国联研究
271,2021-04-30,天风证券非公开发行股票结果出炉累计募资近81.79亿元,北京商报
272,2021-04-30,人福医药：HW021199片获得临床试验通知书,e公司
273,2021-04-30,人福医药(600079.SH)：HW021199片获得临床试验通知书,智通财经
274,2021-04-30,人福医药HW021199片获批临床 适用于特发性肺纤维化治疗,新浪
275,2021-04-30,人福医药长期高负债 频繁出售非核心资产“解压” 偿债能力下降,科技新闻网
276,2021-04-30,社保基金连续4个季度以上持有191股 最长已持有50个季度,证券时报网
277,2021-04-30,人福医药4月29日现5笔大宗交易,证券时报网
278,2021-04-29,A股共发生113宗大宗交易成交36.87亿元（4月29日）,Wind
279,2021-04-29,人福医药今日大宗交易成交533.40万股，成交价32.21元折价2.01%,Wind
280,2021-04-29,顶流机构持仓：张坤“挥别”爱股，谢治宇“新欢”涨停,Wind
281,2021-04-29,冯柳、景林、礼仁最新持仓动向来了！,Wind
282,2021-04-29,社保基金长线坚守31只股（附股）,证券时报网
283,2021-04-29,人福医药(600079)：麻药增长迅速 归核稳步推进,广发证券
284,2021-04-29,信号？冯柳一季度净卖出超百亿元A股，全买了港股？,Wind
285,2021-04-28,养老金一季度现身63只股前十大流通股东榜,证券时报网
286,2021-04-27,人福医药(600079.SH)年度归母净利同比增长36.31%至11.485亿元 每10股派1元,智通财经
287,2021-04-27,人福医药(600079.SH)2020年度净利润升36.31%至11.49亿元拟10派1元,格隆汇
288,2021-04-27,人福医药(600079.SH)一季度净利润升120.22%至3.01亿元,格隆汇
289,2021-04-27,人福医药：2020年净利润同比增长36.31%,Wind
290,2021-04-27,人福医药：独董王学恭辞职 董监高成员变化,Wind
291,2021-04-27,人福医药：一季度净利润同比增长120.22%,Wind
292,2021-04-23,人福医药今日大宗交易成交133.42万股，成交价31.39元溢价0.0%,Wind
293,2021-04-20,人福医药(600079.SH)拟为人福湖北等14家子公司综合授信提供担保 大额借贷担保,智通财经
294,2021-04-13,昔日“发审委一姐”郭旭东加盟当代集团！“当代系”财务隐忧下迎来解局者？,环球老虎财经
295,2021-04-13,国信证券--医药行业一周观察：关注财报季投资机会，第四批药品集采即将落地执行【行业研究】,金融界股吧
296,2021-04-12,国信证券：关注医药行业财报季超预期机会，推荐三条主线,Wind
297,2021-04-12,医药与健康护理行业周报：年报一季报相继披露 看好业绩确定性高的医药白马,新浪
298,2021-04-08,Wind医药：每日行业动态（2021-04-08）,Wind
299,2021-04-08,医药生物行业：医疗体系运行常态化 看好一季度业绩表现,广发证券
300,2021-04-06,人福医药(600079.SH)：盐酸纳布啡注射液和咪达唑仑注射液通过一致性评价,格隆汇
301,2021-04-06,人福医药(600079.SH)拟从健益兴禾退伙收回原始投资金额5000万元,智通财经
302,2021-04-06,人福医药(600079.SH)：盐酸美金刚缓释胶囊获美国FDA批准文号,智通财经
303,2021-04-06,人福医药(600079.SH)：宜昌人福两款药品通过仿制药一致性评价,智通财经
304,2021-04-06,人福医药：盐酸美金刚缓释胶囊获得美国FDA批准文号,Wind
305,2021-04-05,医药行业一周观察：调整后重归均衡 关注内生成长明确的一二线公司,新浪
306,2021-04-02,国信证券--医药生物行业2021年4月投资策略：调整后更均衡，优选内生成长【行业研究】,金融界股吧
307,2021-04-02,医药与健康护理行业月报：年报相继披露 关注高增长公司及A+H股医药投资机会,新浪
308,2021-04-01,晨会聚焦210401重点关注纺织服装、医药生物、安克创新、药明康德、新和成、卓胜微、中芯国际-U、华熙生物、周大生、宇信科技,国信研究
309,2021-03-31,国联证券研究所4月金股组合,国联研究
