,2021-12-31,光伏风电储能：华创证券坚定看好新能源“三剑客”,智通财经
53,2021-12-21,严打“假外资”影响几何？北向资金连续2日净卖出，出逃这些股（名单）,21世纪经济报道
54,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
55,2021-12-20,国电南瑞：公司已形成基于电力电子技术的风电变流器、储能变流器、光伏逆变器等成熟系列产品,Wind
56,2021-12-20,国电南瑞：公司IGBT项目目前尚处于投资建设阶段,Wind
57,2021-12-20,泽宇智能：公司在江苏的竞争对手有国电南瑞、金智科技等,每日经济新闻
58,2021-12-20,新型电力系统建设提速，机构关注概念股,Wind
59,2021-12-19,招商策略：内资陆股通交易监管影响如何？,Wind
60,2021-12-19,产业规模剑指2000亿元，这个特区城市有新规划，概念股沸腾。电力细分概念走强，机构关注个股名单抢先看,证券时报网
61,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
62,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
63,2021-12-17,特高压指数勇创新高！国家创新能力重要标志、机构吹风十四五更强需求周期,Wind
64,2021-12-17,国电南瑞(600406.SH)：全资子公司更名为“北京南瑞数字技术有限公司” 业务变化,格隆汇
65,2021-12-17,国电南瑞(600406.SH)限制性股票激励计划获国家电网公司批复,智通财经
66,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
67,2021-12-17,中信证券：逆周期调节和用电量增长有望加快推动电网电源投资,格隆汇
68,2021-12-17,北向资金买入力度加大，抢筹钢铁行业（名单）,21世纪经济报道
69,2021-12-17,净买入超820亿元，北上资金单月流入金额又创新高,Wind
70,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
71,2021-12-15,能源IT隐形冠军！市值仅120亿，国网七大配电主站供应商之一，业务对标两千亿巨头国电南瑞，机构强烈推荐,新浪
72,2021-12-15,淡化总量重视结构，新型电力系统投资要看“三支箭”,智通财经
73,2021-12-15,A股午盘综述：成渝经济圈概念股火了！百济神州亮相科创板一度跌近20%,Wind
74,2021-12-15,北向资金动向盘点：两条主线清晰明了，但已无新能源,Wind
75,2021-12-15,北向资金抢筹逾60亿元，扫货股一览（名单）,21世纪经济报道
76,2021-12-15,北向资金抢筹逾60亿元，扫货股一览（名单）,21经济网
77,2021-12-15,“国网系”股权激励接二连三 细节设置彰显央企普惠理念,上证报
78,2021-12-15,【国君通信|公司深度】映翰通：配网智能化改造赋能，工业物联网边界拓宽,微信
79,2021-12-14,华西证券：给予东方电子买入评级,证券之星
80,2021-12-14,A股主力资金流向：净流出额创一个半月新高，新能源、周期股集体遭抛售,Wind
81,2021-12-14,聚焦电网投资,搜狐
82,2021-12-13,解盘：资金持续回流，特高压、网游、基建、元宇宙领涨,Wind
83,2021-12-13,快讯：国电南瑞涨停 报于44.73元,金融界
84,2021-12-13,A股午盘综述：沪指放量涨1%，时隔3个月重返3700点！元宇宙概念再度爆发,Wind
85,2021-12-13,特高压板块拉升 国电南瑞、许继电气大涨超9%,上证报
86,2021-12-13,特高压概念股起飞，国电南瑞、许继电气、四方股份领衔上涨,Wind
87,2021-12-10,管清友：新能源汽车行业2022年度展望（中）,新浪
88,2021-12-10,35股获券商买入评级，恒为科技目标涨幅达96.28%,Wind
89,2021-12-10,外资单日抢筹A股超200亿，跨年行情开启？人民币汇率隔夜逆转,Wind
90,2021-12-09,52股获买入评级 最新:保 龄 宝,中财网
91,2021-12-09,国电南瑞(600406)：迎接智能电网浪潮 发力网外新方向,新浪
92,2021-12-09,债券重大事件2021年12月9日星期四,Wind
93,2021-12-09,全面回暖！外资单日抢筹A股超200亿，跨年行情开启？,Wind
94,2021-12-09,国电南瑞：债务融资工具获准注册,Wind
95,2021-12-09,国电南瑞(600406.SH)债务融资工具获准注册,智通财经
96,2021-12-09,【东吴电新】国电南瑞：发布股权激励草案，多元考核提振骨干积极性,新兴产业汇
97,2021-12-09,国电南瑞(600406)：绑定核心人员利益 彰显长期增长信心,光大证券
98,2021-12-09,又有外资巨头出手“抄底”，这次竟然是TA！,Wind
99,2021-12-09,A股突然启动上涨，茅台收复2000元，人民币连创新高！,Wind
100,2021-12-08,国电南瑞(600406.SH)：普瑞工程拟以盈余公积3.19亿元和未分配利润0.81亿元转增注册资本,格隆汇
101,2021-12-08,【兴证策略 | 陆股通】配置盘与交易盘在哪些行业出现“分歧”？,尧望后势
102,2021-12-08,国电南瑞：拟推不超3998万股限制性股票激励计划,财联社
103,2021-12-08,国电南瑞：拟向激励对象1300人授予限制性股票3998.14万股,每日经济新闻
104,2021-12-08,国电南瑞(600406.SH)拟推不超3998.14万股限制性股票激励计划,格隆汇
105,2021-12-08,国电南瑞(600406.SH)拟推出2021年限制性股票激励计划 授予价为21.04元/股,智通财经
106,2021-12-08,国电南瑞(600406.SH)50亿元超短期融资券获准注册,格隆汇
107,2021-12-08,映翰通(688080)：配网智能化改造核心标的 工业物联网空间广阔,新浪
108,2021-12-07,电气设备新能源行业2022年投资策略：风光蓄势待发、电力设备迎新机遇,新浪
109,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
110,2021-12-07,国电南瑞：今年以来公司已完成建设首条全自动封装测试生产线，具有自主知识产权的3300V/1500A IGBT器件已在厦门柔直换流站挂网使用,每日经济新闻
111,2021-12-07,国电南瑞：武汉南瑞不是国电南瑞下属公司,每日经济新闻
112,2021-12-07,电气设备行业周报：光伏硅片下调报价 产业博弈出现拐点,新浪
113,2021-12-07,外资月报第26期：外围扰动加剧 配置盘稳步流入,新浪
114,2021-12-07,市场资金面周观察：降准预期再起 股市流动性回暖,新浪
115,2021-12-06,电力设备及新能源行业周报：风光大基地二期再加码 装机需求或将迎复苏,新浪
116,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
117,2021-12-06,电力设备新能源行业周报：“蔚小理哪”11月销量破万 第二批风光大基地启动,新浪
118,2021-12-06,2021年基金，买了个“寂寞”,Wind
119,2021-12-06,国电南瑞：近年来公司积极布局发展储能业务，产品及解决方案已成功应用于电网侧、发电侧及用户侧等多个项目,每日经济新闻
120,2021-12-06,环保与公用事业行业周报(2021年第46期)：工业和信息化部印发工业绿色发展规划 加快能源消费低碳化转型,新浪
121,2021-12-06,国电南瑞：公司业务不涉及钒电池,Wind
122,2021-12-05,新能源行业每周观察：行业趋势已成：详解长沙国际储能大会四大看点,新浪
123,2021-12-05,本周北向资金重点增持环保行业，狂买“宁王”22亿元，减仓这些个股（名单）,21世纪经济报道
124,2021-12-04,A股市场领涨全球，监管同意开展账户管理功能优化试点工作,Wind
125,2021-12-04,北上资金年度净买入刷新历史纪录,Wind
126,2021-12-03,A股市场领涨全球，北上资金已开始“按捺不住”？,Wind
127,2021-12-03,国电南瑞荣获2021“金责奖”最佳责任进取奖,新浪
128,2021-12-02,北向资金今日净买入30.21亿元，宁德时代连续6日净买入累计加仓超24亿,Wind
129,2021-12-02,北向资金动向盘点：批量净卖新能源个股,Wind
130,2021-12-02,北向资金加仓A股30亿元，增持医疗服务业逾8亿元，抢筹这些龙头股（名单）,21世纪经济报道
131,2021-12-02,中金：智能电网浪潮已至，掘金“专精特新”小巨人,Wind
132,2021-12-02,中金：智能电网浪潮已至，掘金“专精特新”小巨人,中金点睛
133,2021-12-01,北向资金12月首个交易日加仓A股30亿，紫光国微净买入超6亿元,Wind
134,2021-12-01,北向资金甩卖白酒股逾24亿，增持医疗服务，这些个股受青睐（名单）,21世纪经济报道
135,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
136,2021-11-30,陆股通月报：11月北上资金有何动向？,新浪
137,2021-11-30,全国上下一盘棋 新能源政策推动储能板块持续上涨,和讯
138,2021-11-30,特高压概念股下探,Wind
139,2021-11-30,电力设备及新能源行业周报：政策推动分布式规范发展 提升电网智能化水平,新浪
140,2021-11-30,电力电气设备行业：配网：投资加码关键环节 行业景气正当时,新浪
141,2021-11-30,北向资金动向盘点：再次转向电力设备新能源,Wind
142,2021-11-30,锂电池继续活跃，北向资金加仓电池行业8.88亿元，大幅减持这只白酒股（名单） 减持股份,21世纪经济报道
143,2021-11-29,北向资金今日净买入逾32亿元，这些股获加仓,第一财经
144,2021-11-29,电气设备策略：新型电力系统下电网投资回暖 看好结构性投资机遇,新浪
145,2021-11-29,中信证券：政策的出台有利于工商业分布式光伏和户用光伏向更加规范的方向发展,证券时报网
146,2021-11-27,112股本周股价创历史新高,证券时报网
147,2021-11-26,A股早报2021年11月26日星期五,Wind
148,2021-11-26,特高压电网建设加快　龙头企业入机构法眼,财富动力网
149,2021-11-25,【行业一线】特高压板块活跃！行业建设提速，龙头个股站上风口？,财华社
150,2021-11-25,每日市场热点分析,新浪
151,2021-11-25,涨停板解密：资金追捧，医药股逆市火爆！（11月25日）,Wind
152,2021-11-25,11月25日国电南瑞涨停分析：特高压，泛在电力物联网，换电概念概念热股,证券之星
153,2021-11-25,A股收盘综述：元宇宙概念股重挫；芯片牛股20cm跌停！,Wind
154,2021-11-25,快讯：国电南瑞涨停 报于45.0元,金融界
155,2021-11-25,解盘：资金继续流入，特高压、物联网、充电桩、医药领涨,Wind
156,2021-11-25,国电南瑞首板，电力股炒作,Wind
157,2021-11-23,外资周报第104期：人民币韧性凸显 配置盘加速入场,新浪
158,2021-11-23,市场温度计：东吴策略·外资大幅买入成长,新浪
159,2021-11-23,国电南瑞：IGBT业务目前处于建设投入期，正开展相关产品研发、封装测试生产线建设等工作,Wind
160,2021-11-23,国电南瑞：近期公司具有自主知识产权的3300V/1500A IGBT器件已在厦门柔直换流站挂网使用,每日经济新闻
161,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
162,2021-11-22,新能源行业每周观察：刚柔并济、海陆共进 直流输电开启新时代,新浪
163,2021-11-22,专题｜智能制造板块业绩大增 “灯塔工厂”数字化变革的喜与忧,投资者网
164,2021-11-21,央行货币执行及表述变化对A股意味着什么,招商策略研究
165,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
166,2021-11-20,北向资金本周加仓111亿，抄底交运物流、汽车零部件等超跌板块，扫货这些龙头股（名单）,21世纪经济报道
167,2021-11-19,智能电网成绿电龙头 特高压、储能迎来新风口,金融投资报
168,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
169,2021-11-18,电力设备专题报告(16)：南网发布“十四五”规划：总量温和增长 重心是解决新能源问题、配用电侧建设,新浪
170,2021-11-17,拜登签基建法案，充电桩利好有望兑现！5股上涨空间逾10%,Wind
171,2021-11-17,中信建投新能源发电2022年策略：技术引领变革之春，新的篇章正徐徐展开,Wind
172,2021-11-16,新能源发电行业2022年投资策略报告：技术引领变革之春 新的篇章正徐徐展开,新浪
173,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
174,2021-11-16,计算机：南网十四五发力配电信息化 新能源IT双星再迎利好,新浪
175,2021-11-16,北向资金动向盘点：底部净买医药,Wind
176,2021-11-16,新能源概念突然“哑火”，汽车零部件板块延续强势,Wind
177,2021-11-15,【市场观潮】助力碳中和，特高压建设提速，板块多股起舞！,财华社
178,2021-11-15,陆股通连续净卖出股名单,证券时报网
179,2021-11-15,陆股通净买入33.82亿元，连续3日净买入,证券时报网
180,2021-11-15,北向资金连续3日净买入累计加仓近160亿，中国中免获净买入超6亿元,Wind
181,2021-11-15,碳中和行业(电新+环保)周报：高镍三元一体化降本加速 南网发布“十四五”发展规划,光大证券
182,2021-11-12,双碳火热！透视2200亿新型电网龙头国电南瑞：8项指标现积极变化 7项指标异常偏离,金融界
183,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
184,2021-11-12,特高压板块红利不断、蓄势待发，机构吹风“十四五”更强需求周期,Wind
185,2021-11-12,国电南瑞：储能系公司着力发展的新兴产业之一,Wind
186,2021-11-12,国电南瑞(600406)：市场营销势头良好 经营管理稳健向好,新浪
187,2021-11-12,解盘：百亿资金流入，特高压、军工、新能源略涨,Wind
188,2021-11-12,亿嘉和涨停、国电南瑞涨超8%，机器人50ETF（562360）早盘拉升超2%,资本邦
189,2021-11-12,特高压板块猛涨，长高集团、思源电气封住涨停板,Wind
190,2021-11-08,中信建投新能源行业每周观察：供不应求 隔膜环节盈利持续提升,新浪
191,2021-11-04,北向资金稳步加仓连续6日净买入，新能源、大消费集体获抢筹,Wind
192,2021-11-04,广发证券：维持国电南瑞(600406.SH)“买入”评级 合理价值43.56元,智通财经
193,2021-11-04,东吴证券维持国电南瑞买入评级，2021年三季报点评：Q3符合预期，新型电网龙头稳进，目标价43.75元,每日经济新闻
194,2021-11-03,北向资金连续5日净买入，隆基股份遭大幅抛售超16亿元,Wind
195,2021-11-03,中银证券维持国电南瑞买入评级：业绩稳健增长，深度受益于新型电力系统建设,每日经济新闻
196,2021-11-03,中银证券：给予国电南瑞买入评级,证券之星
197,2021-11-02,国电南瑞(600406)：部分股权激励限制性股票回购注销实施,资本邦
198,2021-11-02,电力设备新能源行业周报：2030碳达峰行动方案出台 政策刺激新能源板块行情,新浪
199,2021-11-02,东莞证券维持国电南瑞推荐评级，2021年三季报点评：Q3业绩同比稳增，盈利能力增强,每日经济新闻
200,2021-11-02,东莞证券：给予国电南瑞增持评级,证券之星
201,2021-11-01,电气设备行业周报：光伏产业链价格涨势趋缓,新浪
202,2021-11-01,图解国电南瑞三季报：第三季度单季净利润同比增15.10%,证券之星
203,2021-10-31,电气设备行业：三季报好于预期 重视一体化组件公司的重要投资价值,新浪
204,2021-10-29,交卷！国电南瑞：2021年第三季度净利润约13.49亿元，同比增长15.1%,每日经济新闻
205,2021-10-29,国电南瑞：前三季度净利润同比增长25.27%,Wind
206,2021-10-29,国电南瑞(600406.SH)：第三季度净利升15.10%至13.49亿元,格隆汇
207,2021-10-29,国电南瑞：截止2021年6月30日，公司负债279.66亿元 偿债能力下降,每日经济新闻
208,2021-10-29,国电南瑞：截止6月30日，公司负债279.66亿元,Wind
209,2021-10-27,新能源交通工具比例达到40%！国务院发布2030前碳达峰行动方案,Wind
210,2021-10-26,川财证券研究所晨报,新浪
211,2021-10-26,躺赚神话破灭？A股新股接连破发！今后打新注意3个字,Wind
212,2021-10-25,电气设备周报：国家能源局积极推动风电光伏 9月户用光伏装机量超预期,新浪
213,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
214,2021-10-25,新能源引爆A股，房地产却绿了！发生了什么？,Wind
215,2021-10-25,快讯：国电南瑞涨停 报于40.15元,金融界
216,2021-10-25,A股收盘综述：碳中和主宰市场，宁德时代、比亚迪、国电南瑞齐创新高,Wind
217,2021-10-25,特高压板块强势依旧，国电南瑞首板,Wind
218,2021-10-25,国电南瑞上涨超9%，市场首只机器人50ETF（562360）上涨超2%,资本邦
219,2021-10-25,国电南瑞冲击涨停并创新高，特高压板块强势依旧,Wind
220,2021-10-25,电力行业政策点评：能源领域重磅文件落地 风光氢储四大方向均有提及,新浪
221,2021-10-23,复合增速高达80%的新能源赛道，行业龙头争相布局,Wind
222,2021-10-20,兴正策略：北上流入规模边际放缓 成交活跃度下降,新浪
223,2021-10-19,储能行业周报：多地出台政策利好储能发展,新浪
224,2021-10-18,北向资金净卖出额创近2个月新高，贵州茅台遭大幅抛售逾14亿元,Wind
225,2021-10-18,金融产品交易量跟踪报告,新浪
226,2021-10-18,电气设备周报：光伏产业链价格上涨 需求逻辑全面兑现,新浪
227,2021-10-17,陆上风电成本有望显著下降 业内预测锌价短期强势上涨丨明日主题前瞻,第一财经
228,2021-10-14,中小盘主题：GIL优势显着前景广阔 双线成长静待花开,新浪
229,2021-10-12,北向资金成交缩量全天净卖出近14亿元，东方财富遭大幅净卖出6亿元,Wind
230,2021-10-12,净卖出五粮液居首！北向资金持续出货白酒股，增持这些板块（名单）,21世纪经济报道
231,2021-10-12,北向资金动向盘点：反手净卖食品饮料,Wind
232,2021-10-11,沪港通十大成交活跃股排名（10月11日）,Wind
233,2021-10-11,北向资金今日小幅净买入1.87亿元，药明康德、招商银行净买入超3亿元,Wind
234,2021-10-11,电力设备及新能源行业周报：风光基地建设推进 电网结构机会明确,新浪
235,2021-10-10,电气设备行业周报：基本面强势得验证 继续看好新能源,新浪
236,2021-10-09,江苏区域股市周报： 21家机构调研华亚智能 华泰证券挤进板块市值5强,每日经济新闻
237,2021-10-08,国电南瑞：未来时机成熟将布局新能源车IGBT模块业务,e公司
238,2021-10-08,国电南瑞：公司拥有自主知识产权的电池更换设备及重卡换电设备,每日经济新闻
239,2021-10-08,国电南瑞：当前公司主要集中资源攻克智能电网领域IGBT器件“卡脖子”问题,每日经济新闻
240,2021-10-08,计算机行业周报：高通收购维宁尔对“智联汽车+AI芯片”格局影响？,新浪
241,2021-10-03,特高压电器迎来电网建设机遇 成长可期,格隆汇
242,2021-09-30,电气设备行业特高压电器专题报告：特高压电器迎来电网建设机遇 成长可期,新浪
243,2021-09-30,国电南瑞：将使用额度不超20.6亿元暂时闲置募集资金进行现金管理,财联社
244,2021-09-28,碳中和系列点评之十七：深化能源领域“放管服”改革 加快以新能源为主体的新型电力系统建设,新浪
245,2021-09-27,环保与公用事业行业周报(2021年第38期)：能耗双控再加码 “风电下乡”拟实施,新浪
246,2021-09-27,电力设备及新能源行业周报：主辅材价格强势 电网结构机会明确,新浪
247,2021-09-27,电力设备行业动态分析：新能源车销量稳定上行 风电增长确定性强化,新浪
248,2021-09-27,电气设备行业周报：我国风电光伏8月装机分析,新浪
249,2021-09-27,电力设备及新能源行业碳中和与电网变革专题二：跨区域电力输送和能源大基地建设,新浪
250,2021-09-27,碳中和、大基地政策逐步明朗 | 兴证电新 · 每周观察,兴业电新
251,2021-09-26,电气设备新能源行业周报：二线电池价格探涨缓解成本压力 8月新能源装机超市场预期,新浪
252,2021-09-24,电力设备及新能源行业周报：光伏装机持续增长 整县推进试点公布,新浪
253,2021-09-24,新兴能源行业：平价时代新能源资产价值重估 现金为王优选运营商,新浪
254,2021-09-24,国电南瑞：构建ESG推动公司可持续发展,大众证券报
255,2021-09-23,电力信息化行业报告：双碳绿电催化 电力IT产业高景气,新浪
256,2021-09-23,国电南瑞跌5.76% 重阳战略投资和新华人寿持股,中国经济网
257,2021-09-23,北向资金净卖出额创近一个月新高，银行股遭大幅抛售,Wind
258,2021-09-23,机械设备行业周报(第三十七周)：关注新型电网建设及传统能源数字化转型机会,新浪
259,2021-09-22,国电南瑞：重组后的企业与国电南瑞在部分专业领域业务有一些竞争，目前相关业务竞争格局基本稳定,每日经济新闻
260,2021-09-22,A股收盘综述：电力股批量封板、神华兖煤涨停，一线地产股柳暗花明,Wind
261,2021-09-22,电气设备行业周报：首批光伏整县试点申报规模超预期,新浪
262,2021-09-22,A股午盘综述：指数下滑无碍炒作，电力煤炭板块飙升、地产否极泰来,Wind
263,2021-09-17,新兴能源行业：能耗双控政策出炉 绿电溢价再促新能源发展,新浪
264,2021-09-17,政策连续发文利好！抽水蓄能板块爆发 核心概念股一览,财联社
265,2021-09-17,大行评级 | 摩通：中资电力及水务公用行业中推荐润电、海螺创业、粤投及国电南瑞,格隆汇
266,2021-09-16,国电南瑞：不涉及西电重组,每日经济新闻
267,2021-09-16,国电南瑞：践行企业责任 推动公司可持续发展,中证网
268,2021-09-16,国电南瑞逐步构建ESG管理体系,中证报
269,2021-09-15,中国短期融资券及中期票据信用分析周报,新浪
270,2021-09-15,电气设备行业跟踪报告：“双碳”目标呼唤灵活性与智能化,新浪
271,2021-09-15,电气设备行业简评报告：新能源车渗透率创新高 绿电交易助力双碳目标实现,新浪
272,2021-09-15,国电南瑞(600406)：网内网外齐发力 电力自动化龙头深度受益行业变革机遇,新浪
273,2021-09-14,国电南瑞回应“股价下跌”：公司目前日常经营正常,每日经济新闻
274,2021-09-14,国电南瑞：公司在本次试点中主要开展绿色电力交易“e-交易”平台和新一代电力交易平台研发建设工作,每日经济新闻
275,2021-09-14,电新1H21业绩回顾：景气延续 多点开花,新浪
276,2021-09-13,电力设备行业：淡季逆势高增 8月中国电车大超预期,新浪
277,2021-09-13,电力设备新能源行业周报：电池龙头加大布局力度 光伏装机四季度旺季确定性高,新浪
278,2021-09-13,电新行业周报：国家多举措保障新能源并网 预计Q4电车产业链延续产销两旺,新浪
279,2021-09-13,国电南瑞(600406.SH)：完成发行5亿元超短期融资券,格隆汇
280,2021-09-13,电力设备及新能源行业周报：电网3500亿美元投资 推进新型电力系统建设,新浪
281,2021-09-13,储能行业周报：中美储能行业定规划 多地峰谷电价差加大,新浪
282,2021-09-10,电气设备行业事件点评：绿色电力交易正式开启 利好风电光伏健康发展,新浪
283,2021-09-10,国电南瑞：截止2021年半年度报告期末，在手订单467.08亿元（不含税）,每日经济新闻
284,2021-09-10,国电南瑞：公司能量管理系统业务的客户主要面向电网企业、大型石化、工矿企业等,每日经济新闻
285,2021-09-10,解盘：人气高涨沪指上破3700点，特高压、芯片、锂矿、稀土领涨,Wind
286,2021-09-08,中国短期融资券及中期票据信用分析周报,新浪
287,2021-09-08,北向资金结束连续12日净买入，中国平安、歌尔股份净卖出均超6亿元,Wind
288,2021-09-08,国电南瑞(600406.SH)：完成发行5亿元超短期融资券,格隆汇
289,2021-09-08,储能行业周报：新版“两个细则”征求意见 压缩空气储能示范落地,新浪
290,2021-09-08,海通证券：维持国电南瑞(600406.SH)“优大于市”评级 价值区间32.25-38.7元,智通财经
291,2021-09-08,北向资金动向盘点：重手净买“化工”，逻辑还是“新能源车”,Wind
292,2021-09-07,特斯拉突爆大消息，第三代充电桩量产在即，行业增速比肩锂电池,Wind
293,2021-09-06,国电南瑞今日大宗交易成交7.35万股，成交价34.0元溢价0.0%,Wind
294,2021-09-06,中泰证券：维持国电南瑞(600406.SH)“增持”评级 业绩超预期 发电装机及电网投资稳健增长,智通财经
295,2021-09-06,东吴证券：维持国电南瑞(600406.SH)“买入”评级 目标价38.75元,智通财经
296,2021-09-06,中泰证券维持国电南瑞增持评级：业绩超预期，支撑新型电力系统建设,每日经济新闻
297,2021-09-04,东吴证券维持国电南瑞买入评级，2021年中报点评：新型电力系统背景下，Q2维持较快增长，目标价38.75元,每日经济新闻
298,2021-09-03,A股早报2021年9月3日星期五,Wind
299,2021-09-02,【东吴电新】国电南瑞2021年中报点评：新型电力系统背景下，Q2维持较快增长,新兴产业汇
300,2021-09-02,涨停板解密：市场火爆，三大板块个股现涨停潮！（9月2日）,Wind
301,2021-09-02,西部证券：维持国电南瑞(600406.SH)“买入”评级 业绩稳健增长 盈利能力保持稳健,智通财经
302,2021-09-02,能源碳达峰，特高压助阵！后续行情一触即发,Wind
303,2021-09-02,解盘：超百亿资金流入，风电、磷化工、纯碱、新能源领涨,Wind
