,2021-12-30,研发 | KRAS G12C抑制剂研发激烈，安进已拔得头筹，诺华、贝达药业、再鼎医药等陆续跟进,CPhI制药在线
36,2021-12-05,晚间重要公告2021年12月5日星期日,Wind
37,2021-12-05,贝达药业第四代EGFR抑制剂BPI-361175 在美国获批临床,贝达药业
38,2021-12-05,贝达药业：BPI-361175片获美国FDA新药临床试验批准通知书,财联社
39,2021-12-05,贝达药业：BPI-361175片获得美国FDA新药临床试验批准通知书,Wind
40,2021-12-05,医药行业周报：医保谈判尘埃落地 看好本土创新发力,新浪
41,2021-12-05,医保国谈结果公布，国产四款PD-1仅恒瑞新增适应症未出现,金融界
42,2021-12-04,74种药品“晋级”国家医保目录，多家上市公司产品榜上有名,Wind
43,2021-12-03,贝达药业二度赴港IPO，去年营收18亿，超九成来自单一产品,格隆汇
44,2021-12-03,贝达药业重启赴港上市 寻求全球创新药物商业合作机遇,e公司
45,2021-12-03,今年第16家！益方生物IPO遭暂缓审议,金融界
46,2021-12-03,大佬们要站岗？明星创新药企IPO被终止：九年来一事无成，在危险边缘疯狂试探？ IPO融资异常,瞪羚社
47,2021-12-03,70万一针“天价药”纳入医保，多家上市公司公告来了,Wind
48,2021-12-03,贝达药业再递表港交所，产品结构单一受质疑,阿尔法工场
49,2021-12-03,IPO | 贝达药业递表港交所，今年前九月研发开支达3.62亿元,资本邦
50,2021-12-03,贝达药业再递表港交所：收入高度依赖埃克替尼销售 涉与少数股东及独立第三方产品竞争诉讼 诉讼纠纷,中华网
51,2021-12-03,74种药品新增进入医保目录，这些公司产品榜上有名,Wind
52,2021-12-03,Wind医药：每日行业动态（2021-12-03）,Wind
53,2021-12-03,午间公告2021年12月3日星期五,Wind
54,2021-12-03,贝达药业盐酸恩沙替尼（贝美纳?）列入国家医保目录,贝达药业
55,2021-12-03,贝达药业盐酸埃克替尼（凯美纳?）术后辅助治疗适应症列入国家医保目录,贝达药业
56,2021-12-03,贝达药业(300558.SZ)：盐酸埃克替尼术后辅助治疗适应症和盐酸恩沙替尼纳入《国家医保目录》,格隆汇
57,2021-12-03,现场揭秘丨2021年医保谈判面面观，谁榜上有名？,新浪医药
58,2021-12-02,新股消息 | 贝达药业递表港交所主板，其收入依赖靶向抗癌创新药埃克替尼,智通财经
59,2021-12-02,贝达药业(300558.SZ)：已向香港联交所重新递交上市申请并刊发申请版本资料集,格隆汇
60,2021-12-02,贝达药业：股东凯铭投资累计质押3431万股,每日经济新闻
61,2021-12-02,贝达药业(300558.SZ)股东凯铭投资解除质押350万股,智通财经
62,2021-12-02,贝达药业向港交所提交上市申请书,e公司
63,2021-12-02,核心产品或有知识产权纠纷 益方生物科创板IPO能否顺利推进？高瓴等明星资本已下注,财联社
64,2021-12-02,云顶新冠疫苗新动作，又一贝伐珠单抗生物类似药获批,GBIHealth
65,2021-12-02,「国内外药企研发进展」国内首个BCR-ABL 抑制剂获批上市；恒瑞医药2项临床试验申请获批准······,药渡
66,2021-12-01,益方生物等8企业上会迎考 预计首发合计募资约96.48亿元,北京商报
67,2021-12-01,益方生物去年0营收8亿股权激励 专利被诉拟IPO募24亿,中国经济网
68,2021-11-30,单日8家IPO公司集体大考！多公司竟携诉讼闯关 诉讼纠纷,北京商报
69,2021-11-30,IPO观察｜益方生物零收入闯关，研发费用14亿，专利纠纷缠身,网易
70,2021-11-29,贝达药业最新公告：贝伐珠单抗注射液获得药品注册证书,证券之星
71,2021-11-29,重磅！贝达药业贝伐珠单抗注射液获批上市,贝达药业
72,2021-11-29,贝达药业：贝伐珠单抗注射液(MIL60)获得药品注册证书,Wind
73,2021-11-29,益方生物8亿股权激励入研发费用,Ofweek
74,2021-11-29,掘金创新药丨科伦药业子公司PD-L1抗体申报上市 康宁杰瑞已抢先一步获批,每日经济新闻
75,2021-11-29,医药生物行业创新药周报：OMICRON毒株异军来袭 新冠药物研发快速推进,新浪
76,2021-11-26,百奥泰(688177)动态点评：贝伐珠单抗获批上市 海内外达成商业化合作,新浪
77,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
78,2021-11-24,借道18A两次冲击上市，却又退钱延迟发售！当故事无法兑现，企业如何过冬？,E药经理人
79,2021-11-24,新股精要：极具竞争力的创新驱动型生物医药公司迪哲医药,新浪
80,2021-11-24,贝达药业董事长：公司将40%的收入用于创新，目前有30多项在研创新药,格隆汇
81,2021-11-24,医药生物行业周报：CDE发布《以临床价值为导向的抗肿瘤药物临床研发指导原则》,新浪
82,2021-11-24,医药生物行业双周报,新浪
83,2021-11-20,贝达药业SHP2抑制剂BPI-442096药品临床试验申请获受理,贝达药业
84,2021-11-18,贝达药业：BPI-442096片药品临床试验申请获受理,财联社
85,2021-11-17,伏罗尼布（CM082）缓释制剂EYP-1901治疗w-AMD发布I期临床试验中期数据,贝达药业
86,2021-11-17,国内市场15个小分子靶向肺癌药，原研与仿制谁将取胜？,医药经济报
87,2021-11-16,医保谈判落幕，这一领域将充满投资机会,制药网
88,2021-11-15,新一轮医保谈判结果：传言、推测与感想,思齐俱乐部
89,2021-11-15,贝达药业PD-L1抑制剂BPI-371153胶囊药品临床试验申请获受理,贝达药业
90,2021-11-15,贝达药业(300558.SZ)：BPI-371153胶囊药品临床试验申请获得受理,智通财经
91,2021-11-15,医药生物行业跨市场周报：产业升级大幕升起 API板块性价比凸显,光大证券
92,2021-11-14,【国金医药】创新药周报20211114,医药研选
93,2021-11-12,医药板块2021Q3分析暨11月月报：高基数下增速放缓 板块基本面仍旧强劲 把握配置窗口期,新浪
94,2021-11-12,国家医保谈判收官，哪些上市公司将“脱颖而出”？,上证报
95,2021-11-11,贝达药业：公司正在跟进广东集采申诉的相关工作,每日经济新闻
96,2021-11-11,贝达药业：恩沙替尼国内一线治疗适应症申请已被纳入优先审评程序，海外NDA申报工作也在积极沟通中,每日经济新闻
97,2021-11-11,贝达药业：目前正积极推进在研项目的临床研究以及埃克替尼术后辅助适应症和恩沙替尼二线适应症的医保谈判工作,每日经济新闻
98,2021-11-11,贝达药业：集采政策主要针对仿制药，公司产品目前均在专利保护期内，集采政策暂无直接影响,每日经济新闻
99,2021-11-11,贝达药业：公司港股上市的相关工作正在积极准备，择机提交申请,每日经济新闻
100,2021-11-11,贝达药业：公司第三代EGFR-TKI新药BPI-D0316针对EGFR患者的二线治疗临床研究已提交NDA申请,每日经济新闻
101,2021-11-11,贝达药业：公司已提交埃克替尼术后辅助治疗适应症和恩沙替尼二线治疗适应症的国谈申请，并已通过公示,每日经济新闻
102,2021-11-11,国家医保谈判“降价”依旧是主旋律，感染药及PD(L)-1新适应症成角逐热点,Wind
103,2021-11-11,医药股突然爆发！万亿美元巨头提前加仓被套,Wind
104,2021-11-10,医保谈判第二日：医药股大涨 创新药竞逐,中国经营报
105,2021-11-10,国家医保谈判“降价”依旧是主旋律，感染药及PD(L)-1新适应症成角逐热点,21经济网
106,2021-11-10,国谈现场 | PD-1众星捧月，保密工作再升级,赛柏蓝
107,2021-11-10,120万元一针抗癌神药首次进入医保谈判！能砍成多少？,Wind
108,2021-11-10,【行情】医药板块持续走强，沃森生物涨超15%，恒瑞医药、司太立涨超9%，美诺华、君实生物、威尔药业、哈三联、贝达药业等涨幅居前,金十数据
109,2021-11-09,今日医药板块迎来反弹，多家药企涨超5%,制药网
110,2021-11-09,解盘：资金持续流入，生物育种、军工、数字货币领涨,Wind
111,2021-11-08,新一轮医保谈判即将启动，20个创新药或首次参与谈判,Wind
112,2021-11-06,浙江省生命健康产业创新委员会成立 丁列明博士当选主席,贝达药业
113,2021-11-02,贝达药业接受32家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
114,2021-11-01,丁列明“10年100亿”，贝达药业能攻下千亿市值吗？,药智网
115,2021-10-31,西部证券维持贝达药业买入评级，2021年三季报点评：埃克替尼稳定增长，恩沙替尼放量待推进,每日经济新闻
116,2021-10-29,东方财富证券维持贝达药业增持评级，2021年三季报点评：核心产品表现优异，持续加大创新投入,每日经济新闻
117,2021-10-28,国联证券：给予贝达药业增持评级,证券之星
118,2021-10-28,国联证券给予贝达药业增持评级：靶向药从一到二，恩沙替尼持续增长,每日经济新闻
119,2021-10-28,国盛证券：给予贝达药业买入评级,证券之星
120,2021-10-27,贝达药业：前三财季盈利3.47亿人民币，同比减少37.02% 盈利能力下降,Wind
121,2021-10-27,贝达药业(300558.SZ)：前三季度扣非净利润升21.09%至3.26亿元,格隆汇
122,2021-10-27,贝达药业公布三季报 前三季净利减少32.5% 盈利能力下降,新浪
123,2021-10-27,贝达药业(300558.SZ)前三季度归母净利同比降32.50%至3.47亿元 盈利能力下降,智通财经
124,2021-10-27,图解贝达药业三季报：第三季度单季净利润同比减64.39%,证券之星
125,2021-10-27,贝达药业：2021年第三季度净利润约1.32亿元，同比下降64.39% 盈利能力下降,每日经济新闻
126,2021-10-27,贝达药业MRX2843急性髓系白血病I期临床研究首例受试者入组,贝达药业
127,2021-10-27,贝达药业：前三季度净利润同比减少32.5% 盈利能力下降,Wind
128,2021-10-26,医药生物行业双周报：行业估值合理 择优布局优质标的,新浪
129,2021-10-23,实控人成最大受益人 贝达药业股权激励受质疑 股权激励异常,中国经营网
130,2021-10-20,创新药“授权合作”模式成热潮 呈现新趋势,证券时报网
131,2021-10-20,华鑫证券：给予贝达药业买入评级,证券之星
132,2021-10-20,华鑫证券维持贝达药业推荐评级：创新药领域先行者，逐步进入收获期,每日经济新闻
133,2021-10-18,贝达药业(300558.SZ)：凯铭投资质押的合计780万股延期购回,格隆汇
134,2021-10-18,医药生物行业周报：疫苗加强针接种工作陆续开启 关注三季报业绩预期差投资机会,新浪
135,2021-10-18,贝达药业：股东累计质押情况,每日经济新闻
136,2021-10-18,贝达药业：两款产品均用于治疗非小细胞肺癌，但所针对的患者靶点不同,每日经济新闻
137,2021-10-18,医药生物行业周报：季度业绩波动该如何应对,新浪
138,2021-10-17,益方生物科创板上会在即：核心产品商业化待成型 “大方”斥资8亿用于股权激励,财联社
139,2021-10-15,120万一针的抗癌药物刷屏，公司有没有相关的研究方向？贝达药业：会积极关注该领域的发展情况,每日经济新闻
140,2021-10-15,贝达药业：目前广东集采征求意见稿纳入了埃克替尼，公司现正在积极申诉反馈关于征求意见稿的相关问题。埃克替尼已申报参加今年医保谈判，并已通过核查,每日经济新闻
141,2021-10-14,爱尔眼科、贝达药业跌超6%，科创创业ETF（588360）跌超0.4%,资本邦
142,2021-10-14,双创基金ETF（159783）盘中成交破1.5亿元,Wind
143,2021-10-13,观察| 医药上市公司真假“护城河”,中国经济网
144,2021-10-13,研发人员、研发投入均行业最少 索元生物9年仍无产品上市,和讯
145,2021-10-11,益方生物第三代EGFR抑制剂BPI-D0316项目与贝达药业授权合作,上证报
146,2021-10-11,创新药企益方生物“自研+合作”模式加速发展,中证网
147,2021-10-09,晚讯：碧水源拟减持武汉控股不超1％股份 美团将全面深入自查整改,腾讯网
148,2021-10-08,贝达药业(300558.SZ)：拟斥不超8000万美元认购Xcovery新发行F轮优先股 持股比例升至69.53%,格隆汇
149,2021-10-08,贝达药业(300558.SZ)拟认购Xcovery新发行F轮优先股 推进恩沙替尼项目,智通财经
150,2021-10-08,贝达药业：不超8000万美元认购Xcovery新发行F轮优先股,财联社
151,2021-10-08,创新药周报：2021年9月第五周,西南证券
152,2021-10-08,解密益方生物等创新药授权合作模式 挖掘医药“潜力股” | 新闻稿,研发客
153,2021-10-08,兴证医药2021年10月投资月报：新冠药物新冠疫苗专题分析,新浪
154,2021-10-02,生物医药新股扎堆闯关港股：多家公司上市首日破发，暂缓或继续？,腾讯网
155,2021-09-30,益方生物科创板IPO：连年亏损，与贝达药业共享新药专利 亏损,格隆汇
156,2021-09-29,贝达药业：目前CM082针对肾癌适应症的新药注册申报准备工作正在推进中,每日经济新闻
157,2021-09-29,贝达药业：公司及控股子公司的主营业务为研发、生产、销售具有自主知识产权的创新药产品，暂未对外提供CRO方面的研究服务,每日经济新闻
158,2021-09-29,贝达药业：CM082是针对VEGFR和PDGFR靶点的多靶点受体酪氨酸激酶（RTKs）抑制剂，基于对新生血管生成的抑制作用，在前期的临床研究中发现了CM082对于湿性年龄相关性黄斑变性的治疗作用,每日经济新闻
159,2021-09-29,医药行业周报：板块性价比渐突出 Q3业绩延续较好增长趋势,新浪
160,2021-09-29,是否符合第五套上市标准相关要求？益方生物科创板IPO回复这样论证,资本邦
161,2021-09-28,打新攻略丨国庆小长假起跑动作！就是要看这份10月新股名单,新浪
162,2021-09-27,贝达药业(300558.SZ)向激励对象首次授予限制性股票1272.79万股,智通财经
163,2021-09-27,医药生物行业周报：确认政策底 行业迎来布局良机,新浪
164,2021-09-27,医药生物行业周报：从景气度、竞争力、外需逻辑看诺禾致源投资价值,新浪
165,2021-09-26,BIOTECH/传统药企中报及研发进展总结：BIOTECH 迎来商业化时代 传统药企创新转型加速,新浪
166,2021-09-26,医药生物行业研究周报：从医疗服务价格调整看康复行业机会(第79篇),新浪
167,2021-09-24,强强联手 合作共赢丨贝达药业与物产中大达成战略合作,贝达药业
168,2021-09-22,贝达药业股权激励争议,证券市场周刊
169,2021-09-22,贝达药业(300558.SZ)股东凯铭投资质押580万股,智通财经
170,2021-09-22,贝达药业：股东凯铭投资累计质押股数为3781万股,每日经济新闻
171,2021-09-22,医药生物行业周报：人工关节拟中选结果好于预期 市场紧张情绪得到缓解,新浪
172,2021-09-22,医药生物行业周报：把握景气度持续向上板块和个股估值修复机会,新浪
173,2021-09-21,医药生物行业周报：医药反弹是否可持续,新浪
174,2021-09-16,医药生物行业研究周报：当前阶段医药行情的主要矛盾及化解,新浪
175,2021-09-14,医药生物行业双周报：医药行业长坡厚雪 仍为投资主线,新浪
176,2021-09-13,医药生物行业中报透视CXO：板块增长强劲 边际变化持续向好,新浪
177,2021-09-10,贝达药业(300558.SZ)股东贝成投资解除质押150万股,智通财经
178,2021-09-10,贝达药业：公司已提交埃克替尼术后辅助治疗适应症和恩沙替尼二线治疗适应症的国谈申请，并已通过公示,每日经济新闻
179,2021-09-10,贝达药业：BPI-9016M是一种以c-Met和Axl为靶点的小分子激酶抑制剂，为口服制剂,每日经济新闻
180,2021-09-10,医药生物行业：风物长宜放眼量,新浪
181,2021-09-09,贝达药业KRAS抑制剂BPI-421286项目I期临床研究首例受试者入组,贝达药业
182,2021-09-06,贝达药业：凯铭投资累计质押股数为3201万股,每日经济新闻
183,2021-09-06,贝达药业(300558.SZ)股东凯铭投资质押451万股,智通财经
184,2021-09-06,医药生物行业创新药周报：闻弦歌知雅意 由跨国药企中报看创新药发展,新浪
185,2021-09-05,西南证券维持贝达药业持有评级：拟实施股权激励，加速增长可期,每日经济新闻
186,2021-09-05,天风证券维持贝达药业增持评级：推出股票激励计划，彰显公司发展决心,每日经济新闻
187,2021-09-03,A股异动 | 贝达药业(300558.SZ)大涨10% 拟推2021年限制性股票激励计划,格隆汇
188,2021-09-03,国盛证券维持贝达药业买入评级：未来五年有望加速增长，股权激励体现公司十足信心,每日经济新闻
189,2021-09-03,医药生物行业跟踪报告：创新药系列研究 PD-1/L1普药化 国内IO市场如何演绎,新浪
190,2021-09-02,贝达药业港股上市审核状态标注“失效” 回应称“正常推进中”,中国网
191,2021-09-02,贝达药业(300558.SZ)：拟推1555万股2021年限制性股票激励计划,格隆汇
192,2021-09-02,贝达药业(300558.SZ)提名范建勋为非独立董事候选人,智通财经
193,2021-09-02,贝达药业(300558.SZ)拟推出2021年限制性股票激励计划 授予价为41.34元/股,智通财经
194,2021-09-02,贝达药业：拟向激励对象468人授予限制性股票1555万股,每日经济新闻
195,2021-09-02,贝达药业FGFR4 抑制剂BPI-43487项目I期临床研究首例受试者入组,贝达药业
196,2021-09-01,医药生物行业周报：医美行业强化监管 安徽省IVD集采结果公布,新浪
197,2021-09-01,医药与健康护理行业月报：智飞生物新冠疫苗III期数据优异 对变异株仍然有效,新浪
198,2021-08-31,贝达药业：温州特瑞西创减持计划实施期间已经届满,Wind
199,2021-08-31,贝达药业：减持期届满 温州特瑞西创已减持103.5万股 减持股份,财联社
200,2021-08-31,贝达药业(300558.SZ)股东温州特瑞西创减持103.5万股 减持期满 减持股份,智通财经
201,2021-08-31,贝达药业：股东温州特瑞西创减持公司股份约104万股 减持股份,每日经济新闻
202,2021-08-31,深市创业板2021年半年度业绩持续高速增长,Wind
203,2021-08-27,贝达药业：凯铭投资累计质押股数为2750万股,每日经济新闻
204,2021-08-26,贝达药业(300558.SZ)：BPI-23314片获得临床试验批准通知书,智通财经
205,2021-08-25,贝达药业(300558.SZ)：盐酸恩沙替尼一线治疗适应症药品注册申请纳入优先审评审批程序,智通财经
206,2021-08-24,A股强势反弹，多个板块批量涨停，三大核心赛道会持续崛起？,Wind
207,2021-08-23,机构买入评级大幅扩围，64股看涨逾70%,Wind
208,2021-08-19,贝达药业：CM082肾癌适应症的新药注册申报准备工作正在推进中，公司会加紧安排，争取新药尽早申报上市,每日经济新闻
209,2021-08-19,贝达药业：传言丁董与王博士意见分歧，严重影响公司研发项目进度不实,Wind
210,2021-08-19,贝达药业：凯美纳术后辅助治疗适应症已于今年6月获批上市，贝伐珠单抗类似物MIL60目前已完成相关核查，力争年内获批上市,每日经济新闻
211,2021-08-16,陈光明旗下新品狂卖至少110亿，最新投资动向大曝光,Wind
212,2021-08-16,超100亿，这类国产新药卖得最好,赛柏蓝
213,2021-08-16,医药生物行业周报：医疗服务三问三答 何时会出现板块性机会？,新浪
214,2021-08-16,银华内需精选上半年收益率-12.56%落后,新浪
215,2021-08-16,银华内需精选上半年-12.56%落后 “接盘”天邦股份或最大败笔,发现网
216,2021-08-16,厉害了！1类新药卖出100亿，创新药企“猛攻”千亿肿瘤药市场，16款1类新药在路上,米内网
217,2021-08-16,机构已聚焦上市公司三季度经营情况！这些公司调研会信息量很大,Wind
218,2021-08-15,业绩大增近5倍，股价却涨不动？ 216家机构扎堆调研这只面板龙头股,21世纪经济报道
219,2021-08-14,王印祥“出海”之后,同写意
220,2021-08-14,药明康德流通市值两周蒸发286亿元，79亿元股权激励方案“激怒”市场？「基因测序双周榜」,华夏时报
221,2021-08-13,127股获买入评级 最新:贝达药业,中财网
222,2021-08-13,益方生物答科创板二轮问询，专利纠纷和商业秘密纠纷等被关注,资本邦
223,2021-08-13,26家药企上半年八成净利增长 两家公司重磅新药即将报产,全景网
224,2021-08-13,西部证券维持贝达药业买入评级，2021年半年报点评：业绩高基数下持续增长，管线取得阶段性进展,每日经济新闻
225,2021-08-12,人民金融·创新药指数涨1.09% | 26家药企披露半年报，八成净利增长，两家表示重磅新药即将报产,证券时报网
226,2021-08-12,78股获券商买入评级，贝达药业目标涨幅达99.78%,Wind
227,2021-08-12,东方财富证券维持贝达药业增持评级，2021年中报点评：加大创新研究，实现2到多的飞跃,每日经济新闻
228,2021-08-12,财信证券医药生物行业2021年8月月度报告：坚守高景气，关注高性价比个股,财信证券研究
229,2021-08-11,贝达药业（300558）2021中报点评：业绩符合预期，凯美纳+贝美纳双驱动，持续巩固非小细胞肺癌领域优势【东吴医药朱国广团队】,国广有话说
230,2021-08-11,【黑科技】贝达药业万江先生：做好药，向国家标准靠拢,肿瘤资讯
231,2021-08-11,贝达药业恩沙替尼上半年销售收入 5497 万元，埃克替尼卖了 10.8 亿元,Insight数据库
232,2021-08-11,15个药被限制使用,赛柏蓝
233,2021-08-11,15个药品遭限用！正大天晴首超恒瑞 5大产品销售暴涨超50%,米内网
234,2021-08-11,15个药品遭限用，260亿市场再起波澜！正大天晴首超恒瑞，5大产品销售暴涨超50%,米内网
235,2021-08-11,贝达药业(300558)：业绩符合预期 研发稳步推进,新浪
236,2021-08-11,西南证券维持贝达药业持有评级：业绩靓丽，重点品种增长趋势良好,每日经济新闻
237,2021-08-11,贝达药业(300558)2021年中报点评：埃克恩沙双驱动 多个产品进入报批阶段,新浪
238,2021-08-11,每日“药”闻|再鼎医药发布半年报；恒瑞医药IL-17抑制剂获批临床,读懂财经
239,2021-08-11,研发投入不遗余力 已摆脱“单腿走路” 贝达药业上半年净利润增五成,电鳗快报
240,2021-08-11,国金证券维持贝达药业买入评级：业绩稳健增长，恩沙替尼或将用于一线治疗,每日经济新闻
241,2021-08-10,东吴证券维持贝达药业买入评级，2021年中报点评：业绩符合我们的预期，凯美纳+贝美纳双驱动，持续巩固非小细胞肺癌领域优势,每日经济新闻
242,2021-08-10,华西证券维持贝达药业买入评级：业绩符合预期，新产品快速拓展市场,每日经济新闻
243,2021-08-10,贝达药业第四代EGFR抑制剂BPI-361175项目I期临床研究首例受试者入组,贝达药业
244,2021-08-10,华鑫证券维持贝达药业推荐评级：业绩符合预期，研发稳步推进,每日经济新闻
245,2021-08-10,天风证券维持贝达药业增持评级：业绩增长符合预期，肺癌领域多款药物取得进展,每日经济新闻
246,2021-08-10,国盛证券维持贝达药业买入评级：上半年表现亮眼，收获颇丰，Q2实现高速增长,每日经济新闻
247,2021-08-10,凯美纳持续放量 贝达药业上半年净利润超2亿,贝壳财经
248,2021-08-10,贝达药业2021H1净利润同比大增近50%，凯美纳十年累计销售收入超100亿,新康界
249,2021-08-10,中泰证券维持贝达药业买入评级：业绩符合预期，EGFR、ALK抑制剂双轮驱动主业强劲增长,每日经济新闻
250,2021-08-10,东莞证券维持贝达药业推荐评级，2021年中报点评：Q2业绩实现快增，研发持续推进,每日经济新闻
251,2021-08-10,贝达药业：中期盈利2.15亿人民币，同比增长49.57%,Wind
252,2021-08-09,贝达药业公布半年报 上半年净利增加49.57%,新浪
253,2021-08-09,贝达药业：2021年半年度净利润约2.15亿元，同比增加49.57%,每日经济新闻
254,2021-08-09,贝达药业(300558.SZ)半年度净利润升49.57%至2.15亿元,格隆汇
255,2021-08-09,贝达药业：上半年净利润同比增长49.57%,Wind
256,2021-08-09,2021年中国医药新锐创新力量榜单发布、国务院印发全民健身计划通知,医学界智库
257,2021-08-09,不超500万美元，国内一药企收购美国企业！,微信
258,2021-08-09,A股异动 | 贝达药业(300558.SZ)升超7% 收购美国生物医药研发公司股权,格隆汇
259,2021-08-08,贝达药业拟不超过500万美元认购双虹科技股份,新京报
260,2021-08-06,汇宇制药产能利用率或遭拔高 上亿元推广费异象迭起拷问交易真实性,金融界
261,2021-08-06,贝达药业(300558.SZ)携关联方各以不超500万美元认购双虹科技255.2万股B优先股,格隆汇
262,2021-08-06,贝达药业(300558.SZ)拟认购双虹科技新发行的B优先股255.2万股以追踪前沿新药开发技术,智通财经
263,2021-08-06,贝达药业：公司与杭州贝铭拟共同投资双虹科技,财联社
264,2021-08-05,贝达药业：王家炳博士处于正常工作状态，正在积极推进临床前及早期临床项目的相关工作,每日经济新闻
265,2021-08-05,贝达药业：今年6月埃克替尼已获批新增术后辅助治疗适应症，成为中国第一个获准用于早期肺癌患者术后辅助治疗的一代EGFR-TKI,每日经济新闻
266,2021-08-05,贝达药业：已预约8月10日披露2021年半年度报告,每日经济新闻
267,2021-08-05,贝达药业：已有两款创新药实现上市销售,每日经济新闻
268,2021-08-03,七月这14款新药在中国递交上市申请，来自乐普生物、信达生物、贝达药业、辉瑞等公司,微信
269,2021-08-03,医药生物行业双周报,新浪
270,2021-08-02,贝达药业蝉联“中国医药新锐创新力量”榜首,贝达药业
271,2021-08-01,胰岛素集采或将开启；271个药品通过医保调整审查；药品临床评价管理指南发布｜云端周报,医药云端工作室
272,2021-07-31,医药行业周报：散点疫情偶发 寻找“脱敏”品种,西南证券
273,2021-07-30,贝达药业两药联用治疗晚期宫颈癌临床试验获批准,新京报
274,2021-07-29,贝达药业CTLA-4抗体联合PD-1抗体治疗晚期宫颈癌获批开展临床试验,贝达药业
275,2021-07-29,贝达药业(300558.SZ)：泽弗利单抗注射液联合巴替利单抗注射液治疗晚期宫颈癌获临床试验批准,智通财经
276,2021-07-26,双喜临门！贝达药业、信达生物两款创新药上市申请拟纳入优先审评,生物探索
277,2021-07-26,医药生物行业：板块持续震荡 关注中报绩优个股,新浪
278,2021-07-26,Wind医药：每日行业动态（2021-07-26）,Wind
279,2021-07-25,【国金医药】创新药周报20210725,医药研选
