,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
123,2021-11-08,世界冠军张继科空降金山办公直播间，为即将到来的北京冬奥加油,凤凰网
124,2021-11-08,银河证券每日晨报,新浪
125,2021-11-08,“元宇宙”大牛股份遭冻结，五大概念股警示风险,Wind
126,2021-11-05,A股资金流向：电力、光伏板块遭批量出货，锂电池板块资金分歧较大,Wind
127,2021-11-05,群益证券给予金山办公买进(Buy)评级：月活用户数增速同比提高，3Q业绩持续快速增长,每日经济新闻
128,2021-11-04,A股资金流向：新能源、白酒集体获资金抢筹，比亚迪净流入超14亿,Wind
129,2021-11-03,金山办公第三季度扣非净利涨9成 发布当天股价涨12.5%,中国经济网
130,2021-11-03,科技制造行业11月月报：新能源仍是焦点 继续布局估值和增长匹配的制造业专精特新标的,新浪
131,2021-11-02,A股共发生220宗大宗交易成交35.45亿元（11月2日）,Wind
132,2021-11-02,金山办公跌3% 中信证券华西证券安信证券高点喊买入,中国经济网
133,2021-11-02,金山办公今日大宗交易成交24.30万股，成交价291.0元溢价0.0%,Wind
134,2021-11-02,"金山办公现6笔大宗交易 共成交7,071.30万元",新浪
135,2021-11-02,A股资金流向：主要行业主力资金悉数出逃，光伏股遭大幅抛售,Wind
136,2021-11-02,科创板前三季营收净利齐增，研发投入接近2020全年水平,第一财经
137,2021-11-02,太平洋证券维持金山办公买入评级：三季度业绩回暖,每日经济新闻
138,2021-11-02,西部证券：维持金山办公(688111.SH)“买入”评级 信创采购需求保持旺盛,智通财经
139,2021-11-02,科创板IT企业三季报盘点：过半数净利润同比下滑 近六成毛利率超50% 盈利能力下降,财联社
140,2021-11-02,计算机行业周报：网安处于国家战略的突出位置 投资机构持续看好人工智能,新浪
141,2021-11-02,金山办公(688111)：订阅业务数据亮眼 信创采购需求保持旺盛,新浪
142,2021-11-01,上交所：前三季度科创板上市公司总体业绩保持较快增长,Wind
143,2021-11-01,首创证券给予金山办公买入评级：业绩持续高增长，扣非净利率提升,每日经济新闻
144,2021-11-01,东吴证券给予金山办公买入评级：订阅释放，信创繁荣利好核心业务,每日经济新闻
145,2021-11-01,【计算机】参考3季报，重点把握年底估值切换机会,金融界
146,2021-11-01,金山办公(688111)：单Q3收入增速超预期 产品总月活增长提速打开长期空间,光大证券
147,2021-10-31,【兴证计算机】计算机行业三季报总结：整体稳健，龙头更优,兴业计算机团队
148,2021-10-31,华西证券给予金山办公买入评级：业绩超预期，订阅增长提速,每日经济新闻
149,2021-10-31,开源证券维持金山办公买入评级，公司信息更新报告：订阅业务收入超预期，生态愈加丰富,每日经济新闻
150,2021-10-30,东方证券给予金山办公增持评级：Q3业绩超预期，加码B端协作布局，目标价286.88元,每日经济新闻
151,2021-10-30,东方证券：给予金山办公增持评级，目标价位286.88元,证券之星
152,2021-10-30,国元证券给予金山办公买入评级，2021年三季报点评，近期获4份券商研报关注，目标均价涨幅20.22%,每日经济新闻
153,2021-10-29,金山办公：利润增速回升，订阅类收入提速明显— —华创计算机王文龙团队,蚊子搞科研
154,2021-10-29,A股资金流向：主线和题材共振反弹，宁王、隆基联手爆发,Wind
155,2021-10-29,国盛证券维持金山办公买入评级：三季报业绩超预期，国产云办公领军长期成长性持续验证,每日经济新闻
156,2021-10-29,安信证券维持金山办公买入评级：Q3业绩超预期，产品型公司魅力尽显,每日经济新闻
157,2021-10-29,平安证券给予金山办公推荐评级，三季度经营业绩良好，授权业务和订阅业务持续高速增长,每日经济新闻
158,2021-10-29,平安证券：给予金山办公增持评级,证券之星
159,2021-10-29,金山办公涨超10%，科创创业ETF（588360）涨超2%,资本邦
160,2021-10-29,浙商证券维持金山办公买入评级，金山办公2021年三季报点评：信创业务需求旺盛，订阅运营指标稳健增长,每日经济新闻
161,2021-10-29,浙商证券：给予金山办公买入评级,证券之星
162,2021-10-29,浙商证券：维持金山办公(688111.SH)“买入”评级 信创业务需求旺盛 订阅运营稳健增长,智通财经
163,2021-10-29,金山办公涨超10%，软件ETF（515230）涨超1.5%,资本邦
164,2021-10-29,A股异动丨绩后获券商唱好 金山办公(688111.SH)大涨超9%,格隆汇
165,2021-10-29,【浙商|计算机田杰华/邱世梁】金山办公：信创业务需求旺盛，订阅运营指标稳健增长,微信
166,2021-10-29,金山办公(688111)：Q3整体收入表现较好 关注其持续性,广发证券
167,2021-10-29,北京金山办公软件股份有限公司 2021年第三季度报告,证券日报
168,2021-10-28,金山软件(03888)：金山办公前九月归母净利润8.48亿元 同比增长42.44%,智通财经
169,2021-10-28,图解金山办公三季报：第三季度单季净利润同比增25.75%,证券之星
170,2021-10-28,金山办公(688111.SH)：第三季度净利增25.75%至2.99亿元,格隆汇
171,2021-10-28,交卷！金山办公：第三季度净利润约2.99亿元，同比增长25.75%,每日经济新闻
172,2021-10-28,金山办公：前三季度净利润同比增长42.44%,Wind
173,2021-10-28,计算机应用行业：国产EDA与海外差距在哪儿?,新浪
174,2021-10-28,多项目进入收尾阶段 上市公司多维度护航,证券日报
175,2021-10-27,冬奥会进入百天倒计时：项目陆续收尾 上市公司多维度护航,证券日报网
176,2021-10-27,倒计时100天，金山办公全力保障北京冬奥会两地三赛区协同办公,凤凰网
177,2021-10-27,金山办公首席专家、副总裁肖玢：用协同办公开启冬奥新篇章,中新经纬
178,2021-10-27,金山办公宣布WPS正式支持XLOOKUP函数,36氪
179,2021-10-26,聚焦IPO | 合合信息研发费用高企成果“难产”，客户稳定性不足难保障自身成长性,红周刊
180,2021-10-26,A股资金流向（10月26日）：新能源板块遭获利盘打压，超跌TMT成为避风港,Wind
181,2021-10-26,金山办公亮相2021年华为开发者大会 WPS荣获多项大奖,凤凰网
182,2021-10-25,金山办公跌3.36% 中信证券华西证券安信证券高点喊买入,中国经济网
183,2021-10-25,A股资金流向（10月25日）：碳中和再成市场共识，“风光车储”全线开花,Wind
184,2021-10-25,计算机行业周报：逻辑“双杀”公司开始出现 均衡配置头部与低估值,新浪
185,2021-10-24,【兴证计算机】从阿里云栖大会看科技自立生态进展,兴业计算机团队
186,2021-10-23,金山办公宣布推出藏文版WPS 通过AI解决适配问题,新浪
187,2021-10-23,计算机行业周报：详解智能制造/机械能否穿越PMI周期？,新浪
188,2021-10-22,首个纯国产藏文版办公软件发布,经济日报
189,2021-10-22,A股资金流向（10月22日）：外资连续两日净入百亿撑起盘面，核心资产成最大赢家,Wind
190,2021-10-22,技术援藏 金山办公为米林县全县教育系统免费提供WPS Office,砍柴网
191,2021-10-22,银河证券每日晨报,新浪
192,2021-10-21,藏文版WPS Office发布：全面适配Linux生态，集成汉藏互译工具,IT之家
193,2021-10-21,沪股通昨日减持14只科创板股 减持股份,证券时报
194,2021-10-20,计算机应用周报：计算机行业三季报前瞻,新浪
195,2021-10-20,A股资金流向（10月20日）：新能源板块再获青睐，但宁德时代连续两日遭净卖出,Wind
196,2021-10-20,沪股通昨日加仓16只科创板股,证券时报
197,2021-10-19,2021华为开发者大会来袭 中国软件万兴科技等鸿蒙概念股有望获益,凤凰网
198,2021-10-19,金山办公与华云数据发起国产软件人才培养计划,质量新闻网
199,2021-10-19,13只科创板股获北向资金加仓,证券时报
200,2021-10-18,金山办公跌3.72% 中信证券华西证券安信证券高点喊买入,中国经济网
201,2021-10-18,培养大国工匠 金山办公牵头发起国产软件人才培养计划,凤凰网
202,2021-10-17,【安信计算机】迎接2021华为开发者大会,计算机司令部
203,2021-10-17,计算机应用行业：计算机行业网信板块三季报前瞻,新浪
204,2021-10-17,计算机行业周报：智能驾驶正在发生哪些变化,新浪
205,2021-10-16,加速推进产教融合 金山办公与华云数据发起国产软件人才培养计划,砍柴网
206,2021-10-16,计算机行业周报：一图解释信息安全标的审美差异！,新浪
207,2021-10-14,金山WPS宣布新布局：推出定制平台 10亿流量补贴扶持商户,新浪
208,2021-10-14,A股资金流向（10月14日）：主线之争！新能源KO消费暂时领先,Wind
209,2021-10-14,金山办公推出WPS定制平台,36氪
210,2021-10-13,金山办公：进一步收购创客贴股份可加深双方的产品合作,财联社
211,2021-10-13,金山办公跌3% 中信证券华西证券安信证券高点喊买入,中国经济网
212,2021-10-13,金山办公拟出资875万美元增持创客贴 携文创资源完善协同办公生态,产业经济新闻网
213,2021-10-13,2只科创板股获北向资金减持超千万元 减持股份,证券时报
214,2021-10-12,金山办公(688111.SH)拟出资875万美元认购参股公司创客贴1787.28万股,智通财经
215,2021-10-12,金山办公(688111.SH)：拟以875万美元通过子公司收购创客贴12.79%股份,格隆汇
216,2021-10-12,A股资金流向（10月12日）：市场热点匮乏，资源股再成杀跌主力,Wind
217,2021-10-11,刚刚，A股首份三季报亮相，业绩暴增5.8倍，横扫一大批科技股！芯片龙头突然大跌，背后原因是这个？,e公司
218,2021-10-11,金山PDF for Linux专业版发布 PDF编辑、格式转换、电子签名等重磅功能齐登场,凤凰网
219,2021-10-11,金山办公发布金山PDF for Linux专业版 亮点功能抢先看,凤凰网
220,2021-10-11,卓胜微、金山办公、华熙生物跌超4%，科创创业ETF（588360）跌逾1%,资本邦
221,2021-10-11,计算机应用：继续重点推荐关注鸿蒙产业链相关公司,新浪
222,2021-10-10,计算机行业周报：从科技巨头入股飞腾看国产基础软硬件生态现状,新浪
223,2021-10-09,计算机应用行业点评：挂钩收入大额罚款开启 互联网治理时代来临,新浪
224,2021-10-09,电子行业周报：关注美国货币政策影响,新浪
225,2021-10-09,业绩向上股价向下 金山办公否认“70亿元”天花板,中国经营报
226,2021-10-08,北向资金今日净卖出25.72亿元，贵州茅台遭大幅净卖出超11亿元,Wind
227,2021-10-08,A股资金流向（10月8日）：资金高低切换，大幅抢筹保险、大消费板块,Wind
228,2021-10-03,重回年初起点，科创板2021年前三季度榜单全面揭晓,Wind
229,2021-10-01,重回年初起点，科创板前三季度榜单全面揭晓！,Wind
230,2021-09-30,A股资金流向（9月30日）：市场温和缩量，“茅宁”组合成持股者首选,Wind
231,2021-09-29,外资与券商同时看好这只票！北向掘金今日战绩：圆通速递、金山办公、震安科技、保利发展、圣农发展逆势上涨,新浪
232,2021-09-29,2021 信创“大比武”基础办公应用开发赛道复赛迎来 30 强激烈角逐,凤凰网
233,2021-09-29,A股资金流向（9月29日）：节前资金避险欲望强烈，银行股获青睐,Wind
234,2021-09-29,野村：予金山软件买入评级，目标价43港元,Wind
235,2021-09-28,加速共建信创生态、填补信创云文档空白 WPS文档中台通过鲲鹏兼容性验证,砍柴网
236,2021-09-28,A股资金流向（9月28日）：绿电龙头重回“C位”,Wind
237,2021-09-27,计算机应用：开源软件正在建设数字中国IT底座 关注主流商业发行版公司,新浪
238,2021-09-27,申万宏源通信周报：重点关注通信板块预期修复机会,新浪
239,2021-09-26,通信·产业追踪(31)：卡奥斯首入亚洲品牌500强 国内智能制造强势崛起,新浪
240,2021-09-26,"1000+选手参赛,30支队伍突出重围,2021 信创“大比武”基础办公应用开发赛道复赛即将启幕!",砍柴网
241,2021-09-26,【兴证计算机】从HC2021看华为产业链投资机会,兴业计算机团队
242,2021-09-26,1000+选手参赛，2021 信创“大比武”基础办公应用开发赛道复赛即将启幕！,凤凰网
243,2021-09-26,计算机行业周报：华为欧拉有哪些机会？恒生发投研一体新品！,新浪
244,2021-09-24,金山办公战略投资炎黄盈动，为低代码PaaS打上「国潮」标签,中国贸易新闻网
245,2021-09-24,名列前茅！金山办公携WPS亮相中国电子第五届“i+”创新创业大赛,凤凰网
246,2021-09-24,金山办公(688111)跟踪报告：推动用户+品类+模式升级,新浪
247,2021-09-24,中信证券晨会,新浪
248,2021-09-24,[中国好公司]金山办公：唯一可匹敌微软office的办公巨头,新浪
249,2021-09-24,A股万亿常态成交，三季度以来逾千家公司获机构调研,Wind
250,2021-09-23,北向资金净卖出额创近一个月新高，银行股遭大幅抛售,Wind
251,2021-09-23,巨亏近100亿，许家印老友打算清仓恒大,Wind
252,2021-09-23,A股资金流向（9月23日）：电力、资源股出现强分歧,Wind
253,2021-09-23,热门公司调研机构云集，34家看涨逾100%,Wind
254,2021-09-23,金山办公、卓胜微涨超5%，科创创业ETF（588360）涨超0.5%,资本邦
255,2021-09-23,炎黄盈动获金山办公A+轮战略投资，办公软件巨头×低代码PaaS，共筑数字化底座,经济网
256,2021-09-22,为低代码PaaS打上国潮标签，炎黄盈动获得金山办公A+轮战略投资,猎云网
257,2021-09-22,A股资金流向（9月22日）：电力股全线爆发，“茅宁”成“牛夫人”,Wind
258,2021-09-21,计算机行业周报：对几个计算机重要标的的看法,新浪
259,2021-09-17,金山办公跌4.69% 华西证券安信证券中信证券高点喊买,中国经济网
260,2021-09-17,A股资金流向（9月17日）：消费、资源跷跷板效应显著,Wind
261,2021-09-17,石基信息(002153)：洲际落单 全球市场正式打开,新浪
262,2021-09-17,铸牢共同体！金山办公支持民族地区信息化创新发展,砍柴网
263,2021-09-17,助融合发展，金山办公支持内蒙古自治区提升信息化能力,全球财经网
264,2021-09-17,GPU的那些事儿：关于GPU的科普,新浪
265,2021-09-17,新纳入富时罗素相关指数个股尾盘异动，生效日效应提前了？,Wind
266,2021-09-16,“家电茅”跌42%，又见投资者爆仓！白马股怎么啦 股票质押异常,Wind
267,2021-09-14,通信·产业追踪(29)：上海加码工业软件政策；中兴通讯高端路由器集采拔头筹,新浪
268,2021-09-14,A股资金流向（9月14日）：资金出逃高位资源股，锂电滞涨分支挖掘补涨,Wind
269,2021-09-14,计算机行业：鸿蒙商业系统用户突破9千万 开源鸿蒙系统将构建数字中国系统底座 金融IT持续受益资本市场改革红利,新浪
270,2021-09-14,鸿蒙升级用户数突破1亿！概念股狂欢，生态伙伴即将起航？,第一财经
271,2021-09-13,访金山办公副总裁王冬：年轻人评价WPS蛮“潮”，让我们意外,中国经营网
272,2021-09-13,计算机行业周报：AI+IOT大潮潜力可期 看好龙头产业化变现能力,新浪
273,2021-09-13,计算机行业周报：板块性价比凸显布局价值,新浪
274,2021-09-10,金山办公(688111)：业务继续保持健康快速成长 加大销售、研发投入力度谋划更大增长空间,新浪
275,2021-09-09,金山办公跌3.31% 上半年6大股东9名董监高减持 减持股份,中国经济网
276,2021-09-09,A股资金流向（9月9日）：资源股炒作进入高潮期，铜、黄金挖掘补涨,Wind
277,2021-09-07,云计算2021H1中报总结：先蹲后跳 长期成长优先于短期业绩,新浪
278,2021-09-07,“元宇宙”概念火爆，游戏股回血，有哪些投资机会可关注？,证券之星
279,2021-09-07,A股资金流向（9月7日）：资源、金融双轮驱动，追高资金享受溢价,Wind
280,2021-09-07,计算机行业周报：网络安全行业未来3年预计维持23.6%的高增速,新浪
281,2021-09-06,A股资金流向（9月6日）：消费、金融齐发力，创业板龙头获抢筹,Wind
282,2021-09-06,佳都科技涨停恒生电子、金山办公涨超5％ 软件ETF盘中涨近2%,金融界
283,2021-09-06,茅指数午后一度涨超4%，比亚迪涨近9%,Wind
284,2021-09-06,和讯SGI指数半年报TOP30榜单出炉 金山办公、迈瑞医疗、澜起科技位列前三,和讯
285,2021-09-06,和讯SGI指数榜单更新！金山办公、迈瑞医疗并驾齐驱，江苏北人仍垫底,和讯
286,2021-09-06,摩根士丹利：下调金山软件目标价至54港元，评级增持,Wind
287,2021-09-03,A股资金流向（9月3日）：多空厮杀激烈，锂电上游龙头“跌落神坛”,Wind
288,2021-09-03,科技制造行业先进制造2021年9月月报：聚焦专精特新 继续布局估值和增长匹配的中小市值标的,新浪
289,2021-09-03,金山办公(688111)：上半年收入增长71% 付费用户数持续提升,新浪
290,2021-09-03,海通证券：予金山办公(688111.SH)“优大于市”评级 价值区间322.4-396.8元,智通财经
291,2021-09-01,金山办公携手湖南电信建设智慧常德,东方网
292,2021-09-01,金山办公六连阴 上半年6大股东9名董监高减持 减持股份,中国经济网
293,2021-08-31,上交所：科创板公司机构持股比例上升明显，国际投资者持仓规模持续增长,Wind
294,2021-08-31,金山办公季度归母净利首现负增长 股价连跌5日累计削去30%,中国网
295,2021-08-31,发生了什么？外资突然出手，多股尾盘异动，挂单一度超180亿！,Wind
296,2021-08-31,赛道板块加速分化，机构称9月市场处于防御期,Wind
297,2021-08-30,A股资金流向（8月30日）：新能源持续吸金，“盐皇”遭大幅抛售,Wind
298,2021-08-30,金山办公股东拟减持317.9万股，股价大跌超18% 拟减持股份,阿尔法工场
299,2021-08-30,金山办公半年报业绩说明会：SaaS订阅策略转向长期付费，商业模式更健康,凤凰网
300,2021-08-30,金山办公：长期来看非常看好国产化市场的成长空间,e公司
301,2021-08-30,金山办公接受82家机构调研！短期主力资金净流入，市场资金早已察觉,每日经济新闻
302,2021-08-30,金山办公：中信证券、中金公司等94家机构于8月26日调研我司,证券之星
303,2021-08-30,港股盘前必读：人工智能独角兽商汤科技向港交所递交上市申请,Wind
304,2021-08-30,民生计算机周报：国资云或带来新一轮IT建设 三大方向有望受益,新浪
305,2021-08-29,金山办公(688111)2021年半年报点评报告：信创业务爆发式增长 订阅业务运营指标亮眼,新浪
306,2021-08-28,金山办公中报点评：积极布局生态渠道，贯通办公上下游,中经导报
307,2021-08-27,晚间要闻2021年8月27日星期五,Wind
