,2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
90,2021-12-22,【能源保供看央企】中国石油青海油田：加快新井投产 冬供再添动力－国务院国有资产监督管理委员会,国资委
91,2021-12-22,金洲管道：公司有能力为各燃气公司提供优质的管道产品,Wind
92,2021-12-21,晶澳DeepBlue 3.0助力中石油首个新能源项目建设,北极星电力
93,2021-12-21,稳居全国第一！长庆油田年油气产量再破6000万吨,21世纪经济报道
94,2021-12-20,4年后，国内风光无限的乙烯产能将如何变现？,国家煤化工网
95,2021-12-19,中国石油集团总经理助理张华林：中国石油把创新调整为第一战略，把绿色低碳纳入发展战略框架,新浪
96,2021-12-18,中石油全年向湖南省供应天然气突破34亿方,腾讯网
97,2021-12-17,中国石油新疆油田呼图壁储气库日采气量突破2500万立方米,经济日报
98,2021-12-17,助力“绿色冬奥”！中国石油发布综合能源站新形象！,润滑油信息网
99,2021-12-17,国内成品油价格年内“三连跌”,Wind
100,2021-12-17,黑龙江建龙前10个月开发出12个钢级无缝管新品,兰格钢铁网
101,2021-12-17,中国石油：把ESG相关工作纳入职责范围、制定可量化行动方案,中国石油
102,2021-12-17,中国石油西南油气田形成两大万亿气区 两大领域实现千亿级增储,中新网
103,2021-12-17,【信达能源】“十四五”我国能源、煤炭需求展望,黑金新视野
104,2021-12-16,“第三届跨越石油时代国际研讨会”在京举行,电力新闻网
105,2021-12-16,江苏能源监管办督导调研成品油供应,电力新闻网
106,2021-12-16,中国石油与OGCI成员公司联合签署发布《OGCI 2021年年报》,中国石油网
107,2021-12-16,中国石油塔里木油田油气产量当量突破3000万吨－国务院国有资产监督管理委员会,国资委
108,2021-12-15,鲁西集团在第十三届中国石油和化工行业 职业技能竞赛中喜获佳绩,国家煤化工网
109,2021-12-15,官方合作伙伴为北京冬奥会提供立体保障,新京报
110,2021-12-15,中石油塔里木油田油气当量突破3000万吨,中华工商时报
111,2021-12-15,外资海湾加油站入驻我国，油价才5块？国营加油站未来将何去何从,腾讯网
112,2021-12-15,中国移动A股上市拟融资才560亿真不算多 还不如农行和中石油,搜狐
113,2021-12-14,旺季不旺！资源充足、需求疲软，国内LNG价格自高位腰斩,21世纪经济报道
114,2021-12-14,原料取之不尽DNA生物塑料具量产化潜力,科技日报
115,2021-12-14,中国石油新疆油田克拉美丽气田年产油气当量突破100万吨,中新网
116,2021-12-14,能源数字化加速,证券之星
117,2021-12-14,中国移动回A股，560亿募资创10年新高，股民：又一个中国电信？,搜狐
118,2021-12-14,兰州石化经营业绩持续向好,电力新闻网
119,2021-12-14,塔克拉玛干沙漠腹地新建年产200万吨油田 油气资源超十亿吨,中国证券网
120,2021-12-14,两桶油加码光伏等新能源！,光伏能源圈
121,2021-12-13,欧佩克月报：中国石油制品净进口较上轮统计减少114万桶/日至925万桶/日,金十数据
122,2021-12-13,大庆油田三次采油产量连续20年超千万吨,Wind
123,2021-12-13,中国石油与天津大学合作 成功研发DNA生物塑料,中国能源网china5e
124,2021-12-13,申万宏源：中央经济工作会议透露能源机遇,财联社
125,2021-12-13,期市投资参考：“超级央行周”重磅来袭，美国通胀创近40年新高,Wind
126,2021-12-13,长庆油田钻试废液集中处理示范工程,中国环境报
127,2021-12-13,陆家嘴财经早餐2021年12月13日星期一,Wind
128,2021-12-13,中寰股份董事长李瑜：做高端装备制造先行者和引领者,发布易
129,2021-12-13,“两桶油”共探转型发展,中国能源报
130,2021-12-12,中石油塔里木油田今年已生产油气当量突破3000万吨,财联社
131,2021-12-12,再破3000万吨！中石油塔里木油田实现“十四五”良好开局,Wind
132,2021-12-12,11月中国企业新媒体指数榜：中国电信第一，中国移动、中国石油分列二三,Bianews
133,2021-12-12,2021年11月中国企业新媒体指数榜：中国电信第一，中国移动、中国石油分列二三,国资委
134,2021-12-10,辽宁省锦州市市场监管局抽查：4批次车用乙醇汽油不合格 产品问题,质量新闻网
135,2021-12-10,2021中国能源（集团）500强榜单出炉！,中国能源报
136,2021-12-10,自主开发核心技术让“愁油”炼制不再愁,电力新闻网
137,2021-12-10,中意人寿：股东中西合璧，打造合资险企稳健经营样本,搜狐
138,2021-12-10,位次创新高！中国石油连续14年入选《世界品牌500强》,北极星电力
139,2021-12-10,全方位合作！三一集团与中石油重磅签约,三一重工
140,2021-12-10,中石油海南推进能源转型出实招,中国经济网
141,2021-12-10,“冬奥经济”助燃制造业：多个产业链获“冬奥机遇”,Wind
142,2021-12-09,三一集团：与中石油正式签署合作协议,e公司
143,2021-12-09,北向资金狂买A股超200亿净买入额创历史次高，继续大幅抢筹白酒股,Wind
144,2021-12-09,福田汽车：公司与中石油合作建设了加氢站,每日经济新闻
145,2021-12-09,港股异动 | 达力普控股创历史新高 达力普专用管在中国石油物资谈判采购入网总金额达2.9亿元,格隆汇
146,2021-12-09,因地制宜探索“光伏+”综合利用模式,中国能源网china5e
147,2021-12-09,甲烷减排或从能源行业破题，“十四五”中国或出甲烷控排方案,Wind
148,2021-12-08,聚焦|百济神州巨额新股遭弃购 “明星”光环因何褪色,财联社
149,2021-12-08,达力普控股(01921)：达力普专用管在中国石油物资谈判采购入网总金额达2.9亿元,智通财经
150,2021-12-08,达力普控股：集团于产品研发、生产、市场及客户群开拓方面取得突破性进展,Wind
151,2021-12-08,沪东中华签下3艘LNG运输船建造合同,兰格钢铁网
152,2021-12-08,沪东中华与中国石油、中远海运签订3艘17.4万立方米LNG运输船建造合同,中国水运网
153,2021-12-08,中石油服务北京冬奥供氢能力将达5500千克/日,电力新闻网
154,2021-12-08,中石油召开下半年QHSE管理体系审核汇报会,中国石油网
155,2021-12-08,沪东中华与中国石油、中远海运签订3艘LNG运输船建造合同,浦东时报
156,2021-12-08,天业集团入围中国石油和化工企业500强,中国能源报
157,2021-12-08,业内首次！世界最大LNG船夜间离泊如东洋口港,中国燃气网
158,2021-12-08,三大央企携手！沪东中华再获3艘17.4万方LNG船订单,国际船舶
159,2021-12-07,中国石油：已生生产出纯度达99.999%氢气,快科技
160,2021-12-07,假哭穷？原油涨也亏、原油跌也亏，中石油为何总是亏损？ 亏损,腾讯网
161,2021-12-07,中国石油冬奥日供氢能力将达5500kg,腾讯网
162,2021-12-07,各获3艘！中韩两大船企LNG船市场同日报喜,国际船舶
163,2021-12-07,中国石油河北销售以“云顶”服务为冬奥“加油”,国资委
164,2021-12-07,吉天仪器助力中国石油油品质量检测,中国机经网
165,2021-12-07,中国石油与中国石化签订战略协议点评：共同保障能源安全 加速向新能源领域转型,光大证券
166,2021-12-07,中国石油保障北京冬奥氢能供应,中国石油报
167,2021-12-07,国家能源局主要负责人主持召开第五次中国—欧佩克高级别对话会,Wind
168,2021-12-07,西南油气田今年投产气井超过240口,国际燃气网
169,2021-12-07,巨化股份入选2021年中国石油和化工500强多项榜单,巨化股份
170,2021-12-07,中石油重庆潼南分公司 夜间安全“护身符”保安全,重庆商报
171,2021-12-06,主题前瞻?电信巨头拟采购虚拟人产品，是进入虚拟世界的必要化身,财经网
172,2021-12-06,推动人民币国际化进程 兴业银行北京分行助力企业上线CIPS标准收发器,财经网
173,2021-12-06,电力设备新能源行业周报：“蔚小理哪”11月销量破万 第二批风光大基地启动,新浪
174,2021-12-06,为端好能源饭碗 他们“扎根”大漠大海,科技日报
175,2021-12-06,2021年基金，买了个“寂寞”,Wind
176,2021-12-06,基础化工行业周报：政策陆续出台利好氢能行业发展 氟化工向高附加值产品延伸,光大证券
177,2021-12-05,中国石油和化学工业联合会副会长、党委副书记傅向升：石化行业利润总额将在今年创造新历史纪录,期货日报网
178,2021-12-05,满洲里新冠肺炎确诊病例轨迹发布，涉及学校及多个小区,Wind
179,2021-12-03,“十四五”规划印发：碳排放降18%，落后产能加速淘汰！,Wind
180,2021-12-03,光华科技再次荣登中国石油和化工500强榜单，排名上升82位！,质量新闻网
181,2021-12-03,中国石油渤海装备新型钻采装备研发提升竞争力,中国石油网
182,2021-12-03,“后卫”转“前锋”，打一场漂亮的“进攻战”——中国石油地热产业高质量发展观察,中国石油
183,2021-12-03,汽车行业周报：11月多地发布氢能产业政策 关注北京冬奥会示范应用筹备进展,新浪
184,2021-12-03,构建石油商旅平台，助力企业商旅数字化转型,中国能源网china5e
185,2021-12-03,经参头版：活跃度提升，全国碳市场迎“首考”倒计时,Wind
186,2021-12-02,光华科技再次荣登中国石油和化工500强榜单，排名上升82位！,凤凰网
187,2021-12-02,中石油857｜与中石化386签署战略合作框架协议 | 头条金融网,头条日报
188,2021-12-02,中石油与中石化签约：深化新能源等领域合作,中国石油
189,2021-12-02,重磅！中国石油、中国石化签约合作！两大央企氢能布局一览！,中国能源网china5e
190,2021-12-02,中国石油辽河油田精施“注”颜术控制递减,中国石油网
191,2021-12-02,每经11点丨官宣！中国石油与中国石化签署战略合作框架协议；上海复旦大学附属金山医院暂停门急诊服务；北向资金净流入超10亿元,每日经济新闻
192,2021-12-02,1000座！黑龙江中石油战略携手联盛新能源 推动全域分布式光伏应用,北极星电力
193,2021-12-02,中石油与中石化签署战略合作框架协议,财联社
194,2021-12-02,中金：智能电网浪潮已至，掘金“专精特新”小巨人,Wind
195,2021-12-02,阿里技术大牛再创业，花2999元买个元宇宙入口？,21商评网
196,2021-12-01,IPO专题：策略研究：新股精要-国内高性能抗氧化剂领先生产商风光股份,新浪
197,2021-12-01,天津大学仰大勇团队研发“环境友好型”DNA生物塑料 有望部分替代传统塑料,中国生物技术网
198,2021-12-01,中国石油与渣打银行完成欧洲首单绿色贸易融资,中国石油
199,2021-12-01,中国石油与巴西国家石油公司联合中标区块获油气发现 －国务院国有资产监督管理委员会,国资委
200,2021-12-01,携手蔚来布局换电，为何加油站们趋之若鹜？,搜狐
201,2021-11-30,“环境友好型”DNA生物塑料有望部分替代石油基塑料,科技日报
202,2021-11-30,2021中国石油和化工企业500强发布,润滑油信息网
203,2021-11-30,中国石油成功自主研发超高压采气井口,中国石油报
204,2021-11-30,cippe2022采购对接会明年3月在京举办,中国能源网china5e
205,2021-11-30,【能源保供看央企】中国石油地热清洁供暖产业跑出发展加速度 －国务院国有资产监督管理委员会,国资委
206,2021-11-30,汽车新零售瞄准换购市场，大搜车与“两桶油”擦出新火花,新京报
207,2021-11-30,打破多项纪录！国内自主研发的最先进钻机首战告捷,中新网
208,2021-11-29,2021中国石油和化工企业500强发布会暨大连市石化产业招商推介会召开,经济日报
209,2021-11-29,顺灏股份：公司旗下草本非烟低温加热不燃烧制品FreeM目前已在北京线下便利店以及中石油中石化部分便利店销售,每日经济新闻
210,2021-11-29,中石油江苏LNG接收站迎来第500船LNG,和讯
211,2021-11-29,中石油新疆呼图壁储气库投入“西气东输”,和讯
212,2021-11-29,2021年化工500强榜单揭晓 化工上市公司500强和市值500强首次发布,财经网
213,2021-11-29,中国石油江苏LNG接收站迎来第500船LNG,电力新闻网
214,2021-11-28,石油化工行业周报：OMICRON引发油价恐慌性下跌 对后市原油及石化影响分析,新浪
215,2021-11-28,公用周报：省间电力现货交易规则出台 三峡能源发布股权激励计划,新浪
216,2021-11-27,全国最大储气库中石油呼图壁储气库开始向西气东输管网供气,澎湃新闻
217,2021-11-27,惠及人口近2亿人！全国最大储气库向西气东输管网供气,21世纪经济报道
218,2021-11-27,恒合股份(832145)：乘政策东风 打造石油石化VOCS治理领军企业,华安证券
219,2021-11-27,工信部召开原材料工业经济运行分析座谈会,Wind
220,2021-11-27,E周新势力 | 特斯拉一周二次涨价/上海工厂扩建；蔚来与壳牌达成合作；苹果汽车芯片研发完成,中证报
221,2021-11-26,北京全市低风险，三地疫情又起，徐杭病例系上海病例密接,华夏时报
222,2021-11-26,2021第十一届成都百强企业榜单重磅发布 制造业是经济“压舱石”,中国县域经济报
223,2021-11-26,中国石油首个砾岩油藏“二三结合”示范区连续5年稳产10万吨,中新网
224,2021-11-26,通用股份获评行业创新示范企业,轮胎世界网
225,2021-11-26,港股石油股午后走低，中国石油股份跌逾3%,Wind
226,2021-11-26,中控技术参加中国石油石化企业网络安全技术交流大会,中自网
227,2021-11-26,江汉石油工程公司刷新中石油泸州区块4项纪录,石化新闻网
228,2021-11-26,中国石油巴西国油联合在阿拉姆区块获油气发现,中国石油网
229,2021-11-26,北京中风险地区清零，此轮传播如何在3日内得到控制？,新京报
230,2021-11-26,控制甲烷排放行动，五大计划出台，煤炭、油气等领域成治理重点,Wind
231,2021-11-25,达力普控股：用以制造产品的原材料废旧金属市场价格平均下降约12.2%,Wind
232,2021-11-25,“行业技术创新示范”，3家轮胎企业上榜公示,橡胶技术网
233,2021-11-25,中石油国事LNG运输项目首制船顺利出坞,新浪
234,2021-11-25,油价走高，A股石油公司3大指标会改善？,Wind
235,2021-11-25,中国石油志愿者高质量服务冬奥村开荒保洁,中国石油网
236,2021-11-25,中信证券：全球TOP20基金如何配置中国,Wind
237,2021-11-25,中国石油956100客服热线正式运行,中国石油
238,2021-11-25,首届中国石油工程监督行业优秀成果评选收官,中国石油
239,2021-11-25,中信证券晨会,新浪
240,2021-11-25,“双碳”形势下我国炼化行业五大发展方向,石化新闻网
241,2021-11-24,石油化工新材料行业北上资金周报,新浪
242,2021-11-24,中石油牵手蔚来 全国首座二代换电站落地,第一电动网
243,2021-11-24,中国石油亮相阿布扎比国际石油展,中国石油网
244,2021-11-24,第三届大学生化工创意设计挑战赛圆满收官,财经网
245,2021-11-24,“双碳目标”和COP26下，中石化、中石油等布局绿色转型,第一财经
246,2021-11-24,中国石油地热清洁供暖产业跑出发展加速度,液化天然气网
247,2021-11-24,中国石油在运行及在建清洁供暖项目增至16个,电力新闻网
248,2021-11-24,“三桶油”齐上涨 中石油(00857)涨3.43% 美国宣布释放战略石油储备,和讯
249,2021-11-24,港股恒指微幅高开，小鹏汽车大涨6.18%，快手张4%，中国石油涨超3%,和讯
250,2021-11-24,恒生指数高开0.08%报24672点 石油股走强中石油(00857)涨3.14%,凤凰网
251,2021-11-24,恒指高开0.08%，医药、油气股涨幅居前,Wind
252,2021-11-24,【能源保供看央企】中国石油产运储销贸各环节齐发力保冬供 －国务院国有资产监督管理委员会,国资委
253,2021-11-23,“国企改革主题”重仓股鲜有国企，大成国企改革“挂羊头卖狗肉”,和讯
254,2021-11-23,中寰股份：订单恢复性增长 橇装设备是未来业绩增长点,财联社
255,2021-11-23,万字剖析：今冬天然气将成能源供应关键，影响有多大,Wind
256,2021-11-23,晶科能源支持中石油打造首个成规模光伏发电示范项目,中国经济网
257,2021-11-23,2021(第四届)中国石油石化设备完整性管理技,润滑油信息网
258,2021-11-23,罕见！某信托董事长，同时再担任另外一家信托公司的副董事长！,微信
259,2021-11-23,巅峰对话碳中和——擎可持续发展·“碳”百万亿商机,Wind
260,2021-11-22,金融街下午茶2021年11月22日星期一,Wind
261,2021-11-22,总投资约370亿！中石油广西百万吨级乙烯装置即将启动建设,润滑油信息网
262,2021-11-22,北向资金今日净买入14.35亿元，宁德时代再获大幅净买入近17亿,Wind
263,2021-11-22,中国石油：长庆油田天然气年产量突破400亿立方米,Wind
264,2021-11-22,中国石油：长庆油田天然气年产量突破400亿立方米,e公司
265,2021-11-22,政府大力支持，万亿央企布局，分布式光伏已经崛起！,索比光伏网
266,2021-11-22,今冬会不会爆发气荒？,国家煤化工网
267,2021-11-22,中国石油最大口径钢管下线,中国石油网
268,2021-11-22,石油井控安全再添新“利器”,经济参考报
269,2021-11-20,【组图】新疆石油工人：迎风斗雪战寒夜【中经视觉】,经济日报
270,2021-11-20,河北诚信集团褚现英：大道唯诚 产业精神再扬帆,东方网
271,2021-11-19,国内成品油价迎年内第四跌,Wind
272,2021-11-19,京津冀三地能源企业全力保障能源供应,北京日报
273,2021-11-18,中国石油新疆油田：精准“把脉”优化呼探1井试采运行,科技日报
274,2021-11-18,供暖季大幕开启、北京冬奥会临近，能源央企保供没商量,科技日报
275,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
276,2021-11-18,涉氢能股票受热捧！龙头股今年以来股价翻倍，多家公司回应,Wind
277,2021-11-18,中国石油华北油田冬供期间预计生产天然气煤层气8亿立方米以上,河北日报
278,2021-11-18,中国石油多措并举备战冬供“大考”，今冬明春供气将首超千亿方,Wind
279,2021-11-18,油、气、煤同步降价后，全球能源供应迎接冬季挑战,Wind
280,2021-11-18,中国石油多措并举备战冬供“大考”，今冬明春供气将首超千亿方,21世纪经济报道
281,2021-11-17,杰瑞股份(002353)：多重因素影响3Q21业绩 斩获中东27亿元大单看好上行周期公司表现,新浪
282,2021-11-17,环保4家 2021年石油和化工行业百佳供应商名单发布,北极星电力
283,2021-11-17,中国石油入股成立大宗易行合资公司,中国石油
284,2021-11-17,中石油最大口径钢管在陕西宝鸡诞生,新华网
285,2021-11-17,国家管网“三桶油”备战天然气保供 供应量将创历史新高,东方网
286,2021-11-16,向数据要石油，向智能要发展，华为发布智慧油气田解决方案,美通社
287,2021-11-16,塔里木油田通过“西气东输”工程供气突破2900亿方,国际燃气网
288,2021-11-16,油耗低至 4.2L/100km！这辆合资中型车比雅阁香？,ZAKER
289,2021-11-16,中国石油集团：保供“火力全开” 努力交出“温暖答卷”,光明日报
290,2021-11-15,供不应求？秉扬科技：拟投资超亿元建设压裂用石英砂支撑剂项目,每日经济新闻
291,2021-11-15,乘北交所浪潮再次扬帆 秉扬科技力争细分行业龙头,金融投资报
292,2021-11-15,宝鸡钢管引汉济渭项目首根超大口径钢管顺利下线,管道商务网
293,2021-11-15,中能观察丨油气企业推动天然气保供能力持续增强,电力新闻网
294,2021-11-15,LNG产业链参与者高度共识：新形势下天然气扮演不可替代的角色,上海石油天然气交易中心
295,2021-11-15,瑞银：上调中石油(00857)目标价至5港元 评级升至“买入”,智通财经
296,2021-11-15,中国石油又一清洁供暖项目加入保供大军,中国石油
297,2021-11-15,石油化工行业周报：LPG、油价与天然气价格关系及影响,新浪
298,2021-11-14,陆家嘴财经早餐2021年11月14日星期日,Wind
299,2021-11-13,寒潮来袭 能源企业开足马力增产保供,中国经营网
300,2021-11-13,厚普股份：中石油疫情对公司业务暂未造成大的影响,每日经济新闻
301,2021-11-13,中石油辽河油田储气库扩容投产,经济日报
302,2021-11-13,江西上饶一天新增16例感染者，中石油会议传播链已达10人,第一财经
303,2021-11-13,国家发改委、国家能源局发声！与你用电有关→,央视财经
304,2021-11-13,沙特兑现50年供油承诺，33家企业签百亿订单，中石油却蒸发3000亿,腾讯网
305,2021-11-13,东北最大储气库采气投产！,央视
306,2021-11-13,东北最大储气库采气投产！大幅提升天然气保供能力,Wind
307,2021-11-12,雪人股份：公司是中石化及中石油的设备供应商，正在积极寻求与中石化和中石油展开氢能方面的合作,每日经济新闻
308,2021-11-12,中国石油全力以赴打赢疫情防控阻击战,中国石油网
309,2021-11-12,中石油会议传播链已致吉林、北京两地共9人感染,经济观察网
310,2021-11-12,中石油会议传播链已致9人感染，5例与北京近期疫情同源性高,澎湃新闻
311,2021-11-12,中国石油新疆油田连投5口新井 有效保证产量供气量稳中有升,科技日报
312,2021-11-12,PP各生产工艺分析,福能期货
313,2021-11-12,中石油3员工确诊 驻京单位全员测核酸,新京报
314,2021-11-12,中国石油独山子石化自主研发耐刮擦PE100级管材料,中国石油网
315,2021-11-12,本轮疫情本土感染者已超1260人：大连新增11个中风险地区 北京新增7例感染者,快科技
316,2021-11-12,汽车产业创新链竞逐“隐形冠军”,Wind
317,2021-11-12,北京新增7例新冠肺炎感染者,北京青年报
318,2021-11-11,大公司动态丨中国电信为5G终端搞百亿补贴；超2.36亿元产品逾期，渤海信托回应,第一财经
319,2021-11-11,【经纬晚班车】一个口罩上千元！加拿大鹅收割智商税？,中新经纬
320,2021-11-11,4名员工核酸检测阳性 中国石油在京系统全面进入应急状态,快科技
