,2021-12-31,二线厂商齐战「宁王」，动力电池格局生变,全天候科技
30,2021-12-23,晚间重要公告2021年12月23日星期四,Wind
31,2021-12-23,长安汽车回购注销103.6万股限制性股票,乐居财经
32,2021-12-23,科力远(600478.SH)子公司拟8549万元向长安汽车转让15项专利技术,智通财经
33,2021-12-23,科力远：控股子公司拟向长安汽车转让专利权,财联社
34,2021-12-23,科力远(600478.SH)：子公司拟以8549.20万元转让15项专利技术的专利权给长安汽车,格隆汇
35,2021-12-23,长安民生物流：临时股东大会结果,Wind
36,2021-12-23,“双碳”愿景引领长线布局，多行业或迎价值重塑,Wind
37,2021-12-22,标题：辣评11月新能源车企 | 新能源整体大涨 比亚迪持续领跑 MODEL Y下滑,搜狐
38,2021-12-22,2021重庆论坛 长安朱华荣：三大造车格局正在形成 任何一方想通吃都风险巨大,砍柴网
39,2021-12-22,长安汽车的iDD混动系统有什么突出的优势？,Ofweek
40,2021-12-22,长安汽车大佬离职 曾一手主导“长安萨斯”设计风格,快科技
41,2021-12-22,长安汽车(000625.SZ)：谭小刚因工作变动辞任董事等职 董监高成员变化,格隆汇
42,2021-12-22,长安汽车(000625.SZ)：谭小刚不再担任董事职务 董监高成员变化,智通财经
43,2021-12-22,长安汽车：公司董事变更 董监高成员变化,Wind
44,2021-12-21,66股获重要股东增持，四大领域最受青睐！,Wind
45,2021-12-21,【快讯|长安UNI-T 2.0T车型将于12月24日预售】日前，长安汽车官方宣布，长安UNI-T 2.0T车型将于12月24日开启预售。新车在外观上进...2小时前4321 0,汽车之家
46,2021-12-20,中国汽车流通协会：2021年11月汽车皮卡市场分析,199IT
47,2021-12-20,阿维塔的底气来自哪里？,36氪
48,2021-12-20,华中马瑞利与长安汽车设立联合创新中心,盖世汽车
49,2021-12-20,A股资金流向：赛道股加速遭抛售，低价股成短线“避风港”,Wind
50,2021-12-20,长安汽车收跌7.11%，现报15.95元,乐居财经
51,2021-12-20,A股收盘综述：创业板指跌近3%，新能源股大步回撤,Wind
52,2021-12-20,能打破10万级SUV的天花板很少，但为何是长安汽车这款车？,Ofweek
53,2021-12-20,汽车整车板块持续走弱,Wind
54,2021-12-20,全新长安CS75，能给紧凑级SUV市场带来多大冲击呢？,Ofweek
55,2021-12-20,长安汽车大跌,新浪
56,2021-12-20,【行情】汽车整车板块走弱，长安汽车跌近6%，曙光股份、汉马科技、福田汽车跟跌,金十数据
57,2021-12-20,长安汽车自主品牌销量连降5月 控股股东实控人轮番减持或套现54亿 盈利能力下降,长江商报
58,2021-12-20,线上线下全场景融合 长安汽车推全新服务品牌,网通社
59,2021-12-19,加速转型智能出行科技公司 长安汽车发布全新服务品牌,科技日报
60,2021-12-19,天风证券：乘用车短期销量回升 坚定看好吉利汽车（00175）等自主崛起车企龙头,智通财经
61,2021-12-19,重庆财经｜车企频频“跑马” 就没有其他选择了吗？,上游新闻
62,2021-12-19,重庆财经｜“缺芯”之下 长安汽车宣布新车交付超期最高补偿1万元,上游新闻
63,2021-12-18,数据解放生产力——琰究汽车数据系列（2021年11月）【华西汽车 崔琰团队】,汽车琰究
64,2021-12-18,长安汽车UNI Service服务品牌正式发布,汽车之家
65,2021-12-18,近50万股民注意，汽车大白马预告大股东减持 减持股份,新浪
66,2021-12-18,百家机构扎堆调研股曝光，锂电小龙头透露锂矿资源等信息,Wind
67,2021-12-17,长安汽车(000625.SZ)股东兵装集团等拟减持不超1.35亿股 拟减持股份,智通财经
68,2021-12-17,长安汽车：多名股东拟合计减持不超1.78%股份 拟减持股份,财联社
69,2021-12-17,长安汽车：实控人及一致行动人合计拟减持不超过总股本1.78% 拟减持股份,Wind
70,2021-12-17,汽车行业专题报告：驱动技术升级是拉动中国品牌向上的核心变量,新浪
71,2021-12-17,长安汽车朱华荣：探索新能源高端品牌，长安汽车诠释发展之路,砍柴网
72,2021-12-17,长安汽车虽有“远虑”，却也难免“近忧”,金融界
73,2021-12-16,午间公告：中国长安及南方资产减持长安汽车届满 回笼资金31亿元,产业经济新闻网
74,2021-12-16,午间公告2021年12月16日星期四,Wind
75,2021-12-16,长安汽车(000625.SZ)：控股股东方面完成减持1.88%股份 减持股份,格隆汇
76,2021-12-16,长安汽车(000625.SZ)控股股东中国长安及一致行动人南方资产合计减持比例达1.88% 减持股份,智通财经
77,2021-12-16,长安汽车：减持计划实施完毕，股东中国长安、南方资产累计减持1.11%股份,Wind
78,2021-12-15,11月自主品牌市占率再提升 3家车企累计销量破百万辆,每日经济新闻
79,2021-12-15,长安汽车再现人事变动 欧洲设计中心董事长陈政宣布离职 董监高成员变化,财经网
80,2021-12-15,长安欧洲设计中心董事长陈政辞职 董监高成员变化,乐居财经
81,2021-12-15,陈政离职 长安汽车设计走向何方？,发现网
82,2021-12-15,长安欧洲设计中心董事长、长安汽车品牌公关部总经理陈政离职 董监高成员变化,财经网
83,2021-12-14,长安汽车：公司短期借款主要系疫情期间向金融机构取得专项贷款，以应对不确定性风险,每日经济新闻
84,2021-12-14,长安汽车：公司11月销售汽车18.8万辆,每日经济新闻
85,2021-12-14,长安汽车：阿维塔科技全球设计中心设在德国慕尼黑,每日经济新闻
86,2021-12-14,长安汽车：12月14日，UNI-K iDD于珠海开启高能试驾,每日经济新闻
87,2021-12-14,长安汽车：目前汽车行业面临一些特定汽车电子元件芯片的供应紧张,每日经济新闻
88,2021-12-14,长安汽车：明年三季度，阿维塔11将实现首批量产及用户交付,每日经济新闻
89,2021-12-14,【行情】汽车整车股早盘走低，江淮汽车跌近9%，福田汽车、广汽集团、中集车辆、长安汽车、长城汽车等走低,金十数据
90,2021-12-14,汽车股走弱，江淮汽车领跌,Wind
91,2021-12-14,【银河汽车】2022年度策略丨智驾竞赛火热，自主品牌崛起,中国银河证券研究
92,2021-12-13,长安汽车用实力扞卫市场，第二代CS55PLUS书写“当红不让”,Ofweek
93,2021-12-13,【渤海证券 汽车】销量环比持续改善，新能源汽车冲量创新高——汽车行业月报——中性,渤海证券研究
94,2021-12-13,长安自主乘用车板块后劲十足：CS75/CS55齐齐再破两万,Ofweek
95,2021-12-11,重庆活力②|加码海外市场 长安汽车在世贸舞台上大展拳脚,上游新闻
96,2021-12-10,迈赫股份：公司主要为长安汽车，吉利汽车，大运汽车提供智能装备系统产品,每日经济新闻
97,2021-12-10,长安汽车 | 疫情扰动短期销量 福特再添重磅新车【华西汽车 崔琰团队】,汽车琰究
98,2021-12-10,汽车整车板块表现不振,Wind
99,2021-12-10,12月9日43只个股获券商关注，保龄宝目标涨幅达58.84%,每经网
100,2021-12-10,35股获券商买入评级，恒为科技目标涨幅达96.28%,Wind
101,2021-12-09,52股获买入评级 最新:保 龄 宝,中财网
102,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
103,2021-12-09,25股今日获机构买入评级,证券时报网
104,2021-12-09,国内唯一自主品牌干翻合资车企！单月销量超18万辆,快科技
105,2021-12-09,长安汽车1-11月销量212.25万辆 同比增长17.72%,财经网
106,2021-12-09,地平线赋能长安汽车，为用户提供内外兼备的全新智能化体验,经济参考报
107,2021-12-09,东吴证券：给予长安汽车买入评级,证券之星
108,2021-12-09,东吴证券维持长安汽车买入评级：11月整体产量环比+10%,每日经济新闻
109,2021-12-09,字节跳动入局公有云市场,Wind
110,2021-12-09,长安汽车前11个月销量同比增长17.72%,北京商报
111,2021-12-08,汽车行业简评报告：11月比亚迪、造车新势力销量齐创新高 经销商补库进行时,新浪
112,2021-12-08,长安汽车：11月汽车销量18.8万量 同比下降14.35% 盈利能力下降,e公司
113,2021-12-08,长安汽车(000625.SZ)11月汽车销量18.8万辆 同比下降14.35% 盈利能力下降,智通财经
114,2021-12-08,长安汽车：1-11月汽车合计销量212.25万辆 同比增长17.72%,财联社
115,2021-12-08,长安汽车11月销量同比减少14.35%至18.8万辆 盈利能力下降,乐居财经
116,2021-12-08,长安汽车(000625.SZ)：11月销量18.803万辆 同比下降14.35% 盈利能力下降,格隆汇
117,2021-12-08,长安汽车：11月总销量约19万辆，同比减少14.35% 盈利能力下降,每日经济新闻
118,2021-12-08,长安汽车：11月汽车销量同比下降14.35% 盈利能力下降,Wind
119,2021-12-08,双林股份：近日奇瑞JH11EV电机项目正式量产，目前已出货的电机已全部装车试验完成,Wind
120,2021-12-08,预购长安新能源车遭延迟交付，媒体报道后多名车主顺利提车,澎湃新闻
121,2021-12-08,匮电油耗5L竞争DM-i！长安首款蓝鲸混动车型发布：续航1100公里,快科技
122,2021-12-07,A股午后划水真相来啦，资金出逃有猫腻，一误区毁掉一年努力！,搜狐
123,2021-12-07,电池续航不达标引发争议 长安奔奔E-Star如何厮杀A00市场？ 产品问题,中国经济网
124,2021-12-07,中汽协：1-10月前十家客车企业共销售35.12万辆，占客车销售总量的87.62%,Wind
125,2021-12-07,新能源汽车单元成国企混改试验田,中国汽车报
126,2021-12-07,11月车企投诉指数排行：芯片荒带动投诉突涨,Ofweek
127,2021-12-07,长安奔奔E-Star国民版“停止收订”被质疑变相加价 投诉暴增或影响品牌向上,中国网
128,2021-12-07,声光电科：目前与长安合作尚处于路试阶段,Wind
129,2021-12-06,长安汽车：基于全新专用电动车平台打造的C385 将于明年上市,财联社
130,2021-12-06,长安汽车青年创意挑战赛解锁车企品牌年轻发展新地图,质量新闻网
131,2021-12-06,汽车行业周报：自主品牌销量加速向上,国海证券
132,2021-12-05,优秀作品上线|创无界·长安汽车青年创意挑战赛实力破圈年轻新一代！,凤凰网
133,2021-12-05,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
134,2021-12-04,终于凑齐“KTV”组合 长安中高端突破进入关键期,网通社
135,2021-12-03,新能源成车企发力方向,山西晚报
136,2021-12-03,合作再升级！搭载双征程芯片的首款智能轿跑——长安UNI-V重磅发布,凤凰网
137,2021-12-03,汽车事件点评：新势力引领自主崛起,国海证券
138,2021-12-03,重庆长安召回部分欧尚A 800,中国经济网
139,2021-12-03,汽车行业周报：11月多地发布氢能产业政策 关注北京冬奥会示范应用筹备进展,新浪
140,2021-12-02,长安汽车：2021年11月15日，阿维塔科技在上海进行了品牌全球首发,每日经济新闻
141,2021-12-02,长安汽车：“宁德时代准备收购长安汽车”消息不属实,Wind
142,2021-12-02,跨年行情如何布局？机构普遍看好这三大赛道,Wind
143,2021-12-02,11月汽车股：上汽久违涨停 ，“特斯拉杀手”上市即闯进全球市值前五,证券之星
144,2021-12-02,华为放大招！豪掷近百亿“押宝”这一行,Wind
145,2021-12-01,长安汽车自主车型树立品牌新标杆 10月份CS55、CS75系列月销均破2万辆,证券日报网
146,2021-12-01,中国品牌吹响新号角，集结出发，比亚迪、长城、长安等国产车企加速出海！,Ofweek
147,2021-12-01,一箱油，一辆车，到底能跑多远？长安新锐程CC蓝鲸版的答案是：1001公里,盖世汽车
148,2021-12-01,【汽车】汽车行业2022年投资策略—景气回升，持续看好智能电动汽车赛道,中银证券研究
149,2021-12-01,【中原汽车】汽车行业年度策略：供需错配有望缓解，把握电动智能化赛道,中原证券研究所
150,2021-12-01,新车发布效果未及市场预期 长安汽车中高端自主品牌何时破冰？,投资者网
151,2021-11-30,同级唯一原厂电动可升降尾翼！长安UNI-V亮相 网友：国产版奥迪A7,快科技
152,2021-11-30,长安汽车安全跃升之路：长于逆袭，安如磐石，向世界级品牌迈进,Ofweek
153,2021-11-30,汽车行业2021年11月：芯片供应持续改善 助力产销边际向好,新浪
154,2021-11-30,钛白粉龙头35亿下注、机构联手北上资金抢筹17股,Wind
155,2021-11-30,钛白粉龙头35亿重金下注！机构资金最新动向曝光，联手北上资金抢筹17股,证券时报网
156,2021-11-29,“双积分”政策下传统车企出路在哪，混动车型是否迎来春天？,澎湃新闻
157,2021-11-29,汽车行业周报：小鹏Q3业绩创新高 22年入局ROBOTAXI,新浪
158,2021-11-29,汽车股涨跌榜：恒大汽车纾困领涨，整体市值增加1700亿,搜狐
159,2021-11-29,10月SUV销量TOP10：长安双车月销破两万,盖世汽车
160,2021-11-29,汽车行业月度数据分析及12月展望：汽车消费回暖 新能源高速增长,新浪
161,2021-11-29,【最全】2022年中国内燃机行业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),证券之星
162,2021-11-29,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
163,2021-11-29,高端品牌阿维塔的正式发布 能否助力长安汽车新能源逆袭,中国网
164,2021-11-29,同级唯一配电动升降尾翼 将运动贯彻到底 UNI-V 的时代到了,ZAKER
165,2021-11-28,速看！最新汽车召回，涉及福特、丰田等多个品牌 产品问题,中国消费网
166,2021-11-27,十月重庆车市报告背后：“银十”行情没来 “缺芯”依然困扰车企,上游新闻
167,2021-11-26,长安民生物流：临时股东大会结果,Wind
168,2021-11-26,结构市场延续：国产化、新能源化、智能化,新浪
169,2021-11-26,渝股点金 | 华龙证券王冬炎：正川股份持续盘整；可关注超跌反弹机会,上游新闻
170,2021-11-26,“反击战”全面打响，传统车企加大新能源车投入,Wind
171,2021-11-26,长安UNI-V：一辆让人印象深入骨髓的车,Ofweek
172,2021-11-26,长安汽车召回部分欧尚A800-H15T、凌轩-H15T汽车 产品问题,乐居财经
173,2021-11-26,存起火风险！重庆长安召回超2万辆汽车 产品问题,中新经纬
174,2021-11-26,因存在起火风险 20710辆长安欧尚A800-H15T、凌轩-H15T汽车被召回 产品问题,中国网
175,2021-11-26,重庆长安汽车股份有限公司召回部分欧尚A800-H15T、凌轩-H15T汽车 产品问题,Bianews
176,2021-11-26,长安汽车首位“数字员工”将正式出道 颜值“极高”,快科技
177,2021-11-26,广州车展刷新汽车业创新速度,Wind
178,2021-11-25,话题广涉元宇宙、新冠疫苗、新能源……59家重庆上市公司被股民“拷问”,上游新闻
179,2021-11-25,白举纲、雷峥蒙做客长安汽车直播间，“请回答2060”畅想派对SHOW给你看,盖世汽车
180,2021-11-25,长安汽车：未来五年将陆续推出26款全新智能电动汽车,全景网
181,2021-11-25,长安汽车：2022年三季度阿维塔11将实现首批量产及用户交付,全景网
182,2021-11-25,A股资金流向：题材股退潮，资金再度开启高切低模式,Wind
183,2021-11-25,“重庆造”首批氢能重卡在鄂尔多斯投运 氢能源汽车开启加速度,中新网
184,2021-11-25,川渝地区上市公司跟踪,新浪
185,2021-11-25,真的要买 15 万的合资 SUV 吗？,ZAKER
186,2021-11-25,UNI-V全球首发，长安汽车中高端将破局？,华夏时报
187,2021-11-25,伯特利深度 | 电控制动和轻量化业务迎来收获期【国信汽车】,微信
188,2021-11-25,联手华为和宁德时代打造阿维塔，长安汽车的技术背景如何？,Ofweek
189,2021-11-25,每日理财观察：债券回购交易火爆，期限错配惹关注,Wind
190,2021-11-25,刘纪鹏任5家上市公司独董累计入账近500万 回应辞任万润股份独董：确属巧合 不会当逃兵 董监高成员变化,长江商报
191,2021-11-24,长安汽车：明年三季度，阿维塔11将实现首批量产及用户交付,每日经济新闻
192,2021-11-24,长安汽车：阿维塔11的首辆白车身今年10月成功试制下线，明年三季度将实现首批量产及用户交付,每日经济新闻
193,2021-11-24,佳华科技：公司和长安汽车研发的智能健康气候控制系统主要分为佳空气和健康管理两个主题,每日经济新闻
194,2021-11-24,博俊科技：暂未供货阿维塔,每日经济新闻
195,2021-11-24,长安汽车今日大宗交易成交800万股，成交价16.21元折价7.79%,Wind
196,2021-11-24,川渝地区周报：川酒保持稳健增长 关注节前备货或催化行情,新浪
197,2021-11-24,A股资金流向：白酒承接新能源溢出资金，题材股炒作再升温,Wind
198,2021-11-24,新能源e周报丨广州车展电动车数量增七成 个股却现分化趋势 机构预判：今年我国电动车市仍呈“哑铃”形,每日经济新闻
199,2021-11-24,万润股份股价下跌，刘纪鹏辞去独立董事职务 董监高成员变化,第一财经
200,2021-11-24,刘纪鹏：后续可能还会辞去其它公司的独董职位,Wind
201,2021-11-24,亚太股份：公司轮毂电机底盘可以运用于任何能源的电动车,Wind
202,2021-11-24,24股获券商买入评级，人福医药目标涨幅达107.14%,Wind
203,2021-11-24,A股早报2021年11月24日星期三,Wind
204,2021-11-24,李书福的电动车能跑起来么？,新浪
205,2021-11-23,长安UNI序列挺进轿车市场 中高端突破进入关键期,经济观察报
206,2021-11-23,数据解放生产力——琰究汽车数据系列（2021年10月）【华西汽车 崔琰团队】,汽车琰究
207,2021-11-23,长安汽车：计划到2025年，实现长安品牌销量将达到300万辆，其中新能源占比35%,每日经济新闻
208,2021-11-23,长安汽车：长安志翔燃料电池汽车被国家科技部指定为示范运行车辆,每日经济新闻
209,2021-11-23,长安汽车：新能源电动车C385将于明年上市,每日经济新闻
210,2021-11-23,长安汽车(000625)：股权激励落地 未来业绩可期,新浪
211,2021-11-23,A股资金流向：板块分化明显，“锂风光”休整储能接棒,Wind
212,2021-11-23,十家车企上半年财报：上汽集团净利润最高，比亚迪研发投入超44亿元！,Ofweek
213,2021-11-23,汽车行业周报：本土汽车连接器企业与中国电动智能车产业共成长,新浪
214,2021-11-23,6万亿赛道突然狂飙！英美又出新能源刺激政策,Wind
215,2021-11-22,二股东是宁德时代！长安汽车高端品牌露真容，明年启动A轮融资,时代财经
216,2021-11-22,电子周报：手机厂商开拓汽车“下半场” 半导体处于健康的投资周期,新浪
217,2021-11-22,汽车行业：华为HI系列报告三：华为汽车战略布局,新浪
218,2021-11-22,长安福特EVOS上市 加码智能化能否打响“反攻战”？,中国经营网
219,2021-11-22,渝股点金 | 华龙证券王冬炎：多重概念加持，蓝黛科技强势涨停,上游新闻
220,2021-11-22,长安汽车UNI系列首款轿车亮相 星球成长计划2.0开启,上证报
221,2021-11-22,长安汽车(000625.SZ)向416名激励对象授予2206.7万股限制性股票,智通财经
222,2021-11-22,汽车行业周报：氢燃料电池汽车市场关注度提升,新浪
223,2021-11-22,汽车行业周报：广州车展：电动智能加速 自主品牌向上,新浪
224,2021-11-22,汽车股涨跌榜：出人意料，长安汽车跌幅最大,搜狐
225,2021-11-22,中信建投汽车2022年投资策略报告：供需错配待修复，属性变迁迎变局,Wind
226,2021-11-21,汽车界的“铁三角”，阿维塔这手王炸你期待吗？,ZAKER
227,2021-11-20,深度分析10家车企集团2025规划：总目标惊人，暗藏“数字游戏”,经济观察报
228,2021-11-20,新能源概念热度不减　长安汽车承压高位回落,财富动力网
229,2021-11-20,阿维塔科技谭本宏：长期主义是企业发展的根本,中国经营报
230,2021-11-20,2021广州车展|长安欧尚杨嵩：今年销量或达23万台 未来五年每年1-2款新能源车,搜狐
231,2021-11-19,谁把国家队逼上梁山，新赛道需要一个新品牌,Ofweek
232,2021-11-19,智能电动正面交锋，传统自主和新势力的突围之道,金融界
233,2021-11-19,长安的造车+宁德时代的电池+华为的智能，成就阿维塔的一切,Ofweek
234,2021-11-19,汽车行业2022年投资策略报告：供需错配待修复 属性变迁迎变局,新浪
235,2021-11-19,【机械行业】10月份内燃机销量418.79万台 同比下降5.79% 盈利能力下降,兰格钢铁网
236,2021-11-18,打磨三年终面世 谭本宏解析阿维塔的“长期主义”,经济观察报
237,2021-11-18,10月自主品牌：年销冠军悬念再起，长安被反超,观察者网
238,2021-11-18,21股今日获机构买入评级,证券时报网
239,2021-11-18,70个涨停！这家公司10个月涨近10倍,Wind
240,2021-11-18,乘联会：10月份皮卡市场销售4.4万辆 同比下降5.7%,新浪
241,2021-11-18,长安的高端梦，并不强调“以我为主”,第一电动网
242,2021-11-18,11股获券商买入评级 中国巨石目标涨幅达69.29%,Wind
243,2021-11-18,11月17日30只个股获券商关注，名臣健康目标涨幅达53.74%,每经网
244,2021-11-18,智能汽车赛道空间大 华为加速拓展汽车业务,发布易
245,2021-11-18,长安汽车 | 阿维塔E11隆重发布 SEV车型规划饱满【华西汽车 崔琰团队】,汽车琰究
246,2021-11-17,阿维塔科技首款车型阿维塔11亮相 2022年三季度交付,中国财富网
247,2021-11-17,华西证券维持长安汽车买入评级：阿维塔E11隆重发布 SEV车型规划饱满,每日经济新闻
248,2021-11-17,新能源10月月报：新能源渗透率&自主市占率微幅回落 长期趋势依然向上,新浪
249,2021-11-17,新品牌电动车阿维塔亮相，借力华为和宁德时代能突围吗？,36氪
250,2021-11-17,三军会师阿维塔，CHN是否“貌合神离”？,钛媒体
251,2021-11-17,长安、华为与宁德时代，如何打造一辆有温度且懂得人类情感需求的电动汽车,Ofweek
252,2021-11-17,长安汽车：计划到2025年，实现长安品牌销量将达到300万辆，其中新能源占比达到35%,每日经济新闻
253,2021-11-17,长安汽车：2021年前三季度，公司营业收入792亿元，同比增长41.83%，归属于母公司的净利润为29.92亿元,每日经济新闻
254,2021-11-17,长安汽车：公司计划推出基于全新平台的系列纯电动产品,每日经济新闻
255,2021-11-17,长安汽车：基于方舟架构升级的首款UNI轿车UNI-V，将于明年一季度上市,每日经济新闻
256,2021-11-17,东方证券：维持长安汽车(000625.SZ)“买入”评级 目标价26.45元,智通财经
257,2021-11-17,长安汽车：公司目前生产经营情况正常,每日经济新闻
258,2021-11-17,A股资金流向：赛道股集体反弹，资金抢筹新能源龙头,Wind
259,2021-11-17,长安汽车：明年三季度，阿维塔11将实现首批量产及用户交付,每日经济新闻
260,2021-11-17,长安汽车：2021年11月15日，阿维塔科技在上海进行了品牌全球首发,每日经济新闻
261,2021-11-17,看完阿维塔发布会，我思考了两个问题,ZAKER
262,2021-11-17,长安汽车(000625)：阿维塔品牌全球首发 情感智能打造差异性,新浪
263,2021-11-17,长安汽车、当升科技等31股获机构“买入”型评级,36氪
264,2021-11-17,汽车行业简评报告：10月新能源、出口两大增长引擎强劲,新浪
265,2021-11-17,由长安汽车、华为、宁德时代联名打造阿维塔首款车型，可还行？,Ofweek
266,2021-11-17,50万股东懵了！联手华为、宁德时代推出阿维塔 新车刚亮相长安暴跌两日,快科技
267,2021-11-17,每日理财观察：北交所次新股交投活跃，机构调研热情高涨,Wind
268,2021-11-17,融资客青睐6股，未来股份买入占比高达44.14%,Wind
269,2021-11-17,A股早报2021年11月17日星期三,Wind
270,2021-11-17,13股获券商买入评级，安恒信息目标涨幅达77.43%,Wind
271,2021-11-17,11月16日40只个股获券商关注，盛泰集团目标涨幅达52.83%,每经网
272,2021-11-17,长安汽车（000625）：阿维塔11正式发布，美学+智能定义未来感,中信证券研究
273,2021-11-17,风格转向？200亿元资金净流出，新能源又遭跷跷板,Wind
274,2021-11-17,阿维塔将启动A轮融资 并谋求独立上市,证券日报
275,2021-11-17,"加仓万亿""宁王""，海外最大中国股票基金动向曝光！",Wind
276,2021-11-16,新车刚亮相，长安汽车却连续大跌，市值两日缩水超250亿元 连续下跌,第一财经
277,2021-11-16,阿维塔品牌全球首发 谭本宏：CHN平台不是“买卖模式”,搜狐
278,2021-11-16,66股获买入评级 最新:万华化学,中财网
279,2021-11-16,阿维塔首秀，头部品牌强强联手的实力有多大？,ZAKER
280,2021-11-16,50万股东懵了！新车刚亮相，长安汽车市值两日蒸发超250亿,国际金融报
281,2021-11-16,阿维塔交作业，三巨头「各怀心思」？,36氪
282,2021-11-16,龙虎榜丨机构、北向集体出逃长安汽车，在岱美股份等3股上出现分歧（名单）,21世纪经济报道
283,2021-11-16,数据复盘｜主力资金加仓食品饮料股、医药股 北向资金抢筹五粮液、长春高新等,证券时报网
284,2021-11-16,汽车行业2022年度策略报告：靓丽时刻的交错,新浪
285,2021-11-16,有宁德时代和华为加持，阿维塔会是长安汽车的救命稻草吗？,澎湃新闻
286,2021-11-16,机构今日买入这18股，抛售长安汽车3.39亿元丨龙虎榜,第一财经
287,2021-11-16,续航超700km！阿维塔11全球首发,Ofweek
288,2021-11-16,大盘持续回落 机构卖出力度加大,金融投资报
289,2021-11-16,长安汽车龙虎榜数据（11月16日）,Wind
290,2021-11-16,龙虎榜：长安汽车大跌超9% 四机构合计卖出3.39亿元,e公司
291,2021-11-16,长安汽车大跌9% 四机构合计卖出3.39亿元,第一财经
292,2021-11-16,长安汽车放量大跌9%，机构坚决出货,Wind
293,2021-11-16,阿维塔品牌全球首发，开启“情感智能电动汽车时代”,Ofweek
294,2021-11-16,A股资金流向：新能源连跌资金持续流出，大消费力扛指数,Wind
295,2021-11-16,长安汽车、华为、宁德时代合作造车，阿维塔11明年三季度首车交付,Ofweek
296,2021-11-16,长安汽车收跌9.06%，现报18.27元,乐居财经
297,2021-11-16,华为联手长安、宁德时代 首款电动车“阿维塔11”登场,格隆汇
298,2021-11-16,阿维塔科技谭本宏：首款车明年三季度交付，计划进入华为门店销售,第一财经
299,2021-11-16,长安汽车(000625)：阿维塔全球首发 开创情感智能电动汽车新品类,新浪
300,2021-11-16,数据 | 10月内燃机行业销量综述,中国机经网
301,2021-11-16,长安融资净买入1.52亿后股价大跌,搜狐
302,2021-11-16,东吴证券：给予长安汽车买入评级,证券之星
303,2021-11-16,东吴证券维持长安汽车买入评级：看好阿维塔品牌，定位“懂你的智慧化身”,每日经济新闻
304,2021-11-16,万亿“宁王”宁德时代进军造车！阿维塔发布 曾毓群亲自发声站台,快科技
305,2021-11-16,阿维塔首款产品正式亮相，背靠长安汽车、华为、宁德时代三座大山,Ofweek
306,2021-11-16,汽车整车板块早盘下挫，长安汽车跌超6%,36氪
