,2021-12-31,年终盘点|医药2021：白马纷纷倒下 创新药走出温室 医改重构医药投资价值逻辑,财联社
41,2021-12-13,长春高新今日大宗交易成交8.32万股，成交价303.76元溢价0.68%,Wind
42,2021-12-09,财华聚焦|“喝酒吃药”行情再起，跨年行情要来？,财华社
43,2021-12-09,长春高新：控股子公司华康药业拟为瑞隆药业提供1000万元担保 大额借贷担保,发布易
44,2021-12-09,长春高新(000661.SZ)选举解兵为监事会主席,智通财经
45,2021-12-09,长春高新：公司严格按照法律法规要求生产经营,每日经济新闻
46,2021-12-08,“医药女神”葛兰抄底加仓、机构调研频频，医药行业抄底的时机来了？,证券之星
47,2021-12-08,病毒防治概念股上攻,Wind
48,2021-12-08,任泽平：四季度政治局会议传递重大信号,Wind
49,2021-12-08,"超80亿资金狂买医药类ETF，""医药女神""逆势加仓",Wind
50,2021-12-07,医药行业2022年投资策略报告：政策扰动下分化加剧 战略性看好医药黄金赛道上的优质个股,新浪
51,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
52,2021-12-06,长春高新跌3.32% 西部证券东莞证券年内高点唱多,中国经济网
53,2021-12-06,2021年基金，买了个“寂寞”,Wind
54,2021-12-06,医药生物行业：医保谈判落地 释放积极信号,新浪
55,2021-12-06,医药股再成香饽饽，各路资金集中抄底主题基金,Wind
56,2021-12-06,医药股再成香饽饽 各路资金集中抄底主题基金,全景网
57,2021-12-05,炒股11年，从几万赚到1000万，网民自述今年败局：账户缩水到300万，买的是万科、融创等“便宜”股票,每日经济新闻
58,2021-12-05,股民心碎：从1000万到300万！重仓万科融创平安被坑了,新浪
59,2021-12-03,长春高新耗资6575.31万元回购0.06%股份,乐居财经
60,2021-12-03,长春高新：实施首次股份回购 耗资6575万元,e公司
61,2021-12-03,长春高新(000661.SZ)耗资6575.31万元累计回购23万股,智通财经
62,2021-12-03,长春高新(000661.SZ)12月3日首次回购23.0001万股,格隆汇
63,2021-12-03,长春高新：首次回购公司股份23万股,Wind
64,2021-12-02,长春高新回应“子公司百克生物的经营现金流比净利润少了2亿”的原因,每日经济新闻
65,2021-12-02,芯片龙头涨停，低位高景气热门股名单来了,Wind
66,2021-12-01,国金策略：先抑后扬的下半场 A股在今年底和明年初有望迎来向上机会,新浪
67,2021-12-01,长春高新股价腰斩，一度“撤退”了的葛兰又回来了,上证报
68,2021-11-30,长春高新拟出资6亿元回购公司0.37%股份,乐居财经
69,2021-11-30,长春高新：拟6亿元回购公司股份,每日经济新闻
70,2021-11-30,长春高新：PEG化合物尚未正式自产,Wind
71,2021-11-30,长春高新：存货主要是本报告期下属房地产公司在建项目投入增加,每日经济新闻
72,2021-11-30,长春高新：PEG化合物尚未正式自产,每日经济新闻
73,2021-11-30,午间公告2021年11月30日星期二,Wind
74,2021-11-30,长春高新(000661.SZ)子公司重组人生长激素注射液增加适应症获准注册,智通财经
75,2021-11-30,长春高新(000661.SZ)：金赛药业重组人生长激素注射液获批新增适应症,格隆汇
76,2021-11-29,多位顶流基金经理持仓较三季度末有变 机构调仓长春高新现分歧,每日经济新闻
77,2021-11-29,微芯生物财务激进护航再融资,证券市场周刊
78,2021-11-29,21深度丨济川药业20亿“押注”生长激素赛道，并购项目成色被质疑未来前景迷离,21世纪经济报道
79,2021-11-29,重要股东增持排行榜：6股增持金额超5000万元,证券时报网
80,2021-11-26,长春高新(000661.SZ)：获第二大股东金磊增持15.395万股,格隆汇
81,2021-11-26,长春高新(000661.SZ)股东金磊增持15.40万股公司股份,智通财经
82,2021-11-26,长春高新：股东金磊近日增持公司股票15.4万股,财联社
83,2021-11-26,长春高新：除了PEG以外，金派格公司还有黄体酮等产品,每日经济新闻
84,2021-11-26,养老产业迎来新机遇，54只个股排排坐,Wind
85,2021-11-25,快讯 | 葛兰、侯昊加仓长春高新，梁浩减持飞亚达 减持股份,每日经济新闻
86,2021-11-25,医药行业2021年三季报总结报告：恢复高成长 医药进入估值切换长周期,新浪
87,2021-11-25,北向资金连续5日净买入成交额创5个月新低，再度净买入贵州茅台超3亿元,Wind
88,2021-11-25,天风证券：维持长春高新(000661.SZ)“买入”评级 股权激励彰显信心 生长激素应用及成长空间广阔,智通财经
89,2021-11-25,北向资金动向盘点：贵州茅台、宁德时代“分道扬镳”,Wind
90,2021-11-25,“喝酒行情”再现，北向资金近38亿增持酿酒板块，大幅抛售这只食品饮料股（名单）,21世纪经济报道
91,2021-11-25,天风证券给予长春高新买入评级：拟回购股份用于核心团队股权激励，彰显发展信心,每日经济新闻
92,2021-11-25,22股获券商买入评级，绝味食品目标涨幅达63.29%,Wind
93,2021-11-25,11月24日31只个股获券商关注，立中集团目标涨幅达80.06%,每经网
94,2021-11-25,回购+增持！股价大跌后的长春高新欲展示信心,电鳗快报
95,2021-11-25,年内上市公司回购金额逾1100亿,Wind
96,2021-11-24,首创证券：给予长春高新买入评级,证券之星
97,2021-11-24,24股今日获机构买入评级 5股上涨空间超20%,证券时报网
98,2021-11-24,长春高新今日大宗交易成交1.50万股，成交价297.3元溢价0.0%,Wind
99,2021-11-24,【国金医疗】长春高新事件点评：发布股份回购方案，彰显高速发展信心,搜狐
100,2021-11-24,34股获买入评级 最新:当虹科技,中财网
101,2021-11-24,长春高新股东金磊及部分董监高等合计增持4997.18万元股份，增持计划实施完毕,乐居财经
102,2021-11-24,长春高新：持股5%以上股东金磊及部分董监高的增持计划实施完毕，增持股份金额,新浪
103,2021-11-24,午间公告2021年11月24日星期三,Wind
104,2021-11-24,长春高新(000661.SZ)股东及部分董监高合计增持18.36万股 增持计划实施完毕,智通财经
105,2021-11-24,长春高新(000661.SZ)：金磊及董监高共完成增持18.36万股 耗资4997.18万元,格隆汇
106,2021-11-24,长春高新：5%以上股东金磊于2021年11月24日增持300股,每日经济新闻
107,2021-11-24,国金证券维持长春高新买入评级：发布股份回购方案，彰显高速发展信心,每日经济新闻
108,2021-11-24,长春高新(000661)：核心股东增持落地 6亿回购彰显信心,新浪
109,2021-11-24,每日财报|美的集团拟收购KUKA 长春高新拟6亿元回购,每日财报
110,2021-11-23,长春高新：拟6亿元回购股票用于股权激励,中新经纬
111,2021-11-23,晚间重要公告2021年11月23日星期二,Wind
112,2021-11-23,长春高新(000661)：回购公司股份方案,资本邦
113,2021-11-23,长春高新：拟回购150万股公司股份,每日经济新闻
114,2021-11-23,长春高新(000661.SZ)监事会主席刘永川辞任 董监高成员变化,智通财经
115,2021-11-23,长春高新(000661.SZ)：持股5%以上股东金磊11月23日增持9.13万股,格隆汇
116,2021-11-23,长春高新：股东金磊增持9.1万股公司股份,每日经济新闻
117,2021-11-23,长春高新：监事会主席刘永川辞职 董监高成员变化,Wind
118,2021-11-23,长春高新：拟6亿元回购股份,Wind
119,2021-11-23,长春高新：拟以6亿元回购股份,财联社
120,2021-11-22,辅助生殖站上风口，底部放量的低估值股来了,Wind
121,2021-11-22,济川药业20亿元豪赌生长激素,证券市场周刊
122,2021-11-21,央行货币执行及表述变化对A股意味着什么,招商策略研究
123,2021-11-20,房地产合理贷款得到满足！A股普涨，本周北上资金买入百亿,Wind
124,2021-11-19,房地产飙升3%提振大盘，北上资金依旧宠爱新能源,Wind
125,2021-11-18,长春高新攒局，整了个全部由东北资金组建的产业基金,健识局
126,2021-11-17,北向资金结束连续4日净买入，贵州茅台遭大幅抛售超11亿元,Wind
127,2021-11-17,北向资金增持市值超亿元股票（附名单）,证券时报网
128,2021-11-17,北向资金动向盘点：重手净买白酒、医药,Wind
129,2021-11-17,北向资金连续四日买入近200亿元，再度“喝酒吃药买电子”，扫货这些龙头股（名单）,21世纪经济报道
130,2021-11-17,多重积极信号释放，消费股热度渐增,Wind
131,2021-11-16,【华西医药崔文亮团队】?《百克生物深度报告：疫苗行业的进击者，带疱疫苗有望成为国产首家》,崔文亮研究团队
132,2021-11-16,深港通十大成交活跃股排名（11月16日）,Wind
133,2021-11-16,数据复盘｜主力资金加仓食品饮料股、医药股 北向资金抢筹五粮液、长春高新等,证券时报网
134,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
135,2021-11-15,长春高新：拟出资7500万元参设产业投资基金 投资医药医疗大健康领域,中证网
136,2021-11-15,晚间重要公告2021年11月15日星期一,Wind
137,2021-11-15,长春高新：拟以7500万元参设东证高新医药产业投资基金,中新经纬
138,2021-11-15,北向资金连续3日净买入累计加仓近160亿，中国中免获净买入超6亿元,Wind
139,2021-11-15,长春高新(000661.SZ)拟斥7500万元参投投资基金 主投医药医疗大健康领域,智通财经
140,2021-11-15,长春高新现1笔大宗交易 共成交394.50万元,新浪
141,2021-11-15,长春高新：公司的聚乙二醇重组人生长激素注射液 IV 期临床研究纳入了 2952 例 GHD 儿童，总体治疗三年的结果显示，各剂量组均能持续有效改善患儿身高标准差积分 （HTSDS） 和年生长速率 （HV）,每日经济新闻
142,2021-11-15,长春高新：公司持有注射装置的外观专利申请日期为2016年,Wind
143,2021-11-15,国谈价格好于市场预期，有利于创新药板块估值修复！【东吴医药朱国广团队】,国广有话说
144,2021-11-15,医药行业周报：2021医保谈判落幕 本周医药板块上涨0.82% 建议关注政策受益的原料药板块,新浪
145,2021-11-14,20亿！济川药业下血本杀入生长激素赛道,蒲公英
146,2021-11-13,20亿杀入生长激素赛道，药企收获两连板！长春高新“一哥”地位悬了？,中证报
147,2021-11-13,济川药业20亿杀进长效生长激素市场，“一哥”长春高新虽无近忧但需远虑,新浪医药
148,2021-11-13,集采挤压生存空间，医药代表行业生变,Wind
149,2021-11-12,北向资金再度加仓超36亿，东方财富本周净买入近28亿,Wind
150,2021-11-12,190亿小白马“叫板”长春高新！下20亿血本接盘杀入新赛道！股价连飙2个一字板！股民：这也太疯狂了,雪球
151,2021-11-12,一款药6年“四易其主”，济川药业20亿下血本接盘，借机杀入生长激素赛道？,经济观察网
152,2021-11-12,北向资金净买入A股86亿元，超18亿元扫货东方财富，还加仓了这些股（名单）,21世纪经济报道
153,2021-11-11,A股资金流向：权重与题材共振上扬,Wind
154,2021-11-11,济川药业进军生长激素，长春高新“一哥”的位置坐不稳了？,环球老虎财经
155,2021-11-10,长春高新等39股获20家以上机构调研,证券时报网
156,2021-11-09,北向资金成交低迷连续3日净卖出，中国平安遭大幅净卖出超10亿元,Wind
157,2021-11-09,26股今日获机构买入评级 7股上涨空间超20%,证券时报网
158,2021-11-09,如何对恒瑞医药进行估值？,中访网
159,2021-11-09,长春高新：于11月5日调研我司,证券之星
160,2021-11-08,理财子公司密集调研后，这些“明星股”大涨,Wind
161,2021-11-08,2021年医药行业11月策略报告：战略布局特色原料药及高景气度子行业,新浪
162,2021-11-08,A股收盘综述：锂电池王者归来，天齐锂业上板并获主力净流入27亿元,Wind
163,2021-11-08,A股午盘综述：锂电池板块再度崛起，稀土、环保、航运、元宇宙炒作积极,Wind
164,2021-11-07,天风证券维持长春高新买入评级：业绩表现亮眼，持续保持生产激素行业龙头地位,每日经济新闻
165,2021-11-07,天风证券：给予长春高新买入评级,证券之星
166,2021-11-06,葛兰勇进，高瓴撤退，CXO 困境下的“旗手”与“叛徒”,ZAKER
167,2021-11-05,长春高新业绩会：生长激素集采价格尚未确定，地产业务占用资金不会超过100亿 资金问题,搜狐
168,2021-11-05,长春高新：在生长激素领域，金赛药业拥有“纯化的PEG化人生长激素缀合物及其药物制剂”的发明专利和“含PEG化人生长激素缀合物的药物及其应用”等发明专利,每日经济新闻
169,2021-11-05,长春高新：从容投资、德邦证券等31家机构于11月2日调研我司,证券之星
170,2021-11-04,高瓴资本3季度只减仓不加仓：安全边际、成长性重定位,Wind
171,2021-11-04,高瓴资本三季度只减仓不加仓，安全边际与成长性需重新定位,Wind
172,2021-11-03,长春高新接受28家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
173,2021-11-03,西部证券维持长春高新买入评级：业绩符合预期，产品线进一步丰富,每日经济新闻
174,2021-11-03,医药行业：胰岛素集采开展 创新和刚需为未来方向,新浪
175,2021-11-02,长春高新：公司现有累计对外担保额度为人民币5亿元,每日经济新闻
176,2021-11-02,首创证券给予长春高新买入评级，公司简评报告：业绩符合预期，生长激素维持高速增长，疫苗板块受疫情短期承压,每日经济新闻
177,2021-11-02,长春高新：金赛药业在国内生长激素产品行业中目前具有一定的领先优势,每日经济新闻
178,2021-11-02,长春高新：百克业绩变化主要受新冠疫情及新冠疫苗集中接种影响,Wind
179,2021-11-01,长春高新营收增长加速，三季度净赚12亿元,产业经济新闻网
180,2021-11-01,东吴证券：维持长春高新(000661.SZ)“买入”评级 生长激素市场广阔 金赛业绩持续高增,智通财经
181,2021-11-01,子公司业绩拖累，长春高新被汇金、全国社保基金减持 盈利能力下降,阿尔法工场
182,2021-11-01,图解长春高新三季报：第三季度单季净利润同比增28.78%,证券之星
183,2021-11-01,长春高新总经理姜云涛今日上午增持1.02万股,上证报
184,2021-11-01,长春高新：总经理姜云涛今日上午增持1.02万股,Wind
185,2021-11-01,长春高新：董事、总经理姜云涛于2021年11月1日增持1.02万股,每日经济新闻
186,2021-11-01,长春高新(000661.SZ)获董事、总经理姜云涛增持1.02万股,格隆汇
187,2021-11-01,东莞证券维持长春高新推荐评级，2021三季报点评：生长激素增长良好，疫苗业务短暂受阻,每日经济新闻
188,2021-11-01,国金证券维持长春高新买入评级：金赛药业增长强劲，产品线持续丰富,每日经济新闻
189,2021-11-01,长春高新2021年三季报点评：生长激素市场空间广阔，金赛业绩持续高增长【东吴医药朱国广团队】,国广有话说
190,2021-10-31,国盛证券：给予长春高新买入评级,证券之星
191,2021-10-30,安信证券维持长春高新买入评级：2021年前三季度业绩符合预期，研发投入加大驱动创新发展,每日经济新闻
192,2021-10-30,安信证券：给予长春高新买入评级，目标价位509.04元,证券之星
193,2021-10-29,狂买“小而美”，抛售“大白马”！百亿基金新增重仓股曝光,Wind
194,2021-10-29,长春高新三季报净利增39.25% 获北向资金增持,e公司
195,2021-10-29,长春高新：前三季度净利同比增长39.25% 核心医药子公司业绩持续增长,中证网
196,2021-10-29,长春高新前三季度实现归属净利润31.47亿元,北京商报
197,2021-10-29,长春高新前三季度净利润同比增长39.25%,上证报
198,2021-10-29,长春高新：第三季度净利润12.24亿元，同比增长28.78%,Wind
199,2021-10-29,长春高新：前三季度净利润同比增长39.25%,Wind
200,2021-10-29,长春高新：2020年年报应收账款增加主要是因为子公司金赛药业销售收入增加、百克生物疫苗产品受疫情影响回款周期延长等原因导致,每日经济新闻
201,2021-10-28,人用狂犬病疫苗龙头成大生物“A拆A”登陆科创板 新股破发一度跌超28% 中一签亏超1.5万元,新浪
202,2021-10-27,长春高新跌4.91% 西部证券东莞证券年内高点唱多,中国经济网
203,2021-10-27,如何捕捉个股股价阶段性高点？,红周刊
204,2021-10-21,长春高新：在生长激素领域，金赛药业拥有“纯化的PEG化人生长激素缀合物及其药物制剂”的发明专利和“含PEG化人生长激素缀合物的药物及其应用”等发明专利，其中上述两项专利申请日期为2008年，保护期20年,每日经济新闻
205,2021-10-21,长春高新：上半年促卵泡素销售收入近1.7亿元，同比增80%,Wind
206,2021-10-19,老将进化，周蔚文的新基012647中欧洞见值得入手吗？,证券之星
207,2021-10-19,长春高新：目前部分股东尚未实施增持计划,每日经济新闻
208,2021-10-19,A股成交重回万亿！基金经理：科技成长仍是确定主线,Wind
209,2021-10-19,精选行业个股，基金调研高景气赛道,Wind
210,2021-10-18,医药生物行业周报：疫苗加强针接种工作陆续开启 关注三季报业绩预期差投资机会,新浪
211,2021-10-18,北向资金净卖出额创近2个月新高，贵州茅台遭大幅抛售逾14亿元,Wind
212,2021-10-18,医药生物行业周报：季度业绩波动该如何应对,新浪
213,2021-10-18,匆匆终止 百克生物新冠疫苗项目“画大饼”,中国经营报
214,2021-10-18,融资客青睐7股，万事利买入占比高达48.60%,Wind
215,2021-10-18,医药生物行业：创新药国谈价格前瞻分析,新浪
216,2021-10-15,长春高新跌5.98% 西部证券东莞证券年内高点唱多,中国经济网
217,2021-10-15,A股资金流向（10月15日）：“锂光芯”全线上扬，医疗龙头闪崩频现,Wind
218,2021-10-15,半导体爆发：最牛7个一字涨停！各种“茅”却崩了,Wind
219,2021-10-15,刺激！半导体突然爆发：最牛7个一字涨停！宁德时代狂飙8%！千亿白马又跌停，预增11倍大牛股竟然跌停，航运茅蒸发千亿，发生了什么？,中国基金报
220,2021-10-15,孤儿药仍在临床阶段 “生长茅”长春高新重挫8%,第一财经
221,2021-10-15,长春高新金妥利珠单抗获FDA孤儿药认定；再鼎合作世和基因加速新药研发,GBIHealth
222,2021-10-14,长春高新：目前为Ia期临床试验阶段,Wind
223,2021-10-14,长春高新：公司在研新药“金妥昔单抗”用于治疗胃癌等,Wind
224,2021-10-14,千亿药茅迎大利好？ 长春高新：孤儿药仍在临床阶段丨公司问答,第一财经
225,2021-10-14,长春高新：目前预约的三季报披露时间为10月30日,每日经济新闻
226,2021-10-14,A股早报2021年10月14日星期四,Wind
227,2021-10-14,大跌40%后，千亿药茅迎大利好！,Wind
228,2021-10-13,【兴证策略 | 陆股通】近期外资加仓哪些板块?,尧望后势
229,2021-10-13,晚间重要公告2021年10月13日星期三,Wind
230,2021-10-13,长春高新：金妥利珠单抗注射液获FDA孤儿药认定,财联社
231,2021-10-13,长春高新：金妥利珠单抗注射液获得美国FDA孤儿药认定,Wind
232,2021-10-12,长春高新：公司在研的创新药有金妥昔单抗等,Wind
233,2021-10-12,长春高新：公司生长激素大概30%以下在公立医院销售,Wind
234,2021-10-12,长春高新：公司生长激素大概30%以下在公立医院销售,每日经济新闻
235,2021-10-12,北向资金动向盘点：反手净卖食品饮料,Wind
236,2021-10-12,市场策略报告：首席周观点 限电影响暂缓,新浪
237,2021-10-12,资金流向分析,新浪
238,2021-10-12,医药生物行业简评报告：广东联盟集采文件出炉 整体好于市场预期,新浪
239,2021-10-11,长春高新：金赛药业在国内生长激素产品行业中目前具有一定的领先优势,每日经济新闻
240,2021-10-11,长春高新：公司下属各医药子公司根据实际需要正在进行相关新厂区建设等,每日经济新闻
241,2021-10-11,长春高新：限电暂未对公司的生产经营产生影响,每日经济新闻
242,2021-10-11,医药行业周报：本周医药板块上涨0.27 建议关注双限政策及新冠药物板块,新浪
243,2021-10-09,北向资金重点买入食品饮料，龙头股获25亿增持，同时加仓这些个股（名单）,21世纪经济报道
244,2021-10-09,2.4亿鼻炎患者，撑起这家隐形冠军,投资界
245,2021-10-08,申万宏源十大金股组合,新浪
246,2021-10-08,A股资金流向（10月8日）：资金高低切换，大幅抢筹保险、大消费板块,Wind
247,2021-10-08,长春高新：超达投资质押620万股,每日经济新闻
248,2021-10-08,煤炭电力股大跌：千亿巨头闪崩跌停！大蓝筹崛起,Wind
249,2021-10-08,广东联采事项对公司影响多大？长春高新：暂时无法判断,每日经济新闻
250,2021-10-08,长春高新：公司的生长激素在广东集采名单中,Wind
251,2021-10-08,医药行业周报：国庆期间海外抗疫板块出现波动 建议理性看待新冠口服药影响,新浪
252,2021-10-08,险资调研兴致胜往年 前三季探访A股超4000次,全景网
253,2021-10-07,险资前三季度调研次数增38%，这些领域是重点,Wind
254,2021-10-07,什么情况？A股第二大机构投资者重磅出手，年内调研上市公司超4000次，这些领域是重点,券商中国
255,2021-10-04,国庆最火，“韭菜”教科书！36岁中年妇女，狂赌T+0可转债，信用卡套现补仓，亏光欠债17万！,上游新闻
256,2021-10-02,三季度机构调研名单出炉，772家机构扎堆调研这家公司,Wind
257,2021-09-30,长春高新(000661.SZ)股东超达投资解除质押620万股,智通财经
258,2021-09-30,长春高新：第一大股东部分股份解除质押,每日经济新闻
259,2021-09-29,上市公司分饰三角，主导疫苗买卖大戏,健识局
260,2021-09-29,长春高新：目前生长激素产品出口占比较小,Wind
261,2021-09-29,长春高新：目前生长激素产品出口占比较小，公司积极推进国际重点市场相关产品准入工作,每日经济新闻
262,2021-09-29,高管增持榜： 长源东谷增持额居首,证券时报网
263,2021-09-29,消费股国庆节后上涨概率超七成！但需注意这个关键点,Wind
264,2021-09-28,北向资金节前连续三日加仓累计净买入90亿，东方财富净买入超6亿元,Wind
265,2021-09-28,主力资金近三日都在买这些概念股,证券之星
266,2021-09-28,财信证券晨会20210928,财信证券研究
267,2021-09-28,长春百克生物科技股份公司关于召开 2021年第二次临时股东大会的通知,证券时报
268,2021-09-27,公告精选：公牛集团因违反反垄断法被罚约2.95亿元；多家上市公司回应限电影响,e公司
269,2021-09-27,科创板晚报|芯片设计厂Q4将涨价 合合信息科创板IPO获受理,财联社
270,2021-09-27,科创板晚报|《中国儿童发展纲要(2021-2030年)》发布 合合信息科创板IPO获受理,财联社
271,2021-09-27,晚间重要公告2021年9月27日星期一,Wind
272,2021-09-27,百克生物及长春高新终止与思安信有关新冠病毒疫苗合作,新京报
273,2021-09-27,百克生物及母公司终止与思安信新冠病毒疫苗许可合作关联交易 资质撤销,新浪
274,2021-09-27,长春高新：终止与思安信进行新型冠状病毒疫苗许可合作,e公司
275,2021-09-27,长春高新公告，公司终止与思安信签署新型冠状病毒疫苗（PIV-5载体）许可合,新浪
276,2021-09-27,长春高新(000661.SZ)及百克生物与思安信终止新冠疫苗(PIV-5载体)许可合作 资质撤销,格隆汇
277,2021-09-27,长春高新：终止与思安信签署新型冠状病毒疫苗（PIV-5载体）许可合作协议 资质撤销,Wind
278,2021-09-27,四大周期板块集体大跌，限电是最大主因？,Wind
279,2021-09-27,医药生物行业周报：确认政策底 行业迎来布局良机,新浪
280,2021-09-27,医药生物行业周报：从景气度、竞争力、外需逻辑看诺禾致源投资价值,新浪
281,2021-09-27,6股获重要股东大手笔增持（附股）,证券时报网
282,2021-09-26,医药生物行业：海外新冠治疗药物有望Q4陆续获批 重点推荐相关CDMO标的,新浪
283,2021-09-26,长春高新：长效生长激素属于创新药,Wind
284,2021-09-26,医药生物行业研究周报：从医疗服务价格调整看康复行业机会(第79篇),新浪
285,2021-09-26,医药生物行业资金流入榜：6股净流入资金超亿元,证券之星
286,2021-09-24,长春高新获20家机构调研，暂无医药集采政策落地,阿尔法工场
287,2021-09-24,A股异动 | 长春高新(000661.SZ)涨超5% 6名董监高昨日合计增持5.08万股,格隆汇
288,2021-09-24,【行情】抗病毒概念股午后拉升，创业板泰林生物触及涨停，富祥药业、透景生命、谱尼测试、长春高新等跟涨,金十数据
289,2021-09-24,长春高新：股东计划增持公司股份,每日经济新闻
290,2021-09-24,长春高新(000661.SZ)：6名董监高昨日合计增持5.08万股,格隆汇
291,2021-09-24,长春高新：国都证券、高新科控等20家机构于9月22日调研我司,证券之星
292,2021-09-24,A股万亿常态成交，三季度以来逾千家公司获机构调研,Wind
293,2021-09-23,热门公司调研机构云集，34家看涨逾100%,Wind
294,2021-09-23,长春高新：公司收购的“脑嵴液AD诊断试剂盒”和“外周血AD诊断试剂盒”非免临床项目,Wind
295,2021-09-23,长春高新：公司目前生产经营正常,每日经济新闻
296,2021-09-23,长春高新：子公司华康药业主要从事中药的研发、生产和销售，涵盖心脑血管、中药抗炎及妇儿等产品线,每日经济新闻
297,2021-09-23,公司有无计划进军玻尿酸业务？长春高新：目前暂无相关规划,每日经济新闻
298,2021-09-23,长春高新：公司贯彻以医药为主、房地产为辅的产业发展定位，努力提升发展质量和发展速度，增强发展效益，实现企业规模实力持续增长,每日经济新闻
299,2021-09-23,"长春高新：截至目前公司直接持有百克生物17,148.82万股股份，占百克生物总股本的41.54%，是百克生物的控股股东",每日经济新闻
300,2021-09-22,医药生物行业周报：人工关节拟中选结果好于预期 市场紧张情绪得到缓解,新浪
301,2021-09-22,医药生物行业周报：把握景气度持续向上板块和个股估值修复机会,新浪
302,2021-09-22,医药行业周报：本周医药板块涨幅居前 看好医药行业景气回归,新浪
303,2021-09-20,"消费股要""王者归来""？三大信号乍现",Wind
304,2021-09-18,又见融资爆仓！白马股爆仓案例频频,Wind
