,2021-12-31,A股资金流向：市场完美红盘收官，指数波澜不惊,Wind
47,2021-12-29,有研硅冲刺科创板上市，拟募资10亿加码布局项目扩产等,资本邦
48,2021-12-29,射频芯片龙头卓胜微两年涨近32倍，模组品类扩张能否支撑长期成长？,第一财经
49,2021-12-29,“元宇宙”等概念对半导体产业而言只是虚火,Ofweek
50,2021-12-29,晶瑞电材“半导体+新能源”双轨战略解析 | 赛道Hyper,证券之星
51,2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
52,2021-12-29,【银河晨报】12.29丨汽车：芯片供应改善延续，助力产销环比提升,中国银河证券研究
53,2021-12-28,侦探基金晒单 | 新能源车、医药医疗再暴涨，加仓赚了！,和讯
54,2021-12-28,12月28日科创板主力资金净流入2.22亿元,证券时报网
55,2021-12-28,8只科创板股尾盘现大额资金净流入,证券时报网
56,2021-12-28,首家EDA企业登录A股 当日涨幅逾五成,e公司
57,2021-12-28,全球唯一能够同时生产三大主要空气过滤材料的厂商，深度绑定中芯国际、京东方等行业巨头！,新浪
58,2021-12-28,【聪明钱】美团－Ｗ(03690)全日获市场资金净流入4.80亿元,和讯
59,2021-12-28,A股资金流向：锂矿价格飙升修复股价背离，新能源全线反弹,Wind
60,2021-12-28,重新梳理供应链 中芯国际透露今年营收将增长39%,快科技
61,2021-12-28,招商证券助力集成电路EDA领域领先企业概伦电子在科创板成功上市,微信
62,2021-12-28,中芯国际H股转涨，今年销售收入较上年预计增长39%,Wind
63,2021-12-28,【行情】中芯国际(00981.HK)小幅拉升，跌幅缩窄至0.22%,金十数据
64,2021-12-28,中芯国际：今年销售收入较上年预计增长39%,e公司
65,2021-12-28,第一上海丨【宏观经济评论】第一上海 - 2022年度策略,第一上海金融
66,2021-12-28,EDA、模式动物概念各自迎“第一股” 首日走势“冰火两重天”,财联社
67,2021-12-28,EDA第一股来了 概伦电子上市首日大涨53%： 技术已支持5nm、3nm工艺,快科技
68,2021-12-28,对话华登国际黄庆：我们不是捕捉独角兽，是陪伴他们成为独角兽,创业邦
69,2021-12-28,融资丨「晶瞻科技」获天鹰资本独家投资，助力首颗国产化笔记本时序控制芯片量产,创业邦
70,2021-12-28,突破EDA核心关键技术，概伦电子成功登陆科创板,证券时报网
71,2021-12-28,2只科创板新股今日上市 开盘平均涨41.67%,证券时报网
72,2021-12-28,“ETF大厂”华宝基金新发产品“多点开花”，旗下医疗ETF年内规模增长超百亿！,搜狐
73,2021-12-28,中芯国际：融资余额比上日增0.22%，融券余额比上日增0.60%(2021/12/27),资本邦
74,2021-12-28,天合光能持续扩产总市值超1500亿 子公司引入5.47亿增资缓解流动性压力,长江商报
75,2021-12-28,36氪首发 ｜显示驱动芯片设计厂商晶瞻科技获天鹰资本数千万A轮投资，研发笔记本高端显示时序控制芯片,36氪
76,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
77,2021-12-28,招商体育文化休闲股票净值下跌3.06%,新浪
78,2021-12-28,EDA第一股来了！概伦电子心定志宏,上证报
79,2021-12-28,南向资金持续流入港股，科技板块获青睐,Wind
80,2021-12-27,【华西电子孙远峰团队-紫光国微点评】特种业务维持高速增长，安全业务明年全线开花,远峰电子
81,2021-12-27,华鑫证券：给予东芯股份买入评级,证券之星
82,2021-12-27,中国移动新股弃购金额逾7亿元 A股近10年最大规模IPO股成色几何,e公司
83,2021-12-27,半导体周报：第三代半导体：我国公司厚积薄发 未来可期,新浪
84,2021-12-27,电子行业2022年投资策略：关注量变引起质变的3C创新及国产替代,新浪
85,2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
86,2021-12-27,电子行业周报：晶圆代工明年Q1或再涨价 折叠屏市场再添新品,新浪
87,2021-12-27,港股今年领跌全球！九成港股基金收益为负！估值“便宜”为啥不涨？机构看好2022年港股基金这些机会,21世纪经济报道
88,2021-12-27,A股资金流向：市场缩量弱反，中药板块保持强度,Wind
89,2021-12-27,中国银河维持电子行业推荐评级：华为召开冬季新品发布，会鸿蒙汽车AITO问界M5等新品亮相,每日经济新闻
90,2021-12-27,【最全】2021年中国电子特种气体行业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),前瞻研究院
91,2021-12-27,21硬核投研丨2022半导体投资前瞻：汽车电子或成最强引擎 设备材料迎来黄金发展期,21世纪经济报道
92,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
93,2021-12-27,全球排名从“无名之辈”到“第一梯队”,浦东时报
94,2021-12-27,"市值飙升至1700亿美元，德州仪器成""缺芯""的大赢家",网易
95,2021-12-27,天风Morning Call·晨会集萃·20211227,天风研究
96,2021-12-26,买ETF大赢家都有谁？2021年光伏、新能源大爆发！ 近三年61只ETF收益翻倍 最高狂赚250%,每日经济新闻
97,2021-12-26,北方华创：半导体设备种类丰富，受益于半导体扩产潮,每日经济新闻
98,2021-12-26,2021薪酬最高的十个行业,新浪
99,2021-12-25,规模超1200亿元！强强联合重组，这个超级“创投航母”启航,东方网
100,2021-12-24,博时基金出海产品表现惨淡，明星经理旗下产品跌幅超20％,腾讯网
101,2021-12-24,A股资金流向：“弃宁投茅”显露调仓痕迹,Wind
102,2021-12-24,中芯981｜今年销售收入料按年增39% | 头条金融网,头条日报
103,2021-12-24,市场要闻｜EDA第一股挂牌上市，市值近200亿元,36氪
104,2021-12-24,A股11年最大IPO中签出炉，战投机构狂买243亿,Wind
105,2021-12-24,沪深交易所制度创新不止步！科创板将推做市商制度,证券时报
106,2021-12-24,东亚前海：需求旺盛国产化加速 半导体设备将进入超景气周期,新浪
107,2021-12-24,华为收购中芯国际，自己造芯，突破封锁，这样究竟可行不可行？,Ofweek
108,2021-12-24,半导体：国产4.0 + 电动化2.0＋ 智能化1.0时代,Ofweek
109,2021-12-24,新兴市场：MCU更高集成更大算力,中国电子报
110,2021-12-24,A股融资融券日报：两融余额增加19.59亿元（12月23日）,Wind
111,2021-12-24,【万业企业（600641.SH）】新设嘉芯半导体设备子公司，打造半导体新设备开发平台——系列跟踪报告之五（刘凯）,新浪
112,2021-12-24,上海科创集团与浦东科创集团联合重组,发布易
113,2021-12-24,今年以来157家企业登陆科创板，募资近2000亿元,Wind
114,2021-12-24,半导体：国产4.0 + 电动化2.0,半导体风向标
115,2021-12-23,5只科创板股尾盘现大额资金净流入,证券时报网
116,2021-12-23,3只科创板个股主力资金净流入超3000万元,证券时报网
117,2021-12-23,上海科创集团与浦东科创集团联合重组，资本管理规模将超1200亿元,东方网
118,2021-12-23,谁在头部？2021手机产业链英雄榜TOP50出炉,维库电子市场
119,2021-12-23,新科创 新未来——上海科创集团与浦东科创集团联合重组,凤凰网
120,2021-12-23,上海科创与浦东科创联合重组 国资品牌集群进一步增强,证券时报网
121,2021-12-23,A股资金流向：“妖股”行情暂告段落，绿电板块重回主线核心,Wind
122,2021-12-23,北京经开区企业通过“报备即批准”政策试点完成高新技术企业认定,北京日报
123,2021-12-23,筑梦之火，千仞之势 | ClickPaaS实力入选德勤2021明日之星榜单！,凤凰网
124,2021-12-23,北京君正：“CPU+存储+模拟”平台协同效应凸显，业绩乘风快速成长,第一财经
125,2021-12-23,中银证券：给予万业企业增持评级,证券之星
126,2021-12-23,恒生科技指数小幅回调，腾讯控股领涨，恒生科技指数ETF(159742)近六月份额增长95.5%,资本邦
127,2021-12-23,突然闪崩，上市以来涨幅30倍的立昂微怎么了？,证券之星
128,2021-12-23,调整就是机会！5只新基金趁下跌火速建仓，15亿刚买了这些个股,每日经济新闻
129,2021-12-23,和讯SGI公司|正帆科技SGI指数最新评分66分，净利润逆势上涨，竟是因政府返税,和讯
130,2021-12-23,万业企业控股子公司携手西塘镇政府布局集成电路核心前道设备,上证报
131,2021-12-23,A股融资融券日报：两融余额增加24.04亿元（12月22日）,Wind
132,2021-12-23,上海证券：给予万业企业买入评级,证券之星
133,2021-12-23,公司调研|万业企业：离子注入机进入放量期 联手张汝京打造平台型设备企业,财联社
134,2021-12-22,浙商早知道 | 12月23日,新浪
135,2021-12-22,【华西电子孙远峰团队-行业点评】产业链日趋成熟，可穿戴未来可期,远峰电子
136,2021-12-22,总投资20亿元！万业企业携手宁波芯恩打造国内集成电路设备龙头,中金在线
137,2021-12-22,科创板一日迎三名“芯考生” 小米、深创投等明星股东云集,上证报
138,2021-12-22,12月22日科创板主力资金净流出3.95亿元,证券时报网
139,2021-12-22,精测电子：在半导体测试领域，公司现有客户主要包括长江存储、广州粤芯、中芯国际等国内半导体厂商,每日经济新闻
140,2021-12-22,行业深度！一文带你了解2021年中国EDA行业市场规模、竞争格局及发展趋势,前瞻研究院
141,2021-12-22,产业观察12期：【科技制造】半导体投资扩散至全产业链,新浪
142,2021-12-22,重磅！分贝通荣膺德勤“2021中国高科技高成长50强”,砍柴网
143,2021-12-22,A股资金流向：热门股大面积退潮，消费电子转型预期获资金关注,Wind
144,2021-12-22,深圳人才安居集团拟发行5亿元3年期绿色中期票据,观点地产网
145,2021-12-22,或成10余年来最大IPO！股民炸锅，你申购中国移动了吗？,Wind
146,2021-12-22,上市就有万亿市值！三巨头齐聚A股，你看好中国移动吗？,中金在线
147,2021-12-22,慈星股份近半货币资金豪赌晶圆产业股价逆市暴跌14.27%有这些内在逻辑,挖贝网
148,2021-12-22,中信银行：凝聚银团活水 润泽实体经济,证券时报网
149,2021-12-22,A股融资融券日报：两融余额减少7.19亿元（12月21日）,Wind
150,2021-12-22,浙商证券：给予凯美特气买入评级,证券之星
151,2021-12-22,华创研究2022年度展望|电子行业：景气度分化，重点看好半导体+汽车电子+新硬件龙头,新浪
152,2021-12-22,风享·TMT 一周谈 | 当下科技板块如何布局？20211221,天风研究
153,2021-12-22,今日视点：中国移动今日发行 红筹加速“回A”续写新篇,证券日报
154,2021-12-21,中国移动回A上市倒计时，有望成近10年最大IPO,第一财经
155,2021-12-21,中芯国际2010万元拿下深圳52亩地：建设12英寸晶圆厂,快科技
156,2021-12-21,A股明日风口：欧洲天然气价格跃升至纪录高位,新浪
157,2021-12-21,3只科创板个股主力资金净流入超5000万元,证券时报网
158,2021-12-21,6只科创板股尾盘主力资金净流入超1000万元,证券时报网
159,2021-12-21,南向资金今日净买入32.75亿港元，腾讯控股净买入11.68亿港元,证券时报网
160,2021-12-21,跟不上技术的市场,Ofweek
161,2021-12-21,半导体行业分析：从上一轮周期看当前发展阶段,证券之星
162,2021-12-21,峰会回顾 12月16日，易路未来人力科技趋势峰会广州站成功举办,美通社
163,2021-12-21,A股资金流向：低价逻辑继续升温,Wind
164,2021-12-21,被纽交所除名后，中国移动回归A股，筹集487亿元资金,搜狐
165,2021-12-21,行业观察 | 行业维持高景气，芯片设计新一轮国产替代周期开启,新浪
166,2021-12-21,ATFX港股：中芯国际进入技术性低估值区间,金融界
167,2021-12-21,“2021德勤中国高科技高成长50强及明日之星”榜单揭晓,证券日报之声
168,2021-12-21,连续涨价！联电明年3月起上调全品项晶圆代工报价,中财网
169,2021-12-21,3000 亿芯片巨头破产重组，阿里巴巴却惨遭出局 减资破产,Ofweek
170,2021-12-21,【干货】智能照明行业产业链全景梳理及区域热力地图,前瞻研究院
171,2021-12-21,A股融资融券日报：两融余额减少40.23亿元（12月20日）,Wind
172,2021-12-21,工信部：2022年要扩大新能源汽车消费 iPhone SE3或将在近期试产,财联社
173,2021-12-21,【华创·每日最强音】否极、能否泰来？酒旅、航空、餐饮、电影行业年度展望|行业联合+医药+计算机,新浪
174,2021-12-21,【银河电子傅楚雄/王恺】行业周报丨OPPO发布OPPO Find N，折叠手机性价比大幅提升,中国银河证券研究
175,2021-12-21,中芯国际2010万元竞得一宗工业用地 将用于12英寸晶圆代工生产,深圳商报
176,2021-12-21,中芯国际竞得一宗工业用地，将用于12英寸晶圆代工生产,Wind
177,2021-12-21,中芯国际竞得一宗工业用地 将用于12英寸晶圆代工生产,深圳商报
178,2021-12-21,天风Morning Call·晨会集萃·20211221,天风研究
179,2021-12-21,上海松江迈上高质量发展快车道,中经导报
180,2021-12-20,南向资金今日成交活跃股名单（12月20日）,证券时报网
181,2021-12-20,北方华创：公司半导体设备销售以直销方式为主,每日经济新闻
182,2021-12-20,北方华创：公司目前订单情况良好，经营正常,每日经济新闻
183,2021-12-20,留不住“大佬”的中芯国际,Ofweek
184,2021-12-20,【聪明钱】腾讯控股(00700)全日获市场资金净流入4.52亿元,和讯
185,2021-12-20,A股资金流向：赛道股加速遭抛售，低价股成短线“避风港”,Wind
186,2021-12-20,港股异动 | 恒生科技指数跌超3%再创上市新低 明源云(00909)挫逾6%领跌成份股,智通财经
187,2021-12-20,李志林丨监管层剑指假外资，大盘探3600点整数关,中金在线
188,2021-12-20,【异动股】中芯国际(00981.HK)跌3%,财华社
189,2021-12-20,Omdia：AMOLED驱动芯片HV 40纳米以下代工厂仅剩5家,财联社
190,2021-12-20,哪些板块敢跌就敢买？4只新基金上周火速建仓，逾11亿资金刚刚扫货了这些个股,每日经济新闻
191,2021-12-20,概伦电子科创板IPO网上发行最终中签率为0.03%,中证网
192,2021-12-20,报告：五家晶圆代工商能为HV 40/28nm制程AMOLED驱动芯片提供产能,IT之家
193,2021-12-20,3季度全球芯片设计、代工、封测前10名,Ofweek
194,2021-12-20,“缺芯”跟踪：供应链现状如何？,智通财经
195,2021-12-20,中一签赚10万，最贵新股扬眉吐气！中信赚1.8亿,Wind
196,2021-12-20,“弃”哭了！中一签大赚10.6万，最贵新股“扬眉吐气”！中信证券狂赚1.8亿，网友：凭实力拒收“奖金”,券商中国
197,2021-12-20,A股融资融券日报：两融余额减少80.19亿元（12月17日）,Wind
198,2021-12-20,苹果加快自研脚步，被国产厂商逼的？,36氪
199,2021-12-20,半导体：未来两年走势,半导体风向标
200,2021-12-19,台积电出手了，8890 万美元收购美国企业，这意味着什么？,搜狐
201,2021-12-18,芯片并不是唯一，连浏览器也遭美企垄断，国产该如何发展？,搜狐
202,2021-12-17,兴发集团(600141)：国家大基金等产投入驻兴福电子 公司加快向新材料领域转型,新浪
203,2021-12-17,上海新阳联手德国贺利氏科技集团 共同开发半导体光刻胶,e公司
204,2021-12-17,新宙邦：电解液产能国内第二，大力加码全产业链布局增强议价能力,第一财经
205,2021-12-17,24家科创板年终进补收逾3亿红包 谨防患上补助依赖症,大众证券报
206,2021-12-17,【趣点】被机构宠爱甚至“不惜互怼”的三安光电，有何魅力？,财华社
207,2021-12-17,9只科创板股尾盘主力资金净流入超1000万元,证券时报网
208,2021-12-17,大基金二期与中芯聚源共同增资兴发电子,Ofweek
209,2021-12-17,瑞芯微第六届开发者大会：用芯做好产品，共谋AIoT芯生态,砍柴网
210,2021-12-17,12月17日热点题材概念分析：云游戏、福建自贸区领涨,搜狐
211,2021-12-17,容维证券刘思山：股指震荡下跌 北向资金大幅流出,新浪
212,2021-12-17,传媒板块反弹 周内重仓基金涨幅靠前,金融投资报
213,2021-12-17,大行评级 | 瑞银：维持中芯国际(0981.HK)沽售评级 予目标价15港元,格隆汇
214,2021-12-17,大基金持仓|子公司获大基金二期入股，兴发集团（600141.SH）前景如何？,财华社
215,2021-12-17,瑞银：维持中芯国际“沽售”评级,Wind
216,2021-12-17,兴发集团子公司增资获大基金二期领投 43.08亿元战略级项目将推进,21世纪经济报道
217,2021-12-17,赵伟国长文控诉，管理人连夜发声，紫光“734亿资产流失”因何而起？,Wind
218,2021-12-17,赵伟国长文“控诉”，管理人连夜发声，紫光“734亿资产流失”因何而起？,第一财经
219,2021-12-17,【行情】创业板指跌幅扩大至1%，教育和中芯国际概念板块跌幅居前,金十数据
220,2021-12-17,【国泰君安国际】晨报：英国央行决定加息,国泰君安证券香港
221,2021-12-17,赵伟国回应紫光重组国有资产流失，管理人回击称干扰重整,Wind
222,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
223,2021-12-17,基金早班车|又有百亿量化私募封盘，北向资金连续12日净买入,金融界
224,2021-12-17,兴福电子分拆上市前引入15家战投 投前估值超17亿大基金二期领投,长江商报
225,2021-12-17,财信证券2021年12月半导体行业跟踪：下游消费回暖，供给端产能利用率维持高水位,财信证券研究
226,2021-12-17,大基金出手！芯片大牛股大涨8%,Wind
227,2021-12-17,子公司炙手可热拟IPO 兴发集团被追问前因后果,上证报
228,2021-12-17,“EDA第一股”概伦电子开启申购,Wind
229,2021-12-16,每经20点丨财政部下达明年新增专项债限额1.46万亿；西安市新增5个中风险区；拜仁首次签下中国球员：18岁的门将刘邵子洋,每日经济新闻
230,2021-12-16,大基金出手！芯片大牛股大涨8%,中国基金报
231,2021-12-16,两市共发生206宗大宗交易 机构抢筹这些个股,第一财经
232,2021-12-16,12月16日港股通净买入40.74亿港元,证券时报网
233,2021-12-16,12月16日科创板主力资金净流出20.78亿元,证券时报网
234,2021-12-16,行情反转，看多做多,搜狐
235,2021-12-16,半导体行业：半导体产业链全景梳理,新浪
236,2021-12-16,南下资金抛售煤炭股，净卖出兖州煤业股份3.26亿港元,格隆汇
237,2021-12-16,北水大幅加仓腾讯、药明生物，卖出兖州煤业股份；南水买入宁德时代超8亿元,富途证券
238,2021-12-16,中芯国际现1笔大宗交易 共成交730.90万元,新浪
239,2021-12-16,南向资金今日净买入40.74亿港元，腾讯控股净买入8.13亿港元,Wind
240,2021-12-16,恒指止跌转涨，煤炭、生物技术板块强势，回港中概反弹,华尔街见闻
241,2021-12-16,【聪明钱】药明生物(02269)全日获市场资金净流入4.81亿元,和讯
242,2021-12-16,智通港股52周新高、新低统计|12月16日,智通财经
243,2021-12-16,恒生指数收涨0.23% 药明生物涨超11%,财华社
244,2021-12-16,市场综述：什么情况？元宇宙沾边就涨，龙头股4天翻倍,老虎证券
245,2021-12-16,港股收评：恒指尾盘拉升涨0.23% 煤炭板块全天强势领涨,格隆汇
246,2021-12-16,A股资金流向：短线资金继续加码热门题材股,Wind
247,2021-12-16,财信证券：给予江化微买入评级，目标价位39.09元,证券之星
248,2021-12-16,ATFX港股：中芯国际H股与A股走势分化,金融界
249,2021-12-16,12月16日午后主力巨资抢筹四大板块(附股),金融界
250,2021-12-16,质疑700亿巨额国资流失？紫光集团千亿重整遭董事长赵伟国反对,21经济网
251,2021-12-16,晶瑞电材：已经开始研发高端ArF光刻胶,Ofweek
252,2021-12-16,险资+顶级私募调研名单曝光！客户覆盖中芯国际、宁德时代等业界巨擘，半导体、新能源两翼齐飞（3股）,新浪
253,2021-12-16,中芯国际跌超4%,36氪
254,2021-12-16,【行情】港股中芯国际跌超4%，股价创2020年10月以来新低,金十数据
255,2021-12-16,摩得受邀参加2021中国（深圳）天使投资峰会 获多家机构与代表点赞,凤凰网
256,2021-12-16,每经午时|告别城乡“同命不同价”！最高法拟修改人身损害赔偿案件司法解释；机构预测明晚成品油零售限价或下调；恒生科指跌1.43%,每日经济新闻
257,2021-12-16,港股午评：恒生科指跌1.43% 煤炭股逆势爆发,财联社
258,2021-12-16,午评：港股恒指跌0.81%科技股大跌 煤炭股集体爆发,新浪
259,2021-12-16,12月16日午盘主力巨资抢筹四大板块(附股),金融界
260,2021-12-16,12月16日早盘主力巨资抢筹四大板块(附股),金融界
261,2021-12-16,华为P50海外版搭载安卓系统,Ofweek
262,2021-12-16,【异动股】中芯国际(00981.HK)跌3.31%,财华社
263,2021-12-16,半导体扩产潮下设备吃紧：交期拉长超两年 联电拟砸175亿元锁单,财联社
264,2021-12-16,概伦电子今日申购，募投项目增强在EDA领域领先优势,证券时报网
265,2021-12-16,压力大全靠怼来发泄？光伏、半导体等行业频现卖方分析师互怼,Wind
266,2021-12-16,【国泰君安国际】晨报：美联储决定加快缩减购债规模,国泰君安证券香港
267,2021-12-16,186只科创板股融资余额环比增加,中证网
268,2021-12-16,4只科创板股获北向资金增持超3000万元,中证网
269,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
270,2021-12-16,基金早班车|外资对白酒龙头加减不一，东方财富获净买入7.19亿元居个股首位,金融界
271,2021-12-16,【中证盘前】市场监管总局规范白酒生产；中诚信国际将牧原股份评级展望调为负面；兴发集团子公司拟引入大基金二期等战投,中证报
272,2021-12-16,2000亿猪茅评级被调整为负面！富力也出事：或无法兑付,Wind
273,2021-12-16,紫光集团千亿重整引争议 董事长赵伟国独家回应：怀疑投资方有没有能力,每日经济新闻
274,2021-12-16,兴发集团子公司增资7.68亿 大基金二期领投,全景网
275,2021-12-15,中1签浮亏近1.6万！创新药巨头上市首日破发，一度跌超19%，有网友表示：打新打了个寂寞,新浪
276,2021-12-15,压力大全靠怼来发泄？光伏、半导体等行业频现卖方分析师互怼,第一财经
277,2021-12-15,港股收盘：阿里巴巴逆势收涨 重大利空下仍有亮点！,证券之星
278,2021-12-15,2021年中国EDA行业产业链现状及市场竞争格局分析 三家本土EDA企业均申请上市,前瞻研究院
279,2021-12-15,南向资金净买入34.75亿港元,Wind
280,2021-12-15,尾盘突遭“空袭”，行情戛然而止了吗？丨复盘论,第一财经
281,2021-12-15,港股收评 | 生物医药板块暴跌，药明生物、药明康德均跌超19%,资本邦
282,2021-12-15,数据|科创板主力资金净流出232股 联测科技流出率最高,财联社
283,2021-12-15,【策略】商品涨跌参半,创元期货股份有限公司
284,2021-12-15,港股收盘(12.15)|恒指收跌0.91% 电力股活跃、CXO概念重挫，药明生物(02269)暴跌近20%,智通财经
285,2021-12-15,【聪明钱】美团－Ｗ(03690)全日获市场资金净流入3.34亿元,和讯
286,2021-12-15,港股收评：恒指、国指均跌0.9%，生物医药类股跳水，电力股走强,格隆汇
287,2021-12-15,恒生指数收跌0.91% CAR-T 家用电器板块跌幅居前,财华社
288,2021-12-15,港股收评：恒指国指均跌0.9% 生物医药类股午后大跌 电力板块逆势走强,格隆汇
289,2021-12-15,A股资金流向：资金延续高切低模式，医药龙头遭大幅抛售,Wind
290,2021-12-15,临港新片区管委会副处长李向聪：临港不只有特斯拉，又凭什么做汽车产业？| 2021 WISE 未来出行峰会,36氪
291,2021-12-15,恒生科技指数跌幅扩大至2% 万国数据跌超8%哔哩哔哩跌近6%,新浪
292,2021-12-15,恒生科技指数午后跌逾1% 万国数据(09698)跌7.03%,和讯
293,2021-12-15,港股跳水 恒生科技指数跌超1%,格隆汇
294,2021-12-15,和讯SGI公司| 沪硅产业SGI指数最新评分54分，股价涨了6.1倍，盈利能力差是短板,和讯
295,2021-12-15,百济神州科创板上市破发，持续亏损如何突围 亏损,第一财经
296,2021-12-15,恒生科技指数午后跌幅扩大至1%,Wind
297,2021-12-15,港股异动 | 中芯国际(00981)午后跌超5%领跌芯片股 机构称2022年半导体行业景气反转风险较高,智通财经
298,2021-12-15,【行情】中芯国际(00981.HK)午后跌5%，报19港元,金十数据
299,2021-12-15,没钱？担心破发？“最贵新股”遭弃购3.63亿，中信证券包圆,金融界
300,2021-12-15,【异动股】中芯国际(00981.HK)跌3%,财华社
301,2021-12-15,信达证券：给予芯源微买入评级,证券之星
302,2021-12-15,国产创新药明星百济神州上市首日：开盘破发，一度跌19.51%,观察者网
303,2021-12-15,恒指开盘涨0.09%，恒生科技指数跌0.36%,36氪
304,2021-12-15,A股融资融券日报：两融余额增加9.31亿元（12月14日）,Wind
305,2021-12-15,28万一签的新股遭“嫌弃”！弃购资金竟达3.6亿，中信证券全部“拿下”，谁会后悔？,券商中国
306,2021-12-15,港股盘前必读：小米回应“双线造车”，美股全线下跌,Wind
307,2021-12-15,“芯片航母”重整旗鼓，中国“缺芯”难题能否柳暗花明？,美股研究社
308,2021-12-15,12.15 早参|关注核心价值股、低估值板块回调机会,华福小福牛
