,2021-12-31,福耀玻璃董事长曹德旺呼吁企业家们把钱拿出来分享,阿尔法工场
105,2021-10-31,国海证券给予福耀玻璃买入评级：业绩将迎修复，天幕玻璃助推成长,每日经济新闻
106,2021-10-31,福耀玻璃(600660)：经营稳步向前 Q3净利同比+9%,新浪
107,2021-10-30,太平洋：给予福耀玻璃买入评级，目标价位65.0元,证券之星
108,2021-10-29,【2021三季报点评/福耀玻璃】缺芯+成本端影响短期业绩，未来改善可期,东吴汽车黄细里团队
109,2021-10-29,平安证券维持福耀玻璃推荐评级：表现稳健、长期受益于汽车智能化,每日经济新闻
110,2021-10-29,平安证券：给予福耀玻璃增持评级,证券之星
111,2021-10-29,瑞信：福耀玻璃(3606.HK)第三季业绩略逊预期 降目标价至41港元 盈利能力下降,格隆汇
112,2021-10-29,【行情】港股光伏板块持续下挫，洛阳玻璃(01108.HK)跌4.8%，福莱特玻璃(06865.HK)跌3.9%，福耀玻璃(03606.HK)跌3.3%，阳光能源(00757.HK)跌2%,金十数据
113,2021-10-29,晨会聚焦211029重点关注航天宏图、金禾实业、赛轮轮胎、瑞可达、北方华创、中晶科技、思瑞浦、长电科技、华测检测、广州酒家等,国信研究
114,2021-10-29,福耀玻璃 ：毛利率依然维持高水平状态【太平洋汽车白宇团队】三季报点评,白宇汽车行研
115,2021-10-29,图解福耀玻璃三季报：第三季度单季净利润同比增8.91%,证券之星
116,2021-10-28,华西证券给予福耀玻璃买入评级：业绩相对平稳汽玻二次成长,每日经济新闻
117,2021-10-28,华西证券：给予福耀玻璃买入评级，目标价位65.7元,证券之星
118,2021-10-28,福耀玻璃前三财季净利25.96亿元，营收171.53亿元,资本邦
119,2021-10-28,福耀玻璃(03606)拟向耀华工业村承租房产用于后勤配套,智通财经
120,2021-10-28,福耀玻璃：2021年第三季度净利润约8.27亿元，同比增长8.91%,每日经济新闻
121,2021-10-28,福耀玻璃：董事会会议审议通过多项日常关联交易议案,Wind
122,2021-10-28,福耀玻璃：公司向耀华工业村承租厂房，月租金277万元,Wind
123,2021-10-28,福耀玻璃：第三季度净利8.27亿元 同比增8.91%,e公司
124,2021-10-28,福耀玻璃：前三季度净利25.96亿元 同比增长50.66%,财联社
125,2021-10-28,福耀玻璃：前三季度净利润同比增长50.66%，三季度增长8.91%,Wind
126,2021-10-27,福耀玻璃3606｜首9个月按年多赚近9% | 头条金融网,头条日报
127,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春等最新持股大曝光,Wind
128,2021-10-27,顶流来了！谢治宇、朱少醒、周蔚文、刘彦春、雷鸣等最新持股大曝光,中国基金报
129,2021-10-26,汽车行业：21年数据点评系列二十：终端需求整体无忧 新能源渗透率持续提升,广发证券
130,2021-10-26,【权益变动】福耀玻璃(03606.HK)被新加坡政府投资有限公司减持3万股 减持股份,财华社
131,2021-10-26,【兴证海外汽车】行业月报：供给改善，需求待放，产销环比持续增长可期,张忆东策略世界
132,2021-10-26,福耀玻璃：公司的主营业务是为各种交通运输工具提供安全玻璃和汽车饰件全解决方案,每日经济新闻
133,2021-10-26,特斯拉概念发力走高 英力股份、中捷精工“20cm”涨停,证券时报网
134,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
135,2021-10-25,【财联社】“疯狂”的玻璃突然不吃香了，地产竣工延后要背锅,财联社
136,2021-10-25,汽车周报：缺芯改善+库存低位+大宗商品价格高位震荡边际回落 再次确认行业配置良机,新浪
137,2021-10-21,【权益变动】福耀玻璃(03606.HK)获新加坡政府投资有限公司增持29.93万股,财华社
138,2021-10-19,A股共发生97宗大宗交易成交26.15亿元（10月19日）,Wind
139,2021-10-19,福耀玻璃现1笔大宗交易 共成交872.61万元,新浪
140,2021-10-19,福耀玻璃今日大宗交易成交17.70万股，成交价49.3元溢价0.0%,Wind
141,2021-10-19,行业动态| “疯狂”的玻璃突然不吃香了 地产竣工延后要背锅,财联社
142,2021-10-18,汽车行业周报：9月产销好于预期 新能源渗透率持续提升,新浪
143,2021-10-18,【异动股】福耀玻璃 (03606.HK)涨3.15%,财华社
144,2021-10-18,汽车行业周报：9月汽车产销环比改善 布局零部件正当时,新浪
145,2021-10-18,汽车行业周报：9月新能源乘用车国内零售渗透率21.1%,新浪
146,2021-10-18,汽车周报：国产崛起+缺芯反转共振 汽车零部件迎配置良机,新浪
147,2021-10-18,福耀玻璃(03606.HK)获GIC增持29.93万股,格隆汇
148,2021-10-17,汽车行业周报：9月整体批发环比+15% 看好自主崛起,新浪
149,2021-10-15,【异动股】福耀玻璃 (03606.HK)涨4.22%,财华社
150,2021-10-14,汽车行业：“金九”成色不足 “银十”渐入佳境,新浪
151,2021-10-13,【天风汽车】天风问答系列：汽车行业五问五答,微信
152,2021-10-13,福耀玻璃现1笔大宗交易 共成交298.87万元,新浪
153,2021-10-13,福耀玻璃今日大宗交易成交6.30万股，成交价47.44元溢价0.0%,Wind
154,2021-10-13,福耀玻璃：董事局将十月二十八日举行会议,Wind
155,2021-10-13,福耀玻璃(03606.HK)10月28日举行董事局会议以考虑及通过前三季度业绩,格隆汇
156,2021-10-13,汽车行业周报：缺芯持续 新能源车交付亮眼,新浪
157,2021-10-13,汽车行业月度销量点评：9月销量环比回升 芯片供给压力减弱,新浪
158,2021-10-13,福耀玻璃：公司目前未建立财务共享中心,Wind
159,2021-10-13,福耀玻璃：公司位于美国的全资子公司福耀玻璃伊利诺伊有限公司有生产光伏组件背板玻璃,每日经济新闻
160,2021-10-13,福耀玻璃：美国全资子公司有生产光伏组件背板玻璃，公司具备背板玻璃的生产技术,Wind
161,2021-10-13,汽车行业点评报告：9月批发环比+15% 芯片改善幅度超预期,新浪
162,2021-10-13,中金公司：汽车零部件板块补库周期将至，新兴需求渐清,Wind
163,2021-10-11,【异动股】福耀玻璃 (03606.HK)涨5.5%,财华社
164,2021-10-11,建材行业：限产带动水泥价格继续大幅上涨,新浪
165,2021-10-08,汽车行业10月投资策略：新能源化进程加速 原材料持续上涨,新浪
166,2021-10-08,汽车行业周报：9月前四周批发零售表现平淡 汽车库存降至近年低位,新浪
167,2021-10-08,浙商证券汽车行业周报：汽车需求向好 行情有望启动,新浪
168,2021-10-07,信义玻璃股价一月下跌35% 业绩紧追福耀玻璃市值相差400亿,长江商报
169,2021-10-07,16只“潜力股”有翻倍预期？券商研报透露这些股票上涨空间大,Wind
170,2021-10-06,【异动股】福耀玻璃 (03606.HK)跌3.08%,财华社
171,2021-09-30,福耀玻璃：河仁慈善基金会是根据中国法律及其章程运营，为独立的慈善基金会,ZAKER
172,2021-09-30,福耀玻璃：河仁慈善基金会是根据中国法律及其章程运营，为独立的慈善基金会,每日经济新闻
173,2021-09-30,智通港股通占比异动统计|9月30日,智通财经
174,2021-09-29,福耀玻璃(600660.SH)：完成发行3亿元超短期融资券,格隆汇
175,2021-09-29,福耀玻璃(03606.HK)股东减持1311.27万股A股 减持股份,财华社
176,2021-09-28,福耀玻璃：持股5%以上股东河仁慈善基金会集中竞价减持0.5%股份,Wind
177,2021-09-28,"福耀玻璃：河仁基金会在2021年9月23日至2021年9月27日期间累计减持公司A股股份约1311万股，本次减持计划的减持数量过半
拟减持股份",每日经济新闻
178,2021-09-28,福耀玻璃(600660.SH)股东河仁基金会累计减持A股1311.27万股 减持数量过半 减持股份,智通财经
179,2021-09-28,福耀玻璃(600660.SH)：减持数过半 河仁基金会累计减持1311.27万股 减持股份,格隆汇
180,2021-09-28,福耀玻璃：河仁基金会累计减持0.5%股份，减持数量过半 减持股份,Wind
181,2021-09-28,13股获券商买入评级，福耀玻璃目标涨幅达33.24%,Wind
182,2021-09-27,汽车行业周报：缺芯将持续 关注强势新品车型,新浪
183,2021-09-27,福耀玻璃(600660)：行业竞争胜负已分 汽玻空间加速扩容,新浪
184,2021-09-27,【异动股】福耀玻璃 (03606.HK)跌3.01%,财华社
185,2021-09-27,汽车周报：限电停产小幅影响行业排产 蔚来推出三元铁锂电池,新浪
186,2021-09-26,汽车行业：复苏时点临近,新浪
187,2021-09-26,汽车行业周报：大众在合肥建电池系统工厂 小米领投黑芝麻智能,新浪
188,2021-09-26,汽车行业周报：９月前三周累计批发环比+8% 看好自主崛起,新浪
189,2021-09-24,汽车行业周报：9月狭义乘用车零售预计158万辆,新浪
190,2021-09-23,【异动股】福耀玻璃 (03606.HK)跌3.33%,财华社
191,2021-09-22,“数据会说话”之2021年8月数据解读：8月疫情防控升级 社零增速不及预期,新浪
192,2021-09-22,2021年8月汽车销量总结：新能源乘用车月销再次刷新历史,新浪
193,2021-09-22,汽车周报：8月乘用车上牌量承压 领克09量产开启预售,新浪
194,2021-09-22,汽车行业周报：传统旺季来临 静待车企补库,新浪
195,2021-09-22,汽车周报：“金九”终端需求旺盛 小鹏P5加速智能家轿进程,新浪
196,2021-09-22,汽车行业：21年数据点评系列十九：芯片短缺带来阶段性扰动 不改需求长期向上趋势,广发证券
197,2021-09-20,陆家嘴财经早餐2021年9月20日星期一,Wind
198,2021-09-20,"消费股要""王者归来""？三大信号乍现",Wind
199,2021-09-19,消费股要“王者归来”？指数接近历史最大回撤、外资开始扫货,Wind
200,2021-09-17,【异动股】福耀玻璃 (03606.HK)涨3.88%,财华社
201,2021-09-16,福耀玻璃荣获中国质量奖,上证报
202,2021-09-16,干货！发改委发布会：保供稳价、粮食安全、猪肉收储,Wind
203,2021-09-16,【异动股】福耀玻璃 (03606.HK)跌3.32%,财华社
204,2021-09-16,第四届中国质量奖评选结果揭晓 京东方、美的、福耀玻璃等入选,上证报
205,2021-09-16,汽车行业21H1中报总结及四季度策略：拥抱新能源 龙头正启航,新浪
206,2021-09-16,跌出黄金坑？十余只消费主题基金密集发行，准备抄底？,Wind
207,2021-09-14,汽车行业月报：芯片紧缺导致等车周期显着拉长,新浪
208,2021-09-14,汽车行业周报：8月销量好于预期 新能源渗透率再创新高,新浪
209,2021-09-14,建材行业：广西限电下水泥价格大幅攀升,新浪
210,2021-09-14,汽车行业周报：8月新能源车渗透率触20%大关 比亚迪E3.0平台重磅发布,新浪
211,2021-09-13,汽车行业周报：再论新能源车的下一个超预期,新浪
212,2021-09-13,【异动股】福耀玻璃 (03606.HK)跌5.04%,财华社
213,2021-09-10,福耀玻璃(03606.HK)控股股东之一致行动人解除质押2400万股,格隆汇
214,2021-09-10,福耀玻璃：福建省耀华工业村开发有限公司解除质押2400万股,每日经济新闻
215,2021-09-10,福耀玻璃：股东耀华工业村解质其所持有的2400万股,Wind
216,2021-09-10,福耀玻璃(600660.SH)股东耀华工业村解除质押2400万股,智通财经
217,2021-09-10,汽车行业点评报告：8月新能源渗透率突破20% 超预期增长,新浪
218,2021-09-09,汽车行业点评报告：2021年8月新能源汽车零售销量环比+12.0% 单月渗透率为17.1%,新浪
219,2021-09-09,专精特新“小巨人”乘风破浪：业绩生猛，涨幅跑赢市场,第一财经
220,2021-09-09,汽车及零部件行业动态：缺芯压制行业产销 新能源汽车消费保持高景气度,新浪
221,2021-09-09,汽车与汽车零部件21年中报业绩综述：21Q2行业呈现较强业绩韧性 继续看好电动智能升级机会,新浪
222,2021-09-08,汽车行业周报：特斯拉2021Q2业绩创新高 单季度净利润首次突破10亿美元,新浪
223,2021-09-08,【行情】港股光伏板块整体再跌至上午低位，福莱特玻璃跌4.2%，新特能源跌3.4%，信义玻璃跌2.9%，福耀玻璃跌2.7%,金十数据
224,2021-09-08,【异动股】福耀玻璃 (03606.HK)跌3.03%,财华社
225,2021-09-08,这些股票被券商建议“买入”，最高目标涨幅超过100%,Wind
226,2021-09-08,券商看好超跌白马股投资价值,Wind
227,2021-09-07,【异动股】福耀玻璃 (03606.HK)涨3.42%,金融界
228,2021-09-07,汽车行业2021年中报综述：原材料成本和芯片供给因素给当期盈利带来阵痛,广发证券
229,2021-09-06,汽车行业2021年中报业绩综述：短期缺芯不改复苏趋势 迎接大变革时代,新浪
230,2021-09-06,光伏2021中报总结：光伏营收高增 硅料表现亮眼,新浪
231,2021-09-05,汽车行业：板块继续震荡 等待一个明确的复苏时点,新浪
232,2021-09-03,【权益变动】福耀玻璃(03606.HK)获贝莱德增持29.2万股,财华社
233,2021-09-03,北向资金连续10日扫货累计加仓近460亿，药明康德、隆基股份净买入均超8亿元,Wind
234,2021-09-01,汽车行业周报：汽车数据安全新规发布 疫情冲击下阶段性缺芯持续,新浪
235,2021-09-01,中信证券：港股市场有望迎来布局四季度行情的最佳窗口,Wind
236,2021-08-31,汽车行业周报：政策市场双驱动 关注电动物流车市场,新浪
237,2021-08-30,福耀玻璃(03606)完成发行2021年度第五期超短期融资券,智通财经
238,2021-08-30,【异动股】福耀玻璃 (03606.HK)涨3.04%,财华社
239,2021-08-26,福耀玻璃：河仁基金会减持是用于捐赠助学（福耀科技大学）使用，属于公益事业 减持股份,每日经济新闻
240,2021-08-26,汽车行业投资策略：一文看透汽车景气现状,新浪
241,2021-08-25,福耀玻璃(03606.HK)发行3亿元超短期融资券,格隆汇
242,2021-08-25,致远互联(688369)：拐点获得验证,新浪
243,2021-08-24,福耀玻璃成立高性能玻璃科技公司，经营范围含新材料技术研发等,搜狐
244,2021-08-23,汽车行业周报：智能网联汽车强化事前监管逐步明朗 数据安全成重点,新浪
245,2021-08-23,【异动股】福耀玻璃 (03606.HK)涨5.78%,财华社
246,2021-08-23,智通港股通占比异动统计|8月23日,智通财经
247,2021-08-23,智通港股通资金流向统计(T+2)|8月23日,智通财经
248,2021-08-20,北向资金6年来首次连续两日净卖出超百亿，贵州茅台、五粮液、恒瑞医药遭惨烈抛售,Wind
249,2021-08-20,【异动股】福耀玻璃 (03606.HK)跌4.37%,财华社
250,2021-08-19,“数据会说话”之2021年7月数据解读：7月社零数据低于预期 弱复苏态势延续,新浪
251,2021-08-19,福耀玻璃现1笔大宗交易 共成交480.05万元,新浪
252,2021-08-19,福耀玻璃今日大宗交易成交11.19万股，成交价42.9元折价11.35%,Wind
253,2021-08-19,【异动股】福耀玻璃 (03606.HK)涨3.06%,财华社
254,2021-08-19,【行情】港股碳中和概念股涨跌互现，紫金矿业跌7%，福莱特玻璃跌4%，鞍钢股份跌2.82%，东岳集团涨7.18%，福耀玻璃涨3%,金十数据
255,2021-08-18,【异动股】福耀玻璃 (03606.HK)跌3.02%,财华社
256,2021-08-18,智通港股通占比异动统计|8月18日,智通财经
257,2021-08-17,汽车行业周报：7月产销承压 关注8月强势新品车型,新浪
258,2021-08-17,【异动股】福耀玻璃 (03606.HK)跌3.37%,财华社
259,2021-08-17,8月17日四家公司公告出现利空:福耀玻璃股东拟减持不超1%公司股份,证券之星
260,2021-08-16,福耀玻璃毛利率大幅回涨仍不及往年，光伏玻璃项目恐遇冷 | 中报季,新浪
261,2021-08-16,汽车行业周报：工信部：加强智能网联车企及产品准入管理,新浪
262,2021-08-16,福耀玻璃：股东拟减持不超过2600万股 拟减持股份,中证网
263,2021-08-16,福耀玻璃：持股5%以上股东河仁基金会计划减持不超过2600万股 拟减持股份,每日经济新闻
264,2021-08-16,福耀玻璃(03606)股东河仁基金会拟减持不超过2600万股A股股份 拟减持股份,智通财经
265,2021-08-16,福耀玻璃(600660.SH)主要股东河仁基金会拟减持不超过2600万股 拟减持股份,智通财经
266,2021-08-16,福耀玻璃：股东河仁基金会计划减持不超1%股份,Wind
267,2021-08-16,汽车行业周报：2021H1全球电动汽车销量超250万辆 电动化率达6.3%,新浪
268,2021-08-16,智通港股通占比异动统计|8月16日,智通财经
269,2021-08-13,国泰君安：维持福耀玻璃(600660.SH)“增持”评级 目标价微升至65.95元,智通财经
270,2021-08-13,福耀玻璃(600660)：天幕加速行业扩容 汽玻王者迎新发展,新浪
271,2021-08-13,蔚来汽车：Q2业绩持续向好 交付量再创新高,新浪
272,2021-08-12,中汽协7月销量点评：高基数和芯片压制销量 新能源持续超出预期,新浪
273,2021-08-12,汽车行业月报：自主新能源领跑 新品弹药充足,新浪
274,2021-08-12,汽车行业报告：7月乘用车批发同比下降8.2% 头部自主品牌与新能源车表现超强,新浪
275,2021-08-12,汽车行业月度销量点评：销量短期承压 下半年向好趋势犹存,新浪
276,2021-08-12,智通港股通占比异动统计|8月12日,智通财经
277,2021-08-11,"福耀玻璃：2021年上半年德国FYSAM铝饰件累计营业利润为-1,042万欧元，与2020年上半年同期（营业利润-2,664万欧元）相比，减少亏损1,622万欧元
亏损",每日经济新闻
278,2021-08-11,北玻股份：福耀系公司的客户之一,Wind
279,2021-08-11,福耀玻璃：目前光伏玻璃在电动汽车上的运用较小,每日经济新闻
280,2021-08-11,【异动股】福耀玻璃 (03606.HK)跌3.74%,财华社
281,2021-08-11,中信证券：维持福耀玻璃(600660.SH)“买入”评级 目标价上调至66元,智通财经
282,2021-08-10,福建区域股市周报：厦工股份涨60.00%涨幅第一 2亿融资买入宁德时代,每日经济新闻
283,2021-08-10,论上海在区域产业发展中组织作用——长三角“富邻居”现象一个解读视角,Wind
284,2021-08-10,【异动股】福耀玻璃 (03606.HK)跌3.21%,财华社
285,2021-08-10,福耀玻璃(600660)2021年中报点评：公司经营保持稳健 Q2环比逆势提升,新浪
286,2021-08-09,【异动股】福耀玻璃 (03606.HK)跌3.05%,财华社
287,2021-08-09,海通证券：维持福耀玻璃(600660.SH)“优大于市”评级 价值区间51-55.5元,智通财经
288,2021-08-09,广发证券：维持福耀玻璃(600660.SH)“增持”评级 目标价60.66元,智通财经
