,2021-12-30,大化工专题策划二|能控纠偏煤化龙头有望长期走强 煤氢联动成行业新看点,财联社
30,2021-12-14,能源化工行业周观点：政策发力稳增长 碳排放双控催生长期机遇,新浪
31,2021-12-14,国君石化 | 轻烃及发展绿电绿氢化工项目迎来机遇,国泰君安证券研究
32,2021-12-13,涨停板解密：资金追捧，传媒游戏股再度火爆上攻！（12月13日）,Wind
33,2021-12-13,A股主力资金流向：电力股获资金抢筹，新能源持续回暖,Wind
34,2021-12-13,12月13日宝丰能源涨停分析：煤化工，甲醇，石墨电极概念热股,证券之星
35,2021-12-13,A股收盘综述：沪指3700点得而复失，元宇宙概念掀涨停潮；北交所一股“30CM”涨停！,Wind
36,2021-12-13,快讯：氢能源板块异动拉升 宝丰能源等多股涨停,新浪
37,2021-12-13,解盘：资金持续回流，特高压、网游、基建、元宇宙领涨,Wind
38,2021-12-13,A股午盘综述：沪指放量涨1%，时隔3个月重返3700点！元宇宙概念再度爆发,Wind
39,2021-12-13,申万宏源：中央经济工作会议透露能源机遇,财联社
40,2021-12-13,快讯：宝丰能源涨停 报于18.13元,金融界
41,2021-12-13,快讯：煤炭概念持续拉升 宝丰能源涨停,新浪
42,2021-12-12,【安信化工】科学考核能耗双控，看好化工龙头,安信化工研究
43,2021-12-09,宝丰能源：公司于2019年启动太阳能电解制氢储能及应用示范项目建设，其中部分产能已于2021年4月投运，年底30台电解槽将全部建成,每日经济新闻
44,2021-12-09,宝丰能源：年底项目全部投产后可年产2.4亿标方绿氢和1.2亿标方绿氧，以后每年以3亿立方米的速度增长生产绿氢，节能减排将形成倍增效应，每年将新增削减化工装置碳排放总量的5%，力争用10年时间完成企业50%碳减排，用20年时间率先实现企业碳中和,每日经济新闻
45,2021-12-09,宝丰能源：公司规划将每年新增绿氢产量3亿方左右,每日经济新闻
46,2021-12-09,宝丰能源：CTO行业全产业链碳排放一般在7-10吨，公司吨烯烃全产业链排放约7吨左右,每日经济新闻
47,2021-12-09,宝丰能源：煤价已逐步回归理性，公司的生产成本也回归常态,每日经济新闻
48,2021-12-09,宝丰能源：公司电解水制氢产生的绿氢主要用于生产甲醇,每日经济新闻
49,2021-12-09,宝丰能源：公司制氢设备为外购,每日经济新闻
50,2021-12-09,宝丰能源：公司30台制氢装置剩余20台目前正在安装调试过程中，预计今年年底安装完成明年年初进行调试,Wind
51,2021-12-09,宝丰能源：公司电解水制氢所产氢的纯度可以达到99.999%，不需要再纯化,Wind
52,2021-12-09,宝丰能源：公司电解水制氢所产氢的纯度可以达到99.999%,财联社
53,2021-12-08,964亿元！200GWh！宝丰集团进军锂电储能行业,索比光伏网
54,2021-12-06,2021中国上市公司软实力巡礼：宝丰能源价值64.15亿元 排序第75名,搜狐
55,2021-12-06,全产业链价格价差研究：化工品市场依旧弱势 重点关注成长龙头表现,新浪
56,2021-12-02,煤炭概念拉升回暖，美锦能源涨近6%，金能科技、宝丰能源、君正集团跟涨。,新浪
57,2021-11-30,能源化工行业周观点：继续推荐高景气赛道和成长高确定性标的,新浪
58,2021-11-30,石化行业：11月油价高位回落 看好业务扩张下的头部企业表现,新浪
59,2021-11-29,氢能顶层规划有望加快发布！机构近一月扎堆看好这些概念股,Wind
60,2021-11-29,氢能顶层规划有望加快发布！机构近一月扎堆看好这些概念股,第一财经
61,2021-11-29,A股共发生193宗大宗交易成交47.05亿元（11月29日）,Wind
62,2021-11-29,宝丰能源大宗交易成交7071.76万元,证券时报网
63,2021-11-29,氢能源强势崛起，万亿赛道呼之欲出,Wind
64,2021-11-28,石油化工行业周报：OMICRON引发油价恐慌性下跌 对后市原油及石化影响分析,新浪
65,2021-11-26,烯烃行业展望深度报告：原料多元化趋势下 低碳和新材料是长期发展方向,新浪
66,2021-11-25,宝丰能源：公司产品成本和同行业其他煤制烯烃企业相比低约30%,每日经济新闻
67,2021-11-25,宝丰能源：目前公司通过将绿氢补充至化工生产，预计将年新增减少煤炭资源消耗约38万吨，年新增减少二氧化碳排放约66万吨,每日经济新闻
68,2021-11-25,宝丰能源：公司电解水制氢项目将于今年年底前全部投产，投产后可年产2.4亿标方绿氢和1.2亿标方绿氧,每日经济新闻
69,2021-11-25,宝丰能源：公司电解水制氢项目全部达产后可年产2.4亿标方绿氢和1.2亿标方绿氧,Wind
70,2021-11-25,宝丰能源：在标准状况下，1公斤氢气为11.2立方米，公司2.4亿方氢气即为2.14万吨； 1公斤氧气为0.7立方米，公司1.2亿标方绿氧即为17.14万吨,每日经济新闻
71,2021-11-25,宝丰能源：公司电解水制氢项目全部达产后可年产2.4亿标方绿氢和1.2亿标方绿氧，目前制氢成本还高于灰氢,每日经济新闻
72,2021-11-23,"宝丰能源现2笔大宗交易 共成交2,799.02万元",新浪
73,2021-11-23,宝丰能源今日大宗交易成交24.85万股，成交价16.12元溢价0.0%,Wind
74,2021-11-23,十万亿规模氢能产业启航 宝丰能源阳光电源等上市公司深度布局,中国网
75,2021-11-23,化工行业周报：农药价格部分回归理性 多氟多与比亚迪签订战略协议,新浪
76,2021-11-23,新材料板块周观点：高耗能项目减碳目标确定 宝丰能源EVA树脂或将于2023年投产,新浪
77,2021-11-22,化工周报：北交所正式开盘；双碳系列政策持续落地、煤化工行业频出新动态,新浪
78,2021-11-22,"宝丰能源现2笔大宗交易 共成交12,252.55万元",新浪
79,2021-11-20,化工行业策略：新能源变革下的化工新材料大机会,新浪
80,2021-11-19,全球单厂规模最大电解水制氢项目：全部达产后年减排66万吨,澎湃新闻
81,2021-11-19,宝丰能源：公司首批电解水制氢项目全部投产后，有每年减少66万吨二氧化碳排放的效益等等,Wind
82,2021-11-19,宝丰能源：公司首批电解水制氢项目全部投产后，可年产 2.4 亿标方“绿氢”和 1.2 亿标方“绿氧”，年可新增减少煤炭资源消耗约 38 万吨、年新增减少二氧化碳排放约 66 万吨,每日经济新闻
83,2021-11-19,宝丰能源：公司未来将向制氢储能、氢气储运、加氢站建设方向综合发展，并通过与城市氢能源示范公交线路协作等方式拓展应用场景，实现氢能全产业链一体联动发展,每日经济新闻
84,2021-11-19,宝丰能源：公司聚乙烯、聚丙烯现有产能为120万吨/年，在建产能100万吨/年，已经核准正在筹备建设的产能400万吨/年,每日经济新闻
85,2021-11-19,大爆发！万亿市场氢能产业 宝丰能源、隆基股份等加码氢能产业布局,搜狐
86,2021-11-19,晶诺、润阳、宝丰、青海丽豪、同德化工等新玩家入场，百万吨硅料产能待释放,索比光伏网
87,2021-11-19,宝丰能源：年产25万EVA产能预计2023年一季度投产,国家煤化工网
88,2021-11-19,全球最大电解水制氢将投产，与大规模PDH副产氢竞争力如何？,腾讯网
89,2021-11-18,A股收盘综述：元宇宙回撤；锂矿炙手可热，天齐锂业巨量成交137亿元,Wind
90,2021-11-18,A股异动 | 宝丰能源涨约4% 年产25万吨！EVA项目预计2023年一季度投产,格隆汇
91,2021-11-18,A股午盘综述：锂矿等高景气赛道依然火热，元宇宙深度回调,Wind
92,2021-11-18,中信建投2022年化工行业策略报告：“双碳”重塑行业，开启谋新求变新篇章,Wind
93,2021-11-17,化工2020年投资策略报告：“双碳”重塑行业 开启谋新求变新篇章,新浪
94,2021-11-17,宝丰能源：公司电解水制氢项目包括制氢设备以配套的氢气压缩设备和氢气缓储罐,每日经济新闻
95,2021-11-17,宝丰能源：公司生产的氢可以用于氢燃料电池,Wind
96,2021-11-17,宝丰能源：公司首批30台电解水制氢设备今年陆续到货安装,Wind
97,2021-11-16,氢燃料电池汽车前景广阔，宝丰能源涨停，可持续发展ETF(515090)近三月净值增长4.5%,资本邦
98,2021-11-16,11月16日宝丰能源涨停分析：新冠病毒防治，流感/口罩，石墨电极概念热股,证券之星
99,2021-11-16,快讯：宝丰能源涨停 报于15.25元,金融界
100,2021-11-16,宝丰能源首板,Wind
101,2021-11-16,全球首例太阳能大规模制氢成功实现，超半数概念股市盈率不到30倍，5000亿龙头获高瓴资本重仓,e公司
102,2021-11-15,化工行业周报：碳中和背景下 继续看好高景气新能源化工材料,新浪
103,2021-11-15,宝丰能源：绿氢是未来重要发展方向,每日经济新闻
104,2021-11-15,宝丰能源：电解水制氢是目前最主要的制取绿氢的方法，整个过程可实现零排放,每日经济新闻
105,2021-11-15,宝丰能源：公司绿氢生产规模可达到年产2.4亿标方绿氢和1.2亿标方绿氧,每日经济新闻
106,2021-11-15,宝丰能源：公司太阳能电解水制氢项目2021年4月首批装置成功投产，项目全部达产后可年产2.4亿标方绿氢和1.2亿标方绿氧。项目每年可新增减少煤炭资源消耗约38万吨、年新增减少二氧化碳排放约66万吨,每日经济新闻
107,2021-11-15,石油化工行业周报：LPG、油价与天然气价格关系及影响,新浪
108,2021-11-13,宝丰能源EVA项目有望2023年一季度投产 三季度业绩创历史新高,21世纪经济报道
109,2021-11-13,宝丰能源先行打造氢能耦合现代煤化工产业示范,中国经济网
110,2021-11-13,科技创新孕育煤化工能效冠军宝 丰能源跑出高质量发展“加速度”,中国网
111,2021-11-12,北大后EMBA同学喝茶泄密 孔社魁内幕交易至正股份被罚2000万 金融监管处罚,21世纪经济报道
112,2021-11-12,喝茶聊天扯出内幕信息！内幕交易至正股份，一人被罚没2073万,中新经纬
113,2021-11-12,EMBA同学会泄密至正股份内幕消息 涉事人员豪买2000万牟利500余万元,和讯
114,2021-11-11,50万吨EVA！宝丰能源大举动入局光伏级EVA,索比光伏网
115,2021-11-10,化工行业周报：轮胎景气度回升 石大胜华积极布局新能源,新浪
116,2021-11-09,周期产业2022年投资策略：聚焦成长性材料量利齐升下的机会,新浪
117,2021-11-08,25万吨/年！宝丰能源高调入局光伏级EVA,雪球
118,2021-11-05,宝丰能源：25万EVA产能预计2023年一季度投产,每日经济新闻
119,2021-11-05,宝丰能源：目前生产经营和工程建设一切正常，所有人员均为安全状态,每日经济新闻
120,2021-11-05,宝丰能源：年煤价的快速上涨是从9月下旬开始，10月下旬达到高点，然后开始快速回落，因此，对1-9月的平均采购价影响有限,每日经济新闻
121,2021-11-05,【证券日报】宝丰能源前三季净利增近七成，加速绿色低碳转型,我的钢铁
122,2021-11-04,化工点评报告：三季度石油石化配置创近八年新高 关注龙头及偏成长相关标的,新浪
123,2021-11-04,险资三季度调仓动向　抛售地产重点增持周期股,财富动力网
124,2021-11-03,基础化工行业周报：油价下跌 无水氢氟酸、除草剂、丁基橡胶等产品价格上涨,新浪
125,2021-11-03,净利润15.8亿！宝丰能源发布2021年三季度报告,北极星电力
126,2021-11-02,专题 | 煤制烯烃成本情况,新湖期货
127,2021-11-02,宝丰能源：坚持绿色低碳发展 前三季度净利同比大增68.74%,中证网
128,2021-11-02,成本与运营优势护航 宝丰能源前三季度营收及净利润超去年全年,上证报
129,2021-11-02,宝丰能源：前三季实现营收161.96亿元 净利53.18亿元大增68.74%,搜狐
130,2021-11-02,石油化工行业周报：能源价格波动下对石化行业盈利影响 以及当前估值对应的周期位置,新浪
131,2021-11-01,德邦证券维持宝丰能源买入评级，2021三季报点评：短期业绩承压，成本改善有望修复盈利空间,每日经济新闻
132,2021-10-30,中国银河证券给予宝丰能源推荐评级：21Q3业绩短期承压，煤价下行将重塑业绩弹性,每日经济新闻
133,2021-10-30,宝丰能源前三季净利增近七成 加速绿色低碳转型,证券日报
134,2021-10-29,【开源煤炭&石化-张绪成】宝丰能源三季报点评：高煤价Q3业绩收缩，煤价下行&项目投产迎拐点,能源观察站
135,2021-10-29,宝丰能源在宁夏建设的全球最大光伏电解水制绿氢，有提供相关设备吗？中泰股份：目前暂未参与电解水制氢环节,每日经济新闻
136,2021-10-29,光大证券：给予宝丰能源增持评级,证券之星
137,2021-10-29,安信研究|晨会在线20211029,安信证券研究
138,2021-10-28,宝丰能源(600989)2021年三季报点评：焦炭利润延续高增 扩产项目渐行渐近,新浪
139,2021-10-28,国金证券：给予宝丰能源买入评级,证券之星
140,2021-10-28,【国海化工】宝丰能源三季报点评：获评能效领跑者标杆企业，公司规划项目顺利推进,靠谱化工股
141,2021-10-28,宝丰能源：近期由于保供任务，政府会核增一些生产能力，但这种核增是临时的还是长期的，目前还不确定,每日经济新闻
142,2021-10-27,宝丰能源公布三季报 前三季净利增加68.74%,新浪
143,2021-10-27,宝丰能源(600989.SH)：第三季度净利润升49.55%至15.85亿元,格隆汇
144,2021-10-27,宝丰能源：前三季度净利润53.18亿元 同比增长68.74%,中证网
145,2021-10-27,图解宝丰能源三季报：第三季度单季净利润同比增49.55%,证券之星
146,2021-10-27,新鲜出炉！宝丰能源：2021年第三季度净利润约15.85亿元，同比增长49.55%,每日经济新闻
147,2021-10-27,宝丰能源：第三季度净利15.8亿元 同比增长50%,财联社
148,2021-10-27,宝丰能源：前三季度净利润同比增长68.74%,Wind
149,2021-10-27,中信证券晨会,新浪
150,2021-10-27,原油价格上涨运输企业承压，有货车司机已不敢接远单,Wind
151,2021-10-22,宝丰能源：公司自产煤炭全部自用,Wind
152,2021-10-22,宝丰能源：公司炼焦用的精煤，自有煤炭比例为60%左右,Wind
153,2021-10-22,宝丰能源：公司自产煤炭全部自用,每日经济新闻
154,2021-10-22,宝丰能源：目前公司在产产能为720万吨/年,Wind
155,2021-10-22,宝丰能源：目前公司在产产能为720万吨/年。目前，宁夏政府相关部门已经下达了今冬煤炭保供任务，有保供任务的煤矿可以核增产能，公司马莲台煤矿初步确定在保供煤矿名单,每日经济新闻
156,2021-10-22,宝丰能源：公司生产聚烯烃采购的原料煤，平均热值约5000大卡，主要向国有大型煤炭企业采购,每日经济新闻
157,2021-10-22,宝丰能源：丁家梁煤矿正在抓紧建设中,每日经济新闻
158,2021-10-22,宝丰能源：公司炼焦用的精煤，自有煤炭比例为60%左右,每日经济新闻
159,2021-10-22,宝丰能源：四股泉煤矿目前产能为120万吨/年,Wind
160,2021-10-19,油气价格走势及影响深度报告：资源价值有望长期复苏 看好石化转型升级空间,新浪
161,2021-10-14,宝丰能源：公司光伏制氢装置全部投产后可年产2.4亿标方绿氢和1.2标亿方绿氧，项目配套建设2x100MWp光伏发电装置,每日经济新闻
162,2021-10-14,宝丰能源：近期随着油价上涨，公司聚烯烃产品价格近一个月上涨约20%,每日经济新闻
163,2021-10-14,宝丰能源：目前公司电解水所制氢气经过园区地下管道直接通往甲醇生产装置，不存在大量储存和外部运输问题,每日经济新闻
164,2021-10-14,宝丰能源：公司自有煤炭全部用于生产焦炭，如果只算焦炭生产，自有煤炭的自给率可以达到60%,每日经济新闻
165,2021-10-14,宝丰能源：目前未施行套期保值,每日经济新闻
166,2021-10-14,宝丰能源：丁家梁煤矿与甜水河井田的资源合并开发正在抓紧建设，以期尽快投产,每日经济新闻
167,2021-10-14,宝丰能源：公司甲醇自给率为100%,Wind
168,2021-10-14,宝丰能源：公司属于煤制烯烃的龙头企业之一,Wind
169,2021-10-14,宝丰能源：CCS技术目前尚处于研发阶段,Wind
170,2021-10-12,宝丰能源：内蒙电价上调对公司两大主业无影响,Wind
171,2021-10-12,宝丰能源：公司目前用电供应正常，生产负荷未有变化,Wind
172,2021-10-12,宝丰能源：内蒙古上调部分高耗能行业的电价，可能会推涨其省内相关产能的成本，但不包括聚烯烃行业,每日经济新闻
173,2021-10-12,宝丰能源：公司目前用电供应正常，生产负荷没有变化,每日经济新闻
174,2021-10-12,宝丰能源：公司生产聚乙烯、聚丙烯使用的原料煤，大类属于动力煤，使用的是动力煤中的不粘煤和弱粘煤，主要从鄂尔多斯采购,每日经济新闻
175,2021-10-12,宝丰能源：目前公司煤炭自给率为45%左右,Wind
176,2021-10-12,宝丰能源：公司使用的宁夏地区工商业用电两部制110千伏统一电价,每日经济新闻
177,2021-10-12,宝丰能源：目前公司煤炭自给率为45%左右,每日经济新闻
178,2021-10-12,宝丰能源：300万吨焦炭可以副产约15亿方焦炉气,Wind
179,2021-10-11,煤炭石化行业周报：粘胶有望触底反弹 政策层强力保供动力煤,新浪
180,2021-10-07,石化行业：油价中枢上移 看好非石油路线业绩表现,新浪
181,2021-09-29,市值蒸发超万亿，周期股被爆锤，北上资金抄底这些股！,Wind
182,2021-09-29,聪明资金、杠杆资金同时加仓股曝光，滞涨股仅11只,Wind
183,2021-09-29,北向资金动向盘点：持续买入食品饮料,Wind
184,2021-09-28,化工行业周报：双控政策影响蔓延 硅产业链全线上涨,新浪
185,2021-09-28,宝丰能源：目前公司用电供给正常,每日经济新闻
186,2021-09-28,宝丰能源：公司向清华大学教育基金会捐赠设立“宝丰碳中和讲席教授基金”,每日经济新闻
187,2021-09-28,宝丰能源：公司建设了太阳能发电电解水制装置，通过补充绿氢减少化工装置的煤炭使用量，减少CO2的排放，实现碳减排,每日经济新闻
188,2021-09-27,宝丰能源：公司内蒙项目属于国家《现代煤化工产业创新发展布局方案》规划范围内的重大项目,每日经济新闻
189,2021-09-27,宝丰能源：公司生产聚烯烃所用原料主要为煤炭和焦炉气，折算为统一标准后，焦炉气占比约目前13%-14%，可节约煤炭近90万吨/年,每日经济新闻
190,2021-09-27,宝丰能源：公司目前生产正常,每日经济新闻
191,2021-09-27,宝丰能源：目前公司内蒙项目进展正常,每日经济新闻
192,2021-09-27,石油化工行业周报：从上半年油气公司产量及资本开支 全面看好国内油气及油服行业标的,新浪
193,2021-09-27,宝丰能源：在目前70美元油价下，公司煤制烯烃的成本仍有优势,Wind
194,2021-09-27,化工行业周报：能耗双控进行时 继续看好受新能源拉动供需错配的化工子行业,新浪
195,2021-09-27,化工行业周报：万华荣获年度工业信息化领军奖 玲珑荣登亚洲品牌500强榜单,国海证券
196,2021-09-27,基础化工：油价上涨 制冷剂、工业硅、纯碱等产品价格继续上涨,新浪
197,2021-09-27,煤炭石化行业周报：化纤行业迎来利好 煤焦价格高位震荡,新浪
198,2021-09-26,一束光替代一块煤 宝丰能源绿氢模式打造现代煤化工低碳发展标杆,搜狐
199,2021-09-25,碳市场还不够？专家又提出绿色金融和碳税概念,华夏时报
200,2021-09-23,宝丰能源发力高端聚烯烃蓝海市场，现代煤化工发展前景几何？,搜狐
201,2021-09-22,基础化工行业周报：能源双控升级对化工品价格的影响分析,新浪
202,2021-09-22,化工行业周报：能耗双控背景下关注高耗能产品价格弹性 继续看好新能源赛道上游材料核心标的,新浪
203,2021-09-22,化工行业周报：万华荣获中国质量奖提名 玲珑逆境中坚持扩张,国海证券
204,2021-09-22,基础化工行业：油价上涨 工业硅、纯碱、R134A等产品价格持续上涨,新浪
205,2021-09-20,原料上涨推动聚乙烯价格新高，宝丰能源（600989.SH）自给原料避免利润压缩,格隆汇
206,2021-09-19,谁将受益高煤价？37股预测业绩高增长，今后三年翻倍式增长仅3股,Wind
207,2021-09-16,宝丰能源：年内新增红四煤矿240万吨的产能已经释放,Wind
208,2021-09-16,宝丰能源：年内新增红四煤矿240万吨的产能已经释放，目前公司在产产能为720万吨/年,每日经济新闻
209,2021-09-16,快讯：宝丰能源涨停 报于19.69元,金融界
210,2021-09-16,宝丰能源大涨,新浪
211,2021-09-16,宝丰能源盘中快速上涨,新浪
212,2021-09-15,以氢降碳，我国氢能进入加速发展窗口期,Wind
213,2021-09-15,宝丰能源：公司内蒙项目投产前手续较多，目前大部分审批程序均已落实，公司正在继续完善项目其他审批手续,每日经济新闻
214,2021-09-15,宝丰能源：300万吨焦化多联产项目能在预定的时间内建成投产,Wind
215,2021-09-15,宝丰能源：超高分子聚乙烯产品是公司研发的方向之一,每日经济新闻
216,2021-09-15,宝丰能源：季度公司煤醇比低至1.38（折5400大卡煤）,每日经济新闻
217,2021-09-15,宝丰能源：三期烯烃项目的原料包括气化煤和焦炉气,Wind
218,2021-09-15,化工行业周报：磷化工产业链高位上行 双碱板块景气延续,新浪
219,2021-09-13,宝丰能源：公司目前甲醇年产能为400万吨,Wind
220,2021-09-13,宝丰能源：焦炭涨价利好公司,Wind
221,2021-09-13,宝丰能源：自产煤炭经洗选后生产的精煤全部用于炼焦，不对外销售,Wind
222,2021-09-09,石油石化行业2021年中报总结：受益于油价回升 21H1营收净利双增,新浪
223,2021-09-08,中国化学百亿定增收官，国资险资券商公私募齐追捧,Wind
224,2021-09-07,宝丰能源：经测算如果按煤价上涨10%，摊到产品成本上约占3%左右,Wind
225,2021-09-07,宝丰能源：公司马莲台煤矿一直正常运营，年产能为360万吨,Wind
226,2021-09-07,宝丰能源：丁家梁煤矿与甜水河煤矿联合开发项目预计2024年投产,Wind
227,2021-09-07,宝丰能源：目前公司烯烃年产能120万吨,Wind
228,2021-09-07,化工行业周报：磷酸铁锂拉动锂电化工材料需求 继续推荐R142B-PVDF产业链,新浪
229,2021-09-06,宝丰能源今日大宗交易成交15.40万股，成交价16.25元溢价0.0%,Wind
230,2021-09-06,化工行业周报：万华拟建40万吨POCHP项目 玲珑新零售2.0上线,国海证券
231,2021-09-03,A股共发生113宗大宗交易成交22.16亿元（9月3日）,Wind
232,2021-09-03,北向资金连续10日扫货累计加仓近460亿，药明康德、隆基股份净买入均超8亿元,Wind
233,2021-09-03,石油化工行业专题报告：乙烯下游――化工新材料专题系列二,新浪
234,2021-09-03,宝丰能源：强化科技创新 践行绿色发展助力节能减排,中证网
235,2021-09-01,宝丰能源：目前公司煤炭自给率综合计算约45%左右,Wind
236,2021-09-01,宝丰能源：未来2-3年公司新项目将会实现梯次建成投产,Wind
237,2021-09-01,能源化工行业氢能热点聚焦之三-示范应用启动 激发产业活力,新浪
238,2021-09-01,中信证券：燃料电池示范应用启动，激发产业活力,Wind
239,2021-08-31,宝丰能源：目前公司制氢成本每立方米约在1.3元左右,Wind
240,2021-08-31,宝丰能源：公司目前甲醇产能为400万吨/年,Wind
241,2021-08-31,基础化工行业周报：基础化工行业2021年中报点评,新浪
242,2021-08-31,宁夏区域股市周报：宝丰能源市值增长86.53亿 新日恒力涨24.46%涨幅第一,每日经济新闻
243,2021-08-30,能源化工行业周观点：油价重回70美元 两碱、氟化工等价格强势,新浪
244,2021-08-27,宝丰能源：公司完成回购，累计回购约1954万股，占比0.27%,每日经济新闻
245,2021-08-27,宝丰能源：上半年营收、净利双增长，产业链延伸按下高质量发展“加速键”,e公司
246,2021-08-26,方正证券研究所人事地震：六首席“组团”跳槽，多位有新财富光环,Wind
247,2021-08-26,化工行业周报：有机硅价格持续上行 看好行业景气延续,新浪
248,2021-08-26,一图看懂宝丰能源(600989.SH)2021半年报：营收净利双位数增长，锚定行业“双碳”战略引领者,格隆汇
249,2021-08-25,宁夏区域股市周报：17家机构调研晓鸣股份 宝丰能源跌9.34%跌幅第一,每日经济新闻
250,2021-08-23,2021年8月第3周煤炭行业周报：焦煤供需缺口长期存在 本周继续大涨 动力煤有望淡季不淡,新浪
251,2021-08-23,煤炭石化行业周报：夏季用煤高峰已过 PVC价格有望走强,新浪
252,2021-08-20,华菱线缆：公司在光伏领域主要与西安隆基、宝丰能源等企业进行合作,Wind
253,2021-08-18,宝丰能源上半年净利大增近8成，现代煤化工龙头开启“宝丰道路”,新京报
254,2021-08-18,宁夏区域股市周报：*ST环球涨12.25%涨幅第一 宁夏建材挤进板块市值5强,每日经济新闻
255,2021-08-17,“聪明钱”北上资金百亿加仓东方财富 这两只白马股被大举减仓,华夏时报
256,2021-08-17,化工行业周报：大鱼择大池 化工巨头挺进新能源赛道,华安证券
257,2021-08-17,多地政策加码，氢能产业发展步入快车道,Wind
258,2021-08-16,宝丰能源：氢能板块持续走强 产业迎来新一轮发展热潮,中金在线
259,2021-08-16,化工行业周报：新能源风起 化工龙头加速布局,新浪
260,2021-08-16,氢能源板块指数涨逾8% 44只个股获大单资金抢筹,证券日报网
261,2021-08-14,中信建投化工团队本周研究成果,中信建投证券研究
262,2021-08-13,长江证券：维持宝丰能源(600989.SH)“买入”评级 聚烯烃价格涨幅显着 焦炭价格持续处于高位,智通财经
263,2021-08-13,宝丰能源上半年净利大增超七成 全线开启“碳中和”之路,证券日报网
264,2021-08-12,晚间要闻2021年8月12日星期四,Wind
265,2021-08-12,化工行业简评报告：政策持续加码 氢能发展步入快车道,新浪
266,2021-08-12,营收利润大幅增长后，宝丰能源还将大力发展氢能,Ofweek
267,2021-08-12,最新！顶流基金经理隐形重仓股来了（名单）,Wind
268,2021-08-12,最新！刘彦春、谢治宇、朱少醒、傅鹏博、葛兰、蔡嵩松…，顶流基金经理隐形重仓股来了（名单）,中国基金报
269,2021-08-12,广发证券：维持宝丰能源(600989.SH)“增持”评级 目标价22.71元,智通财经
270,2021-08-12,化工行业日报：川财研究能源及公用事业产业链核心数据跟踪日报,新浪
271,2021-08-12,宝丰能源上半年实现净利润37.33亿元，科技创新助力“氢茅”业务全面提档升级,凤凰网
272,2021-08-12,成本优势凸显 宝丰能源上半年净利润增长近8成,上证报
273,2021-08-12,宝丰能源上半年净利大增78.46%，自主创新助力发展驶入“快车道”,中国网
274,2021-08-12,宝丰能源：上半年净利大增78.46%，高效质控助推“氢茅”财务稳健发展,中国网
