,2021-12-31,年内最后一次油价调整，汽、柴油价格每吨分别提高140元和135元,Wind
274,2021-12-09,生意社：12月9日中石化华南对二甲苯价格暂稳,生意社
275,2021-12-09,中国石化近8万名青年志愿者积极开展志愿服务,石化新闻网
276,2021-12-09,生意社：12月9日中石化华中对二甲苯价格暂稳,生意社
277,2021-12-09,“双碳”行动提速迈进，多产业迎更大机遇,Wind
278,2021-12-09,甲烷减排或从能源行业破题，“十四五”中国或出甲烷控排方案,Wind
279,2021-12-08,【早知道】A股史上“最贵新股”出炉；欧美股市全线上涨纳指涨逾3％,腾讯网
280,2021-12-08,中国石化兼顾换电、充电，新能源补能体系“两条腿”走路,第一财经
281,2021-12-08,镇海股份：我公司承担了中国石化镇海炼化公司国内首套国产化煤焦制氢装置的工程监理业务,每日经济新闻
282,2021-12-08,中石化386｜新增新能源车换电业务 | 头条金融网,头条日报
283,2021-12-08,北京冬奥会火种首场赞助企业展示活动在京举行【中经视觉】,经济日报
284,2021-12-08,2个1000！中石化已建成充换电站、光伏发电站各1000座,上证报
285,2021-12-08,宏华196｜附属签订中石化非洲项目协议 涉2.3亿人币 | 头条金融网,头条日报
286,2021-12-08,威创深度融入中国石化智能工厂建设 打造广州石化生产调度指挥中心显控用一体化项目,经济参考报
287,2021-12-08,中石化举办北京2022年冬奥会火种展示活动,电力新闻网
288,2021-12-08,中国石化鄂尔多斯盆地累产天然气突破500亿方,石化新闻网
289,2021-12-08,2021中国上市公司软实力巡礼：中国石化价值44.76亿元 排序第96名,搜狐
290,2021-12-08,中国石化新增换电业务,新京报
291,2021-12-08,中国石化河南油田光伏发电超100万千瓦时,电力新闻网
292,2021-12-08,【机会挖掘】中石化大力投资充换电站 换电相关公司或受关注,证券时报网
293,2021-12-08,中石化大力投资充换电站 换电模式进入加速发展期,金融界
294,2021-12-08,隆基首个煤矿行业BIPV项目在陕北交付,Wind
295,2021-12-08,中国石化充换电站、光伏发电站双双突破1000座,新快报
296,2021-12-07,移动5G油气勘探系统斩获第四届“绽放杯”全国总决赛一等奖第一名,飞象网
297,2021-12-07,中国石化：第 1000 座充换电站和第 1000 座光伏发电站投用,IT之家
298,2021-12-07,中石化不只供油！充换电站与光伏发电站均建成1000座,奥一网
299,2021-12-07,中石化“易享节”，九龙牦牛肉特惠来袭,财经网
300,2021-12-07,提前55天 中国石化全面供应“京6B”油品：价格不变,快科技
301,2021-12-07,宁德石油提前完成全年直分销任务,钢企网
302,2021-12-07,提前55天，中国石化全面供应“京6B”油品,石化新闻网
303,2021-12-07,中国石油与中国石化签订战略协议点评：共同保障能源安全 加速向新能源领域转型,光大证券
304,2021-12-07,北京冬奥会火种首场赞助企业展示活动在中国石化总部举行,新京报
305,2021-12-07,化工行业新材料板块周观点：中石化公布大额收购计划 锂电负极材料供应缺口短期持续,新浪
306,2021-12-07,国家能源局主要负责人主持召开第五次中国—欧佩克高级别对话会,Wind
307,2021-12-07,中石化漳州公司启用加油站无线报警系统,凤凰网
308,2021-12-07,南财研选｜氢能产业规划有望公布，替代化石能源带来哪些投资机遇，氢能概念股能否持续发力？,21世纪经济报道
309,2021-12-07,大块头有大“智慧”,石化新闻网
310,2021-12-07,柴油荒？不慌！24小时不停工、出库量翻倍…这些企业全力保供！全国柴油供应逐步恢复正常！,央视财经
311,2021-12-07,高洪军：扎根基层三十载，优质服务践初心,石化新闻网
312,2021-12-07,强化冬季清洁能源保障 LNG保供“底气”十足,中经导报
313,2021-12-06,中国石化，ACCA和中财协联合开启“全球商业服务证书（中文版）项目”合作,凤凰网
314,2021-12-06,石油加工行业每周炼化：聚酯价格全线下跌,新浪
315,2021-12-06,2021石油石化好技术在京发布,科技日报
316,2021-12-06,2021年基金，买了个“寂寞”,Wind
317,2021-12-06,广东石油首次推出“爱跑98”品牌汽油,石化新闻网
318,2021-12-06,中国石化在渝首座油库“司机之家”投用,石化新闻网
319,2021-12-06,中国石化70亿收购加码一体化运营 前三季盈利599亿增1.5倍,液化天然气网
320,2021-12-06,中信证券：看好能源化工低估周期标的反弹,财联社
321,2021-12-06,石油化工新材料行业北上资金周报,新浪
322,2021-12-06,电力设备行业第49周周报：第二批新能源大基地开始申报 光伏绿氢首个万吨级项目启动建设,新浪
323,2021-12-06,基础化工行业周报：政策陆续出台利好氢能行业发展 氟化工向高附加值产品延伸,光大证券
324,2021-12-06,中信证券晨会,新浪
325,2021-12-06,中国石化消费帮扶被评为全国典型案例,石化新闻网
326,2021-12-06,天津液化天然气接收站项目三期工程（一、二阶段）获批,国际燃气网
327,2021-12-05,华为纳税903亿，茅台纳税416亿，它纳税1.1万亿，高居全国第一,腾讯网
328,2021-12-04,烟台：中国石化龙口液化天然气（lng）项目开工-网,钢企网
329,2021-12-03,见过绿色的汽油没有？来看看这款最新研发的品牌汽油,金羊网
330,2021-12-03,湖北首座、重庆首座！中国石化两大综合能源站建成投运,中国石化
331,2021-12-03,“十四五”规划印发：碳排放降18%，落后产能加速淘汰！,Wind
332,2021-12-03,滨海投资：与中国石油化工股份有限公司联系人进行之持续关连交易,Wind
333,2021-12-03,氢能概念股受热捧但仍有瓶颈 行业爆发点将在2025？,新浪
334,2021-12-03,1.6亿方，国内最大天然气化工公司停工业用气保民生,国际燃气网
335,2021-12-03,中国石化：华北石油局累计生产天然气超500亿立方米,中证网
